1	Graf-	Graf-	T	TRUNC	_	2	attr	_	_
4	überall	überall	A	ADV	_	3	adv	_	_
5	dieselben	dieselben	P	PIS	_|Nom|_	3	pred	_	_
6	;	;	$	$.	_	0	root	_	_
7	da	da	A	ADV	_	0	root	_	_
8	wo	wo	P	PWAV	_	10	adv	_	_
9	mehr	mehr	P	PIS	_|Nom|Pl	10	subj	_	_
10	sind	sein	V	VAFIN	3|Pl|Pres|Ind	12	objc	_	_
11	,	,	$	$,	_	0	root	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	halt	halt	A	ADV	_	12	adv	_	_
14	das	die	A	ART	Def|Neut|Nom|Sg	15	det	_	_
15	Gedräng	Gedräng	N	NN	Neut|Nom|Sg	12	subj	_	_
16	'	'	$	$(	_	0	root	_	_
17	größer	groß	A	ADJD	Comp|	12	pred	_	_
18	,	,	$	$,	_	0	root	_	_
19	das	die	P	PDS	Neut|Nom|Sg	20	subj	_	_
20	ist	sein	V	VAFIN	3|Sg|Pres|Ind	12	kon	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	23	det	_	_
22	ganze	ganz	A	ADJA	Pos|Masc|Nom|Sg|Wk|	23	attr	_	_
23	Unterschied	Unterschied	N	NN	Masc|Nom|Sg	20	pred	_	_
24	.	.	$	$.	_	0	root	_	_

1	Sagen	Sage	N	NN	Neut|_|_	7	vok	_	_
2	S	S	N	NN	Neut|_|_	1	app	_	_
3	'	'	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Fräulein	Fräulein	N	NN	Neut|_|_	2	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
8	Sie	sie	P	PPER	3|Pl|_|Nom	7	subj	677	677
9	die	die	A	ART	Def|Masc|_|Pl	10	det	639	639
10	Menschen	Mensch	N	NN	Masc|_|Pl	7	obja	639	639
11	eigentlich	eigentlich	A	ADV	_	7	adv	_	_
12	gern	gern	A	ADV	_	7	adv	_	_
13	?	?	$	$.	_	0	root	_	_

1	Schauspielerin	Schauspielerin	N	NN	Fem|_|Sg	0	root	_	_
2	Gern	Gern	N	NE	Fem|_|Sg	1	app	_	_
3	-	-	$	$(	_	0	root	_	_
4	?	?	$	$.	_	0	root	_	_
5	?	?	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	678	678
2	hasse	hassen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	2	obja	677	677
4	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	678	678
2	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	keine	keine	A	PIAT	_|_|_	2	obja	_	_
4	sehn	sehnen	V	VVIMP	Sg	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	678	678
2	seh	seh	V	VVFIN	1|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	auch	auch	A	ADV	_	2	adv	_	_
5	nie	nie	A	ADV	_	2	adv	_	_
6	jemanden	jemand	P	PIS	_|Acc|Sg	2	obja	_	_
7	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	678	678
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	immer	immer	A	ADV	_	4	adv	_	_
4	allein	allein	A	ADV	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	dieses	diese	A	PDAT	Neut|Nom|Sg	7	det	136	136
7	Haus	Haus	N	NN	Neut|Nom|Sg	8	subj	136	136
8	betritt	betreten	V	VVFIN	3|Sg|Pres|Ind	2	kon	_	_
9	niemand	niemand	P	PIS	_	8	obja	_	_
10	.	.	$	$.	_	0	root	_	_

1	Graf	Graf	N	NE	Neut|_|_	0	root	_	_
2	Sehn	Sehn	N	NE	Neut|_|_	1	app	_	_
3	S	S	N	NN	Neut|_|_	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	A	ART	Def|Neut|_|Sg	7	det	_	_
7	hab	hab	A	ADJA	Neut|_|Sg	3	app	_	_
8	'	'	$	$(	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	678	678
10	mir	ich	P	PRF	1|Sg|Dat	11	objd	_	_
11	gedacht	denken	V	VVPP	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	daß	daß	K	KOUS	_	18	konj	_	_
14	Sie	sie	P	PPER	3|Pl|_|Nom	18	subj	680	680
15	eigentlich	eigentlich	A	ADV	_	17	adv	_	_
16	eine	eine	A	ART	Indef|Fem|Nom|Sg	17	det	_	_
17	Menschenfeindin	Menschenfeindin	N	NN	Fem|Nom|Sg	18	pred	_	_
18	sind	sein	V	VAFIN	3|Pl|Pres|Ind	11	objc	_	_
19	.	.	$	$.	_	0	root	_	_

1	Bei	bei	P	APPR	Dat	4	pp	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	3	det	679	679
3	Kunst	Kunst	N	NN	Fem|Dat|Sg	1	pn	679	679
4	muß	müssen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
5	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
6	oft	oft	A	ADV	_	0	root	_	_
7	vorkommen	vorkommen	V	VVINF	_	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	man	man	P	PIS	_|Nom|Sg	0	root	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	in	in	P	APPR	Dat	2	pp	_	_
5	den	die	A	ART	Def|_|Dat|Pl	7	det	_	_
6	höheren	hoch	A	ADJA	Comp|_|Dat|Pl|_|	7	attr	_	_
7	Regionen	Region	N	NN	_|Dat|Pl	4	pn	_	_
8	...	...	$	$.	_	0	root	_	_
9	na	na	I	ITJ	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	Sie	sie	P	PPER	3|Pl|_|Nom	12	subj	680	680
12	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
13	'	'	$	$(	_	0	root	_	_
14	s	s	P	PPER	_	12	obja	_	_
15	gut	gut	A	ADJD	Pos|	12	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	Sie	sie	P	PPER	3|_|_|_	18	obja	680	680
18	wissen	wissen	V	VVINF	_	0	root	_	_
19	doch	doch	A	ADV	_	20	adv	_	_
20	wenigstens	wenigstens	A	ADV	_	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	warum	warum	P	PWAV	_	24	adv	_	_
23	Sie	sie	P	PPER	3|Pl|_|Nom	24	subj	680	680
24	leben	leben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
25	!	!	$	$.	_	0	root	_	_

1	Schauspielerin	Schauspielerin	N	NN	Fem|Nom|Sg	3	subj	681	681
2	Wer	Wer	N	NE	Fem|Nom|Sg	1	app	681	681
3	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	Ihnen	sie	P	PPER	3|Pl|_|Dat	3	objd	680	680
5	das	die	P	PDS	Neut|_|Sg	3	obja	_	_
6	?	?	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	681	681
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	keine	keine	A	PIAT	Fem|_|Sg	4	det	_	_
4	Ahnung	Ahnung	N	NN	Fem|_|Sg	2	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	wozu	wozu	P	PWAV	_	8	pp	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	681	681
8	lebe	leben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
9	!	!	$	$.	_	0	root	_	_

1	Graf	Graf	N	NE	_|_|Sg	0	root	648	648
2	Ich	Ich	F	FM	_|_|Sg	1	app	648	648
3	bitt	bitt	F	FM	_|_|Sg	2	app	648	648
4	'	'	$	$(	_	0	root	_	_
5	Sie	sie	P	PPER	3|_|_|_	0	root	648	648
6	,	,	$	$,	_	0	root	_	_
7	Fräulein	Fräulein	N	NN	Neut|_|_	5	app	_	_
8	-	-	$	$(	_	0	root	_	_
9	berühmt	berühmt	A	ADJD	Pos|	13	adv	12	12
10	-	-	$	$(	_	0	root	12	12
11	gefeiert	feiern	V	VVPP	_	9	par	12	12
12	-	-	$	$(	_	0	root		

1	Schauspielerin	Schauspielerin	N	NN	Fem|Dat|Sg	2	objd	565	565
2	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
4	vielleicht	vielleicht	A	ADV	_	2	adv	_	_
5	ein	eine	A	ART	Indef|Neut|Nom|Sg	6	det	_	_
6	Glück	Glück	N	NN	Neut|Nom|Sg	2	pred	_	_
7	?	?	$	$.	_	0	root	_	_

1	Graf	Graf	N	NE	Neut|_|Sg	0	root	_	_
2	Glück	Glück	N	NN	Neut|_|Sg	1	app	_	_
3	?	?	$	$.	_	0	root	_	_

1	Bitt	Bitt	N	NE	_	0	root	107	107
2	'	'	$	$(	_	0	root	_	_
3	Sie	sie	P	PPER	3|_|_|_	0	root	107	107
4	,	,	$	$,	_	0	root	_	_
5	Fräulein	Fräulein	N	NN	Neut|_|_	3	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	Glück	Glück	N	NN	Neut|Nom|Sg	8	subj	164	164
8	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	'	'	$	$(	_	0	root	_	_
10	s	s	P	PPER	_	8	obja	_	_
11	nicht	nicht	P	PTKNEG	_	8	adv	_	_
12	.	.	$	$.	_	0	root	_	_

1	Überhaupt	überhaupt	A	ADV	_	4	adv	682	682
2	gerade	gerade	A	ADV	_	4	adv	682	682
3	die	die	A	ART	Def|Fem|_|Pl	4	det	682	682
4	Sachen	Sache	N	NN	Fem|_|Pl	17	obja	682	682
5	,	,	$	$,	_	0	root	682	682
6	von	von	P	APPR	Dat	15	pp	682	682
7	denen	die	P	PRELS	Fem|Dat|Pl	6	pn	682	682
8	am	am	P	PTKA	_	9	adv	_	_
9	meisten	meisten	A	ADJD	_	15	adv	_	_
10	g	g	N	NN	_|Nom|Sg	15	subj	683	683
11	'	'	$	$(	_	0	root	683	683
12	red	red	F	FM	_|Nom|Sg	10	app	683	683
13	'	'	$	$(	_	0	root	_	_
14	t	t	N	NN	_|Nom|_	15	pred	_	_
15	wird	werden	V	VAFIN	3|Sg|Pres|Ind	4	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
18	'	'	$	$(	_	0	root	_	_
19	s	s	P	PPER	_|Sg|_|Nom	17	subj	683	683
20	nicht	nicht	P	PTKNEG	_	17	adv	_	_
21	...	...	$	$.	_	0	root	_	_
22	z.	z.	P	APPRART	_	0	root	_	_

1	B.	B.	N	NN	_|_|_	0	root	684	684
2	Liebe	Liebe	N	NN	_|_|_	1	app	684	684
3	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	was	was	P	PIS	_|Nom|_	2	pred	_	_
6	.	.	$	$.	_	0	root	_	_

1	Schauspielerin	Schauspielerin	N	NN	Fem|_|Sg	3	obja	_	_
2	Da	da	A	ADV	_	1	adv	_	_
3	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	684	684
5	wohl	wohl	A	ADV	_	3	adv	_	_
6	recht	recht	A	ADJD	Pos|	3	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Graf	Graf	N	NE	Masc|_|Sg	0	root	_	_
2	Genuß	Genuß	N	NN	Masc|_|Sg	1	app	_	_
3	...	...	$	$.	_	0	root	_	_
4	Rausch	Rausch	N	NN	Masc|_|Sg	0	root	686	686
5	...	...	$	$.	_	0	root	_	_
6	also	also	A	ADV	_	7	adv	_	_
7	gut	gut	A	ADJD	Pos|	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	da	da	A	ADV	_	10	adv	_	_
10	läßt	lassen	V	VVFIN	_|Sg|Pres|Ind	0	root	_	_
11	sich	sie	P	PRF	3|_|Dat	13	objd	_	_
12	nichts	nichts	P	PIS	_	13	obja	_	_
13	sagen	sagen	V	VVINF	_	10	obji	_	_
14	...	...	$	$.	_	0	root	_	_
15	das	die	P	PDS	Neut|Nom|Sg	16	subj	_	_
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
17	was	was	A	PIAT	Neut|Nom|Sg	18	det	_	_
18	Sicheres	Sicheres	N	NN	Neut|Nom|Sg	16	pred	_	_
19	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	genieße	genießen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	685	685
4	...	...	$	$.	_	0	root	_	_
5	gut	gut	A	ADJD	Pos|	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	685	685
9	,	,	$	$,	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	0	root	685	685
11	genieß	genieß	A	ADJD	_	0	root	_	_
12	'	'	$	$(	_	0	root	_	_
13	.	.	$	$.	_	0	root	_	_

1	Oder	oder	K	KON	_	3	koord	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	685	685
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
4	berauscht	berauschen	V	VVPP	_	3	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	schön	schön	A	ADJD	Pos|	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	sicher	sicher	A	ADJD	Pos|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	Und	und	K	KON	_	2	kon	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	cj	_	_
8	'	'	$	$(	_	0	root	_	_
9	s	s	P	PPER	_|Sg|_|Nom	7	subj	686	686
10	vorbei	vorbei	A	ADV	_	7	pred	_	_
11	,	,	$	$,	_	0	root	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	7	kon	_	_
14	es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
15	halt	halt	A	ADV	_	13	adv	_	_
16	vorbei	vorbei	P	PTKVZ	_	13	avz	_	_
17	.	.	$	$.	_	0	root	_	_

1	Schauspielerin	Schauspielerin	N	NN	Fem|_|Sg	0	root	565	565
2	groß	groß	A	ADJD	Pos|	3	adv	_	_
3	Es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	vorbei	vorbei	A	ADV	_	4	pred	_	_
6	!	!	$	$.	_	0	root	_	_

1	Graf	Graf	N	NE	_|_|Sg	0	root	648	648
2	Aber	aber	K	KON	_	0	root	_	_
3	sobald	sobald	K	KOUS	_	26	konj	_	_
4	man	man	P	PIS	_|Nom|Sg	26	subj	_	_
5	sich	sie	P	PRF	3|_|Dat	26	objd	_	_
6	nicht	nicht	P	PTKNEG	_	26	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	9	adv	_	_
9	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	26	objc	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	687	687
11	mich	ich	P	PRF	1|Sg|Acc	13	obja	_	_
12	denn	denn	A	ADV	_	13	adv	_	_
13	ausdrücken	ausdrücken	V	VVINF	_	9	aux	_	_
14	,	,	$	$,	_	0	root	_	_
15	sobald	sobald	K	KOUS	_	21	konj	_	_
16	man	man	P	PIS	_|Nom|Sg	21	subj	_	_
17	sich	sie	P	PRF	3|_|_	21	obja	_	_
18	nicht	nicht	P	PTKNEG	_	21	adv	_	_
19	dem	die	A	ART	Def|_|Dat|Sg	20	det	534	534
20	Moment	Moment	N	NN	_|Dat|Sg	21	objd	534	534
21	hingibt	hingeben	V	VVFIN	3|Sg|Pres|Ind	26	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	also	also	A	ADV	_	26	adv	_	_
24	an	an	P	APPR	_	26	objp	_	_
25	später	spät	A	ADJD	_|	24	pn	_	_
26	denkt	denken	V	VVFIN	3|Sg|Pres|Ind	2	cj	_	_
27	oder	oder	K	KON	_	0	root	_	_
28	an	an	P	APPR	_	27	cj	_	_
29	früher	früh	A	ADJD	_|	28	pn	_	_
30	...	...	$	$.	_	0	root	_	_
31	na	na	I	ITJ	_	0	root	_	_
32	,	,	$	$,	_	0	root	_	_
33	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
34	es	es	P	PPER	3|Sg|Neut|Nom	33	subj	_	_
35	doch	doch	A	ADV	_	33	adv	_	_
36	gleich	gleich	A	ADJD	Pos|	33	adv	_	_
37	aus	aus	P	PTKVZ	_	33	avz	_	_
38	.	.	$	$.	_	0	root	_	_

1	Später	spät	A	ADJD	_|	0	root	_	_
2	...	...	$	$.	_	0	root	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	traurig	traurig	A	ADJD	Pos|	3	pred	_	_
5	...	...	$	$.	_	0	root	_	_
6	früher	früh	A	ADJD	_|	7	adv	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	ungewiß	ungewiß	A	ADJD	Pos|	7	pred	_	_
9	...	...	$	$.	_	0	root	_	_
10	mit	mit	P	APPR	Dat	0	root	_	_
11	einem	eine	A	ART	Indef|Neut|Dat|Sg	12	det	_	_
12	Wort	Wort	N	NN	Neut|Dat|Sg	10	pn	_	_
13	...	...	$	$.	_	0	root	_	_
14	man	man	P	PIS	_|Nom|Sg	15	subj	_	_
15	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
16	nur	nur	A	ADV	_	15	adv	_	_
17	konfus	konfus	A	ADJD	Pos|	15	pred	_	_
18	.	.	$	$.	_	0	root	_	_

1	Hab	Hab	N	NE	_	0	root	271	271
2	'	'	$	$(	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	0	root	687	687
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	recht	recht	A	ADJD	Pos|	0	root	_	_
6	?	?	$	$.	_	0	root	_	_

1	Schauspielerin	Schauspielerin	N	NN	Fem|Nom|Sg	2	subj	565	565
2	nickt	nicken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	mit	mit	P	APPR	Dat	6	pp	_	_
4	großen	groß	A	ADJA	Pos|Neut|Dat|Pl|_|	5	attr	_	_
5	Augen	Auge	N	NN	Neut|Dat|Pl	3	pn	_	_
6	Sie	sie	P	PPER	3|Pl|_|Nom	7	subj	_	_
7	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
8	wohl	wohl	A	ADV	_	7	adv	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	688	688
10	Sinn	Sinn	N	NN	Masc|Acc|Sg	7	obja	688	688
11	erfaßt	erfaßt	V	VVFIN	_	0	root	_	_
12	.	.	$	$.	_	0	root	_	_

1	Graf	Graf	N	NE	_|_|Sg	0	root	648	648
2	Und	und	K	KON	_	0	root	_	_
3	sehen	sehen	V	VVFIN	_|Pl|Pres|_	2	cj	_	_
4	S	S	N	NN	Neut|_|_	3	obja	_	_
5	'	'	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	Fräulein	Fräulein	N	NN	Neut|_|_	4	app	_	_
8	,	,	$	$,	_	0	root	_	_
9	wenn	wenn	K	KOUS	_	0	root	_	_
10	einem	eine	P	PIS	_|Dat|Sg	0	root	_	_
11	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
12	einmal	einmal	A	ADV	_	14	adv	_	_
13	klar	klar	A	ADJD	Pos|	14	pred	_	_
14	geworden	werden	V	VAPP	_	15	aux	_	_
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
18	'	'	$	$(	_	0	root	_	_
19	s	s	P	PPER	_|Sg|_|Nom	17	subj	1	1
20	ganz	ganz	A	ADV	_	21	adv	_	_
21	egal	egal	A	ADJD	Pos|	17	pred	_	_
22	,	,	$	$,	_	0	root	_	_
23	ob	ob	K	KOUS	_	27	konj	_	_
24	man	man	P	PIS	_|Nom|Sg	27	subj	_	_
25	in	in	P	APPR	_	27	pp	_	_
26	Wien	Wien	N	NE	_|_|Sg	25	pn	433	433
27	lebt	leben	V	VVFIN	3|Sg|Pres|Ind	17	objc	_	_
28	oder	oder	K	KON	_	0	root	_	_
29	in	in	P	APPR	Dat	28	cj	_	_
30	der	die	A	ART	Def|Fem|Dat|Sg	31	det	_	_
31	Pußta	Pußta	N	NN	Fem|Dat|Sg	29	pn	_	_
32	oder	oder	K	KON	_	29	kon	_	_
33	in	in	P	APPR	Dat	32	cj	_	_
34	Steinamanger	Steinamanger	N	NE	_|Dat|_	33	pn	691	691
35	.	.	$	$.	_	0	root	_	_

1	Schaun	Schaun	N	NE	Neut|_|_	0	root	_	_
2	S	S	N	NN	Neut|_|_	1	app	_	_
3	'	'	$	$(	_	0	root	_	_
4	zum	zu	P	APPRART	Dat	2	pp	_	_
5	Beispiel	Beispiel	N	NN	Neut|Dat|Sg	4	pn	689	689
6	...	...	$	$.	_	0	root	_	_
7	wo	wo	P	PWAV	_	8	adv	_	_
8	darf	dürfen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	690	690
10	denn	denn	A	ADV	_	13	adv	_	_
11	die	die	A	ART	Def|Fem|_|Pl	12	det	_	_
12	Kappen	Kappe	N	NN	Fem|_|Pl	13	obja	_	_
13	hinlegen	hinlegen	V	VVINF	_	8	aux	_	_
14	?	?	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	0	root	690	690
4	dank	dank	P	APPR	_	3	pp	_	_
5	'	'	$	$(	_	0	root	_	_
6	schön	schön	A	ADJD	Pos|	4	pn	_	_
7	..	..	$	$.	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	wovon	wovon	P	PWAV	_	10	pp	_	_
10	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
11	wir	wir	P	PPER	1|Pl|_|Nom	10	subj	_	_
12	denn	denn	A	ADV	_	14	adv	_	_
13	nur	nur	A	ADV	_	14	adv	_	_
14	gesprochen	sprechen	V	VVPP	_	10	aux	_	_
15	?	?	$	$.	_	0	root	_	_

1	Schauspielerin	Schauspielerin	N	NN	Fem|_|Sg	0	root	_	_
2	Von	von	P	APPR	_	1	pp	_	_
3	Steinamanger	Steinamanger	N	NE	_|_|_	2	pn	691	691
4	.	.	$	$.	_	0	root	_	_

1	Graf	Graf	N	NE	_|_|Sg	0	root	648	648
2	Richtig	richtig	A	ADJD	Pos|	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Also	also	A	ADV	_	2	adv	_	_
2	wie	wie	K	KOKOM	_	4	kom	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	cj	693	693
4	sag	sag	V	VVFIN	_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	692	692
8	Unterschied	Unterschied	N	NN	Masc|Nom|Sg	9	subj	692	692
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	kon	_	_
10	nicht	nicht	P	PTKNEG	_	9	adv	_	_
11	groß	groß	A	ADJD	Pos|	9	pred	_	_
12	.	.	$	$.	_	0	root	_	_

1	Ob	ob	K	KOUS	_	7	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	693	693
