1	Oho	Oho	N	NE	_	3	vok	208	208
11	und	und	K	KON	_	0	root	_	_
12	der	die	A	ART	Def|_|_|_	13	det	27	27
13	Kopetzky	Kopetzky	N	NN	_|_|_	11	cj	27	27
14	selbst	selbst	A	ADV	_	13	adv	27	27
15	möcht	möcht	A	ADJA	_	0	root	_	_
16	'	'	$	$(	_	0	root	_	_
17	dir	du	P	PPER	2|Sg|_|Dat	22	objd	341	341
18	nicht	nicht	P	PTKNEG	_	22	adv	_	_
19	mehr	mehr	A	ADV	_	18	adv	_	_
20	die	die	A	ART	Def|Fem|_|Sg	21	det	102	102
21	Hand	Hand	N	NN	Fem|_|Sg	22	obja	102	102
22	geben	geben	V	VVINF	_	0	root	_	_
23	...	...	$	$.	_	0	root	_	_

1	Mir	ich	P	PPER	1|Sg|_|Dat	2	objd	336	336
2	kommt	kommen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	vor	vor	P	PTKVZ	_	2	avz	_	_
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	336	336
6	bin	sein	V	VAFIN	1|Sg|Pres|Ind	2	kon	_	_
7	jetzt	jetzt	A	ADV	_	10	adv	_	_
8	ganz	ganz	A	ADV	_	9	adv	_	_
9	rot	rot	A	ADJD	Pos|	10	pred	_	_
10	geworden	werden	V	VAPP	_	6	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
4	Wachmann	Wachmann	N	NN	Masc|Nom|Sg	5	subj	_	_
5	salutiert	salutieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	336	336
7	...	...	$	$.	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	336	336
9	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
10	danken	danken	V	VVINF	_	9	aux	_	_
11	...	...	$	$.	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	Servus	Servus	F	FM	_	0	root	_	_
14	!	!	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_
16	-	-	$	$(	_	0	root	_	_
17	Jetzt	jetzt	A	ADV	_	18	adv	_	_
18	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
19	'	'	$	$(	_	0	root	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	336	336
21	gar	gar	A	ADV	_	23	adv	302	302
22	»	»	$	$(	_	0	root	302	302
23	Servus	Servus	N	NE	_	25	obja	302	302
24	«	«	$	$(	_	0	root	_	_
25	gesagt	sagen	V	VVPP	_	18	aux	_	_
26	!	!	$	$.	_	0	root	_	_
27	...	...	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	freut	freuen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	so	so	A	ADV	_	6	adv	_	_
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	_	_
5	armen	arm	A	ADJA	Pos|Masc|Acc|Sg|_|	6	attr	_	_
6	Teufel	Teufel	N	NN	Masc|Acc|Sg	2	obja	_	_
7	immer	immer	A	ADV	_	2	adv	_	_
8	...	...	$	$.	_	0	root	_	_
9	Na	Na	I	ITJ	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	über	über	P	APPR	Acc	13	pp	_	_
12	mich	ich	P	PPER	1|Sg|_|Acc	11	pn	336	336
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	sich	sie	P	PRF	3|_|_	17	obja	_	_
15	keiner	keine	P	PIS	Masc|Nom|Sg	13	subj	_	_
16	zu	zu	P	PTKZU	_	17	part	_	_
17	beklagen	beklagen	V	VVINF	_	18	aux	_	_
18	gehabt	haben	V	VAPP	_	13	aux	_	_
19	-	-	$	$(	_	0	root	_	_
20	außer	außer	P	APPR	Dat	22	pp	_	_
21	Dienst	Dienst	N	NN	Masc|Dat|Sg	20	pn	344	344
22	war	sein	V	VAFIN	1|Sg|Past|Ind	13	kon	_	_
23	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	336	336
24	immer	immer	A	ADV	_	25	adv	_	_
25	gemütlich	gemütlich	A	ADJD	Pos|	22	pred	_	_
26	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Wie	Wie	P	PWAV	_	6	adv	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	6	subj	346	346
4	auf	auf	P	APPR	_	6	pp	_	_
5	Manöver	Manöver	N	NN	Neut|_|_	4	pn	_	_
6	waren	sein	V	VAFIN	1|Pl|Past|Ind	17	objc	_	_
7	,	,	$	$,	_	0	root	_	_
8	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
9	'	'	$	$(	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	336	336
11	den	die	A	ART	Def|Fem|Dat|Pl	12	det	_	_
12	Chargen	Charge	N	NN	Fem|Dat|Pl	17	objd	_	_
13	von	von	P	APPR	_	12	pp	_	_
14	der	die	A	ART	Def|Fem|_|Sg	15	det	_	_
15	Kompagnie	Kompagnie	N	NN	Fem|_|Sg	13	pn	_	_
16	Britannikas	Britannikas	N	NE	Fem|_|Sg	15	app	_	_
17	geschenkt	schenken	V	VVPP	_	8	aux	_	_
18	;	;	$	$.	_	0	root	_	_
19	-	-	$	$(	_	0	root	_	_
20	einmal	einmal	A	ADV	_	21	adv	_	_
21	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
22	'	'	$	$(	_	0	root	_	_
23	ich	ich	P	PPER	1|Sg|_|Nom	21	subj	336	336
24	gehört	gehören	V	VVPP	_	21	aux	_	_
25	,	,	$	$,	_	0	root	_	_
26	wie	wie	P	PWAV	_	0	root	_	_
27	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
28	Mann	Mann	N	NN	Masc|_|_	29	grad	_	_
29	hinter	hinter	P	APPR	Dat	42	pp	_	_
30	mir	ich	P	PRF	1|Sg|Dat	29	pn	_	_
31	bei	bei	P	APPR	Dat	42	pp	_	_
32	den	die	A	ART	Def|Masc|Dat|Pl	33	det	_	_
33	Gewehrgriffen	Gewehrgriff	N	NN	Masc|Dat|Pl	31	pn	_	_
34	was	was	P	PIS	_|Nom|Sg	43	subj	_	_
35	von	von	P	APPR	_	42	pp	_	_
36	»	»	$	$(	_	0	root	_	_
37	verfluchter	verflucht	A	ADJA	Pos|Fem|_|Sg|St|	38	attr	_	_
38	Rackerei	Rackerei	N	NN	Fem|_|Sg	35	pn	_	_
39	«	«	$	$(	_	0	root	_	_
40	g	g	N	NN	_	42	obja	56	56
41	'	'	$	$(	_	0	root	_	_
42	sagt	sagt	V	VVPP	_	43	aux	_	_
43	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
44	,	,	$	$,	_	0	root	_	_
45	und	und	K	KON	_	43	kon	_	_
46	ich	ich	P	PPER	1|Sg|_|Nom	47	subj	336	336
47	hab	hab	V	VAFIN	1|Sg|_|_	45	cj	_	_
48	'	'	$	$(	_	0	root	_	_
49	ihn	er	P	PPER	3|Sg|Masc|Acc	53	obja	56	56
50	nicht	nicht	P	PTKNEG	_	53	adv	_	_
51	zum	zu	P	APPRART	Dat	53	pp	_	_
52	Rapport	Rapport	N	NN	_|Dat|Sg	51	pn	_	_
53	geschickt	schicken	V	VVPP	_	47	aux	_	_
54	-	-	$	$(	_	0	root	_	_
55	ich	ich	P	PPER	1|Sg|_|Nom	56	subj	336	336
56	hab	hab	V	VAFIN	1|Sg|_|_	47	kon	_	_
57	'	'	$	$(	_	0	root	_	_
58	ihm	er	P	PPER	3|Sg|_|Dat	60	objd	56	56
59	nur	nur	A	ADV	_	60	adv	_	_
60	gesagt	sagen	V	VVPP	_	56	aux	_	_
61	:	\:	$	$.	_	0	root	_	_
62	»	»	$	$(	_	0	root	_	_
63	Sie	sie	P	PPER	3|_|_|_	0	root	302	302
64	,	,	$	$,	_	0	root	_	_
65	passen	passen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
66	S	S	N	NN	Neut|Nom|Pl	65	subj	345	345
67	'	'	$	$(	_	0	root	_	_
68	auf	auf	P	PTKVZ	_	65	avz	_	_
69	,	,	$	$,	_	0	root	_	_
70	das	die	P	PDS	Neut|_|Sg	71	obja	_	_
71	könnt	können	V	VMFIN	2|Pl|Pres|Ind	65	kon	_	_
72	'	'	$	$(	_	0	root	_	_
73	einmal	einmal	A	ADV	_	71	adv	_	_
74	wer	wer	P	PWS	_|Nom|Sg	0	root	_	_
75	anderer	andere	P	PIS	Masc|Nom|Sg	74	app	_	_
76	hören	hören	V	VVINF	_	0	root	_	_
77	-	-	$	$(	_	0	root	_	_
78	da	da	A	ADV	_	79	adv	_	_
79	ging	gehen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
80	'	'	$	$(	_	0	root	_	_
81	s	s	P	PPER	_|Sg|_|Nom	79	subj	302	302
82	Ihnen	sie	P	PPER	3|Pl|_|Dat	79	objd	345	345
83	schlecht	schlecht	A	ADJD	Pos|	79	pred	_	_
84	!	!	$	$.	_	0	root	_	_
85	«	«	$	$(	_	0	root	_	_
86	...	...	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Burghof	Burghof	N	NN	Masc|Nom|Sg	0	root	_	_
3	...	...	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	denn	denn	A	ADV	_	4	adv	_	_
4	heut	heuen	V	VVPP	_	2	aux	_	_
5	'	'	$	$(	_	0	root	_	_
6	auf	auf	P	APPR	_	4	pp	_	_
7	Wach	Wach	N	NE	_|_|_	6	pn	_	_
8	'	'	$	$(	_	0	root	_	_
9	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Die	die	A	ART	Def|Masc|_|Pl	3	det	_	_
3	Bosniaken	Bosniake	N	NN	Masc|_|Pl	0	root	_	_
4	-	-	$	$(	_	0	root	_	_
5	schau	schau	A	ADJD	Pos|	7	adv	_	_
6	'	'	$	$(	_	0	root	_	_
7	n	n	N	NN	_	0	root	_	_
8	gut	gut	A	ADJD	Pos|	0	root	_	_
9	aus	aus	P	PTKVZ	_	0	root	_	_
10	-	-	$	$(	_	0	root	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	_	_
12	Oberstleutnant	Oberstleutnant	N	NN	Masc|Nom|Sg	13	subj	_	_
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	neulich	neulich	A	ADV	_	13	adv	_	_
15	g	g	N	NN	_	13	obja	56	56
16	'	'	$	$(	_	0	root	_	_
17	sagt	sagen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
18	:	\:	$	$.	_	0	root	_	_
19	Wie	Wie	P	PWAV	_	25	adv	_	_
20	wir	wir	P	PPER	1|Pl|_|Nom	25	subj	346	346
21	im	in	P	APPRART	Dat	25	pp	_	_
22	78er	78er	A	ADJA	Pos|Neut|Dat|Sg|_|	23	attr	_	_
23	Jahr	Jahr	N	NN	Neut|Dat|Sg	21	pn	_	_
24	unten	unten	A	ADV	_	23	adv	_	_
25	waren	sein	V	VAFIN	1|Pl|Past|Ind	27	subjc	_	_
26	,	,	$	$,	_	0	root	_	_
27	hätt	hätt	V	VVFIN	_	0	root	_	_
28	'	'	$	$(	_	0	root	_	_
29	keiner	keine	P	PIS	Masc|Nom|Sg	30	subj	_	_
30	geglaubt	glauben	V	VVPP	_	27	neb	_	_
31	,	,	$	$,	_	0	root	_	_
32	daß	daß	K	KOUS	_	0	root	_	_
33	uns	wir	P	PPER	1|Pl|_|_	0	root	346	346
34	die	die	A	ART	Def|_|_|_	0	root	_	_
35	einmal	einmal	A	ADV	_	37	adv	_	_
36	so	so	A	ADV	_	37	adv	_	_
37	parieren	parieren	V	VVINF	_	38	aux	_	_
38	werden	werden	V	VAFIN	_|Pl|Pres|_	0	root	_	_
39	!	!	$	$.	_	0	root	_	_
40	...	...	$	$.	_	0	root	_	_

1	Herrgott	Herrgott	N	NN	Masc|_|Sg	6	vok	111	111
2	,	,	$	$,	_	0	root	_	_
3	bei	bei	P	APPR	Dat	6	pp	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	was	was	P	PIS	_|Dat|_	3	pn	_	_
6	hätt	hätt	V	VVFIN	1|Sg|_|_	0	root	_	_
7	'	'	$	$(	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	353	353
9	dabei	dabei	P	PROAV	_	6	pp	_	_
10	sein	sein	V	VAINF	_	11	aux	_	_
11	mögen	mögen	V	VMFIN	_|Pl|Pres|_	0	root	_	_
12	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Da	Da	K	KOUS	_	0	root	_	_
3	steh	steh	N	NE	_	0	root	347	347
4	'	'	$	$(	_	0	root	347	347
5	n	n	N	NN	_	3	app	347	347
6	sie	sie	P	PPER	3|_|_|_	0	root	347	347
7	alle	alle	P	PIS	_|_|_	6	app	_	_
8	auf	auf	P	APPR	_	7	pp	_	_
9	von	von	P	APPR	_	8	pp	_	_
10	der	die	A	ART	Def|Fem|_|Sg	11	det	210	210
11	Bank	Bank	N	NN	Fem|_|Sg	9	pn	210	210
12	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Servus	Servus	N	NE	_	0	root	302	302
3	,	,	$	$,	_	0	root	302	302
4	servus	servus	F	FM	_	2	app	302	302
5	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	halt	halt	A	ADV	_	3	adv	_	_
5	zuwider	zuwider	P	PTKVZ	_	3	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	11	konj	_	_
8	unsereiner	unsereiner	F	FM	_|Nom|Sg	11	subj	_	_
9	nicht	nicht	P	PTKNEG	_	11	adv	_	_
10	dazu	dazu	P	PROAV	_	11	objp	_	_
11	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	3	objc	_	_
12	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Wär	Wär	N	NE	_|Dat|_	6	objd	333	333
3	'	'	$	$(	_	0	root	_	_
4	doch	doch	A	ADV	_	6	adv	_	_
5	schöner	schön	A	ADJD	Comp|	6	pred	_	_
6	gewesen	sein	V	VAPP	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	auf	auf	P	APPR	Dat	6	pp	_	_
9	dem	die	A	ART	Def|Neut|Dat|Sg	10	det	_	_
10	Feld	Feld	N	NN	Neut|Dat|Sg	8	pn	_	_
11	der	die	A	ART	Def|Fem|Gen|Sg	12	det	_	_
12	Ehre	Ehre	N	NN	Fem|Gen|Sg	10	gmod	_	_
13	,	,	$	$,	_	0	root	_	_
14	fürs	für	P	APPRART	Acc	12	pp	_	_
15	Vaterland	Vaterland	N	NN	Neut|Acc|Sg	14	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	als	als	K	KOKOM	_	12	kom	_	_
18	so	so	A	ADV	_	17	cj	_	_
19	...	...	$	$.	_	0	root	_	_
20	Ja	ja	P	PTKANT	_	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	Herr	Herr	N	NN	Masc|_|Sg	0	root	_	_
23	Doktor	Doktor	N	NE	Masc|_|Sg	22	app	_	_
24	,	,	$	$,	_	0	root	_	_
25	Sie	sie	P	PPER	3|Pl|_|Nom	26	subj	333	333
26	kommen	kommen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
27	eigentlich	eigentlich	A	ADV	_	26	adv	_	_
28	gut	gut	A	ADJD	Pos|	26	adv	_	_
29	weg	weg	P	PTKVZ	_	26	avz	_	_
30	!	!	$	$.	_	0	root	_	_
31	...	...	$	$.	_	0	root	_	_

1	Ob	ob	K	KOUS	_	0	root	_	_
2	das	die	P	PDS	Neut|_|Sg	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
5	für	für	P	APPR	Acc	7	pp	_	_
6	mich	ich	P	PPER	1|Sg|_|Acc	5	pn	348	348
7	übernehmen	übernehmen	V	VVINF	_	8	aux	_	_
8	könnt	können	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
9	'	'	$	$(	_	0	root	_	_
10	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Meiner	meine	A	PPOSAT	_|_|_	3	det	348	348
3	Seel	Seel	N	NN	_|_|_	0	root	349	349
4	'	'	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	P	PDS	Neut|_|Sg	7	obja	_	_
7	sollt	sollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
8	'	'	$	$(	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	0	root	348	348
10	hinterlassen	hinterlassen	V	VVINF	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	0	root	_	_
13	sich	sie	P	PRF	3|_|_	0	root	_	_
14	der	die	A	ART	Def|_|_|_	15	det	27	27
15	Kopetzky	Kopetzky	N	NN	_|_|_	0	root	27	27
16	oder	oder	K	KON	_	15	kon	27	27
17	der	die	A	ART	Def|_|_|_	18	det	27	27
18	Wymetal	Wymetal	N	NN	_|_|_	16	cj	27	27
19	an	an	P	APPR	Dat	18	pp	27	27
20	meiner	meine	A	PPOSAT	Fem|Dat|Sg	19	pn	27	27
21	Statt	Statt	K	KOUI	_	0	root	348)	348)
22	mit	mit	P	APPR	Dat	25	pp	348)	348)
23	dem	die	A	ART	Def|Masc|Dat|Sg	24	det	20	20
24	Kerl	Kerl	N	NN	Masc|Dat|Sg	22	pn	20	20
25	schlagen	schlagen	V	VVINF	_	0	root	_	_
26	...	...	$	$.	_	0	root	_	_
27	Ah	Ah	N	NN	Fem|_|Sg	31	vok	88	88
28	,	,	$	$,	_	0	root	_	_
29	so	so	A	ADV	_	30	adv	_	_
30	leicht	leicht	A	ADJD	Pos|	31	adv	_	_
31	sollt	sollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
32	'	'	$	$(	_	0	root	_	_
33	der	die	P	PDS	_|_|Sg	0	root	_	_
34	doch	doch	A	ADV	_	33	adv	_	_
35	nicht	nicht	P	PTKNEG	_	33	adv	_	_
36	davonkommen	davonkommen	V	VVINF	_	0	root	_	_
37	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ah	Ah	N	NN	Fem|_|Sg	0	root	88	88
3	,	,	$	$,	_	0	root	_	_
4	was	was	P	PWS	Neut|_|Sg	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	das	die	P	PDS	Neut|Nom|Sg	1	subj	_	_
3	nicht	nicht	P	PTKNEG	_	1	adv	_	_
4	egal	egal	A	ADJD	Pos|	1	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	was	was	P	PRELS	Neut|Nom|Sg	8	subj	_	_
7	nachher	nachher	A	ADV	_	8	adv	_	_
8	geschieht	geschehen	V	VVFIN	3|Sg|Pres|Ind	1	objc	_	_
9	?	?	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	348	348
2	erfahr	erfahr	V	VVFIN	1|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_	2	obja	349	349
5	ja	ja	A	ADV	_	2	adv	_	_
6	doch	doch	A	ADV	_	2	adv	_	_
7	nimmer	nimmer	A	ADV	_	2	adv	_	_
8	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Da	da	A	ADV	_	3	adv	_	_
3	schlagen	schlagen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	die	die	A	ART	Def|Masc|Nom|Pl	5	det	350	350
5	Bäume	Baum	N	NN	Masc|Nom|Pl	3	subj	350	350
6	aus	aus	P	PTKVZ	_	3	avz	_	_
7	...	...	$	$.	_	0	root	_	_

1	Im	in	P	APPRART	Dat	3	pp	_	_
2	Volksgarten	Volksgarten	N	NN	Masc|Dat|Sg	1	pn	_	_
3	hab	hab	V	VVFIN	1|Sg|_|_	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	348	348
6	einmal	einmal	A	ADV	_	3	adv	_	_
7	eine	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
8	angesprochen	angesprochen	A	ADJD	Pos|	17	adv	_	_
9	-	-	$	$(	_	0	root	_	_
10	ein	eine	A	ART	Indef|Neut|Nom|Sg	12	det	_	_
11	rotes	rot	A	ADJA	Pos|Neut|Nom|Sg|St|	12	attr	_	_
12	Kleid	Kleid	N	NN	Neut|Nom|Sg	13	subj	_	_
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	8	par	_	_
14	sie	sie	P	PPER	3|_|_|_	15	obja	349	349
15	angehabt	anhaben	V	VVPP	_	13	aux	_	_
16	-	-	$	$(	_	0	root	_	_
17	in	in	P	APPR	Dat	22	objp	_	_
18	der	die	A	ART	Def|Fem|Dat|Sg	19	det	_	_
19	Strozzigasse	Strozzigasse	N	NE	Fem|Dat|Sg	17	pn	_	_
20	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
21	sie	sie	P	PPER	3|Sg|Fem|Nom	20	subj	349	349
22	gewohnt	wohnen	V	VVPP	_	20	aux	_	_
23	-	-	$	$(	_	0	root	_	_
24	nachher	nachher	A	ADV	_	25	adv	_	_
25	hat	haben	V	VAFIN	3|Sg|Pres|Ind	20	kon	_	_
26	sie	sie	P	PPER	3|_|_|_	29	obja	349	349
27	der	die	A	ART	Def|_|_|_	28	det	351	351
28	Rochlitz	Rochlitz	N	NE	Masc|Nom|Sg	25	subj	351	351
29	übernommen	übernehmen	V	VVPP	_	25	aux	_	_
30	...	...	$	$.	_	0	root	_	_

1	Mir	ich	P	PPER	1|Sg|_|Dat	2	objd	348	348
2	scheint	scheinen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	351	351
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	2	kon	_	_
6	sie	sie	P	PPER	3|_|_|_	5	obja	349	349
7	noch	noch	A	ADV	_	5	adv	_	_
8	immer	immer	A	ADV	_	5	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	aber	aber	K	KON	_	0	root	_	_
11	er	er	P	PPER	Masc|Nom|Sg	0	root	351	351
12	red	red	F	FM	_	11	app	_	_
13	'	'	$	$(	_	0	root	_	_
14	t	t	N	NN	_	12	app	_	_
15	nichts	nichts	P	PIS	_	0	root	_	_
16	mehr	mehr	A	ADV	_	15	adv	_	_
17	davon	davon	P	PROAV	_	15	pp	_	_
18	-	-	$	$(	_	0	root	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	20	subj	351	351
20	schämt	schämen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
21	sich	sie	P	PRF	3|_|_	20	obja	_	_
22	vielleicht	vielleicht	A	ADV	_	20	adv	_	_
23	...	...	$	$.	_	0	root	_	_
24	Jetzt	jetzt	A	ADV	_	25	adv	_	_
25	schlaft	schlafen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
26	die	die	A	ART	Def|Fem|_|Sg	27	det	25	25
