1	Gott	Gott	N	NN	Masc|Nom|Sg	2	subj	39	39
5	Ihnen	sie	P	PPER	3|Pl|_|Dat	9	objd	_	_
6	lieber	lieb	A	ADJD	Comp|	9	adv	_	_
7	diesen	diese	A	PDAT	Masc|Acc|Sg	8	det	157	157
8	Brief	Brief	N	NN	Masc|Acc|Sg	9	obja	157	157
9	schicken	schicken	V	VVINF	_	10	aux	_	_
10	sollen	sollen	V	VMINF	_	4	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	89	89
4	Es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	doch	doch	A	ADV	_	5	adv	_	_
7	besser	gut	A	ADJD	Comp|	5	adv	_	_
8	so	so	A	ADV	_	5	adv	_	_
9	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Neut|_|Pl	3	det	159	159
2	junge	jung	A	ADJA	Pos|Neut|_|Pl|St|	3	attr	159	159
3	Frau	Frau	N	NN	Neut|_|Pl	0	root	159	159
4	O	O	N	NN	Neut|_|_	3	app	159	159
5	nein	nein	P	PTKANT	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	schändlich	schändlich	A	ADJD	Pos|	8	pred	_	_
10	...	...	$	$.	_	0	root	_	_
11	von	von	P	APPR	Dat	0	root	_	_
12	mir	ich	P	PPER	1|Sg|_|Dat	11	pn	158	158
13	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	158	158
2	begreife	begreifen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	2	obja	_	_
4	selber	selber	A	ADV	_	2	adv	_	_
5	nicht	nicht	P	PTKNEG	_	2	adv	_	_
6	.	.	$	$.	_	0	root	_	_

1	Adieu	Adieu	N	NE	Masc|_|Sg	5	vok	250	250
2	,	,	$	$,	_	0	root	250	250
3	Alfred	Alfred	N	NE	Masc|_|Sg	1	app	250	250
4	,	,	$	$,	_	0	root	_	_
5	lassen	lassen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
6	Sie	sie	P	PPER	3|Pl|_|Nom	5	subj	159	159
7	mich	ich	P	PPER	1|Sg|_|Acc	5	obja	158	158
8	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	4	subj	89	89
4	umfaßt	umfaßt	V	VVFIN	_|Sg|_|_	0	root	_	_
5	sie	sie	P	PPER	3|_|_|_	4	obja	159	159
6	und	und	K	KON	_	4	kon	_	_
7	bedeckt	bedecken	V	VVFIN	_|_|Pres|Ind	6	cj	_	_
8	ihr	ihre	A	PPOSAT	Neut|_|Sg	9	det	159	159
9	Gesicht	Gesicht	N	NN	Neut|_|Sg	7	obja	_	_
10	mit	mit	P	APPR	Dat	7	pp	_	_
11	heißen	heiß	A	ADJA	Pos|_|Dat|_|_|	12	attr	_	_
12	Küssen	Kuss	N	NN	_|Dat|_	10	pn	_	_
13	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	199	199
2	junge	jung	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	199	199
3	Frau	Frau	N	NN	Fem|_|Sg	0	root	199	199
4	So	so	A	ADV	_	3	adv	199	199
5	...	...	$	$.	_	0	root	_	_
6	halten	halten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	Sie	sie	P	PPER	3|Pl|_|Nom	6	subj	159	159
8	Ihr	ihre	A	PPOSAT	Neut|_|Sg	9	det	159	159
9	Wort	Wort	N	NN	Neut|_|Sg	6	obja	_	_
10	...	...	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	_	_
4	Noch	noch	A	ADV	_	3	adv	_	_
5	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	_	_
6	Kuß	Kuß	N	NN	Masc|Acc|Sg	0	root	_	_
7	-	-	$	$(	_	0	root	_	_
8	noch	noch	A	ADV	_	9	adv	_	_
9	einen	eine	P	PIS	_|_|_	0	root	_	_
10	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	132	132
2	junge	jung	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	132	132
3	Frau	Frau	N	NN	Fem|_|Sg	0	root	132	132
4	Den	die	A	ART	Def|_|_|_	5	det	_	_
5	letzten	letzte	A	ADJA	_|_|_	0	root	_	_
6	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	küßt	küßt	V	VVFIN	3|Sg|_|_	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	2	obja	132	132
4	;	;	$	$.	_	0	root	_	_
5	sie	sie	P	PPER	3|Sg|Fem|Nom	6	subj	132	132
6	erwidert	erwidern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	den	die	A	ART	Def|Masc|Acc|Sg	8	det	160	160
8	Kuß	Kuß	N	NN	Masc|Acc|Sg	6	obja	160	160
9	;	;	$	$.	_	0	root	_	_
10	ihre	ihre	A	PPOSAT	Fem|Nom|Pl	11	det	132	132
11	Lippen	Lippe	N	NN	Fem|Nom|Pl	12	subj	161	161
12	bleiben	bleiben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
13	lange	lange	A	ADJD	_	12	adv	_	_
14	aneinandergeschlossen	aneinandergeschlossen	A	ADJD	Pos|	12	pred	_	_
15	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	89	89
4	Soll	sollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	162	162
6	Ihnen	sie	P	PPER	3|Pl|_|Dat	8	objd	161	161
7	etwas	etwas	P	PIS	_	8	obja	_	_
8	sagen	sagen	V	VVINF	_	4	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	Emma	Emma	N	NE	Fem|_|Sg	4	vok	134	134
11	?	?	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	162	162
2	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
3	jetzt	jetzt	A	ADV	_	2	adv	_	_
4	erst	erst	A	ADV	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	was	was	P	PWS	Neut|Nom|Sg	8	subj	_	_
7	Glück	Glück	N	NN	Neut|Nom|Sg	8	pred	164	164
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	objc	_	_
9	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	132	132
2	junge	jung	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	132	132
3	Frau	Frau	N	NN	Fem|Nom|Sg	4	subj	132	132
4	sinkt	sinken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	in	in	P	APPR	Acc	4	pp	_	_
6	einen	eine	A	ART	Indef|Masc|Acc|Sg	7	det	_	_
7	Fauteuil	Fauteuil	N	NN	Masc|Acc|Sg	5	pn	_	_
8	zurück	zurück	P	PTKVZ	_	4	avz	_	_
9	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	4	subj	89	89
4	setzt	setzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	auf	auf	P	APPR	Acc	4	objp	_	_
7	die	die	A	ART	Def|Fem|Acc|Sg	8	det	163	163
8	Lehne	Lehne	N	NN	Fem|Acc|Sg	6	pn	163	163
9	,	,	$	$,	_	0	root	_	_
10	schlingt	schlingen	V	VVFIN	_|_|Pres|Ind	4	kon	_	_
11	einen	eine	A	ART	Indef|Masc|Acc|Sg	12	det	_	_
12	Arm	Arm	N	NN	Masc|Acc|Sg	10	obja	_	_
13	leicht	leicht	A	ADJD	Pos|	10	adv	_	_
14	um	um	P	APPR	_	10	pp	_	_
15	ihren	ihre	A	PPOSAT	Masc|_|_	16	det	163	163
16	Nacken	Nacken	N	NN	Masc|_|_	14	pn	_	_
17	...	...	$	$.	_	0	root	_	_
18	oder	oder	K	KON	_	0	root	_	_
19	vielmehr	vielmehr	A	ADV	_	18	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	1	1
22	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
23	jetzt	jetzt	A	ADV	_	22	adv	_	_
24	erst	erst	A	ADV	_	22	adv	_	_
25	,	,	$	$,	_	0	root	_	_
26	was	was	P	PRELS	Neut|Nom|Sg	29	subj	_	_
27	Glück	Glück	N	NN	Neut|Nom|Sg	28	pred	164	164
28	sein	sein	V	VAINF	_	29	aux	_	_
29	könnte	können	V	VMFIN	3|Sg|Past|Subj	22	objc	_	_
30	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	132	132
2	junge	jung	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	132	132
3	Frau	Frau	N	NN	Fem|Nom|Sg	4	subj	132	132
4	seufzt	seufzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	tief	tief	A	ADJD	Pos|	4	adv	_	_
6	auf	auf	P	PTKVZ	_	4	avz	_	_
7	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	4	subj	89	89
4	küßt	küßt	V	VVFIN	_|Sg|_|_	0	root	_	_
5	sie	sie	P	PPER	3|_|_|_	4	obja	132	132
6	wieder	wieder	A	ADV	_	4	adv	_	_
7	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	111	111
2	junge	jung	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	111	111
3	Frau	Frau	N	NN	Fem|_|Sg	0	root	111	111
4	Alfred	Alfred	N	NE	Masc|_|Sg	3	app	111	111
5	,	,	$	$,	_	0	root	_	_
6	Alfred	Alfred	N	NE	Masc|_|Sg	4	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PWS	Neut|_|Sg	9	obja	_	_
9	machen	machen	V	VVFIN	3|Pl|Pres|_	6	rel	_	_
10	Sie	sie	P	PPER	3|Pl|_|Nom	9	subj	_	_
11	aus	aus	P	APPR	Dat	9	objp	_	_
12	mir	ich	P	PPER	1|Sg|_|Dat	11	pn	1	1
13	!	!	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	_	_
4	Nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	wahr	wahr	A	ADJD	Pos|	0	root	_	_
6	-	-	$	$(	_	0	root	_	_
7	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	hier	hier	A	ADV	_	8	adv	_	_
10	gar	gar	A	ADV	_	11	adv	_	_
11	nicht	nicht	P	PTKNEG	_	8	adv	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	ungemütlich	ungemütlich	A	ADJD	Pos|	8	pred	_	_
14	...	...	$	$.	_	0	root	_	_
15	Und	und	K	KON	_	0	root	_	_
16	wir	wir	P	PPER	1|Pl|_|Nom	17	subj	_	_
17	sind	sein	V	VAFIN	1|Pl|Pres|Ind	15	cj	_	_
18	ja	ja	A	ADV	_	17	adv	_	_
19	hier	hier	A	ADV	_	17	adv	_	_
20	so	so	A	ADV	_	21	adv	_	_
21	sicher	sicher	A	ADJD	Pos|	17	pred	_	_
22	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	doch	doch	A	ADV	_	2	adv	_	_
4	tausendmal	tausendmal	A	ADV	_	2	adv	_	_
5	schöner	schön	A	ADJD	Comp|	2	pred	_	_
6	als	als	K	KOKOM	_	2	kom	_	_
7	diese	diese	A	PDAT	Neut|_|Pl	8	det	_	_
8	Rendezvous	Rendezvous	N	NN	Neut|_|Pl	6	cj	_	_
9	im	in	P	APPRART	Dat	2	pp	_	_
10	Freien	Freie	N	NN	_|Dat|_	9	pn	165	165
11	...	...	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	_	_
2	junge	jung	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	_	_
3	Frau	Frau	N	NN	Fem|_|Sg	0	root	_	_
4	Oh	Oh	N	NE	Fem|_|Sg	3	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	erinnern	erinnern	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	Sie	sie	P	PPER	3|Pl|_|Nom	6	subj	165	165
8	mich	ich	P	PPER	1|Sg|_|Acc	6	obja	166	166
9	nur	nur	A	ADV	_	6	adv	_	_
10	nicht	nicht	P	PTKNEG	_	6	adv	_	_
11	daran	daran	P	PROAV	_	6	objp	_	_
12	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	89	89
4	Ich	ich	P	PPER	1|Sg|_|Nom	5	subj	166	166
5	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
6	auch	auch	A	ADV	_	12	adv	_	_
7	daran	daran	P	PROAV	_	12	pp	_	_
8	immer	immer	A	ADV	_	9	adv	_	_
9	mit	mit	P	APPR	Dat	12	pp	_	_
10	tausend	tausend	C	CARD	_	11	attr	168	168
11	Freuden	Freude	N	NN	Fem|Dat|Pl	9	pn	168	168
12	denken	denken	V	VVINF	_	5	aux	_	_
13	.	.	$	$.	_	0	root	_	_

1	Für	für	P	APPR	Acc	3	pp	_	_
2	mich	ich	P	PPER	1|Sg|_|Acc	1	pn	166	166
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	jede	jede	A	PIDAT	Fem|Nom|Sg	5	det	167	167
5	Minute	Minute	N	NN	Fem|Nom|Sg	3	subj	167	167
6	,	,	$	$,	_	0	root	167	167
7	die	die	P	PRELS	Fem|_|Sg	12	obja	167	167
8	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	166	166
9	an	an	P	APPR	Dat	12	pp	_	_
10	Ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	11	det	167	167
11	Seite	Seite	N	NN	Fem|Dat|Sg	9	pn	774	774
12	verbringen	verbringen	V	VVINF	_	13	aux	_	_
13	durfte	dürfen	V	VMFIN	1|Sg|Past|Ind	5	rel	_	_
14	,	,	$	$,	_	0	root	_	_
15	eine	eine	A	ART	Indef|Fem|Nom|Sg	17	det	_	_
16	süße	süß	A	ADJA	Pos|Fem|Nom|Sg|_|	17	attr	_	_
17	Erinnerung	Erinnerung	N	NN	Fem|Nom|Sg	3	pred	_	_
18	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	132	132
2	junge	jung	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	132	132
3	Frau	Frau	N	NN	Fem|_|Sg	4	obja	132	132
4	Erinnern	erinnern	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	168	168
6	sich	sie	P	PRF	3|_|_	4	obja	_	_
7	noch	noch	A	ADV	_	4	adv	_	_
8	an	an	P	APPR	Acc	4	objp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	_	_
10	Industriellenball	Industriellenball	N	NN	Masc|Acc|Sg	8	pn	_	_
11	?	?	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	_	_
4	Ob	ob	K	KOUS	_	8	konj	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	169	169
6	mich	ich	P	PRF	1|Sg|Acc	8	obja	_	_
7	daran	daran	P	PROAV	_	8	objp	_	_
8	erinnere	erinnern	V	VVFIN	1|Sg|Pres|_	3	objc	_	_
9	...	...	$	$.	_	0	root	_	_
10	?	?	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	169	169
4	ja	ja	A	ADV	_	10	adv	_	_
5	während	während	P	APPR	Gen	10	pp	_	_
6	des	die	A	ART	Def|_|Gen|Sg	7	det	_	_
7	Soupers	Soupers	N	NN	_|Gen|Sg	5	pn	_	_
8	neben	neben	P	APPR	Dat	10	pp	_	_
9	Ihnen	sie	P	PPER	3|Pl|_|Dat	8	pn	168	168
10	gesessen	sitzen	V	VVPP	_	2	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	ganz	ganz	A	ADV	_	13	adv	_	_
13	nahe	nahe	A	ADJD	_	14	adv	_	_
14	neben	neben	P	APPR	Dat	10	pp	_	_
15	Ihnen	sie	P	PPER	3|Pl|_|Dat	14	pn	170	170
16	.	.	$	$.	_	0	root	_	_

1	Ihr	ihre	A	PPOSAT	Masc|Nom|Sg	2	det	170	170
2	Mann	Mann	N	NN	Masc|Nom|Sg	3	subj	600	600
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	Champagner	Champagner	N	NN	Masc|_|_	3	obja	_	_
5	...	...	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	132	132
2	junge	jung	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	132	132
3	Frau	Frau	N	NN	Fem|Nom|Sg	4	subj	132	132
4	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	ihn	er	P	PPER	3|Sg|Masc|Acc	4	obja	1	1
6	klagend	klagen	A	ADJD	_|<PPRES	4	adv	_	_
7	an	an	P	PTKVZ	_	4	avz	_	_
8	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	89	89
4	Ich	ich	P	PPER	1|Sg|_|Nom	5	subj	172	172
5	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
6	nur	nur	A	ADV	_	9	adv	_	_
7	vom	von	P	APPRART	Dat	9	pp	_	_
8	Champagner	Champagner	N	NN	Masc|Dat|Sg	7	pn	_	_
9	reden	reden	V	VVINF	_	5	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Sagen	sagen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	171	171
3	,	,	$	$,	_	0	root	_	_
4	Emma	Emma	N	NE	Fem|Nom|Sg	2	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	wollen	wollen	V	VMFIN	3|Pl|Pres|_	1	s	_	_
7	Sie	sie	P	PPER	3|Pl|_|Nom	6	subj	171	171
8	nicht	nicht	P	PTKNEG	_	6	adv	_	_
9	ein	eine	A	ART	Indef|Neut|_|Sg	10	det	_	_
10	Glas	Glas	N	NN	Neut|_|Sg	6	obja	_	_
11	Cognac	Cognac	N	NN	Masc|_|Sg	0	root	129	129
12	trinken	trinken	V	VVINF	_	0	root	_	_
13	?	?	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	132	132
2	junge	jung	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	132	132
3	Frau	Frau	N	NN	Fem|_|Sg	0	root	132	132
4	Einen	ein	A	ART	Indef|Masc|Acc|Sg	5	det	_	_
5	Tropfen	Tropfen	N	NN	Masc|Acc|Sg	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	aber	aber	K	KON	_	0	root	_	_
8	geben	geben	V	VVFIN	3|Pl|Pres|_	7	cj	_	_
9	Sie	sie	P	PPER	3|Pl|_|Nom	8	subj	171	171
10	mir	ich	P	PPER	1|Sg|_|Dat	8	objd	172	172
11	vorher	vorher	A	ADV	_	8	adv	_	_
12	ein	eine	A	ART	Indef|Neut|_|Sg	13	det	_	_
13	Glas	Glas	N	NN	Neut|_|Sg	8	obja	_	_
14	Wasser	Wasser	N	NN	Neut|_|_	13	app	_	_
15	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	89	89
4	Ja	ja	P	PTKANT	_	0	root	_	_
5	...	...	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	denn	denn	A	ADV	_	2	adv	_	_
4	nur	nur	A	ADV	_	2	adv	_	_
5	-	-	$	$(	_	0	root	_	_
6	ach	ach	I	ITJ	_	0	root	_	_
7	ja	ja	A	ADV	_	0	root	_	_
8	...	...	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	schlägt	schlagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|_|_|_	4	det	_	_
4	Portiere	Portier	N	NN	_|_|_	2	obja	_	_
5	zurück	zurück	P	PTKVZ	_	2	avz	_	_
6	und	und	K	KON	_	2	kon	_	_
7	geht	gehen	V	VVFIN	_|_|Pres|Ind	6	cj	_	_
8	ins	in	P	APPRART	Acc	7	objp	_	_
9	Schlafzimmer	Schlafzimmer	N	NN	Neut|Acc|_	8	pn	173	173
10	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	132	132
2	junge	jung	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	132	132
3	Frau	Frau	N	NN	Fem|Nom|Sg	4	subj	132	132
4	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	ihm	er	P	PPER	3|Sg|_|Dat	4	objd	1	1
6	nach	nach	P	PTKVZ	_	4	avz	_	_
7	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	4	subj	89	89
4	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	zurück	zurück	A	ADV	_	4	adv	_	_
6	mit	mit	P	APPR	Dat	4	pp	_	_
7	einer	eine	A	ART	Indef|Fem|Dat|Sg	8	det	182	182
