1	Wär	Wär	N	NE	_	0	root	844	844
32	mit	mit	P	APPR	Dat	30	pp	_	_
33	Absicht	Absicht	N	NN	Fem|Dat|Sg	32	pn	850	850
34	.	.	$	$.	_	0	root	_	_
35	«	«	$	$(	_	0	root	_	_
36	-	-	$	$(	_	0	root	_	_
37	»	»	$	$(	_	0	root	_	_
38	Immerhin	immerhin	A	ADV	_	47	adv	_	_
39	«	«	$	$(	_	0	root	_	_
40	,	,	$	$,	_	0	root	_	_
41	sagte	sagen	V	VVFIN	3|Sg|Past|_	38	par	_	_
42	der	die	A	ART	Def|Masc|Nom|Sg	43	det	178	178
43	Abbate	Abbate	N	NN	Masc|Nom|Sg	41	subj	178	178
44	unwillig	unwillig	A	ADJD	Pos|	41	adv	_	_
45	,	,	$	$,	_	0	root	_	_
46	»	»	$	$(	_	0	root	_	_
47	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
48	Ihnen	sie	P	PPER	3|Pl|_|Dat	54	objd	847	847
49	der	die	A	ART	Def|Masc|Nom|Sg	50	det	451	451
50	Leutnant	Leutnant	N	NN	Masc|Nom|Sg	47	subj	451	451
51	das	die	A	ART	Def|Neut|_|Sg	52	det	435	435
52	Geld	Geld	N	NN	Neut|_|Sg	54	obja	435	435
53	nicht	nicht	P	PTKNEG	_	54	adv	_	_
54	herzaubern	herzaubern	V	VVINF	_	47	aux	_	_
55	.	.	$	$.	_	0	root	_	_
56	«	«	$	$(	_	0	root	_	_
57	Die	die	A	ART	Def|_|Nom|Pl	59	det	415	415
58	beiden	beide	A	PIDAT	_|Nom|Pl	59	attr	415	415
59	Ricardi	Ricardi	N	NN	_|Nom|Pl	60	subj	415	415
60	lachten	lachen	V	VVFIN	3|Pl|Past|_	0	root	_	_
61	,	,	$	$,	_	0	root	_	_
62	brachen	brechen	V	VVFIN	_|Pl|Past|_	60	s	_	_
63	aber	aber	A	ADV	_	62	adv	_	_
64	gleich	gleich	A	ADV	_	62	adv	_	_
65	wieder	wieder	A	ADV	_	62	adv	_	_
66	ab	ab	P	PTKVZ	_	62	avz	_	_
67	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	klar	klar	A	ADJD	Pos|	3	pred	_	_
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	wandte	wandte	V	VVFIN	_	3	kon	_	_
8	sich	sie	P	PRF	3|_|Dat	7	objd	_	_
9	Olivo	Olivo	N	NE	_	7	obja	44	44
10	an	an	P	APPR	_	7	pp	_	_
11	den	die	A	ART	Def|_|_|_	12	det	319	319
12	Marchese	Marchese	N	NN	_|_|_	10	pn	319	319
13	,	,	$	$,	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	daß	daß	K	KOUS	_	24	konj	_	_
16	Sie	sie	P	PPER	3|Pl|_|Nom	24	subj	847	847
17	dem	die	A	ART	Def|Masc|Dat|Sg	18	det	126	126
18	Leutnant	Leutnant	N	NN	Masc|Dat|Sg	23	objd	126	126
19	Lorenzi	Lorenzi	N	NE	Masc|Dat|Sg	18	app	126	126
20	vor	vor	P	APPR	Dat	23	pp	_	_
21	allem	alle	P	PIS	_|Dat|Sg	20	pn	_	_
22	einmal	einmal	A	ADV	_	20	adv	_	_
23	gestatten	gestatten	V	VVINF	_	24	aux	_	_
24	müssen	müssen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	sich	sie	P	PRF	3|_|_	28	obja	_	_
27	zu	zu	P	PTKZU	_	28	part	_	_
28	entfernen	entfernen	V	VVINF	_	23	obji	_	_
29	.	.	$	$.	_	0	root	_	_
30	«	«	$	$(	_	0	root	_	_
31	-	-	$	$(	_	0	root	_	_
32	»	»	$	$(	_	0	root	_	_
33	Gegen	gegen	P	APPR	Acc	0	root	_	_
34	ein	eine	A	ART	Indef|Neut|Acc|Sg	35	det	854	854
35	Pfand	Pfand	N	NN	Neut|Acc|Sg	33	pn	854	854
36	«	«	$	$(	_	0	root	_	_
37	,	,	$	$,	_	0	root	_	_
38	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
39	der	die	A	ART	Def|Masc|Nom|Sg	40	det	332	332
40	Marchese	Marchese	N	NN	Masc|Nom|Sg	38	subj	332	332
41	mit	mit	P	APPR	Dat	38	pp	_	_
42	funkelnden	funkelnd	A	ADJA	Pos|Neut|Dat|Pl|_|<PPRES	43	attr	_	_
43	Augen	Auge	N	NN	Neut|Dat|Pl	41	pn	_	_
44	,	,	$	$,	_	0	root	_	_
45	als	als	K	KOKOM	_	46	konj	_	_
46	machte	machen	V	VVFIN	3|Sg|Past|_	38	neb	_	_
47	ihm	er	P	PPER	3|Sg|_|Dat	46	objd	332	332
48	sein	seine	A	PPOSAT	Masc|Nom|Sg	49	det	332	332
49	Einfall	Einfall	N	NN	Masc|Nom|Sg	46	subj	_	_
50	ein	eine	A	ART	Indef|Neut|_|Sg	52	det	_	_
51	besondres	besondres	A	ADJA	_|Neut|_|Sg|_	52	attr	_	_
52	Vergnügen	Vergnügen	N	NN	Neut|_|Sg	46	obja	_	_
53	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	scheint	scheinen	V	VVFIN	3|Sg|Pres|Ind	9	s	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	126	126
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	übel	übel	A	ADJD	Pos|	3	pred	_	_
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	Casanova	Casanova	N	NN	Masc|Nom|Sg	9	subj	11	11
11	etwas	etwas	A	ADV	_	12	adv	_	_
12	zerstreut	zerstreuen	V	VVPP	_	9	neb	_	_
13	,	,	$	$,	_	0	root	_	_
14	denn	denn	K	KON	_	9	kon	_	_
15	sein	seine	A	PPOSAT	Masc|Nom|Sg	16	det	11	11
16	Plan	Plan	N	NN	Masc|Nom|Sg	17	subj	_	_
17	reifte	reifen	V	VVFIN	3|Sg|Past|_	14	cj	_	_
18	heran	heran	P	PTKVZ	_	17	avz	_	_
19	.	.	$	$.	_	0	root	_	_

1	Lorenzi	Lorenzi	N	NE	_|Nom|Sg	2	subj	126	126
2	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	einen	eine	A	ART	Indef|Masc|Acc|Sg	4	det	_	_
4	Ring	Ring	N	NN	Masc|Acc|Sg	2	obja	_	_
5	vom	von	P	APPRART	Dat	4	pp	_	_
6	Finger	Finger	N	NN	Masc|Dat|Sg	5	pn	_	_
7	und	und	K	KON	_	2	kon	_	_
8	ließ	lassen	V	VVFIN	_|Sg|Past|Ind	7	cj	_	_
9	ihn	er	P	PPER	3|Sg|Masc|Acc	8	obja	126	126
10	auf	auf	P	APPR	Acc	13	pp	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	369	369
12	Tisch	Tisch	N	NN	Masc|Acc|Sg	10	pn	369	369
13	gleiten	gleiten	V	VVINF	_	8	obji	_	_
14	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	332	332
2	Marchese	Marchese	N	NN	Masc|Nom|Sg	3	subj	332	332
3	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	ihn	er	P	PPER	3|Sg|Masc|Acc	3	obja	126	126
5	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Der	die	P	PDS	Masc|Nom|Sg	3	subj	_	_
3	mag	mögen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	für	für	P	APPR	Acc	6	pp	_	_
5	tausend	tausend	C	CARD	_	4	pn	_	_
6	gelten	gelten	V	VVINF	_	3	aux	_	_
7	.	.	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	-	-	$	$(	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	Und	und	K	KON	_	0	root	_	_
12	der	die	P	PDS	_|_|Sg	11	cj	_	_
13	hier	hier	A	ADV	_	12	adv	_	_
14	?	?	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_
16	Lorenzi	Lorenzi	N	NE	_|Nom|Sg	17	subj	126	126
17	schleuderte	schleudern	V	VVFIN	3|Sg|Past|_	0	root	_	_
18	einen	eine	A	ART	Indef|Masc|Acc|Sg	20	det	_	_
19	zweiten	zweit	A	ADJA	_|Masc|Acc|Sg|_|	20	attr	_	_
20	Ring	Ring	N	NN	Masc|Acc|Sg	17	obja	_	_
21	vor	vor	P	APPR	_	17	pp	_	_
22	den	die	A	ART	Def|_|_|_	23	det	319	319
23	Marchese	Marchese	N	NN	_|_|_	21	pn	319	319
24	hin	hin	P	PTKVZ	_	17	avz	_	_
25	.	.	$	$.	_	0	root	_	_

1	Dieser	diese	P	PDS	Masc|Nom|Sg	2	subj	_	_
2	nickte	nicken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	und	und	K	KON	_	2	kon	_	_
4	meinte	meinen	V	VVFIN	_|Sg|Past|_	3	cj	_	_
5	:	\:	$	$.	_	0	root	_	_
6	»	»	$	$(	_	0	root	_	_
7	Für	für	P	APPR	Acc	0	root	_	_
8	ebensoviel	ebensoviel	P	PIS	_|Acc|_	7	pn	_	_
9	.	.	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	-	-	$	$(	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	Sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
14	Sie	sie	P	PPER	3|Pl|_|Nom	13	subj	851	851
15	nun	nun	A	ADV	_	13	adv	_	_
16	zufrieden	zufrieden	A	ADJD	Pos|	13	pred	_	_
17	,	,	$	$,	_	0	root	_	_
18	Herr	Herr	N	NN	Masc|_|Sg	13	vok	326	326
19	Marchese	Marchese	N	NE	Masc|_|Sg	18	app	326	326
20	?	?	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_
22	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
23	Lorenzi	Lorenzi	N	NE	_|Nom|Sg	22	subj	126	126
24	und	und	K	KON	_	22	kon	_	_
25	schickte	schicken	V	VVFIN	_|Sg|Past|_	24	cj	_	_
26	sich	sie	P	PRF	3|_|_	25	obja	_	_
27	an	an	P	PTKVZ	_	25	avz	_	_
28	,	,	$	$,	_	0	root	_	_
29	zu	zu	P	PTKZU	_	30	part	_	_
30	gehen	gehen	V	VVINF	_	25	obji	_	_
31	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	126	126
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
4	zufrieden	zufrieden	A	ADJD	Pos|	3	adv	_	_
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	entgegnete	entgegnen	V	VVFIN	3|Sg|Past|_	4	par	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	332	332
9	Marchese	Marchese	N	NN	Masc|Nom|Sg	7	subj	332	332
10	schmunzelnd	schmunzeln	A	ADJD	_|<PPRES	7	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	um	um	P	APPR	_	3	pp	_	_
14	so	so	A	ADV	_	13	adv	_	_
15	mehr	mehr	A	ADV	_	3	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	als	als	K	KOKOM	_	20	kom	_	_
18	diese	diese	A	PDAT	Masc|_|Pl	19	det	_	_
19	Ringe	Ring	N	NN	Masc|_|Pl	17	cj	_	_
20	gestohlen	stehlen	V	VVPP	_	21	aux	_	_
21	sind	sein	V	VAFIN	_|Pl|Pres|Ind	3	kon	_	_
22	.	.	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_
24	Lorenzi	Lorenzi	N	NE	_|Dat|_	25	objd	126	126
25	wandte	wandte	V	VVFIN	_	0	root	_	_
26	sich	sie	P	PRF	3|_|_	25	obja	_	_
27	rasch	rasch	A	ADJD	Pos|	25	adv	_	_
28	um	um	P	PTKVZ	_	25	avz	_	_
29	,	,	$	$,	_	0	root	_	_
30	und	und	K	KON	_	25	kon	_	_
31	über	über	P	APPR	Acc	35	pp	_	_
32	den	die	A	ART	Def|Masc|Acc|Sg	33	det	369	369
33	Tisch	Tisch	N	NN	Masc|Acc|Sg	31	pn	369	369
34	hin	hin	A	APZR	_	31	part	_	_
35	erhob	erheben	V	VVFIN	3|Sg|Past|Ind	30	cj	_	_
36	er	er	P	PPER	3|Sg|Masc|Nom	35	subj	332	332
37	die	die	A	ART	Def|Fem|_|Sg	38	det	_	_
38	Faust	Faust	N	NN	Fem|_|Sg	35	obja	_	_
39	,	,	$	$,	_	0	root	_	_
40	um	um	K	KOUI	_	47	konj	_	_
41	sie	sie	P	PPER	3|_|_|_	47	obja	851	851
42	auf	auf	P	APPR	_	45	pp	_	_
43	den	die	A	ART	Def|_|_|_	44	det	319	319
44	Marchese	Marchese	N	NN	_|_|_	42	pn	319	319
45	niedersausen	niedersausen	V	VVINF	_	47	obji	_	_
46	zu	zu	P	PTKZU	_	47	part	_	_
47	lassen	lassen	V	VVINF	_	35	neb	_	_
48	.	.	$	$.	_	0	root	_	_

1	Olivo	Olivo	N	NE	Masc|Nom|Sg	5	subj	44	44
2	und	und	K	KON	_	1	kon	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	178	178
4	Abbate	Abbate	N	NN	Masc|Nom|Sg	2	cj	178	178
5	hielten	halten	V	VVFIN	_|Pl|Past|_	0	root	_	_
6	seinen	seine	A	PPOSAT	Masc|_|Sg	7	det	178	178
7	Arm	Arm	N	NN	Masc|_|Sg	5	obja	_	_
8	fest	fest	P	PTKVZ	_	5	avz	_	_
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	126	126
3	kenne	kennen	V	VVFIN	1|Sg|Pres|_	9	s	_	_
4	die	die	A	ART	Def|Masc|_|Pl	6	det	_	_
5	beiden	beide	A	PIDAT	Masc|_|Pl	6	attr	_	_
6	Steine	Stein	N	NN	Masc|_|Pl	3	obja	_	_
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	der	die	A	ART	Def|Masc|Nom|Sg	11	det	332	332
11	Marchese	Marchese	N	NN	Masc|Nom|Sg	9	subj	332	332
12	,	,	$	$,	_	0	root	_	_
13	ohne	ohne	K	KOUI	_	19	konj	_	_
14	sich	sie	P	PRF	3|_|_	19	obja	_	_
15	von	von	P	APPR	Dat	19	objp	_	_
16	seinem	seine	A	PPOSAT	Masc|Dat|Sg	17	det	332	332
17	Platz	Platz	N	NN	Masc|Dat|Sg	15	pn	_	_
18	zu	zu	P	PTKZU	_	19	part	_	_
19	rühren	rühren	V	VVINF	_	9	neb	_	_
20	,	,	$	$,	_	0	root	_	_
21	»	»	$	$(	_	0	root	_	_
22	wenn	wenn	K	KOUS	_	27	konj	_	_
23	sie	sie	P	PPER	3|Pl|_|Nom	27	subj	851	851
24	auch	auch	A	ADV	_	26	adv	_	_
25	neu	neu	A	ADJD	Pos|	26	adv	_	_
26	gefaßt	gefaßt	V	VVPP	_	27	aux	_	_
27	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
28	.	.	$	$.	_	0	root	_	_

1	Sehen	sehen	V	VVFIN	3|Pl|Pres|_	15	neb	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	851	851
3	,	,	$	$,	_	0	root	_	_
4	meine	meine	A	PPOSAT	Masc|Nom|Pl	5	det	126	126
5	Herren	Herr	N	NN	Masc|Nom|Pl	2	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	852	852
8	Smaragd	Smaragd	N	NN	Masc|Nom|Sg	9	subj	852	852
9	hat	haben	V	VAFIN	3|Sg|Pres|Ind	1	kon	_	_
10	einen	eine	A	ART	Indef|Masc|Acc|Sg	12	det	_	_
11	kleinen	klein	A	ADJA	Pos|Masc|Acc|Sg|_|	12	attr	_	_
12	Fehler	Fehler	N	NN	Masc|Acc|Sg	9	obja	_	_
13	,	,	$	$,	_	0	root	_	_
14	sonst	sonst	A	ADV	_	15	adv	_	_
15	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	852	852
17	zehnmal	zehnmal	A	ADV	_	18	adv	_	_
18	soviel	soviel	P	PIS	_|Dat|_	15	objd	_	_
19	wert	wert	A	ADJD	Pos|	15	pred	_	_
20	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Rubin	Rubin	N	NN	Masc|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	tadellos	tadellos	A	ADJD	Pos|	3	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	aber	aber	K	KON	_	4	kon	_	_
7	nicht	nicht	P	PTKNEG	_	9	adv	_	_
8	sehr	sehr	A	ADV	_	9	adv	_	_
9	groß	groß	A	ADJD	Pos|	6	cj	_	_
10	.	.	$	$.	_	0	root	_	_

1	Beide	beide	A	PIDAT	Masc|Nom|Pl	2	det	_	_
2	Steine	Stein	N	NN	Masc|Nom|Pl	3	subj	_	_
3	stammen	stammen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	aus	aus	P	APPR	Dat	3	objp	_	_
5	einem	eine	A	ART	Indef|Masc|Dat|Sg	6	det	853	853
6	Schmuck	Schmuck	N	NN	Masc|Dat|Sg	4	pn	853	853
7	,	,	$	$,	_	0	root	853	853
8	den	die	P	PRELS	Masc|Acc|Sg	14	obja	853	853
9	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	126	126
10	selbst	selbst	A	ADV	_	9	adv	_	_
11	einmal	einmal	A	ADV	_	14	adv	_	_
12	meiner	meine	A	PPOSAT	Fem|Dat|Sg	13	det	126	126
13	Frau	Frau	N	NN	Fem|Dat|Sg	14	objd	_	_
14	geschenkt	schenken	V	VVPP	_	15	aux	_	_
15	habe	haben	V	VAFIN	1|Sg|Pres|_	6	rel	_	_
16	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	25	koord	_	_
2	da	da	K	KOUS	_	7	konj	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	126	126
4	doch	doch	A	ADV	_	6	adv	_	_
5	nicht	nicht	P	PTKNEG	_	6	adv	_	_
6	annehmen	annehmen	V	VVINF	_	7	aux	_	_
7	kann	können	V	VMFIN	1|Sg|Pres|Ind	25	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	20	konj	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	11	det	357	357
11	Marchesa	Marchesa	N	NN	Fem|Nom|Sg	20	subj	357	357
12	diese	diese	A	PDAT	Masc|_|Pl	13	det	_	_
13	Steine	Stein	N	NN	Masc|_|Pl	22	obja	_	_
14	für	für	P	APPR	Acc	13	pp	_	_
15	den	die	A	ART	Def|Masc|Acc|Sg	16	det	126	126
16	Leutnant	Leutnant	N	NN	Masc|Acc|Sg	14	pn	126	126
17	Lorenzi	Lorenzi	N	NE	Masc|Acc|Sg	16	app	126	126
18	zu	zu	P	APPR	Dat	20	pp	_	_
19	Ringen	Ring	N	NN	_|Dat|_	18	pn	_	_
20	hat	haben	V	VAFIN	3|Sg|Pres|Ind	6	objc	_	_
21	fassen	fassen	V	VVINF	_	22	obji	_	_
22	lassen	lassen	V	VVINF	_	20	aux	_	_
23	,	,	$	$,	_	0	root	_	_
24	so	so	A	ADV	_	25	adv	_	_
25	können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	_
26	sie	sie	P	PPER	3|Pl|_|Nom	25	subj	851	851
27	,	,	$	$,	_	0	root	_	_
28	-	-	$	$(	_	0	root	_	_
29	so	so	A	ADV	_	30	adv	_	_
30	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
31	offenbar	offenbar	A	ADJD	Pos|	36	adv	_	_
32	der	die	A	ART	Def|Masc|Nom|Sg	34	det	_	_
33	ganze	ganz	A	ADJA	Pos|Masc|Nom|Sg|Wk|	34	attr	_	_
34	Schmuck	Schmuck	N	NN	Masc|Nom|Sg	30	subj	_	_
35	nur	nur	A	ADV	_	36	adv	_	_
36	gestohlen	stehlen	V	VVPP	_	37	aux	_	_
37	sein	sein	V	VAINF	_	30	aux	_	_
38	.	.	$	$.	_	0	root	_	_

1	Also	also	A	ADV	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	das	die	A	ART	Def|Neut|Nom|Sg	4	det	854	854
4	Pfand	Pfand	N	NN	Neut|Nom|Sg	5	subj	854	854
5	genügt	genügen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	855	855
7	,	,	$	$,	_	0	root	855	855
8	Herr	Herr	N	NN	Masc|Dat|Sg	6	app	855	855
9	Leutnant	Leutnant	N	NN	Masc|Dat|Sg	8	app	855	855
10	,	,	$	$,	_	0	root	_	_
11	bis	bis	P	APPR	Acc	5	pp	_	_
12	auf	auf	P	APPR	Acc	11	pp	_	_
13	weiteres	weit	A	ADJA	Comp|Neut|Acc|Sg|St|	12	pn	_	_
14	.	.	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_
16	-	-	$	$(	_	0	root	_	_
17	»	»	$	$(	_	0	root	_	_
18	Lorenzi	Lorenzi	N	NE	_	0	root	126	126
19	!	!	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_
