1	Ah	Ah	N	NN	Fem|_|Sg	0	root	498	498
5	sein	seine	A	PPOSAT	_|_|Sg	0	root	76	76
6	die	die	P	PRELS	_|_|_	0	root	77	77
7	Männer	Mann	N	NN	Masc|_|Pl	8	grad	285	285
8	schlecht	schlecht	A	ADJD	Pos|	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	77	77
4	machen	machen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_	4	obja	_	_
7	sicher	sicher	A	ADJD	Pos|	4	pred	_	_
8	mit	mit	P	APPR	Dat	0	root	_	_
9	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
10	jeden	jede	A	PIDAT	_|_|Sg	0	root	_	_
11	so	so	A	ADV	_	0	root	_	_
12	.	.	$	$.	_	0	root	_	_

1	Soldat	Soldat	N	NN	Masc|_|Sg	0	root	3	3
2	Das	die	A	ART	Def|Neut|_|Sg	3	det	_	_
3	wär	wär	F	FM	Neut|_|Sg	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	z	z	N	NN	Neut|_|Sg	3	app	_	_
6	'	'	$	$(	_	0	root	_	_
7	viel	viel	P	PIS	_	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	Stubenmädchen	Stubenmädchen	N	NN	Neut|_|_	0	root	55	55
2	Franz	Franz	N	NE	_|_|Sg	1	app	55	55
3	,	,	$	$,	_	0	root	_	_
4	bitt	bitt	F	FM	_|_|Sg	2	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	schön	schön	A	ADJD	Pos|	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	heut	heuen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
9	nimmer	nimmer	A	ADV	_	8	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	-	-	$	$(	_	0	root	_	_
12	heut	heut	A	ADJD	Pos|	13	pred	_	_
13	bleiben	bleiben	V	VVFIN	3|Pl|Pres|_	25	s	_	_
14	S	S	N	NN	Neut|Nom|Pl	13	subj	35	35
15	'	'	$	$(	_	0	root	_	_
16	mit	mit	P	APPR	Dat	13	pp	_	_
17	mir	ich	P	PPER	1|Sg|_|Dat	16	pn	78	78
18	,	,	$	$,	_	0	root	_	_
19	schaun	schaun	A	ADJA	_|Neut|Dat|_|_	20	attr	_	_
20	S	S	N	NN	Neut|Dat|_	17	app	_	_
21	'	'	$	$(	_	0	root	_	_
22	-	-	$	$(	_	0	root	_	_

1	Soldat	Soldat	N	NN	Masc|_|Sg	0	root	3	3
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	ja	ja	P	PTKANT	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	schon	schon	A	ADV	_	6	adv	_	_
8	gut	gut	A	ADJD	Pos|	6	pred	_	_
9	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	tanzen	tanzen	V	VVFIN	_|Pl|Pres|_	1	cj	_	_
3	werd	werd	A	ADJD	_	5	adv	_	_
4	'	'	$	$(	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	0	root	78	78
6	doch	doch	A	ADV	_	5	adv	_	_
7	noch	noch	A	ADV	_	5	adv	_	_
8	dürfen	dürfen	V	VMFIN	_|Pl|Pres|_	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	Stubenmädchen	Stubenmädchen	N	NN	Neut|_|_	0	root	34	34
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	78	78
3	tanz	tanz	V	VVFIN	1|Sg|_|_	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	heut	heuen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
6	mit	mit	P	APPR	Dat	5	pp	_	_
7	kein	keine	A	PIAT	_|_|Sg	6	pn	_	_
8	'	'	$	$(	_	0	root	_	_
9	mehr	mehr	A	ADV	_	5	adv	_	_
10	!	!	$	$.	_	0	root	_	_

1	Soldat	Soldat	N	NN	Masc|Nom|Sg	3	pred	_	_
2	Da	da	A	ADV	_	1	adv	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	1	1
5	ja	ja	A	ADV	_	3	adv	_	_
6	schon	schon	A	ADV	_	3	adv	_	_
7	...	...	$	$.	_	0	root	_	_

1	Stubenmädchen	Stubenmädchen	N	NN	Neut|_|_	0	root	34	34
2	Wer	wer	P	PWS	_|Nom|Sg	0	root	_	_
3	denn	denn	A	ADV	_	2	adv	_	_
4	?	?	$	$.	_	0	root	_	_

1	Soldat	Soldat	N	NN	Masc|_|Sg	0	root	_	_
2	Der	die	A	ART	Def|_|Gen|_	3	det	79	79
3	Swoboda	Swoboda	N	NN	_|Gen|_	1	gmod	79	79
4	!	!	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	0	root	_	_
2	schnell	schnell	A	ADJD	Pos|	6	adv	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	6	pred	_	_
4	wieder	wieder	A	ADV	_	3	adv	_	_
5	da	da	A	ADV	_	3	adv	_	_
6	sein	sein	V	VAINF	_	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Noch	noch	A	ADV	_	2	adv	_	_
2	immer	immer	A	ADV	_	3	adv	_	_
3	spielen	spielen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
4	s	s	P	PPER	_|Pl|_|Nom	3	subj	79	79
5	'	'	$	$(	_	0	root	_	_
6	das	die	P	PDS	Neut|_|Sg	3	obja	_	_
7	...	...	$	$.	_	0	root	_	_
8	tadarada	tadarada	F	FM	_	0	root	_	_
9	tadarada	tadarada	F	FM	_	8	app	_	_
10	Singt	Singt	F	FM	_	9	app	_	_
11	mit	mit	P	APPR	Dat	0	root	_	_
12	...	...	$	$.	_	0	root	_	_
13	Also	Also	F	FM	_	0	root	_	_
14	wannst	wannst	F	FM	_	13	app	_	_
15	auf	auf	P	APPR	Acc	17	pp	_	_
16	mich	ich	P	PPER	1|Sg|_|Acc	15	pn	80	80
17	warten	warten	V	VVINF	_	18	aux	_	_
18	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	so	so	A	ADV	_	21	adv	_	_
21	führ	führ	A	ADJD	_	23	adv	_	_
22	'	'	$	$(	_	0	root	_	_
23	ich	ich	P	PPER	1|Sg|_|Nom	0	root	80	80
24	dich	du	P	PPER	Neut|Acc|Sg	0	root	_	_
25	z	z	N	NN	Neut|_|Sg	24	app	_	_
26	'	'	$	$(	_	0	root	_	_
27	Haus	Haus	N	NN	Neut|_|Sg	25	app	_	_
28	...	...	$	$.	_	0	root	_	_
29	wenn	wenn	K	KOUS	_	0	root	_	_
30	nicht	nicht	P	PTKNEG	_	0	root	_	_
31	...	...	$	$.	_	0	root	_	_
32	Servas	Servas	N	NN	_	0	root	_	_
33	-	-	$	$(	_	0	root	_	_

1	Stubenmädchen	Stubenmädchen	N	NN	Neut|_|_	0	root	34	34
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	ich	ich	P	PPER	_|Nom|Sg	0	root	1	1
5	werd	werd	F	FM	_	4	app	_	_
6	'	'	$	$(	_	0	root	_	_
7	warten	warten	V	VVINF	_	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	79	79
2	treten	treten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	in	in	P	APPR	Acc	2	objp	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	_	_
5	Tanzsaal	Tanzsaal	N	NN	Masc|Acc|Sg	3	pn	_	_
6	ein	ein	P	PTKVZ	_	2	avz	_	_
7	.	.	$	$.	_	0	root	_	_

1	Soldat	Soldat	N	NN	Neut|_|_	14	vok	53	53
2	Wissen	Wissen	N	NN	Neut|_|_	1	app	53	53
3	S	S	N	NN	Neut|_|_	2	app	53	53
4	'	'	$	$(	_	0	root	53	53
5	,	,	$	$,	_	0	root	53	53
6	Fräul	Fräul	N	NE	Neut|_|_	3	app	53	53
7	'	'	$	$(	_	0	root	53	53
8	n	n	N	NN	Neut|_|_	6	app	53	53
9	Marie	Marie	N	NE	Neut|_|_	8	app	53	53
10	,	,	$	$,	_	0	root	_	_
11	ein	eine	A	ART	Indef|_|_|Sg	12	det	_	_
12	Glas	Glas	N	NN	_|_|Sg	14	obja	_	_
13	Bier	Bier	N	NN	_|_|Sg	12	app	_	_
14	lassen	lassen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
15	'	'	$	$(	_	0	root	_	_
16	s	s	P	PPER	_|Pl|_|Nom	14	subj	79	79
17	Ihnen	sie	P	PPER	3|Pl|_|Dat	14	objd	_	_
18	geben	geben	V	VVINF	_	14	obji	_	_
19	.	.	$	$.	_	0	root	_	_

1	Zu	zu	P	APPR	Dat	5	pp	_	_
2	einer	eine	A	ART	Indef|Fem|Dat|Sg	3	det	81	81
3	Blonden	Blonde	N	NN	Fem|Dat|Sg	1	pn	81	81
4	sich	sie	P	PRF	3|_|_	5	obja	_	_
5	wendend	wenden	A	ADJD	_|<PPRES	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	die	die	P	PRELS	Fem|Nom|Sg	12	subj	81	81
8	eben	eben	A	ADV	_	12	adv	_	_
9	mit	mit	P	APPR	Dat	12	pp	_	_
10	einem	eine	A	ART	Indef|_|Dat|Sg	11	det	_	_
11	Burschen	Bursche	N	NN	_|Dat|Sg	9	pn	_	_
12	vorbeitanzt	vorbeitanzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	sehr	sehr	A	ADV	_	15	adv	_	_
15	hochdeutsch	hochdeutsch	A	ADJD	Pos|	17	adv	_	_
16	Mein	meine	A	PPOSAT	Neut|_|Sg	17	det	82	82
17	Fräulein	Fräulein	N	NN	Neut|_|Sg	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	darf	dürfen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	82	82
21	bitten	bitten	V	VVINF	_	19	aux	_	_
22	?	?	$	$.	_	0	root	_	_

1	Heißer	heiß	A	ADJA	Pos|Masc|Nom|Sg|St|	2	attr	_	_
2	Sommernachmittag	Sommernachmittag	N	NN	Masc|Nom|Sg	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Die	die	A	ART	Def|_|Nom|Pl	3	det	_	_
3	Eltern	Elter	N	NN	_|Nom|Pl	4	subj	_	_
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
5	schon	schon	A	ADV	_	4	adv	_	_
6	auf	auf	P	APPR	Dat	4	pp	_	_
7	dem	die	A	ART	Def|Neut|Dat|Sg	8	det	560	560
8	Lande	Land	N	NN	Neut|Dat|Sg	6	pn	560	560
9	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	86	86
3	Köchin	Köchin	N	NN	Fem|Nom|Sg	4	subj	86	86
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	Ausgang	Ausgang	N	NN	_|_|Sg	4	obja	93	93
6	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Das	die	A	ART	Def|Neut|Nom|Sg	3	det	83	83
3	Stubenmädchen	Stubenmädchen	N	NN	Neut|Nom|Sg	4	subj	83	83
4	schreibt	schreiben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	in	in	P	APPR	Dat	4	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	85	85
7	Küche	Küche	N	NN	Fem|Dat|Sg	5	pn	85	85
8	einen	eine	A	ART	Indef|Masc|Acc|Sg	9	det	157	157
9	Brief	Brief	N	NN	Masc|Acc|Sg	4	obja	157	157
10	an	an	P	APPR	_	9	pp	157	157
11	den	die	A	ART	Def|_|_|_	12	det	84	84
12	Soldaten	Soldat	N	NN	Masc|Acc|Sg	10	pn	84	84
13	,	,	$	$,	_	0	root	84	84
14	der	die	P	PRELS	Masc|Nom|Sg	17	subj	84	84
15	ihr	ihre	A	PPOSAT	Masc|Nom|Sg	16	det	85	85
16	Geliebter	Geliebte	N	NN	Masc|Nom|Sg	17	pred	_	_
17	ist	sein	V	VAFIN	3|Sg|Pres|Ind	12	rel	_	_
18	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	klingelt	klingeln	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	aus	aus	P	APPR	Dat	2	pp	_	_
4	dem	die	A	ART	Def|Neut|Dat|Sg	5	det	149	149
5	Zimmer	Zimmer	N	NN	Neut|Dat|Sg	3	pn	149	149
6	des	die	A	ART	Def|_|Gen|Sg	8	det	87	87
7	jungen	jung	A	ADJA	Pos|_|Gen|Sg|_|	8	attr	87	87
8	Herrn	Herrn	N	NN	_|Gen|Sg	5	gmod	87	87
9	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	86	86
2	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	auf	auf	P	PTKVZ	_	2	avz	_	_
4	und	und	K	KON	_	2	kon	_	_
5	geht	gehen	V	VVFIN	_|_|Pres|Ind	4	cj	_	_
6	ins	in	P	APPRART	Acc	5	objp	_	_
7	Zimmer	Zimmer	N	NN	Neut|Acc|_	6	pn	_	_
8	des	die	A	ART	Def|_|Gen|Sg	10	det	87	87
9	jungen	jung	A	ADJA	Pos|_|Gen|Sg|_|	10	attr	87	87
10	Herrn	Herrn	N	NN	_|Gen|Sg	7	gmod	87	87
11	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	4	subj	89	89
4	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	auf	auf	P	APPR	Dat	4	pp	_	_
6	dem	die	A	ART	Def|Masc|Dat|Sg	7	det	104	104
7	Diwan	Diwan	N	NN	Masc|Dat|Sg	5	pn	104	104
8	,	,	$	$,	_	0	root	_	_
9	raucht	rauchen	V	VVFIN	_|_|Pres|Ind	4	kon	_	_
10	und	und	K	KON	_	9	kon	_	_
11	liest	lesen	V	VVFIN	_|Sg|Pres|Ind	10	cj	_	_
12	einen	eine	A	ART	Indef|Masc|Acc|Sg	14	det	_	_
13	französischen	französisch	A	ADJA	Pos|Masc|Acc|Sg|_|	14	attr	_	_
14	Roman	Roman	N	NN	Masc|Acc|Sg	11	obja	_	_
15	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	107	107
2	Stubenmädchen	Stubenmädchen	N	NN	Neut|_|Sg	0	root	107	107
3	Bitt	Bitt	N	NE	Neut|_|Sg	2	app	107	107
4	'	'	$	$(	_	0	root	_	_
5	schön	schön	A	ADJD	Pos|	8	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	junger	jung	A	ADJA	Pos|_|_|_|St|	5	kon	_	_
8	Herr	Herr	N	NN	Masc|_|Sg	0	root	_	_
9	?	?	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	94	94
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	94	94
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	94	94
4	Ah	Ah	N	NE	Masc|Nom|Sg	3	app	94	94
5	ja	ja	A	ADV	_	4	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	Marie	Marie	N	NN	Masc|Nom|Sg	4	kon	53	53
8	,	,	$	$,	_	0	root	53	53
9	ah	ah	N	NE	Masc|Nom|Sg	7	kon	53	53
10	ja	ja	A	ADV	_	9	adv	53	53
11	,	,	$	$,	_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	88	88
13	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
14	'	'	$	$(	_	0	root	_	_
15	geläutet	läuten	V	VVPP	_	13	aux	_	_
16	,	,	$	$,	_	0	root	_	_
17	ja	ja	A	ADV	_	0	root	_	_
18	...	...	$	$.	_	0	root	_	_
19	was	was	P	PWS	Neut|_|Sg	20	obja	_	_
20	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
21	'	'	$	$(	_	0	root	_	_
22	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	88	88
23	nur	nur	A	ADV	_	20	adv	_	_
24	...	...	$	$.	_	0	root	_	_
25	ja	ja	A	ADV	_	26	adv	_	_
26	richtig	richtig	A	ADJD	Pos|	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	die	die	A	ART	Def|_|_|_	29	det	_	_
29	Rouletten	Roulett	N	NN	_|Nom|Pl	30	subj	_	_
30	lassen	lassen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
31	S	S	N	NN	Neut|_|_	30	obja	_	_
32	'	'	$	$(	_	0	root	_	_
33	herunter	herunter	A	ADV	_	31	adv	_	_
34	,	,	$	$,	_	0	root	_	_
35	Marie	Marie	N	NN	Neut|_|_	31	app	_	_
36	...	...	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	kühler	kühl	A	ADJD	Comp|	2	pred	_	_
4	,	,	$	$,	_	0	root	_	_
5	wenn	wenn	K	KOUS	_	9	konj	_	_
6	die	die	A	ART	Def|_|_|_	7	det	_	_
7	Rouletten	Roulett	N	NN	_|Nom|Pl	9	subj	_	_
8	unten	unten	A	ADV	_	7	adv	_	_
9	sind	sein	V	VAFIN	3|Pl|Pres|Ind	2	neb	_	_
10	...	...	$	$.	_	0	root	_	_
11	ja	ja	A	ADV	_	0	root	_	_
12	...	...	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	83	83
2	Stubenmädchen	Stubenmädchen	N	NN	Neut|Nom|Sg	3	subj	83	83
3	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	zum	zu	P	APPRART	Dat	3	objp	_	_
5	Fenster	Fenster	N	NN	Neut|Dat|Sg	4	pn	564	564
6	und	und	K	KON	_	3	kon	_	_
7	läßt	lassen	V	VVFIN	_|Sg|Pres|Ind	6	cj	_	_
8	die	die	A	ART	Def|_|_|_	9	det	_	_
9	Rouletten	Roulett	N	NN	_|_|_	7	obja	_	_
10	herunter	herunter	A	ADV	_	7	adv	_	_
11	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	4	subj	89	89
4	liest	lesen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	weiter	weiter	A	ADV	_	4	adv	_	_
6	Was	was	P	PWS	Neut|_|Sg	7	obja	_	_
7	machen	machen	V	VVFIN	3|Pl|Pres|_	4	objc	_	_
8	S	S	N	NN	Neut|Nom|Pl	7	subj	_	_
9	'	'	$	$(	_	0	root	_	_
10	denn	denn	A	ADV	_	8	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	Marie	Marie	N	NE	Neut|Nom|Pl	8	app	_	_
13	?	?	$	$.	_	0	root	_	_

1	Ah	Ah	I	ITJ	_	0	root	_	_
2	ja	ja	A	ADV	_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
