1	Ah	Ah	I	ITJ	_	0	root	_	_
6	Kerl	Kerl	N	NN	Masc|Nom|Sg	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	so	so	A	ADV	_	10	adv	_	_
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	10	det	_	_
10	Hund	Hund	N	NN	Masc|Nom|Sg	6	kon	_	_
11	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	1	cj	127	127
3	kennt	kennen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	mich	ich	P	PPER	1|Sg|_|Acc	3	obja	122	122
5	Herrgott	Herrgott	N	NN	Masc|Nom|Sg	3	subj	111	111
6	noch	noch	A	ADV	_	3	adv	_	_
7	einmal	einmal	A	ADV	_	3	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	111	111
10	kennt	kennen	V	VVFIN	3|Sg|Pres|Ind	3	kon	_	_
11	mich	ich	P	PPER	1|Sg|_|Acc	10	obja	122	122
12	,	,	$	$,	_	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	111	111
14	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	10	kon	_	_
15	,	,	$	$,	_	0	root	_	_
16	wer	wer	P	PWS	_|Nom|Sg	18	subj	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	18	pred	122	122
18	bin	sein	V	VAFIN	1|Sg|Pres|Ind	14	objc	_	_
19	!	!	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	111	111
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	jedem	jede	A	PIAT	Masc|Dat|Sg	4	det	_	_
4	Menschen	Mensch	N	NN	Masc|Dat|Sg	5	objd	_	_
5	erzählen	erzählen	V	VVINF	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	14	konj	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	127	127
9	mir	ich	P	PPER	1|Sg|_|Dat	13	objd	122	122
10	das	die	A	ART	Def|Neut|_|Sg	11	det	_	_
11	g	g	N	NN	Neut|_|Sg	13	obja	_	_
12	'	'	$	$(	_	0	root	_	_
13	sagt	sagt	V	VVPP	_	14	aux	_	_
14	hat	haben	V	VAFIN	3|Sg|Pres|Ind	5	objc	_	_
15	!	!	$	$.	_	0	root	_	_
16	...	...	$	$.	_	0	root	_	_

1	Nein	nein	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	nein	nein	P	PTKANT	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	das	die	P	PDS	Neut|_|Sg	10	obja	_	_
6	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	127	127
8	ja	ja	A	ADV	_	10	adv	_	_
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	tun	tun	V	VVINF	_	6	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	sonst	sonst	A	ADV	_	13	adv	_	_
13	hätt	hätt	V	VVFIN	_	6	kon	_	_
14	'	'	$	$(	_	0	root	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	20	subj	127	127
16	auch	auch	A	ADV	_	20	adv	_	_
17	nicht	nicht	P	PTKNEG	_	20	adv	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	leise	leise	A	ADJD	Pos|	20	adv	_	_
20	geredet	reden	V	VVPP	_	13	neb	_	_
21	...	...	$	$.	_	0	root	_	_
22	er	er	P	PPER	3|Sg|Masc|Nom	23	subj	127	127
23	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
24	auch	auch	A	ADV	_	26	adv	_	_
25	nur	nur	A	ADV	_	26	adv	_	_
26	wollen	wollen	V	VMINF	_	23	aux	_	_
27	,	,	$	$,	_	0	root	_	_
28	daß	daß	K	KOUS	_	0	root	_	_
29	ich	ich	P	PPER	1|Sg|_|Nom	0	root	122	122
30	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
31	allein	allein	A	ADV	_	32	adv	_	_
32	hör	hören	V	VVIMP	Sg	0	root	_	_
33	'	'	$	$(	_	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	....	....	F	FM	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	wer	wer	P	PWS	_|Nom|Sg	3	subj	_	_
3	garantiert	garantieren	V	VVFIN	3|Sg|Pres|Ind	14	subjc	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	122	122
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	12	konj	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	127	127
8	'	'	$	$(	_	0	root	_	_
9	s	s	P	PPER	_|_|_|Dat	12	objd	111	111
10	nicht	nicht	P	PTKNEG	_	12	adv	_	_
11	doch	doch	A	ADV	_	12	adv	_	_
12	erzählt	erzählen	V	VVFIN	3|Sg|Pres|Ind	3	objc	_	_
13	,	,	$	$,	_	0	root	_	_
14	heut	heuen	V	VVFIN	_|_|Pres|Ind	1	cj	_	_
15	'	'	$	$(	_	0	root	_	_
16	oder	oder	K	KON	_	0	root	_	_
17	morgen	morgen	A	ADV	_	16	cj	_	_
18	,	,	$	$,	_	0	root	_	_
19	seiner	seine	A	PPOSAT	Fem|_|Sg	20	det	127	127
20	Frau	Frau	N	NN	Fem|_|Sg	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	seiner	seine	A	PPOSAT	Fem|_|Sg	23	det	127	127
23	Tochter	Tochter	N	NN	Fem|_|Sg	20	kon	_	_
24	,	,	$	$,	_	0	root	_	_
25	seinen	seine	A	PPOSAT	_|_|_	26	det	127	127
26	Bekannten	Bekannte	N	NN	_|_|_	23	kon	128	128
27	im	in	P	APPRART	Dat	26	pp	128	128
28	Kaffeehaus	Kaffeehaus	N	NN	Neut|Dat|Sg	27	pn	74	74
29	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Um	Um	K	KOUI	_	0	root	_	_
4	Gottes	Gott	N	NN	Masc|Gen|Sg	0	root	104	104
5	willen	willen	A	APZR	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	morgen	morgen	A	ADV	_	8	adv	_	_
8	seh	seh	A	ADJD	_	10	adv	_	_
9	'	'	$	$(	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	0	root	122	122
11	ihn	er	P	PPER	3|Sg|Masc|Acc	0	root	104	104
12	ja	ja	A	ADV	_	11	adv	_	_
13	wieder	wieder	A	ADV	_	11	adv	_	_
14	!	!	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	0	root	122	122
3	morgen	morgen	A	ADV	_	4	adv	_	_
4	ins	in	P	APPRART	Acc	0	root	_	_
5	Kaffeehaus	Kaffeehaus	N	NN	Neut|Acc|Sg	4	pn	_	_
6	komm	komm	F	FM	Neut|Acc|Sg	5	app	_	_
