1	Jugend	Jugend	N	NN	Fem|Nom|Sg	10	subj	1100	1100
38	.	.	$	$.	_	0	root	_	_

1	Im	in	P	APPRART	Dat	17	pp	_	_
2	untrüglichen	untrüglich	A	ADJA	Pos|Neut|Dat|Sg|Wk|	3	attr	_	_
3	Gefühl	Gefühl	N	NN	Neut|Dat|Sg	1	pn	_	_
4	,	,	$	$,	_	0	root	_	_
5	ebenso	ebenso	A	ADV	_	7	adv	1048	1048
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	1048	1048
7	Beglückende	Beglückende	N	NN	Masc|Nom|Sg	9	pred	1048	1048
8	zu	zu	P	PTKZU	_	9	part	_	_
9	sein	sein	V	VAINF	_	3	obji	_	_
10	,	,	$	$,	_	0	root	_	_
11	als	als	K	KOUS	_	15	konj	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	1048	1048
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	_	_
14	Beglückte	Beglückte	N	NN	Masc|Nom|Sg	15	pred	_	_
15	war	sein	V	VAFIN	3|Sg|Past|Ind	9	neb	_	_
16	,	,	$	$,	_	0	root	_	_
17	glaubte	glauben	V	VVFIN	3|Sg|Past|_	0	root	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	1048	1048
19	sich	sie	P	PRF	3|_|_	17	obja	_	_
20	schon	schon	A	ADV	_	17	adv	_	_
21	zu	zu	P	APPR	Dat	24	pp	_	_
22	dem	die	A	ART	Def|Neut|Dat|Sg	23	det	_	_
23	Wagnis	Wagnis	N	NN	Neut|Dat|Sg	21	pn	_	_
24	entschlossen	entschlossen	V	VVPP	_	17	neb	_	_
25	,	,	$	$,	_	0	root	_	_
26	seinen	seine	A	PPOSAT	Masc|_|_	27	det	1048	1048
27	Namen	Name	N	NN	Masc|_|_	29	obja	_	_
28	zu	zu	P	PTKZU	_	29	part	_	_
29	nennen	nennen	V	VVINF	_	24	obji	_	_
30	,	,	$	$,	_	0	root	_	_
31	wenn	wenn	K	KOUS	_	38	konj	_	_
32	er	er	P	PPER	3|Sg|Masc|Nom	38	subj	1048	1048
33	sich	sie	P	PRF	3|_|Dat	38	objd	_	_
34	auch	auch	A	ADV	_	38	adv	_	_
35	immer	immer	A	ADV	_	36	adv	_	_
36	noch	noch	A	ADV	_	38	adv	_	_
37	bewußt	bewußt	A	ADJD	Pos|	38	pred	_	_
38	war	sein	V	VAFIN	3|Sg|Past|Ind	29	neb	_	_
39	,	,	$	$,	_	0	root	_	_
40	damit	damit	K	KOUS	_	0	root	_	_
41	ein	eine	A	ART	Indef|Neut|_|Sg	43	det	1049	1049
42	großes	groß	A	ADJA	Pos|Neut|_|Sg|St|	43	attr	1049	1049
43	Spiel	Spiel	N	NN	Neut|_|Sg	45	obja	1049	1049
44	zu	zu	P	PTKZU	_	45	part	_	_
45	spielen	spielen	V	VVINF	_	0	root	_	_
46	,	,	$	$,	_	0	root	_	_
47	das	die	P	PRELS	Neut|_|Sg	0	root	1049	1049
48	er	er	P	PPER	3|Sg|Masc|Nom	57	subj	1048	1048
49	,	,	$	$,	_	0	root	_	_
50	wenn	wenn	K	KOUS	_	53	konj	_	_
51	er	er	P	PPER	3|Sg|Masc|Nom	53	subj	1048	1048
52	es	es	P	PPER	3|Sg|Neut|_	53	obja	_	_
53	verlor	verlieren	V	VVFIN	3|Sg|Past|Ind	57	neb	_	_
54	,	,	$	$,	_	0	root	_	_
55	bereit	bereit	A	ADJD	Pos|	56	pred	_	_
56	sein	sein	V	VAINF	_	57	aux	_	_
57	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
58	,	,	$	$,	_	0	root	_	_
59	mit	mit	P	APPR	Dat	63	pp	_	_
60	dem	die	A	ART	Def|Neut|Dat|Sg	61	det	502	502
61	Dasein	Dasein	N	NN	Neut|Dat|Sg	59	pn	502	502
62	zu	zu	P	PTKZU	_	63	part	_	_
63	bezahlen	bezahlen	V	VVINF	_	56	obji	_	_
64	.	.	$	$.	_	0	root	_	_

1	Noch	noch	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	undurchdringliche	undurchdringlich	A	ADJA	Pos|Fem|Nom|Sg|_|	4	attr	_	_
4	Dunkelheit	Dunkelheit	N	NN	Fem|Nom|Sg	2	subj	_	_
5	um	um	P	APPR	Acc	2	pp	_	_
6	ihn	er	P	PPER	3|Sg|Masc|Acc	5	pn	1048	1048
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	2	kon	_	_
9	bis	bis	K	KOUS	_	17	konj	_	_
10	durch	durch	P	APPR	Acc	17	pp	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	13	det	_	_
12	dichten	dicht	A	ADJA	Pos|Masc|Acc|Sg|_|	13	attr	_	_
13	Vorhang	Vorhang	N	NN	Masc|Acc|Sg	10	pn	_	_
14	das	die	A	ART	Def|Neut|Nom|Sg	16	det	_	_
15	erste	erst	A	ADJA	_|Neut|Nom|Sg|Wk|	16	attr	_	_
16	Dämmern	Dämmer	N	NN	Neut|Nom|Sg	17	subj	_	_
17	brach	brechen	V	VVFIN	3|Sg|Past|Ind	19	neb	_	_
18	,	,	$	$,	_	0	root	_	_
19	durfte	dürfen	V	VMFIN	3|Sg|Past|Ind	8	cj	_	_
20	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	1048	1048
21	ein	eine	A	ART	Indef|Neut|_|Sg	22	det	_	_
22	Geständnis	Geständnis	N	NN	Neut|_|Sg	23	obja	_	_
23	hinauszögern	hinauszögern	V	VVINF	_	19	aux	_	_
24	,	,	$	$,	_	0	root	_	_
25	an	an	P	APPR	_	36	objp	_	_
26	dessen	die	A	PRELAT	Fem|_|Sg	27	det	_	_
27	Aufnahme	Aufnahme	N	NN	Fem|_|Sg	25	pn	_	_
28	durch	durch	P	APPR	Acc	27	pp	_	_
29	Marcolina	Marcolina	N	NN	_|Acc|_	28	pn	119	119
30	sein	seine	A	PPOSAT	Neut|Nom|Sg	31	det	1048	1048
31	Schicksal	Schicksal	N	NN	Neut|Nom|Sg	36	subj	1050	1050
32	,	,	$	$,	_	0	root	1050	1050
33	ja	ja	A	ADV	_	35	adv	1050	1050
34	sein	seine	A	PPOSAT	Neut|Nom|Sg	35	det	1050	1050
35	Leben	Leben	N	NN	Neut|Nom|Sg	31	kon	_	_
36	hing	hängen	V	VVFIN	3|Sg|Past|Ind	22	rel	_	_
37	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	war	sein	V	VAFIN	_|Sg|Past|Ind	1	cj	_	_
3	denn	denn	A	ADV	_	12	adv	_	_
4	nicht	nicht	P	PTKNEG	_	12	adv	_	_
5	gerade	gerade	A	ADV	_	12	adv	_	_
6	dieses	diese	A	PDAT	Neut|Nom|Sg	10	det	_	_
7	stummselige	stummselig	A	ADJA	Pos|Neut|Nom|Sg|Wk|	10	attr	_	_
8	,	,	$	$,	_	0	root	_	_
9	süßverlorene	süßverloren	A	ADJA	Pos|_|Nom|_|_|	7	kon	_	_
10	Zusammensein	Zusammensein	N	NN	Neut|Nom|Sg	2	subj	_	_
11	dazu	dazu	P	PROAV	_	12	objp	_	_
12	gemacht	machen	V	VVPP	_	2	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	ihm	er	P	PPER	3|Sg|_|Dat	22	objd	1048	1048
15	Marcolina	Marcolina	N	NN	_	22	obja	119	119
16	von	von	P	APPR	Dat	15	pp	119	119
17	Kuß	Kuß	N	NN	Masc|Dat|Sg	16	pn	119	119
18	zu	zu	P	APPR	Dat	16	kon	119	119
19	Kuß	Kuß	N	NN	Masc|Dat|Sg	18	pn	119	119
20	unlöslicher	unlöslich	A	ADJD	Comp|	22	adv	_	_
21	zu	zu	P	PTKZU	_	22	part	_	_
22	verbinden	verbinden	V	VVINF	_	12	obji	_	_
23	?	?	$	$.	_	0	root	_	_

1	Wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
4	sich	sie	P	PRF	3|_|_	7	obja	_	_
5	als	als	K	KOKOM	_	7	kom	_	_
6	Betrug	Betrug	N	NN	Masc|_|Sg	5	cj	_	_
7	entspannen	entspannen	V	VVFIN	_|Pl|_|_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	Wahrheit	Wahrheit	N	NN	Fem|_|Sg	0	root	_	_
11	in	in	P	APPR	Dat	10	pp	_	_
12	den	die	A	ART	Def|Fem|Dat|Pl	14	det	_	_
13	namenlosen	namenlos	A	ADJA	Pos|Fem|Dat|Pl|_|	14	attr	_	_
14	Entzückungen	Entzückung	N	NN	Fem|Dat|Pl	11	pn	_	_
15	dieser	diese	A	PDAT	Fem|Gen|Sg	16	det	446	446
16	Nacht	Nacht	N	NN	Fem|Gen|Sg	14	gmod	446	446
17	?	?	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	durchschauerte	durchschauern	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	446	446
5	,	,	$	$,	_	0	root	_	_
6	die	die	A	ART	Def|_|Nom|_	7	det	_	_
7	Betrogene	Betrogene	N	NN	_|Nom|_	4	kon	_	_
8	,	,	$	$,	_	0	root	_	_
9	die	die	A	ART	Def|_|Nom|_	10	det	_	_
10	Geliebte	Geliebte	N	NN	_|Nom|_	7	kon	_	_
11	,	,	$	$,	_	0	root	_	_
12	die	die	A	ART	Def|_|_|_	13	det	_	_
13	Einzige	einzig	A	ADJA	_|_|_	10	kon	_	_
14	,	,	$	$,	_	0	root	_	_
15	nicht	nicht	P	PTKNEG	_	3	adv	_	_
16	selbst	selbst	A	ADV	_	3	adv	_	_
17	schon	schon	A	ADV	_	3	adv	_	_
18	eine	eine	A	ART	Indef|Fem|_|Sg	19	det	_	_
19	Ahnung	Ahnung	N	NN	Fem|_|Sg	3	obja	_	_
20	,	,	$	$,	_	0	root	_	_
21	daß	daß	K	KOUS	_	0	root	_	_
22	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
23	nicht	nicht	P	PTKNEG	_	24	adv	126	126
24	Lorenzi	Lorenzi	N	NE	Masc|Nom|Sg	0	root	126	126
25	,	,	$	$,	_	0	root	126	126
26	der	die	A	ART	Def|Masc|Nom|Sg	27	det	126	126
27	Jüngling	Jüngling	N	NN	Masc|Nom|Sg	24	kon	126	126
28	,	,	$	$,	_	0	root	126	126
29	der	die	A	ART	Def|Masc|Nom|Sg	30	det	126	126
30	Wicht	Wicht	N	NN	Masc|Nom|Sg	27	kon	126	126
31	,	,	$	$,	_	0	root	_	_
32	daß	daß	K	KOUS	_	0	root	_	_
33	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
34	ein	eine	A	ART	Indef|Masc|Nom|Sg	35	det	_	_
35	Mann	Mann	N	NN	Masc|Nom|Sg	0	root	_	_
36	,	,	$	$,	_	0	root	_	_
37	-	-	$	$(	_	0	root	_	_
38	daß	daß	K	KOUS	_	41	konj	_	_
39	es	es	P	PPER	3|Sg|Neut|Nom	41	subj	_	_
40	Casanova	Casanova	N	NN	Masc|Nom|Sg	41	pred	45	45
41	war	sein	V	VAFIN	_|Sg|Past|Ind	35	objc	45	45
42	,	,	$	$,	_	0	root	45	45
43	in	in	P	APPR	_	47	pp	45	45
44	dessen	die	A	PRELAT	_|_|_	45	det	1051	1051
45	Göttergluten	Götterglut	N	NN	_|_|_	43	pn	1051	1051
46	sie	sie	P	PPER	3|Sg|Fem|Nom	47	subj	446	446
47	verging	vergehen	V	VVFIN	3|Sg|Past|Ind	40	rel	_	_
48	?	?	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	schon	schon	A	ADV	_	3	adv	_	_
3	begann	beginnen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	1051	1051
5	es	es	P	PPER	3|Sg|Neut|_	3	expl	_	_
6	für	für	P	APPR	Acc	9	objp	_	_
7	möglich	möglich	A	ADJD	Pos|	6	pn	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	halten	halten	V	VVINF	_	3	obji	_	_
10	,	,	$	$,	_	0	root	_	_
11	daß	daß	K	KOUS	_	24	konj	_	_
12	ihm	er	P	PPER	3|Sg|_|Dat	23	objd	1051	1051
13	der	die	A	ART	Def|Masc|Nom|Sg	18	det	1053	1053
14	ersehnte	ersehnt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	18	attr	1053	1053
15	und	und	K	KON	_	14	kon	1053	1053
16	doch	doch	A	ADV	_	15	cj	1053	1053
17	gefürchtete	gefürchtet	A	ADJA	Pos|Masc|Nom|Sg|Wk|	18	attr	1053	1053
18	Augenblick	Augenblick	N	NN	Masc|Nom|Sg	24	subj	1053	1053
19	des	die	A	ART	Def|Neut|Gen|Sg	20	det	1052	1052
20	Geständnisses	Geständnis	N	NN	Neut|Gen|Sg	18	gmod	1052	1052
21	gänzlich	gänzlich	A	ADJD	Pos|	22	adv	_	_
22	erspart	erspart	A	ADJD	Pos|	23	pred	_	_
23	bleiben	bleiben	V	VVINF	_	24	aux	_	_
24	würde	werden	V	VAFIN	_|Sg|Past|Subj	9	objc	_	_
25	;	;	$	$.	_	0	root	_	_
26	er	er	P	PPER	3|Sg|Masc|Nom	27	subj	1051	1051
27	träumte	träumen	V	VVFIN	3|Sg|Past|_	0	root	_	_
28	davon	davon	P	PROAV	_	27	pp	_	_
29	,	,	$	$,	_	0	root	_	_
30	daß	daß	K	KOUS	_	0	root	_	_
31	Marcolina	Marcolina	N	NE	_	0	root	119	119
32	selbst	selbst	A	ADV	_	31	adv	119	119
33	,	,	$	$,	_	0	root	_	_
34	bebend	beben	A	ADJD	_|<PPRES	36	adv	_	_
35	,	,	$	$,	_	0	root	_	_
36	gebannt	bannen	V	VVPP	_	38	neb	_	_
37	,	,	$	$,	_	0	root	_	_
38	erlöst	erlösen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
39	ihm	er	P	PPER	3|Sg|_|Dat	38	objd	1051	1051
40	seinen	seine	A	PPOSAT	Masc|_|_	41	det	1051	1051
41	Namen	Name	N	NN	Masc|_|_	38	obja	_	_
42	entgegenflüstern	entgegenflüstern	V	VVINF	_	43	aux	_	_
43	würde	werden	V	VAFIN	_|Sg|Past|Subj	0	root	_	_
44	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dann	dann	A	ADV	_	14	adv	_	_
3	-	-	$	$(	_	0	root	_	_
4	wenn	wenn	K	KOUS	_	8	konj	_	_
5	sie	sie	P	PPER	3|_|_|_	8	obja	446	446
6	so	so	A	ADV	_	8	adv	_	_
7	ihm	er	P	PPER	3|Sg|_|Dat	8	objd	1053	1053
8	verziehen	verzeihen	V	VVPP	_	2	par	_	_
9	-	-	$	$(	_	0	root	_	_
10	nein	nein	P	PTKANT	_	8	par	_	_
11	-	-	$	$(	_	0	root	_	_
12	seine	seine	A	PPOSAT	Fem|_|Sg	13	det	1053	1053
13	Verzeihung	Verzeihung	N	NN	Fem|_|Sg	14	obja	_	_
14	empfangen	empfangen	V	VVINF	_	1	cj	_	_
15	-	-	$	$(	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	dann	dann	A	ADV	_	18	adv	_	_
18	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	1053	1053
20	sie	sie	P	PPER	3|_|_|_	23	obja	446	446
21	mit	mit	P	APPR	Dat	23	pp	_	_
22	sich	sie	P	PRF	3|_|Dat	21	pn	_	_
23	nehmen	nehmen	V	VVINF	_	18	aux	_	_
24	,	,	$	$,	_	0	root	_	_
25	sofort	sofort	A	ADV	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	in	in	P	APPR	Dat	0	root	_	_
28	dieser	diese	A	PDAT	Fem|Dat|Sg	30	det	1054	1054
29	selben	selben	A	ADJA	_|Fem|Dat|Sg|_	30	attr	1054	1054
30	Stunde	Stunde	N	NN	Fem|Dat|Sg	27	pn	1054	1054
31	noch	noch	A	ADV	_	27	adv	_	_
32	;	;	$	$.	_	0	root	_	_
33	-	-	$	$(	_	0	root	_	_
34	mit	mit	P	APPR	Dat	39	pp	1056	1056
35	ihr	ihr	P	PPER	3|Sg|Fem|Dat	34	pn	446	446
36	im	in	P	APPRART	Dat	35	pp	_	_
37	Grauen	Grauen	N	NN	_|Dat|_	36	pn	1055	1055
38	der	die	A	ART	Def|Masc|Nom|Sg	39	det	_	_
39	Frühe	Frühe	N	NN	Masc|Nom|Sg	42	subj	_	_
40	das	die	A	ART	Def|Neut|_|Sg	41	det	130	130
41	Haus	Haus	N	NN	Neut|_|Sg	42	obja	130	130
42	verlassen	verlassen	V	VVPP	_	0	root	_	_
43	,	,	$	$,	_	0	root	_	_
44	mit	mit	P	APPR	Dat	42	pp	_	_
45	ihr	ihr	P	PPER	3|Sg|Fem|Dat	44	pn	1054	1054
46	in	in	P	APPR	_	42	pp	_	_
47	den	die	A	ART	Def|_|_|_	48	det	995	995
48	Wagen	Wage	N	NN	_|_|_	46	pn	995	995
49	steigen	steigen	V	VVINF	_	0	root	_	_
50	,	,	$	$,	_	0	root	_	_
51	der	die	P	PRELS	Masc|Nom|Sg	56	subj	1055	1055
52	draußen	draußen	A	ADV	_	56	adv	_	_
53	an	an	P	APPR	Dat	56	pp	_	_
54	der	die	A	ART	Def|Fem|Dat|Sg	55	det	1111	1111
55	Straßenbiegung	Straßenbiegung	N	NN	Fem|Dat|Sg	53	pn	1111	1111
56	wartete	warten	V	VVFIN	3|Sg|Past|_	0	root	_	_
57	...	...	$	$.	_	0	root	_	_
58	mit	mit	P	APPR	Dat	60	pp	_	_
59	ihr	ihr	P	PPER	3|Sg|Fem|Dat	58	pn	1055	1055
60	davonfahren	davonfahren	V	VVINF	_	0	root	_	_
61	,	,	$	$,	_	0	root	_	_
62	für	für	P	APPR	Acc	65	objp	_	_
63	immer	immer	A	ADV	_	62	adv	_	_
64	sie	sie	P	PPER	3|Pl|_|Nom	65	subj	995	995
65	halten	halten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
66	,	,	$	$,	_	0	root	_	_
67	sein	seine	A	PPOSAT	Neut|_|Sg	68	det	130	130
68	Lebenswerk	Lebenswerk	N	NN	Neut|_|Sg	70	obja	_	_
69	damit	damit	P	PROAV	_	70	pp	_	_
70	krönen	krönen	V	VVINF	_	0	root	_	_
71	,	,	$	$,	_	0	root	_	_
72	daß	daß	K	KOUS	_	0	root	_	_
73	er	er	P	PPER	3|Sg|Masc|Nom	0	root	1053	1053
74	,	,	$	$,	_	0	root	_	_
75	in	in	P	APPR	Dat	102	pp	_	_
76	Jahren	Jahr	N	NN	Neut|Dat|Pl	75	pn	418	418
77	,	,	$	$,	_	0	root	_	_
78	da	da	K	KOUS	_	85	konj	_	_
79	andre	andere	P	PIS	_|Nom|Pl	85	subj	_	_
80	sich	sie	P	PRF	3|_|_	85	obja	_	_
81	zu	zu	P	APPR	Dat	85	pp	_	_
82	einem	eine	A	ART	Indef|Neut|Dat|Sg	84	det	_	_
83	trüben	trüb	A	ADJA	Pos|Neut|Dat|Sg|Wk|	84	attr	_	_
84	Greisentum	Greisentum	N	NN	Neut|Dat|Sg	81	pn	_	_
85	bereiten	bereiten	V	VVFIN	3|Pl|Pres|_	111	neb	_	_
86	,	,	$	$,	_	0	root	_	_
87	die	die	A	ART	Def|_|_|_	88	det	_	_
88	Jüngste	jung	A	ADJA	_|_|_	111	subj	_	_
89	,	,	$	$,	_	0	root	_	_
90	die	die	A	ART	Def|_|_|_	91	det	_	_
91	Schönste	Schönste	N	NN	_|_|_	88	app	_	_
92	,	,	$	$,	_	0	root	_	_
93	die	die	A	ART	Def|_|_|_	94	det	1057	1057
94	Klügste	Klügste	N	NN	_|_|_	102	obja	1057	1057
95	durch	durch	P	APPR	Acc	102	pp	_	_
96	die	die	A	ART	Def|Fem|Acc|Sg	98	det	_	_
97	ungeheure	ungeheuer	A	ADJA	Pos|Fem|Acc|Sg|_|	98	attr	_	_
98	Macht	Macht	N	NN	Fem|Acc|Sg	95	pn	_	_
99	seines	seine	A	PPOSAT	Neut|Gen|Sg	101	det	1056	1056
100	unverlöschlichen	unverlöschlichen	A	ADJA	_|Neut|Gen|Sg|_	101	attr	_	_
101	Wesens	Wesen	N	NN	Neut|Gen|Sg	98	gmod	_	_
102	gewonnen	gewinnen	V	VVPP	_	111	aux	_	_
103	und	und	K	KON	_	102	kon	_	_
104	sie	sie	P	PPER	3|_|_|_	110	obja	995	995
105	für	für	P	APPR	Acc	110	pp	_	_
106	alle	alle	A	PIDAT	Fem|Acc|Sg	107	det	_	_
107	Zeit	Zeit	N	NN	Fem|Acc|Sg	105	pn	_	_
108	zur	zu	P	APPRART	Dat	110	objp	_	_
109	Seinen	seine	A	PPOSAT	_|Dat|_	108	pn	1056	1056
110	gemacht	machen	V	VVPP	_	103	cj	_	_
111	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
112	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	diese	diese	P	PDS	Fem|Nom|Sg	3	subj	_	_
3	war	sein	V	VAFIN	_|Sg|Past|Ind	1	cj	_	_
4	sein	sein	V	VAINF	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	wie	wie	P	PWAV	_	0	root	_	_
7	keine	keine	P	PIS	_|_|_	0	root	_	_
8	vor	vor	P	APPR	Dat	7	pp	_	_
9	ihr	ihr	P	PPER	3|Sg|Fem|Dat	8	pn	1057	1057
10	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1056	1056
2	glitt	gleiten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	ihr	ihr	P	PPER	3|Sg|Fem|Dat	3	pn	1057	1057
5	durch	durch	P	APPR	Acc	2	pp	_	_
6	geheimnisvolle	geheimnisvoll	A	ADJA	Pos|Masc|Acc|Pl|St|	8	attr	_	_
7	schmale	schmal	A	ADJA	Pos|Masc|Acc|Pl|St|	8	attr	_	_
8	Kanäle	Kanal	N	NN	Masc|Acc|Pl	5	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	zwischen	zwischen	P	APPR	Dat	0	root	_	_
