1	Fridolins	Fridolins	N	NE	_|Gen|_	2	gmod	99	99
56	Saal	Saal	N	NN	Masc|Dat|Sg	53	pn	_	_
57	zu	zu	P	APPR	Dat	53	kon	_	_
58	den	die	A	ART	Def|Fem|Dat|Pl	59	det	386	386
59	Frauen	Frau	N	NN	Fem|Dat|Pl	57	pn	386	386
60	hin	hin	P	PTKVZ	_	32	avz	_	_
61	,	,	$	$,	_	0	root	_	_
62	wo	wo	P	PWAV	_	70	adv	_	_
63	ein	eine	A	ART	Indef|Neut|Nom|Sg	68	det	_	_
64	tolles	toll	A	ADJA	Pos|Neut|Nom|Sg|St|	68	attr	_	_
65	,	,	$	$,	_	0	root	_	_
66	beinahe	beinahe	A	ADV	_	67	adv	_	_
67	böses	bös	A	ADJA	Pos|Neut|Nom|Sg|St|	64	kon	_	_
68	Lachen	Lache	N	NN	Neut|Nom|Sg	70	subj	_	_
69	sie	sie	P	PPER	3|_|_|_	70	obja	382	382
70	empfing	empfangen	V	VVFIN	3|Sg|Past|Ind	32	rel	_	_
71	.	.	$	$.	_	0	root	_	_

1	Fridolin	Fridolin	N	NE	Masc|Dat|Sg	2	objd	9	9
2	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	9	9
3	der	die	A	ART	Def|_|_|_	4	det	9	9
4	einzige	einzig	A	ADJA	Masc|Nom|Sg	2	subj	9	9
5	,	,	$	$,	_	0	root	9	9
6	der	die	P	PRELS	Masc|Nom|Sg	10	subj	9	9
7	als	als	K	KOKOM	_	9	kom	_	_
8	Mönch	Mönch	N	NN	Masc|_|Sg	7	cj	_	_
9	zurückgeblieben	zurückbleiben	V	VVPP	_	10	aux	_	_
10	war	sein	V	VAFIN	3|Sg|Past|Ind	1	rel	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	10	kon	_	_
13	schlich	schleichen	V	VVFIN	_|Sg|Past|Ind	12	cj	_	_
14	sich	sie	P	PRF	3|_|_	13	obja	_	_
15	,	,	$	$,	_	0	root	_	_
16	einigermaßen	einigermaßen	A	ADV	_	17	adv	_	_
17	ängstlich	ängstlich	A	ADJD	Pos|	2	pred	_	_
18	,	,	$	$,	_	0	root	_	_
19	in	in	P	APPR	Acc	2	pp	_	_
20	die	die	A	ART	Def|_|Acc|_	22	det	391	391
21	entfernteste	entfernt	A	ADJA	Sup|_|Acc|_|_|	22	attr	391	391
22	Ecke	Eck	N	NN	_|Acc|_	19	pn	391	391
23	,	,	$	$,	_	0	root	_	_
24	wo	wo	P	PWAV	_	0	root	_	_
25	er	er	P	PPER	3|Sg|Masc|Nom	0	root	9	9
26	sich	sie	P	PRF	3|_|_	29	obja	_	_
27	Nachtigall	Nachtigall	N	NN	Fem|Nom|Sg	29	subj	240	240
28	nahe	nahe	P	PTKVZ	_	29	avz	_	_
29	befand	befinden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	der	die	P	PRELS	Masc|Nom|Sg	36	subj	9	9
32	ihm	er	P	PPER	3|Sg|_|Dat	35	objd	383	383
33	den	die	A	ART	Def|Masc|_|_	34	det	_	_
34	Rücken	Rücken	N	NN	Masc|_|_	35	obja	_	_
35	zugewendet	zuwenden	V	VVPP	_	36	aux	_	_
36	hatte	haben	V	VAFIN	3|Sg|Past|Ind	8	rel	_	_
37	.	.	$	$.	_	0	root	_	_

1	Fridolin	Fridolin	N	NE	_|Nom|Sg	2	subj	9	9
2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	wohl	wohl	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	12	konj	_	_
6	Nachtigall	Nachtigall	N	NN	Fem|Nom|Sg	12	subj	240	240
7	eine	eine	A	ART	Indef|Fem|_|Sg	8	det	_	_
8	Binde	Binde	N	NN	Fem|_|Sg	12	obja	_	_
9	um	um	P	APPR	Acc	12	objp	_	_
10	die	die	A	ART	Def|Neut|Acc|Pl	11	det	74	74
11	Augen	Auge	N	NN	Neut|Acc|Pl	9	pn	74	74
12	trug	tragen	V	VVFIN	3|Sg|Past|Ind	2	objc	_	_
13	,	,	$	$,	_	0	root	_	_
14	aber	aber	K	KON	_	12	kon	_	_
15	zugleich	zugleich	A	ADV	_	16	adv	_	_
16	glaubte	glauben	V	VVFIN	3|Sg|Past|_	14	cj	_	_
17	er	er	P	PPER	3|Sg|Masc|Nom	16	subj	9	9
18	zu	zu	P	PTKZU	_	19	part	_	_
19	bemerken	bemerken	V	VVINF	_	16	obji	_	_
20	,	,	$	$,	_	0	root	_	_
21	wie	wie	P	PWAV	_	33	adv	_	_
22	hinter	hinter	P	APPR	Dat	33	pp	_	_
23	dieser	diese	A	PDAT	Fem|Dat|Sg	24	det	_	_
24	Binde	Binde	N	NN	Fem|Dat|Sg	22	pn	_	_
25	seine	seine	A	PPOSAT	Neut|Nom|Pl	26	det	9	9
26	Augen	Auge	N	NN	Neut|Nom|Pl	33	subj	_	_
27	in	in	P	APPR	Acc	33	pp	_	_
28	den	die	A	ART	Def|Masc|Acc|Sg	30	det	384	384
29	hohen	hoch	A	ADJA	Pos|Masc|Acc|Sg|_|	30	attr	384	384
30	Spiegel	Spiegel	N	NN	Masc|Acc|Sg	27	pn	384	384
31	gegenüber	gegenüber	P	APPR	Dat	33	pp	384	384
32	sich	sie	P	PRF	3|_|Dat	31	pn	384	384
33	bohrten	bohren	V	VVFIN	3|Pl|Past|_	19	objc	384	384
34	,	,	$	$,	_	0	root	384	384
35	in	in	P	APPR	Dat	45	pp	384	384
36	dem	die	P	PRELS	Masc|Dat|Sg	35	pn	384	384
37	die	die	A	ART	Def|_|Nom|Pl	39	det	385	385
38	bunten	bunt	A	ADJA	Pos|_|Nom|Pl|Wk|	39	attr	385	385
39	Kavaliere	Kavalier	N	NN	_|Nom|Pl	45	subj	385	385
40	mit	mit	P	APPR	Dat	45	pp	_	_
41	ihren	ihre	A	PPOSAT	_|Dat|_	43	det	385	385
42	nackten	nackt	A	ADJA	Pos|_|Dat|_|_|	43	attr	_	_
43	Tänzerinnen	Tänzerin	N	NN	_|Dat|_	40	pn	_	_
44	sich	sie	P	PRF	3|_|_	45	obja	_	_
45	drehten	drehen	V	VVFIN	3|Pl|Past|_	30	rel	_	_
46	.	.	$	$.	_	0	root	_	_

1	Plötzlich	plötzlich	A	ADJD	Pos|	2	adv	_	_
2	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	eine	eine	P	PIS	_|Nom|Sg	2	subj	_	_
4	der	die	A	ART	Def|Fem|Gen|Pl	5	det	386	386
5	Frauen	Frau	N	NN	Fem|Gen|Pl	3	gmod	386	386
6	neben	neben	P	APPR	_	2	pp	_	_
7	Fridolin	Fridolin	N	NE	_|_|_	6	pn	9	9
8	und	und	K	KON	_	2	kon	_	_
9	flüsterte	flüstern	V	VVFIN	_|Sg|Past|_	8	cj	_	_
10	-	-	$	$(	_	0	root	_	_
11	denn	denn	K	KON	_	0	root	_	_
12	niemand	niemand	P	PIS	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	als	als	K	KOKOM	_	15	konj	_	_
15	müßten	müssen	V	VMFIN	3|Pl|Past|Subj	22	neb	_	_
16	auch	auch	A	ADV	_	20	adv	_	_
17	die	die	A	ART	Def|Fem|Nom|Pl	18	det	_	_
18	Stimmen	Stimme	N	NN	Fem|Nom|Pl	15	subj	_	_
19	Geheimnis	Geheimnis	N	NN	Neut|Nom|Sg	20	pred	_	_
20	bleiben	bleiben	V	VVINF	_	15	aux	_	_
21	,	,	$	$,	_	0	root	_	_
22	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
23	ein	eine	A	ART	Indef|Neut|Nom|Sg	25	det	_	_
24	lautes	laut	A	ADJA	Pos|Neut|Nom|Sg|St|	25	attr	_	_
25	Wort	Wort	N	NN	Neut|Nom|Sg	22	subj	_	_
26	:	\:	$	$.	_	0	root	_	_
27	»	»	$	$(	_	0	root	_	_
28	Warum	Warum	P	PWAV	_	0	root	_	_
29	so	so	A	ADV	_	30	adv	_	_
30	einsam	einsam	A	ADJD	Pos|	0	root	_	_
31	?	?	$	$.	_	0	root	_	_

1	Warum	Warum	P	PWAV	_	2	adv	_	_
2	schließest	schließen	V	VVFIN	2|Sg|Pres|Subj	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	_	_
4	dich	du	P	PRF	2|Sg|Acc	2	obja	_	_
5	vom	von	P	APPRART	Dat	2	pp	_	_
6	Tanze	Tanz	N	NN	Masc|Dat|Sg	5	pn	301	301
7	aus	aus	A	APZR	_	5	part	_	_
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Fridolin	Fridolin	N	NE	_|Nom|Sg	2	subj	9	9
2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	17	konj	_	_
5	von	von	P	APPR	_	16	pp	_	_
6	einer	eine	A	ART	Indef|Fem|_|Sg	8	det	_	_
7	anderen	anderen	A	ADJA	_|Fem|_|Sg|_	8	attr	_	_
8	Ecke	Eck	N	NN	Fem|_|Sg	5	pn	_	_
9	her	her	A	APZR	_	5	part	_	_
10	ihn	er	P	PPER	3|Sg|Masc|Acc	16	obja	9	9
11	zwei	zwei	C	CARD	_	12	attr	_	_
12	Edelleute	Edelleute	N	NN	_|Nom|Pl	17	subj	_	_
13	scharf	scharf	A	ADJD	Pos|	16	adv	_	_
14	ins	in	P	APPRART	Acc	16	pp	_	_
15	Auge	Auge	N	NN	Neut|Acc|Sg	14	pn	387	387
16	gefaßt	gefaßt	V	VVPP	_	17	aux	_	_
17	hatten	haben	V	VAFIN	3|Pl|Past|Ind	2	objc	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	17	kon	_	_
20	er	er	P	PPER	3|Sg|Masc|Nom	21	subj	9	9
21	vermutete	vermuten	V	VVFIN	3|Sg|Past|_	19	cj	_	_
22	,	,	$	$,	_	0	root	_	_
23	daß	daß	K	KOUS	_	0	root	_	_
24	das	die	A	ART	Def|Neut|_|Sg	25	det	197	197
25	Geschöpf	Geschöpf	N	NN	Neut|_|Sg	0	root	197	197
26	an	an	P	APPR	_	0	root	_	_
27	seiner	seine	A	PPOSAT	_|_|_	0	root	9	9
28	Seite	Seite	N	NN	Fem|Nom|Sg	40	subj	388	388
29	-	-	$	$(	_	0	root	388	388
30	es	es	P	PPER	3|Sg|Neut|Nom	31	subj	388	388
31	war	sein	V	VAFIN	_|Sg|Past|Ind	28	par	388	388
32	knabenhaft	knabenhaft	A	ADJD	Pos|	31	pred	388	388
33	und	und	K	KON	_	32	kon	388	388
34	schlank	schlank	A	ADJD	Pos|	33	cj	388	388
35	gewachsen	wachsen	V	VVPP	_	31	neb	_	_
36	-	-	$	$(	_	0	root	_	_
37	zu	zu	P	APPR	Dat	39	pp	_	_
38	ihm	er	P	PPER	3|Sg|_|Dat	37	pn	9	9
39	gesandt	senden	V	VVPP	_	40	aux	_	_
40	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
41	,	,	$	$,	_	0	root	_	_
42	ihn	er	P	PPER	3|Sg|Masc|Acc	44	obja	9	9
43	zu	zu	P	PTKZU	_	44	part	_	_
44	prüfen	prüfen	V	VVINF	_	39	obji	_	_
45	und	und	K	KON	_	44	kon	_	_
46	zu	zu	P	PTKZU	_	47	part	_	_
47	versuchen	versuchen	V	VVINF	_	45	cj	_	_
48	.	.	$	$.	_	0	root	_	_

1	Trotzdem	Trotzdem	P	PROAV	_	2	pp	_	_
2	breitete	breiten	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	3	3
4	die	die	A	ART	Def|_|_|_	5	det	82	82
5	Arme	Arm	N	NN	_|_|_	2	obja	82	82
6	nach	nach	P	APPR	Dat	2	pp	_	_
7	ihr	ihr	P	PPER	3|Sg|Fem|Dat	6	pn	388	388
8	aus	aus	P	PTKVZ	_	2	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	um	um	K	KOUI	_	15	konj	_	_
11	sie	sie	P	PPER	3|_|_|_	15	obja	387	387
12	an	an	P	APPR	_	15	objp	_	_
13	sich	sie	P	PRF	3|_|_	12	pn	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	ziehen	ziehen	V	VVINF	_	2	neb	_	_
16	,	,	$	$,	_	0	root	_	_
17	als	als	K	KOKOM	_	0	root	_	_
18	ein	eine	A	ART	Indef|_|_|Sg	19	part	_	_
19	anderes	andere	P	PIS	Neut|_|Sg	17	cj	_	_
20	der	die	A	ART	Def|Neut|Gen|Pl	21	det	389	389
21	Weiber	Weib	N	NN	Neut|Gen|Pl	19	gmod	389	389
22	sich	sie	P	PRF	3|_|_	0	root	_	_
23	von	von	P	APPR	Dat	26	objp	_	_
24	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	25	det	388	388
25	Tänzer	Tänzer	N	NN	Masc|Dat|Sg	23	pn	_	_
26	löste	lösen	V	VVFIN	_|Sg|Past|_	0	root	_	_
27	und	und	K	KON	_	26	kon	_	_
28	geradewegs	geradewegs	A	ADV	_	29	adv	_	_
29	zu	zu	P	APPR	Dat	32	objp	_	_
30	Fridolin	Fridolin	N	NE	_|Dat|_	29	pn	9	9
31	gelaufen	laufen	V	VVPP	_	32	neb	_	_
32	kam	kommen	V	VVFIN	_|Sg|Past|Ind	27	cj	_	_
33	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	9	9
2	wußte	wußte	V	VVFIN	3|Sg|_|_	0	root	_	_
3	sofort	sofort	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	11	konj	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
7	seine	seine	A	PPOSAT	Fem|Nom|Sg	8	det	9	9
8	Warnerin	Warnerin	N	NN	Fem|Nom|Sg	11	pred	_	_
9	von	von	P	APPR	_	8	pp	_	_
10	früher	früh	A	ADJD	_|	9	pn	_	_
11	war	sein	V	VAFIN	3|Sg|Past|Ind	2	objc	_	_
12	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	388	388
2	stellte	stellen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	an	an	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOKOM	_	7	konj	_	_
7	erblicke	erblicken	V	VVFIN	3|Sg|Pres|Subj	2	neb	_	_
8	sie	sie	P	PPER	3|Sg|Fem|Nom	7	subj	388	388
9	ihn	er	P	PPER	3|Sg|Masc|Acc	7	obja	9	9
10	zum	zu	P	APPRART	Dat	7	pp	_	_
11	erstenmal	erstenmal	N	NN	_|Dat|_	10	pn	28	28
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	7	kon	_	_
14	flüsterte	flüstern	V	VVFIN	_|Sg|Past|_	13	cj	_	_
15	,	,	$	$,	_	0	root	_	_
16	doch	doch	K	KON	_	0	root	_	_
17	so	so	A	ADV	_	18	adv	_	_
18	vernehmlich	vernehmlich	A	ADJD	Pos|	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	daß	daß	K	KOUS	_	29	konj	_	_
21	man	man	P	PIS	_|Nom|Sg	29	subj	_	_
22	sie	sie	P	PPER	3|_|_|_	28	obja	388	388
23	auch	auch	A	ADV	_	28	adv	_	_
24	in	in	P	APPR	Dat	28	pp	_	_
25	jener	jene	A	PDAT	Fem|Dat|Sg	27	det	_	_
26	anderen	anderen	A	ADJA	_|Fem|Dat|Sg|_	27	attr	_	_
27	Ecke	Eck	N	NN	Fem|Dat|Sg	24	pn	_	_
28	hören	hören	V	VVINF	_	29	aux	_	_
29	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
30	:	\:	$	$.	_	0	root	_	_
31	»	»	$	$(	_	0	root	_	_
32	Bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
33	du	du	P	PPER	2|Sg|_|Nom	32	subj	390	390
34	endlich	endlich	A	ADJD	Pos|	32	adv	_	_
35	zurück	zurück	P	PTKVZ	_	32	avz	_	_
36	?	?	$	$.	_	0	root	_	_
37	«	«	$	$(	_	0	root	_	_
38	Und	und	K	KON	_	0	root	_	_
39	heiter	heiter	A	ADJD	Pos|	40	adv	_	_
40	lachend	lachen	A	ADJD	_|<PPRES	38	cj	_	_
41	:	\:	$	$.	_	0	root	_	_
42	»	»	$	$(	_	0	root	_	_
43	Es	es	P	PPER	3|Sg|Neut|Nom	44	subj	_	_
44	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
45	alles	alle	P	PIS	_|_|Sg	44	adv	_	_
46	vergeblich	vergeblich	A	ADJD	Pos|	44	pred	_	_
47	,	,	$	$,	_	0	root	_	_
48	du	du	P	PPER	2|Sg|_|Nom	49	subj	390	390
49	bist	sein	V	VAFIN	2|Sg|Pres|Ind	44	kon	_	_
50	erkannt	erkennen	V	VVPP	_	49	aux	_	_
51	.	.	$	$.	_	0	root	_	_
52	«	«	$	$(	_	0	root	_	_
53	Und	und	K	KON	_	0	root	_	_
54	zu	zu	P	APPR	Dat	57	pp	_	_
55	der	die	A	ART	Def|Fem|Dat|Sg	56	det	_	_
56	Knabenhaften	Knabenhaft	N	NN	Fem|Dat|Sg	54	pn	_	_
57	gewandt	gewandt	V	VVPP	_	53	cj	_	_
58	:	\:	$	$.	_	0	root	_	_
59	»	»	$	$(	_	0	root	_	_
60	Laß	Laß	V	VVIMP	_	0	root	_	_
61	mir	ich	P	PPER	1|Sg|_|Dat	60	objd	392	392
62	ihn	er	P	PPER	3|Sg|Masc|Acc	60	obja	9	9
63	nur	nur	A	ADV	_	64	adv	_	_
64	für	für	P	APPR	Acc	60	pp	_	_
65	zwei	zwei	C	CARD	_	66	attr	_	_
66	Minuten	Minute	N	NN	Fem|Acc|Pl	64	pn	_	_
67	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	sollst	sollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	390	390
4	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	9	9
5	gleich	gleich	A	ADV	_	2	adv	_	_
6	wieder	wieder	A	ADV	_	2	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	10	konj	_	_
9	du	du	P	PPER	2|Sg|_|Nom	10	subj	390	390
10	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	2	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	bis	bis	P	APPR	Acc	0	root	_	_
13	zum	zu	P	APPRART	Dat	12	pp	_	_
14	Morgen	Morgen	N	NN	_|Dat|_	13	pn	514	514
15	haben	haben	V	VAINF	_	0	root	_	_
16	.	.	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_
18	Und	und	K	KON	_	0	root	_	_
19	leiser	leise	A	ADJD	Comp|	18	cj	_	_
20	zu	zu	P	APPR	Dat	19	pp	_	_
21	ihr	ihr	P	PPER	3|Sg|Fem|Dat	20	pn	388	388
22	,	,	$	$,	_	0	root	_	_
23	wie	wie	P	PWAV	_	24	adv	_	_
24	freudig	freudig	A	ADJD	Pos|	0	root	_	_
25	:	\:	$	$.	_	0	root	_	_
26	»	»	$	$(	_	0	root	_	_
27	Er	er	P	PPER	3|Sg|Masc|Nom	28	subj	9	9
28	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
29	es	es	P	PPER	3|Sg|Neut|Nom	28	pred	_	_
30	,	,	$	$,	_	0	root	_	_
