1	Schritte	Schritt	N	NN	Masc|_|_	0	root	177	177
27	unendlich	unendlich	A	ADJD	Pos|	28	adv	_	_
28	lange	lange	A	ADJD	_	29	adv	_	_
29	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
30	es	es	P	PPER	3|Sg|Neut|Nom	29	subj	_	_
31	her	her	P	PTKVZ	_	29	avz	_	_
32	,	,	$	$,	_	0	root	_	_
33	daß	daß	K	KOUS	_	39	konj	_	_
34	wir	wir	P	PPER	1|Pl|_|Nom	39	subj	179	179
35	auf	auf	P	APPR	Acc	38	objp	_	_
36	diese	diese	A	PDAT	Fem|Acc|Sg	37	det	139	139
37	Insel	Insel	N	NN	Fem|Acc|Sg	35	pn	139	139
38	gekommen	kommen	V	VVPP	_	39	aux	_	_
39	sind	sein	V	VAFIN	1|Pl|Pres|Ind	29	objc	_	_
40	?	?	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	171	171
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	1	cj	_	_
4	mit	mit	P	APPR	Dat	8	pp	_	_
5	einer	eine	A	ART	Indef|Fem|Dat|Sg	6	det	180	180
6	Frau	Frau	N	NN	Fem|Dat|Sg	4	pn	180	180
7	hier	hier	A	ADV	_	4	adv	180	180
8	gelandet	landen	V	VVPP	_	3	aux	180	180
9	,	,	$	$,	_	0	root	180	180
10	die	die	P	PRELS	Fem|_|Sg	12	obja	180	180
11	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	171	171
12	geliebt	lieben	V	VVPP	_	13	aux	_	_
13	habe	haben	V	VAFIN	1|Sg|Pres|_	6	rel	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	13	kon	_	_
16	jetzt	jetzt	A	ADV	_	17	adv	_	_
17	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	15	cj	_	_
18	eine	eine	A	ART	Indef|Fem|Nom|Sg	19	det	181	181
19	Fremde	Fremde	N	NN	Fem|Nom|Sg	17	subj	181	181
20	an	an	P	APPR	Dat	17	pp	_	_
21	meiner	meine	A	PPOSAT	Fem|Dat|Sg	22	det	171	171
22	Seite	Seite	N	NN	Fem|Dat|Sg	20	pn	_	_
23	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	11	expl	_	_
2	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	171	171
4	unmöglich	unmöglich	A	ADJD	Pos|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	auch	auch	A	ADV	_	11	adv	_	_
7	nur	nur	A	ADV	_	11	adv	_	_
8	ein	eine	A	ART	Indef|Neut|_|Sg	9	det	_	_
9	Wort	Wort	N	NN	Neut|_|Sg	11	obja	_	_
10	zu	zu	P	PTKZU	_	11	part	_	_
11	sprechen	sprechen	V	VVINF	_	2	subjc	_	_
12	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	181	181
2	merkte	merken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	obja	_	_
4	kaum	kaum	A	ADV	_	2	adv	_	_
5	;	;	$	$.	_	0	root	_	_
6	sie	sie	P	PPER	3|Sg|Fem|Nom	7	subj	181	181
7	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
8	sich	sie	P	PRF	3|_|_	12	obja	_	_
9	in	in	P	APPR	_	12	pp	_	_
10	meinen	meine	A	PPOSAT	Masc|_|Sg	11	det	171	171
11	Arm	Arm	N	NN	Masc|_|Sg	9	pn	182	182
12	gehängt	hängen	V	VVPP	_	7	aux	_	_
13	und	und	K	KON	_	7	kon	_	_
14	hielt	halten	V	VVFIN	_|Sg|Past|Ind	13	cj	_	_
15	es	es	P	PPER	3|Sg|Neut|_	14	obja	_	_
16	wohl	wohl	A	ADV	_	14	adv	_	_
17	für	für	P	APPR	Acc	14	objp	_	_
18	zärtliches	zärtlich	A	ADJA	Pos|Neut|Acc|Sg|St|	19	attr	_	_
19	Schweigen	Schweigen	N	NN	Neut|Acc|Sg	17	pn	_	_
20	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	171	171
2	dachte	denken	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	an	an	P	APPR	Acc	2	objp	_	_
4	ihn	er	P	PPER	3|Sg|Masc|Acc	3	pn	182	182
5	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	182	182
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	7	obja	_	_
4	ihr	ihr	P	PPER	3|Sg|Fem|Dat	7	objd	181	181
5	also	also	A	ADV	_	7	adv	_	_
6	nie	nie	A	ADV	_	7	adv	_	_
7	gesagt	sagen	V	VVPP	_	2	aux	_	_
8	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	181	181
2	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	sie	sie	P	PPER	3|Sg|Fem|Nom	7	subj	181	181
7	hat	haben	V	VAFIN	3|Sg|Pres|Ind	2	kon	_	_
8	es	es	P	PPER	3|Sg|Neut|_	10	expl	_	_
9	nie	nie	A	ADV	_	10	adv	_	_
10	gewußt	gewußt	V	VVPP	_	7	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	19	konj	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	182	182
14	sie	sie	P	PPER	3|_|_|_	19	obja	181	181
15	zu	zu	P	APPR	Dat	19	pp	_	_
16	meinen	meine	A	PPOSAT	Masc|Dat|Pl	17	det	171	171
17	Füßen	Fuß	N	NN	Masc|Dat|Pl	15	pn	_	_
18	liegen	liegen	V	VVINF	_	19	obji	_	_
19	sah	sehen	V	VVFIN	3|Sg|Past|Ind	10	objc	_	_
20	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	182	182
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	9	obja	_	_
4	damals	damals	A	ADV	_	9	adv	_	_
5	von	von	P	APPR	_	9	pp	_	_
6	der	die	A	ART	Def|Fem|_|Sg	7	det	104	104
7	Tür	Tür	N	NN	Fem|_|Sg	5	pn	104	104
8	wieder	wieder	A	ADV	_	9	adv	_	_
9	davongeschlichen	davonschleichen	V	VVPP	_	2	aux	_	_
10	und	und	K	KON	_	2	kon	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	10	cj	_	_
12	erst	erst	A	ADV	_	11	adv	_	_
13	später	spät	A	ADJD	_|	11	pred	_	_
14	...	...	$	$.	_	0	root	_	_
15	stundenlang	stundenlang	A	ADJD	Pos|	17	adv	_	_
16	später	spät	A	ADJD	_|	17	adv	_	_
17	zurückgekommen	zurückkommen	V	VVPP	_	0	root	_	_
18	und	und	K	KON	_	0	root	_	_
19	hat	haben	V	VAFIN	3|Sg|Pres|Ind	18	cj	_	_
20	ihr	ihre	A	PPOSAT	_|_|Sg	0	root	104	104
21	nichts	nichts	P	PIS	_	0	root	_	_
22	gesagt	sagen	V	VVPP	_	0	root	_	_
23	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	182	182
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	die	die	A	ART	Def|Neut|_|Pl	6	det	183	183
5	ganzen	ganz	A	ADJA	Pos|Neut|_|Pl|Wk|	6	attr	183	183
6	Jahre	Jahr	N	NN	Neut|_|Pl	10	zeit	183	183
7	an	an	P	APPR	Dat	10	pp	_	_
8	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	9	det	183	183
9	Seite	Seite	N	NN	Fem|Dat|Sg	7	pn	_	_
10	weitergelebt	weiterleben	V	VVPP	_	3	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	ohne	ohne	K	KOUI	_	18	konj	_	_
13	sich	sie	P	PRF	3|_|_	18	obja	_	_
14	mit	mit	P	APPR	Dat	18	pp	_	_
15	einem	eine	A	ART	Indef|Neut|Dat|Sg	16	det	_	_
16	Worte	Wort	N	NN	Neut|Dat|Sg	14	pn	_	_
17	zu	zu	P	PTKZU	_	18	part	_	_
18	verraten	verraten	V	VVINF	_	3	neb	_	_
19	!	!	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	182	182
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	ihr	ihr	P	PPER	3|Sg|Fem|Dat	4	objd	181	181
4	verziehen	verzeihen	V	VVPP	_	2	aux	_	_
5	-	-	$	$(	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	8	subj	181	181
8	hat	haben	V	VAFIN	3|Sg|Pres|Ind	6	cj	_	_
9	es	es	P	PPER	3|Sg|Neut|_	11	obja	_	_
10	nicht	nicht	P	PTKNEG	_	11	adv	_	_
11	gewußt	gewußt	V	VVPP	_	8	aux	_	_
12	!	!	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	184	184
2	waren	sein	V	VAFIN	1|Pl|Past|Ind	0	root	_	_
3	in	in	P	APPR	Dat	8	pp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	_	_
5	Nähe	Nähe	N	NN	Fem|Dat|Sg	3	pn	_	_
6	der	die	A	ART	Def|Fem|Gen|Sg	7	det	138	138
7	Kirche	Kirche	N	NN	Fem|Gen|Sg	5	gmod	138	138
8	angelangt	anlangen	V	VVPP	_	2	aux	_	_
9	;	;	$	$.	_	0	root	_	_
10	kaum	kaum	A	ADV	_	11	adv	_	_
11	zehn	zehn	C	CARD	_	12	attr	_	_
12	Schritte	Schritt	N	NN	Masc|_|Pl	13	grad	_	_
13	vor	vor	P	APPR	_	15	pp	_	_
14	uns	wir	P	PPER	1|Pl|_|_	13	pn	184	184
15	lag	liegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
16	sie	sie	P	PPER	3|Sg|Fem|Nom	15	subj	138	138
17	.	.	$	$.	_	0	root	_	_

1	Hier	hier	A	ADV	_	2	adv	_	_
2	bog	biegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	185	185
4	steiler	steil	A	ADJA	Pos|Masc|Nom|Sg|St|	5	attr	185	185
5	Weg	Weg	N	NN	Masc|Nom|Sg	2	subj	185	185
6	ab	ab	P	PTKVZ	_	2	avz	185	185
7	,	,	$	$,	_	0	root	185	185
8	der	die	P	PRELS	Masc|Nom|Sg	15	subj	185	185
9	in	in	P	APPR	_	14	pp	_	_
10	wenigen	wenige	A	PIDAT	Fem|_|Pl	11	det	_	_
11	Minuten	Minute	N	NN	Fem|_|Pl	9	pn	_	_
12	ins	in	P	APPRART	Acc	14	objp	_	_
13	Dorf	Dorf	N	NN	Neut|Acc|Sg	12	pn	_	_
14	führen	führen	V	VVINF	_	15	aux	_	_
15	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	5	rel	_	_
16	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	186	186
2	schlug	schlagen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	185	185
4	ein	ein	P	PTKVZ	_	2	avz	_	_
5	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	138	138
2	folgte	folgen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	186	186
4	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Gib	geben	V	VVIMP	Sg	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	186	186
4	die	die	A	ART	Def|Fem|_|Sg	5	det	187	187
5	Hand	Hand	N	NN	Fem|_|Sg	2	obja	187	187
6	«	«	$	$(	_	0	root	187	187
7	,	,	$	$,	_	0	root	187	187
8	sagte	sagen	V	VVFIN	3|Sg|Past|_	5	par	187	187
9	sie	sie	P	PPER	3|Sg|Fem|Nom	8	subj	138	138
10	,	,	$	$,	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	186	186
13	gleite	gleiten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
14	aus	aus	P	PTKVZ	_	13	avz	_	_
15	.	.	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_
17	Ich	ich	P	PPER	1|Sg|_|Nom	18	subj	186	186
18	reichte	reichen	V	VVFIN	1|Sg|Past|_	0	root	_	_
19	sie	sie	P	PPER	3|_|_|_	18	obja	138	138
20	ihr	ihr	P	PPER	3|Sg|Fem|Dat	18	objd	187	187
21	,	,	$	$,	_	0	root	_	_
22	ohne	ohne	K	KOUI	_	0	root	_	_
23	mich	ich	P	PPER	1|Sg|_|Acc	24	obja	186	186
24	umzuwenden	umzuwenden	V	VVINF	_	0	root	_	_
25	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	3	obja	_	_
3	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	3	subj	_	_
5	denn	denn	A	ADV	_	3	adv	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	sie	sie	P	PPER	3|Sg|Fem|Nom	8	subj	138	138
10	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	186	186
2	konnte	können	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
3	nichts	nichts	P	PIS	Neut|Dat|Sg	4	objd	_	_
4	antworten	antworten	V	VVINF	_	2	aux	_	_
5	und	und	K	KON	_	2	kon	_	_
6	drückte	drücken	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	ihr	ihr	P	PPER	3|Sg|Fem|Dat	6	objd	138	138
8	nur	nur	A	ADV	_	6	adv	_	_
9	heftig	heftig	A	ADJD	Pos|	6	adv	_	_
10	die	die	A	ART	Def|Fem|_|Sg	11	det	20	20
11	Hand	Hand	N	NN	Fem|_|Sg	6	obja	20	20
12	,	,	$	$,	_	0	root	_	_
13	was	was	P	PRELS	Neut|Nom|Sg	17	subj	_	_
14	sie	sie	P	PPER	3|_|_|_	16	obja	20	20
15	zu	zu	P	PTKZU	_	16	part	_	_
16	beruhigen	beruhigen	V	VVINF	_	17	obji	_	_
17	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	3	rel	_	_
18	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	sagte	sagen	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	186	186
4	,	,	$	$,	_	0	root	_	_
5	nur	nur	A	ADV	_	0	root	_	_
6	um	um	K	KOUI	_	9	konj	_	_
7	etwas	etwas	P	PIS	_	9	obja	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	reden	reden	V	VVINF	_	0	root	_	_
10	:	\:	$	$.	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	Es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	schade	schade	A	ADJD	Pos|	13	pred	_	_
15	,	,	$	$,	_	0	root	_	_
16	wir	wir	P	PPER	1|Pl|_|Nom	17	subj	188	188
17	hätten	haben	V	VAFIN	1|Pl|Past|Subj	13	kon	_	_
18	die	die	A	ART	Def|Fem|_|Sg	19	det	138	138
19	Kirche	Kirche	N	NN	Fem|_|Sg	20	obja	138	138
20	besichtigen	besichtigen	V	VVINF	_	21	aux	_	_
21	können	können	V	VMINF	_	17	aux	_	_
22	.	.	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	138	138
3	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	:	\:	$	$.	_	0	root	_	_
5	»	»	$	$(	_	0	root	_	_
6	An	an	P	APPR	Dat	8	pp	_	_
7	der	die	P	PDS	Fem|Dat|Sg	6	pn	_	_
8	sind	sein	V	VAFIN	1|Pl|Pres|Ind	0	root	_	_
9	wir	wir	P	PPER	1|Pl|_|Nom	8	subj	188	188
10	ja	ja	A	ADV	_	8	adv	_	_
11	vorüber	vorüber	A	ADV	_	8	pred	_	_
12	,	,	$	$,	_	0	root	_	_
13	ohne	ohne	K	KOUI	_	16	konj	_	_
14	es	es	P	PPER	3|Sg|Neut|_	16	obja	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	merken	merken	V	VVINF	_	8	neb	_	_
17	!	!	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wollen	wollen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	191	191
4	zurück	zurück	A	ADV	_	2	adv	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	fragte	fragen	V	VVFIN	1|Sg|Past|_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	186	186
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	189	189
3	nein	nein	P	PTKANT	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	186	186
6	freue	freuen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
7	mich	ich	P	PRF	1|Sg|Acc	6	obja	_	_
8	,	,	$	$,	_	0	root	_	_
9	bald	bald	A	ADV	_	14	adv	_	_
10	wieder	wieder	A	ADV	_	14	adv	_	_
11	im	in	P	APPRART	Dat	14	pp	_	_
12	Boot	Boot	N	NN	_|Dat|Sg	11	pn	190	190
13	zu	zu	P	PTKZU	_	14	part	_	_
14	sitzen	sitzen	V	VVINF	_	6	obji	_	_
15	.	.	$	$.	_	0	root	_	_

1	Einmal	einmal	A	ADV	_	2	adv	_	_
2	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	186	186
4	mit	mit	P	APPR	Dat	10	pp	_	_
5	Ihnen	sie	P	PPER	3|Pl|_|Dat	4	pn	191	191
6	allein	allein	A	ADV	_	4	adv	_	_
7	so	so	A	ADV	_	9	adv	_	_
8	eine	eine	A	ART	Indef|Fem|_|Sg	9	det	_	_
9	Segelpartie	Segelpartie	N	NN	Fem|_|Sg	10	obja	_	_
10	machen	machen	V	VVINF	_	2	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	ohne	ohne	K	KOUI	_	0	root	_	_
13	diesen	diese	A	PDAT	Masc|_|_	14	det	136	136
14	Mann	Mann	N	NN	Masc|_|_	0	root	136	136
15	.	.	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	186	186
3	verstehe	verstehen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	mich	ich	P	PRF	1|Sg|Acc	3	obja	_	_
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	auf	auf	P	APPR	_	3	pp	_	_
7	Segeln	Segel	N	NN	Neut|_|_	6	pn	_	_
8	.	.	$	$.	_	0	root	_	_
