1	Wär	Wär	N	NE	_	0	root	333	333
32	übrig	übrig	A	ADJD	Pos|	0	root	_	_
33	!	!	$	$.	_	0	root	_	_
34	...	...	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	0	root	_	_
2	wär	wär	F	FM	_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_	0	root	142	142
5	,	,	$	$,	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	0	root	143	143
8	mit	mit	P	APPR	Dat	7	pp	_	_
9	dem	die	A	ART	Def|_|Dat|Sg	10	det	_	_
10	Kopetzky	Kopetzky	F	FM	_|Dat|Sg	8	pn	_	_
11	spräch	spräch	F	FM	_|Dat|Sg	10	app	_	_
12	'	'	$	$(	_	0	root	_	_
13	?	?	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
4	wär	wär	F	FM	_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	doch	doch	A	ADV	_	8	adv	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	_	_
8	Vernünftigste	Vernünftigste	N	NN	Neut|_|Sg	0	root	_	_
9	...	...	$	$.	_	0	root	_	_
10	schon	schon	A	ADV	_	11	adv	_	_
11	wegen	wegen	P	APPR	_	0	root	_	_
12	morgen	morgen	A	ADV	_	11	adv	_	_
13	ja	ja	A	ADV	_	11	adv	_	_
14	,	,	$	$,	_	0	root	_	_
15	natürlich	natürlich	A	ADJD	Pos|	0	root	_	_
16	-	-	$	$(	_	0	root	_	_
17	wegen	wegen	P	APPR	_	0	root	_	_
18	morgen	morgen	A	ADV	_	17	adv	_	_
19	...	...	$	$.	_	0	root	_	_
20	um	um	P	APPR	_	0	root	_	_
21	vier	vier	C	CARD	_	20	pn	_	_
22	in	in	P	APPR	Dat	21	pp	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	24	det	_	_
24	Reiterkasern	Reiterkasern	N	NN	Fem|Dat|Sg	22	pn	_	_
25	'	'	$	$(	_	0	root	_	_
26	...	...	$	$.	_	0	root	_	_
27	ich	ich	P	PPER	1|Sg|_|Nom	28	subj	143	143
28	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
29	mich	ich	P	PRF	1|Sg|Acc	35	obja	_	_
30	ja	ja	A	ADV	_	35	adv	_	_
31	morgen	morgen	A	ADV	_	35	adv	_	_
32	um	um	P	APPR	_	35	objp	_	_
33	vier	vier	C	CARD	_	34	attr	_	_
34	Uhr	Uhr	N	NN	Fem|_|Sg	32	pn	_	_
35	schlagen	schlagen	V	VVINF	_	28	aux	_	_
36	...	...	$	$.	_	0	root	_	_
37	und	und	K	KON	_	0	root	_	_
38	ich	ich	P	PPER	1|Sg|_|Nom	39	subj	143	143
39	darfs	darfs	V	VVFIN	1|Sg|_|_	37	cj	_	_
40	ja	ja	A	ADV	_	39	adv	_	_
41	nimmer	nimmer	A	ADV	_	39	adv	_	_
42	,	,	$	$,	_	0	root	_	_
43	ich	ich	P	PPER	1|Sg|_|Nom	44	subj	143	143
44	bin	sein	V	VAFIN	1|Sg|Pres|Ind	39	kon	_	_
45	satisfaktionsunfähig	satisfaktionsunfähig	A	ADJD	Pos|	44	pred	_	_
46	...	...	$	$.	_	0	root	_	_
47	Unsinn	Unsinn	N	NN	Masc|_|Sg	0	root	144	144
48	!	!	$	$.	_	0	root	_	_

1	Unsinn	Unsinn	N	NN	Masc|_|Sg	0	root	144	144
2	!	!	$	$.	_	0	root	_	_

1	Kein	keine	A	PIAT	_|Nom|Sg	2	det	_	_
2	Mensch	Mensch	N	NN	_|Nom|Sg	3	subj	_	_
3	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	was	was	P	PIS	_	3	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	kein	keine	A	PIAT	_|Nom|Sg	7	det	145	145
7	Mensch	Mensch	N	NN	_|Nom|Sg	8	subj	145	145
8	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	3	kon	_	_
9	was	was	P	PWS	Neut|_|Sg	0	root	_	_
10	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|_	3	expl	_	_
3	laufen	laufen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	viele	viele	P	PIS	_|Nom|Pl	3	subj	_	_
5	herum	herum	P	PTKVZ	_	3	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	denen	die	P	PRELS	_|Dat|Pl	10	objd	_	_
8	ärgere	arg	A	ADJA	Comp|Fem|Nom|Pl|St|	9	attr	_	_
9	Sachen	Sache	N	NN	Fem|Nom|Pl	11	subj	_	_
10	passiert	passieren	V	VVPP	_	11	aux	_	_
11	sind	sein	V	VAFIN	3|Pl|Pres|Ind	4	rel	_	_
12	,	,	$	$,	_	0	root	_	_
13	als	als	K	KOUS	_	0	root	_	_
14	mir	ich	P	PPER	1|Sg|_|Dat	0	root	143	143
15	...	...	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	nicht	nicht	P	PTKNEG	_	9	adv	_	_
5	alles	alle	P	PIS	_|_|Sg	9	adv	_	_
6	von	von	P	APPR	Dat	9	pp	_	_
7	dem	die	A	ART	Def|_|Dat|Sg	8	det	_	_
8	Deckener	Deckener	N	NN	_|Dat|Sg	6	pn	_	_
9	erzählt	erzählen	V	VVPP	_	2	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	wie	wie	P	PWAV	_	17	adv	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	145	145
13	sich	sie	P	PRF	3|_|_	17	obja	_	_
14	mit	mit	P	APPR	Dat	17	pp	_	_
15	dem	die	A	ART	Def|_|Dat|Sg	16	det	_	_
16	Rederow	Rederow	N	NN	_|Dat|Sg	14	pn	_	_
17	geschossen	schießen	V	VVPP	_	18	aux	_	_
18	hat	haben	V	VAFIN	3|Sg|Pres|Ind	9	objc	_	_
19	und	und	K	KON	_	18	kon	_	_
20	der	die	A	ART	Def|Masc|Nom|Sg	21	det	_	_
21	Ehrenrat	Ehrenrat	N	NN	Masc|Nom|Sg	22	subj	_	_
22	hat	haben	V	VAFIN	3|Sg|Pres|Ind	19	cj	_	_
23	entschieden	entscheiden	V	VVPP	_	22	aux	_	_
24	,	,	$	$,	_	0	root	_	_
25	das	die	A	ART	Def|Neut|Nom|Sg	26	det	220	220
26	Duell	Duell	N	NN	Neut|Nom|Sg	27	subj	220	220
27	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
28	stattfinden	stattfinden	V	VVINF	_	27	aux	_	_
29	Aber	aber	K	KON	_	0	root	_	_
30	wie	wie	P	PWAV	_	29	cj	_	_
31	möcht	möcht	N	NE	_	0	root	94	94
32	'	'	$	$(	_	0	root	_	_
33	der	die	A	ART	Def|Masc|Nom|Sg	34	det	_	_
34	Ehrenrat	Ehrenrat	N	NN	Masc|Nom|Sg	0	root	_	_
35	bei	bei	P	APPR	Dat	34	pp	_	_
36	mir	ich	P	PPER	1|Sg|_|Dat	35	pn	143	143
37	entscheiden	entscheiden	V	VVFIN	_|Pl|Pres|_	0	root	_	_
38	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Dummer	dumm	A	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	146	146
3	Bub	Bub	N	NN	Masc|Nom|Sg	0	root	146	146
4	-	-	$	$(	_	0	root	_	_
5	dummer	dumm	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	146	146
6	Bub	Bub	N	NN	Masc|Nom|Sg	0	root	146	146
7	...	...	$	$.	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	143	143
10	bin	sein	V	VAFIN	1|Sg|Pres|Ind	8	cj	_	_
11	dagestanden	dagestehen	V	VVPP	_	10	aux	_	_
12	-	-	$	$(	_	0	root	_	_
13	!	!	$	$.	_	0	root	_	_

1	Heiliger	heilig	A	ADJA	Pos|Masc|_|_|St|	2	attr	_	_
2	Himmel	Himmel	N	NN	Masc|_|_	5	vok	_	_
3	,	,	$	$,	_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	doch	doch	A	ADV	_	5	adv	_	_
7	ganz	ganz	A	ADV	_	8	adv	_	_
8	egal	egal	A	ADJD	Pos|	5	pred	_	_
9	,	,	$	$,	_	0	root	_	_
10	ob	ob	K	KOUS	_	0	root	_	_
11	ein	eine	A	ART	Indef|_|_|Sg	12	det	_	_
12	anderer	anderer	A	ADJA	_|_|Sg	0	root	_	_
13	was	was	P	PWS	Neut|Nom|Sg	14	subj	_	_
14	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	12	objc	_	_
15	!	!	$	$.	_	0	root	_	_
16	...	...	$	$.	_	0	root	_	_

1	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	143	143
2	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
4	doch	doch	A	ADV	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	das	die	P	PDS	Neut|Nom|Sg	8	subj	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	cj	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	_	_
10	Hauptsache	Hauptsache	N	NN	Fem|Nom|Sg	8	pred	_	_
11	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	143	143
2	spür	spür	V	VVFIN	1|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	10	konj	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	143	143
7	jetzt	jetzt	A	ADV	_	10	adv	_	_
8	wer	wer	P	PWS	_|Nom|Sg	10	pred	_	_
9	anderer	andere	P	PIS	Masc|Nom|Sg	8	app	_	_
10	bin	sein	V	VAFIN	1|Sg|Pres|Ind	2	objc	_	_
11	,	,	$	$,	_	0	root	_	_
12	als	als	K	KOKOM	_	0	root	_	_
13	vor	vor	P	APPR	Dat	12	cj	_	_
14	einer	eine	A	ART	Indef|Fem|Dat|Sg	15	det	_	_
15	Stunde	Stunde	N	NN	Fem|Dat|Sg	13	pn	_	_
16	-	-	$	$(	_	0	root	_	_
17	Ich	ich	P	PPER	1|Sg|_|Nom	18	subj	143	143
18	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	daß	daß	K	KOUS	_	0	root	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	0	root	143	143
22	satisfaktionsunfähig	satisfaktionsunfähig	A	ADJD	Pos|	0	root	_	_
23	hin	hin	P	PTKVZ	_	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	darum	darum	P	PROAV	_	27	pp	_	_
27	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	25	cj	_	_
28	ich	ich	P	PPER	1|Sg|_|Nom	27	subj	143	143
29	mich	ich	P	PRF	1|Sg|Acc	27	obja	_	_
30	totschießen	totschießen	V	VVINF	_	0	root	_	_
31	...	...	$	$.	_	0	root	_	_
32	Keine	keine	A	PIAT	Fem|_|Sg	34	det	_	_
33	ruhige	ruhig	A	ADJA	Pos|Fem|_|Sg|_|	34	attr	_	_
34	Minute	Minute	N	NN	Fem|_|Sg	35	obja	_	_
35	hätt	hätt	V	VVFIN	1|Sg|_|_	0	root	_	_
36	'	'	$	$(	_	0	root	_	_
37	ich	ich	P	PPER	1|Sg|_|Nom	35	subj	143	143
38	mehr	mehr	A	ADV	_	35	adv	_	_
39	im	in	P	APPRART	Dat	35	pp	_	_
40	Leben	Leben	N	NN	Neut|Dat|_	39	pn	213	213
41	...	...	$	$.	_	0	root	_	_
42	immer	immer	A	ADV	_	43	adv	_	_
43	hätt	hätt	V	VVFIN	1|Sg|_|_	0	root	_	_
44	'	'	$	$(	_	0	root	_	_
45	ich	ich	P	PPER	1|Sg|_|Nom	43	subj	143	143
46	die	die	A	ART	Def|Fem|_|Sg	47	det	147	147
47	Angst	Angst	N	NN	Fem|_|Sg	43	obja	147	147
48	,	,	$	$,	_	0	root	_	_
49	daß	daß	K	KOUS	_	0	root	_	_
50	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
51	doch	doch	A	ADV	_	50	adv	_	_
52	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
53	erfahren	erfahren	A	ADJD	Pos|	54	adv	_	_
54	könnt	können	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
55	'	'	$	$(	_	0	root	_	_
56	,	,	$	$,	_	0	root	_	_
57	so	so	A	ADV	_	0	root	_	_
58	oder	oder	K	KON	_	57	kon	_	_
59	so	so	A	ADV	_	58	cj	_	_
60	...	...	$	$.	_	0	root	_	_
61	und	und	K	KON	_	0	root	_	_
62	daß	daß	K	KOUS	_	0	root	_	_
63	mir	ich	P	PPER	1|Sg|_|Dat	0	root	143	143
64	'	'	$	$(	_	0	root	_	_
65	s	s	P	PPER	_	0	root	_	_
66	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
67	einmal	einmal	A	ADV	_	70	adv	_	_
68	ins	in	P	APPRART	Acc	70	pp	_	_
69	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	68	pn	148	148
70	sagt	sagen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
71	,	,	$	$,	_	0	root	_	_
72	was	was	P	PRELS	Neut|_|Sg	0	root	148	148
73	heut	heuen	V	VVPP	_	0	root	_	_
74	'	'	$	$(	_	0	root	_	_
75	abend	abend	F	FM	_|Nom|Sg	79	subj	_	_
76	gescheh	gescheh	F	FM	_|Nom|Sg	75	app	_	_
77	'	'	$	$(	_	0	root	_	_
78	n	n	N	NN	_|Nom|Sg	76	app	_	_
79	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
80	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|Nom|Sg	13	pred	_	_
3	für	für	P	APPR	Acc	7	pp	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	_	_
5	glücklicher	glücklich	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	_	_
6	Mensch	Mensch	N	NN	Masc|Nom|Sg	3	pn	_	_
7	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	143	143
9	vor	vor	P	APPR	Dat	13	pp	_	_
10	einer	eine	A	ART	Indef|Fem|Dat|Sg	11	det	_	_
11	Stund	Stund	N	NN	Fem|Dat|Sg	9	pn	_	_
12	'	'	$	$(	_	0	root	_	_
13	gewesen	sein	V	VAPP	_	7	aux	_	_
14	...	...	$	$.	_	0	root	_	_
15	Muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
16	mir	ich	P	PPER	1|Sg|_|Dat	21	objd	143	143
17	der	die	A	ART	Def|Masc|Nom|Sg	18	det	19	19
18	Kopetzky	Kopetzky	N	NN	Masc|Nom|Sg	15	subj	19	19
19	die	die	A	ART	Def|Fem|_|Sg	20	det	149	149
20	Karte	Karte	N	NN	Fem|_|Sg	21	obja	149	149
21	schenken	schenken	V	VVINF	_	15	aux	_	_
22	-	-	$	$(	_	0	root	_	_
23	und	und	K	KON	_	15	kon	_	_
24	die	die	A	ART	Def|Fem|Nom|Sg	25	det	25	25
25	Steffi	Steffi	N	NE	Fem|Nom|Sg	26	subj	25	25
26	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	23	cj	_	_
27	mir	ich	P	PPER	1|Sg|_|Dat	28	objd	143	143
28	absagen	absagen	V	VVINF	_	26	aux	_	_
29	,	,	$	$,	_	0	root	_	_
30	das	die	A	ART	Def|Neut|_|Sg	31	det	_	_
31	Mensch	Mensch	N	NN	Neut|_|Sg	0	root	_	_
32	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Von	von	P	APPR	_	5	objp	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	was	was	P	PIS	_|_|_	2	pn	_	_
5	hängt	hängen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	man	man	P	PIS	_|Nom|Sg	5	subj	_	_
7	ab	ab	P	PTKVZ	_	5	avz	_	_
8	...	...	$	$.	_	0	root	_	_
9	Nachmittag	Nachmittag	N	NN	_|_|Sg	10	zeit	217	217
10	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
11	noch	noch	A	ADV	_	10	adv	_	_
12	alles	alle	P	PIS	Neut|Nom|Sg	10	subj	_	_
13	gut	gut	A	ADJD	Pos|	10	pred	_	_
14	und	und	K	KON	_	13	kon	_	_
15	schön	schön	A	ADJD	Pos|	14	cj	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	10	kon	_	_
18	jetzt	jetzt	A	ADV	_	19	adv	_	_
19	bin	sein	V	VAFIN	1|Sg|Pres|Ind	17	cj	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	143	143
21	ein	eine	A	ART	Indef|Masc|Nom|Sg	23	det	_	_
22	verlorener	verloren	A	ADJA	Pos|Masc|Nom|Sg|St|	23	attr	_	_
23	Mensch	Mensch	N	NN	Masc|Nom|Sg	19	pred	_	_
24	und	und	K	KON	_	19	kon	_	_
25	muß	müssen	V	VMFIN	_|Sg|Pres|Ind	24	cj	_	_
26	mich	ich	P	PRF	1|Sg|Acc	27	obja	_	_
27	totschießen	totschießen	V	VVINF	_	25	aux	_	_
28	...	...	$	$.	_	0	root	_	_

1	Warum	Warum	P	PWAV	_	2	adv	_	_
2	renn	renn	V	VVFIN	1|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	143	143
5	denn	denn	A	ADV	_	2	adv	_	_
6	so	so	A	ADV	_	2	adv	_	_
7	?	?	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	lauft	laufen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	143	143
4	ja	ja	A	ADV	_	2	adv	_	_
5	nichts	nichts	P	PIS	_	2	obja	_	_
6	davon	davon	P	PROAV	_	2	pp	_	_
7	...	...	$	$.	_	0	root	_	_
8	Wieviel	Wieviel	N	NN	_	9	obja	_	_
9	schlagt	schlagen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
10	'	'	$	$(	_	0	root	_	_
11	s	s	P	PPER	_|Pl|_|Nom	9	subj	_	_
12	denn	denn	A	ADV	_	9	adv	_	_
13	?	?	$	$.	_	0	root	_	_
14	...	...	$	$.	_	0	root	_	_

1	1	1	C	CARD	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	2	2	C	CARD	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	3	3	C	CARD	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	4	4	C	CARD	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	5	5	C	CARD	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	6	6	C	CARD	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	7	7	C	CARD	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	8	8	C	CARD	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	9	9	C	CARD	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	10	10	C	CARD	_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	11	11	C	CARD	_	0	root	_	_
22	...	...	$	$.	_	0	root	_	_
23	elf	elf	C	CARD	_	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	elf	elf	C	CARD	_	0	root	_	_
26	...	...	$	$.	_	0	root	_	_
27	ich	ich	P	PPER	1|Sg|_|Nom	0	root	143	143
28	sollt	sollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
29	'	'	$	$(	_	0	root	_	_
30	doch	doch	A	ADV	_	28	adv	_	_
31	nachtmahlen	nachtmahlen	F	FM	_	28	obja	_	_
32	geh	geh	F	FM	_	31	app	_	_
33	'	'	$	$(	_	0	root	_	_
34	n	n	N	NN	_	32	app	_	_
35	!	!	$	$.	_	0	root	_	_

1	Irgendwo	irgendwo	A	ADV	_	2	adv	_	_
2	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	143	143
4	doch	doch	A	ADV	_	2	adv	_	_
5	schließlich	schließlich	A	ADV	_	2	adv	_	_
6	hingeh	hingeh	C	CARD	_	8	attr	_	_
7	'	'	$	$(	_	0	root	_	_
8	n	n	N	NN	_|_|Pl	2	obja	_	_
9	...	...	$	$.	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	0	root	143	143
11	könnt	können	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
12	'	'	$	$(	_	0	root	_	_
13	mich	ich	P	PPER	1|Sg|_|Acc	18	obja	143	143
14	ja	ja	A	ADV	_	18	adv	_	_
15	in	in	P	APPR	Acc	18	objp	_	_
16	irgendein	irgendeine	A	PIAT	Neut|Acc|Sg	17	det	_	_
17	Beisl	Beisl	N	NN	Neut|Acc|Sg	15	pn	_	_
18	setzen	setzen	V	VVINF	_	11	aux	_	_
19	,	,	$	$,	_	0	root	_	_
20	wo	wo	P	PWAV	_	24	adv	_	_
21	mich	ich	P	PPER	1|Sg|_|Acc	24	obja	143	143
22	kein	keine	A	PIAT	_|Nom|Sg	23	det	_	_
23	Mensch	Mensch	N	NN	_|Nom|Sg	24	subj	_	_
24	kennt	kennen	V	VVFIN	3|Sg|Pres|Ind	18	rel	_	_
25	-	-	$	$(	_	0	root	_	_
26	schließlich	schließlich	A	ADV	_	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	essen	essen	V	VVINF	_	29	aux	_	_
29	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
30	der	die	A	ART	Def|Masc|Nom|Sg	31	det	61	61
31	Mensch	Mensch	N	NN	Masc|Nom|Sg	29	subj	61	61
32	,	,	$	$,	_	0	root	_	_
33	auch	auch	A	ADV	_	34	adv	_	_
34	wenn	wenn	K	KOUS	_	39	konj	_	_
35	er	er	P	PPER	3|Sg|Masc|Nom	39	subj	61	61
36	sich	sie	P	PRF	3|_|_	39	obja	_	_
37	nachher	nachher	A	ADV	_	39	adv	_	_
38	gleich	gleich	A	ADJD	Pos|	39	adv	_	_
39	totschießt	totschießen	V	VVFIN	3|Sg|Pres|Ind	29	neb	_	_
40	...	...	$	$.	_	0	root	_	_
41	Haha	Haha	F	FM	_	0	root	_	_
42	,	,	$	$,	_	0	root	_	_
43	der	die	A	ART	Def|Masc|Nom|Sg	44	det	_	_
44	Tod	Tod	N	NN	Masc|Nom|Sg	45	subj	_	_
45	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
46	ja	ja	A	ADV	_	45	adv	_	_
47	kein	keine	A	PIAT	Neut|Nom|Sg	48	det	_	_
48	Kinderspiel	Kinderspiel	N	NN	Neut|Nom|Sg	45	pred	_	_
49	...	...	$	$.	_	0	root	_	_
50	wer	wer	P	PWS	_|Nom|Sg	51	subj	_	_
51	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
52	das	die	P	PDS	Neut|_|Sg	55	obja	_	_
53	nur	nur	A	ADV	_	55	adv	_	_
54	neulich	neulich	A	ADJD	Pos|	55	adv	_	_
55	gesagt	sagen	V	VVPP	_	51	aux	_	_
56	?	?	$	$.	_	0	root	_	_
57	...	...	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
