1	Ihr	ihre	A	PPOSAT	Neut|Nom|Sg	2	det	55	55
4	jetzt	jetzt	A	ADV	_	3	adv	_	_
5	auch	auch	A	ADV	_	3	adv	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	9	det	63	63
7	losen	los	A	ADJA	Pos|Masc|Acc|Sg|_|	9	attr	63	63
8	perlgrauen	perlgrau	A	ADJA	Pos|Masc|Acc|Sg|_|	9	attr	63	63
9	Anzug	Anzug	N	NN	Masc|Acc|Sg	3	obja	63	63
10	krötenbunt	krötenbunt	A	ADJD	Pos|	3	pred	_	_
11	.	.	$	$.	_	0	root	_	_

1	Währenddem	währenddem	A	ADV	_	2	adv	_	_
2	schnauzt	schnauzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	64	64
4	Direktor	Direktor	N	NN	Masc|Nom|Sg	2	subj	64	64
5	der	die	A	ART	Def|Fem|Gen|Sg	6	det	90	90
6	Rakkóxischen	Rakkóxischen	N	NE	Fem|Gen|Sg	4	gmod	90	90
7	Erfindungsabteilung	Erfindungsabteilung	N	NN	Fem|Gen|Sg	6	app	64	64
8	sein	seine	A	PPOSAT	Neut|_|Sg	9	det	64	64
9	Obergenie	Obergenie	N	NN	Neut|_|Sg	2	obja	65	65
10	Schultze	Schultze	N	NE	Neut|_|Sg	9	app	65	65
11	VII.	VII.	N	NE	Neut|_|Sg	10	app	65	65

1	mächtig	mächtig	A	ADJD	Pos|	0	root	_	_
2	an	an	P	PTKVZ	_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	92	92
3	Siebente	Siebente	N	NN	Masc|Nom|Sg	4	subj	92	92
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
5	wütend	wütend	A	ADJD	_|_	4	pred	_	_
6	wie	wie	K	KOKOM	_	4	kom	_	_
7	ein	eine	A	ART	Indef|Masc|Nom|Sg	9	det	_	_
8	spanischer	spanisch	A	ADJA	Pos|Masc|Nom|Sg|St|	9	attr	_	_
9	Stier	Stier	N	NN	Masc|Nom|Sg	6	cj	_	_
10	.	.	$	$.	_	0	root	_	_

1	Beim	bei	P	APPRART	Dat	6	pp	_	_
2	Donner	Donner	N	NN	Masc|Dat|Sg	1	pn	_	_
3	der	die	A	ART	Def|Neut|Gen|Pl	5	det	_	_
4	großen	groß	A	ADJA	Pos|Neut|Gen|Pl|Wk|	5	attr	_	_
5	Worte	Wort	N	NN	Neut|Gen|Pl	2	gmod	_	_
6	verkriechen	verkriechen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
7	sich	sie	P	PRF	3|_|_	6	obja	_	_
8	des	die	A	ART	Def|_|Gen|Sg	9	det	_	_
9	Direktors	Direktor	N	NN	Masc|Gen|Pl	0	root	_	_
10	Möpse	Mops	N	NN	Masc|Gen|Pl	9	app	_	_
11	hinter	hinter	P	APPR	Acc	10	pp	_	_
12	die	die	A	ART	Def|Neut|Acc|Pl	13	det	_	_
13	Aktenregale	Aktenregal	N	NN	Neut|Acc|Pl	11	pn	_	_
14	.	.	$	$.	_	0	root	_	_

1	Nachdem	nachdem	K	KOUS	_	5	konj	_	_
2	Rakkóx	Rakkóx	N	NE	_|Nom|Sg	5	subj	0	0
3	sich	sie	P	PRF	3|_|_	4	obja	_	_
4	ausgeschlafen	ausschlafen	V	VVPP	_	5	aux	_	_
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	7	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	ihm	er	P	PPER	3|Sg|_|Dat	15	objd	0	0
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	11	det	_	_
10	junger	jung	A	ADJA	Pos|Masc|Nom|Sg|St|	11	attr	_	_
11	Erfinder	Erfinder	N	NN	Masc|Nom|Sg	7	subj	_	_
12	Namens	Name	N	NN	Masc|Gen|Sg	13	gmod	66	66
13	Kasimir	Kasimir	N	NE	Masc|Nom|_	11	app	66	66
14	Stummel	Stummel	N	NN	Masc|Nom|_	13	app	66	66
15	gemeldet	melden	V	VVPP	_	7	aux	_	_
16	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Empfangssaal	Empfangssaal	N	NN	Masc|_|Sg	0	root	_	_
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	flüstert	flüstern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	17	17
7	Billionär	Billionär	N	NN	Masc|Nom|Sg	5	subj	17	17
8	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	Stummel	Stummel	N	NN	Masc|Nom|Sg	3	subj	66	66
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	in	in	P	APPR	Acc	7	objp	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
6	Empfangssaal	Empfangssaal	N	NN	Masc|Acc|Sg	4	pn	_	_
7	geführt	führen	V	VVPP	_	3	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Der	die	P	PDS	Masc|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	natürlich	natürlich	A	ADJD	Pos|	2	adv	_	_
4	köstlicher	köstlich	A	ADJD	Comp|	2	pred	_	_
5	als	als	K	KOKOM	_	2	kom	_	_
6	alle	alle	A	PIDAT	Masc|_|Pl	7	det	_	_
7	Harems	Harem	N	NN	Masc|_|Pl	5	cj	_	_
8	des	die	A	ART	Def|Masc|Gen|Sg	9	det	104	104
9	Kaisers	Kaiser	N	NN	Masc|Gen|Sg	7	gmod	104	104
10	von	von	P	APPR	_	9	pp	104	104
11	China	China	N	NE	Neut|_|Sg	10	pn	103	103
12	.	.	$	$.	_	0	root	_	_

1	Feinste	fein	A	ADJA	Sup|Fem|_|Pl|St|	2	attr	_	_
2	Emailwände	Emailwand	N	NN	Fem|_|Pl	0	root	_	_
3	-	-	$	$(	_	0	root	_	_
4	durchsichtiges	durchsichtig	A	ADJA	Pos|Neut|_|Sg|St|	5	attr	_	_
5	Email	Email	N	NN	Neut|_|Sg	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	rot	rot	A	ADJD	Pos|	15	adv	_	_
3	-	-	$	$(	_	0	root	_	_
4	grün	grün	A	ADJD	Pos|	15	adv	_	_
5	-	-	$	$(	_	0	root	_	_
6	blau	blau	A	ADJD	Pos|	15	adv	_	_
7	-	-	$	$(	_	0	root	_	_
8	glitzernd	glitzern	A	ADJD	_|<PPRES	15	adv	_	_
9	wie	wie	K	KOKOM	_	8	kom	_	_
10	spielende	spielend	A	ADJA	Pos|_|_|_|_|<PPRES	11	attr	_	_
11	Fische	Fisch	N	NN	_|_|_	9	cj	_	_
12	im	in	P	APPRART	Dat	11	pp	_	_
13	Sonnenschein	Sonnenschein	N	NN	Masc|Dat|Sg	12	pn	_	_
14	-	-	$	$(	_	0	root	_	_
15	Geschmeide	Geschmeide	N	NN	Neut|_|_	0	root	_	_
16	von	von	P	APPR	Dat	15	pp	_	_
17	feinsten	fein	A	ADJA	Sup|Neut|Dat|Pl|_|	18	attr	_	_
18	Goldornamenten	Goldornament	N	NN	Neut|Dat|Pl	16	pn	_	_
19	dazwischen	dazwischen	P	PTKVZ	_	0	root	_	_
20	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dann	dann	A	ADV	_	3	adv	_	_
3	Teppiche	Teppich	N	NN	Masc|_|Pl	1	cj	_	_
4	-	-	$	$(	_	0	root	_	_
5	gearbeitet	arbeiten	V	VVPP	_	3	par	_	_
6	mit	mit	P	APPR	Dat	5	pp	_	_
7	dem	die	A	ART	Def|Neut|Dat|Sg	8	det	_	_
8	Mikroskop	Mikroskop	N	NN	Neut|Dat|Sg	6	pn	_	_
9	-	-	$	$(	_	0	root	_	_
10	Millionen	Million	N	NN	Fem|Gen|_	3	gmod	_	_
11	geheimnisvoller	geheimnisvoll	A	ADJA	Pos|Neut|Gen|Pl|St|	12	attr	_	_
12	Zeichen	Zeichen	N	NN	Neut|Gen|Pl	10	app	_	_
13	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	bestrickend	bestricken	A	ADJD	_|<PPRES	13	pred	_	_
4	komponiert	komponieren	V	VVPP	_	13	neb	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	11	konj	_	_
7	aller	alle	A	PIDAT	Masc|Nom|Sg	8	det	_	_
8	Blütenschnee	Blütenschnee	N	NN	Masc|Nom|Sg	11	subj	_	_
9	der	die	A	ART	Def|Fem|Gen|Sg	10	det	_	_
10	Welt	Welt	N	NN	Fem|Gen|Sg	8	gmod	_	_
11	garnichts	garnichts	V	VVFIN	_|Sg|_|_	13	objc	_	_
12	dagegen	dagegen	P	PROAV	_	11	pp	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1	Dünne	dünn	A	ADJA	Pos|Fem|_|Pl|St|	2	attr	67	67
2	Glassäulen	Glassäule	N	NN	Fem|_|Pl	0	root	67	67
3	,	,	$	$,	_	0	root	67	67
4	die	die	P	PRELS	Fem|Nom|Pl	10	subj	67	67
5	die	die	A	ART	Def|Masc|_|Pl	7	det	_	_
6	zartesten	zart	A	ADJA	Sup|Masc|_|Pl|Wk|	7	attr	_	_
7	Farbenwürfel	Farbenwürfel	N	NN	Masc|_|Pl	10	obja	_	_
8	in	in	P	APPR	_	10	pp	_	_
9	sich	sie	P	PRF	3|_|_	8	pn	_	_
10	haben	haben	V	VAFIN	3|Pl|Pres|_	2	rel	_	_
11	-	-	$	$(	_	0	root	_	_
12	beim	bei	P	APPRART	Dat	14	pp	_	_
13	Vorbeigehen	Vorbeigehe	N	NN	_|Dat|_	12	pn	_	_
14	kaleidoskopartig	kaleidoskopartig	A	ADJD	Pos|	15	adv	_	_
15	wirkend	wirken	A	ADJD	_|<PPRES	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Sessel	Sessel	N	NN	Masc|_|_	0	root	_	_
2	aus	aus	P	APPR	Dat	1	pp	_	_
3	geschnitztem	geschnitzt	A	ADJA	Pos|Neut|Dat|Sg|St|	4	attr	_	_
4	Elfenbein	Elfenbein	N	NN	Neut|Dat|Sg	2	pn	_	_
5	mit	mit	P	APPR	Dat	4	pp	_	_
6	weicher	weich	A	ADJA	Pos|Fem|Dat|Sg|St|	7	attr	_	_
7	Seidenweberei	Seidenweberei	N	NN	Fem|Dat|Sg	5	pn	_	_
8	.	.	$	$.	_	0	root	_	_

1	Stachlige	stachlig	A	ADJA	Pos|Fem|_|Pl|St|	3	attr	68	68
2	graue	grau	A	ADJA	Pos|Fem|_|Pl|St|	3	attr	68	68
3	Korallenvasen	Korallenvase	N	NN	Fem|_|Pl	0	root	68	68
4	,	,	$	$,	_	0	root	_	_
5	die	die	P	PRELS	_|_|_	0	root	68	68
6	beinah	beinah	A	ADV	_	10	adv	_	_
7	bis	bis	P	APPR	Acc	10	pp	_	_
8	zur	zu	P	APPRART	Dat	7	pp	_	_
9	Decke	Decke	N	NN	Fem|Dat|Sg	8	pn	_	_
10	reichen	reichen	V	VVINF	_	0	root	_	_
11	-	-	$	$(	_	0	root	_	_
12	jede	jede	P	PIS	_|_|Sg	0	root	_	_
13	der	die	A	ART	Def|_|Gen|Pl	15	det	_	_
14	tausend	tausend	C	CARD	_	15	attr	_	_
15	Stachelspitzen	Stachelspitz	N	NN	_|Gen|Pl	12	gmod	_	_
16	ein	eine	A	ART	Indef|Masc|Nom|Sg	19	det	_	_
17	kleiner	klein	A	ADJA	Pos|Masc|Nom|Sg|St|	19	attr	_	_
18	blitzender	blitzend	A	ADJA	Pos|Masc|Nom|Sg|St|<PPRES	19	attr	_	_
19	Smaragd	Smaragd	N	NN	Masc|Nom|Sg	0	root	_	_
20	.	.	$	$.	_	0	root	_	_

1	Achattische	Achattisch	N	NN	Masc|_|_	0	root	_	_
2	mit	mit	P	APPR	Dat	1	pp	_	_
3	Chrysolithschnitzerei	Chrysolithschnitzerei	N	NE	_|Dat|_	2	pn	_	_
4	-	-	$	$(	_	0	root	_	_
5	in	in	P	APPR	Dat	3	pp	_	_
6	allen	alle	A	PIDAT	Fem|Dat|Pl	8	det	_	_
7	möglichen	möglich	A	ADJA	Pos|Fem|Dat|Pl|_|	8	attr	_	_
8	Formen	Form	N	NN	Fem|Dat|Pl	5	pn	_	_
9	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	_	_
2	Ganze	Ganze	N	NN	Neut|_|Sg	0	root	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	im	in	P	APPRART	Dat	2	pp	_	_
5	Halbdunkel	Halbdunkel	N	NN	Neut|Dat|Sg	4	pn	_	_
6	-	-	$	$(	_	0	root	_	_
7	nur	nur	A	ADV	_	11	adv	_	_
8	erleuchtet	erleuchtet	A	ADJD	Pos|	11	adv	_	_
9	von	von	P	APPR	Dat	8	pp	_	_
10	Fenstern	Fenster	N	NN	Neut|Dat|Pl	9	pn	69	69
11	aus	aus	P	APPR	Dat	5	pp	69	69
12	Rubinglas	Rubinglas	N	NN	Neut|Dat|Sg	11	pn	69	69
13	,	,	$	$,	_	0	root	69	69
14	die	die	P	PRELS	Neut|Nom|Pl	28	subj	69	69
15	unregelmäßig	unregelmäßig	A	ADJD	Pos|	27	adv	_	_
16	in	in	P	APPR	Dat	27	pp	_	_
17	verschiedenen	verschieden	A	ADJA	Pos|Neut|Dat|Pl|_|	18	attr	_	_
18	Formaten	Format	N	NN	Neut|Dat|Pl	16	pn	_	_
19	an	an	P	APPR	Dat	27	pp	_	_
20	den	die	A	ART	Def|Fem|Dat|Pl	21	det	_	_
21	Seiten	Seite	N	NN	Fem|Dat|Pl	19	pn	_	_
22	und	und	K	KON	_	19	kon	_	_
23	an	an	P	APPR	Dat	22	cj	_	_
24	der	die	A	ART	Def|Fem|Dat|Sg	26	det	70	70
25	gewölbten	gewölbt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	26	attr	70	70
26	Decke	Decke	N	NN	Fem|Dat|Sg	23	pn	70	70
