1	Salmanassar	Salmanassar	N	NN	_	0	root	24	24
4	war	sein	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
5	doch	doch	A	ADV	_	4	adv	_	_
6	noch	noch	A	ADV	_	4	adv	_	_
7	größer	groß	A	ADJD	Comp|	4	pred	_	_
8	als	als	K	KOKOM	_	4	kom	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	_	_
10	Palast	Palast	N	NN	Masc|Nom|Sg	8	cj	_	_
11	seines	seine	A	PPOSAT	_|Gen|Sg	12	det	2	2
12	Herrn	Herrn	N	NN	_|Gen|Sg	10	gmod	_	_
13	Vaters	Vater	N	NN	Masc|Gen|Sg	4	objg	_	_
14	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	14	pp	_	_
2	diesem	diese	A	PDAT	Masc|Dat|Sg	4	det	3	3
3	großen	groß	A	ADJA	Pos|Masc|Dat|Sg|Wk|	4	attr	3	3
4	Palast	Palast	N	NN	Masc|Dat|Sg	1	pn	3	3
5	,	,	$	$,	_	0	root	3	3
6	der	die	P	PRELS	Masc|Nom|Sg	12	subj	3	3
7	eigentlich	eigentlich	A	ADV	_	12	adv	_	_
8	aus	aus	P	APPR	Dat	12	objp	_	_
9	sehr	sehr	A	ADV	_	10	adv	_	_
10	vielen	viele	A	PIDAT	Masc|Dat|Pl	11	det	_	_
11	Palästen	Palast	N	NN	Masc|Dat|Pl	8	pn	_	_
12	bestand	bestehen	V	VVFIN	3|Sg|Past|Ind	4	rel	_	_
13	,	,	$	$,	_	0	root	_	_
14	lebte	leben	V	VVFIN	3|Sg|Past|_	0	root	_	_
15	auch	auch	A	ADV	_	14	adv	_	_
16	ein	eine	A	ART	Indef|Masc|Nom|Sg	18	det	4	4
17	kleiner	klein	A	ADJA	Pos|Masc|Nom|Sg|St|	18	attr	4	4
18	Zwerg	Zwerg	N	NN	Masc|Nom|Sg	14	subj	4	4
19	,	,	$	$,	_	0	root	_	_
20	der	die	A	ART	Def|Fem|Dat|Sg	21	det	_	_
21	Nabu-Kin	Nabu-Kin	N	NN	Fem|Dat|Sg	22	objd	_	_
22	hieß	heißen	V	VVFIN	_|Sg|Past|Ind	14	kon	_	_
23	und	und	K	KON	_	22	kon	_	_
24	die	die	A	ART	Def|Fem|Nom|Sg	25	det	_	_
25	Laute	Laut	N	NN	Fem|Nom|Sg	26	subj	_	_
26	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	23	cj	_	_
27	und	und	K	KON	_	26	kon	_	_
28	Witze	Witz	N	NN	Masc|Nom|Pl	29	subj	_	_
29	riß	riß	V	VVFIN	_|Pl|_|_	27	cj	_	_
30	tagaus	tagaus	N	NE	_	29	obja	_	_
31	und	und	K	KON	_	0	root	_	_
32	tagein	tagein	A	ADJD	Pos|	31	cj	_	_
33	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	4	4
2	kleine	klein	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	4	4
3	Zwerg	Zwerg	N	NN	Masc|Nom|Sg	4	subj	4	4
4	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	einen	eine	A	ART	Indef|Masc|Acc|Sg	9	det	_	_
6	sauber	sauber	A	ADJD	Pos|	7	adv	_	_
7	gekräuselten	gekräuselt	A	ADJA	Pos|Masc|Acc|Sg|_|	9	attr	_	_
8	schwarzen	schwarz	A	ADJA	Pos|Masc|Acc|Sg|_|	9	attr	_	_
9	Vollbart	Vollbart	N	NN	Masc|Acc|Sg	4	obja	_	_
10	und	und	K	KON	_	9	kon	_	_
11	gekräuseltes	gekräuselt	A	ADJA	Pos|Neut|Acc|Sg|St|	15	attr	5	5
12	,	,	$	$,	_	0	root	5	5
13	sehr	sehr	A	ADV	_	14	adv	5	5
14	umfangreiches	umfangreich	A	ADJA	Pos|Neut|Acc|Sg|St|	11	kon	5	5
15	Haupthaar	Haupthaar	N	NN	Neut|Acc|Sg	10	cj	5	5
16	,	,	$	$,	_	0	root	5	5
17	unter	unter	P	APPR	Dat	23	pp	5	5
18	dem	die	P	PRELS	Neut|Dat|Sg	17	pn	5	5
19	das	die	A	ART	Def|Neut|_|Sg	20	det	_	_
20	Zwergengesicht	Zwergengesicht	N	NN	Neut|Nom|Sg	23	subj	_	_
21	noch	noch	A	ADV	_	23	adv	_	_
22	kleiner	klein	A	ADJD	Comp|	23	pred	_	_
23	aussah	aussehen	V	VVFIN	3|Sg|Past|Ind	15	rel	_	_
24	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dazu	dazu	P	PROAV	_	3	pp	_	_
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
4	Nabu-Kin	Nabu-Kin	N	NN	Fem|Nom|Sg	3	subj	30	30
5	eine	eine	A	ART	Indef|Fem|_|Sg	6	det	7	7
6	Sklavin	Sklavin	N	NN	Fem|_|Sg	3	obja	7	7
7	,	,	$	$,	_	0	root	7	7
8	die	die	P	PRELS	Fem|Nom|Sg	14	subj	7	7
9	sich	sie	P	PRF	3|_|_	12	obja	_	_
10	als	als	K	KOKOM	_	12	kom	_	_
11	Riesendame	Riesendame	N	NN	Fem|_|Sg	10	cj	_	_
12	sehen	sehen	V	VVINF	_	13	obji	_	_
13	lassen	lassen	V	VVINF	_	14	aux	_	_
14	konnte	können	V	VMFIN	3|Sg|Past|Ind	6	rel	_	_
15	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	7	7
3	war	sein	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
4	viel	viel	A	ADV	_	5	adv	_	_
5	stärker	stark	A	ADJD	Comp|	3	pred	_	_
6	als	als	K	KOKOM	_	3	kom	_	_
7	die	die	A	ART	Def|Masc|_|Pl	9	det	43	43
8	kräftigsten	kräftig	A	ADJA	Sup|Masc|_|Pl|Wk|	9	attr	43	43
9	Krieger	Krieger	N	NN	Masc|_|Pl	6	cj	43	43
10	von	von	P	APPR	Gen	9	pp	43	43
11	des	die	A	ART	Def|Masc|Gen|Sg	12	det	43	43
12	Königs	König	N	NN	Masc|Gen|Sg	10	pn	43	43
13	Leibgarde	Leibgarde	N	NE	Masc|Gen|Sg	12	app	43	43
14	.	.	$	$.	_	0	root	_	_

1	Nana-Bel-Usur	Nana-Bel-Usur	N	NE	_|Nom|Sg	2	subj	8	8
2	hieß	heißen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	7	7
4	Sklavin	Sklavin	N	NN	Fem|Nom|Sg	2	pred	7	7
5	;	;	$	$.	_	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	17	17
7	König	König	N	NN	Masc|Nom|Sg	8	subj	17	17
8	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
9	sie	sie	P	PPER	3|_|_|_	15	obja	7	7
10	dem	die	A	ART	Def|Masc|Dat|Sg	11	det	4	4
11	Zwerg	Zwerg	N	NN	Masc|Dat|Sg	15	objd	4	4
12	in	in	P	APPR	Dat	15	pp	_	_
13	lustiger	lustig	A	ADJA	Pos|Fem|Dat|Sg|St|	14	attr	_	_
14	Laune	Laune	N	NN	Fem|Dat|Sg	12	pn	_	_
15	geschenkt	schenken	V	VVPP	_	8	aux	_	_
16	.	.	$	$.	_	0	root	_	_

1	Nana	Nana	N	NE	_|Nom|Sg	2	subj	9	9
2	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|_|_|Nom	5	pred	8	8
4	kurzweg	kurzweg	A	ADV	_	3	adv	_	_
5	genannt	nennen	V	VVPP	_	2	aux	_	_
6	und	und	K	KON	_	2	kon	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	8	subj	8	8
8	trug	tragen	V	VVFIN	3|Sg|Past|Ind	6	cj	_	_
9	noch	noch	A	ADV	_	8	adv	_	_
10	immer	immer	A	ADV	_	8	adv	_	_
11	das	die	A	ART	Def|Neut|_|Sg	12	det	_	_
12	Lammfleisch	Lammfleisch	N	NN	Neut|_|Sg	8	obja	_	_
13	und	und	K	KON	_	12	kon	_	_
14	die	die	A	ART	Def|Fem|_|Pl	15	det	_	_
15	Datteln	Dattel	N	NN	Fem|_|Pl	13	cj	_	_
16	in	in	P	APPR	Acc	8	objp	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	19	det	_	_
18	kleinen	klein	A	ADJA	Pos|Masc|Acc|Sg|_|	19	attr	_	_
19	Pförtnerpalast	Pförtnerpalast	N	NN	Masc|Acc|Sg	16	pn	_	_
20	,	,	$	$,	_	0	root	_	_
21	allwo	allwo	N	NE	_	0	root	_	_
22	immer	immer	A	ADV	_	24	adv	_	_
23	viele	viele	A	PIDAT	Masc|_|Pl	24	det	_	_
24	Offiziere	Offizier	N	NN	Masc|_|Pl	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	Bogenschützen	Bogenschütze	N	NN	_|_|_	24	kon	_	_
27	und	und	K	KON	_	26	kon	_	_
28	Speersoldaten	Speersoldat	N	NN	_|_|_	27	cj	_	_
29	aus-	aus-	T	TRUNC	_	0	root	_	_
30	und	und	K	KON	_	0	root	_	_
31	eingingen	eingehen	V	VVFIN	_|Pl|Past|_	30	cj	_	_
32	und	und	K	KON	_	31	kon	_	_
33	ein	eine	A	ART	Indef|Neut|_|Sg	36	det	_	_
34	sehr	sehr	A	ADV	_	35	adv	_	_
35	lautes	laut	A	ADJA	Pos|Neut|_|Sg|St|	36	attr	_	_
36	Leben	Leben	N	NN	Neut|_|Sg	40	obja	_	_
37	in	in	P	APPR	Acc	36	pp	_	_
38	die	die	A	ART	Def|Fem|Acc|Sg	39	det	_	_
39	Bude	Bude	N	NN	Fem|Acc|Sg	37	pn	_	_
40	brachten	bringen	V	VVFIN	_|Pl|Past|Ind	32	cj	_	_
41	.	.	$	$.	_	0	root	_	_

1	Hier	hier	A	ADV	_	2	adv	_	_
2	verkehrte	verkehren	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	sehr	sehr	A	ADV	_	5	adv	_	_
5	oft	oft	A	ADV	_	2	adv	_	_
6	der	die	A	ART	Def|_|_|_	8	det	10	10
7	kleine	klein	A	ADJA	Pos|Masc|Nom|Sg|Wk|	8	attr	10	10
8	Nabu-Kin	Nabu-Kin	N	NN	Masc|Nom|Sg	2	subj	10	10
9	;	;	$	$.	_	0	root	_	_
10	und	und	K	KON	_	0	root	_	_
11	Nana	Nana	N	NE	_|Nom|Sg	12	subj	9	9
12	schützte	schützen	V	VVFIN	3|Sg|Past|_	10	cj	_	_
13	ihn	er	P	PPER	3|Sg|Masc|Acc	12	obja	10	10
14	und	und	K	KON	_	12	kon	_	_
15	nahm	nehmen	V	VVFIN	_|Sg|Past|Ind	14	cj	_	_
16	immer	immer	A	ADV	_	15	adv	_	_
17	seine	seine	A	PPOSAT	Fem|_|Sg	18	det	10	10
18	Partei	Partei	N	NN	Fem|_|Sg	15	obja	_	_
19	.	.	$	$.	_	0	root	_	_

1	Hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
2	da	da	A	ADV	_	11	adv	_	_
3	doch	doch	A	ADV	_	11	adv	_	_
4	neulich	neulich	A	ADV	_	11	adv	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	14	14
6	Wagenlenker	Wagenlenker	N	NN	Masc|Nom|Sg	1	subj	14	14
7	Samas	Samas	N	NE	Masc|Nom|Sg	6	app	14	14
8	dem	die	A	ART	Def|_|Dat|Sg	10	det	45	45
9	kleinen	klein	A	ADJA	Pos|_|Dat|Sg|Wk|	10	attr	45	45
10	Nabu-Kin	Nabu-Kin	N	NN	_|Dat|Sg	11	objd	45	45
11	zugerufen	zurufen	V	VVPP	_	1	aux	_	_
12	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	Masc|Nom|Sg	0	root	12	12
3	Knirps	Knirps	N	NN	Masc|_|Sg	2	app	12	12
4	,	,	$	$,	_	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	6	subj	11	11
6	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
7	in	in	P	APPR	Acc	10	pp	_	_
8	die	die	A	ART	Def|Fem|Acc|Sg	9	det	_	_
9	Löwenhöhle	Löwenhöhle	N	NN	Fem|Acc|Sg	7	pn	_	_
10	springen	springen	V	VVINF	_	6	aux	_	_
11	;	;	$	$.	_	0	root	_	_
12	die	die	A	ART	Def|Masc|Nom|Pl	13	det	13	13
13	Löwen	Löwe	N	NN	Masc|Nom|Pl	14	subj	13	13
14	tun	tun	V	VVFIN	3|Pl|Pres|Ind	0	root	_	_
15	dir	du	P	PPER	2|Sg|_|Dat	14	objd	11	11
16	nichts	nichts	P	PIS	_	14	obja	_	_
17	;	;	$	$.	_	0	root	_	_
18	sie	sie	P	PPER	3|Pl|_|Nom	19	subj	12	12
19	bemerken	bemerken	V	VVFIN	3|Pl|Pres|_	0	root	_	_
20	dich	du	P	PPER	2|Sg|_|Acc	19	obja	11	11
21	gar	gar	A	ADV	_	22	adv	_	_
22	nicht	nicht	P	PTKNEG	_	19	adv	_	_
23	;	;	$	$.	_	0	root	_	_
24	so	so	A	ADV	_	25	adv	_	_
25	kleine	klein	A	ADJA	Pos|Masc|Nom|Pl|St|	26	attr	_	_
26	Knirpse	Knirps	N	NN	Masc|Nom|Pl	27	subj	_	_
27	lassen	lassen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
28	sie	sie	P	PPER	3|_|_|_	27	obja	12	12
29	leben	leben	V	VVFIN	_|Pl|Pres|_	0	root	_	_
30	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	13	13
2	Löwen	Löwe	N	NN	Masc|Nom|Pl	3	subj	13	13
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
4	viel	viel	A	ADV	_	6	adv	_	_
5	zu	zu	P	PTKA	_	6	adv	_	_
6	faul	faul	A	ADJD	Pos|	3	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	um	um	K	KOUI	_	0	root	_	_
9	eines	eine	A	ART	Indef|Masc|Gen|Sg	12	det	_	_
10	so	so	A	ADV	_	11	adv	_	_
11	kleinen	klein	A	ADJA	Pos|Masc|Gen|Sg|_|	12	attr	_	_
12	Happens	Happen	N	NN	Masc|Gen|Sg	0	root	_	_
13	wegen	wegen	P	APPR	_	12	pp	_	_
14	das	die	A	ART	Def|Neut|_|Sg	16	det	_	_
15	große	groß	A	ADJA	Pos|Neut|_|Sg|Wk|	16	attr	_	_
16	Maul	Maul	N	NN	Neut|_|Sg	13	pn	_	_
17	aufzutun	auftun	V	VVIZU	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_
19	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	Nana	Nana	N	NE	Fem|Dat|Sg	4	objd	9	9
4	gehört	gehören	V	VVPP	_	2	aux	9	9
5	,	,	$	$,	_	0	root	9	9
6	die	die	P	PRELS	Fem|Nom|Sg	11	subj	9	9
7	gerade	gerade	A	ADV	_	11	adv	_	_
8	mit	mit	P	APPR	Dat	11	pp	_	_
9	gekochtem	gekocht	A	ADJA	Pos|Neut|Dat|Sg|St|	10	attr	_	_
10	Lammfleisch	Lammfleisch	N	NN	Neut|Dat|Sg	8	pn	_	_
11	hereinkam	hereinkommen	V	VVFIN	3|Sg|Past|Ind	3	rel	_	_
12	;	;	$	$.	_	0	root	_	_
13	sie	sie	P	PPER	3|Sg|Fem|Nom	14	subj	9	9
14	stellte	stellen	V	VVFIN	3|Sg|Past|_	0	root	_	_
15	die	die	A	ART	Def|Fem|_|Sg	16	det	_	_
16	Schüssel	Schüssel	N	NN	Fem|_|Sg	14	obja	_	_
17	hin	hin	P	PTKVZ	_	14	avz	_	_
18	und	und	K	KON	_	0	root	_	_
19	gab	geben	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
20	dem	die	A	ART	Def|Masc|Dat|Sg	21	det	14	14
21	Wagenlenker	Wagenlenker	N	NN	Masc|Dat|Sg	19	objd	14	14
22	Samas	Samas	N	NE	Masc|Dat|Sg	21	app	14	14
23	eine	eine	A	ART	Indef|Fem|_|Sg	24	det	_	_
24	Maulschelle	Maulschelle	N	NN	Fem|_|Sg	19	obja	_	_
25	,	,	$	$,	_	0	root	_	_
26	daß	daß	K	KOUS	_	33	konj	_	_
27	ihm	er	P	PPER	3|Sg|_|Dat	33	objd	14	14
28	das	die	A	ART	Def|Neut|Nom|Sg	29	det	50	50
29	Blut	Blut	N	NN	Neut|Nom|Sg	33	subj	50	50
30	aus	aus	P	APPR	Dat	33	pp	_	_
31	der	die	A	ART	Def|Fem|Dat|Sg	32	det	27	27
32	Nase	Nase	N	NN	Fem|Dat|Sg	30	pn	27	27
33	spritzte	spritzen	V	VVFIN	3|Sg|Past|_	19	subjc	_	_
34	.	.	$	$.	_	0	root	_	_

1	Alles	alle	P	PIS	Neut|Nom|Sg	2	subj	_	_
2	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Nabu-Kin	Nabu-Kin	N	NN	Fem|Nom|Sg	3	subj	60	60
2	aber	aber	A	ADV	_	1	adv	60	60
3	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jedenfalls	jedenfalls	A	ADV	_	3	adv	_	_
3	brauche	brauchen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	60	60
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	viel	viel	A	PIDAT	Neut|_|Sg	8	det	_	_
8	Lammfleisch	Lammfleisch	N	NN	Neut|_|Sg	10	obja	_	_
9	zu	zu	P	PTKZU	_	10	part	_	_
10	essen	essen	V	VVINF	_	3	obji	_	_
11	wie	wie	K	KOKOM	_	0	root	_	_
12	die	die	A	ART	Def|_|_|Pl	14	det	_	_
13	großen	groß	A	ADJA	Pos|_|_|Pl|Wk|	14	attr	_	_
14	Leute	Leute	N	NN	_|_|Pl	11	cj	_	_
15	.	.	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|Nom|Sg	3	det	_	_
2	schwere	schwer	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	_	_
3	Arbeit	Arbeit	N	NN	Fem|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	das	die	A	ART	Def|Neut|Nom|Sg	6	det	_	_
6	Essen	Esse	N	NN	Neut|Nom|Sg	4	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	16	16
2	Trinken	Trinken	N	NN	Neut|Nom|Sg	3	subj	16	16
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	leichter	leicht	A	ADJD	Comp|	3	pred	_	_
5	.	.	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	16	16
2	Trinken	Trinken	N	NN	Neut|_|Sg	3	obja	16	16
3	besorgte	besorgen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	nun	nun	A	ADV	_	3	adv	_	_
5	der	die	A	ART	Def|_|_|_	6	det	_	_
6	Kleine	klein	A	ADJA	Masc|Nom|Sg	3	subj	_	_
7	in	in	P	APPR	Dat	3	pp	_	_
8	sehr	sehr	A	ADV	_	9	adv	_	_
9	ausgiebigem	ausgiebig	A	ADJA	Pos|Neut|Dat|Sg|St|	10	attr	_	_
10	Maße	Maß	N	NN	Neut|Dat|Sg	7	pn	_	_
11	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	3	koord	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	6	6
3	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	dabei	dabei	P	PROAV	_	3	pp	_	_
5	die	die	A	ART	Def|_|_|_	6	det	_	_
6	Laute	Laut	N	NN	_|_|_	3	obja	_	_
7	und	und	K	KON	_	3	kon	_	_
8	riß	riß	V	VVFIN	_	7	cj	_	_
9	Witze	Witz	N	NN	Masc|_|_	8	obja	_	_
10	,	,	$	$,	_	0	root	_	_
11	gute	gut	A	ADJA	Pos|_|_|_|_|	0	root	_	_
12	und	und	K	KON	_	11	kon	_	_
13	schlechte	schlecht	A	ADJA	Pos|_|_|_|_|	12	cj	_	_
14	.	.	$	$.	_	0	root	_	_

1	Alles	alle	P	PIS	Neut|Nom|Sg	2	subj	_	_
2	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	immer	immer	A	ADV	_	2	adv	_	_
4	und	und	K	KON	_	0	root	_	_
5	achtete	achten	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	nicht	nicht	P	PTKNEG	_	5	adv	_	_
7	viel	viel	P	PIS	_|Nom|Sg	5	subj	_	_
8	darauf	darauf	P	PROAV	_	5	objp	_	_
9	,	,	$	$,	_	0	root	_	_
10	wie	wie	P	PWAV	_	13	pred	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	57	57
12	Witz	Witz	N	NN	Masc|Nom|Sg	13	subj	57	57
13	aussah	aussehen	V	VVFIN	3|Sg|Past|Ind	5	objc	_	_
14	.	.	$	$.	_	0	root	_	_

1	Einmal	einmal	A	ADV	_	2	adv	_	_
2	aber	aber	A	ADV	_	0	root	_	_
3	-	-	$	$(	_	0	root	_	_
4	vergriff	vergreifen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	der	die	A	ART	Def|_|_|_	7	det	_	_
7	Kleine	klein	A	ADJA	Masc|Nom|Sg	4	subj	_	_
8	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	so	so	A	ADV	_	2	adv	_	_
4	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	_	_
2	Krieger	Krieger	N	NN	Masc|Nom|Pl	5	subj	_	_
3	des	die	A	ART	Def|Masc|Gen|Sg	4	det	17	17
4	Königs	König	N	NN	Masc|Gen|Sg	2	gmod	17	17
5	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
6	wieder	wieder	A	ADV	_	17	adv	_	_
7	am	an	P	APPRART	Dat	17	pp	_	_
8	Westmeer	Westmeer	N	NN	Neut|Dat|Sg	7	pn	_	_
9	bei	bei	P	APPR	Dat	17	pp	_	_
10	Tyrus	Tyrus	N	NE	_|Dat|_	9	pn	18	18
11	und	und	K	KON	_	10	kon	_	_
12	Sidon	Sidon	N	NE	_|Dat|_	11	cj	19	19
13	eine	eine	A	ART	Indef|Fem|_|Sg	15	det	_	_
14	gute	gut	A	ADJA	Pos|Fem|_|Sg|_|	15	attr	_	_
15	Portion	Portion	N	NN	Fem|_|Sg	17	obja	_	_
16	Schlachten	Schlachten	N	NE	Fem|_|Sg	15	app	_	_
17	geschlagen	schlagen	V	VVPP	_	5	aux	_	_
18	und	und	K	KON	_	17	kon	_	_
19	beide	beide	A	PIDAT	Fem|_|Pl	20	det	_	_
20	Städte	Stadt	N	NN	Fem|_|Pl	21	obja	_	_
21	gezwungen	zwingen	V	VVPP	_	18	cj	_	_
22	,	,	$	$,	_	0	root	_	_
23	Tribut	Tribut	N	NN	Masc|_|Sg	25	obja	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	zahlen	zahlen	V	VVINF	_	21	obji	_	_
26	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	machte	machen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	dem	die	A	ART	Def|Masc|Dat|Sg	4	det	17	17
4	König	König	N	NN	Masc|Dat|Sg	2	objd	17	17
5	großes	groß	A	ADJA	Pos|Neut|_|Sg|St|	6	attr	_	_
6	Vergnügen	Vergnügen	N	NN	Neut|_|Sg	2	obja	_	_
7	;	;	$	$.	_	0	root	_	_
8	denn	denn	K	KON	_	0	root	_	_
9	Tyrus	Tyrus	N	NN	_|Nom|Pl	12	subj	18	18
