1	Es	es	P	PPER	3|Sg|Neut|_	4	expl	_	_
33	wich	weichen	V	VVFIN	3|Sg|Past|Ind	20	rel	_	_
34	.	.	$	$.	_	0	root	_	_

1	›	›	V	VVFIN	_	0	root	_	_
2	Wir	wir	P	PPER	1|Pl|_|Nom	3	subj	_	_
3	fahren	fahren	V	VVFIN	1|Pl|Pres|_	7	s	_	_
4	heute	heute	A	ADV	_	3	adv	_	_
5	‹	‹	N	NE	_	3	obja	150	150
6	,	,	$	$,	_	0	root	_	_
7	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	856	856
9	Professor	Professor	N	NN	Masc|Nom|Sg	7	subj	1004	1004
10	,	,	$	$,	_	0	root	1004	1004
11	›	›	N	NE	Fem|Nom|Pl	9	app	1004	1004
12	zwanzig	zwanzig	C	CARD	_	13	attr	1004	1004
13	Millionen	Million	N	NN	Fem|Nom|Pl	11	app	1004	1004
14	Meilen	Meile	N	NN	Fem|Nom|Pl	13	app	856	856
15	durch	durch	P	APPR	Acc	14	pp	_	_
16	den	die	A	ART	Def|Masc|Acc|Sg	17	det	_	_
17	Weltenraum	Weltenraum	N	NN	Masc|Acc|Sg	15	pn	_	_
18	-	-	$	$(	_	0	root	_	_
19	zur	zu	P	APPRART	Dat	0	root	_	_
20	Sonne	Sonne	N	NN	Fem|Dat|Sg	19	pn	859	859
21	und	und	K	KON	_	19	kon	_	_
22	dann	dann	A	ADV	_	23	adv	_	_
23	um	um	P	APPR	Acc	21	cj	_	_
24	die	die	A	ART	Def|Fem|Acc|Sg	25	det	0	0
25	Sonne	Sonne	N	NN	Fem|Acc|Sg	23	pn	0	0
26	rum	rum	P	PTKVZ	_	0	root	_	_
27	-	-	$	$(	_	0	root	_	_
28	und	und	K	KON	_	0	root	_	_
29	dann	dann	A	ADV	_	30	adv	_	_
30	durch	durch	P	APPR	Acc	28	cj	_	_
31	die	die	A	ART	Def|Fem|Acc|Sg	32	det	0	0
32	Sonne	Sonne	N	NN	Fem|Acc|Sg	30	pn	0	0
33	durch	durch	P	PTKVZ	_	0	root	_	_
34	und	und	K	KON	_	0	root	_	_
35	wieder	wieder	A	ADV	_	34	cj	_	_
36	zurück	zurück	P	PTKVZ	_	0	root	_	_
37	.	.	$	$.	_	0	root	_	_
38	‹	‹	F	FM	_	0	root	_	_

1	Hierauf	Hierauf	P	PROAV	_	2	pp	_	_
2	bat	bitten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	843	843
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	556	556
5	Professor	Professor	N	NN	Masc|Nom|Sg	2	subj	556	556
6	,	,	$	$,	_	0	root	_	_
7	mich	ich	P	PPER	1|Sg|_|Acc	13	obja	856	856
8	einfach	einfach	A	ADJD	Pos|	13	adv	_	_
9	auf	auf	P	APPR	_	13	objp	_	_
10	den	die	A	ART	Def|Masc|_|_	11	det	855	855
11	Rücken	Rücken	N	NN	Masc|_|_	9	pn	855	855
12	zu	zu	P	PTKZU	_	13	part	_	_
13	legen	legen	V	VVINF	_	2	obji	_	_
14	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	856	856
2	sagte	sagen	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	13	konj	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	856	856
6	vorher	vorher	A	ADV	_	12	adv	_	_
7	gerne	gerne	A	ADV	_	12	adv	_	_
8	meine	meine	A	PPOSAT	Fem|_|Pl	9	det	856	856
9	Hände	Hand	N	NN	Fem|_|Pl	12	obja	857	857
10	vom	von	P	APPRART	Dat	12	pp	_	_
11	Rücken	Rücken	N	NN	_|Dat|_	10	pn	_	_
12	losgelöst	loslösen	V	VVPP	_	13	aux	_	_
13	hätte	haben	V	VAFIN	1|Sg|Past|Subj	2	objc	_	_
14	.	.	$	$.	_	0	root	_	_

1	›	›	N	NE	_|Dat|_	2	objd	75	75
2	Seien	sein	V	VAFIN	3|Pl|Pres|Subj	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	857	857
4	froh	froh	A	ADJD	Pos|	2	pred	_	_
5	!	!	$	$.	_	0	root	_	_
6	‹	‹	F	FM	_	7	obja	_	_
7	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	2	2
9	da	da	A	ADV	_	7	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	›	›	F	FM	_|Nom|Pl	12	subj	_	_
12	legen	legen	V	VVFIN	3|Pl|Pres|_	7	kon	_	_
13	Sie	sie	P	PPER	3|_|_|_	12	obja	857	857
14	sich	sie	P	PRF	3|_|Dat	12	objd	_	_
15	ruhig	ruhig	A	ADJD	Pos|	12	adv	_	_
16	auf	auf	P	APPR	_	12	objp	_	_
17	den	die	A	ART	Def|Masc|_|_	18	det	855	855
18	Rücken	Rücken	N	NN	Masc|_|_	16	pn	855	855
19	;	;	$	$.	_	0	root	_	_
20	die	die	A	ART	Def|Fem|Nom|Sg	21	det	_	_
21	Bodenpolsterung	Bodenpolsterung	N	NN	Fem|Nom|Sg	22	subj	_	_
22	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
23	vortrefflich	vortrefflich	A	ADJD	Pos|	22	pred	_	_
24	.	.	$	$.	_	0	root	_	_
25	‹	‹	F	FM	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	856	856
2	tat	tun	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	nun	nun	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	P	PWAV	_	7	adv	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	2	2
7	sagte	sagen	V	VVFIN	3|Sg|Past|_	2	objc	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	7	kon	_	_
10	da	da	A	ADV	_	11	adv	_	_
11	zogen	ziehen	V	VVFIN	3|Pl|Past|Ind	9	cj	_	_
12	sich	sie	P	PRF	3|_|_	11	obja	_	_
13	rechts	rechts	A	ADV	_	11	adv	_	_
14	und	und	K	KON	_	13	kon	_	_
15	links	links	A	ADV	_	14	cj	_	_
16	die	die	A	ART	Def|Fem|Nom|Pl	17	det	_	_
17	Gardinen	Gardine	N	NN	Fem|Nom|Pl	11	subj	_	_
18	von	von	P	APPR	Dat	17	pp	_	_
19	den	die	A	ART	Def|Fem|Dat|Pl	20	det	858	858
20	Seitenwänden	Seitenwand	N	NN	Fem|Dat|Pl	18	pn	858	858
21	zurück	zurück	P	PTKVZ	_	11	avz	_	_
22	-	-	$	$(	_	0	root	_	_
23	und	und	K	KON	_	11	kon	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	25	subj	856	856
25	sah	sehen	V	VVFIN	1|Sg|Past|Ind	23	cj	_	_
26	-	-	$	$(	_	0	root	_	_
27	in	in	P	APPR	_	25	pp	_	_
28	den	die	A	ART	Def|_|_|_	30	det	_	_
29	großen	groß	A	ADJA	Pos|_|_|_|_|	30	attr	_	_
30	Sternenraum	Sternenraum	N	NN	_|_|_	27	pn	_	_
31	.	.	$	$.	_	0	root	_	_

1	Fliegen	fliegen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
2	wir	wir	P	PPER	1|Pl|_|Nom	1	subj	_	_
3	schon	schon	A	ADV	_	1	adv	_	_
4	zur	zu	P	APPRART	Dat	1	pp	_	_
5	Sonne	Sonne	N	NN	Fem|Dat|Sg	4	pn	859	859
6	?	?	$	$.	_	0	root	_	_

1	fragte	fragen	V	VVFIN	1|Sg|Past|_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	856	856
3	heftig	heftig	A	ADJD	Pos|	1	adv	_	_
4	.	.	$	$.	_	0	root	_	_

1	›	›	N	NE	_	0	root	75	75
2	Allerdings	allerdings	A	ADV	_	1	adv	75	75
3	!	!	$	$.	_	0	root	_	_
4	‹	‹	F	FM	_	5	obja	_	_
5	erwiderte	erwidern	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	556	556
7	Professor	Professor	N	NN	Masc|Nom|Sg	5	subj	556	556
8	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	bemerkte	bemerken	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	860	860
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	12	konj	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	860	860
7	mich	ich	P	PRF	1|Sg|Acc	12	obja	_	_
8	in	in	P	APPR	Dat	12	objp	_	_
9	einer	eine	A	ART	Indef|Fem|Dat|Sg	10	det	_	_
10	Art	Art	N	NN	Fem|Dat|Sg	8	pn	_	_
11	Glasröhre	Glasröhre	N	NN	Fem|Dat|Sg	10	app	_	_
12	befand	befinden	V	VVFIN	1|Sg|Past|Ind	2	objc	_	_
13	;	;	$	$.	_	0	root	_	_
14	die	die	A	ART	Def|Fem|Nom|Pl	15	det	858	858
15	Seitenwände	Seitenwand	N	NN	Fem|Nom|Pl	16	subj	858	858
16	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
17	ganz	ganz	A	ADV	_	18	adv	_	_
18	von	von	P	APPR	Dat	22	pp	_	_
19	Glas	Glas	N	NN	Neut|Dat|Sg	18	pn	626	626
20	und	und	K	KON	_	18	kon	_	_
21	stark	stark	A	ADJD	Pos|	20	cj	_	_
22	ausgebaucht	ausgebaucht	V	VVPP	_	16	aux	_	_
23	,	,	$	$,	_	0	root	_	_
24	sodaß	sodaß	K	KOUS	_	45	konj	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	45	subj	860	860
26	mich	ich	P	PRF	1|Sg|Acc	45	obja	_	_
27	,	,	$	$,	_	0	root	_	_
28	wenn	wenn	K	KOUS	_	36	konj	_	_
29	ich	ich	P	PPER	1|Sg|_|Nom	36	subj	860	860
30	nach	nach	P	APPR	Dat	35	pp	_	_
31	unten	unten	A	ADV	_	30	adv	_	_
32	in	in	P	APPR	Acc	35	pp	_	_
33	den	die	A	ART	Def|Masc|Acc|Sg	34	det	55	55
34	Raum	Raum	N	NN	Masc|Acc|Sg	32	pn	55	55
35	blicken	blicken	V	VVINF	_	36	aux	_	_
36	wollte	wollen	V	VMFIN	1|Sg|Past|_	45	neb	_	_
37	,	,	$	$,	_	0	root	_	_
38	nur	nur	A	ADV	_	44	adv	_	_
39	auf	auf	P	APPR	Acc	44	objp	_	_
40	die	die	A	ART	Def|Fem|Acc|Sg	42	det	913	913
41	linke	link	A	ADJA	Pos|Fem|Acc|Sg|_|	42	attr	913	913
42	Seite	Seite	N	NN	Fem|Acc|Sg	39	pn	913	913
43	zu	zu	P	PTKZU	_	44	part	_	_
44	legen	legen	V	VVINF	_	45	obji	_	_
45	brauchte	brauchen	V	VVFIN	1|Sg|Past|_	16	neb	_	_
46	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	861	861
2	Situation	Situation	N	NN	Fem|Nom|Sg	3	subj	861	861
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	keineswegs	keineswegs	A	ADV	_	3	adv	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	unbequem	unbequem	A	ADJD	Pos|	3	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	da	da	K	KOUS	_	16	konj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	860	860
10	auf	auf	P	APPR	Dat	16	pp	_	_
11	der	die	A	ART	Def|Fem|Dat|Sg	12	det	_	_
12	Bodendecke	Bodendecke	N	NN	Fem|Dat|Sg	10	pn	_	_
13	tatsächlich	tatsächlich	A	ADJD	Pos|	16	adv	_	_
14	außerordentlich	außerordentlich	A	ADJD	Pos|	15	adv	_	_
15	weich	weich	A	ADJD	Pos|	16	adv	_	_
16	lag	liegen	V	VVFIN	1|Sg|Past|Ind	3	neb	_	_
17	.	.	$	$.	_	0	root	_	_

1	Im	in	P	APPRART	Dat	5	pp	_	_
2	Innern	Inner	N	NN	Masc|Dat|_	1	pn	_	_
3	unsrer	unsre	A	PPOSAT	Fem|Gen|Sg	4	det	_	_
4	Röhre	Röhre	N	NN	Fem|Gen|Sg	2	gmod	_	_
5	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	jetzt	jetzt	A	ADV	_	5	adv	_	_
7	das	die	A	ART	Def|Neut|Nom|Sg	9	det	_	_
8	elektrische	elektrisch	A	ADJA	Pos|Neut|Nom|Sg|Wk|	9	attr	_	_
9	Licht	Licht	N	NN	Neut|Nom|Sg	5	subj	_	_
10	aus	aus	P	PTKVZ	_	5	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	5	kon	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	556	556
14	Professor	Professor	N	NN	Masc|Nom|Sg	15	subj	556	556
15	setzte	setzen	V	VVFIN	3|Sg|Past|_	12	cj	_	_
16	sich	sie	P	PRF	3|_|_	15	obja	_	_
17	drei	drei	C	CARD	_	18	attr	_	_
18	Schritte	Schritt	N	NN	Masc|_|Pl	19	grad	_	_
19	von	von	P	APPR	Dat	21	pp	_	_
20	mir	ich	P	PPER	1|Sg|_|Dat	19	pn	860	860
21	entfernt	entfernt	A	ADJD	Pos|	15	adv	_	_
22	auf	auf	P	APPR	Acc	15	pp	_	_
23	den	die	A	ART	Def|Masc|Acc|Sg	24	det	_	_
24	Boden	Boden	N	NN	Masc|Acc|Sg	22	pn	_	_
25	wie	wie	K	KOKOM	_	24	kom	_	_
26	ein	eine	A	ART	Indef|Neut|Acc|Sg	27	det	_	_
27	Pascha	Pascha	N	NN	_|_|Sg	25	cj	_	_
28	mit	mit	P	APPR	Dat	15	pp	_	_
29	gekreuzten	gekreuzt	A	ADJA	Pos|Neut|Dat|_|_|	30	attr	_	_
30	Beinen	Bein	N	NN	Neut|Dat|_	28	pn	_	_
31	hin	hin	P	PTKVZ	_	15	avz	_	_
32	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	860	860
2	vergaß	vergessen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	mein	meine	A	PPOSAT	_|_|Sg	0	root	860	860
4	andres	andere	P	PIS	Neut|_|Sg	0	root	_	_
5	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	860	860
6	,	,	$	$,	_	0	root	_	_
7	das	die	P	PRELS	Neut|Nom|Sg	11	subj	_	_
8	in	in	P	APPR	_	11	pp	_	_
9	Melbourne	Melbourne	N	NE	_|_|_	8	pn	42	42
10	ruhig	ruhig	A	ADJD	Pos|	11	adv	_	_
11	weiterschlief	weiterschlafen	V	VVFIN	3|Sg|Past|Ind	4	rel	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	11	kon	_	_
14	blickte	blicken	V	VVFIN	_|Sg|Past|_	13	cj	_	_
15	hinunter	hinunter	A	ADV	_	16	adv	_	_
16	in	in	P	APPR	Acc	14	pp	_	_
17	die	die	A	ART	Def|_|Acc|_	20	det	_	_
18	große	groß	A	ADJA	Pos|_|Acc|_|_|	20	attr	_	_
19	mächtige	mächtig	A	ADJA	Pos|_|Acc|_|_|	20	attr	_	_
20	Sternenwelt	Sternenwelt	N	NN	_|Acc|_	16	pn	_	_
21	;	;	$	$.	_	0	root	_	_
22	noch	noch	A	ADV	_	23	adv	_	_
23	niemals	niemals	A	ADV	_	24	adv	_	_
24	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	860	860
26	Sterne	Stern	N	NN	Masc|_|_	31	obja	_	_
27	so	so	A	ADV	_	28	adv	_	_
28	tief	tief	A	ADJD	Pos|	29	adv	_	_
29	unter	unter	P	APPR	Dat	31	pp	_	_
30	mir	ich	P	PPER	1|Sg|_|Dat	29	pn	556	556
31	gesehen	sehen	V	VVPP	_	24	aux	_	_
32	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	hörte	hören	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	nur	nur	A	ADV	_	2	adv	_	_
4	ein	eine	A	ART	Indef|Neut|_|Sg	6	det	_	_
5	leises	leis	A	ADJA	Pos|Neut|_|Sg|St|	6	attr	_	_
6	Summen	Summe	N	NN	Neut|_|Sg	2	obja	_	_
7	vorne	vorne	A	ADV	_	2	adv	_	_
8	an	an	P	APPR	Dat	2	pp	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	10	det	_	_
10	Spitze	Spitz	N	NN	Fem|Dat|Sg	8	pn	_	_
11	unsrer	unsre	A	PPOSAT	Fem|Gen|Sg	12	det	864	864
12	Glasröhre	Glasröhre	N	NN	Fem|Gen|Sg	10	gmod	_	_
13	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	556	556
2	Professor	Professor	N	NN	Masc|Nom|Sg	3	subj	556	556
3	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
