1	Plusa	Plusa	N	NE	_|Nom|Sg	2	subj	134	134
21	Welt	Welt	N	NN	Fem|Acc|Sg	19	pn	155	155
22	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	muss	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	daher	daher	P	PROAV	_	6	pp	_	_
4	dieses	diese	A	PDAT	Neut|_|Sg	5	det	_	_
5	Geschlecht	Geschlecht	N	NN	Neut|_|Sg	6	obja	_	_
6	einsperren	einsperren	V	VVINF	_	2	aux	_	_
7	-	-	$	$(	_	0	root	_	_
8	und	und	K	KON	_	2	kon	_	_
9	Alles	alle	P	PIS	Neut|Nom|Sg	10	subj	_	_
10	wird	werden	V	VAFIN	3|Sg|Pres|Ind	8	cj	_	_
11	gutgehn	gutgehn	N	NE	_|Nom|_	10	pred	_	_
12	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	_	_
2	Fortpflanzungsakte	Fortpflanzungsakt	N	NN	Masc|Nom|Pl	3	subj	_	_
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
4	eben	eben	A	ADV	_	3	adv	_	_
5	immer	immer	A	ADV	_	6	adv	_	_
6	gefahrbringend	gefahrbringend	A	ADJD	Pos|<PPRES	3	pred	_	_
7	und	und	K	KON	_	6	kon	_	_
8	lebensgefährlich	lebensgefährlich	A	ADJD	Pos|	7	cj	_	_
9	-	-	$	$(	_	0	root	_	_
10	deshalb	deshalb	P	PROAV	_	11	pp	_	_
11	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	3	kon	_	_
12	den	die	A	ART	Def|_|Dat|Pl	13	det	608	608
13	Weibern	Weib	N	NN	_|Dat|Pl	21	objd	608	608
14	nicht	nicht	P	PTKNEG	_	21	adv	_	_
15	so	so	A	ADV	_	16	adv	_	_
16	viel	viel	A	PIDAT	Fem|Nom|Sg	17	det	_	_
17	Freiheit	Freiheit	N	NN	Fem|Nom|Sg	11	subj	_	_
18	wie	wie	K	KOKOM	_	21	kom	_	_
19	den	die	A	ART	Def|Masc|Dat|Pl	20	det	61	61
20	Männern	Mann	N	NN	Masc|Dat|Pl	18	cj	61	61
21	eingeräumt	einräumen	V	VVPP	_	22	aux	_	_
22	werden	werden	V	VAINF	_	11	aux	_	_
23	.	.	$	$.	_	0	root	_	_

1	Jede	jede	A	PIDAT	_|Nom|Sg	3	det	_	_
2	freie	frei	A	ADJA	Pos|_|Nom|Sg|_|	3	attr	_	_
3	Liebe	Liebe	N	NN	_|Nom|Sg	4	subj	_	_
4	erzeugt	erzeugen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	höchst	höchst	A	ADV	_	6	adv	_	_
6	schmutzige	schmutzig	A	ADJA	Pos|Neut|_|Pl|St|	7	attr	_	_
7	Verhältnisse	Verhältnis	N	NN	Neut|_|Pl	4	obja	_	_
8	-	-	$	$(	_	0	root	_	_
9	man	man	P	PIS	_|Nom|Sg	10	subj	_	_
10	sehe	sehen	V	VVFIN	3|Sg|Pres|Subj	4	kon	_	_
11	sich	sie	P	PRF	3|_|Dat	10	objd	_	_
12	nur	nur	A	ADV	_	13	adv	240	240
13	Europa	Europa	N	NE	_|_|Sg	10	obja	240	240
14	an	an	P	PTKVZ	_	10	avz	_	_
15	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	35	35
2	Europäer	Europäer	N	NN	Masc|Nom|Pl	3	subj	35	35
3	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
4	endlich	endlich	A	ADJD	Pos|	3	adv	_	_
5	mal	mal	A	ADV	_	3	adv	_	_
6	gegen	gegen	P	APPR	Acc	3	objp	_	_
7	das	die	A	ART	Def|Neut|Acc|Sg	9	det	478	478
8	gesammte	gesammte	A	ADJA	_|Neut|Acc|Sg|_	9	attr	478	478
9	Hetärenwesen	Hetärenwesen	N	NN	Neut|Acc|Sg	6	pn	478	478
10	mit	mit	P	APPR	Dat	9	pp	478	478
11	Allem	alle	P	PIS	_|Dat|Sg	10	pn	478	478
12	,	,	$	$,	_	0	root	_	_
13	was	was	P	PRELS	Neut|_|Sg	0	root	478	478
14	drum	drum	P	PROAV	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	dran	dran	P	PROAV	_	17	pp	_	_
17	hängt	hängen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	energisch	energisch	A	ADJD	Pos|	20	adv	_	_
20	Front	Front	N	NN	Fem|_|Sg	0	root	_	_
21	machen	machen	V	VVINF	_	0	root	_	_
22	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	2	obja	_	_
2	geböte	geböte	V	VVFIN	_|Sg|_|_	0	root	_	_
3	doch	doch	A	ADV	_	2	adv	_	_
4	schon	schon	A	ADV	_	2	adv	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	_	_
6	Anstand	Anstand	N	NN	Masc|Nom|Sg	2	subj	_	_
7	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	479	479
2	Mann	Mann	N	NN	Masc|Nom|Sg	3	subj	479	479
3	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	doch	doch	A	ADV	_	11	adv	_	_
5	nicht	nicht	P	PTKNEG	_	11	adv	_	_
6	zum	zu	P	APPRART	Dat	11	pp	_	_
7	intimen	intim	A	ADJA	Pos|Masc|Dat|Sg|Wk|	8	attr	_	_
8	Freunde	Freund	N	NN	Masc|Dat|Sg	6	pn	_	_
9	einer	eine	A	ART	Indef|Fem|Gen|Sg	10	det	553	553
10	Hetäre	Hetäre	N	NN	Fem|Gen|Sg	8	gmod	553	553
11	werden	werden	V	VAINF	_	3	aux	_	_
12	-	-	$	$(	_	0	root	_	_
13	der	die	P	PDS	Masc|Nom|Sg	14	subj	_	_
14	spielt	spielen	V	VVFIN	3|Sg|Pres|Ind	3	kon	_	_
15	doch	doch	A	ADV	_	14	adv	_	_
16	nirgendwo	nirgendwo	A	ADV	_	14	adv	_	_
17	eine	eine	A	ART	Indef|Fem|_|Sg	18	det	_	_
18	Heldenrolle	Heldenrolle	N	NN	Fem|_|Sg	14	obja	_	_
19	.	.	$	$.	_	0	root	_	_

1	Grade	Grad	N	NN	_|_|_	0	root	_	_
2	die	die	A	ART	Def|Neut|Nom|Pl	4	det	_	_
3	sexualen	sexual	A	ADJA	Pos|Neut|Nom|Pl|Wk|	4	attr	_	_
4	Verhältnisse	Verhältnis	N	NN	Neut|Nom|Pl	5	subj	_	_
5	müssen	müssen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
6	in	in	P	APPR	Dat	9	pp	_	_
7	erster	erst	A	ADJA	_|Fem|Dat|Sg|St|	8	attr	_	_
8	Linie	Linie	N	NN	Fem|Dat|Sg	6	pn	_	_
9	geregelt	regeln	V	VVPP	_	10	aux	_	_
10	werden	werden	V	VAINF	_	5	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Unklare	Unklare	N	NN	_|Nom|Pl	5	subj	_	_
2	und	und	K	KON	_	1	kon	_	_
3	ungeregelte	ungeregelt	A	ADJA	Pos|Neut|Nom|Pl|St|	4	attr	_	_
4	Verhältnisse	Verhältnis	N	NN	Neut|Nom|Pl	2	cj	_	_
5	passen	passen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
6	sich	sie	P	PRF	3|_|Dat	5	objd	_	_
7	doch	doch	A	ADV	_	5	adv	_	_
8	nicht	nicht	P	PTKNEG	_	5	adv	_	_
9	für	für	P	APPR	Acc	5	pp	_	_
10	anständige	anständig	A	ADJA	Pos|_|Acc|Pl|St|	11	attr	_	_
11	Leute	Leute	N	NN	_|Acc|Pl	9	pn	_	_
12	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	499	499
2	Freiheit	Freiheit	N	NN	Fem|Nom|Sg	5	subj	499	499
3	der	die	A	ART	Def|Fem|Gen|Sg	4	det	417	417
4	Frau	Frau	N	NN	Fem|Gen|Sg	2	gmod	417	417
5	führt	führen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	Hetärenrecht	Hetärenrecht	N	NN	Neut|_|Sg	5	obja	480	480
7	ein	ein	P	PTKVZ	_	5	avz	_	_
8	und	und	K	KON	_	5	kon	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	8	cj	_	_
10	doch	doch	A	ADV	_	9	adv	_	_
11	unsittlich	unsittlich	A	ADJD	Pos|	9	pred	_	_
12	.	.	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	Leidenschaftlich	leidenschaftlich	A	ADJD	Pos|	2	adv	_	_
2	zermalmt	zermalmen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	5	det	133	133
4	gute	gut	A	ADJA	Pos|Masc|Nom|Sg|Wk|	5	attr	133	133
5	Knaff	Knaff	N	NN	Masc|Nom|Sg	2	subj	133	133
6	ein	eine	A	ART	Indef|Neut|_|Sg	7	det	_	_
7	Dutzend	Dutzend	N	NN	Neut|_|Sg	2	obja	_	_
8	Schlangenknochen	Schlangenknochen	N	NN	Masc|Dat|_	2	objd	_	_
9	und	und	K	KON	_	2	kon	_	_
10	schreit	schreien	V	VVFIN	_|_|Pres|Ind	9	cj	_	_
11	dann	dann	A	ADV	_	10	adv	_	_
12	heftig	heftig	A	ADJD	Pos|	10	adv	_	_
13	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Führt	führen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	Hetärenrecht	Hetärenrecht	N	NN	Neut|Nom|Sg	2	subj	480	480
4	ein	ein	P	PTKVZ	_	2	avz	_	_
5	!	!	$	$.	_	0	root	_	_

1	Bravo	Bravo	F	FM	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Hetärenrecht	Hetärenrecht	N	NN	Neut|_|Sg	0	root	481	481
2	,	,	$	$,	_	0	root	481	481
3	das	die	P	PRELS	Neut|Nom|Sg	13	subj	481	481
4	natürlich	natürlich	A	ADJD	Pos|	13	adv	_	_
5	nicht	nicht	P	PTKNEG	_	13	adv	_	_
6	mit	mit	P	APPR	Dat	12	pp	_	_
7	dem	die	A	ART	Def|Neut|Dat|Sg	8	det	_	_
8	Rechte	Recht	N	NN	Neut|Dat|Sg	6	pn	_	_
9	der	die	A	ART	Def|Fem|Gen|Pl	11	det	482	482
10	anderen	anderen	A	ADJA	_|Fem|Gen|Pl|_	11	attr	482	482
11	Frauen	Frau	N	NN	Fem|Gen|Pl	8	gmod	482	482
12	identisch	identisch	A	ADJD	Pos|	13	pred	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	rel	_	_
14	!	!	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	fehlte	fehlen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	grade	graden	V	VVIMP	Sg	0	root	_	_
5	noch	noch	A	ADV	_	4	adv	_	_
6	!	!	$	$.	_	0	root	_	_

1	Mensch	Mensch	N	NN	_|Nom|Sg	4	subj	1351	1351
2	und	und	K	KON	_	1	kon	_	_
3	Mensch	Mensch	N	NN	_|Nom|Sg	2	cj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	eben	eben	A	ADV	_	4	adv	_	_
6	nicht	nicht	P	PTKNEG	_	4	adv	_	_
7	dasselbe	dasselbe	P	PIS	_|Nom|_	4	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	denn	denn	K	KON	_	4	kon	_	_
10	schon	schon	A	ADV	_	11	adv	877	877
11	Pferd	Pferd	N	NN	Neut|Nom|Sg	14	subj	877	877
12	und	und	K	KON	_	11	kon	_	_
13	Pferd	Pferd	N	NN	Neut|Nom|Sg	12	cj	953	953
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	9	cj	_	_
15	bekanntlich	bekanntlich	A	ADV	_	14	adv	_	_
16	nicht	nicht	P	PTKNEG	_	14	adv	_	_
17	dasselbe	dasselbe	P	PIS	_|Nom|_	14	pred	_	_
18	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Neut|Nom|Pl	2	det	66	66
2	Weiber	Weib	N	NN	Neut|Nom|Pl	3	subj	66	66
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
4	schon	schon	A	ADV	_	3	adv	_	_
5	im	in	P	APPRART	Dat	3	pp	_	_
6	Allgemeinen	allgemein	A	ADJA	Pos|Masc|Dat|_|_|	7	attr	_	_
7	Menschen	Mensch	N	NN	Masc|Dat|_	5	pn	_	_
8	zweiter	zweit	A	ADJA	_|Fem|Gen|Sg|St|	9	attr	_	_
9	Klasse	Klasse	N	NN	Fem|Gen|Sg	7	gmod	_	_
10	-	-	$	$(	_	0	root	_	_
11	die	die	A	ART	Def|Fem|Nom|Pl	12	det	500	500
12	Hetären	Hetäre	N	NN	Fem|Nom|Pl	13	subj	500	500
13	sind	sein	V	VAFIN	3|Pl|Pres|Ind	3	kon	_	_
14	aber	aber	A	ADV	_	13	adv	_	_
15	nur	nur	A	ADV	_	13	adv	_	_
16	dritter	dritt	A	ADJA	_|Masc|Nom|Sg|St|	21	attr	_	_
17	,	,	$	$,	_	0	root	_	_
18	vierter	viert	A	ADJA	_|Masc|Nom|Sg|St|	16	kon	_	_
19	oder	oder	K	KON	_	18	kon	_	_
20	fünfter	fünft	A	ADJA	_|Masc|Nom|Sg|St|	19	cj	_	_
21	Klasse	Klasse	N	NN	Masc|Nom|Sg	13	pred	_	_
22	,	,	$	$,	_	0	root	_	_
23	haben	haben	V	VAFIN	_|Pl|Pres|_	13	kon	_	_
24	daher	daher	P	PROAV	_	23	pp	_	_
25	lange	lange	A	ADJD	_	23	adv	_	_
26	nicht	nicht	P	PTKNEG	_	23	adv	_	_
27	so	so	A	ADV	_	28	adv	_	_
28	viel	viel	A	PIDAT	_|_|_	29	det	_	_
29	Rechte	Recht	N	NN	_|_|_	23	obja	_	_
30	wie	wie	K	KOKOM	_	29	kom	_	_
31	andre	andere	A	PIDAT	Masc|_|Pl	32	det	_	_
32	Menschen	Mensch	N	NN	Masc|_|Pl	30	cj	_	_
33	.	.	$	$.	_	0	root	_	_
34	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nu	Nu	N	NN	_|Nom|Sg	3	pred	518	518
3	wart	sein	V	VAFIN	2|Pl|Past|Ind	0	root	_	_
4	doch	doch	A	ADV	_	3	adv	_	_
5	nur	nur	A	ADV	_	3	adv	_	_
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	darauf	darauf	P	PROAV	_	8	pp	_	_
10	Olli	Olli	N	NE	_|Nom|Sg	8	subj	132	132
11	beschwichtigend	beschwichtigen	A	ADJD	_|<PPRES	8	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	Du	du	P	PPER	2|Sg|_|Nom	15	subj	483	483
15	darfst	dürfen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
16	die	die	A	ART	Def|Fem|_|Sg	17	det	863	863
17	Sache	Sache	N	NN	Fem|_|Sg	22	obja	863	863
18	nicht	nicht	P	PTKNEG	_	22	adv	_	_
19	gleich	gleich	A	ADJD	Pos|	22	adv	_	_
20	so	so	A	ADV	_	21	adv	_	_
21	bösartig	bösartig	A	ADJD	Pos|	22	adv	_	_
22	anfassen	anfassen	V	VVINF	_	15	aux	_	_
23	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	483	483
2	redst	redst	V	VVFIN	2|Sg|_|_	0	root	_	_
3	ja	ja	A	ADV	_	2	adv	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	gehässig	gehässig	A	ADJD	Pos|	2	adv	_	_
6	wie	wie	K	KOKOM	_	2	kom	_	_
7	ein	eine	A	ART	Indef|Neut|_|Sg	8	det	_	_
8	Weib	Weib	N	NN	Neut|_|Sg	6	cj	_	_
9	›	›	F	FM	Neut|_|Sg	8	app	_	_
10	erster	erst	A	ADJA	_|Fem|Gen|Sg|St|	12	attr	_	_
11	‹	‹	A	ADJA	_|Fem|Gen|Sg|_	12	attr	_	_
12	Klasse	Klasse	N	NN	Fem|Gen|Sg	9	gmod	_	_
13	!	!	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	Olli	Olli	N	NE	_	2	cj	132	132
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	rufen	rufen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	die	die	A	ART	Def|Masc|Nom|Pl	9	det	_	_
8	andern	andern	A	ADJA	_|Masc|Nom|Pl|_	9	attr	_	_
9	Löwen	Löwe	N	NN	Masc|Nom|Pl	6	subj	_	_
10	im	in	P	APPRART	Dat	6	pp	_	_
11	Chor	Chor	N	NN	_|Dat|Sg	10	pn	1259	1259
12	;	;	$	$.	_	0	root	_	_
13	und	und	K	KON	_	0	root	_	_
14	Pix	Pix	N	NE	_|Nom|Sg	15	subj	130	130
15	bemerkt	bemerken	V	VVFIN	3|Sg|Pres|Ind	13	cj	_	_
16	in	in	P	APPR	Dat	15	pp	_	_
17	sehr	sehr	A	ADV	_	18	adv	_	_
18	ernstem	ernst	A	ADJA	Pos|Masc|Dat|Sg|St|	19	attr	_	_
19	Tone	Ton	N	NN	Masc|Dat|Sg	16	pn	_	_
20	:	\:	$	$.	_	0	root	_	_
21	»	»	$	$(	_	0	root	_	_
22	Es	es	P	PPER	3|Sg|Neut|_	32	expl	_	_
23	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
24	sehr	sehr	A	ADV	_	25	adv	_	_
25	wichtig	wichtig	A	ADJD	Pos|	23	pred	_	_
26	,	,	$	$,	_	0	root	_	_
27	den	die	A	ART	Def|Masc|Dat|Pl	28	det	35	35
28	Europäern	Europäer	N	NN	Masc|Dat|Pl	32	objd	35	35
29	gegenüber	gegenüber	P	APPR	Dat	32	pp	_	_
30	öfters	öfters	A	ADV	_	29	adv	_	_
31	zu	zu	P	PTKZU	_	32	part	_	_
32	betonen	betonen	V	VVINF	_	23	subjc	_	_
33	,	,	$	$,	_	0	root	_	_
34	dass	dass	K	KOUS	_	42	konj	_	_
35	wir	wir	P	PPER	1|Pl|_|Nom	42	subj	484	484
36	das	die	A	ART	Def|Neut|_|Sg	37	det	23	23
37	Weib	Weib	N	NN	Neut|_|Sg	42	obja	23	23
