1	Bagdads	Bagdad	N	NE	Neut|Gen|Sg	3	gmod	4	4
38	der	die	P	PRELS	Fem|Dat|Sg	37	pn	920	920
39	'	'	$	$(	_	0	root	_	_
40	s	s	P	PPER	_|Sg|_|Nom	43	subj	42	42
41	andre	andere	A	PIAT	Fem|_|Pl	42	det	921	921
42	Frauen	Frau	N	NN	Fem|_|Pl	43	obja	921	921
43	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	35	rel	_	_
44	als	als	K	KOKOM	_	43	kom	_	_
45	hier	hier	A	ADV	_	44	cj	_	_
46	auf	auf	P	APPR	Dat	43	pp	_	_
47	der	die	A	ART	Def|Fem|Dat|Sg	48	det	161	161
48	Erde	Erde	N	NN	Fem|Dat|Sg	46	pn	161	161
49	.	.	$	$.	_	0	root	_	_

1	Safur	Safur	N	NE	_|Nom|Sg	2	subj	42	42
2	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	auch	auch	A	ADV	_	5	adv	_	_
4	einsam	einsam	A	ADJD	Pos|	5	adv	_	_
5	leben	leben	V	VVINF	_	2	aux	_	_
6	-	-	$	$(	_	0	root	_	_
7	ganz	ganz	A	ADV	_	8	adv	_	_
8	einsam	einsam	A	ADJD	Pos|	5	adv	_	_
9	-	-	$	$(	_	0	root	_	_
10	ganz	ganz	A	ADV	_	11	adv	_	_
11	allein	allein	A	ADV	_	5	adv	_	_
12	-	-	$	$(	_	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	42	42
14	will	wollen	V	VMFIN	3|Sg|Pres|Ind	2	kon	_	_
15	auf	auf	P	APPR	_	17	objp	_	_
16	Alles	Alles	N	NE	_|_|_	15	pn	150	150
17	verzichten	verzichten	V	VVINF	_	14	aux	_	_
18	und	und	K	KON	_	17	kon	_	_
19	nur	nur	A	ADV	_	21	adv	_	_
20	allein	allein	A	ADV	_	21	adv	_	_
21	sein	sein	V	VAINF	_	18	cj	_	_
22	-	-	$	$(	_	0	root	_	_
23	alle	alle	P	PIS	_|Nom|Pl	26	subj	_	_
24	seine	seine	A	PPOSAT	Masc|_|Pl	25	det	42	42
25	Freunde	Freund	N	NN	Masc|_|Pl	26	obja	_	_
26	kränken	kränken	V	VVFIN	3|Pl|Pres|_	14	kon	_	_
27	ihn	er	P	PPER	3|Sg|Masc|Acc	26	obja	42	42
28	nur	nur	A	ADV	_	26	adv	_	_
29	;	;	$	$.	_	0	root	_	_
30	er	er	P	PPER	3|Sg|Masc|Nom	31	subj	42	42
31	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
32	es	es	P	PPER	3|Sg|Neut|_	31	expl	_	_
33	müde	müde	A	ADJD	Pos|	31	pred	_	_
34	,	,	$	$,	_	0	root	_	_
35	mit	mit	P	APPR	Dat	38	pp	_	_
36	ihnen	sie	P	PPER	3|Pl|_|Dat	35	pn	921	921
37	zu	zu	P	PTKZU	_	38	part	_	_
38	spaßen	spaßen	V	VVINF	_	31	obji	_	_
39	-	-	$	$(	_	0	root	_	_
40	er	er	P	PPER	3|Sg|Masc|Nom	41	subj	42	42
41	will	wollen	V	VMFIN	3|Sg|Pres|Ind	31	kon	_	_
42	sie	sie	P	PPER	3|_|_|_	45	obja	921	921
43	nicht	nicht	P	PTKNEG	_	45	adv	_	_
44	mehr	mehr	A	ADV	_	43	adv	_	_
45	sehen	sehen	V	VVINF	_	41	aux	_	_
46	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	5	5
3	ringt	ringen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
4	die	die	A	ART	Def|Fem|_|Pl	5	det	210	210
5	Hände	Hand	N	NN	Fem|_|Pl	0	root	210	210
6	und	und	K	KON	_	0	root	_	_
7	stöhnt	stöhnen	V	VVFIN	_|_|Pres|Ind	6	cj	_	_
8	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	5	5
2	möcht	möcht	V	VVFIN	3|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	am	am	P	PTKA	_	5	adv	_	_
5	liebsten	liebsten	A	ADJD	_	2	adv	_	_
6	gleich	gleich	A	ADV	_	2	adv	_	_
7	hier	hier	A	ADV	_	2	adv	_	_
8	bleiben	bleiben	V	VVINF	_	0	root	_	_
9	-	-	$	$(	_	0	root	_	_
10	in	in	P	APPR	Dat	14	pp	27	27
11	der	die	A	ART	Def|Fem|Dat|Sg	12	det	27	27
12	Einsiedlerwelt	Einsiedlerwelt	N	NN	Fem|Dat|Sg	10	pn	27	27
13	-	-	$	$(	_	0	root		

1	Da	da	A	ADV	_	2	adv	_	_
2	raschelt	rascheln	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	was	was	P	PIS	_|Nom|Sg	2	subj	_	_
4	neben	neben	P	APPR	Dat	2	pp	_	_
5	ihm	er	P	PPER	3|Sg|_|Dat	4	pn	5	5
6	.	.	$	$.	_	0	root	_	_

1	Safur	Safur	N	NE	_|Nom|Sg	2	subj	42	42
2	fährt	fahren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	auf	auf	P	PTKVZ	_	2	avz	_	_
4	und	und	K	KON	_	2	kon	_	_
5	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	4	cj	_	_
6	eine	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
7	große	groß	A	ADJA	Pos|_|_|_|_|	0	root	_	_
8	-	-	$	$(	_	0	root	_	_
9	Schlange	Schlange	N	NN	Fem|_|Sg	0	root	_	_
10	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Neut|_|Pl	2	det	_	_
2	Augen	Auge	N	NN	Neut|_|Pl	0	root	_	_
3	der	die	A	ART	Def|Fem|Gen|Sg	4	det	922	922
4	Schlange	Schlange	N	NN	Fem|Gen|Sg	2	gmod	922	922
5	leuchten	leuchten	V	VVINF	_	0	root	_	_
6	wie	wie	K	KOKOM	_	0	root	_	_
7	zwei	zwei	C	CARD	_	8	attr	_	_
8	Rubine	Rubin	N	NN	Masc|_|Pl	6	cj	_	_
9	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Leib	Leib	N	NN	Masc|Nom|Sg	5	subj	_	_
3	der	die	A	ART	Def|Fem|Gen|Sg	4	det	922	922
4	Schlange	Schlange	N	NN	Fem|Gen|Sg	2	gmod	922	922
5	glitzert	glitzern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	klebrig	klebrig	A	ADJD	Pos|	5	adv	_	_
7	.	.	$	$.	_	0	root	_	_

1	Safur	Safur	N	NE	_|Nom|Sg	2	subj	42	42
2	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	-	-	$	$(	_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	kon	_	_
6	eine	eine	A	ART	Indef|Fem|Nom|Sg	8	det	_	_
7	giftige	giftig	A	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	_	_
8	Schlange	Schlange	N	NN	Fem|Nom|Sg	5	pred	_	_
9	-	-	$	$(	_	0	root	_	_
10	und	und	K	KON	_	2	kon	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	42	42
12	springt	springen	V	VVFIN	3|Sg|Pres|Ind	10	cj	_	_
13	an	an	P	APPR	Acc	12	objp	_	_
14	die	die	A	ART	Def|Fem|Acc|Sg	15	det	271	271
15	Seite	Seite	N	NN	Fem|Acc|Sg	13	pn	271	271
16	,	,	$	$,	_	0	root	_	_
17	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	12	kon	_	_
18	im	in	P	APPRART	Dat	17	pp	_	_
19	nächsten	nah	A	ADJA	_|Masc|Dat|Sg|Wk|	20	attr	_	_
20	Augenblicke	Augenblick	N	NN	Masc|Dat|Sg	18	pn	_	_
21	rechts	rechts	A	ADV	_	18	adv	_	_
22	neben	neben	P	APPR	Dat	17	pp	_	_
23	den	die	A	ART	Def|Masc|Dat|Pl	24	det	918	918
24	Oleanderbäumen	Oleanderbaum	N	NN	Masc|Dat|Pl	22	pn	918	918
25	in	in	P	APPR	Dat	17	pp	_	_
26	der	die	A	ART	Def|Fem|Dat|Sg	27	det	923	923
27	Tiefe	Tiefe	N	NN	Fem|Dat|Sg	25	pn	923	923
28	den	die	A	ART	Def|Masc|Acc|Sg	29	det	9	9
29	Tigris	Tigris	N	NE	Masc|Acc|Sg	17	obja	9	9
30	-	-	$	$(	_	0	root	_	_
31	und	und	K	KON	_	17	kon	_	_
32	springt	springen	V	VVFIN	_|_|Pres|Ind	31	cj	_	_
33	runter	runter	A	ADV	_	32	adv	_	_
34	in	in	P	APPR	Acc	32	pp	_	_
35	die	die	A	ART	Def|Fem|Acc|Sg	36	det	307	307
36	Flut	Flut	N	NN	Fem|Acc|Sg	34	pn	307	307
37	.	.	$	$.	_	0	root	_	_

1	Safur	Safur	N	NE	_|Nom|Sg	2	subj	42	42
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	gerettet	retten	V	VVPP	_	2	aux	_	_
4	-	-	$	$(	_	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	42	42
6	schwimmt	schwimmen	V	VVFIN	3|Sg|Pres|Ind	2	kon	_	_
7	langsam	langsam	A	ADJD	Pos|	6	adv	_	_
8	und	und	K	KON	_	7	kon	_	_
9	sicher	sicher	A	ADJD	Pos|	10	adv	_	_
10	dorthin	dorthin	A	ADV	_	8	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	wo	wo	P	PWAV	_	15	adv	_	_
13	die	die	A	ART	Def|_|Nom|Pl	14	det	924	924
14	Barken	Bark	N	NN	_|Nom|Pl	15	subj	924	924
15	liegen	liegen	V	VVFIN	3|Pl|Pres|_	10	rel	_	_
16	und	und	K	KON	_	0	root	_	_
17	die	die	A	ART	Def|Neut|_|Pl	18	det	926	926
18	Lagerfeuer	Lagerfeuer	N	NN	Neut|_|Pl	22	obja	926	926
19	vor	vor	P	APPR	_	22	pp	_	_
20	den	die	A	ART	Def|_|_|_	21	det	925	925
21	Zelten	Zelt	N	NN	_|_|_	19	pn	925	925
22	brennen	brennen	V	VVINF	_	16	cj	_	_
23	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Pl	2	det	_	_
2	Flammen	Flamme	N	NN	Fem|Nom|Pl	5	subj	_	_
3	der	die	A	ART	Def|Neut|Gen|Pl	4	det	926	926
4	Lagerfeuer	Lagerfeuer	N	NN	Neut|Gen|Pl	2	gmod	926	926
5	qualmen	qualmen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
6	mächtige	mächtig	A	ADJA	Pos|Fem|_|Pl|St|	7	attr	_	_
7	Rauchwolken	Rauchwolke	N	NN	Fem|_|Pl	5	obja	_	_
8	in	in	P	APPR	Acc	5	pp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	1638	1638
10	Abendhimmel	Abendhimmel	N	NN	Masc|Acc|Sg	8	pn	1638	1638
11	hinein	hinein	P	PTKVZ	_	5	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Neut|Nom|Pl	3	det	_	_
2	glühenden	glühend	A	ADJA	Pos|Neut|Nom|Pl|Wk|<PPRES	3	attr	_	_
3	Augen	Auge	N	NN	Neut|Nom|Pl	6	subj	_	_
4	der	die	A	ART	Def|Fem|Gen|Sg	5	det	922	922
5	Schlange	Schlange	N	NN	Fem|Gen|Sg	3	gmod	922	922
6	starren	starren	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	aber	aber	A	ADV	_	6	adv	_	_
8	unverwandt	unverwandt	A	ADJD	Pos|	6	adv	_	_
9	in	in	P	APPR	Acc	6	pp	_	_
10	die	die	A	ART	Def|_|Acc|_	13	det	_	_
11	große	groß	A	ADJA	Pos|_|Acc|_|_|	13	attr	_	_
12	gelbe	gelb	A	ADJA	Pos|_|Acc|_|_|	13	attr	_	_
13	Mondscheibe	Mondscheibe	N	NN	_|Acc|_	9	pn	_	_
14	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	922	922
2	Schlange	Schlange	N	NN	Fem|Nom|Sg	3	subj	922	922
3	richtet	richten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	ihren	ihre	A	PPOSAT	Masc|_|_	5	det	922	922
5	Oberkörper	Oberkörper	N	NN	Masc|_|_	3	obja	_	_
6	hoch	hoch	A	ADJD	Pos|	3	adv	_	_
7	auf	auf	P	PTKVZ	_	3	avz	_	_
8	und	und	K	KON	_	3	kon	_	_
9	starrt	starren	V	VVFIN	_|_|Pres|Ind	8	cj	_	_
10	mit	mit	P	APPR	Dat	9	pp	_	_
11	ihren	ihre	A	PPOSAT	Neut|Dat|Pl	13	det	922	922
12	glühenden	glühend	A	ADJA	Pos|Neut|Dat|Pl|_|<PPRES	13	attr	_	_
13	Rubinaugen	Rubinauge	N	NN	Neut|Dat|Pl	10	pn	_	_
14	in	in	P	APPR	Acc	9	pp	_	_
15	den	die	A	ART	Def|Masc|Acc|Sg	16	det	258	258
16	Mond	Mond	N	NN	Masc|Acc|Sg	14	pn	258	258
17	-	-	$	$(	_	0	root	_	_
18	als	als	K	KOKOM	_	19	konj	_	_
19	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
20	sie	sie	P	PPER	3|Sg|Fem|Nom	19	subj	922	922
21	den	die	P	PDS	Masc|Acc|Sg	22	obja	_	_
22	vergiften	vergiften	V	VVINF	_	19	aux	_	_
23	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nach	nach	P	APPR	Dat	5	pp	_	_
3	vier	vier	C	CARD	_	4	attr	_	_
4	Wochen	Woche	N	NN	Fem|Dat|Pl	2	pn	_	_
5	stand	stehen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	909	909
7	Vollmond	Vollmond	N	NN	Masc|Nom|Sg	5	subj	909	909
8	über	über	P	APPR	Dat	5	pp	_	_
9	dem	die	A	ART	Def|_|Dat|Sg	10	det	_	_
10	Mondtempel	Mondtempel	N	NN	_|Dat|Sg	8	pn	_	_
11	zu	zu	P	APPR	Dat	8	kon	_	_
12	Hauran	Hauran	N	NE	_|Dat|_	11	pn	927	927
13	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	im	in	P	APPRART	Dat	4	pp	_	_
3	Mondtempel	Mondtempel	N	NN	_|Dat|_	2	pn	_	_
4	weilten	weilen	V	VVFIN	_|Pl|Past|_	1	cj	_	_
5	Abu	Abu	N	NE	_|Nom|Pl	4	subj	112	112
6	Maschar	Maschar	N	NE	_|Nom|Pl	5	app	112	112
7	und	und	K	KON	_	6	kon	_	_
8	Safur	Safur	N	NE	_|Nom|Pl	7	cj	221	221
9	,	,	$	$,	_	0	root	221	221
10	Abu	Abu	N	NE	_|Nom|Pl	8	app	221	221
11	Hischam	Hischam	N	NE	_|Nom|Pl	10	app	221	221
12	und	und	K	KON	_	11	kon	_	_
13	Battany	Battany	N	NE	_|Nom|Pl	12	cj	126	126
14	,	,	$	$,	_	0	root	126	126
15	Suleiman	Suleiman	N	NE	_|Nom|Pl	13	kon	36	36
16	und	und	K	KON	_	15	kon	_	_
17	Jakuby	Jakuby	N	NE	_|Nom|Pl	16	cj	133	133
18	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	4	det	_	_
2	anderen	anderen	A	ADJA	_|Masc|Nom|Pl|_	4	attr	_	_
3	lauteren	laut	A	ADJA	_|Masc|Nom|Pl|Wk|	4	attr	_	_
4	Brüder	Bruder	N	NN	Masc|Nom|Pl	5	subj	_	_
5	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
6	auf	auf	P	APPR	_	15	pp	_	_
7	Saids	Saids	N	NE	_|Gen|_	8	gmod	480	480
8	Barke	Barke	N	NN	Fem|_|Sg	6	pn	_	_
9	mit	mit	P	APPR	Dat	15	pp	_	_
10	den	die	A	ART	Def|Fem|Dat|Pl	12	det	877	877
11	drei	drei	C	CARD	_	12	attr	877	877
12	Frauen	Frau	N	NN	Fem|Dat|Pl	9	pn	877	877
13	nach	nach	P	APPR	Dat	15	pp	_	_
14	Bagdad	Bagdad	N	NE	Neut|Dat|Sg	13	pn	4	4
15	zurückgekehrt	zurückkehren	V	VVPP	_	5	aux	_	_
16	.	.	$	$.	_	0	root	_	_

1	Den	die	A	ART	Def|_|Dat|Pl	3	det	899	899
2	beiden	beide	A	PIDAT	_|Dat|Pl	3	attr	899	899
3	Dicken	Dicke	N	NN	_|Dat|Pl	16	objd	899	899
4	,	,	$	$,	_	0	root	899	899
5	Kodama	Kodama	N	NE	_|Dat|Pl	3	app	899	899
6	und	und	K	KON	_	5	kon	_	_
7	Osman	Osman	N	NE	_|Dat|Pl	6	cj	194	194
8	,	,	$	$,	_	0	root	_	_
9	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	11	det	1161	1161
11	Reise	Reis	N	NN	Fem|Nom|Sg	9	subj	1161	1161
12	nach	nach	P	APPR	Dat	16	pp	_	_
13	Hauran	Hauran	N	NE	_|Dat|_	12	pn	927	927
