1	Rechts	Recht	N	NN	Neut|Gen|Sg	0	root	163	163
7	Entfernung	Entfernung	N	NN	Fem|Dat|Sg	5	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	haben	haben	V	VAFIN	_|Pl|Pres|_	3	kon	_	_
10	aber	aber	A	ADV	_	13	adv	_	_
11	Nichts	nichts	P	PIS	_	13	obja	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	thun	thun	V	VVINF	_	9	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	_	_
2	Myrthengebüsche	Myrthengebüsche	N	NN	_|Nom|Pl	3	subj	_	_
3	glänzen	glänzen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	in	in	P	APPR	Dat	3	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	47	47
6	Morgensonne	Morgensonne	N	NN	Fem|Dat|Sg	4	pn	47	47
7	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	46	46
2	Tigris	Tigris	N	NE	Masc|Nom|Sg	3	subj	46	46
3	glänzt	glänzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	noch	noch	A	ADV	_	3	adv	_	_
5	mehr	mehr	A	ADV	_	3	adv	_	_
6	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	Harun	Harun	N	NE	_|Nom|Sg	3	subj	49	49
3	glänzt	glänzen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
4	ebenfalls	ebenfalls	A	ADV	_	3	adv	_	_
5	-	-	$	$(	_	0	root	_	_
6	weinselig	weinselig	A	ADJD	Pos|	7	adv	_	_
7	lächelnd	lächeln	A	ADJD	_|<PPRES	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	3	det	48	48
2	grasgrüner	grasgrün	A	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	48	48
3	Seidenmantel	Seidenmantel	N	NN	Masc|Nom|Sg	4	subj	48	48
4	umhüllt	umhüllen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	lose	lose	A	ADJD	Pos|	4	adv	_	_
6	seine	seine	A	PPOSAT	_|_|Sg	8	det	48	48
7	mächtige	mächtig	A	ADJA	Pos|_|_|Sg|_|	8	attr	_	_
8	Gestalt	Gestalt	N	NN	_|_|Sg	4	obja	_	_
9	.	.	$	$.	_	0	root	_	_

1	Kirschrothe	Kirschrothe	N	NE	Masc|Nom|Pl	3	subj	_	_
2	Drachen	Drache	N	NN	Masc|Nom|_	1	app	_	_
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
4	in	in	P	APPR	Acc	7	pp	_	_
5	die	die	A	ART	Def|Fem|Acc|Sg	6	det	510	510
6	Seide	Seide	N	NN	Fem|Acc|Sg	4	pn	510	510
7	gewebt	weben	V	VVPP	_	3	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	4	det	_	_
2	breite	breit	A	ADJA	Pos|Neut|Nom|Sg|Wk|	4	attr	_	_
3	dunkelbraune	dunkelbraun	A	ADJA	Pos|Neut|Nom|Sg|Wk|	4	attr	_	_
4	Gesicht	Gesicht	N	NN	Neut|Nom|Sg	15	subj	_	_
5	mit	mit	P	APPR	Dat	4	pp	_	_
6	den	die	A	ART	Def|Neut|Dat|Pl	9	det	229	229
7	grossen	groß	A	ADJA	Pos|Neut|Dat|Pl|_|	9	attr	229	229
8	mohrenschwarzen	mohrenschwarz	A	ADJA	Pos|Neut|Dat|Pl|_|	9	attr	229	229
9	Augen	Auge	N	NN	Neut|Dat|Pl	5	pn	229	229
10	und	und	K	KON	_	9	kon	_	_
11	dem	die	A	ART	Def|Masc|Dat|Sg	14	det	_	_
12	kurzen	kurz	A	ADJA	Pos|Masc|Dat|Sg|Wk|	14	attr	_	_
13	schwarzen	schwarz	A	ADJA	Pos|Masc|Dat|Sg|Wk|	14	attr	_	_
14	Vollbart	Vollbart	N	NN	Masc|Dat|Sg	10	cj	_	_
15	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
16	von	von	P	APPR	Dat	21	pp	_	_
17	einem	eine	A	ART	Indef|Masc|Dat|Sg	20	det	_	_
18	grossen	groß	A	ADJA	Pos|Masc|Dat|Sg|Wk|	20	attr	_	_
19	grünen	grün	A	ADJA	Pos|Masc|Dat|Sg|Wk|	20	attr	_	_
20	Seidenturban	Seidenturban	N	NN	Masc|Dat|Sg	16	pn	_	_
21	überwölbt	überwölben	V	VVPP	_	15	aux	_	_
22	.	.	$	$.	_	0	root	_	_

1	Harun	Harun	N	NE	_|Nom|Sg	2	subj	49	49
2	atmet	atmen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	tief	tief	A	ADJD	Pos|	2	adv	_	_
4	auf	auf	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	dass	dass	K	KOUS	_	12	konj	_	_
7	seine	seine	A	PPOSAT	Fem|Nom|Sg	9	det	49	49
8	breite	breit	A	ADJA	Pos|Fem|Nom|Sg|_|	9	attr	227	227
9	Brust	Brust	N	NN	Fem|Nom|Sg	12	subj	227	227
10	sich	sie	P	PRF	3|_|_	12	obja	_	_
11	gewaltig	gewaltig	A	ADJD	Pos|	12	adv	_	_
12	aufbläst	aufblasen	V	VVFIN	3|Sg|Pres|Ind	2	objc	_	_
13	und	und	K	KON	_	12	kon	_	_
14	sein	seine	A	PPOSAT	Masc|Nom|Sg	16	det	49	49
15	breiter	breit	A	ADJA	Pos|Masc|Nom|Sg|St|	16	attr	224	224
16	Hals	Hals	N	NN	Masc|Nom|Sg	19	subj	224	224
17	noch	noch	A	ADV	_	19	adv	_	_
18	breiter	breit	A	ADJD	Comp|	19	pred	_	_
19	wird	werden	V	VAFIN	3|Sg|Pres|Ind	13	cj	_	_
20	.	.	$	$.	_	0	root	_	_

1	Neben	neben	P	APPR	Dat	10	objp	_	_
2	dem	die	A	ART	Def|Masc|Dat|Sg	4	det	50	50
3	stattlichen	stattlich	A	ADJA	Pos|Masc|Dat|Sg|Wk|	4	attr	50	50
4	Fürsten	Fürst	N	NN	Masc|Dat|Sg	1	pn	50	50
5	-	-	$	$(	_	0	root	50	50
6	zu	zu	P	APPR	Dat	4	pp	50	50
7	seiner	seine	A	PPOSAT	Fem|Dat|Sg	8	det	50	50
8	Rechten	Recht	N	NN	Fem|Dat|Sg	6	pn	50	50
9	-	-	$	$(	_	0	root	_	_
10	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
11	seine	seine	A	PPOSAT	Fem|Nom|Sg	13	det	50	50
12	geliebte	geliebt	A	ADJA	Pos|Fem|Nom|Sg|_|	13	attr	51	51
13	Schwester	Schwester	N	NN	Fem|Nom|Sg	10	subj	51	51
14	Abbasah	Abbasah	N	NE	Neut|Nom|Sg	13	app	51	51
15	,	,	$	$,	_	0	root	_	_
16	ein	eine	A	ART	Indef|Neut|Nom|Sg	18	det	_	_
17	rehbraunes	rehbraun	A	ADJA	Pos|Neut|Nom|Sg|St|	18	attr	_	_
18	Weib	Weib	N	NN	Neut|Nom|Sg	14	app	_	_
19	,	,	$	$,	_	0	root	_	_
20	das	die	P	PRELS	Neut|Nom|Sg	28	subj	_	_
21	auch	auch	A	ADV	_	28	adv	_	_
22	mit	mit	P	APPR	Dat	28	pp	_	_
23	mohrenschwarzen	mohrenschwarz	A	ADJA	Pos|Neut|Dat|Pl|_|	24	attr	_	_
24	Augen	Auge	N	NN	Neut|Dat|Pl	22	pn	_	_
25	in	in	P	APPR	Acc	28	pp	_	_
26	diese	diese	A	PDAT	Fem|Acc|Sg	27	det	155	155
27	Welt	Welt	N	NN	Fem|Acc|Sg	25	pn	155	155
28	reinschaut	reinschauen	V	VVFIN	3|Sg|Pres|Ind	18	rel	_	_
29	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Abbasah	Abbasah	N	NE	_	0	root	51	51
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	ruft	rufen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	52	52
7	Chalif	Chalif	N	NN	Masc|Nom|Sg	5	subj	52	52
8	,	,	$	$,	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	dieser	diese	A	PDAT	Masc|Nom|Sg	11	det	54	54
11	Morgen	Morgen	N	NN	Masc|Nom|Sg	12	subj	54	54
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	noch	noch	A	ADV	_	12	adv	_	_
14	herrlicher	herrlich	A	ADJD	Comp|	12	pred	_	_
15	als	als	K	KOKOM	_	12	kom	_	_
16	die	die	A	ART	Def|Fem|_|Sg	17	det	21	21
17	Nacht	Nacht	N	NN	Fem|_|Sg	15	cj	21	21
18	!	!	$	$.	_	0	root	_	_

1	Gieb	Gieb	N	NE	_	0	root	218	218
2	mir	ich	P	PPER	1|Sg|_|Dat	0	root	52	52
3	neuen	neu	A	ADJA	Pos|Masc|_|Sg|_|	4	attr	55	55
4	Wein	Wein	N	NN	Masc|_|Sg	0	root	55	55
5	und	und	K	KON	_	0	root	_	_
6	spiel	spiel	A	ADJD	_	5	cj	_	_
7	auf	auf	P	APPR	Dat	6	pp	_	_
8	Deiner	deine	A	PPOSAT	Fem|Dat|Sg	10	det	53	53
9	neuen	neu	A	ADJA	Pos|Fem|Dat|Sg|Wk|	10	attr	53	53
10	Harfe	Harfe	N	NN	Fem|Dat|Sg	7	pn	53	53
11	!	!	$	$.	_	0	root	_	_

1	Ihr	ihre	A	PPOSAT	_|_|Sg	3	det	53	53
2	faulen	faul	A	ADJA	Pos|_|_|_|_|	3	attr	_	_
3	Sklaven	Sklave	N	NN	_|_|Sg	0	root	_	_
4	aber	aber	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	Ihr	ihr	P	PPER	2|Pl|_|Nom	7	subj	_	_
7	bringt	bringen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
8	mir	ich	P	PPER	1|Sg|_|Dat	7	objd	52	52
9	den	die	A	ART	Def|_|_|_	10	det	_	_
10	Jahjah	Jahjah	N	NN	_|_|_	7	obja	_	_
11	ibn	ibn	A	ADJA	_	12	attr	_	_
12	Chalid	Chalid	N	NN	_|_|_	10	app	_	_
13	her	her	P	PTKVZ	_	7	avz	_	_
14	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	52	52
2	muss	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	5	objd	54	54
4	was	was	P	PIS	_	5	obja	_	_
5	sagen	sagen	V	VVINF	_	2	aux	_	_
6	.	.	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	Vier	vier	C	CARD	_	3	attr	_	_
2	junge	jung	A	ADJA	Pos|Masc|_|Pl|St|	3	attr	_	_
3	Neger	Neger	N	NN	Masc|_|Pl	4	obja	_	_
4	stürzen	stürzen	V	VVINF	_	0	root	_	_
5	wie	wie	K	KOKOM	_	0	root	_	_
6	die	die	A	ART	Def|Masc|_|Pl	7	det	_	_
7	Jagdhunde	Jagdhund	N	NN	Masc|_|Pl	5	cj	_	_
8	davon	davon	P	PROAV	_	7	pp	_	_
9	,	,	$	$,	_	0	root	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	11	det	51	51
11	Abbasah	Abbasah	N	NN	Fem|Nom|Sg	12	subj	51	51
12	reicht	reichen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
13	den	die	A	ART	Def|Masc|Acc|Sg	14	det	55	55
14	Wein	Wein	N	NN	Masc|Acc|Sg	12	obja	55	55
15	und	und	K	KON	_	12	kon	_	_
16	klimpert	klimpern	V	VVFIN	_|_|Pres|_	15	cj	_	_
17	auf	auf	P	APPR	Dat	16	pp	_	_
18	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	20	det	51	51
19	neuen	neu	A	ADJA	Pos|Fem|Dat|Sg|Wk|	20	attr	56	56
20	Harfe	Harfe	N	NN	Fem|Dat|Sg	17	pn	56	56
21	,	,	$	$,	_	0	root	56	56
22	die	die	P	PRELS	Fem|Nom|Sg	27	subj	56	56
23	mit	mit	P	APPR	Dat	26	pp	_	_
24	vielen	viele	A	PIDAT	Masc|Dat|_	25	det	_	_
25	Diamanten	Diamant	N	NN	Masc|Dat|_	23	pn	_	_
26	verziert	verzieren	V	VVPP	_	27	aux	_	_
27	ist	sein	V	VAFIN	3|Sg|Pres|Ind	20	rel	_	_
28	.	.	$	$.	_	0	root	_	_

1	Doch	doch	K	KON	_	0	root	_	_
2	unversehens	unversehens	A	ADJD	_	3	pred	_	_
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	das	die	A	ART	Def|Neut|Nom|Sg	6	det	1092	1092
5	rehbraune	rehbraun	A	ADJA	Pos|Neut|Nom|Sg|Wk|	6	attr	1092	1092
6	Weib	Weib	N	NN	Neut|Nom|Sg	3	subj	1092	1092
7	wüthend	wüthend	N	NE	Neut|Nom|Sg	6	app	1092	1092
8	und	und	K	KON	_	3	kon	_	_
9	zerschlägt	zerschlagen	V	VVFIN	3|Sg|Pres|Ind	8	cj	_	_
10	ihre	ihre	A	PPOSAT	Fem|_|Sg	11	det	56	56
11	Harfe	Harfe	N	NN	Fem|_|Sg	9	obja	_	_
12	.	.	$	$.	_	0	root	_	_

1	Harun	Harun	N	NE	_|Nom|Sg	2	subj	49	49
2	wendet	wenden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	um	um	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	streichelt	streicheln	V	VVFIN	3|Sg|Pres|Ind	2	kon	_	_
7	Abbasahs	Abbasahs	N	NE	_|Gen|_	8	gmod	153	153
8	Rückgrat	Rückgrat	N	NN	_|_|Sg	6	obja	_	_
9	und	und	K	KON	_	2	kon	_	_
10	fragt	fragen	V	VVFIN	_|_|Pres|Ind	9	cj	_	_
11	besorgt	besorgt	A	ADJD	Pos|	10	adv	_	_
12	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|Nom|Sg	3	subj	_	_
3	fehlt	fehlen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	Dir	du	P	PPER	2|Sg|_|Dat	3	objd	_	_
5	,	,	$	$,	_	0	root	_	_
6	Kind	Kind	N	NN	Neut|Dat|Sg	4	app	_	_
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	57	57
2	Kind	Kind	N	NN	Neut|Nom|Sg	3	subj	57	57
3	zerkrallt	zerkrallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	sein	seine	A	PPOSAT	Neut|_|Sg	6	det	57	57
5	saphirblaues	saphirblau	A	ADJA	Pos|Neut|_|Sg|St|	6	attr	_	_
6	Seidenkleid	Seidenkleid	N	NN	Neut|_|Sg	3	obja	_	_
7	,	,	$	$,	_	0	root	_	_
8	zieht	zeihen	V	VVFIN	_|_|_|Ind	3	kon	_	_
9	danach	danach	P	PROAV	_	8	pp	_	_
10	seine	seine	A	PPOSAT	Masc|_|Pl	12	det	57	57
11	rothen	rothen	A	ADJA	_|Masc|_|Pl|_	12	attr	_	_
12	Lederpantoffeln	Lederpantoffel	N	NN	Masc|_|Pl	8	obja	_	_
13	aus	aus	P	PTKVZ	_	8	avz	_	_
14	und	und	K	KON	_	8	kon	_	_
15	schlägt	schlagen	V	VVFIN	3|Sg|Pres|Ind	14	cj	_	_
16	mit	mit	P	APPR	Dat	15	pp	_	_
17	diesen	diese	A	PDAT	Fem|Dat|Pl	19	det	_	_
18	alten	alt	A	ADJA	Pos|Fem|Dat|Pl|_|	19	attr	_	_
19	Weiberwaffen	Weiberwaffe	N	NN	Fem|Dat|Pl	16	pn	_	_
20	auf	auf	P	APPR	_	15	objp	_	_
21	den	die	A	ART	Def|_|_|_	23	det	182	182
22	grossen	groß	A	ADJA	Pos|_|_|_|_|	23	attr	182	182
23	Chalifen	Chalifen	N	NN	_|_|_	20	pn	182	182
24	so	so	A	ADV	_	25	adv	_	_
25	heftig	heftig	A	ADJD	Pos|	15	adv	_	_
26	ein	ein	P	PTKVZ	_	15	avz	_	_
27	,	,	$	$,	_	0	root	_	_
28	dass	dass	K	KOUS	_	0	root	_	_
29	der	die	A	ART	Def|_|_|_	0	root	_	_
30	sich	sie	P	PRF	3|_|_	32	obja	_	_
31	kaum	kaum	A	ADV	_	32	adv	_	_
32	wehren	wehren	V	VVINF	_	33	aux	_	_
33	kann	können	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
34	.	.	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	5	pp	_	_
2	diesem	diese	A	PDAT	Neut|Dat|Sg	4	det	_	_
3	groben	grob	A	ADJA	Pos|Neut|Dat|Sg|Wk|	4	attr	_	_
4	Liebesspiel	Liebesspiel	N	NN	Neut|Dat|Sg	1	pn	_	_
5	bemerkt	bemerken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	die	die	A	ART	Def|Fem|Nom|Sg	8	det	824	824
7	geliebte	geliebt	A	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	824	824
8	Schwester	Schwester	N	NN	Fem|Nom|Sg	5	subj	824	824
9	ganz	ganz	A	ADV	_	10	adv	_	_
10	sanft	sanft	A	ADJD	Pos|	5	adv	_	_
11	und	und	K	KON	_	0	root	_	_
12	bedächtig	bedächtig	N	NE	_	11	cj	170	170
13	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Harun	Harun	N	NE	_	0	root	49	49
3	!	!	$	$.	_	0	root	_	_

1	Kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	1	subj	58	58
3	da	da	A	ADV	_	1	adv	_	_
4	drüben	drüben	C	CARD	_	1	objd	_	_
5	überm	über	P	APPRART	Dat	4	pp	_	_
6	Tigris	Tigris	N	NE	Masc|Dat|Sg	5	pn	46	46
7	die	die	A	ART	Def|Fem|_|Pl	10	det	250	250
8	vielen	viele	A	PIDAT	Fem|_|Pl	10	attr	250	250
9	weissen	weiss	A	ADJA	Pos|Fem|_|Pl|Wk|	10	attr	250	250
10	Möven	Möve	N	NN	Fem|_|Pl	1	obja	250	250
11	sehn	sehn	N	NE	Fem|_|Pl	10	app	250	250
12	?	?	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	?	?	$	$.	_	0	root	_	_

1	Siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	58	58
3	?	?	$	$.	_	0	root	_	_

1	Weisst	weissen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	1	subj	58	58
3	,	,	$	$,	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	11	pred	59	59
5	möchte	mögen	V	VMFIN	3|Sg|Past|Subj	1	kon	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	gern	gern	A	ADV	_	11	adv	_	_
8	auch	auch	A	ADV	_	11	adv	_	_
9	eine	eine	A	ART	Indef|Fem|Nom|Sg	10	det	_	_
10	Möve	Möve	N	NN	Fem|Nom|Sg	5	subj	_	_
11	sein	sein	V	VAINF	_	5	aux	_	_
12	und	und	K	KON	_	11	kon	_	_
13	über	über	P	APPR	_	19	pp	_	_
14	blauen	blau	A	ADJA	Pos|Fem|_|Pl|_|	15	attr	975	975
15	Wellen	Welle	N	NN	Fem|_|Pl	13	pn	975	975
16	so	so	A	ADV	_	18	adv	_	_
17	ganz	ganz	A	ADV	_	18	adv	_	_
18	frei	frei	A	ADJD	Pos|	19	adv	_	_
19	dahinschweben	dahinschweben	V	VVINF	_	12	cj	_	_
20	-	-	$	$(	_	0	root	_	_
21	so	so	A	ADV	_	22	adv	_	_
22	ganz	ganz	A	ADV	_	24	adv	_	_
23	-	-	$	$(	_	0	root	_	_
24	ganz	ganz	A	ADV	_	11	adv	_	_
25	-	-	$	$(	_	0	root	_	_
26	frei	frei	A	ADJD	Pos|	0	root	_	_
27	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	6	konj	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	59	59
4	eine	eine	A	ART	Indef|Fem|Nom|Sg	5	det	_	_
5	Möve	Möve	N	NN	Fem|Nom|Sg	6	pred	_	_
6	wäre	sein	V	VAFIN	1|Sg|Past|Subj	1	cj	_	_
7	-	-	$	$(	_	0	root	_	_
8	weisst	weissen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
9	Du	du	P	PPER	2|Sg|_|Nom	8	subj	58	58
10	,	,	$	$,	_	0	root	_	_
11	was	was	P	PRELS	Neut|_|Sg	14	obja	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	59	59
13	da	da	A	ADV	_	14	adv	_	_
14	thun	thun	V	VVINF	_	15	aux	_	_
15	würde	werden	V	VAFIN	1|Sg|Past|Subj	9	rel	_	_
16	?	?	$	$.	_	0	root	_	_

1	Na	Na	I	ITJ	_	0	root	_	_
2	?	?	$	$.	_	0	root	_	_

1	Rathe	Rath	N	NN	Masc|Dat|Sg	0	root	_	_
2	doch	doch	A	ADV	_	1	adv	_	_
3	!	!	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	das	die	P	PDS	Neut|_|Sg	7	obja	_	_
4	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
5	Du	du	P	PPER	2|Sg|_|Nom	4	subj	58	58
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	rathen	rathen	V	VVINF	_	4	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	60	60
2	würde	werden	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	7	obja	49	49
4	einfach	einfach	A	ADJD	Pos|	7	adv	_	_
5	noch	noch	A	ADV	_	7	adv	_	_
6	mal	mal	A	ADV	_	7	adv	_	_
7	verwandeln	verwandeln	V	VVINF	_	2	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Sieh	sehen	V	VVIMP	Sg	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	60	60
4	würde	werden	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
5	mich	ich	P	PRF	1|Sg|Acc	11	obja	_	_
6	in	in	P	APPR	Acc	11	pp	_	_
7	eine	eine	A	ART	Indef|Fem|Acc|Sg	10	det	_	_
8	grosse	groß	A	ADJA	Pos|Fem|Acc|Sg|_|	10	attr	_	_
9	weisse	weiss	A	ADJA	Pos|Fem|Acc|Sg|_|	10	attr	_	_
10	Wolke	Wolke	N	NN	Fem|Acc|Sg	6	pn	_	_
11	verwandeln	verwandeln	V	VVINF	_	4	aux	_	_
12	und	und	K	KON	_	11	kon	_	_
13	als	als	K	KOKOM	_	19	kom	_	_
14	weisse	weiss	A	ADJA	Pos|Fem|_|Sg|_|	15	attr	_	_
15	Wolke	Wolke	N	NN	Fem|_|Sg	13	cj	_	_
16	alle	alle	A	PIDAT	Masc|_|Pl	18	det	61	61
17	die	die	A	ART	Def|Masc|_|Pl	18	det	61	61
18	Männer	Mann	N	NN	Masc|_|Pl	19	obja	61	61
19	umarmen	umarmen	V	VVINF	_	12	cj	61	61
20	,	,	$	$,	_	0	root	61	61
21	die	die	P	PRELS	Masc|Nom|Pl	23	subj	61	61
22	mir	ich	P	PPER	1|Sg|_|Dat	23	objd	60	60
23	gefallen	gefallen	V	VVFIN	3|Pl|Pres|_	18	rel	_	_
24	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	4	kom	_	_
2	weisse	weiss	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	_	_
3	Wolke	Wolke	N	NN	Fem|_|Sg	1	cj	_	_
4	würd	würd	A	ADJA	_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	0	root	60	60
7	nicht	nicht	P	PTKNEG	_	10	adv	_	_
8	mehr	mehr	A	ADV	_	7	adv	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	ärgerliche	ärgerlich	A	ADJA	Pos|Fem|Nom|Pl|St|	11	attr	_	_
11	Stimmungen	Stimmung	N	NN	Fem|Nom|Pl	12	subj	_	_
12	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	nicht	nicht	P	PTKNEG	_	17	adv	_	_
