1	Münchhausen	Münchhausen	N	NE	Neut|Nom|Sg	2	subj	1	1
29	lautes	laut	A	ADJA	Pos|Neut|Nom|Sg|St|	30	attr	_	_
30	Wort	Wort	N	NN	Neut|Nom|Sg	35	subj	_	_
31	Niemand	niemand	P	PIS	_	35	obja	_	_
32	mehr	mehr	A	ADV	_	31	adv	_	_
33	zu	zu	P	PTKZU	_	34	part	_	_
34	sprechen	sprechen	V	VVINF	_	35	obji	_	_
35	wagte	wagen	V	VVFIN	3|Sg|Past|_	19	objc	_	_
36	.	.	$	$.	_	0	root	_	_

1	Riesig	riesig	A	ADJD	Pos|	2	adv	_	_
2	imposant	imposant	A	ADJD	_	3	pred	_	_
3	wirkten	wirken	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	die	die	A	ART	Def|Fem|Nom|Pl	6	det	_	_
5	großen	groß	A	ADJA	Pos|Fem|Nom|Pl|Wk|	6	attr	_	_
6	Säulen	Säule	N	NN	Fem|Nom|Pl	3	subj	_	_
7	,	,	$	$,	_	0	root	_	_
8	deren	die	A	PRELAT	Fem|Nom|Sg	9	det	_	_
9	Glasumkleidung	Glasumkleidung	N	NN	Fem|Nom|Sg	19	subj	_	_
10	natürlich	natürlich	A	ADJD	Pos|	19	adv	_	_
11	in	in	P	APPR	Dat	19	pp	_	_
12	der	die	A	ART	Def|Fem|Dat|Sg	13	det	896	896
13	Farbe	Farbe	N	NN	Fem|Dat|Sg	11	pn	896	896
14	zu	zu	P	APPR	Dat	19	pp	_	_
15	den	die	A	ART	Def|Fem|Dat|Pl	16	det	_	_
16	Farben	Farbe	N	NN	Fem|Dat|Pl	14	pn	_	_
17	der	die	A	ART	Def|Fem|Gen|Pl	18	det	306	306
18	Wände	Wand	N	NN	Fem|Gen|Pl	16	gmod	306	306
19	kontrastierte	kontrastieren	V	VVFIN	3|Sg|Past|_	6	rel	_	_
20	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Boden	Boden	N	NN	Masc|Nom|Sg	5	subj	_	_
3	des	die	A	ART	Def|Masc|Gen|Sg	4	det	897	897
4	Saales	Saal	N	NN	Masc|Gen|Sg	2	gmod	897	897
5	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	hügelig	hügelig	A	ADJD	Pos|	11	adv	_	_
7	und	und	K	KON	_	6	kon	_	_
8	mit	mit	P	APPR	Dat	7	cj	_	_
9	vielen	viele	A	PIDAT	_|Dat|_	10	det	_	_
10	Pflanzen	Pflanze	N	NN	_|Dat|_	8	pn	_	_
11	bedeckt	bedecken	V	VVPP	_	5	aux	_	_
12	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	stieg	steigen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	auf	auf	P	APPR	_	2	pp	_	_
4	Marmorstufen	Marmorstufe	N	NN	_|_|_	3	pn	_	_
5	hinauf	hinauf	A	ADV	_	2	adv	_	_
6	und	und	K	KON	_	2	kon	_	_
7	konnte	können	V	VMFIN	_|Sg|Past|Ind	6	cj	_	_
8	auf	auf	P	APPR	_	10	pp	_	_
9	Terrassen	Terrasse	N	NN	Fem|_|Pl	8	pn	898	898
10	sitzen	sitzen	V	VVINF	_	7	aux	_	_
11	-	-	$	$(	_	0	root	_	_
12	in	in	P	APPR	Dat	15	pp	_	_
13	der	die	A	ART	Def|Fem|Dat|Sg	14	det	899	899
14	Tiefe	Tiefe	N	NN	Fem|Dat|Sg	12	pn	899	899
15	gab	geben	V	VVFIN	3|Sg|Past|Ind	7	kon	_	_
16	es	es	P	PPER	3|Sg|Neut|Nom	15	subj	_	_
17	auch	auch	A	ADV	_	15	adv	_	_
18	kleine	klein	A	ADJA	Pos|Masc|_|Pl|St|	19	attr	_	_
19	Teiche	Teich	N	NN	Masc|_|Pl	15	obja	_	_
20	mit	mit	P	APPR	Dat	15	pp	_	_
21	Schwänen	Schwan	N	NN	Masc|Dat|Pl	20	pn	900	900
22	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	3	det	_	_
2	großen	groß	A	ADJA	Pos|_|Nom|Pl|Wk|	3	attr	_	_
3	Palmenhäuser	Palmenhaus	N	NN	_|Nom|Pl	7	subj	_	_
4	der	die	A	ART	Def|Masc|Gen|Pl	6	det	_	_
5	botanischen	botanisch	A	ADJA	Pos|Masc|Gen|Pl|Wk|	6	attr	_	_
6	Gärten	Garten	N	NN	Masc|Gen|Pl	3	gmod	_	_
7	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
8	hier	hier	A	ADV	_	12	adv	_	_
9	im	in	P	APPRART	Dat	12	pp	_	_
10	Arrangement	Arrangement	N	NN	Neut|Dat|Sg	9	pn	_	_
11	viel	viel	A	ADV	_	12	adv	_	_
12	lernen	lernen	V	VVINF	_	13	aux	_	_
13	können	können	V	VMINF	_	7	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	Zunächst	zunächst	A	ADV	_	2	adv	_	_
2	empfing	empfangen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	3	3
4	Baron	Baron	N	NN	Masc|Nom|Sg	2	subj	3	3
5	familiär	familiär	A	ADJD	Pos|	2	adv	_	_
6	wie	wie	K	KOKOM	_	2	kom	_	_
7	ein	eine	A	ART	Indef|Masc|Nom|Sg	9	det	_	_
8	alter	alt	A	ADJA	Pos|Masc|Nom|Sg|St|	9	attr	_	_
9	Hausvater	Hausvater	N	NN	Masc|Nom|Sg	6	cj	_	_
10	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	7	konj	_	_
2	aber	aber	A	ADV	_	7	adv	_	_
3	die	die	A	ART	Def|Fem|Nom|Pl	4	det	_	_
4	Audienzen	Audienz	N	NN	Fem|Nom|Pl	7	subj	_	_
5	immer	immer	A	ADV	_	6	adv	_	_
6	feierlicher	feierlich	A	ADJD	Comp|	7	pred	_	_
7	wurden	werden	V	VAFIN	3|Pl|Past|Ind	9	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
10	das	die	P	PDS	Neut|Nom|Sg	9	subj	_	_
11	nicht	nicht	P	PTKNEG	_	9	adv	_	_
12	mehr	mehr	A	ADV	_	11	adv	_	_
13	an	an	P	PTKVZ	_	9	avz	_	_
14	;	;	$	$.	_	0	root	_	_
15	man	man	P	PIS	_|Nom|Sg	16	subj	_	_
16	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
17	auch	auch	A	ADV	_	25	adv	_	_
18	nicht	nicht	P	PTKNEG	_	25	adv	_	_
19	täglich	täglich	A	ADJD	Pos|	25	adv	_	_
20	ein	eine	A	ART	Indef|_|_|Sg	23	det	_	_
21	paar	paar	A	PIDAT	Masc|_|Pl	23	attr	_	_
22	hundert	hundert	C	CARD	_	23	attr	_	_
23	Gäste	Gast	N	NN	Masc|_|Pl	25	obja	_	_
24	freundlich	freundlich	A	ADJD	Pos|	25	adv	_	_
25	bewirten	bewirten	V	VVINF	_	16	aux	_	_
26	;	;	$	$.	_	0	root	_	_
27	das	die	P	PDS	Neut|Nom|Sg	28	subj	_	_
28	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
29	doch	doch	A	ADV	_	28	adv	_	_
30	zu	zu	P	PTKA	_	31	adv	901	901
31	viel	viel	A	PIDAT	Fem|_|Sg	32	det	901	901
32	Zeit	Zeit	N	NN	Fem|_|Sg	28	obja	901	901
33	in	in	P	APPR	_	28	objp	_	_
34	Anspruch	Anspruch	N	NN	Masc|_|Sg	33	pn	_	_
35	und	und	K	KON	_	28	kon	_	_
36	ermüdete	ermüden	V	VVFIN	_|Sg|Past|_	35	cj	_	_
37	auch	auch	A	ADV	_	36	adv	_	_
38	den	die	A	ART	Def|_|_|_	40	det	71	71
39	alten	alt	A	ADJA	Pos|_|_|_|_|	40	attr	71	71
40	Herrn	Herrn	N	NN	_|_|_	36	obja	71	71
41	.	.	$	$.	_	0	root	_	_

1	Somit	somit	A	ADV	_	2	adv	_	_
2	gabs	gabs	A	ADJD	_	3	adv	_	_
3	bald	bald	A	ADV	_	4	adv	_	_
4	nur	nur	A	ADV	_	7	adv	_	_
5	noch	noch	A	ADV	_	6	adv	_	_
6	feierliche	feierlich	A	ADJA	Pos|Masc|_|Pl|St|	7	attr	_	_
7	Empfänge	Empfang	N	NN	Masc|_|Pl	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	wie	wie	P	PWAV	_	18	adv	_	_
10	sie	sie	P	PPER	3|Pl|_|Nom	18	subj	71	71
11	bei	bei	P	APPR	Dat	18	pp	_	_
12	den	die	A	ART	Def|Masc|Dat|Pl	14	det	_	_
13	großen	groß	A	ADJA	Pos|Masc|Dat|Pl|_|	14	attr	_	_
14	Potentaten	Potentat	N	NN	Masc|Dat|Pl	11	pn	_	_
15	großer	groß	A	ADJA	Pos|_|_|_|St|	16	attr	_	_
16	Staaten	Staat	N	NN	Masc|Dat|Pl	18	objd	_	_
17	üblich	üblich	A	ADJD	Pos|	18	pred	_	_
18	sind	sein	V	VAFIN	3|Pl|Pres|Ind	7	objc	_	_
19	.	.	$	$.	_	0	root	_	_

1	Allerdings	allerdings	A	ADV	_	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	im	in	P	APPRART	Dat	8	pp	_	_
4	sogenannten	sogenannt	A	ADJA	Pos|Neut|Dat|Sg|Wk|	6	attr	_	_
5	»	»	$	$(	_	0	root	_	_
6	Provisorium	Provisorium	N	NN	Neut|Dat|Sg	3	pn	_	_
7	«	«	$	$(	_	0	root	_	_
8	wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
9	ganz	ganz	A	ADV	_	10	adv	_	_
10	anders	anders	A	ADV	_	11	adv	_	_
11	verhandelt	verhandeln	V	VVPP	_	8	aux	_	_
12	als	als	K	KOKOM	_	11	kom	_	_
13	bei	bei	P	APPR	Dat	12	cj	_	_
14	den	die	A	ART	Def|_|Dat|Pl	15	det	_	_
15	Staatsaktionen	Staatsaktion	N	NN	_|Dat|Pl	13	pn	_	_
16	der	die	A	ART	Def|Masc|Gen|Pl	17	det	902	902
17	Potentaten	Potentat	N	NN	Masc|Gen|Pl	15	gmod	902	902
18	;	;	$	$.	_	0	root	_	_
19	bei	bei	P	APPR	Dat	21	pp	_	_
20	diesen	diese	P	PDS	_|Dat|Pl	19	pn	_	_
21	handelte	handeln	V	VVFIN	3|Sg|Past|_	0	root	_	_
22	es	es	P	PPER	3|Sg|Neut|Nom	21	subj	_	_
23	sich	sie	P	PRF	3|_|_	21	obja	_	_
24	doch	doch	A	ADV	_	21	adv	_	_
25	immer	immer	A	ADV	_	26	adv	_	_
26	nur	nur	A	ADV	_	21	adv	_	_
27	um	um	P	APPR	Acc	21	objp	_	_
28	geschäftliche	geschäftlich	A	ADJA	Pos|Fem|Acc|Pl|St|	34	attr	_	_
29	,	,	$	$,	_	0	root	_	_
30	familiäre	familiär	A	ADJA	Pos|_|Acc|_|_|	28	kon	_	_
31	oder	oder	K	KON	_	30	kon	_	_
32	rein	rein	A	ADJD	Pos|	33	adv	_	_
33	formelle	formell	A	ADJA	Pos|_|Acc|_|_|	31	cj	_	_
34	Angelegenheiten	Angelegenheit	N	NN	Fem|Acc|Pl	27	pn	_	_
35	-	-	$	$(	_	0	root	_	_
36	das	die	P	PDS	Neut|Nom|Sg	37	subj	_	_
37	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	21	kon	_	_
38	natürlich	natürlich	A	ADJD	Pos|	37	adv	_	_
39	im	in	P	APPRART	Dat	37	pp	_	_
40	»	»	$	$(	_	0	root	_	_
41	Provisorium	Provisorium	N	NN	Neut|Dat|Sg	39	pn	_	_
42	«	«	$	$(	_	0	root	_	_
43	einfach	einfach	A	ADJD	Pos|	37	adv	_	_
44	fort	fort	P	PTKVZ	_	37	avz	_	_
45	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	da	da	K	KOUS	_	10	konj	_	_
3	man	man	P	PIS	_|Nom|Sg	10	subj	_	_
4	hier	hier	A	ADV	_	9	adv	_	_
5	nur	nur	A	ADV	_	9	adv	_	_
6	möglichst	möglichst	A	ADV	_	7	adv	_	_
7	bedeutsam	bedeutsam	A	ADJD	Pos|	9	adv	_	_
8	Angelegenheiten	Angelegenheit	N	NN	Fem|_|Pl	9	obja	_	_
9	abhandeln	abhandeln	V	VVINF	_	10	aux	_	_
10	wollte	wollen	V	VMFIN	3|Sg|Past|_	13	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	bekam	bekommen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
14	Alles	Alles	N	NE	_|Nom|Sg	13	subj	_	_
15	ganz	ganz	A	ADV	_	16	adv	_	_
16	naturgemäß	naturgemäß	A	ADJD	Pos|	13	adv	_	_
17	sehr	sehr	A	ADV	_	18	adv	_	_
18	bald	bald	A	ADV	_	13	adv	_	_
19	einen	eine	A	ART	Indef|Masc|Acc|Sg	22	det	_	_
20	rein	rein	A	ADJD	Pos|	21	adv	_	_
21	religiösen	religiös	A	ADJA	Pos|Masc|Acc|Sg|_|	22	attr	_	_
22	Anstrich	Anstrich	N	NN	Masc|Acc|Sg	13	obja	_	_
23	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jetzt	jetzt	A	ADV	_	3	adv	_	_
3	könnte	können	V	VMFIN	1|Sg|Past|Subj	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	96	96
5	auch	auch	A	ADV	_	9	adv	_	_
6	eine	eine	A	ART	Indef|Fem|_|Sg	8	det	_	_
7	neue	neu	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	_	_
8	Religion	Religion	N	NN	Fem|_|Sg	9	obja	_	_
9	gründen	gründen	V	VVINF	_	3	aux	_	_
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_
12	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	15	det	96	96
14	alte	alt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	15	attr	96	96
15	Herr	Herr	N	NN	Masc|Nom|Sg	12	subj	96	96
16	zur	zu	P	APPRART	Dat	12	pp	_	_
17	Gräfin	Gräfin	N	NN	Fem|Dat|Sg	16	pn	20	20
18	Clarissa	Clarissa	N	NE	Fem|Dat|Sg	17	app	20	20
19	.	.	$	$.	_	0	root	_	_

1	Diese	diese	P	PDS	Fem|Nom|Sg	2	subj	_	_
2	schüttelte	schütteln	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	dazu	dazu	P	PROAV	_	2	pp	_	_
4	mit	mit	P	APPR	Dat	2	pp	_	_
5	dem	die	A	ART	Def|Masc|Dat|Sg	6	det	183	183
6	Kopfe	Kopf	N	NN	Masc|Dat|Sg	4	pn	183	183
7	,	,	$	$,	_	0	root	_	_
8	aber	aber	K	KON	_	2	kon	_	_
9	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	20	20
10	wohnte	wohnen	V	VVFIN	3|Sg|Past|_	8	cj	_	_
11	allen	alle	A	PIDAT	_|_|_	12	det	_	_
12	Andienzen	Andienzen	N	NN	Neut|Dat|Sg	10	objd	_	_
13	bei	bei	P	PTKVZ	_	10	avz	_	_
14	und	und	K	KON	_	10	kon	_	_
15	interessierte	interessieren	V	VVFIN	_|Sg|Past|_	14	cj	_	_
16	sich	sie	P	PRF	3|_|_	15	obja	_	_
17	sehr	sehr	A	ADV	_	18	adv	_	_
18	lebhaft	lebhaft	A	ADJD	Pos|	15	adv	_	_
19	für	für	P	APPR	Acc	15	pp	_	_
20	die	die	A	ART	Def|Fem|Acc|Pl	23	det	_	_
21	dabei	dabei	P	PROAV	_	22	pp	_	_
22	stattfindenden	stattfindend	A	ADJA	Pos|Fem|Acc|Pl|Wk|<PPRES	23	attr	_	_
23	Debatten	Debatte	N	NN	Fem|Acc|Pl	19	pn	_	_
24	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	nun	nun	A	ADV	_	7	adv	_	_
4	natürlich	natürlich	A	ADJD	Pos|	7	adv	_	_
5	zu	zu	P	PTKA	_	6	adv	_	_
6	weit	weit	A	ADJD	Pos|	7	adv	_	_
7	führen	führen	V	VVINF	_	2	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	wenn	wenn	K	KOUS	_	21	konj	_	_
10	wir	wir	P	PPER	1|Pl|_|Nom	21	subj	_	_
11	hier	hier	A	ADV	_	20	adv	_	_
12	ein	eine	A	ART	Indef|Neut|_|Sg	14	det	_	_
13	großes	groß	A	ADJA	Pos|Neut|_|Sg|St|	14	attr	_	_
14	Gesamtbild	Gesamtbild	N	NN	Neut|_|Sg	20	obja	_	_
15	aller	alle	P	PIS	Masc|Nom|Sg	14	app	_	_
16	dieser	diese	A	PDAT	Fem|Gen|Pl	19	det	_	_
17	höchst	höchst	A	ADV	_	18	adv	_	_
18	merkwürdigen	merkwürdig	A	ADJA	Pos|Fem|Gen|Pl|Wk|	19	attr	_	_
19	Verhandlungen	Verhandlung	N	NN	Fem|Gen|Pl	15	gmod	_	_
20	geben	geben	V	VVINF	_	21	aux	_	_
21	wollten	wollen	V	VMFIN	1|Pl|Past|_	2	neb	_	_
22	.	.	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	5	adv	_	_
2	ein	eine	A	ART	Indef|_|_|Sg	5	det	_	_
3	paar	paar	A	PIDAT	_|Nom|Pl	5	attr	_	_
4	kleine	klein	A	ADJA	Pos|_|Nom|Pl|St|	5	attr	_	_
5	Scenen	Scenen	N	NN	_|Nom|Pl	6	subj	_	_
6	mögen	mögen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
7	im	in	P	APPRART	Dat	6	pp	_	_
8	Folgenden	Folgende	N	NN	_|Dat|_	7	pn	_	_
9	diese	diese	A	PDAT	Fem|_|Pl	10	det	_	_
10	Provisoriums-Audienzen	Provisoriums-Audienz	N	NN	Fem|_|Pl	6	obja	_	_
11	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
12	wenig	wenig	A	ADV	_	0	root	_	_
13	illustrieren	illustrieren	V	VVINF	_	0	root	_	_
14	:	\:	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|Nom|Sg	3	det	_	_
2	theistische	theistisch	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	_	_
3	Gemeinde	Gemeinde	N	NN	Fem|Nom|Sg	4	subj	_	_
4	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	sich	sie	P	PRF	3|_|_	8	obja	_	_
6	eines	eine	A	ART	Indef|Masc|Gen|Sg	7	det	_	_
7	Tages	Tag	N	NN	Masc|Gen|Sg	8	zeit	_	_
8	melden	melden	V	VVINF	_	4	obji	_	_
9	;	;	$	$.	_	0	root	_	_
10	es	es	P	PPER	3|Sg|Neut|_	11	expl	_	_
11	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
12	über	über	A	ADV	_	14	adv	903	903
13	hundert	hundert	C	CARD	_	14	attr	903	903
14	Personen	Person	N	NN	Fem|Nom|Pl	11	subj	903	903
15	,	,	$	$,	_	0	root	903	903
16	zumeist	zumeist	A	ADV	_	17	adv	903	903
17	Männer	Mann	N	NN	Masc|Nom|Pl	14	app	903	903
18	in	in	P	APPR	Dat	17	pp	903	903
19	den	die	A	ART	Def|Neut|Dat|Pl	21	det	903	903
20	besten	gut	A	ADJA	Sup|Neut|Dat|Pl|_|	21	attr	903	903
21	Jahren	Jahr	N	NN	Neut|Dat|Pl	18	pn	903	903
22	;	;	$	$.	_	0	root	_	_
23	sie	sie	P	PPER	3|Pl|_|Nom	24	subj	903	903
24	erzählten	erzählen	V	VVFIN	3|Pl|Past|_	0	root	_	_
25	mit	mit	P	APPR	Dat	24	pp	_	_
26	großem	groß	A	ADJA	Pos|Masc|Dat|Sg|St|	27	attr	_	_
27	Eifer	Eifer	N	NN	Masc|Dat|Sg	25	pn	_	_
28	,	,	$	$,	_	0	root	_	_
29	daß	daß	K	KOUS	_	40	konj	_	_
30	sie	sie	P	PPER	3|Pl|_|Nom	40	subj	903	903
31	den	die	A	ART	Def|Masc|_|_	32	det	_	_
32	Glauben	Glaube	N	NN	Masc|_|_	39	obja	_	_
33	an	an	P	APPR	Acc	32	pp	_	_
34	einen	eine	A	ART	Indef|Masc|Acc|Sg	35	det	_	_
35	Gott	Gott	N	NN	Masc|Acc|Sg	33	pn	_	_
36	wieder	wieder	A	ADV	_	39	adv	_	_
37	zu	zu	P	APPR	Dat	39	objp	_	_
38	Ehren	Ehre	N	NN	_|Dat|_	37	pn	_	_
39	bringen	bringen	V	VVINF	_	40	aux	_	_
40	wollten	wollen	V	VMFIN	3|Pl|Past|_	24	objc	_	_
41	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	3	3
2	Baron	Baron	N	NN	Masc|Nom|Sg	3	subj	3	3
3	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	die	die	A	ART	Def|Masc|_|Pl	5	det	295	295
5	Herren	Herr	N	NN	Masc|_|Pl	6	obja	295	295
6	ausreden	ausreden	V	VVINF	_	3	obji	_	_
7	.	.	$	$.	_	0	root	_	_

1	Danach	Danach	P	PROAV	_	3	pp	_	_
2	aber	aber	A	ADV	_	1	adv	_	_
3	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	11	11
5	das	die	A	ART	Def|Neut|_|Sg	6	det	598	598
6	Folgende	Folgende	N	NN	Neut|_|Sg	3	obja	598	598
7	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	904	904
3	tun	tun	V	VVFIN	3|Pl|Pres|Ind	0	root	_	_
4	so	so	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOKOM	_	0	root	_	_
7	wenn	wenn	K	KOUS	_	13	konj	_	_
8	Sie	sie	P	PPER	3|Pl|_|Nom	13	subj	904	904
9	das	die	A	ART	Def|Neut|_|Sg	11	det	948	948
10	große	groß	A	ADJA	Pos|Neut|_|Sg|Wk|	11	attr	948	948
11	Licht	Licht	N	NN	Neut|_|Sg	12	obja	948	948
12	entdeckt	entdecken	V	VVPP	_	13	aux	_	_
13	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	indem	indem	K	KOUS	_	17	konj	_	_
16	Sie	sie	P	PPER	3|Pl|_|Nom	17	subj	904	904
17	sagen	sagen	V	VVFIN	3|Pl|Pres|_	13	neb	_	_
18	,	,	$	$,	_	0	root	_	_
19	daß	daß	K	KOUS	_	26	konj	_	_
20	Sie	sie	P	PPER	3|Pl|_|Nom	26	subj	904	904
21	nur	nur	A	ADV	_	25	adv	_	_
22	an	an	P	APPR	Acc	25	objp	_	_
23	einen	eine	A	ART	Indef|Masc|Acc|Sg	24	det	_	_
24	Gott	Gott	N	NN	Masc|Acc|Sg	22	pn	_	_
25	glauben	glauben	V	VVINF	_	26	aux	_	_
26	wollen	wollen	V	VMFIN	3|Pl|Pres|_	17	objc	_	_
27	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	904	904
3	kommen	kommen	V	VVFIN	3|Pl|Pres|_	1	cj	_	_
4	sich	sie	P	PRF	3|_|Dat	3	objd	_	_
5	wahrscheinlich	wahrscheinlich	A	ADJD	Pos|	3	adv	_	_
6	sehr	sehr	A	ADV	_	7	adv	_	_
7	aufgeklärt	aufgeklärt	A	ADJD	Pos|	3	adv	_	_
8	vor	vor	P	PTKVZ	_	3	avz	_	_
9	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	bitte	bitten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	994	994
4	Sie	sie	P	PPER	3|_|_|_	2	obja	904	904
5	,	,	$	$,	_	0	root	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	10	objd	_	_
7	eine	eine	A	ART	Indef|Fem|_|Sg	8	det	_	_
8	Frage	Frage	N	NN	Fem|_|Sg	10	obja	_	_
9	zu	zu	P	PTKZU	_	10	part	_	_
10	beantworten	beantworten	V	VVINF	_	2	obji	_	_
11	:	\:	$	$.	_	0	root	_	_
12	Können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	_
