1	Zwanzig	zwanzig	C	CARD	_	2	attr	_	_
15	Blumen	Blume	N	NN	Fem|_|Pl	14	pn	466	466
16	umwandeln	umwandeln	V	VVINF	_	9	aux	_	_
17	.	.	$	$.	_	0	root	_	_

1	Vor	vor	P	APPR	Dat	3	pp	_	_
2	Dir	du	P	PPER	2|Sg|_|Dat	1	pn	474	474
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	nichts	nichts	P	PIS	_|Nom|Sg	3	subj	_	_
5	sicher	sicher	A	ADJD	Pos|	3	pred	_	_
6	.	.	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jedenfalls	jedenfalls	A	ADV	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	8	s	_	_
6	Weller	Weller	N	NE	_|Nom|Sg	5	subj	242	242
7	»	»	$	$(	_	0	root	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
10	mir	ich	P	PPER	1|Sg|_|Dat	8	objd	343	343
11	nicht	nicht	P	PTKNEG	_	8	adv	_	_
12	unwahrscheinlich	unwahrscheinlich	A	ADJD	Pos|	8	pred	_	_
13	,	,	$	$,	_	0	root	_	_
14	daß	daß	K	KOUS	_	23	konj	_	_
15	die	die	A	ART	Def|Masc|Nom|Pl	16	det	_	_
16	Protuberanzen	Protuberanzen	N	NN	Masc|Nom|Pl	23	subj	_	_
17	der	die	A	ART	Def|Fem|Gen|Sg	18	det	231	231
18	Sonne	Sonne	N	NN	Fem|Gen|Sg	16	gmod	231	231
19	einen	eine	A	ART	Indef|Masc|Acc|Sg	22	det	_	_
20	gewissen	gewiss	A	ADJA	Pos|Masc|Acc|Sg|_|	22	attr	_	_
21	blumenartigen	blumenartig	A	ADJA	Pos|Masc|Acc|Sg|_|	22	attr	_	_
22	Charakter	Charakter	N	NN	Masc|Acc|Sg	23	obja	_	_
23	besitzen	besitzen	V	VVFIN	3|Pl|Pres|_	8	objc	_	_
24	;	;	$	$.	_	0	root	_	_
25	man	man	P	PIS	_|Nom|Sg	26	subj	_	_
26	spricht	sprechen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
27	ja	ja	A	ADV	_	26	adv	_	_
28	schon	schon	A	ADV	_	26	adv	_	_
29	so	so	A	ADV	_	30	adv	_	_
30	oft	oft	A	ADV	_	26	adv	_	_
31	von	von	P	APPR	Dat	26	pp	_	_
32	Protuberanzenwäldern	Protuberanzenwald	N	NN	Masc|Dat|Pl	31	pn	_	_
33	.	.	$	$.	_	0	root	_	_
34	«	«	$	$(	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	8	konj	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	8	subj	466	466
3	aber	aber	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	meine	meine	A	PPOSAT	Fem|Nom|Pl	6	det	343	343
6	Herrschaften	Herrschaft	N	NN	Fem|Nom|Pl	2	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	verlangen	verlangen	V	VVFIN	3|Pl|Pres|_	23	neb	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	20	konj	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	343	343
12	Ihnen	sie	P	PPER	3|Pl|_|Dat	19	objd	466	466
13	das	die	A	ART	Def|Neut|_|Sg	14	det	475	475
14	Aussehen	Aussehen	N	NN	Neut|_|Sg	19	obja	475	475
15	der	die	A	ART	Def|Fem|Gen|Pl	17	det	475	475
16	schwebenden	schwebend	A	ADJA	Pos|Fem|Gen|Pl|Wk|<PPRES	17	attr	475	475
17	Kometenblumen	Kometenblume	N	NN	Fem|Gen|Pl	14	gmod	475	475
18	genauer	genau	A	ADJD	Comp|	19	adv	_	_
19	schildern	schildern	V	VVINF	_	20	aux	_	_
20	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	8	objc	_	_
21	,	,	$	$,	_	0	root	_	_
22	so	so	A	ADV	_	23	adv	_	_
23	verlangen	verlangen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
24	Sie	sie	P	PPER	3|Pl|_|Nom	23	subj	466	466
25	von	von	P	APPR	Dat	23	pp	_	_
26	mir	ich	P	PPER	1|Sg|_|Dat	25	pn	343	343
27	,	,	$	$,	_	0	root	_	_
28	was	was	P	PRELS	Neut|_|Sg	32	obja	475	475
29	ich	ich	P	PPER	1|Sg|_|Nom	33	subj	343	343
30	Ihnen	sie	P	PPER	3|Pl|_|Dat	32	objd	466	466
31	nicht	nicht	P	PTKNEG	_	32	adv	_	_
32	geben	geben	V	VVINF	_	33	aux	_	_
33	kann	können	V	VMFIN	1|Sg|Pres|Ind	23	objc	_	_
34	.	.	$	$.	_	0	root	_	_

1	Würde	werden	V	VAFIN	3|Sg|Past|Subj	17	neb	_	_
2	mein	meine	A	PPOSAT	Masc|Nom|Sg	3	det	260	260
3	Freund	Freund	N	NN	Masc|Nom|Sg	1	subj	343)	343)
4	William	William	N	NE	Masc|Nom|Sg	3	app	260	260
5	gestattet	gestatten	V	VVPP	_	6	aux	_	_
6	haben	haben	V	VAINF	_	1	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	14	konj	_	_
9	man	man	P	PIS	_|Nom|Sg	14	subj	_	_
10	Photographieen	Photographieen	N	NN	_	14	obja	_	_
11	von	von	P	APPR	_	10	pp	_	_
12	seinen	seine	A	PPOSAT	Fem|_|Pl	13	det	260	260
13	Sachen	Sache	N	NN	Fem|_|Pl	11	pn	_	_
14	herstellte	herstellen	V	VVFIN	3|Sg|Past|_	5	objc	_	_
15	,	,	$	$,	_	0	root	_	_
16	so	so	A	ADV	_	17	adv	_	_
17	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
18	ja	ja	A	ADV	_	26	adv	_	_
19	alles	alle	P	PIS	Neut|Nom|Sg	17	subj	_	_
20	sehr	sehr	A	ADV	_	21	adv	_	_
21	einfach	einfach	A	ADJD	Pos|	26	adv	_	_
22	anschaulich	anschaulich	A	ADJD	Pos|	26	pred	_	_
23	in	in	P	APPR	Dat	26	pp	_	_
24	meinem	meine	A	PPOSAT	Masc|Dat|Sg	25	det	343	343
25	Vortrage	Vortrag	N	NN	Masc|Dat|Sg	23	pn	_	_
26	geworden	werden	V	VAPP	_	17	aux	_	_
27	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	_	_
2	Photographieen	Photographieen	N	NN	Fem|Nom|Sg	4	subj	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
5	Herr	Herr	N	NN	Masc|_|Sg	9	obja	242	242
6	Weller	Weller	N	NE	Masc|_|Sg	5	app	242	242
7	erst	erst	A	ADV	_	9	adv	_	_
8	dann	dann	A	ADV	_	9	adv	_	_
9	machen	machen	V	VVINF	_	10	obji	_	_
10	lassen	lassen	V	VVINF	_	4	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	wenn	wenn	K	KOUS	_	19	konj	_	_
13	ihn	er	P	PPER	3|Sg|Masc|Acc	18	obja	242	242
14	sämtliche	sämtliche	A	PIDAT	Masc|Nom|Pl	15	det	856	856
15	Millionäre	Millionär	N	NN	Masc|Nom|Pl	19	subj	856	856
16	des	die	A	ART	Def|Masc|Gen|Sg	17	det	856	856
17	Erdballs	Erdball	N	NN	Masc|Gen|Sg	15	gmod	856	856
18	besucht	besuchen	V	VVPP	_	19	aux	_	_
19	hätten	haben	V	VAFIN	3|Pl|Past|Subj	4	neb	_	_
20	-	-	$	$(	_	0	root	_	_
21	so	so	A	ADV	_	22	adv	_	_
22	sagte	sagen	V	VVFIN	3|Sg|Past|_	4	kon	_	_
23	er	er	P	PPER	3|Sg|Masc|Nom	22	subj	242	242
24	mir	ich	P	PPER	1|Sg|_|Dat	22	objd	343	343
25	öfters	öfters	A	ADV	_	22	adv	_	_
26	.	.	$	$.	_	0	root	_	_

1	Alle	alle	P	PIS	_|Nom|Pl	2	subj	_	_
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
3	aber	aber	A	ADV	_	6	adv	_	_
4	noch	noch	A	ADV	_	5	adv	_	_
5	nicht	nicht	P	PTKNEG	_	6	adv	_	_
6	dagewesen	dasein	V	VVPP	_	2	aux	_	_
7	-	-	$	$(	_	0	root	_	_
8	das	die	P	PDS	Neut|_|Sg	9	obja	_	_
9	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	2	kon	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	343	343
11	ganz	ganz	A	ADV	_	12	adv	_	_
12	genau	genau	A	ADJD	Pos|	9	adv	_	_
13	.	.	$	$.	_	0	root	_	_

1	William	William	N	NE	Masc|Nom|Sg	2	subj	260	260
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	eben	eben	A	ADV	_	2	adv	_	_
4	auch	auch	A	ADV	_	2	adv	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	_	_
6	Geschäftsmann	Geschäftsmann	N	NN	Masc|Nom|Sg	2	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	2	obja	_	_
2	nimmt	nehmen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	260	260
5	in	in	P	APPR	_	2	objp	_	_
6	Europa	Europa	N	NE	_|_|Sg	5	pn	102	102
7	übel	übel	A	ADJD	Pos|	2	adv	_	_
8	;	;	$	$.	_	0	root	_	_
9	da	da	A	ADV	_	10	adv	_	_
10	denkt	denken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
11	man	man	P	PIS	_|Nom|Sg	10	subj	_	_
12	immer	immer	A	ADV	_	10	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	daß	daß	K	KOUS	_	20	konj	_	_
15	alle	alle	A	PIDAT	Masc|Nom|Pl	16	det	_	_
16	Künstler	Künstler	N	NN	Masc|Nom|Pl	20	subj	_	_
17	Geld	Geld	N	NN	Neut|_|Sg	19	obja	365	365
18	nicht	nicht	P	PTKNEG	_	19	adv	_	_
19	gebrauchen	gebrauchen	V	VVINF	_	20	aux	_	_
20	können	können	V	VMFIN	3|Pl|Pres|_	10	objc	_	_
21	.	.	$	$.	_	0	root	_	_

1	William	William	N	NE	Masc|Nom|Sg	2	subj	260	260
2	braucht	brauchen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	trotzdem	trotzdem	P	PROAV	_	2	pp	_	_
5	sehr	sehr	A	ADV	_	6	adv	_	_
6	viel	viel	A	PIDAT	Neut|_|Sg	7	det	_	_
7	Geld	Geld	N	NN	Neut|_|Sg	2	obja	_	_
8	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	somit	somit	A	ADV	_	3	adv	_	_
3	kann	können	V	VMFIN	1|Sg|Pres|Ind	1	cj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	476	476
5	Ihnen	sie	P	PPER	3|Pl|_|Dat	12	objd	270	270
6	Photographieen	Photographieen	N	NN	_	12	obja	_	_
7	von	von	P	APPR	Dat	6	pp	_	_
8	den	die	A	ART	Def|Fem|Dat|Pl	9	det	282	282
9	Glasblumen	Glasblume	N	NN	Fem|Dat|Pl	7	pn	282	282
10	noch	noch	A	ADV	_	11	adv	_	_
11	nicht	nicht	P	PTKNEG	_	12	adv	_	_
12	vorlegen	vorlegen	V	VVINF	_	3	aux	_	_
13	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	476	476
2	würde	werden	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
3	nun	nun	A	ADV	_	6	adv	_	_
4	nichts	nichts	P	PIS	_	6	obja	_	_
5	dagegen	dagegen	P	PROAV	_	6	pp	_	_
6	haben	haben	V	VAINF	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	13	konj	_	_
9	wir	wir	P	PPER	1|Pl|_|Nom	13	subj	477	477
10	jetzt	jetzt	A	ADV	_	13	adv	_	_
11	etwas	etwas	A	PIAT	Neut|_|Sg	12	det	_	_
12	Abendbrot	Abendbrot	N	NN	Neut|_|Sg	13	obja	_	_
13	äßen	essen	V	VVFIN	1|Pl|Past|Subj	2	neb	_	_
14	,	,	$	$,	_	0	root	_	_
15	da	da	K	KOUS	_	23	konj	_	_
16	wir	wir	P	PPER	1|Pl|_|Nom	23	subj	477	477
17	sonst	sonst	A	ADV	_	23	adv	_	_
18	zu	zu	P	PTKA	_	19	adv	_	_
19	viel	viel	A	PIDAT	_|_|_	20	det	_	_
20	Bier	Bier	N	NN	_|_|_	23	obja	_	_
21	zu	zu	P	PTKA	_	22	adv	_	_
22	früh	früh	A	ADJD	Pos|	23	adv	_	_
23	trinken	trinken	V	VVFIN	1|Pl|Pres|_	13	neb	_	_
24	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	118	118
2	Gesellschaft	Gesellschaft	N	NN	Fem|Nom|Sg	3	subj	118	118
3	umringte	umringte	V	VVFIN	_|Sg|_|_	0	root	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	3	3
5	Baron	Baron	N	NN	Masc|Acc|Sg	3	obja	3	3
6	und	und	K	KON	_	3	kon	_	_
7	dankte	danken	V	VVFIN	_|Sg|Past|_	6	cj	_	_
8	ihm	er	P	PPER	3|Sg|_|Dat	7	objd	11	11
9	für	für	P	APPR	Acc	7	pp	_	_
10	seinen	seine	A	PPOSAT	Masc|Acc|Sg	11	det	3	3
11	Vortrag	Vortrag	N	NN	Masc|Acc|Sg	9	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	7	kon	_	_
14	die	die	A	ART	Def|Fem|Nom|Pl	15	det	100	100
15	Damen	Dame	N	NN	Fem|Nom|Pl	16	subj	100	100
16	wollten	wollen	V	VMFIN	3|Pl|Past|_	13	cj	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	18	det	478	478
18	Schluß	Schluß	N	NN	Masc|Acc|Sg	19	obja	478	478
19	wissen	wissen	V	VVINF	_	16	aux	_	_
20	;	;	$	$.	_	0	root	_	_
21	sie	sie	P	PPER	3|Pl|_|Nom	22	subj	100	100
22	interessierten	interessieren	V	VVFIN	3|Pl|Past|_	0	root	_	_
23	sich	sie	P	PRF	3|_|_	22	obja	_	_
24	alle	alle	P	PIS	_|_|_	22	adv	_	_
25	so	so	A	ADV	_	26	adv	_	_
26	lebhaft	lebhaft	A	ADJD	Pos|	22	adv	_	_
27	für	für	P	APPR	Acc	22	pp	_	_
28	Fräulein	Fräulein	N	NN	Neut|Acc|_	27	pn	292	292
29	Flora	Flora	N	NE	Neut|Acc|_	28	app	292	292
30	Mohr	Mohr	N	NE	Neut|Acc|_	29	app	292	292
31	-	-	$	$(	_	0	root	_	_
32	für	für	P	APPR	Acc	22	pp	_	_
33	ihre	ihre	A	PPOSAT	Fem|Acc|Sg	35	det	100	100
34	sonderbare	sonderbar	A	ADJA	Pos|Fem|Acc|Sg|_|	35	attr	_	_
35	Natürlichkeit	Natürlichkeit	N	NN	Fem|Acc|Sg	32	pn	_	_
36	und	und	K	KON	_	32	kon	_	_
37	für	für	P	APPR	Acc	36	cj	_	_
38	ihre	ihre	A	PPOSAT	Fem|Acc|Sg	40	det	100	100
39	sonderbare	sonderbar	A	ADJA	Pos|Fem|Acc|Sg|_|	40	attr	_	_
40	Ehrlichkeit	Ehrlichkeit	N	NN	Fem|Acc|Sg	37	pn	_	_
41	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	198	198
2	Baron	Baron	N	NN	Masc|Nom|Sg	4	subj	198	198
3	aber	aber	A	ADV	_	2	adv	198	198
4	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	lachend	lachen	A	ADJD	_|<PPRES	4	adv	_	_
6	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Den	die	A	ART	Def|Masc|Acc|Sg	3	det	478	478
3	Schluß	Schluß	N	NN	Masc|Acc|Sg	4	obja	478	478
4	erzähle	erzählen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	198	198
6	erst	erst	A	ADV	_	4	adv	_	_
7	nach	nach	P	APPR	Dat	4	pp	_	_
8	dem	die	A	ART	Def|Neut|Dat|Sg	9	det	479	479
9	Abendbrot	Abendbrot	N	NN	Neut|Dat|Sg	7	pn	479	479
10	,	,	$	$,	_	0	root	_	_
11	sonst	sonst	A	ADV	_	12	adv	_	_
12	hören	hören	V	VVFIN	3|Pl|Pres|_	4	kon	_	_
13	Sie	sie	P	PPER	3|Pl|_|Nom	12	subj	100	100
14	mir	ich	P	PPER	1|Sg|_|Dat	12	objd	198	198
15	nicht	nicht	P	PTKNEG	_	12	adv	_	_
16	mehr	mehr	A	ADV	_	15	adv	_	_
17	zu	zu	P	PTKVZ	_	12	avz	_	_
18	.	.	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	1	cj	_	_
4	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
5	sich	sie	P	PRF	3|_|_	6	obja	_	_
6	gedulden	gedulden	V	VVINF	_	3	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	aß	essen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	erst	erst	A	ADV	_	4	adv	_	_
4	Abendbrot	Abendbrot	N	NN	Neut|_|Sg	2	obja	_	_
5	.	.	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	4	pp	_	_
2	dem	die	A	ART	Def|Neut|Dat|Sg	3	det	479	479
3	Abendbrot	Abendbrot	N	NN	Neut|Dat|Sg	1	pn	479	479
4	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	480	480
6	Mond	Mond	N	NN	Masc|Nom|Sg	4	subj	480	480
7	über	über	P	APPR	Dat	4	pp	_	_
8	dem	die	A	ART	Def|Masc|Dat|Sg	10	det	234	234
9	Stillen	still	A	ADJA	Pos|Masc|Dat|Sg|Wk|	10	attr	234	234
10	Ozean	Ozean	N	NN	Masc|Dat|Sg	7	pn	234	234
11	auf	auf	P	PTKVZ	_	4	avz	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	4	kon	_	_
14	da	da	A	ADV	_	15	adv	_	_
15	wurden	werden	V	VAFIN	3|Pl|Past|Ind	13	cj	_	_
16	im	in	P	APPRART	Dat	23	pp	_	_
17	Park	Park	N	NN	Masc|Dat|Sg	16	pn	_	_
18	des	die	A	ART	Def|Masc|Gen|Sg	19	det	230	230
19	Ministers	Minister	N	NN	Masc|Gen|Sg	17	gmod	230	230
20	Mikamura	Mikamura	N	NE	Masc|Gen|Sg	19	app	230	230
21	alle	alle	A	PIDAT	Masc|Nom|Pl	22	det	_	_
22	Papierlampions	Papierlampion	N	NN	Masc|Nom|Pl	15	subj	_	_
23	angesteckt	anstecken	V	VVPP	_	15	aux	_	_
24	-	-	$	$(	_	0	root	_	_
25	und	und	K	KON	_	15	kon	_	_
26	da	da	A	ADV	_	27	adv	_	_
27	sagte	sagen	V	VVFIN	3|Sg|Past|_	25	cj	_	_
28	Münchhausen	Münchhausen	N	NE	Neut|Nom|Sg	27	subj	1	1
29	:	\:	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	4	adv	_	_
2	wie	wie	K	KOKOM	_	1	kom	_	_
3	jetzt	jetzt	A	ADV	_	2	cj	_	_
4	hier	hier	A	ADV	_	20	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	so	so	A	ADV	_	7	adv	_	_
