1	Sternheim	Sternheim	N	NN	Neut|_|Sg	0	root	541	541
1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	566	566
4	bleibe	bleiben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
5	leider	leider	A	ADV	_	4	adv	_	_
6	in	in	P	APPR	Dat	4	pp	_	_
7	allen	alle	A	PIDAT	Fem|Dat|Pl	8	det	567	567
8	Positionen	Position	N	NN	Fem|Dat|Pl	6	pn	567	567
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	10	det	395	395
10	Narr	Narr	N	NN	Masc|Nom|Sg	4	pred	395	395
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	wenn	wenn	K	KOUS	_	19	konj	_	_
14	Sie	sie	P	PPER	3|Pl|_|Nom	19	subj	567	567
15	mich	ich	P	PPER	1|Sg|_|Acc	19	obja	566	566
16	auch	auch	A	ADV	_	19	adv	_	_
17	so	so	A	ADV	_	18	adv	_	_
18	oft	oft	A	ADV	_	19	adv	_	_
19	umwenden	umwenden	V	VVFIN	3|Pl|Pres|_	12	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	als	als	K	KOKOM	_	0	root	_	_
22	einen	eine	A	ART	Indef|Masc|Acc|Sg	25	det	_	_
23	gut	gut	A	ADJD	Pos|	24	adv	_	_
24	gebratnen	gebratnen	A	ADJA	_|Masc|Acc|Sg|_	25	attr	_	_
25	Krammetsvogel	Krammetsvogel	N	NN	Masc|Acc|Sg	21	cj	_	_
26	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Haben	Haben	V	VAIMP	_	0	root	_	_
4	Sie	sie	P	PPER	3|_|_|Nom	9	subj	567	567
5	sich	sie	P	PRF	3|_|_	9	obja	_	_
6	auf	auf	P	APPR	_	9	objp	_	_
7	sonst	sonst	A	ADV	_	8	adv	_	_
8	nichts	nichts	P	PIS	_|_|_	6	pn	_	_
9	gelegt	legen	V	VVPP	_	3	neb	_	_
10	?	?	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	genug	genug	A	ADV	_	4	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	mein	meine	A	PPOSAT	Neut|_|Sg	9	det	_	_
8	schönes	schön	A	ADJA	Pos|Neut|_|Sg|St|	9	attr	_	_
9	Kind	Kind	N	NN	Neut|_|Sg	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	0	root	_	_
12	mehr	mehr	A	ADV	_	13	adv	_	_
13	als	als	K	KOKOM	_	11	cj	_	_
14	genug	genug	A	ADV	_	13	cj	_	_
15	.	.	$	$.	_	0	root	_	_

1	O	O	N	NN	Neut|_|_	0	root	44	44
2	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	sein	seine	A	PPOSAT	Neut|_|Sg	6	det	0	0
5	ganzes	ganz	A	ADJA	Pos|Neut|_|Sg|St|	6	attr	_	_
6	Leben	Leben	N	NN	Neut|_|Sg	8	obja	_	_
7	zu	zu	P	PTKZU	_	8	part	_	_
8	studieren	studieren	V	VVINF	_	3	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	um	um	K	KOUI	_	18	konj	_	_
11	es	es	P	PPER	3|Sg|Neut|_	18	obja	_	_
12	darin	darin	P	PROAV	_	18	pp	_	_
13	zu	zu	P	APPR	Dat	18	objp	_	_
14	einer	eine	A	ART	Indef|Fem|Dat|Sg	16	det	_	_
15	gewissen	gewiss	A	ADJA	Pos|Fem|Dat|Sg|Wk|	16	attr	_	_
16	Vollkommenheit	Vollkommenheit	N	NN	Fem|Dat|Sg	13	pn	_	_
17	zu	zu	P	PTKZU	_	18	part	_	_
18	bringen	bringen	V	VVINF	_	8	neb	_	_
19	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	doch	doch	A	ADV	_	4	adv	_	_
6	schade	schade	A	ADJD	Pos|	4	pred	_	_
7	um	um	P	APPR	Acc	4	pp	_	_
8	Ihre	ihre	A	PPOSAT	Fem|Acc|Sg	10	det	564	564
9	hübsche	hübsch	A	ADJA	Pos|Fem|Acc|Sg|_|	10	attr	_	_
10	Person	Person	N	NN	Fem|Acc|Sg	7	pn	_	_
11	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	568	568
4	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
5	schon	schon	A	ADV	_	4	adv	_	_
6	vor	vor	P	APPR	Dat	4	pp	_	_
7	meiner	meine	A	PPOSAT	Fem|Dat|Sg	8	det	568	568
8	Geburt	Geburt	N	NN	Fem|Dat|Sg	6	pn	1002	1002
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	10	det	395	395
10	Narr	Narr	N	NN	Masc|Nom|Sg	4	pred	395	395
11	,	,	$	$,	_	0	root	395	395
12	sonst	sonst	A	ADV	_	13	adv	395	395
13	hätte	haben	V	VAFIN	3|Sg|Past|Subj	10	par	395	395
14	sich	sie	P	PRF	3|_|Dat	21	objd	395	395
15	meine	meine	A	PPOSAT	Fem|Nom|Sg	17	det	568	568
16	unsterbliche	unsterblich	A	ADJA	Pos|Fem|Nom|Sg|_|	17	attr	_	_
17	Seele	Seele	N	NN	Fem|Nom|Sg	13	subj	_	_
18	gewiß	gewiß	A	ADJD	Pos|	20	adv	_	_
19	nicht	nicht	P	PTKNEG	_	20	adv	_	_
20	bereden	bereden	V	VVINF	_	21	obji	_	_
21	lassen	lassen	V	VVINF	_	13	aux	_	_
22	,	,	$	$,	_	0	root	_	_
23	in	in	P	APPR	Acc	28	pp	_	_
24	diesen	diese	A	PDAT	Masc|Acc|Sg	26	det	_	_
25	sterblichen	sterblich	A	ADJA	Pos|Masc|Acc|Sg|_|	26	attr	_	_
26	Körper	Körper	N	NN	Masc|Acc|Sg	23	pn	_	_
27	zu	zu	P	PTKZU	_	28	part	_	_
28	kriechen	kriechen	V	VVINF	_	21	obji	_	_
29	,	,	$	$,	_	0	root	_	_
30	und	und	K	KON	_	10	kon	_	_
31	darin	darin	P	PROAV	_	35	pp	_	_
32	ein	eine	A	ART	Indef|Neut|Nom|Sg	35	det	_	_
33	so	so	A	ADV	_	34	adv	_	_
34	kauderwelsches	kauderwelsches	A	ADJA	_|Neut|Nom|Sg|_	35	attr	_	_
35	Leben	Leben	N	NN	Neut|Nom|Sg	30	cj	_	_
36	zu	zu	P	PTKZU	_	37	part	_	_
37	führen	führen	V	VVINF	_	4	obji	_	_
38	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	569	569
4	drücken	drücken	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	sehr	sehr	A	ADV	_	7	adv	_	_
7	angenehm	angenehm	A	ADJD	Pos|	4	adv	_	_
8	aus	aus	P	PTKVZ	_	4	avz	_	_
9	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	570	570
4	schüttle	schütteln	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
5	die	die	A	ART	Def|Neut|_|Pl	6	det	_	_
6	Worte	Wort	N	NN	Neut|_|Pl	4	obja	_	_
7	zwischen	zwischen	P	APPR	Dat	6	pp	_	_
8	den	die	A	ART	Def|Masc|Dat|Pl	9	det	_	_
9	Zähnen	Zahn	N	NN	Masc|Dat|Pl	7	pn	_	_
10	herum	herum	P	PTKVZ	_	4	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	4	kon	_	_
13	werfe	werfen	V	VVFIN	3|Sg|Pres|Subj	12	cj	_	_
14	sie	sie	P	PPER	3|Sg|Fem|Nom	13	subj	564	564
15	dann	dann	A	ADV	_	13	adv	_	_
16	dreist	dreist	A	ADJD	Pos|	13	adv	_	_
17	und	und	K	KON	_	16	kon	_	_
18	gleichgültig	gleichgültig	A	ADJD	Pos|	17	cj	_	_
19	wie	wie	K	KOKOM	_	13	kom	_	_
20	Würfel	Würfel	N	NN	Masc|_|_	19	cj	_	_
21	heraus	heraus	P	PTKVZ	_	13	avz	_	_
22	.	.	$	$.	_	0	root	_	_

1	Glauben	glauben	V	VVFIN	3|Pl|Pres|_	17	neb	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	569	569
3	mir	ich	P	PPER	1|Sg|_|Dat	1	objd	570	570
4	,	,	$	$,	_	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|_	6	expl	_	_
6	gerät	geraten	V	VVFIN	3|Sg|Pres|Ind	1	s	_	_
7	dem	die	A	ART	Def|Masc|Dat|Sg	8	det	158	158
8	Menschen	Mensch	N	NN	Masc|Dat|Sg	6	objd	158	158
9	selten	selten	A	ADJD	Pos|	6	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	alle	alle	A	PIDAT	_|_|Pl	12	det	_	_
12	sechse	sechs	C	CARD	_|_|_	14	obja	_	_
13	zu	zu	P	PTKZU	_	14	part	_	_
14	werfen	werfen	V	VVINF	_	6	obji	_	_
15	,	,	$	$,	_	0	root	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	158	158
17	mag	mögen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
18	nun	nun	A	ADV	_	17	adv	_	_
19	besonnen	besinnen	V	VVPP	_	17	neb	_	_
20	oder	oder	K	KON	_	0	root	_	_
21	unbesonnen	unbesonnen	A	ADJD	Pos|	22	adv	_	_
22	spielen	spielen	V	VVINF	_	20	cj	_	_
23	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	569	569
4	sprechen	sprechen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	klüger	klug	A	ADJD	Comp|	4	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	als	als	K	KOKOM	_	0	root	_	_
8	Ihr	ihre	A	PPOSAT	Masc|Nom|Sg	9	det	93	93
9	Herr	Herr	N	NN	Masc|Nom|Sg	7	cj	93	93
10	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Und	und	K	KON	_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	5	subj	569	569
5	gefallen	gefallen	V	VVFIN	3|Pl|Pres|_	3	cj	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	571	571
7	mehr	mehr	A	ADV	_	8	adv	_	_
8	als	als	K	KOKOM	_	5	kom	_	_
9	Ihre	ihre	A	PPOSAT	Fem|_|Sg	10	det	569	569
10	Gebieterin	Gebieterin	N	NN	Fem|_|Sg	8	cj	_	_
11	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	571	571
4	glaube	glauben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Sie	sie	P	PPER	3|Pl|_|Nom	7	subj	569	569
7	müßten	müssen	V	VMFIN	3|Pl|Past|Subj	4	s	_	_
8	sich	sie	P	PRF	3|_|_	10	obja	_	_
9	noch	noch	A	ADV	_	10	adv	_	_
10	bessern	bessern	V	VVINF	_	11	aux	_	_
11	können	können	V	VMINF	_	7	aux	_	_
12	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	571	571
4	glaube	glauben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	571	571
7	würde	werden	V	VAFIN	1|Sg|Past|Subj	4	s	_	_
8	Sie	sie	P	PPER	3|_|_|_	9	obja	569	569
9	lieben	lieben	V	VVINF	_	10	obji	_	_
10	lernen	lernen	V	VVINF	_	7	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	569	569
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
5	schon	schon	A	ADV	_	4	adv	_	_
6	auf	auf	P	APPR	Dat	4	pp	_	_
7	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	_	_
8	bessern	bessern	A	ADJA	_|Masc|Dat|Sg|_	9	attr	_	_
9	Wege	Weg	N	NN	Masc|Dat|Sg	6	pn	_	_
10	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Und	und	K	KON	_	0	root	_	_
4	doch	doch	A	ADV	_	5	adv	_	_
5	fang	fang	V	VVFIN	1|Sg|_|_	3	cj	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	572	572
7	nur	nur	A	ADV	_	5	adv	_	_
8	an	an	P	PTKVZ	_	5	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	ein	eine	A	ART	Indef|Masc|Nom|Sg	13	det	395	395
11	noch	noch	A	ADV	_	12	adv	395	395
12	größerer	groß	A	ADJA	Comp|Masc|Nom|Sg|St|	13	attr	395	395
13	Narr	Narr	N	NN	Masc|Nom|Sg	15	pred	395	395
14	zu	zu	P	PTKZU	_	15	part	_	_
15	werden	werden	V	VAINF	_	5	obji	_	_
16	;	;	$	$.	_	0	root	_	_
17	o	o	F	FM	_	0	root	_	_
18	wenn	wenn	K	KOUS	_	26	konj	_	_
19	Sie	sie	P	PPER	3|Pl|_|Nom	26	subj	569	569
20	mich	ich	P	PPER	1|Sg|_|Acc	25	obja	572	572
21	in	in	P	APPR	Dat	25	pp	_	_
22	meiner	meine	A	PPOSAT	Fem|Dat|Sg	24	det	572	572
23	allerhöchsten	allerhoch	A	ADJA	Sup|Fem|Dat|Sg|Wk|	24	attr	_	_
24	Raserei	Raserei	N	NN	Fem|Dat|Sg	21	pn	_	_
25	sehen	sehen	V	VVINF	_	26	aux	_	_
26	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	Sie	sie	P	PPER	3|Pl|_|Nom	29	subj	569	569
29	würden	werden	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
30	entzückt	entzücken	V	VVPP	_	31	aux	_	_
31	sein	sein	V	VAINF	_	29	aux	_	_
32	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	572	572
4	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|_	8	obja	_	_
6	schon	schon	A	ADV	_	8	adv	_	_
7	darauf	darauf	P	PROAV	_	8	objp	_	_
8	wagen	wagen	V	VVINF	_	4	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Was	was	P	PWS	Neut|_|Sg	4	obja	_	_
4	meinen	meinen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	zum	zu	P	APPRART	Dat	4	pp	_	_
8	Exempel	Exempel	N	NN	Neut|Dat|Sg	7	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	von	von	P	APPR	_	8	pp	_	_
11	der	die	A	ART	Def|Fem|_|Sg	12	det	_	_
12	Anbetung	Anbetung	N	NN	Fem|_|Sg	10	pn	_	_
13	?	?	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Wen	Wen	F	FM	_|Nom|Pl	4	subj	_	_
4	wollen	wollen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
5	Sie	sie	P	PPER	3|_|_|_	6	obja	564	564
6	anbeten	anbeten	V	VVINF	_	4	aux	_	_
7	?	?	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|_|_|_	0	root	564	564
4	,	,	$	$,	_	0	root	_	_
5	meine	meine	A	PPOSAT	Fem|_|Sg	6	det	573	573
6	Göttin	Göttin	N	NN	Fem|_|Sg	3	app	_	_
7	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	O	O	N	NN	Neut|_|_	0	root	44	44
4	mein	meine	A	PPOSAT	Masc|Nom|Sg	5	det	93	93
5	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	93	93
6	,	,	$	$,	_	0	root	_	_
7	für	für	P	APPR	Acc	10	pp	_	_
8	eine	eine	A	ART	Indef|Fem|Acc|Sg	9	det	_	_
9	Göttin	Göttin	N	NN	Fem|Acc|Sg	7	pn	_	_
10	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	573	573
12	wohl	wohl	A	ADV	_	10	adv	_	_
13	etwas	etwas	A	ADV	_	15	adv	_	_
14	zu	zu	P	PTKA	_	15	adv	_	_
15	schlecht	schlecht	A	ADJD	Pos|	10	pred	_	_
16	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Im	in	P	APPRART	Dat	0	root	_	_
4	Gegenteil	Gegenteil	N	NN	_|_|Sg	3	pn	_	_
5	,	,	$	$,	_	0	root	_	_
6	Allerglorreichste	Allerglorreichste	N	NN	_|_|_	4	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	viel	viel	A	ADV	_	10	adv	_	_
9	zu	zu	P	PTKA	_	10	adv	_	_
10	gut	gut	A	ADJD	Pos|	3	kon	_	_
11	;	;	$	$.	_	0	root	_	_
12	man	man	P	PIS	_|Nom|Sg	13	subj	_	_
13	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
14	in	in	P	APPR	Dat	20	pp	_	_
15	unsern	unsre	A	PPOSAT	_|Dat|_	16	det	_	_
16	Tagen	Tag	N	NN	_|Dat|_	14	pn	_	_
17	fast	fast	A	ADV	_	18	adv	_	_
18	nichts	nichts	A	PIAT	Neut|Nom|Sg	19	det	_	_
19	Erbärmlicheres	Erbärmlicheres	N	NN	Neut|Nom|Sg	20	pred	_	_
20	sein	sein	V	VAINF	_	13	aux	_	_
21	,	,	$	$,	_	0	root	_	_
22	als	als	K	KOKOM	_	0	root	_	_
23	eine	eine	A	ART	Indef|Fem|_|Sg	24	det	_	_
24	Göttin	Göttin	N	NN	Fem|_|Sg	22	cj	_	_
25	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Wie	Wie	P	PWAV	_	4	adv	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
6	gekommen	kommen	V	VVPP	_	4	aux	_	_
7	?	?	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	P	PDS	Neut|_|Sg	9	obja	_	_
4	müssen	müssen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
5	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	_	_
6	die	die	A	ART	Def|_|_|Pl	8	det	_	_
7	weisen	weise	A	ADJA	Pos|_|_|Pl|Wk|	8	attr	_	_
8	Leute	Leute	N	NN	_|_|Pl	9	obja	_	_
9	fragen	fragen	V	VVINF	_	4	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	575	575
12	darf	dürfen	V	VMFIN	1|Sg|Pres|Ind	4	kon	_	_
13	das	die	A	ART	Def|Neut|_|Sg	14	det	_	_
14	Geheimnis	Geheimnis	N	NN	Neut|_|Sg	16	obja	_	_
