1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
16	Beispiel	Beispiel	N	NN	Neut|Dat|Sg	15	pn	471	471
17	das	die	A	ART	Def|Neut|_|Sg	18	det	_	_
18	Kaninchen	Kaninchen	N	NN	Neut|_|Sg	22	obja	_	_
19	aus	aus	P	APPR	Dat	18	pp	_	_
20	der	die	A	ART	Def|Fem|Dat|Sg	21	det	_	_
21	Tasche	Tasche	N	NN	Fem|Dat|Sg	19	pn	_	_
22	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	24	neb	_	_
23	,	,	$	$,	_	0	root	_	_
24	hob	heben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
25	er	er	P	PPER	3|Sg|Masc|Nom	24	subj	470	470
26	es	es	P	PPER	3|Sg|Neut|_	24	obja	_	_
27	jederzeit	jederzeit	A	ADV	_	24	adv	_	_
28	bei	bei	P	APPR	Dat	24	pp	_	_
29	den	die	A	ART	Def|Neut|Dat|Pl	30	det	472	472
30	Ohren	Ohr	N	NN	Neut|Dat|Pl	28	pn	472	472
31	-	-	$	$(	_	0	root	_	_
32	es	es	P	PPER	3|Sg|Neut|Nom	33	subj	_	_
33	stand	stehen	V	VVFIN	3|Sg|Past|Ind	24	kon	_	_
34	ihm	er	P	PPER	3|Sg|_|Dat	33	objd	470	470
35	nicht	nicht	P	PTKNEG	_	36	adv	_	_
36	vorgeschrieben	vorschreiben	V	VVPP	_	33	neb	_	_
37	;	;	$	$.	_	0	root	_	_
38	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
39	Sie	sie	P	PPER	3|Pl|_|Nom	38	subj	472	472
40	wohl	wohl	A	ADV	_	41	adv	_	_
41	bemerkt	bemerken	V	VVPP	_	38	aux	_	_
42	,	,	$	$,	_	0	root	_	_
43	wie	wie	P	PWAV	_	51	adv	_	_
44	es	es	P	PPER	3|Sg|Neut|_	51	obja	_	_
45	der	die	A	ART	Def|Masc|Nom|Sg	46	det	102	102
46	König	König	N	NN	Masc|Nom|Sg	51	subj	102	102
47	sogleich	sogleich	A	ADV	_	51	adv	_	_
48	an	an	P	APPR	Acc	51	pp	_	_
49	den	die	A	ART	Def|Masc|Acc|Sg	50	det	473	473
50	Leib	Leib	N	NN	Masc|Acc|Sg	48	pn	473	473
51	packte	packen	V	VVFIN	3|Sg|Past|_	41	objc	_	_
52	?	?	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
3	hält	halten	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
4	diese	diese	A	PDAT	Neut|_|Pl	5	det	95	95
5	Tiere	Tier	N	NN	Neut|_|Pl	3	obja	95	95
6	bei	bei	P	APPR	Dat	3	pp	_	_
7	den	die	A	ART	Def|Neut|Dat|Pl	8	det	472	472
8	Ohren	Ohr	N	NN	Neut|Dat|Pl	6	pn	472	472
9	,	,	$	$,	_	0	root	_	_
10	weil	weil	K	KOUS	_	17	konj	_	_
11	sie	sie	P	PPER	3|Pl|_|Nom	17	subj	95	95
12	es	es	P	PPER	3|Sg|Neut|_	16	obja	_	_
13	dort	dort	A	ADV	_	16	adv	_	_
14	am	am	P	PTKA	_	15	adv	_	_
15	besten	besten	A	ADJD	_	16	adv	_	_
16	vertragen	vertragen	V	VVINF	_	17	aux	_	_
17	können	können	V	VMFIN	3|Pl|Pres|_	3	neb	_	_
18	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	0	root	_	_
2	nenn	nenn	V	VVFIN	1|Sg|_|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	474	474
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	_	_
5	Meister	Meister	N	NN	Masc|Acc|Sg	2	obja	_	_
6	!	!	$	$.	_	0	root	_	_

1	Müller	Müller	N	NE	_	0	root	3	3
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	sehr	sehr	A	ADV	_	6	adv	_	_
6	schön	schön	A	ADJD	Pos|	7	adv	_	_
7	auseinandergesetzt	auseinandersetzen	V	VVPP	_	4	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	,	,	$	$,	_	0	root	_	_
3	heimlich	heimlich	A	ADJD	Pos|	0	root	_	_
4	:	\:	$	$.	_	0	root	_	_
5	Man	man	P	PIS	_|Nom|Sg	6	subj	_	_
6	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
7	ihn	er	P	PPER	3|Sg|Masc|Acc	13	obja	1	1
8	selbst	selbst	A	ADV	_	13	adv	_	_
9	dafür	dafür	P	PROAV	_	13	pp	_	_
10	bei	bei	P	APPR	Dat	13	pp	_	_
11	den	die	A	ART	Def|Neut|Dat|Pl	12	det	472	472
12	Ohren	Ohr	N	NN	Neut|Dat|Pl	10	pn	472	472
13	nehmen	nehmen	V	VVINF	_	6	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	Bötticher	Bötticher	N	NE	_	0	root	36	36
2	:	\:	$	$.	_	0	root	_	_
3	Und	und	K	KON	_	0	root	_	_
4	die	die	A	ART	Def|Fem|_|Sg	5	det	475	475
5	Angst	Angst	N	NN	Fem|_|Sg	3	cj	475	475
6	,	,	$	$,	_	0	root	_	_
7	als	als	K	KOUS	_	14	konj	_	_
8	ihm	er	P	PPER	3|Sg|_|Dat	14	objd	36	36
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	476	476
10	Adler	Adler	N	NN	Masc|Nom|Sg	14	subj	476	476
11	auf	auf	P	APPR	Dat	14	pp	_	_
12	dem	die	A	ART	Def|Masc|Dat|Sg	13	det	111	111
13	Kopfe	Kopf	N	NN	Masc|Dat|Sg	11	pn	111	111
14	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
15	!	!	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	9	adv	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	476	476
3	sich	sie	P	PRF	3|_|_	9	obja	_	_
4	aus	aus	P	APPR	Dat	9	pp	_	_
5	Furcht	Furcht	N	NN	Fem|Dat|Sg	4	pn	692	692
6	so	so	A	ADV	_	7	adv	_	_
7	gar	gar	A	ADV	_	8	adv	_	_
8	nicht	nicht	P	PTKNEG	_	9	adv	_	_
9	bewegte	bewegen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	sich	sie	P	PRF	3|_|_	13	obja	_	_
12	weder	weder	K	KON	_	13	kon	_	_
13	rührte	rühren	V	VVFIN	_|Sg|Past|_	9	kon	_	_
14	noch	noch	K	KON	_	13	kon	_	_
15	regte	regen	V	VVFIN	_|Sg|Past|_	14	cj	_	_
16	-	-	$	$(	_	0	root	_	_
17	nein	nein	P	PTKANT	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	eine	eine	A	ART	Indef|Fem|Nom|Sg	22	det	780	780
20	solche	solche	A	PIDAT	Fem|Nom|Sg	22	attr	780	780
21	vollendete	vollendet	A	ADJA	Pos|Fem|Nom|Sg|_|	22	attr	780	780
22	Kunst	Kunst	N	NN	Fem|Nom|Sg	23	subj	780	780
23	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
24	keine	keine	A	PIAT	Fem|_|Sg	25	det	_	_
25	Beschreibung	Beschreibung	N	NN	Fem|_|Sg	26	obja	_	_
26	ausdrücken	ausdrücken	V	VVINF	_	23	aux	_	_
27	.	.	$	$.	_	0	root	_	_

1	Müller	Müller	N	NE	_	0	root	3	3
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	477	477
4	gehen	gehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	sehr	sehr	A	ADV	_	6	adv	_	_
6	gründlich	gründlich	A	ADJD	Pos|	4	adv	_	_
7	.	.	$	$.	_	0	root	_	_

1	Bötticher	Bötticher	N	NE	_	0	root	36	36
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	382	382
4	schmeichle	schmeicheln	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
5	mir	ich	P	PRF	1|Sg|Dat	4	objd	_	_
6	,	,	$	$,	_	0	root	_	_
7	nur	nur	A	ADV	_	0	root	_	_
8	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
9	klein	klein	A	ADJD	Pos|	13	adv	_	_
10	wenig	wenig	A	PIDAT	Masc|Nom|_	11	det	_	_
11	Kenner	Kenner	N	NN	Masc|Nom|_	13	pred	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	sein	sein	V	VAINF	_	0	root	_	_
14	;	;	$	$.	_	0	root	_	_
15	das	die	P	PDS	Neut|Nom|Sg	16	subj	_	_
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
17	freilich	freilich	A	ADV	_	16	adv	_	_
18	mit	mit	P	APPR	Dat	16	pp	_	_
19	Ihnen	sie	P	PPER	3|Pl|_|Dat	18	pn	477	477
20	allen	alle	P	PIS	_|Dat|Pl	19	app	_	_
21	nicht	nicht	P	PTKNEG	_	16	adv	_	_
22	der	die	A	ART	Def|Masc|Nom|Sg	23	det	478	478
23	Fall	Fall	N	NN	Masc|Nom|Sg	16	pred	478	478
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	16	kon	_	_
26	darum	darum	P	PROAV	_	27	pp	_	_
27	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	25	cj	_	_
28	man	man	P	PIS	_|Nom|Sg	27	subj	_	_
29	es	es	P	PPER	3|Sg|Neut|_	27	obja	_	_
30	Ihnen	sie	P	PPER	3|Pl|_|Dat	27	objd	477	477
31	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
32	wenig	wenig	A	ADV	_	0	root	_	_
33	entwickeln	entwickeln	V	VVINF	_	0	root	_	_
34	.	.	$	$.	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	477	477
4	geben	geben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	sich	sie	P	PRF	3|_|Dat	4	objd	_	_
6	viele	viele	A	PIDAT	Fem|_|Sg	7	det	_	_
7	Mühe	Mühe	N	NN	Fem|_|Sg	4	obja	_	_
8	.	.	$	$.	_	0	root	_	_

1	Bötticher	Bötticher	N	NE	_	0	root	36	36
2	:	\:	$	$.	_	0	root	_	_
3	Wenn	wenn	K	KOUS	_	8	konj	_	_
4	man	man	P	PIS	_|Nom|Sg	8	subj	_	_
5	die	die	A	ART	Def|Fem|_|Sg	6	det	479	479
6	Kunst	Kunst	N	NN	Fem|_|Sg	8	obja	479	479
7	so	so	A	ADV	_	8	adv	_	_
8	liebt	lieben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	wie	wie	P	PWAV	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	0	root	480	480
12	,	,	$	$,	_	0	root	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	das	die	P	PDS	Neut|Nom|Sg	13	subj	_	_
15	eine	eine	A	ART	Indef|Fem|Nom|Sg	17	det	_	_
16	angenehme	angenehm	A	ADJA	Pos|Fem|Nom|Sg|_|	17	attr	_	_
17	Mühe	Mühe	N	NN	Fem|Nom|Sg	13	pred	_	_
18	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Mir	ich	P	PPER	1|Sg|_|Dat	15	objd	480	480
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	auch	auch	A	ADV	_	15	adv	_	_
5	jetzt	jetzt	A	ADV	_	15	adv	_	_
6	über	über	P	APPR	Acc	15	pp	_	_
7	die	die	A	ART	Def|_|_|_	8	det	_	_
8	Stiefeln	Stiefel	N	NN	_|Acc|_	6	pn	_	_
9	des	die	A	ART	Def|Masc|Gen|Sg	10	det	23	23
10	Katers	Kater	N	NN	Masc|Gen|Sg	8	gmod	23	23
11	ein	eine	A	ART	Indef|Masc|Nom|Sg	14	det	_	_
12	sehr	sehr	A	ADV	_	13	adv	_	_
13	scharfsinniger	scharfsinnig	A	ADJA	Pos|Masc|Nom|Sg|St|	14	attr	_	_
14	Gedanke	Gedanke	N	NN	Masc|Nom|Sg	3	subj	_	_
15	eingefallen	einfallen	V	VVPP	_	3	aux	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	3	kon	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	480	480
19	bewundre	bewundern	V	VVFIN	1|Sg|Pres|Ind	17	cj	_	_
20	darin	darin	P	PROAV	_	19	pp	_	_
21	das	die	A	ART	Def|Neut|_|Sg	22	det	481	481
22	Genie	Genie	N	NN	Neut|_|Sg	19	obja	481	481
23	des	die	A	ART	Def|Masc|Gen|Sg	24	det	470	470
24	Schauspielers	Schauspieler	N	NN	Masc|Gen|Sg	22	gmod	470	470
25	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Sehn	sehnen	V	VVIMP	Sg	0	root	_	_
3	Sie	sie	P	PPER	3|_|_|_	2	obja	481	481
4	,	,	$	$,	_	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	470	470
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	anfangs	anfangs	A	ADV	_	6	adv	_	_
8	Kater	Kater	N	NN	Masc|Nom|_	6	pred	482	482
9	,	,	$	$,	_	0	root	_	_
10	deshalb	deshalb	P	PROAV	_	11	pp	_	_
11	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	6	kon	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	470	470
13	seine	seine	A	PPOSAT	_|_|Sg	15	det	470	470
14	natürliche	natürlich	A	ADJA	Pos|_|_|Sg|_|	15	attr	_	_
15	Kleidung	Kleidung	N	NN	_|_|Sg	16	obja	_	_
16	ablegen	ablegen	V	VVINF	_	11	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	um	um	K	KOUI	_	25	konj	_	_
19	die	die	A	ART	Def|Fem|_|Sg	21	det	_	_
20	passende	passend	A	ADJA	Pos|Fem|_|Sg|_|_	21	attr	_	_
21	Maske	Maske	N	NN	Fem|_|Sg	25	obja	_	_
22	einer	eine	A	ART	Indef|Fem|Gen|Sg	23	det	_	_
23	Katze	Katze	N	NN	Fem|Gen|Sg	21	gmod	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	nehmen	nehmen	V	VVINF	_	11	neb	_	_
26	;	;	$	$.	_	0	root	_	_
27	jetzt	jetzt	A	ADV	_	28	adv	_	_
28	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
29	er	er	P	PPER	3|Sg|Masc|Nom	28	subj	470	470
30	nun	nun	A	ADV	_	35	adv	_	_
31	wieder	wieder	A	ADV	_	35	adv	_	_
32	ganz	ganz	A	ADV	_	33	adv	_	_
33	als	als	K	KOKOM	_	35	kom	_	_
34	Jäger	Jäger	N	NN	Masc|_|_	33	cj	364	364
35	erscheinen	erscheinen	V	VVINF	_	28	aux	_	_
36	(	(	$	$(	_	0	root	_	_
37	dies	dies	P	PDS	Neut|_|Sg	0	root	_	_
38	schließe	schließen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
39	ich	ich	P	PPER	1|Sg|_|Nom	38	subj	480	480
40	daraus	daraus	P	PROAV	_	38	pp	_	_
41	,	,	$	$,	_	0	root	_	_
42	daß	daß	K	KOUS	_	46	konj	_	_
43	ihn	er	P	PPER	3|Sg|Masc|Acc	46	obja	470	470
44	jeder	jede	P	PIS	Masc|Nom|Sg	46	subj	_	_
45	so	so	A	ADV	_	46	adv	_	_
46	nennt	nennen	V	VVFIN	3|Sg|Pres|Ind	40	objc	_	_
47	,	,	$	$,	_	0	root	_	_
48	sich	sie	P	PRF	3|_|_	38	obja	_	_
49	auch	auch	A	ADV	_	38	adv	_	_
50	kein	keine	A	PIAT	_|Nom|Sg	51	det	_	_
51	Mensch	Mensch	N	NN	_|Nom|Sg	54	subj	_	_
52	über	über	P	APPR	Acc	51	pp	_	_
53	ihn	er	P	PPER	3|Sg|Masc|Acc	52	pn	470	470
54	verwundert	verwundern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
55	)	)	$	$(	_	0	root	_	_
56	,	,	$	$,	_	0	root	_	_
57	ein	eine	A	ART	Indef|Masc|Nom|Sg	59	det	484	484
58	ungeschickter	ungeschickt	A	ADJA	Pos|Masc|Nom|Sg|St|	59	attr	484	484
59	Schauspieler	Schauspieler	N	NN	Masc|Nom|Sg	60	subj	484	484
60	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
61	sich	sie	P	PRF	3|_|_	67	obja	_	_
62	auch	auch	A	ADV	_	67	adv	_	_
63	gewiß	gewiß	A	ADJD	Pos|	67	adv	_	_
64	in	in	P	APPR	Acc	67	objp	_	_
65	einen	eine	A	ART	Indef|Masc|Acc|Sg	66	det	_	_
66	Jagdhabit	Jagdhabit	N	NN	Masc|Acc|Sg	64	pn	_	_
67	geworfen	werfen	V	VVPP	_	68	aux	_	_
68	haben	haben	V	VAINF	_	60	aux	_	_
69	:	\:	$	$.	_	0	root	_	_
70	-	-	$	$(	_	0	root	_	_
71	aber	aber	K	KON	_	69	par	_	_
72	-	-	$	$(	_	0	root	_	_
73	wie	wie	K	KOKOM	_	0	root	_	_
74	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
75	es	es	P	PPER	3|Sg|Neut|Nom	74	subj	_	_
76	um	um	P	APPR	Acc	74	pp	_	_
77	unsre	unsre	A	PPOSAT	Fem|Acc|Sg	78	det	483	483
78	Illusion	Illusion	N	NN	Fem|Acc|Sg	76	pn	_	_
79	aussehn	aussehn	N	NE	Fem|Acc|Sg	78	app	_	_
80	?	?	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	483	483
2	hätten	haben	V	VAFIN	1|Pl|Past|Subj	0	root	_	_
3	vielleicht	vielleicht	A	ADV	_	5	adv	_	_
4	darüber	darüber	P	PROAV	_	5	pp	_	_
5	vergessen	veressen	V	VVPP	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	14	konj	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	484	484
9	doch	doch	A	ADV	_	14	adv	_	_
10	im	in	P	APPRART	Dat	14	pp	_	_
11	Grunde	Grund	N	NN	Masc|Dat|Sg	10	pn	_	_
12	ein	eine	A	ART	Indef|Masc|Nom|Sg	13	det	_	_
13	Kater	Kater	N	NN	Masc|Nom|Sg	14	pred	_	_
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	5	objc	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	0	root	_	_
17	wie	wie	P	PWAV	_	19	adv	_	_
18	unbequem	unbequem	A	ADJD	Pos|	30	pred	_	_
19	müßte	müssen	V	VMFIN	3|Sg|Past|Subj	16	cj	_	_
20	dem	die	A	ART	Def|Masc|Dat|Sg	21	det	470	470
21	Schauspieler	Schauspieler	N	NN	Masc|Dat|Sg	30	objd	470	470
22	eine	eine	A	ART	Indef|Fem|Nom|Sg	24	det	_	_
23	neue	neu	A	ADJA	Pos|Fem|Nom|Sg|_|	24	attr	_	_
24	Kleidung	Kleidung	N	NN	Fem|Nom|Sg	19	subj	_	_
25	über	über	P	APPR	Dat	30	pp	_	_
26	dem	die	A	ART	Def|Masc|Dat|Sg	29	det	_	_
27	schon	schon	A	ADV	_	28	adv	_	_
28	vorhandenen	vorhanden	A	ADJA	Pos|Masc|Dat|Sg|Wk|	29	attr	_	_
29	Pelze	Pelz	N	NN	Masc|Dat|Sg	25	pn	_	_
30	sein	sein	V	VAINF	_	19	aux	_	_
31	?	?	$	$.	_	0	root	_	_

1	Durch	durch	P	APPR	Acc	5	pp	_	_
2	die	die	A	ART	Def|_|_|_	3	det	_	_
3	Stiefeln	Stiefel	N	NN	_|Acc|_	1	pn	_	_
4	aber	aber	A	ADV	_	3	adv	_	_
5	deutet	deuten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	484	484
7	sehr	sehr	A	ADV	_	8	adv	_	_
8	geschickt	geschickt	A	ADJD	Pos|	5	adv	_	_
9	die	die	A	ART	Def|Fem|_|Sg	10	det	_	_
10	Jägeruniform	Jägeruniform	N	NN	Fem|_|Sg	5	obja	_	_
11	nur	nur	A	ADV	_	5	adv	_	_
12	an	an	P	PTKVZ	_	5	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	5	kon	_	_
15	daß	daß	K	KOUS	_	20	konj	_	_
16	solche	solche	A	PIDAT	Fem|Nom|Pl	17	det	486	486
17	Andeutungen	Andeutung	N	NN	Fem|Nom|Pl	20	subj	486	486
18	vollkommen	vollkommen	A	ADJD	Pos|	20	adv	_	_
19	kunstgemäß	kunstgemäß	A	ADJD	Pos|	20	pred	_	_
20	sind	sein	V	VAFIN	3|Pl|Pres|Ind	22	objc	_	_
21	,	,	$	$,	_	0	root	_	_
22	beweisen	beweisen	V	VVFIN	3|Pl|Pres|_	14	cj	_	_
23	uns	wir	P	PPER	1|Pl|_|Dat	22	objd	483	483
24	ganz	ganz	A	ADV	_	25	adv	485	485
25	vorzüglich	vorzüglich	A	ADJD	Pos|	27	adv	485	485
26	die	die	A	ART	Def|_|Nom|Pl	27	det	485	485
27	Alten	Alt	N	NN	_|Nom|Pl	22	subj	485	485
28	,	,	$	$,	_	0	root	_	_
29	die	die	P	PRELS	_|_|_	0	root	485	485
30	oft	oft	A	ADV	_	0	root	_	_
31	-	-	$	$(	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	:	\:	$	$.	_	0	root	_	_
3	Schon	schon	A	ADV	_	6	adv	_	_
4	wieder	wieder	A	ADV	_	6	adv	_	_
5	die	die	A	ART	Def|_|_|Pl	6	det	_	_
6	Alten	Alt	N	NN	_|_|Pl	0	root	_	_
7	!	!	$	$.	_	0	root	_	_

1	Bötticher	Bötticher	N	NE	_	0	root	36	36
2	:	\:	$	$.	_	0	root	_	_
3	Verzeihen	verzeihen	V	VVFIN	3|Pl|Pres|_	21	neb	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	486	486
5	,	,	$	$,	_	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	7	subj	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	_
8	eine	eine	A	ART	Indef|Fem|Nom|Sg	13	det	487	487
9	angenehme	angenehm	A	ADJA	Pos|Fem|Nom|Sg|_|	13	attr	487	487
10	,	,	$	$,	_	0	root	487	487
11	sonst	sonst	A	ADV	_	12	adv	487	487
12	löbliche	löblich	A	ADJA	Pos|_|Nom|_|_|	9	kon	487	487
13	Gewohnheit	Gewohnheit	N	NN	Fem|Nom|Sg	7	pred	487	487
14	,	,	$	$,	_	0	root	487	487
15	die	die	P	PRELS	Fem|_|Sg	18	obja	487	487
16	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	488	488
17	mir	ich	P	PRF	1|Sg|Dat	18	objd	_	_
18	zugelegt	zulegen	V	VVPP	_	19	aux	_	_
19	habe	haben	V	VAFIN	1|Sg|Pres|_	13	rel	_	_
20	,	,	$	$,	_	0	root	_	_
21	verträgt	vertragen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
22	sich	sie	P	PRF	3|_|_	21	obja	_	_
23	auch	auch	A	ADV	_	21	adv	_	_
24	mit	mit	P	APPR	Dat	21	objp	_	_
25	aller	alle	A	PIDAT	Fem|Dat|Sg	28	det	_	_
26	möglichen	möglich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	28	attr	_	_
27	modernen	modern	A	ADJA	Pos|Fem|Dat|Sg|Wk|	28	attr	_	_
28	Eleganz	Eleganz	N	NN	Fem|Dat|Sg	24	pn	_	_
29	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	488	488
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	übrigens	übrigens	A	ADV	_	4	adv	_	_
4	gesonnen	sinnen	V	VVPP	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	meine	meine	A	PPOSAT	Masc|_|Pl	7	det	488	488
7	Herren	Herr	N	NN	Masc|_|Pl	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	ein	eine	A	ART	Indef|Neut|_|Sg	11	det	_	_
10	eignes	eignes	A	ADJA	_|Neut|_|Sg|_	11	attr	_	_
11	Buch	Buch	N	NN	Neut|_|Sg	18	obja	_	_
12	über	über	P	APPR	Acc	18	pp	_	_
13	die	die	A	ART	Def|_|Acc|_	15	det	_	_
14	dargestellte	dargestellte	A	ADJA	_|_|Acc|_|_	15	attr	_	_
15	Rolle	Rolle	N	NN	_|Acc|_	12	pn	_	_
16	des	die	A	ART	Def|Masc|Gen|Sg	17	det	23	23
