1	Wiesener	Wiesener	N	NE	_	0	root	4	4
1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Weil	weil	K	KOUS	_	11	konj	_	_
4	'	'	$	$(	_	0	root	_	_
5	s	s	P	PPER	_|Sg|_|Nom	11	subj	84	84
6	denn	denn	A	ADV	_	11	adv	_	_
7	doch	doch	A	ADV	_	11	adv	_	_
8	einmal	einmal	A	ADV	_	11	adv	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	weit	weit	A	ADJD	Pos|	11	pred	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	Gottlieb	Gottlieb	N	NE	_	11	vok	75	75
14	bei	bei	P	APPR	Dat	13	pp	75	75
15	der	die	A	ART	Def|Fem|Dat|Sg	16	det	293	293
16	Hand	Hand	N	NN	Fem|Dat|Sg	17	objd	293	293
17	nehmend	nehmen	A	ADJD	_|<PPRES	14	pn	_	_
18	,	,	$	$,	_	0	root	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	müssen	müssen	V	VMFIN	3|Pl|Pres|_	17	par	_	_
21	Sie	sie	P	PPER	3|Pl|_|Nom	20	subj	_	_
22	erst	erst	A	ADV	_	20	adv	_	_
23	hier	hier	A	ADV	_	20	adv	_	_
24	durch	durch	P	APPR	Acc	20	pp	_	_
25	das	die	A	ART	Def|Neut|Acc|Sg	26	det	739	739
26	Feuer	Feuer	N	NN	Neut|Acc|Sg	24	pn	75	75
27	,	,	$	$,	_	0	root	_	_
28	und	und	K	KON	_	17	kon	_	_
29	dann	dann	A	ADV	_	30	adv	_	_
30	durch	durch	P	APPR	Acc	28	cj	_	_
31	das	die	A	ART	Def|Neut|Acc|Sg	32	det	225	225
32	Wasser	Wasser	N	NN	Neut|Acc|Sg	30	pn	225	225
33	gehn	gehn	N	NE	Neut|Acc|Sg	32	app	225	225
34	.	.	$	$.	_	0	root	_	_

1	Gottlieb	gottlieb	A	ADJD	Pos|	2	adv	_	_
2	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	nach	nach	P	APPR	Dat	2	pp	_	_
4	einer	eine	A	ART	Indef|Fem|Dat|Sg	5	det	_	_
5	Flöte	Flöte	N	NN	Fem|Dat|Sg	3	pn	_	_
6	und	und	K	KON	_	5	kon	_	_
7	Pauke	Pauke	N	NN	Fem|Dat|Sg	6	cj	_	_
8	durch	durch	P	APPR	Acc	2	objp	_	_
9	Feuer	Feuer	N	NN	Neut|Acc|_	8	pn	568	568
10	und	und	K	KON	_	9	kon	_	_
11	Wasser	Wasser	N	NN	Neut|Acc|_	10	cj	672	672
12	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	740	740
4	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
5	die	die	A	ART	Def|Fem|_|Sg	6	det	_	_
6	Prüfung	Prüfung	N	NN	Fem|_|Sg	7	obja	_	_
7	überstanden	überstehen	V	VVPP	_	4	aux	_	_
8	;	;	$	$.	_	0	root	_	_
9	nun	nun	A	ADV	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	mein	meine	A	PPOSAT	Masc|Nom|Sg	12	det	741	741
12	Prinz	Prinz	N	NN	Masc|Nom|Sg	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
15	Sie	sie	P	PPER	3|Pl|_|Nom	14	subj	740	740
16	ganz	ganz	A	ADV	_	18	adv	_	_
17	der	die	A	ART	Def|Fem|Dat|Sg	18	det	_	_
18	Regierung	Regierung	N	NN	Fem|Dat|Sg	14	objd	_	_
19	würdig	würdig	A	ADJD	Pos|	14	pred	_	_
20	.	.	$	$.	_	0	root	_	_

1	Gottlieb	gottlieb	A	ADJD	Pos|	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	A	ART	Def|Neut|Nom|Sg	4	det	_	_
4	Regieren	Regieren	N	NN	Neut|Nom|Sg	8	subj	_	_
5	,	,	$	$,	_	0	root	_	_
6	Hinze	Hinze	N	NE	Neut|Nom|Sg	4	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	eine	eine	A	ART	Indef|Fem|Nom|Sg	11	det	_	_
10	kuriose	kurios	A	ADJA	Pos|Fem|Nom|Sg|_|	11	attr	_	_
11	Sache	Sache	N	NN	Fem|Nom|Sg	8	pred	_	_
12	.	.	$	$.	_	0	root	_	_

1	Mir	ich	P	PPER	1|Sg|_|Dat	7	objd	741	741
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	heiß	heiß	A	ADJD	Pos|	7	pred	_	_
4	und	und	K	KON	_	3	kon	_	_
5	kalt	kalt	A	ADJD	Pos|	4	cj	_	_
6	dabei	dabei	P	PROAV	_	7	pp	_	_
7	geworden	werden	V	VAPP	_	2	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	König	König	N	NN	Masc|_|Sg	0	root	148	148
2	:	\:	$	$.	_	0	root	_	_
3	Empfangen	empfangen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	_	_
5	nun	nun	A	ADV	_	3	adv	_	_
6	die	die	A	ART	Def|Fem|_|Sg	7	det	_	_
7	Hand	Hand	N	NN	Fem|_|Sg	3	obja	_	_
8	meiner	meine	A	PPOSAT	Fem|Gen|Sg	9	det	741	741
9	Tochter	Tochter	N	NN	Fem|Gen|Sg	7	gmod	_	_
10	.	.	$	$.	_	0	root	_	_

1	Prinzessin	Prinzessin	N	NN	Fem|_|Sg	0	root	153	153
2	:	\:	$	$.	_	0	root	_	_
3	Wie	Wie	P	PWAV	_	5	adv	_	_
4	glücklich	glücklich	A	ADJD	Pos|	5	pred	_	_
5	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	741	741
7	!	!	$	$.	_	0	root	_	_

1	Gottlieb	gottlieb	A	ADJD	Pos|	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	741	741
4	ebenfalls	ebenfalls	A	ADV	_	3	adv	_	_
5	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Mein	meine	A	PPOSAT	Masc|Nom|Sg	3	det	207	207
3	König	König	N	NN	Masc|Nom|Sg	0	root	207	207
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	741	741
6	wünschte	wünschen	V	VVFIN	1|Sg|Past|_	0	root	_	_
7	nun	nun	A	ADV	_	6	adv	_	_
8	auch	auch	A	ADV	_	6	adv	_	_
9	meinen	meine	A	PPOSAT	Masc|_|_	10	det	741	741
10	Diener	Diener	N	NN	Masc|_|_	12	obja	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	belohnen	belohnen	V	VVINF	_	6	obji	_	_
13	.	.	$	$.	_	0	root	_	_

1	König	König	N	NN	Masc|_|Sg	0	root	148	148
2	:	\:	$	$.	_	0	root	_	_
3	Allerdings	allerdings	A	ADV	_	0	root	_	_
4	;	;	$	$.	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	741	741
6	erhebe	erheben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
7	ihn	er	P	PPER	3|Sg|Masc|Acc	6	obja	1	1
8	hiermit	hiermit	P	PROAV	_	6	pp	_	_
9	in	in	P	APPR	Acc	6	pp	_	_
10	den	die	A	ART	Def|Masc|Acc|Sg	11	det	_	_
11	Adelstand	Adelstand	N	NN	Masc|Acc|Sg	9	pn	_	_
12	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	hängt	hängen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	dem	die	A	ART	Def|Masc|Dat|Sg	4	det	23	23
4	Kater	Kater	N	NN	Masc|Dat|Sg	2	objd	23	23
5	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	_	_
6	Orden	Orden	N	NN	Masc|Acc|Sg	2	obja	_	_
7	um	um	P	PTKVZ	_	2	avz	_	_
8	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	pred	_	_
2	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
4	eigentlich	eigentlich	A	ADV	_	2	adv	_	_
5	?	?	$	$.	_	0	root	_	_

1	Gottlieb	gottlieb	A	ADJD	Pos|	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Hinze	Hinze	N	NE	_	0	root	84	84
4	;	;	$	$.	_	0	root	_	_
5	seiner	seine	A	PPOSAT	Fem|Dat|Sg	6	det	84	84
6	Geburt	Geburt	N	NN	Fem|Dat|Sg	7	pn	_	_
7	nach	nach	P	APPO	Dat	8	pp	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	1	1
10	nur	nur	A	ADV	_	8	adv	_	_
11	aus	aus	P	APPR	Dat	8	pp	_	_
12	einer	eine	A	ART	Indef|Fem|Dat|Sg	14	det	_	_
13	geringen	gering	A	ADJA	Pos|Fem|Dat|Sg|Wk|	14	attr	_	_
14	Familie	Familie	N	NN	Fem|Dat|Sg	11	pn	_	_
15	,	,	$	$,	_	0	root	_	_
16	aber	aber	K	KON	_	8	kon	_	_
17	seine	seine	A	PPOSAT	_|Nom|Pl	18	det	1	1
18	Verdienste	Verdienst	N	NN	_|Nom|Pl	19	subj	_	_
19	erheben	erheben	V	VVFIN	3|Pl|Pres|_	16	cj	_	_
20	ihn	er	P	PPER	3|Sg|Masc|Acc	19	obja	1	1
21	.	.	$	$.	_	0	root	_	_

1	Leander	Leander	N	NE	Masc|Nom|Sg	2	subj	167	167
2	tritt	treten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	schnell	schnell	A	ADJD	Pos|	2	adv	_	_
4	herein	herein	P	PTKVZ	_	2	avz	_	_
5	.	.	$	$.	_	0	root	_	_

1	Leander	Leander	N	NE	Masc|_|Sg	0	root	167	167
2	:	\:	$	$.	_	0	root	_	_
3	Platz	Platz	N	NN	Masc|_|Sg	0	root	742	742
4	!	!	$	$.	_	0	root	_	_

1	Platz	Platz	N	NN	Masc|_|Sg	0	root	742	742
2	!	!	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	drängt	drängen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	durch	durch	P	PTKVZ	_	2	avz	_	_
5	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1	1
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	Extrapost	Extrapost	N	NN	_|Dat|Sg	3	pn	743	743
5	nachgereiset	nachgereiset	N	NE	_|Nom|_	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	um	um	K	KOUI	_	17	konj	_	_
8	meiner	meine	A	PPOSAT	Fem|Dat|Sg	10	det	1	1
9	anbetungswürdigen	anbetungswürdig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	10	attr	_	_
10	Prinzessin	Prinzessin	N	NN	Fem|Dat|Sg	17	objd	_	_
11	und	und	K	KON	_	10	kon	_	_
12	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	13	det	743	743
13	Herrn	Herrn	N	NN	Neut|Dat|Sg	11	cj	_	_
14	Gemahl	Gemahl	N	NN	Neut|Dat|Sg	13	app	_	_
15	Glück	Glück	N	NN	Neut|Dat|Sg	14	app	_	_
16	zu	zu	P	PTKZU	_	17	part	_	_
17	wünschen	wünschen	V	VVINF	_	2	neb	_	_
18	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	743	743
2	tritt	treten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	vor	vor	P	PTKVZ	_	2	avz	_	_
4	,	,	$	$,	_	0	root	_	_
5	verbeugt	verbeugen	V	VVFIN	_|_|Pres|Ind	2	kon	_	_
6	sich	sie	P	PRF	3|_|_	5	obja	_	_
7	gegen	gegen	P	APPR	Acc	5	pp	_	_
8	das	die	A	ART	Def|Neut|Acc|Sg	9	det	47	47
9	Publikum	Publikum	N	NN	Neut|Acc|Sg	7	pn	47	47
10	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|_|_	0	root	_	_
2	oft	oft	A	ADV	_	7	adv	_	_
3	im	in	P	APPRART	Dat	7	pp	_	_
4	stolzen	stolz	A	ADJA	Pos|Masc|Dat|Sg|Wk|	5	attr	_	_
5	Dünkel	Dünkel	N	NN	Masc|Dat|Sg	3	pn	_	_
6	gleichsam	gleichsam	A	ADJD	_	7	adv	_	_
7	platzen	platzen	V	VVINF	_	0	root	_	_
8	;	;	$	$.	_	0	root	_	_
9	Dann	dann	A	ADV	_	10	adv	_	_
10	tönt	tönen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
11	im	in	P	APPRART	Dat	10	pp	_	_
12	Lied	Lied	N	NN	Neut|Dat|Sg	11	pn	_	_
13	,	,	$	$,	_	0	root	_	_
14	in	in	P	APPR	Dat	22	pp	_	_
15	lieblichen	lieblich	A	ADJA	Pos|Neut|Dat|Pl|_|	16	attr	_	_
16	Gedichten	Gedicht	N	NN	Neut|Dat|Pl	14	pn	_	_
17	Von	von	P	APPR	_	16	pp	_	_
18	schönen	schön	A	ADJA	Pos|Fem|_|Pl|_|	19	attr	_	_
19	Lippen	Lippe	N	NN	Fem|_|Pl	17	pn	_	_
20	noch	noch	A	ADV	_	17	adv	_	_
21	das	die	A	ART	Def|Neut|_|Sg	22	det	_	_
22	Lob	Lob	N	NN	Neut|_|Sg	30	obja	_	_
23	der	die	A	ART	Def|_|_|_	24	det	_	_
24	schlichten	schlicht	A	ADJA	_|_|_	22	gmod	_	_
25	,	,	$	$,	_	0	root	_	_
26	Schmeich	Schmeich	N	NE	Neut|_|Sg	22	app	_	_
27	'	'	$	$(	_	0	root	_	_
28	lhaften	lhaften	N	NE	Neut|_|Sg	26	app	_	_
29	,	,	$	$,	_	0	root	_	_
30	stillen	stillen	V	VVFIN	_|Pl|Pres|_	10	s	_	_
31	,	,	$	$,	_	0	root	_	_
32	duldungsreichen	duldungsreich	A	ADJA	Pos|Fem|_|Pl|_|	33	attr	139	139
33	Katzen	Katze	N	NN	Fem|_|Pl	10	vok	139	139
34	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	142	142
2	große	groß	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	142	142
3	Hinz	Hinz	N	NN	Masc|Nom|Sg	4	subj	142	142
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	sein	seine	A	PPOSAT	Neut|_|Sg	6	det	142	142
6	Geschlecht	Geschlecht	N	NN	Neut|_|Sg	7	obja	_	_
7	geadelt	adeln	V	VVPP	_	4	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	Er	er	P	PPER	3|Sg|Masc|Nom	10	subj	142	142
10	achtet	achten	V	VVFIN	3|Sg|Pres|Ind	4	kon	_	_
11	nicht	nicht	P	PTKNEG	_	10	adv	_	_
12	an	an	P	APPR	_	10	pp	_	_
13	Bein	Bein	N	NN	Neut|_|Sg	12	pn	_	_
14	und	und	K	KON	_	13	kon	_	_
15	Kopf	Kopf	N	NN	Masc|_|Sg	14	cj	712	712
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	_	_
17	Wunden	Wunde	N	NN	Fem|Dat|Sg	10	objd	_	_
18	,	,	$	$,	_	0	root	_	_
19	Nicht	nicht	P	PTKNEG	_	20	adv	744	744
20	Popanz	Popanz	N	NN	Masc|Dat|Sg	17	kon	744	744
21	,	,	$	$,	_	0	root	744	744
22	Ungetüm	Ungetüm	N	NN	Neut|Dat|Sg	20	app	744	744
23	,	,	$	$,	_	0	root	_	_
24	die	die	P	PRELS	_|_|_	0	root	744	744
25	ihn	er	P	PPER	3|Sg|Masc|Acc	0	root	142	142
26	angrinzen	angrinzen	A	ADJD	_	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	7	konj	_	_
2	Unbill	Unbill	N	NN	_|Nom|Sg	7	subj	_	_
3	nun	nun	A	ADV	_	7	adv	_	_
4	das	die	A	ART	Def|Neut|_|Sg	5	det	_	_
5	Katzgeschlecht	Katzgeschlecht	N	NN	Neut|_|Sg	7	obja	_	_
6	blöd	blöd	A	ADJD	Pos|	7	adv	_	_
7	tadelt	tadeln	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	Irrwähnend	Irrwähnend	N	NN	_|Nom|Sg	12	subj	_	_
10	Vorzug	Vorzug	N	NN	_|Nom|Sg	9	app	_	_
11	geben	geben	V	VVINF	_	12	aux	_	_
12	möchte	mögen	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
13	Hunden	Hund	N	NN	Masc|Dat|Pl	11	objd	_	_
14	Man	Man	N	NE	Neut|Dat|Sg	13	app	_	_
15	widerlegt	widerlegen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
16	nicht	nicht	P	PTKNEG	_	15	adv	_	_
17	-	-	$	$(	_	0	root	_	_
18	nein	nein	P	PTKANT	_	0	root	_	_
19	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	nennt	nennen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
3	ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	_	_
4	nur	nur	A	ADV	_	2	adv	_	_
5	-	-	$	$(	_	0	root	_	_
6	Hinzen	Hinzen	N	NE	_	2	obja	593	593
7	!	!	$	$.	_	0	root	_	_

1	Lautes	laut	A	ADJA	Pos|Neut|_|Sg|St|	3	attr	_	_
2	allgemeines	allgemein	A	ADJA	Pos|Neut|_|Sg|St|	3	attr	_	_
3	Pochen	Pochen	N	NN	Neut|_|Sg	7	vok	_	_
4	,	,	$	$,	_	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	72	72
6	Vorhang	Vorhang	N	NN	Masc|Nom|Sg	7	subj	72	72
7	fällt	fallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	102	102
2	König	König	N	NN	Masc|Nom|Sg	3	subj	102	102
3	tritt	treten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	hinter	hinter	P	APPR	Dat	3	pp	_	_
5	dem	die	A	ART	Def|Masc|Dat|Sg	6	det	72	72
6	Vorhang	Vorhang	N	NN	Masc|Dat|Sg	4	pn	72	72
7	hervor	hervor	P	PTKVZ	_	3	avz	_	_
8	:	\:	$	$.	_	0	root	_	_
9	Morgen	Morgen	N	NN	_|_|_	10	zeit	746	746
10	werden	werden	V	VAFIN	1|Pl|Pres|_	0	root	_	_
11	wir	wir	P	PPER	1|Pl|_|Nom	10	subj	_	_
12	die	die	A	ART	Def|Fem|_|Sg	13	det	745	745
13	Ehre	Ehre	N	NN	Fem|_|Sg	14	obja	745	745
14	haben	haben	V	VAINF	_	10	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	die	die	A	ART	Def|Fem|_|Sg	18	det	_	_
17	heutige	heutig	A	ADJA	Pos|Fem|_|Sg|_|	18	attr	_	_
18	Vorstellung	Vorstellung	N	NN	Fem|_|Sg	20	obja	_	_
19	zu	zu	P	PTKZU	_	20	part	_	_
20	wiederholen	wiederholen	V	VVINF	_	14	obji	_	_
21	.	.	$	$.	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	:	\:	$	$.	_	0	root	_	_
3	Welche	welche	A	PWAT	Fem|_|Sg	4	det	_	_
4	Unverschämtheit	Unverschämtheit	N	NN	Fem|_|Sg	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	Alles	alle	P	PIS	Neut|Nom|Sg	2	subj	_	_
2	pocht	pochen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	König	König	N	NN	Masc|Nom|Sg	2	subj	148	148
2	gerät	geraten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	in	in	P	APPR	_	2	objp	_	_
4	Konfusion	Konfusion	N	NN	_|_|Sg	3	pn	_	_
5	,	,	$	$,	_	0	root	_	_
6	geht	gehen	V	VVFIN	_|_|Pres|Ind	2	kon	_	_
7	Zurück	zurück	P	PTKVZ	_	6	avz	_	_
8	und	und	K	KON	_	6	kon	_	_
9	kommt	kommen	V	VVFIN	_|_|Pres|Ind	8	cj	_	_
10	dann	dann	A	ADV	_	9	adv	_	_
11	wieder	wieder	A	ADV	_	9	adv	_	_
12	:	\:	$	$.	_	0	root	_	_
13	Morgen	Morgen	N	NN	_|_|_	0	root	746	746
14	:	\:	$	$.	_	0	root	_	_
15	-	-	$	$(	_	0	root	_	_
16	Allzu	Allzu	P	PTKA	_	17	adv	_	_
17	scharf	scharf	A	ADJD	Pos|	18	pred	_	_
18	macht	machen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
19	schartig	schartig	A	ADJD	Pos|	18	adv	_	_
20	.	.	$	$.	_	0	root	_	_

1	Alle	alle	P	PIS	_|_|_	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Ja	Ja	N	NN	_|_|_	0	root	_	_
4	wohl	wohl	A	ADV	_	3	adv	_	_
5	!	!	$	$.	_	0	root	_	_

1	ja	ja	A	ADV	_	2	adv	_	_
2	wohl	wohl	A	ADV	_	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Applaudieren	Applaudieren	N	NN	Neut|_|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	102	102
5	König	König	N	NN	Masc|Nom|Sg	6	subj	102	102
6	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	ab	ab	P	PTKVZ	_	6	avz	_	_
8	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	schreit	schreien	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Die	die	A	ART	Def|Fem|_|Sg	6	det	747	747
5	letzte	letzte	A	ADJA	Pos|Fem|_|Sg|_|	6	attr	747	747
6	Dekoration	Dekoration	N	NN	Fem|_|Sg	0	root	747	747
7	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	747	747
2	letzte	letzte	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	747	747
3	Dekoration	Dekoration	N	NN	Fem|_|Sg	0	root	747	747
4	!	!	$	$.	_	0	root	_	_

1	Hinter	hinter	P	APPR	Dat	0	root	_	_
2	dem	die	A	ART	Def|Masc|Dat|Sg	3	det	72	72
3	Vorhange	Vorhang	N	NN	Masc|Dat|Sg	1	pn	72	72
4	:	\:	$	$.	_	0	root	_	_
