1	Melpomene	Melpomene	N	NN	Fem|Nom|Sg	2	subj	134	134
1	Junger	jung	A	ADJA	Pos|Masc|Nom|Sg|St|	2	attr	_	_
2	Mensch	Mensch	N	NN	Masc|Nom|Sg	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Er	er	P	PPER	3|Sg|Masc|Nom	5	subj	0	0
5	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	wie	wie	K	KOKOM	_	5	kom	_	_
7	immer	immer	A	ADV	_	6	cj	_	_
8	,	,	$	$,	_	0	root	_	_
9	sehr	sehr	A	ADV	_	10	adv	_	_
10	gütig	gütig	A	ADJD	Pos|	7	kon	_	_
11	gegen	gegen	P	APPR	Acc	5	pp	_	_
12	mich	ich	P	PPER	1|Sg|_|Acc	11	pn	533	533
13	,	,	$	$,	_	0	root	_	_
14	das	die	A	ART	Def|Neut|Nom|Sg	15	det	_	_
15	Bekenntnis	Bekenntnis	N	NN	Neut|Nom|Sg	18	subj	_	_
16	meiner	meine	A	PPOSAT	Fem|Gen|Sg	17	det	533	533
17	Liebe	Liebe	N	NN	Fem|Gen|Sg	15	gmod	_	_
18	schwebte	schweben	V	VVFIN	3|Sg|Past|_	5	kon	_	_
19	schon	schon	A	ADV	_	18	adv	_	_
20	auf	auf	P	APPR	_	18	pp	_	_
21	meinen	meine	A	PPOSAT	Fem|_|Pl	22	det	533	533
22	Lippen	Lippe	N	NN	Fem|_|Pl	20	pn	_	_
23	,	,	$	$,	_	0	root	_	_
24	aber	aber	K	KON	_	18	kon	_	_
25	die	die	A	ART	Def|Fem|Nom|Sg	26	det	_	_
26	Besonnenheit	Besonnenheit	N	NN	Fem|Nom|Sg	27	subj	_	_
27	hindert	hindern	V	VVFIN	3|Sg|Pres|Ind	24	cj	_	_
28	mich	ich	P	PPER	1|Sg|_|Acc	27	obja	533	533
29	noch	noch	A	ADV	_	27	adv	_	_
30	,	,	$	$,	_	0	root	_	_
31	unvorsichtig	unvorsichtig	A	ADJD	Pos|	33	pred	_	_
32	zu	zu	P	PTKZU	_	33	part	_	_
33	sein	sein	V	VAINF	_	27	obji	_	_
34	.	.	$	$.	_	0	root	_	_

1	Emilie	Emilie	N	NE	_	0	root	529	529
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	533	533
4	denke	denken	V	VVFIN	1|Sg|Pres|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	13	konj	_	_
7	wir	wir	P	PPER	1|Pl|_|Nom	13	subj	534	534
8	ihn	er	P	PPER	3|Sg|Masc|Acc	13	obja	0	0
9	durch	durch	P	APPR	Acc	13	pp	_	_
10	unser	unsre	A	PPOSAT	Neut|Acc|Sg	12	det	534	534
11	kleines	klein	A	ADJA	Pos|Neut|Acc|Sg|St|	12	attr	_	_
12	Stück	Stück	N	NN	Neut|Acc|Sg	9	pn	_	_
13	überraschen	überraschen	V	VVFIN	1|Pl|Pres|_	4	objc	_	_
14	und	und	K	KON	_	13	kon	_	_
15	rühren	rühren	V	VVINF	_	16	aux	_	_
16	wollen	wollen	V	VMFIN	_|Pl|Pres|_	14	cj	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	0	root	_	_
19	uns	wir	P	PPER	1|Pl|_|Dat	26	objd	534	534
20	so	so	A	ADV	_	22	adv	604	604
21	den	die	A	ART	Def|Masc|Acc|Sg	22	det	604	604
22	Weg	Weg	N	NN	Masc|Acc|Sg	26	obja	604	604
23	zu	zu	P	APPR	Dat	26	pp	_	_
24	unserm	unsre	A	PPOSAT	Neut|Dat|Sg	25	det	534	534
25	Geständnisse	Geständnis	N	NN	Neut|Dat|Sg	23	pn	_	_
26	bahnen	bahnen	V	VVINF	_	18	cj	_	_
27	.	.	$	$.	_	0	root	_	_

1	Junger	jung	A	ADJA	Pos|Masc|Nom|Sg|St|	2	attr	_	_
2	Mensch	Mensch	N	NN	Masc|Nom|Sg	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	O	O	N	NN	Neut|Nom|Sg	5	subj	_	_
5	liebe	lieben	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
6	Emilie	Emilie	N	NE	_	5	obja	529	529
7	,	,	$	$,	_	0	root	_	_
8	das	die	P	PDS	Neut|Nom|Sg	9	subj	_	_
9	quält	quälen	V	VVFIN	3|Sg|Pres|Ind	5	kon	_	_
10	mich	ich	P	PPER	1|Sg|_|Acc	9	obja	533	533
11	eben	eben	A	ADV	_	9	adv	_	_
12	.	.	$	$.	_	0	root	_	_

1	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	unser	unsre	A	PPOSAT	Neut|Nom|Sg	3	det	534	534
3	Projekt	Projekt	N	NN	Neut|Nom|Sg	1	subj	_	_
4	,	,	$	$,	_	0	root	_	_
5	ja	ja	P	PTKANT	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	533	533
7	mag	mögen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|_	11	obja	_	_
9	wohl	wohl	A	ADV	_	11	adv	_	_
10	so	so	A	ADV	_	11	adv	_	_
11	nennen	nennen	V	VVINF	_	7	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	unser	unsre	A	PPOSAT	Masc|Nom|Sg	14	det	534	534
14	Hinterhalt	Hinterhalt	N	NN	Masc|Nom|Sg	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	nicht	nicht	P	PTKNEG	_	18	adv	_	_
17	eine	eine	A	ART	Indef|Fem|Nom|Sg	18	det	_	_
18	Entweihung	Entweihung	N	NN	Fem|Nom|Sg	14	kon	_	_
19	dieses	diese	A	PDAT	Masc|Gen|Sg	20	det	285	285
20	Tages	Tag	N	NN	Masc|Gen|Sg	18	gmod	285	285
21	?	?	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	534	534
2	wollen	wollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	8	objd	285	285
4	durch	durch	P	APPR	Acc	8	pp	_	_
5	ein	eine	A	ART	Indef|Neut|Acc|Sg	6	det	_	_
6	Schauspiel	Schauspiel	N	NN	Neut|Acc|Sg	4	pn	_	_
7	Freude	Freude	N	NN	Fem|_|Sg	8	obja	535	535
8	machen	machen	V	VVINF	_	2	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	2	kon	_	_
11	wir	wir	P	PPER	1|Pl|_|Nom	12	subj	534	534
12	benutzen	benutzen	V	VVFIN	1|Pl|Pres|_	10	cj	_	_
13	dieses	diese	A	PDAT	Neut|Acc|Sg	14	det	_	_
14	Schauspiel	Schauspiel	N	NN	Neut|Acc|Sg	12	obja	_	_
15	,	,	$	$,	_	0	root	_	_
16	uns	wir	P	PPER	1|Pl|_|Acc	14	kon	536	536
17	und	und	K	KON	_	16	kon	_	_
18	unsre	unsre	A	PPOSAT	Fem|Acc|Sg	19	det	534	534
19	Situation	Situation	N	NN	Fem|Acc|Sg	17	cj	_	_
20	darzustellen	darzustellen	V	VVIZU	_	12	obji	_	_
21	.	.	$	$.	_	0	root	_	_

1	Gerade	gerade	A	ADV	_	6	adv	_	_
2	an	an	P	APPR	Dat	6	pp	_	_
3	dem	die	A	ART	Def|Masc|Dat|Sg	5	det	_	_
4	heutigen	heutig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	5	attr	_	_
5	Tage	Tag	N	NN	Masc|Dat|Sg	2	pn	_	_
6	sollten	sollen	V	VMFIN	_|Pl|Past|_	0	root	_	_
7	wir	wir	P	PPER	1|Pl|_|Nom	14	subj	534	534
8	am	am	P	PTKA	_	9	adv	_	_
9	wenigsten	wenigsten	A	ADJD	_	13	adv	_	_
10	für	für	P	APPR	Acc	13	pp	_	_
11	uns	wir	P	PPER	1|Pl|_|Acc	10	pn	536	536
12	zu	zu	P	PTKZU	_	13	part	_	_
13	handeln	handeln	V	VVINF	_	14	obji	_	_
14	suchen	suchen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	14	kon	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	533	533
18	brauche	brauchen	V	VVFIN	1|Sg|Pres|_	16	cj	_	_
19	grade	grade	A	ADV	_	18	adv	_	_
20	diesen	diese	A	PDAT	Masc|Acc|Sg	21	det	285	285
21	Tag	Tag	N	NN	Masc|Acc|Sg	18	obja	285	285
22	als	als	K	KOKOM	_	18	kom	_	_
23	ein	eine	A	ART	Indef|Neut|_|Sg	24	det	_	_
24	Mittel	Mittel	N	NN	Neut|_|Sg	22	cj	_	_
25	,	,	$	$,	_	0	root	_	_
26	um	um	K	KOUI	_	30	konj	_	_
27	mich	ich	P	PRF	1|Sg|Acc	30	obja	_	_
28	glücklich	glücklich	A	ADJD	Pos|	30	pred	_	_
29	zu	zu	P	PTKZU	_	30	part	_	_
30	machen	machen	V	VVINF	_	18	neb	_	_
31	.	.	$	$.	_	0	root	_	_

1	Emilie	Emilie	N	NE	_	0	root	529	529
2	:	\:	$	$.	_	0	root	_	_
3	Du	du	P	PPER	2|Sg|_|Nom	4	subj	538	538
4	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
5	eine	eine	A	ART	Indef|Fem|_|Sg	7	det	_	_
6	eigene	eigen	A	ADJA	Pos|Fem|_|Sg|_|	7	attr	_	_
7	Gabe	Gabe	N	NN	Fem|_|Sg	4	obja	_	_
8	,	,	$	$,	_	0	root	_	_
9	die	die	A	ART	Def|Fem|_|Pl	10	det	203	203
10	Sachen	Sache	N	NN	Fem|_|Pl	19	obja	203	203
11	zu	zu	P	PTKA	_	12	adv	_	_
12	ernsthaft	ernsthaft	A	ADJD	Pos|	19	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	12	kon	_	_
15	eben	eben	A	ADV	_	14	cj	_	_
16	darum	darum	P	PROAV	_	17	pp	_	_
17	unrecht	unrecht	A	ADJD	Pos|	19	adv	_	_
18	zu	zu	P	PTKZU	_	19	part	_	_
19	nehmen	nehmen	V	VVINF	_	4	obji	_	_
20	.	.	$	$.	_	0	root	_	_

1	Unsre	unsre	A	PPOSAT	Fem|Nom|Sg	2	det	536	536
2	Verbindung	Verbindung	N	NN	Fem|Nom|Sg	3	subj	537	537
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	auch	auch	A	ADV	_	5	adv	_	_
5	ihn	er	P	PPER	3|Sg|Masc|Acc	6	obja	0	0
6	beglücken	beglücken	V	VVINF	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	auch	auch	A	ADV	_	9	adv	_	_
9	hat	haben	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	0	0
11	uns	wir	P	PPER	1|Pl|_|Dat	15	objd	536	536
12	noch	noch	A	ADV	_	15	adv	_	_
13	keine	keine	A	PIAT	Fem|_|Sg	14	det	_	_
14	Veranlassung	Veranlassung	N	NN	Fem|_|Sg	15	obja	_	_
15	gegeben	geben	V	VVPP	_	9	aux	_	_
16	,	,	$	$,	_	0	root	_	_
17	zu	zu	P	PTKZU	_	18	part	_	_
18	glauben	glauben	V	VVINF	_	15	obji	_	_
19	,	,	$	$,	_	0	root	_	_
20	daß	daß	K	KOUS	_	25	konj	_	_
21	er	er	P	PPER	3|Sg|Masc|Nom	25	subj	0	0
22	unsre	unsre	A	PPOSAT	_|_|_	23	det	536	536
23	Liebe	Liebe	N	NN	_|_|_	24	obja	_	_
24	mißbilligen	mißbilligen	V	VVINF	_	25	aux	_	_
25	würde	werden	V	VAFIN	3|Sg|Past|Subj	18	objc	_	_
26	,	,	$	$,	_	0	root	_	_
27	wenn	wenn	K	KOUS	_	30	konj	_	_
28	er	er	P	PPER	3|Sg|Masc|Nom	30	subj	0	0
29	sie	sie	P	PPER	3|_|_|_	30	obja	537	537
30	kennte	kennen	V	VVFIN	3|Sg|Past|Subj	25	neb	_	_
31	.	.	$	$.	_	0	root	_	_

1	Junger	jung	A	ADJA	Pos|Masc|Nom|Sg|St|	2	attr	_	_
2	Mensch	Mensch	N	NN	Masc|Nom|Sg	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Wie	Wie	P	PWAV	_	0	root	_	_
5	beneid	beneid	T	TRUNC	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	0	root	0	0
7	dich	du	P	PPER	2|Sg|_|Acc	0	root	538	538
8	um	um	P	APPR	Acc	7	pp	_	_
9	diesen	diese	A	PDAT	Masc|Acc|Sg	11	det	_	_
10	männlichen	männlich	A	ADJA	Pos|Masc|Acc|Sg|_|	11	attr	_	_
11	Mut	Mut	N	NN	Masc|Acc|Sg	8	pn	_	_
12	.	.	$	$.	_	0	root	_	_

1	Emilie	Emilie	N	NE	_	0	root	529	529
2	:	\:	$	$.	_	0	root	_	_
3	Wenn	wenn	K	KOUS	_	6	konj	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	0	0
5	männlich	männlich	A	ADJD	Pos|	6	pred	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	9	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	schäme	schämen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
10	dich	du	P	PPER	2|Sg|_|Acc	9	obja	538	538
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	16	konj	_	_
13	du	du	P	PPER	2|Sg|_|Nom	16	subj	538	538
14	ihn	er	P	PPER	3|Sg|Masc|Acc	16	obja	0	0
15	nicht	nicht	P	PTKNEG	_	16	adv	_	_
16	hast	haben	V	VAFIN	2|Sg|Pres|Ind	9	subjc	_	_
17	.	.	$	$.	_	0	root	_	_

1	Thalia	Thalia	N	NN	Fem|_|Sg	0	root	1043	1043
2	als	als	K	KOKOM	_	1	kom	1043	1043
3	Lisette	Lisette	N	NE	_	2	cj	564	564
4	.	.	$	$.	_	0	root	_	_

1	Thalia	Thalia	N	NN	Fem|_|Sg	0	root	204	204
2	:	\:	$	$.	_	0	root	_	_
3	Die	die	A	ART	Def|_|Nom|Pl	4	det	410	410
4	Fremden	Fremde	N	NN	_|Nom|Pl	5	subj	410	410
5	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
6	schon	schon	A	ADV	_	7	adv	_	_
7	angekommen	ankommen	V	VVPP	_	5	aux	_	_
8	;	;	$	$.	_	0	root	_	_
9	Ihr	ihre	A	PPOSAT	Masc|Nom|Sg	10	det	410	410
10	Herr	Herr	N	NN	Masc|Nom|Sg	12	subj	_	_
11	Vater	Vater	N	NN	Masc|Nom|Sg	10	app	_	_
12	komplimentiert	komplimentieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
13	sich	sie	P	PRF	3|_|_	12	obja	_	_
14	mit	mit	P	APPR	Dat	12	pp	_	_
15	ihnen	sie	P	PPER	3|Pl|_|Dat	14	pn	410	410
16	sehr	sehr	A	ADV	_	17	adv	_	_
17	weitläuftig	weitläuftig	A	ADJD	_	12	adv	_	_
18	.	.	$	$.	_	0	root	_	_

1	Emilie	Emilie	N	NE	_	0	root	529	529
2	:	\:	$	$.	_	0	root	_	_
3	Wer	wer	P	PWS	_|Nom|Sg	4	pred	_	_
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
5	sie	sie	P	PPER	3|Pl|_|Nom	4	subj	410	410
6	denn	denn	A	ADV	_	4	adv	_	_
7	?	?	$	$.	_	0	root	_	_

1	Thalia	Thalia	N	NN	Fem|_|Sg	0	root	204	204
2	:	\:	$	$.	_	0	root	_	_
3	Erstlich	erstlich	A	ADJD	Pos|	4	pred	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	da	da	A	ADV	_	4	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	die	die	A	ART	Def|Fem|_|Sg	9	det	539	539
8	dicke	dick	A	ADJA	Pos|Fem|_|Sg|_|	9	attr	539	539
9	Frau	Frau	N	NN	Fem|_|Sg	0	root	539	539
10	,	,	$	$,	_	0	root	539	539
11	die	die	P	PRELS	Fem|Nom|Sg	17	subj	539	539
12	Sie	sie	P	PPER	3|_|_|_	16	obja	410	410
13	aus	aus	P	APPR	Dat	16	objp	_	_
14	der	die	A	ART	Def|Fem|Dat|Sg	15	det	540	540
15	Taufe	Taufe	N	NN	Fem|Dat|Sg	13	pn	540	540
16	gehoben	heben	V	VVPP	_	17	aux	_	_
17	hat	haben	V	VAFIN	3|Sg|Pres|Ind	9	rel	_	_
18	,	,	$	$,	_	0	root	_	_
19	eine	eine	A	ART	Indef|Fem|_|Sg	20	det	_	_
20	Frau	Frau	N	NN	Fem|_|Sg	9	app	_	_
21	,	,	$	$,	_	0	root	_	_
22	die	die	P	PRELS	Fem|Nom|Sg	24	subj	540	540
23	alles	alle	P	PIS	Neut|_|Sg	24	obja	_	_
24	verachtet	verachten	V	VVFIN	3|Sg|Pres|Ind	20	rel	_	_
25	,	,	$	$,	_	0	root	_	_
26	was	was	P	PRELS	Neut|Nom|Sg	32	subj	_	_
27	nicht	nicht	P	PTKNEG	_	32	adv	_	_
28	so	so	A	ADV	_	29	adv	_	_
29	dick	dick	A	ADJD	Pos|	32	pred	_	_
30	und	und	K	KON	_	29	kon	_	_
31	reich	reich	A	ADJD	Pos|	30	cj	_	_
32	ist	sein	V	VAFIN	3|Sg|Pres|Ind	23	rel	_	_
33	,	,	$	$,	_	0	root	_	_
34	als	als	K	KOKOM	_	20	kom	_	_
35	sie	sie	P	PPER	3|_|_|_	34	cj	540	540
36	selbst	selbst	A	ADV	_	35	adv	_	_
37	;	;	$	$.	_	0	root	_	_
38	dann	dann	A	ADV	_	40	adv	541	541
39	der	die	A	ART	Def|Masc|Nom|Sg	40	det	541	541
40	Graf	Graf	N	NN	Masc|Nom|Sg	0	root	541	541
41	Sternheim	Sternheim	N	NE	Neut|Nom|Sg	40	app	541	541
42	,	,	$	$,	_	0	root	_	_
43	der	die	P	PRELS	_|_|Sg	0	root	541	541
44	bei	bei	P	APPR	Dat	48	pp	_	_
45	jedem	jede	A	PIAT	Neut|Dat|Sg	47	det	_	_
46	dritten	dritt	A	ADJA	_|Neut|Dat|Sg|Wk|	47	attr	_	_
47	Worte	Wort	N	NN	Neut|Dat|Sg	44	pn	_	_
48	innehält	innehält	V	VVINF	_	0	root	_	_
49	,	,	$	$,	_	0	root	_	_
50	um	um	K	KOUI	_	56	konj	_	_
51	sich	sie	P	PRF	3|_|_	56	obja	_	_
52	auf	auf	P	APPR	Acc	56	objp	_	_
53	den	die	A	ART	Def|Masc|Acc|Sg	54	det	542	542
54	Zusammenhang	Zusammenhang	N	NN	Masc|Acc|Sg	52	pn	542	542
55	zu	zu	P	PTKZU	_	56	part	_	_
56	besinnen	besinnen	V	VVINF	_	0	root	_	_
57	und	und	K	KON	_	56	kon	_	_
58	desto	desto	A	ADV	_	59	adv	_	_
59	gewisser	gewiss	A	ADJD	Comp|	64	adv	_	_
60	aus	aus	P	APPR	Dat	64	objp	_	_
61	dem	die	A	ART	Def|Masc|Dat|Sg	62	det	542	542
62	Zusammenhange	Zusammenhang	N	NN	Masc|Dat|Sg	60	pn	542	542
63	zu	zu	P	PTKZU	_	64	part	_	_
64	kommen	kommen	V	VVINF	_	57	cj	_	_
65	,	,	$	$,	_	0	root	_	_
66	dieser	diese	P	PDS	Masc|Nom|Sg	67	subj	_	_
67	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
68	alle	alle	A	PIDAT	_|_|Pl	70	det	544	544
69	seine	seine	A	PPOSAT	_|_|Pl	70	det	542	542
70	Bedienten	Bediente	N	NN	_|_|Pl	75	obja	_	_
71	und	und	K	KON	_	70	kon	_	_
72	sogar	sogar	A	ADV	_	74	adv	395	395
73	seinen	seine	A	PPOSAT	Masc|_|_	74	det	542	542
74	Narren	Narr	N	NN	Masc|Acc|Sg	71	cj	_	_
75	mitgebracht	mitbringen	V	VVPP	_	67	aux	_	_
76	;	;	$	$.	_	0	root	_	_
77	dann	dann	A	ADV	_	79	adv	543	543
78	der	die	A	ART	Def|_|_|_	79	det	543	543
79	Baron	Baron	N	NE	Neut|_|Sg	0	root	543	543
80	Fuchsheim	Fuchsheim	N	NE	Neut|_|Sg	79	app	543	543
81	,	,	$	$,	_	0	root	_	_
82	der	die	P	PRELS	Masc|Nom|Sg	84	subj	543	543
83	mehr	mehr	A	ADV	_	84	adv	_	_
84	hustet	husten	V	VVFIN	3|Sg|Pres|Ind	74	rel	_	_
85	als	als	K	KOKOM	_	86	konj	_	_
86	spricht	sprechen	V	VVFIN	3|Sg|Pres|Ind	84	neb	_	_
87	,	,	$	$,	_	0	root	_	_
88	und	und	K	KON	_	86	kon	_	_
89	mehr	mehr	P	PIS	_|Nom|Sg	90	subj	_	_
90	spricht	sprechen	V	VVFIN	3|Sg|Pres|Ind	88	cj	_	_
91	als	als	K	KOKOM	_	92	konj	_	_
92	denkt	denken	V	VVFIN	_|_|Pres|Ind	90	neb	_	_
93	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|_|_	2	det	_	_
2	übrigen	übrig	A	ADJA	_|_|Pl	3	obja	_	_
3	kenne	kennen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	546	546
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	sie	sie	P	PPER	3|Pl|_|Nom	8	subj	544	544
8	scheinen	scheinen	V	VVFIN	3|Pl|Pres|_	3	kon	_	_
9	aber	aber	A	ADV	_	8	adv	_	_
10	von	von	P	APPR	_	15	pp	_	_
11	keiner	keine	A	PIAT	Fem|_|Sg	13	det	_	_
12	sonderlichen	sonderlich	A	ADJA	Pos|Fem|_|Sg|Wk|	13	attr	_	_
13	Bedeutung	Bedeutung	N	NN	Fem|_|Sg	10	pn	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	sein	sein	V	VAINF	_	8	obji	_	_
16	.	.	$	$.	_	0	root	_	_

1	Emilie	Emilie	N	NE	_	0	root	529	529
2	:	\:	$	$.	_	0	root	_	_
3	So	so	A	ADV	_	4	adv	_	_
4	wollen	wollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
5	wir	wir	P	PPER	1|Pl|_|Nom	4	subj	545	545
6	nur	nur	A	ADV	_	7	adv	_	_
7	gehen	gehen	V	VVINF	_	4	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	um	um	K	KOUI	_	12	konj	_	_
10	unser	unsre	A	PPOSAT	Neut|_|Sg	11	det	545	545
11	Theater	Theater	N	NN	Neut|_|Sg	12	obja	_	_
12	einzurichten	einrichten	V	VVIZU	_	4	neb	_	_
13	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Komm	Komm	N	NE	Masc|Nom|Sg	0	root	689	689
3	,	,	$	$,	_	0	root	689	689
4	mein	meine	A	PPOSAT	Masc|Nom|Sg	5	det	546	546
5	Freund	Freund	N	NN	Masc|Nom|Sg	2	app	_	_
6	.	.	$	$.	_	0	root	_	_

1	Beide	beide	A	PIDAT	_|_|Pl	2	det	325	325
2	gehn	gehn	N	NN	_|_|Pl	0	root	325	325
3	ab	ab	P	PTKVZ	_	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Vater	Vater	N	NN	Masc|Nom|Sg	23	subj	_	_
3	,	,	$	$,	_	0	root	_	_
4	Graf	Graf	N	NE	Neut|Nom|Sg	2	kon	541	541
5	Sternheim	Sternheim	N	NE	Neut|Nom|Sg	4	app	541	541
6	,	,	$	$,	_	0	root	_	_
7	Baron	Baron	N	NE	Neut|Nom|Sg	4	kon	543	543
8	Fuchsheim	Fuchsheim	N	NE	Neut|Nom|Sg	7	app	543	543
9	,	,	$	$,	_	0	root	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	12	det	_	_
11	dicke	dick	A	ADJA	Pos|Fem|Nom|Sg|_|	12	attr	_	_
12	Frau	Frau	N	NN	Fem|Nom|Sg	7	kon	_	_
13	,	,	$	$,	_	0	root	_	_
14	andre	andere	A	PIDAT	Masc|Nom|Pl	15	det	_	_
15	Gäste	Gast	N	NN	Masc|Nom|Pl	12	kon	_	_
16	,	,	$	$,	_	0	root	_	_
17	Bediente	Bediente	N	NN	_|Nom|_	15	kon	547	547
18	,	,	$	$,	_	0	root	547	547
19	Grünhelm	Grünhelm	N	NN	Masc|Nom|Sg	17	kon	205	205
20	als	als	K	KOKOM	_	19	kom	205	205
21	Narr	Narr	N	NN	Masc|_|Sg	20	cj	205	205
22	,	,	$	$,	_	0	root	395)	395)
23	treten	treten	V	VVFIN	_|Pl|Pres|_	0	root	395)	395)
24	ein	ein	P	PTKVZ	_	23	avz	395)	395)
25	.	.	$	$.	_	0	root	395)	395)

1	Vater	Vater	N	NN	Masc|_|Sg	0	root	513	513
2	:	\:	$	$.	_	0	root	_	_
3	Sein	seine	A	PPOSAT	_|_|Sg	0	root	513	513
4	Sie	sie	P	PPER	3|_|_|_	0	root	547	547
5	mir	ich	P	PPER	1|Sg|_|Dat	0	root	549	549
6	nochmals	nochmals	A	ADV	_	7	adv	_	_
7	von	von	P	APPR	Dat	10	pp	_	_
