1	Maschinist	Maschinist	N	NE	_	0	root	508	508
12	einmal	einmal	A	ADV	_	15	adv	_	_
13	nicht	nicht	P	PTKNEG	_	15	adv	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	ändern	ändern	V	VVINF	_	10	aux	_	_
16	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Nun	nun	A	ADV	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	518	518
6	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
7	mein	meine	A	PPOSAT	Neut|_|Sg	8	det	518	518
8	Glück	Glück	N	NN	Neut|_|Sg	9	obja	_	_
9	versuchen	versuchen	V	VVINF	_	6	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	tritt	treten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	hervor	hervor	P	PTKVZ	_	2	avz	_	_
4	,	,	$	$,	_	0	root	_	_
5	und	und	K	KON	_	2	kon	_	_
6	verbeugt	verbeugen	V	VVFIN	_|_|Pres|Ind	5	cj	_	_
7	sich	sie	P	PRF	3|_|_	6	obja	_	_
8	possierlich	possierlich	A	ADJD	Pos|	6	adv	_	_
9	gegen	gegen	P	APPR	Acc	6	pp	_	_
10	das	die	A	ART	Def|Neut|Acc|Sg	11	det	47	47
11	Publikum	Publikum	N	NN	Neut|Acc|Sg	9	pn	47	47
12	.	.	$	$.	_	0	root	_	_

1	Müller	Müller	N	NE	_	0	root	3	3
2	:	\:	$	$.	_	0	root	_	_
3	Wie	Wie	P	PWAV	_	0	root	_	_
4	kömmt	kömmt	A	ADJD	_	5	adv	_	_
5	denn	denn	A	ADV	_	7	adv	_	_
6	der	die	A	ART	Def|_|_|Sg	7	det	_	_
7	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	_	_
8	nun	nun	A	ADV	_	7	adv	_	_
9	in	in	P	APPR	Acc	7	pp	_	_
10	die	die	A	ART	Def|Fem|Acc|Sg	11	det	_	_
11	Bauerstube	Bauerstube	N	NN	Fem|Acc|Sg	9	pn	_	_
12	?	?	$	$.	_	0	root	_	_

1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	Er	er	P	PPER	3|Sg|Masc|Nom	4	subj	1	1
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	gewiß	gewiß	A	ADJD	Pos|	9	adv	_	_
6	einen	eine	A	ART	Indef|Masc|Acc|Sg	8	det	732	732
7	abgeschmackten	abgeschmackt	A	ADJA	Pos|Masc|Acc|Sg|_|	8	attr	732	732
8	Monolog	Monolog	N	NN	Masc|Acc|Sg	9	obja	732	732
9	halten	halten	V	VVINF	_	10	aux	_	_
10	wollen	wollen	V	VMINF	_	4	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Verzeihen	verzeihen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	_	_
5	,	,	$	$,	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	9	konj	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	1	1
8	mich	ich	P	PRF	1|Sg|Acc	9	obja	_	_
9	erkühne	erkühnen	V	VVFIN	1|Sg|Pres|_	3	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	ein	eine	A	ART	Indef|_|_|Sg	13	det	519	519
12	paar	paar	A	PIDAT	Neut|_|_	13	attr	519	519
13	Worte	Wort	N	NN	Neut|_|Pl	14	obja	519	519
14	vorzutragen	vortragen	V	VVIZU	_	9	obji	519	519
15	,	,	$	$,	_	0	root	519	519
16	die	die	P	PRELS	Neut|Nom|Pl	21	subj	519	519
17	eigentlich	eigentlich	A	ADV	_	21	adv	_	_
18	nicht	nicht	P	PTKNEG	_	21	adv	_	_
19	zum	zu	P	APPRART	Dat	21	objp	_	_
20	Stücke	Stück	N	NN	Neut|Dat|Sg	19	pn	516	516
21	gehören	gehören	V	VVFIN	3|Pl|Pres|_	13	rel	_	_
22	.	.	$	$.	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	:	\:	$	$.	_	0	root	_	_
3	O	O	N	NN	Neut|_|_	0	root	288	288
4	Sie	sie	P	PPER	3|Pl|_|Nom	5	subj	519	519
5	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
6	nur	nur	A	ADV	_	9	adv	_	_
7	ganz	ganz	A	ADV	_	8	adv	_	_
8	stille	stille	A	ADJD	_	9	adv	_	_
9	schweigen	schweigen	V	VVINF	_	5	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	Sie	sie	P	PPER	3|Pl|_|Nom	12	subj	519	519
12	sind	sein	V	VAFIN	3|Pl|Pres|Ind	5	kon	_	_
13	uns	wir	P	PPER	1|Pl|_|_	12	obja	520	520
14	schon	schon	A	ADV	_	12	adv	_	_
15	im	in	P	APPRART	Dat	12	pp	_	_
16	Stücke	Stück	N	NN	Neut|Dat|Sg	15	pn	516	516
17	zuwider	zuwider	P	PTKVZ	_	12	avz	_	_
18	,	,	$	$,	_	0	root	_	_
19	vielmehr	vielmehr	A	ADV	_	20	adv	_	_
20	nun	nun	A	ADV	_	21	adv	_	_
21	gar	gar	A	ADV	_	22	adv	_	_
22	so	so	A	ADV	_	0	root	_	_
23	-	-	$	$(	_	0	root	_	_

1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	Ein	ein	A	ART	Indef|Masc|Nom|Sg	4	det	_	_
4	Hanswurst	Hanswurst	N	NN	Masc|Nom|Sg	5	subj	_	_
5	untersteht	unterstehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	sich	sie	P	PRF	3|_|Dat	5	objd	_	_
7	mit	mit	P	APPR	Dat	10	pp	_	_
8	uns	wir	P	PPER	1|Pl|_|Dat	7	pn	520	520
9	zu	zu	P	PTKZU	_	10	part	_	_
10	reden	reden	V	VVINF	_	5	obji	_	_
11	?	?	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Warum	Warum	P	PWAV	_	0	root	_	_
4	denn	denn	A	ADV	_	3	adv	_	_
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	?	?	$	$.	_	0	root	_	_

1	denn	denn	A	ADV	_	9	adv	_	_
2	,	,	$	$,	_	0	root	_	_
3	wenn	wenn	K	KOUS	_	6	konj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	521	521
5	ausgelacht	auslachen	V	VVPP	_	6	aux	_	_
6	werde	werden	V	VAFIN	1|Sg|Pres|_	9	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	tut	tun	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	mir	ich	P	PPER	1|Sg|_|Dat	9	objd	521	521
11	das	die	P	PDS	Neut|Nom|Sg	9	subj	_	_
12	nichts	nichts	P	PIS	_	9	obja	_	_
13	,	,	$	$,	_	0	root	_	_
14	sondern	sondern	K	KON	_	9	kon	_	_
15	es	es	P	PPER	3|Sg|Neut|Nom	16	subj	_	_
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	14	cj	_	_
17	im	in	P	APPRART	Dat	16	pp	_	_
18	Gegenteil	Gegenteil	N	NN	_|Dat|Sg	17	pn	522	522
19	mein	meine	A	PPOSAT	Masc|Nom|Sg	21	det	521	521
20	heißester	heiß	A	ADJA	Sup|Masc|Nom|Sg|St|	21	attr	_	_
21	Wunsch	Wunsch	N	NN	Masc|Nom|Sg	16	pred	_	_
22	,	,	$	$,	_	0	root	_	_
23	daß	daß	K	KOUS	_	26	konj	_	_
24	Sie	sie	P	PPER	3|Pl|_|Nom	26	subj	523	523
25	geruhen	geruhen	V	VVINF	_	26	aux	_	_
26	möchten	mögen	V	VMFIN	3|Pl|Past|Subj	16	objc	_	_
27	,	,	$	$,	_	0	root	_	_
28	über	über	P	APPR	Acc	31	pp	_	_
29	mich	ich	P	PPER	1|Sg|_|Acc	28	pn	521	521
30	zu	zu	P	PTKZU	_	31	part	_	_
31	lachen	lachen	V	VVINF	_	25	obji	_	_
32	.	.	$	$.	_	0	root	_	_

1	Nein	nein	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	nein	nein	P	PTKANT	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	0	root	521	521
6	bitte	bitte	I	ITJ	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	genieren	genieren	V	VVFIN	3|Pl|Pres|_	0	root	_	_
9	Sie	sie	P	PPER	3|Pl|_|Nom	8	subj	523	523
10	sich	sie	P	PRF	3|_|_	8	obja	_	_
11	nur	nur	A	ADV	_	8	adv	_	_
12	gar	gar	A	ADV	_	13	adv	_	_
13	nicht	nicht	P	PTKNEG	_	8	adv	_	_
14	,	,	$	$,	_	0	root	_	_
15	wir	wir	P	PPER	1|Pl|_|Nom	16	subj	_	_
16	sind	sein	V	VAFIN	1|Pl|Pres|Ind	8	kon	_	_
17	hier	hier	A	ADV	_	16	adv	_	_
18	unter	unter	P	APPR	_	16	pp	_	_
19	uns	wir	P	PPER	1|Pl|_|_	18	pn	_	_
20	.	.	$	$.	_	0	root	_	_

1	Leutner	Leutner	N	NE	_	0	root	30	30
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	ziemlich	ziemlich	A	ADJD	_	6	adv	_	_
6	possierlich	possierlich	A	ADJD	Pos|	4	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Was	was	P	PWS	Neut|Nom|Sg	8	subj	_	_
4	dem	die	A	ART	Def|Masc|Dat|Sg	5	det	207	207
5	Könige	König	N	NN	Masc|Dat|Sg	8	objd	207	207
6	freilich	freilich	A	ADV	_	7	adv	207	207
7	wenig	wenig	P	PIS	_	5	adv	207	207
8	ansteht	anstehen	V	VVFIN	3|Sg|Pres|Ind	10	subjc	_	_
9	,	,	$	$,	_	0	root	_	_
10	schickt	schicken	V	VVFIN	_|_|Pres|Ind	0	root	_	_
11	sich	sie	P	PRF	3|_|_	10	obja	_	_
12	desto	desto	A	ADV	_	13	adv	_	_
13	besser	gut	A	ADJD	Comp|	10	adv	_	_
14	für	für	P	APPR	Acc	10	pp	_	_
15	mich	ich	P	PPER	1|Sg|_|Acc	14	pn	524	524
16	;	;	$	$.	_	0	root	_	_
17	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	1	1
18	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
19	daher	daher	P	PROAV	_	23	pp	_	_
20	auch	auch	A	ADV	_	23	adv	_	_
21	gar	gar	A	ADV	_	22	adv	_	_
22	nicht	nicht	P	PTKNEG	_	23	adv	_	_
23	vorkommen	vorkommen	V	VVINF	_	18	aux	_	_
24	,	,	$	$,	_	0	root	_	_
25	sondern	sondern	K	KON	_	18	kon	_	_
26	überließ	überlassen	V	VVFIN	3|Sg|Past|Ind	25	cj	_	_
27	mir	ich	P	PPER	1|Sg|_|Dat	26	objd	524	524
28	diese	diese	A	PDAT	Fem|Nom|Sg	30	det	_	_
29	wichtige	wichtig	A	ADJA	Pos|Fem|Nom|Sg|_|	30	attr	_	_
30	Ankündigung	Ankündigung	N	NN	Fem|Nom|Sg	26	subj	_	_
31	.	.	$	$.	_	0	root	_	_

1	Müller	Müller	N	NE	_	0	root	3	3
2	:	\:	$	$.	_	0	root	_	_
3	Wir	wir	P	PPER	1|Pl|_|Nom	4	subj	_	_
4	wollen	wollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
5	aber	aber	A	ADV	_	7	adv	_	_
6	nichts	nichts	P	PIS	_	7	obja	_	_
7	hören	hören	V	VVINF	_	4	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Meine	meine	A	PPOSAT	_|_|Pl	6	det	525	525
4	lieben	lieb	A	ADJA	Pos|_|_|Pl|Wk|	6	attr	526	526
5	deutschen	deutsch	A	ADJA	Pos|_|_|Pl|Wk|	6	attr	526	526
6	Landsleute	Landsleute	N	NN	_|_|Pl	0	root	526	526
7	-	-	$	$(	_	0	root	_	_

1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	525	525
4	denke	denken	V	VVFIN	1|Sg|Pres|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	A	ART	Def|Neut|Nom|Sg	7	det	9	9
7	Stück	Stück	N	NN	Neut|Nom|Sg	8	subj	9	9
8	spielt	spielen	V	VVFIN	3|Sg|Pres|Ind	4	s	_	_
9	draußen	draußen	A	ADV	_	8	adv	_	_
10	in	in	P	APPR	_	8	pp	_	_
11	Asien	Asien	N	NE	Neut|_|Sg	10	pn	_	_
12	?	?	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Kann	können	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
4	sein	sein	V	VAINF	_	3	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	525	525
7	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	3	kon	_	_
8	nicht	nicht	P	PTKNEG	_	7	adv	_	_
9	;	;	$	$.	_	0	root	_	_
10	jetzt	jetzt	A	ADV	_	11	adv	_	_
11	aber	aber	A	ADV	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	verstehn	verstehn	V	VVFIN	3|_|_|_	0	root	_	_
14	Sie	sie	P	PPER	3|_|_|Nom	13	subj	350	350
15	mich	ich	P	PPER	1|Sg|_|Acc	13	obja	525	525
16	,	,	$	$,	_	0	root	_	_
17	jetzt	jetzt	A	ADV	_	18	adv	_	_
18	rede	reden	V	VVFIN	1|Sg|Pres|_	13	kon	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	525	525
20	ja	ja	A	ADV	_	18	adv	_	_
21	zu	zu	P	APPR	Dat	18	pp	_	_
22	Ihnen	sie	P	PPER	3|Pl|_|Dat	21	pn	526	526
23	als	als	K	KOKOM	_	18	kom	_	_
24	bloßer	bloß	A	ADJA	Pos|Masc|_|_|St|	25	attr	_	_
25	Schauspieler	Schauspieler	N	NN	Masc|_|_	23	cj	_	_
26	zu	zu	P	APPR	Dat	25	pp	_	_
27	den	die	A	ART	Def|Masc|Dat|Pl	28	det	_	_
28	Zuschauern	Zuschauer	N	NN	Masc|Dat|Pl	26	pn	_	_
29	,	,	$	$,	_	0	root	_	_
30	nicht	nicht	P	PTKNEG	_	31	adv	_	_
31	als	als	K	KOKOM	_	23	kon	_	_
32	Hanswurst	Hanswurst	N	NN	_|_|Sg	31	cj	350	350
33	,	,	$	$,	_	0	root	_	_
34	sondern	sondern	K	KON	_	31	kon	_	_
35	als	als	K	KOKOM	_	34	cj	_	_
36	Mensch	Mensch	N	NN	_|_|Sg	35	cj	_	_
37	zu	zu	P	APPR	Dat	18	pp	_	_
38	einem	eine	A	ART	Indef|Neut|Dat|Sg	39	det	527	527
39	Publikum	Publikum	N	NN	Neut|Dat|Sg	37	pn	527	527
40	,	,	$	$,	_	0	root	527	527
41	das	die	P	PRELS	Neut|Nom|Sg	47	subj	527	527
42	nicht	nicht	P	PTKNEG	_	46	adv	_	_
43	in	in	P	APPR	Dat	46	pp	_	_
44	der	die	A	ART	Def|Fem|Dat|Sg	45	det	528	528
45	Illusion	Illusion	N	NN	Fem|Dat|Sg	43	pn	528	528
46	begriffen	begreifen	V	VVPP	_	47	aux	_	_
47	ist	sein	V	VAFIN	3|Sg|Pres|Ind	39	rel	_	_
48	,	,	$	$,	_	0	root	_	_
49	sondern	sondern	K	KON	_	47	kon	_	_
50	sich	sie	P	PRF	3|_|_	53	obja	_	_
51	außerhalb	außerhalb	P	APPR	_	53	objp	_	_
52	derselben	dieselbe	P	PDS	_|_|_	51	pn	_	_
53	befindet	befinden	V	VVFIN	_|_|Pres|_	49	cj	_	_
54	;	;	$	$.	_	0	root	_	_
55	kühl	kühl	A	ADJD	Pos|	0	root	_	_
56	,	,	$	$,	_	0	root	_	_
57	vernünftig	vernünftig	A	ADJD	Pos|	65	adv	_	_
58	,	,	$	$,	_	0	root	_	_
59	bei	bei	P	APPR	Dat	65	pp	_	_
60	sich	sie	P	PRF	3|_|Dat	59	pn	_	_
61	,	,	$	$,	_	0	root	_	_
62	vom	von	P	APPRART	Dat	65	pp	_	_
63	Wahnsinn	Wahnsinn	N	NN	Masc|Dat|Sg	62	pn	_	_
64	der	die	A	ART	Def|Fem|_|Sg	65	det	_	_
65	Kunst	Kunst	N	NN	Fem|_|Sg	0	root	_	_
66	unberührt	unberührt	A	ADJD	Pos|	0	root	_	_
67	.	.	$	$.	_	0	root	_	_

1	Kapieren	kapieren	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	526	526
3	mich	ich	P	PPER	1|Sg|_|Acc	1	obja	525	525
4	?	?	$	$.	_	0	root	_	_

1	Können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	526	526
3	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	525	525
4	folgen	folgen	V	VVINF	_	1	aux	_	_
5	?	?	$	$.	_	0	root	_	_

1	Distinguieren	distinguieren	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	526	526
3	?	?	$	$.	_	0	root	_	_

1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	Adieu	Adieu	F	FM	_	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_|_|_|Nom	2	subj	1	1
5	fort	fort	P	PTKVZ	_	2	avz	_	_
6	mit	mit	P	APPR	Dat	2	pp	_	_
7	mir	ich	P	PPER	1|Sg|_|Dat	6	pn	529	529
8	,	,	$	$,	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	529	529
10	schnappe	schnappen	V	VVFIN	1|Sg|Pres|_	2	kon	_	_
11	über	über	P	PTKVZ	_	10	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	Richtig	richtig	A	ADJD	Pos|	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wie	wie	P	PWAV	_	6	adv	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	529	529
5	immer	immer	A	ADV	_	6	adv	_	_
6	vorhergesagt	vorhersagen	V	VVPP	_	7	aux	_	_
7	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Müller	Müller	N	NE	_	0	root	3	3
2	:	\:	$	$.	_	0	root	_	_
3	Wir	wir	P	PPER	1|Pl|_|Nom	4	subj	_	_
4	verstehn	verstehn	V	VVFIN	1|Pl|_|_	0	root	_	_
5	Sie	sie	P	PPER	3|_|_|_	4	obja	530	530
6	gar	gar	A	ADV	_	7	adv	_	_
7	nicht	nicht	P	PTKNEG	_	4	adv	_	_
8	.	.	$	$.	_	0	root	_	_

1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	Sagen	sagen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	530	530
5	doch	doch	A	ADV	_	3	adv	_	_
6	nicht	nicht	P	PTKNEG	_	3	adv	_	_
7	zu	zu	P	APPR	Dat	3	pp	_	_
8	einem	eine	A	ART	Indef|Masc|Dat|Sg	9	det	_	_
9	Hanswurste	Hanswurst	N	NN	Masc|Dat|Sg	7	pn	_	_
10	Sie	sie	P	PPER	3|_|_|_	3	obja	_	_
11	.	.	$	$.	_	0	root	_	_

1	Müller	Müller	N	NE	_	0	root	3	3
2	:	\:	$	$.	_	0	root	_	_
3	Er	er	P	PPER	3|Sg|Masc|Nom	4	subj	1	1
4	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	ja	ja	A	ADV	_	4	adv	_	_
6	aber	aber	A	ADV	_	4	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	14	konj	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	1	1
10	jetzt	jetzt	A	ADV	_	14	adv	_	_
11	nur	nur	A	ADV	_	14	adv	_	_
12	einen	eine	A	ART	Indef|Masc|Acc|Sg	13	det	_	_
13	Menschen	Mensch	N	NN	Masc|Acc|Sg	14	obja	_	_
14	vorstellt	vorstellen	V	VVFIN	3|Sg|Pres|Ind	4	objc	_	_
15	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Geruhen	Geruhen	N	NE	_	0	root	531	531
4	Sie	sie	P	PPER	3|_|_|_	0	root	531	531
5	doch	doch	A	ADV	_	7	adv	_	_
6	zu	zu	P	PTKZU	_	7	part	_	_
7	vernehmen	vernehmen	V	VVINF	_	0	root	_	_
8	(	(	$	$(	_	0	root	_	_
9	und	und	K	KON	_	7	par	_	_
10	das	die	P	PDS	Neut|Nom|Sg	11	subj	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	9	cj	_	_
