1	Leutner	Leutner	N	NE	_	0	root	30	30
14	im	in	P	APPRART	Dat	19	pp	_	_
15	Stück	Stück	N	NN	Neut|Dat|Sg	14	pn	516	516
16	über	über	P	APPR	Acc	19	pp	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	18	det	23	23
18	Kater	Kater	N	NN	Masc|Acc|Sg	16	pn	23	23
19	wundert	wundern	V	VVFIN	3|Sg|Pres|Ind	8	subjc	_	_
20	;	;	$	$.	_	0	root	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	102	102
22	König	König	N	NN	Masc|Nom|Sg	25	pred	102	102
23	und	und	K	KON	_	22	kon	_	_
24	alle	alle	P	PIS	_|Nom|_	23	cj	_	_
25	tun	tun	V	VVINF	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	als	als	K	KOKOM	_	28	konj	_	_
28	müßte	müssen	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
29	es	es	P	PPER	3|Sg|Neut|Nom	28	subj	_	_
30	so	so	A	ADV	_	31	adv	_	_
31	sein	sein	V	VAINF	_	28	aux	_	_
32	.	.	$	$.	_	0	root	_	_

1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	Mir	ich	P	PPER	1|Sg|_|Dat	4	objd	346	346
4	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	7	det	_	_
6	ganze	ganz	A	ADJA	Pos|Masc|Nom|Sg|Wk|	7	attr	_	_
7	Kopf	Kopf	N	NN	Masc|Nom|Sg	4	subj	_	_
8	von	von	P	APPR	Dat	7	pp	_	_
9	dem	die	A	ART	Def|Neut|Dat|Sg	11	det	_	_
10	wunderlichen	wunderlich	A	ADJA	Pos|Neut|Dat|Sg|Wk|	11	attr	_	_
11	Zeuge	Zeug	N	NN	Neut|Dat|Sg	8	pn	_	_
12	herum	herum	P	PTKVZ	_	4	avz	_	_
13	.	.	$	$.	_	0	root	_	_

1	Königlicher	königlich	A	ADJA	Pos|Masc|Nom|Sg|St|	2	attr	_	_
2	Speisesaal	Speisesaal	N	NN	Masc|Nom|Sg	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Große	groß	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	_	_
2	ausgerüstete	ausgerüstet	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	_	_
3	Tafel	Tafel	N	NN	Fem|_|Sg	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Unter	unter	P	APPR	_	5	pp	_	_
2	Pauken	Pauke	N	NN	_|_|_	1	pn	_	_
3	und	und	K	KON	_	2	kon	_	_
4	Trompeten	Trompete	N	NN	_|_|_	3	cj	_	_
5	treten	treten	V	VVFIN	_|Pl|Pres|_	0	root	_	_
6	ein	ein	P	PTKVZ	_	5	avz	_	_
7	:	\:	$	$.	_	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	207	207
9	König	König	N	NN	Masc|Nom|Sg	0	root	207	207
10	,	,	$	$,	_	0	root	207	207
11	die	die	A	ART	Def|Fem|Nom|Sg	12	det	207	207
12	Prinzessin	Prinzessin	N	NN	Fem|Nom|Sg	9	kon	207	207
13	,	,	$	$,	_	0	root	207	207
14	Leander	Leander	N	NE	Masc|Nom|Sg	12	kon	167	167
15	,	,	$	$,	_	0	root	167	167
16	Hinze	Hinze	N	NE	Masc|Nom|Pl	14	kon	84	84
17	,	,	$	$,	_	0	root	84	84
18	mehrere	mehrere	A	PIAT	Masc|Nom|Pl	20	det	84	84
19	vornehme	vornehm	A	ADJA	Pos|Masc|Nom|Pl|St|	20	attr	84	84
20	Gäste	Gast	N	NN	Masc|Nom|Pl	16	kon	84	84
21	und	und	K	KON	_	20	kon	_	_
22	Hanswurst	Hanswurst	N	NN	_|Nom|Sg	21	cj	_	_
23	,	,	$	$,	_	0	root	_	_
24	Bediente	Bediente	N	NN	_|Nom|_	22	app	_	_
25	,	,	$	$,	_	0	root	_	_
26	welche	welche	A	PWAT	_|_|_	0	root	_	_
27	aufwarten	aufwarten	V	VVFIN	_|Pl|Pres|_	0	root	_	_
28	.	.	$	$.	_	0	root	_	_

1	König	König	N	NN	Masc|_|Sg	0	root	148	148
2	:	\:	$	$.	_	0	root	_	_
3	Setzen	setzen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	_	_
5	uns	wir	P	PRF	1|Pl|_	3	obja	_	_
6	,	,	$	$,	_	0	root	_	_
7	die	die	A	ART	Def|Fem|Nom|Sg	8	det	348	348
8	Suppe	Suppe	N	NN	Fem|Nom|Sg	9	subj	348	348
9	wird	werden	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	_
10	sonst	sonst	A	ADV	_	9	adv	_	_
11	kalt	kalt	A	ADJD	Pos|	9	pred	_	_
12	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	für	für	P	APPR	Acc	6	objp	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	347	347
5	Jäger	Jäger	N	NN	Masc|Acc|Sg	3	pn	347	347
6	gesorgt	sorgen	V	VVPP	_	2	aux	_	_
7	?	?	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	2	det	_	_
2	Bedienter	Bediente	N	NN	Masc|Nom|Sg	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Ja	ja	P	PTKANT	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Ihro	Ihro	N	NE	Fem|_|Sg	0	root	_	_
7	Majestät	Majestät	N	NN	Fem|_|Sg	6	app	_	_
8	;	;	$	$.	_	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	1	1
10	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	mit	mit	P	APPR	Dat	18	pp	_	_
12	dem	die	A	ART	Def|_|Dat|Sg	13	det	_	_
13	Hofnarren	Hofnarr	N	NN	_|Dat|Sg	11	pn	_	_
14	hier	hier	A	ADV	_	11	adv	_	_
15	am	an	P	APPRART	Dat	18	pp	_	_
16	kleinen	klein	A	ADJA	Pos|Neut|Dat|_|_|	17	attr	_	_
17	Tischchen	Tischchen	N	NN	Neut|Dat|_	15	pn	_	_
18	essen	essen	V	VVINF	_	10	aux	_	_
19	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	_	_
2	zu	zu	P	APPR	Dat	1	pp	_	_
3	Hinze	Hinze	N	NE	_|Dat|_	2	pn	84	84
4	:	\:	$	$.	_	0	root	_	_
5	Setzen	setzen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
6	wir	wir	P	PPER	1|Pl|_|Nom	5	subj	_	_
7	uns	wir	P	PRF	1|Pl|_	5	obja	_	_
8	,	,	$	$,	_	0	root	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	348	348
10	Suppe	Suppe	N	NN	Fem|Nom|Sg	11	subj	348	348
11	wird	werden	V	VAFIN	3|Sg|Pres|Ind	5	kon	_	_
12	sonst	sonst	A	ADV	_	11	adv	_	_
13	kalt	kalt	A	ADJD	Pos|	11	pred	_	_
14	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_|Nom|Sg	2	subj	84	84
2	setzt	setzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	:	\:	$	$.	_	0	root	_	_
5	Mit	mit	P	APPR	Dat	7	pp	_	_
6	wem	wer	P	PWS	_|Dat|Sg	5	pn	_	_
7	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	351	351
9	die	die	A	ART	Def|Fem|_|Sg	10	det	745	745
10	Ehre	Ehre	N	NN	Fem|_|Sg	12	obja	745	745
11	zu	zu	P	PTKZU	_	12	part	_	_
12	speisen	speisen	V	VVINF	_	7	aux	_	_
13	?	?	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	-	-	$	$(	_	0	root	_	_
3	Der	die	A	ART	Def|Masc|Nom|Sg	4	det	349	349
4	Mensch	Mensch	N	NN	Masc|Nom|Sg	5	subj	349	349
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	was	was	P	PRELS	Neut|Nom|Sg	9	subj	350	350
8	er	er	P	PPER	3|Sg|Masc|Nom	9	pred	349	349
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	5	objc	_	_
10	,	,	$	$,	_	0	root	_	_
11	Herr	Herr	N	NN	Masc|_|Sg	0	root	358	358
12	Jäger	Jäger	N	NE	_|_|Sg	11	app	358	358
13	,	,	$	$,	_	0	root	_	_
14	wir	wir	P	PPER	1|Pl|_|Nom	0	root	_	_
15	können	können	V	VMINF	_	19	aux	_	_
16	nicht	nicht	P	PTKNEG	_	19	adv	_	_
17	alle	alle	A	PIDAT	_|_|_	18	det	_	_
18	dasselbe	dasselbe	P	PIS	_	19	obja	_	_
19	treiben	treiben	V	VVINF	_	0	root	_	_
20	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	351	351
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	352	352
4	armer	arm	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	352	352
5	verbannter	verbannt	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	352	352
6	Flüchtling	Flüchtling	N	NN	Masc|Nom|Sg	2	pred	352	352
7	,	,	$	$,	_	0	root	352	352
8	ein	eine	A	ART	Indef|Masc|Nom|Sg	9	det	352	352
9	Mann	Mann	N	NN	Masc|Nom|Sg	6	app	352	352
10	,	,	$	$,	_	0	root	352	352
11	der	die	P	PRELS	Masc|Nom|Sg	17	subj	352	352
12	vor	vor	P	APPR	Dat	17	pp	_	_
13	langer	lang	A	ADJA	Pos|Fem|Dat|Sg|St|	14	attr	_	_
14	Zeit	Zeit	N	NN	Fem|Dat|Sg	12	pn	_	_
15	einmal	einmal	A	ADV	_	12	adv	_	_
16	spaßhaft	spaßhaft	A	ADJD	Pos|	17	pred	_	_
17	war	sein	V	VAFIN	3|Sg|Past|Ind	9	rel	_	_
18	,	,	$	$,	_	0	root	_	_
19	den	die	P	PRELS	Masc|Acc|Sg	28	obja	352	352
20	man	man	P	PIS	_|Nom|Sg	28	subj	_	_
21	nachher	nachher	A	ADV	_	28	adv	_	_
22	für	für	P	APPR	Acc	28	objp	_	_
23	dumm	dumm	A	ADJD	Pos|	22	pn	_	_
24	,	,	$	$,	_	0	root	_	_
25	abgeschmackt	abgeschmackt	A	ADJD	Pos|	23	kon	_	_
26	und	und	K	KON	_	25	kon	_	_
27	unanständig	unanständig	A	ADJD	Pos|	26	cj	_	_
28	hielt	halten	V	VVFIN	3|Sg|Past|Ind	11	rel	_	_
29	,	,	$	$,	_	0	root	_	_
30	und	und	K	KON	_	28	kon	_	_
31	der	die	P	PRELS	Masc|Nom|Sg	41	subj	352	352
32	nun	nun	A	ADV	_	40	adv	_	_
33	in	in	P	APPR	Dat	40	pp	_	_
34	einem	eine	A	ART	Indef|Neut|Dat|Sg	36	det	_	_
35	fremden	fremd	A	ADJA	Pos|Neut|Dat|Sg|Wk|	36	attr	_	_
36	Lande	Land	N	NN	Neut|Dat|Sg	33	pn	_	_
37	wieder	wieder	A	ADV	_	40	adv	_	_
38	in	in	P	APPR	_	40	objp	_	_
39	Dienst	Dienst	N	NN	Masc|_|Sg	38	pn	353	353
40	getreten	treten	V	VVPP	_	41	aux	_	_
41	ist	sein	V	VAFIN	3|Sg|Pres|Ind	30	cj	_	_
42	,	,	$	$,	_	0	root	_	_
43	wo	wo	P	PWAV	_	53	adv	_	_
44	man	man	P	PIS	_|Nom|Sg	53	subj	_	_
45	ihn	er	P	PPER	3|Sg|Masc|Acc	53	obja	352	352
46	von	von	P	APPR	Dat	53	pp	_	_
47	neuem	neu	A	ADJA	Pos|_|Dat|Sg|St|	46	pn	_	_
48	auf	auf	P	APPR	Acc	46	kon	_	_
49	einige	einige	A	PIAT	Fem|Acc|Sg	50	det	_	_
50	Zeit	Zeit	N	NN	Fem|Acc|Sg	48	pn	_	_
51	für	für	P	APPR	Acc	50	pp	_	_
52	unterhaltend	unterhalten	A	ADJD	_|<PPRES	51	pn	_	_
53	ansieht	ansehen	V	VVFIN	3|Sg|Pres|Ind	40	rel	_	_
54	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	So	so	A	ADV	_	0	root	_	_
4	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|Nom|Sg	3	pred	_	_
3	seid	sein	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
4	Ihr	ihr	P	PPER	2|Pl|_|Nom	3	subj	_	_
5	für	für	P	APPR	Acc	3	pp	_	_
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	_	_
7	Landsmann	Landsmann	N	NN	Masc|Nom|Sg	5	pn	_	_
8	?	?	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Leider	leider	A	ADV	_	4	adv	_	_
4	nur	nur	A	ADV	_	6	adv	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	_	_
6	Deutscher	Deutsche	N	NN	Masc|Nom|Sg	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Meine	meine	A	PPOSAT	_|Nom|Pl	2	det	354	354
2	Landsleute	Landsleute	N	NN	_|Nom|Pl	3	subj	_	_
3	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
4	um	um	P	APPR	Acc	3	pp	_	_
5	eine	eine	A	ART	Indef|Fem|Acc|Sg	7	det	_	_
6	gewisse	gewiss	A	ADJA	Pos|Fem|Acc|Sg|_|	7	attr	_	_
7	Zeit	Zeit	N	NN	Fem|Acc|Sg	4	pn	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	klug	klug	A	ADJD	Pos|	3	pred	_	_
10	,	,	$	$,	_	0	root	_	_
11	daß	daß	K	KOUS	_	17	konj	_	_
12	sie	sie	P	PPER	3|Pl|_|Nom	17	subj	_	_
13	allen	alle	A	PIDAT	Masc|Acc|Sg	14	det	_	_
14	Spaß	Spaß	N	NN	Masc|Acc|Sg	17	obja	_	_
15	bei	bei	P	APPR	Dat	17	pp	_	_
16	Strafe	Strafe	N	NN	Fem|Dat|Sg	15	pn	_	_
17	verboten	verbieten	V	VVFIN	3|Pl|Past|Ind	3	objc	_	_
18	;	;	$	$.	_	0	root	_	_
19	wo	wo	P	PWAV	_	0	root	_	_
20	man	man	P	PIS	_|Nom|Sg	0	root	_	_
21	mich	ich	P	PPER	1|Sg|_|Acc	0	root	354	354
22	nur	nur	A	ADV	_	23	adv	_	_
23	gewahr	gewahr	A	ADJD	Pos|	24	adv	_	_
24	ward	ward	A	ADJD	_	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
27	man	man	P	PIS	_|Nom|Sg	26	subj	_	_
28	mir	ich	P	PPER	1|Sg|_|Dat	26	objd	354	354
29	unausstehliche	unausstehlich	A	ADJA	Pos|_|_|_|_|	30	attr	_	_
30	Ekelnamen	Ekelname	N	NN	_|_|_	26	obja	_	_
31	,	,	$	$,	_	0	root	_	_
32	als	als	K	KOKOM	_	0	root	_	_
33	:	\:	$	$.	_	0	root	_	_
34	gemein	gemein	A	ADJD	Pos|	0	root	_	_
35	,	,	$	$,	_	0	root	_	_
36	pöbelhaft	pöbelhaft	A	ADJD	Pos|	0	root	_	_
37	,	,	$	$,	_	0	root	_	_
38	niederträchtig	niederträchtig	A	ADJD	Pos|	0	root	_	_
39	,	,	$	$,	_	0	root	_	_
40	ja	ja	A	ADV	_	44	adv	_	_
41	mein	meine	A	PPOSAT	Masc|Nom|Sg	44	det	354	354
42	guter	gut	A	ADJA	Pos|Masc|Nom|Sg|St|	44	attr	_	_
43	ehrlicher	ehrlich	A	ADJA	Pos|Masc|Nom|Sg|St|	44	attr	_	_
44	Name	Name	N	NN	Masc|Nom|Sg	0	root	_	_
45	Hanswurst	Hanswurst	F	FM	Masc|Nom|Sg	44	app	_	_
46	ward	ward	F	FM	Masc|Nom|Sg	45	app	_	_
47	zu	zu	P	APPR	Dat	46	pp	_	_
48	einem	eine	A	ART	Indef|Neut|Dat|Sg	49	det	_	_
49	Schimpfworte	Schimpfwort	N	NN	Neut|Dat|Sg	47	pn	_	_
50	herabgewürdigt	herabgewürdigt	N	NE	Neut|Dat|Sg	49	app	_	_
51	.	.	$	$.	_	0	root	_	_

1	O	O	N	NN	Neut|_|_	7	vok	_	_
2	edle	edel	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	_	_
3	Seele	Seele	N	NN	Fem|_|Sg	1	app	_	_
4	,	,	$	$,	_	0	root	_	_
5	die	die	A	ART	Def|Fem|Nom|Pl	6	det	355	355
6	Tränen	Träne	N	NN	Fem|Nom|Pl	7	subj	355	355
7	stehn	stehn	V	VVFIN	_|Pl|_|_	0	root	_	_
8	dir	du	P	PPER	2|Sg|_|Dat	7	objd	356	356
9	in	in	P	APPR	Dat	7	pp	_	_
10	den	die	A	ART	Def|Neut|Dat|Pl	11	det	150	150
11	Augen	Auge	N	NN	Neut|Dat|Pl	9	pn	150	150
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	7	kon	_	_
14	du	du	P	PPER	2|Sg|_|Nom	15	subj	356	356
15	knurrst	knurren	V	VVFIN	2|Sg|Pres|Ind	13	cj	_	_
16	vor	vor	P	APPR	_	15	pp	_	_
17	Schmerz	Schmerz	N	NN	Masc|_|Sg	16	pn	_	_
18	,	,	$	$,	_	0	root	_	_
19	oder	oder	K	KON	_	15	kon	_	_
20	macht	machen	V	VVFIN	3|Sg|Pres|Ind	19	cj	_	_
21	es	es	P	PPER	3|Sg|Neut|_	20	obja	_	_
22	der	die	A	ART	Def|Masc|Nom|Sg	23	det	_	_
23	Geruch	Geruch	N	NN	Masc|Nom|Sg	20	subj	_	_
24	des	die	A	ART	Def|_|Gen|Sg	25	det	357	357
25	Bratens	Braten	N	NN	Masc|Gen|Sg	23	gmod	357	357
26	,	,	$	$,	_	0	root	357	357
27	der	die	P	PRELS	Masc|Nom|Sg	32	subj	357	357
28	dir	du	P	PPER	2|Sg|_|Dat	32	objd	356	356
29	in	in	P	APPR	Acc	32	pp	_	_
30	die	die	A	ART	Def|Fem|Acc|Sg	31	det	407	407
31	Nase	Nase	N	NN	Fem|Acc|Sg	29	pn	407	407
32	zieht	zeihen	V	VVFIN	3|Sg|Pres|Ind	25	rel	_	_
33	?	?	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	lieber	lieb	A	ADJA	Pos|_|_|_|St|	4	attr	_	_
4	Empfindsamer	Empfindsame	N	NN	_|_|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	wer	wer	P	PWS	_|Nom|Sg	10	subj	_	_
7	sich	sie	P	PRF	3|_|Dat	10	objd	_	_
8	damals	damals	A	ADV	_	10	adv	_	_
9	nur	nur	A	ADV	_	10	adv	_	_
10	unterstand	unterstehen	V	VVFIN	3|Sg|Past|Ind	4	objc	_	_
11	,	,	$	$,	_	0	root	_	_
12	über	über	P	APPR	Acc	15	pp	_	_
13	mich	ich	P	PPER	1|Sg|_|Acc	12	pn	354	354
14	zu	zu	P	PTKZU	_	15	part	_	_
15	lachen	lachen	V	VVINF	_	10	obji	_	_
16	,	,	$	$,	_	0	root	_	_
17	der	die	P	PDS	Masc|Nom|Sg	18	subj	_	_
18	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
19	ebenso	ebenso	A	ADV	_	20	adv	_	_
20	verfolgt	verfolgen	V	VVPP	_	18	aux	_	_
21	,	,	$	$,	_	0	root	_	_
22	wie	wie	P	PWAV	_	0	root	_	_
23	ich	ich	P	PPER	1|Sg|_|Nom	0	root	354	354
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	so	so	A	ADV	_	27	adv	_	_
27	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	25	cj	_	_
28	ich	ich	P	PPER	1|Sg|_|Nom	0	root	354	354
29	denn	denn	A	ADV	_	31	adv	_	_
30	wohl	wohl	A	ADV	_	31	adv	_	_
31	in	in	P	APPR	Acc	0	root	_	_
32	die	die	A	ART	Def|Fem|Acc|Sg	33	det	_	_
33	Verbannung	Verbannung	N	NN	Fem|Acc|Sg	31	pn	_	_
34	wandern	wandern	V	VVINF	_	0	root	_	_
35	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Armer	arm	A	ADJA	Pos|Masc|_|_|St|	4	attr	_	_
4	Mann	Mann	N	NN	Masc|_|_	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
4	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	wunderliche	wunderlich	A	ADJA	Pos|Fem|_|Pl|St|	6	attr	360	360
6	Hantierungen	Hantierung	N	NN	Fem|_|Pl	4	obja	360	360
7	in	in	P	APPR	Dat	4	pp	_	_
8	der	die	A	ART	Def|Fem|Dat|Sg	9	det	358	358
9	Welt	Welt	N	NN	Fem|Dat|Sg	7	pn	358	358
10	,	,	$	$,	_	0	root	358	358
11	Herr	Herr	N	NN	Masc|Dat|Sg	9	app	358	358
12	Jäger	Jäger	N	NE	_|Dat|Sg	11	app	358	358
13	;	;	$	$.	_	0	root	_	_
14	Köche	Koch	N	NN	Masc|_|Pl	0	root	313	313
15	leben	leben	V	VVFIN	_|Pl|Pres|_	0	root	_	_
16	vom	von	P	APPRART	Dat	24	pp	_	_
17	Appetit	Appetit	N	NN	Masc|Dat|Sg	16	pn	_	_
18	,	,	$	$,	_	0	root	_	_
19	Schneider	Schneider	N	NE	Masc|Dat|Sg	17	kon	_	_
20	von	von	P	APPR	_	19	pp	_	_
21	der	die	A	ART	Def|Fem|_|Sg	22	det	359	359
22	Eitelkeit	Eitelkeit	N	NN	Fem|_|Sg	20	pn	359	359
23	,	,	$	$,	_	0	root	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	361	361
25	vom	von	P	APPRART	Dat	15	pp	_	_
26	Lachen	Lache	N	NN	_|Dat|_	25	pn	_	_
27	der	die	A	ART	Def|Masc|Gen|Pl	28	det	97	97
28	Menschen	Mensch	N	NN	Masc|Gen|Pl	26	gmod	97	97
29	;	;	$	$.	_	0	root	_	_
30	wenn	wenn	K	KOUS	_	34	konj	_	_
31	sie	sie	P	PPER	3|Pl|_|Nom	34	subj	360	360
32	nicht	nicht	P	PTKNEG	_	34	adv	_	_
33	mehr	mehr	A	ADV	_	32	adv	_	_
34	lachen	lachen	V	VVFIN	3|Pl|Pres|_	37	neb	_	_
35	,	,	$	$,	_	0	root	_	_
36	so	so	A	ADV	_	37	adv	_	_
37	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
38	meine	meine	A	PPOSAT	Fem|Nom|Sg	39	det	361	361
39	Nahrung	Nahrung	N	NN	Fem|Nom|Sg	37	subj	_	_
40	verloren	verlieren	V	VVPP	_	37	aux	_	_
41	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	A	ART	Def|Neut|_|Sg	4	det	_	_
4	Gemüse	Gemüse	N	NN	Neut|_|Sg	5	obja	_	_
5	eß	eß	V	VVFIN	1|Sg|_|_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	361	361
7	nicht	nicht	P	PTKNEG	_	5	adv	_	_
8	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Warum	Warum	P	PWAV	_	0	root	_	_
4	?	?	$	$.	_	0	root	_	_

1	Seid	sein	V	VAFIN	2|Pl|Pres|Ind	5	neb	_	_
2	nicht	nicht	P	PTKNEG	_	1	adv	_	_
3	blöde	blöde	A	ADJD	Pos|	1	pred	_	_
