1	Als	Als	K	KOKOM	_	6	kom	_	_
44	Wissenschaften	Wissenschaft	N	NN	Fem|Dat|Pl	47	objd	_	_
45	nie	nie	A	ADV	_	46	adv	_	_
46	wird	werden	V	VAFIN	3|Sg|Pres|Ind	39	rel	_	_
47	ableugnen	ableugnen	V	VVINF	_	48	aux	_	_
48	können	können	V	VMINF	_	46	aux	_	_
49	.	.	$	$.	_	0	root	_	_

1	Fermer	Fermer	N	NE	_|Nom|Sg	2	subj	6	6
2	klingelte	klingeln	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	jetzt	jetzt	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	8	8
6	Bedienter	Bediente	N	NN	Masc|Nom|Sg	7	subj	8	8
7	öffnete	öffnen	V	VVFIN	3|Sg|Past|_	2	kon	_	_
8	die	die	A	ART	Def|Fem|_|Sg	9	det	_	_
9	Tür	Tür	N	NN	Fem|_|Sg	7	obja	_	_
10	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Er	er	P	PPER	3|Sg|Masc|Nom	0	root	8	8
3	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	die	die	A	ART	Def|Fem|Nom|Sg	5	det	9	9
5	Treppe	Treppe	N	NN	Fem|Nom|Sg	3	subj	9	9
6	hinauf	hinauf	A	ADV	_	3	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	8	8
9	fand	finden	V	VVFIN	3|Sg|Past|Ind	3	kon	_	_
10	Louisen	Louisen	N	NE	_	9	obja	21	21
11	in	in	P	APPR	Dat	9	pp	_	_
12	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	13	det	9	9
13	Zimmer	Zimmer	N	NN	Neut|Dat|Sg	11	pn	_	_
14	.	.	$	$.	_	0	root	_	_

1	Ohne	ohne	P	APPR	Acc	5	pp	_	_
2	weiter	weiter	A	ADV	_	3	adv	_	_
3	Umstände	Umstand	N	NN	Masc|Acc|Pl	1	pn	_	_
4	zu	zu	P	PTKZU	_	5	part	_	_
5	machen	machen	V	VVINF	_	7	obji	_	_
6	,	,	$	$,	_	0	root	_	_
7	sprang	springen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	3	3
9	auf	auf	P	APPR	Acc	7	pp	_	_
10	sie	sie	P	PPER	3|_|_|Acc	9	pn	9	9
11	zu	zu	P	PTKVZ	_	7	avz	_	_
12	und	und	K	KON	_	7	kon	_	_
13	drückte	drücken	V	VVFIN	_|Sg|Past|_	12	cj	_	_
14	sie	sie	P	PPER	3|_|_|_	13	obja	9	9
15	herzhaft	herzhaft	A	ADJD	_	13	adv	_	_
16	in	in	P	APPR	Acc	13	objp	_	_
17	seine	seine	A	PPOSAT	_|Acc|_	18	det	3	3
18	Arme	Arm	N	NN	_|Acc|_	16	pn	_	_
19	:	\:	$	$.	_	0	root	_	_
20	dies	dies	P	PDS	Neut|Nom|Sg	21	subj	_	_
21	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
22	von	von	P	APPR	_	28	pp	_	_
23	jeher	jeher	A	ADV	_	22	adv	_	_
24	ein	eine	A	ART	Indef|Neut|Nom|Sg	25	det	_	_
25	Vorrecht	Vorrecht	N	NN	Neut|Nom|Sg	28	pred	_	_
26	der	die	A	ART	Def|_|Gen|_	27	det	_	_
27	Verliebten	Verliebte	N	NN	_|Gen|_	25	gmod	_	_
28	gewesen	sein	V	VAPP	_	21	aux	_	_
29	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Sosehr	Sosehr	N	NN	_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	0	root	3	3
4	trunken	trunken	A	ADJD	_	7	pred	_	_
5	von	von	P	APPR	_	4	pp	_	_
6	Wonne	Wonne	N	NN	Fem|_|Sg	5	pn	_	_
7	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	glaubte	glauben	V	VVFIN	3|Sg|Past|_	7	kon	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	3	3
12	dennoch	dennoch	A	ADV	_	10	adv	_	_
13	zu	zu	P	PTKZU	_	14	part	_	_
14	bemerken	bemerken	V	VVINF	_	10	obji	_	_
15	,	,	$	$,	_	0	root	_	_
16	daß	daß	K	KOUS	_	23	konj	_	_
17	seine	seine	A	PPOSAT	_|Nom|Sg	18	det	3	3
18	Geliebte	Geliebte	N	NN	_|Nom|Sg	23	subj	10	10
19	seine	seine	A	PPOSAT	Fem|_|Sg	20	det	10	10
20	Herzlichkeit	Herzlichkeit	N	NN	Fem|_|Sg	23	obja	_	_
21	nicht	nicht	P	PTKNEG	_	23	adv	_	_
22	so	so	A	ADV	_	23	adv	_	_
23	erwiderte	erwidern	V	VVFIN	3|Sg|Past|_	14	objc	_	_
24	,	,	$	$,	_	0	root	_	_
25	als	als	K	KOUS	_	28	konj	_	_
26	sie	sie	P	PPER	3|Sg|Fem|Nom	28	subj	10	10
27	wohl	wohl	A	ADV	_	28	adv	_	_
28	hätte	haben	V	VAFIN	3|Sg|Past|Subj	23	neb	_	_
29	tun	tun	V	VVINF	_	30	aux	_	_
30	sollen	sollen	V	VMINF	_	28	aux	_	_
31	;	;	$	$.	_	0	root	_	_
32	indessen	indessen	K	KON	_	0	root	_	_
33	die	die	A	ART	Def|Fem|Nom|Sg	34	det	88	88
34	Szene	Szene	N	NN	Fem|Nom|Sg	35	subj	88	88
35	war	sein	V	VAFIN	3|Sg|Past|Ind	32	cj	_	_
36	einmal	einmal	A	ADV	_	39	adv	_	_
37	zur	zu	P	APPRART	Dat	39	pp	_	_
38	Freude	Freude	N	NN	Fem|Dat|Sg	37	pn	_	_
39	bestimmt	bestimmen	V	VVPP	_	35	aux	_	_
40	,	,	$	$,	_	0	root	_	_
41	und	und	K	KON	_	35	kon	_	_
42	so	so	A	ADV	_	43	adv	_	_
43	gab	geben	V	VVFIN	3|Sg|Past|Ind	41	cj	_	_
44	er	er	P	PPER	3|Sg|Masc|Nom	43	subj	3	3
45	sich	sie	P	PRF	3|_|_	43	obja	_	_
46	denn	denn	A	ADV	_	43	adv	_	_
47	darüber	darüber	P	PROAV	_	43	pp	_	_
48	zufrieden	zufrieden	A	ADJD	Pos|	43	pred	_	_
49	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Warum	Warum	P	PWAV	_	3	adv	_	_
3	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	3	subj	11	11
5	mir	ich	P	PPER	1|Sg|_|Dat	9	objd	12	12
6	so	so	A	ADV	_	7	adv	_	_
7	lange	lange	A	ADJD	_	9	adv	_	_
8	nicht	nicht	P	PTKNEG	_	9	adv	_	_
9	geschrieben	schreiben	V	VVPP	_	3	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	Teureste	Teureste	N	NE	_	3	vok	38	38
12	?	?	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_
14	-	-	$	$(	_	0	root	_	_
15	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	3	3
17	aus	aus	P	PTKVZ	_	15	avz	_	_
18	;	;	$	$.	_	0	root	_	_
19	-	-	$	$(	_	0	root	_	_
20	»	»	$	$(	_	0	root	_	_
21	Wie	Wie	P	PWAV	_	22	adv	_	_
22	konntest	können	V	VMFIN	2|Sg|Past|Ind	0	root	_	_
23	du	du	P	PPER	2|Sg|_|Nom	22	subj	11	11
24	mich	ich	P	PPER	1|Sg|_|Acc	29	obja	12	12
25	in	in	P	APPR	Dat	29	pp	_	_
26	dieser	diese	A	PDAT	Fem|Dat|Sg	28	det	_	_
27	entsetzlichen	entsetzlich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	28	attr	_	_
28	Ungewißheit	Ungewißheit	N	NN	Fem|Dat|Sg	25	pn	_	_
29	lassen	lassen	V	VVINF	_	22	aux	_	_
30	?	?	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	11	11
2	glaubst	glauben	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	was	was	P	PWS	Neut|_|Sg	7	obja	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	12	12
7	gelitten	leiden	V	VVPP	_	8	aux	_	_
8	habe	haben	V	VAFIN	1|Sg|Pres|_	2	objc	_	_
9	,	,	$	$,	_	0	root	_	_
10	alle	alle	A	PIDAT	_|_|_	12	det	_	_
11	mein	meine	A	PPOSAT	Neut|_|Sg	12	det	12	12
12	Glück	Glück	N	NN	Neut|_|Sg	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	alle	alle	A	PIDAT	_|Nom|Pl	16	det	_	_
15	meine	meine	A	PPOSAT	_|Nom|Pl	16	det	12	12
16	Plane	Plan	N	NN	_|Nom|Pl	17	subj	_	_
17	lagen	liegen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
18	zerschlagen	zerschlagen	A	ADJD	Pos|	17	adv	_	_
19	vor	vor	P	APPR	Dat	17	pp	_	_
20	meinen	meine	A	PPOSAT	Masc|Dat|Pl	21	det	12	12
21	Füßen	Fuß	N	NN	Masc|Dat|Pl	19	pn	73	73
22	,	,	$	$,	_	0	root	_	_
23	und	und	K	KON	_	17	kon	_	_
24	der	die	A	ART	Def|Masc|Nom|Sg	26	det	_	_
25	wütendste	wütend	A	ADJA	Sup|Masc|Nom|Sg|Wk|_	26	attr	_	_
26	Schmerz	Schmerz	N	NN	Masc|Nom|Sg	27	subj	_	_
27	fraß	fressen	V	VVFIN	3|Sg|Past|Ind	23	cj	_	_
28	und	und	K	KON	_	27	kon	_	_
29	nagte	nagen	V	VVFIN	_|Sg|Past|_	28	cj	_	_
30	in	in	P	APPR	Dat	29	pp	_	_
31	meinem	meine	A	PPOSAT	Neut|Dat|Sg	32	det	12	12
32	Herzen	Herzen	N	NN	Neut|Dat|Sg	30	pn	_	_
33	.	.	$	$.	_	0	root	_	_
34	«	«	$	$(	_	0	root	_	_

1	Louise	Louise	N	NE	Fem|Nom|Sg	2	subj	15	15
2	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	die	die	A	ART	Def|Neut|_|Pl	4	det	17	17
4	Augen	Auge	N	NN	Neut|_|Pl	2	obja	17	17
5	nieder	nieder	P	PTKVZ	_	2	avz	_	_
6	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	12	12
4	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
5	nicht	nicht	P	PTKNEG	_	4	adv	_	_
6	wohl	wohl	A	ADV	_	4	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	mein	meine	A	PPOSAT	Masc|Nom|Sg	9	det	12	12
9	Vater	Vater	N	NN	Masc|Nom|Sg	10	subj	148	148
10	war	sein	V	VAFIN	3|Sg|Past|Ind	4	kon	_	_
11	krank	krank	A	ADJD	Pos|	10	pred	_	_
12	,	,	$	$,	_	0	root	_	_
13	unsre	unsre	A	PPOSAT	_|_|_	15	det	14	14
14	liebe	lieb	A	ADJA	Pos|_|_|_|_|	15	attr	14	14
15	Vertraute	Vertraute	N	NN	_|_|_	0	root	14	14
16	,	,	$	$,	_	0	root	_	_
17	durch	durch	P	APPR	Acc	0	root	_	_
18	die	die	P	PRELS	_|Acc|_	17	pn	14	14
19	du	du	P	PPER	2|Sg|_|Nom	0	root	11	11
20	immer	immer	A	ADV	_	21	adv	_	_
21	meine	meinen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
22	Briefe	Brief	N	NN	Masc|_|_	23	obja	103	103
23	bekommen	bekommen	V	VVPP	_	24	aux	_	_
24	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
27	verreist	verreisen	V	VVPP	_	26	aux	_	_
28	.	.	$	$.	_	0	root	_	_
29	«	«	$	$(	_	0	root	_	_

1	Fermer	Fermer	N	NE	_	0	root	6	6
2	:	\:	$	$.	_	0	root	_	_
3	Louise	Louise	N	NE	Fem|_|Sg	7	vok	15	15
4	,	,	$	$,	_	0	root	_	_
5	schreckliche	schrecklich	A	ADJA	Pos|Neut|Nom|Pl|St|	6	attr	_	_
6	Dinge	Ding	N	NN	Neut|Nom|Pl	7	subj	_	_
7	gingen	gehen	V	VVFIN	3|Pl|Past|_	0	root	_	_
8	damals	damals	A	ADV	_	7	adv	_	_
9	in	in	P	APPR	Dat	7	pp	_	_
10	meinem	meine	A	PPOSAT	Masc|Dat|Sg	11	det	12	12
11	Innern	Inner	N	NN	Masc|Dat|Sg	9	pn	_	_
12	vor	vor	P	PTKVZ	_	7	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	12	12
15	glaubte	glauben	V	VVFIN	1|Sg|Past|_	7	kon	_	_
16	dich	du	P	PPER	2|Sg|_|Acc	15	obja	11	11
