1	Yin-tschi-fu	Yin-tschi-fu	N	NE	Masc|Nom|Pl	10	subj	234	234
10	gingen	gehen	V	VVFIN	_|Pl|Past|_	2	kon	_	_
11	hin	hin	A	ADV	_	10	adv	_	_
12	und	und	K	KON	_	10	kon	_	_
13	starben	sterben	V	VVFIN	_|Pl|Past|Ind	12	cj	_	_
14	.	.	$	$.	_	0	root	_	_

1	Niemand	niemand	P	PIS	_|Nom|Sg	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	darüber	darüber	P	PROAV	_	2	pp	_	_
4	vergnügter	vergnügt	A	ADJD	Comp|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOKOM	_	9	kom	_	_
7	Yu	Yu	N	NE	_	6	cj	221	221
8	der	die	A	ART	Def|_|_|_	9	det	_	_
9	junge	jung	A	ADJA	Masc|Nom|Sg	0	root	_	_
10	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	2	2
2	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|_|_|Nom	5	subj	237	237
4	wunderschön	wunderschön	A	ADJD	Pos|	5	adv	_	_
5	begraben	begraben	V	VVPP	_	2	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	gab	geben	V	VVFIN	_|Sg|Past|Ind	2	kon	_	_
8	ihnen	sie	P	PPER	3|Pl|_|Dat	7	objd	237	237
9	die	die	A	ART	Def|_|_|Pl	11	det	_	_
10	erhabensten	erhaben	A	ADJA	Sup|_|_|Pl|Wk|	11	attr	_	_
11	Totentitel	Totentitel	N	NN	_|_|Pl	7	obja	_	_
12	und	und	K	KON	_	7	kon	_	_
13	wählte	wählen	V	VVFIN	_|Sg|Past|_	12	cj	_	_
14	sich	sie	P	PRF	3|_|_	13	obja	_	_
15	schleunig	schleunig	A	ADJD	Pos|	13	adv	_	_
16	Ratgeber	Ratgeber	N	NN	Masc|_|_	0	root	238	238
17	,	,	$	$,	_	0	root	238	238
18	die	die	P	PRELS	Masc|Nom|Pl	22	subj	238	238
19	besser	gut	A	ADJD	Comp|	22	adv	_	_
20	zu	zu	P	APPR	Dat	22	pp	_	_
21	ihm	er	P	PPER	3|Sg|_|Dat	20	pn	2	2
22	paßten	paßten	V	VVFIN	_|_|_|_	16	rel	_	_
23	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	239	239
2	chinesische	chinesisch	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	239	239
3	Autor	Autor	N	NN	Masc|Nom|Sg	4	subj	239	239
4	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	nicht	nicht	P	PTKNEG	_	4	adv	_	_
6	an	an	P	PTKVZ	_	4	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	die	die	P	PRELS	_|_|_	0	root	239	239
9	als	als	K	KOKOM	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	intrigant	intrigant	N	NE	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	speichelleckerisch	speichelleckerisch	A	ADJD	Pos|	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	habsüchtig	habsüchtig	A	ADJD	Pos|	13	kon	_	_
16	,	,	$	$,	_	0	root	_	_
17	ämtergierig	ämtergierig	A	ADJD	Pos|	15	kon	_	_
18	und	und	K	KON	_	17	kon	_	_
19	völlig	völlig	A	ADJD	Pos|	20	adv	_	_
20	prinzipienlos	prinzipienlos	A	ADJD	Pos|	18	cj	_	_
21	«	«	$	$(	_	0	root	_	_
22	zu	zu	P	PTKZU	_	23	part	_	_
23	erklären	erklären	V	VVINF	_	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Die	die	P	PDS	_|Nom|Pl	2	subj	_	_
2	hoben	heben	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	freilich	freilich	A	ADV	_	2	adv	_	_
4	keine	keine	A	PIAT	Fem|_|Pl	5	det	_	_
5	Hände	Hand	N	NN	Fem|_|Pl	2	obja	_	_
6	hoch	hoch	A	ADJD	Pos|	2	adv	_	_
7	und	und	K	KON	_	2	kon	_	_
8	zitierten	zitieren	V	VVFIN	_|Pl|Past|_	7	cj	_	_
9	keine	keine	A	PIAT	Masc|_|Pl	10	det	_	_
10	Klassiker	Klassiker	N	NN	Masc|_|Pl	8	obja	_	_
11	.	.	$	$.	_	0	root	_	_

1	Die	die	P	PDS	_|Nom|Pl	2	subj	_	_
2	pfiffen	pfeifen	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	mit	mit	P	PTKVZ	_	2	avz	_	_
4	,	,	$	$,	_	0	root	_	_
5	wenn	wenn	K	KOUS	_	8	konj	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	28	28
7	Kaiser	Kaiser	N	NN	Masc|Nom|Sg	8	subj	28	28
8	pfiff	pfeifen	V	VVFIN	3|Sg|Past|Ind	2	neb	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	8	kon	_	_
11	amüsierten	amüsieren	V	VVFIN	_|Pl|Past|_	10	cj	_	_
12	sich	sie	P	PRF	3|_|_	11	obja	_	_
13	vortrefflich	vortrefflich	A	ADJD	Pos|	11	adv	_	_
14	bei	bei	P	APPR	Dat	11	pp	_	_
15	der	die	A	ART	Def|Fem|Dat|Sg	17	det	_	_
16	schlechten	schlecht	A	ADJA	Pos|Fem|Dat|Sg|Wk|	17	attr	_	_
17	Hofmusik	Hofmusik	N	NN	Fem|Dat|Sg	14	pn	_	_
18	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	22	22
2	Himmel	Himmel	N	NN	Masc|Nom|Sg	3	subj	22	22
3	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
4	das	die	P	PDS	Neut|_|Sg	7	obja	_	_
5	kaum	kaum	A	ADV	_	7	adv	_	_
6	mit	mit	A	ADV	_	7	adv	_	_
7	ansehen	ansehen	V	VVINF	_	3	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	22	22
2	warnte	warnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	seinen	seine	A	PPOSAT	Masc|_|Sg	4	det	22	22
4	Sohn	Sohn	N	NN	Masc|_|Sg	2	obja	_	_
5	mit	mit	P	APPR	Dat	2	pp	_	_
6	Bergstürzen	Bergsturz	N	NN	_|Dat|_	5	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	Erdbeben	Erdbeben	N	NN	Neut|Dat|_	6	kon	_	_
9	,	,	$	$,	_	0	root	_	_
10	Überschwemmungen	Überschwemmung	N	NN	Fem|Dat|Pl	8	kon	_	_
11	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	0	root	_	_
3	?	?	$	$.	_	0	root	_	_

1	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	28	28
3	Kaiser	Kaiser	N	NN	Masc|Nom|Sg	1	subj	28	28
4	;	;	$	$.	_	0	root	_	_
5	na	na	I	ITJ	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	wenn	wenn	K	KOUS	_	12	konj	_	_
8	nur	nur	A	ADV	_	12	adv	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	240	240
10	Palast	Palast	N	NN	Masc|Nom|Sg	12	subj	240	240
11	nicht	nicht	P	PTKNEG	_	12	adv	_	_
12	einfällt	einfallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
13	und	und	K	KON	_	12	kon	_	_
14	das	die	A	ART	Def|Neut|Nom|Sg	15	det	408	408
15	Wasser	Wasser	N	NN	Neut|Nom|Sg	21	subj	408	408
16	nicht	nicht	P	PTKNEG	_	21	adv	_	_
17	bis	bis	P	APPR	Acc	21	pp	_	_
18	zu	zu	P	APPR	Dat	17	pp	_	_
19	den	die	A	ART	Def|_|Dat|Pl	20	det	_	_
20	Weinfässern	Weinfass	N	NN	_|Dat|Pl	18	pn	_	_
21	steigt	steigen	V	VVFIN	3|Sg|Pres|Ind	13	cj	_	_
22	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ausgezeichnet	auszeichnen	V	VVPP	_	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	applaudierten	applaudieren	V	VVFIN	3|Pl|Past|_	0	root	_	_
2	die	die	A	ART	Def|Masc|Nom|Pl	4	det	244	244
3	drei	drei	C	CARD	_	4	attr	244	244
4	Intriganten	Intrigant	N	NN	Masc|Nom|Pl	1	subj	244	244
5	usw.	usw.	K	KON	_	4	kon	244	244
6	pp.	pp.	N	NE	Masc|Nom|Pl	5	cj	241	241

1	Nun	nun	A	ADV	_	2	adv	_	_
2	stürzten	stürzen	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	gleich	gleich	A	ADJD	Pos|	4	adv	_	_
4	ganze	ganz	A	ADJA	Pos|Neut|Nom|Pl|St|	5	attr	_	_
5	Gebirge	Gebirge	N	NN	Neut|Nom|Pl	2	subj	_	_
6	ein	ein	P	PTKVZ	_	2	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	die	die	A	ART	Def|Fem|Nom|Sg	9	det	242	242
9	Erde	Erde	N	NN	Fem|Nom|Sg	10	subj	242	242
10	bebte	beben	V	VVFIN	3|Sg|Past|_	2	kon	_	_
11	eine	eine	A	ART	Indef|Fem|Acc|Sg	12	det	_	_
12	Stunde	Stunde	N	NN	Fem|Acc|Sg	13	pn	_	_
13	lang	lang	P	APPO	Acc	10	pp	_	_
14	,	,	$	$,	_	0	root	_	_
15	das	die	A	ART	Def|Neut|Nom|Sg	16	det	_	_
16	Meer	Meer	N	NN	Neut|Nom|Sg	18	subj	_	_
17	selber	selber	A	ADV	_	16	adv	_	_
18	trat	treten	V	VVFIN	3|Sg|Past|Ind	10	kon	_	_
19	aus	aus	P	PTKVZ	_	18	avz	_	_
20	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Fabelhaft	Fabelhaft	N	NN	_|_|Sg	0	root	243	243
3	,	,	$	$,	_	0	root	243	243
4	was	was	P	PRELS	Neut|Nom|Sg	7	subj	243	243
5	nicht	nicht	P	PTKNEG	_	7	adv	_	_
6	alles	alle	P	PIS	_|_|Sg	7	adv	_	_
7	passiert	passieren	V	VVFIN	3|Sg|Pres|Ind	2	rel	_	_
8	!	!	$	$.	_	0	root	_	_

1	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	28	28
3	Kaiser	Kaiser	N	NN	Masc|Nom|Sg	1	subj	28	28
4	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	fehlt	fehlen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	bloß	bloß	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	8	konj	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	22	22
7	Himmel	Himmel	N	NN	Masc|Nom|Sg	8	subj	22	22
8	einfällt	einfallen	V	VVFIN	3|Sg|Pres|Ind	2	subjc	_	_
9	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	28	28
4	Quartier	Quartier	N	NN	Neut|_|Sg	9	obja	_	_
5	für	für	P	APPR	Acc	4	pp	_	_
6	die	die	A	ART	Def|Masc|Acc|Pl	8	det	285	285
7	verehrten	verehrt	A	ADJA	Pos|Masc|Acc|Pl|Wk|	8	attr	285	285
8	Götter	Gott	N	NN	Masc|Acc|Pl	5	pn	285	285
9	suchen	suchen	V	VVINF	_	2	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Köstlich	köstlich	A	ADJD	Pos|	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	köstlich	köstlich	A	ADJD	Pos|	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	applaudierten	applaudieren	V	VVFIN	3|Pl|Past|_	0	root	_	_
2	die	die	A	ART	Def|Masc|Nom|Pl	4	det	244	244
3	drei	drei	C	CARD	_	4	attr	244	244
4	Intriganten	Intrigant	N	NN	Masc|Nom|Pl	1	subj	244	244
5	usw.	usw.	K	KON	_	4	kon	244	244
6	pp.	pp.	N	NE	Masc|Nom|Pl	5	cj	241	241

1	Nur	nur	A	ADV	_	3	adv	245	245
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	245	245
3	Kultusminister	Kultusminister	N	NN	Masc|Nom|Sg	13	subj	245	245
4	,	,	$	$,	_	0	root	245	245
5	der	die	P	PRELS	Masc|Nom|Sg	11	subj	245	245
6	noch	noch	A	ADV	_	11	adv	_	_
7	von	von	P	APPR	_	11	pp	_	_
8	früher	früh	A	ADJD	_|	7	pn	_	_
9	her	her	A	ADV	_	11	adv	_	_
10	da	da	A	ADV	_	11	adv	_	_
11	war	sein	V	VAFIN	3|Sg|Past|Ind	3	rel	_	_
12	,	,	$	$,	_	0	root	_	_
13	schüttelte	schütteln	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	das	die	A	ART	Def|Neut|_|Sg	15	det	_	_
15	Haupt	Haupt	N	NN	Neut|_|Sg	13	obja	_	_
16	über	über	P	APPR	Acc	13	pp	_	_
17	diese	diese	A	PDAT	Fem|Acc|Sg	18	det	_	_
18	Blasphemie	Blasphemie	N	NN	Fem|Acc|Sg	16	pn	_	_
19	und	und	K	KON	_	13	kon	_	_
20	bat	bitten	V	VVFIN	_|Sg|Past|Ind	19	cj	_	_
21	in	in	P	APPR	Dat	20	pp	_	_
22	beweglichen	beweglich	A	ADJA	Pos|Neut|Dat|Pl|_|	23	attr	1332	1332
23	Worten	Wort	N	NN	Neut|Dat|Pl	21	pn	1332	1332
24	,	,	$	$,	_	0	root	_	_
25	Seine	seine	A	PPOSAT	Fem|Nom|Sg	26	det	245	245
26	Majestät	Majestät	N	NN	Fem|Nom|Sg	27	subj	246	246
27	möge	mögen	V	VMFIN	3|Sg|Pres|Subj	20	kon	_	_
28	geruhen	geruhen	N	NE	_	27	obja	_	_
29	,	,	$	$,	_	0	root	_	_
30	ernsthafter	ernsthaft	A	ADJD	Comp|	32	pred	_	_
31	zu	zu	P	PTKZU	_	32	part	_	_
32	sein	sein	V	VAINF	_	27	obji	_	_
33	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ach	ach	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Sie	sie	P	PPER	3|_|_|_	0	root	246	246
5	!	!	$	$.	_	0	root	_	_

1	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	28	28
3	Kaiser	Kaiser	N	NN	Masc|Nom|Sg	1	subj	28	28
4	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	247	247
2	halten	halten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	obja	_	_
4	wohl	wohl	A	ADV	_	2	adv	_	_
5	für	für	P	APPR	Acc	2	objp	_	_
6	Ihre	ihre	A	PPOSAT	Fem|Acc|Sg	7	det	247	247
7	Pflicht	Pflicht	N	NN	Fem|Acc|Sg	5	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	zu	zu	P	PTKZU	_	10	part	_	_
10	predigen	predigen	V	VVINF	_	2	obji	_	_
11	,	,	$	$,	_	0	root	_	_
12	weil	weil	K	KOUS	_	16	konj	_	_
13	Sie	sie	P	PPER	3|Pl|_|Nom	16	subj	247	247
14	das	die	A	ART	Def|Neut|_|Sg	15	det	_	_
15	Kultus-Ressort	Kultus-Ressort	N	NN	Neut|_|Sg	16	obja	_	_
16	haben	haben	V	VAFIN	3|Pl|Pres|_	10	neb	_	_
17	?	?	$	$.	_	0	root	_	_

1	Gehen	gehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	247	247
3	lieber	lieb	A	ADJD	Comp|	1	pred	_	_
4	und	und	K	KON	_	1	kon	_	_
5	komplettieren	komplettieren	V	VVFIN	_|Pl|Pres|_	4	cj	_	_
6	Sie	sie	P	PPER	3|_|_|_	5	obja	247	247
7	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	248	248
8	mein	meine	A	PPOSAT	Neut|_|Sg	9	det	248	248
9	Serail	Serail	N	NN	Neut|_|Sg	0	root	_	_
10	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	doch	doch	A	ADV	_	11	adv	_	_
4	noch	noch	A	ADV	_	11	adv	_	_
5	ein	eine	A	ART	Indef|Neut|_|Sg	8	det	_	_
6	paar	paar	A	PIDAT	Neut|_|_	8	attr	_	_
7	schöne	schön	A	ADJA	Pos|Neut|_|_|_|	8	attr	_	_
8	Mädchen	Mädchen	N	NN	Neut|_|_	11	obja	_	_
9	in	in	P	APPR	_	11	pp	_	_
10	China	China	N	NE	Neut|_|Sg	9	pn	5	5
11	geben	geben	V	VVINF	_	2	aux	_	_
12	.	.	$	$.	_	0	root	_	_

1	Machen	machen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	247	247
3	sich	sie	P	PRF	3|_|_	1	obja	_	_
4	auf	auf	P	APPR	Acc	1	objp	_	_
5	die	die	A	ART	Def|Neut|Acc|Pl	6	det	_	_
6	Beine	Bein	N	NN	Neut|Acc|Pl	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	Exzellenz	Exzellenz	N	NN	Fem|Acc|Sg	6	app	_	_
9	!	!	$	$.	_	0	root	_	_

1	Für	für	P	APPR	Acc	4	pp	_	_
2	jedes	jede	A	PIDAT	Neut|Acc|Sg	3	det	_	_
3	Mädchen	Mädchen	N	NN	Neut|Acc|Sg	1	pn	_	_
4	kriegen	kriegen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	247	247
6	eine	eine	A	ART	Indef|Fem|_|Sg	7	det	_	_
7	Pfauenfeder	Pfauenfeder	N	NN	Fem|_|Sg	4	obja	_	_
8	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	42	42
2	Kultusminister	Kultusminister	N	NN	Masc|Nom|Sg	3	subj	42	42
3	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	die	die	A	ART	Def|Fem|_|Pl	5	det	202	202
5	Hände	Hand	N	NN	Fem|_|Pl	3	obja	202	202
6	über	über	P	APPR	Dat	3	pp	_	_
7	dem	die	A	ART	Def|Masc|Dat|Sg	8	det	249	249
8	Kopf	Kopf	N	NN	Masc|Dat|Sg	6	pn	249	249
9	zusammen	zusammen	P	PTKVZ	_	3	avz	_	_
10	und	und	K	KON	_	3	kon	_	_
11	gab	geben	V	VVFIN	_|Sg|Past|Ind	10	cj	_	_
12	seine	seine	A	PPOSAT	Fem|_|Sg	13	det	42	42
13	Demission	Demission	N	NN	Fem|_|Sg	11	obja	_	_
14	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Gott	Gott	N	NN	Masc|Nom|Sg	3	subj	250	250
3	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
4	Dank	Dank	N	NN	Masc|Nom|Sg	3	pred	530	530
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	11	konj	_	_
7	wir	wir	P	PPER	1|Pl|_|Nom	11	subj	252	252
8	den	die	A	ART	Def|_|Dat|Pl	9	det	_	_
9	Konsistorialrat	Konsistorialrat	N	NN	_|Dat|Pl	11	objd	_	_
10	los	los	P	PTKVZ	_	11	avz	_	_
11	sind	sein	V	VAFIN	1|Pl|Pres|Ind	3	objc	_	_
12	!	!	$	$.	_	0	root	_	_

1	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
2	Seine	seine	A	PPOSAT	Fem|Nom|Sg	3	det	250	250
3	Majestät	Majestät	N	NN	Fem|Nom|Sg	1	subj	251	251
4	.	.	$	$.	_	0	root	_	_

1	Einen	ein	A	ART	Indef|Masc|Acc|Sg	2	det	_	_
2	Kultusminister	Kultusminister	N	NN	Masc|Acc|Sg	3	obja	_	_
3	brauch	brauch	V	VVFIN	1|Sg|_|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	251	251
5	überhaupt	überhaupt	A	ADV	_	6	adv	_	_
6	nicht	nicht	P	PTKNEG	_	3	adv	_	_
7	;	;	$	$.	_	0	root	_	_
8	ein	eine	A	ART	Indef|Masc|Nom|Sg	9	det	253	253
9	Serailminister	Serailminister	N	NN	Masc|Nom|Sg	10	subj	253	253
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	viel	viel	A	ADV	_	12	adv	_	_
12	nötiger	nötig	A	ADJD	Comp|	10	pred	_	_
13	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	251	251
2	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	den	die	A	ART	Def|_|_|_	4	det	_	_
4	We-tê-king	We-tê-king	N	NN	_|_|_	6	obja	_	_
5	dazu	dazu	P	PROAV	_	6	objp	_	_
6	machen	machen	V	VVINF	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	unsern	unsre	A	PPOSAT	_|_|_	10	det	252	252
9	fidelen	fidel	A	ADJA	Pos|_|_|_|_|	10	attr	_	_
10	Liebesdichter	Liebesdichter	N	NN	_|_|_	0	root	_	_
11	.	.	$	$.	_	0	root	_	_

1	Wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	1	subj	253	253
3	wohl	wohl	A	ADV	_	4	adv	_	_
4	annehmen	annehmen	V	VVINF	_	1	aux	_	_
5	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Oh	oh	I	ITJ	_	0	root	_	_
3	ja	ja	P	PTKANT	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Majestät	Majestät	N	NN	Fem|_|Sg	0	root	63	63
6	,	,	$	$,	_	0	root	_	_
7	wenn	wenn	K	KOUS	_	14	konj	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	2	2
9	nicht	nicht	P	PTKNEG	_	13	adv	_	_
10	gleichzeitig	gleichzeitig	A	ADJD	Pos|	13	adv	_	_
