1	Ach	ach	I	ITJ	_	0	root	_	_
17	die	die	A	ART	Def|Neut|_|Pl	19	det	_	_
18	gewaltigen	gewaltig	A	ADJA	Pos|Neut|_|Pl|Wk|	19	attr	_	_
19	Streitrosse	Streitross	N	NN	Neut|_|Pl	16	cj	_	_
20	nicht	nicht	P	PTKNEG	_	19	adv	_	_
21	ausgenommen	ausnehmen	V	VVPP	_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	setzten	setzen	V	VVFIN	_|Pl|Past|_	0	root	_	_
24	einigermaßen	einigermaßen	A	ADV	_	23	adv	_	_
25	Fett	Fett	N	NN	Neut|_|Sg	23	obja	_	_
26	an	an	P	PTKVZ	_	23	avz	_	_
27	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	das	die	A	ART	Def|Neut|Nom|Sg	4	det	_	_
4	Schicksal	Schicksal	N	NN	Neut|Nom|Sg	2	subj	_	_
5	in	in	P	APPR	_	2	pp	_	_
6	Ritterstiefeln	Ritterstiefel	N	NN	_|_|_	5	pn	_	_
7	und	und	K	KON	_	2	kon	_	_
8	trat	treten	V	VVFIN	_|Sg|Past|Ind	7	cj	_	_
9	alles	alle	P	PIS	_|_|Sg	8	adv	_	_
10	entzwei	entzwei	A	ADJD	Pos|	8	adv	_	_
11	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	_	_
4	schöner	schön	A	ADJA	Pos|Masc|Nom|Sg|St|	7	attr	_	_
5	,	,	$	$,	_	0	root	_	_
6	klarer	klar	A	ADJA	Pos|Masc|Nom|Sg|St|	4	kon	_	_
7	Herbsttag	Herbsttag	N	NN	Masc|Nom|Sg	2	subj	_	_
8	und	und	K	KON	_	7	kon	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	_	_
10	Weinlese	Weinlese	N	NN	Fem|Nom|Sg	8	cj	_	_
11	eben	eben	A	ADV	_	2	adv	_	_
12	vorüber	vorüber	A	ADV	_	2	pred	_	_
13	.	.	$	$.	_	0	root	_	_

1	Welf	Welf	N	NE	_|Nom|Sg	2	subj	29	29
2	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	oben	oben	A	ADV	_	4	adv	_	_
4	auf	auf	P	APPR	Dat	2	pp	_	_
5	dem	die	A	ART	Def|Neut|Dat|Sg	6	det	_	_
6	Geländer	Geländer	N	NN	Neut|Dat|Sg	4	pn	_	_
7	des	die	A	ART	Def|Masc|Gen|Sg	8	det	_	_
8	Turmumgangs	Turmumgang	N	NN	Masc|Gen|Sg	6	gmod	_	_
9	und	und	K	KON	_	2	kon	_	_
10	guckte	gucken	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	aus	aus	P	PTKVZ	_	10	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	Plötzlich	plötzlich	A	ADJD	Pos|	2	adv	_	_
2	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	29	29
4	in	in	P	APPR	Acc	2	pp	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
6	Hof	Hof	N	NN	Masc|Acc|Sg	4	pn	_	_
7	hinab	hinab	A	ADV	_	2	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	wo	wo	P	PWAV	_	0	root	_	_
10	Margareth	Margareth	N	NE	_	0	root	_	_
11	eben	eben	A	ADV	_	18	adv	_	_
12	die	die	A	ART	Def|_|_|Pl	13	det	_	_
13	drei	drei	C	CARD	_|_|_	18	subj	_	_
14	paar	paar	A	PIDAT	Masc|_|_	15	det	_	_
15	Ritterstiefel	Ritterstiefel	N	NN	Masc|_|_	18	obja	_	_
16	im	in	P	APPRART	Dat	18	pp	_	_
17	Brunnentrog	Brunnentrog	N	NN	_|Dat|_	16	pn	_	_
18	spülte	spülen	V	VVFIN	3|Sg|Past|_	0	root	_	_
19	:	\:	$	$.	_	0	root	_	_
20	»	»	$	$(	_	0	root	_	_
21	Ralph	Ralph	N	NE	Masc|_|Sg	0	root	33	33
22	und	und	K	KON	_	21	kon	_	_
23	Rolf	Rolf	N	NE	Masc|_|Sg	22	cj	30	30
24	:	\:	$	$.	_	0	root	_	_
25	wo	wo	P	PWAV	_	26	adv	_	_
26	stecken	stecken	V	VVFIN	3|Pl|Pres|_	0	root	_	_
27	die	die	A	ART	Def|Masc|Nom|Pl	28	det	48	48
28	Junker	Junker	N	NN	Masc|Nom|Pl	26	subj	48	48
29	!	!	$	$.	_	0	root	_	_

1	?	?	$	$.	_	0	root	_	_
2	«	«	$	$(	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	Im	in	P	APPRART	Dat	0	root	_	_
4	Keller	Keller	N	NN	Masc|Dat|Sg	3	pn	_	_
5	und	und	K	KON	_	0	root	_	_
6	klopfen	klopfen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	die	die	A	ART	Def|Fem|Nom|Pl	8	det	114	114
8	Tonnen	Tonne	N	NN	Fem|Nom|Pl	6	subj	114	114
9	ab	ab	P	PTKVZ	_	6	avz	_	_
10	,	,	$	$,	_	0	root	_	_
11	wieviel	wieviel	P	PWS	_	0	root	_	_
12	noch	noch	A	ADV	_	11	adv	_	_
13	Wein	Wein	N	NN	Masc|_|Sg	0	root	_	_
14	drinnen	drinnen	P	PTKVZ	_	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	F	FM	_	0	root	_	_
3	Ha	Ha	F	FM	_	2	app	_	_
4	,	,	$	$,	_	0	root	_	_
5	das	die	P	PDS	Neut|Nom|Sg	6	subj	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	gut	gut	A	ADJD	Pos|	6	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	bei	bei	P	APPR	Dat	6	pp	_	_
10	meiner	meine	A	PPOSAT	Fem|Dat|Sg	11	det	_	_
11	Seel	Seel	N	NN	Fem|Dat|Sg	9	pn	_	_
12	'	'	$	$(	_	0	root	_	_
13	!	!	$	$.	_	0	root	_	_

1	Ruf	rufen	V	VVIMP	Sg	0	root	_	_
2	sie	sie	P	PPER	3|_|_|_	1	obja	114	114
3	herauf	herauf	A	ADV	_	2	adv	_	_
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	Annemargreth	Annemargreth	N	NE	_|Nom|Sg	2	subj	17	17
2	schickte	schicken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|_|Sg	5	det	115	115
4	gutes	gut	A	ADJA	Pos|Neut|_|Sg|St|	5	attr	115	115
5	Blickchen	Blickchen	N	NN	Neut|_|Sg	2	obja	115	115
6	empor	empor	P	PTKVZ	_	2	avz	115	115
7	,	,	$	$,	_	0	root	115	115
8	das	die	P	PRELS	Neut|Nom|Sg	15	subj	115	115
9	mit	mit	P	APPR	Dat	14	pp	_	_
10	eisengepanzerter	eisengepanzert	A	ADJA	Pos|Fem|Dat|Sg|St|	11	attr	_	_
11	Kußfaust	Kußfaust	N	NN	Fem|Dat|Sg	9	pn	_	_
12	sehr	sehr	A	ADV	_	13	adv	_	_
13	ritterlich	ritterlich	A	ADJD	Pos|	14	adv	_	_
14	erwidert	erwidern	V	VVPP	_	15	aux	_	_
15	ward	ward	V	VAFIN	_|Sg|_|_	5	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	beugte	beugen	V	VVFIN	_|Sg|Past|_	0	root	_	_
18	sich	sie	P	PRF	3|_|_	17	obja	_	_
19	zu	zu	P	APPR	Dat	17	pp	_	_
20	einer	eine	A	ART	Indef|Fem|Dat|Sg	22	det	_	_
21	allerliebsten	allerliebst	A	ADJA	_|Fem|Dat|Sg|Wk|	22	attr	_	_
22	Rundung	Rundung	N	NN	Fem|Dat|Sg	19	pn	_	_
23	zusammen	zusammen	P	PTKVZ	_	17	avz	_	_
24	,	,	$	$,	_	0	root	_	_
25	daß	daß	K	KOUS	_	35	konj	_	_
26	Welf	Welf	N	NE	_|Nom|Sg	35	subj	29	29
27	beim	bei	P	APPRART	Dat	35	pp	_	_
28	Anblick	Anblick	N	NN	Masc|Dat|Sg	27	pn	_	_
29	der	die	A	ART	Def|Fem|Gen|Sg	32	det	_	_
30	kühn	kühn	A	ADJD	Pos|	31	adv	_	_
31	ausgebogenen	ausgebogen	A	ADJA	Pos|Fem|Gen|Sg|Wk|	32	attr	_	_
32	Hinterfülle	Hinterfülle	N	NN	Fem|Gen|Sg	28	gmod	_	_
33	vor	vor	P	APPR	_	35	pp	_	_
34	Entzücken	Entzücken	N	NN	Neut|_|Sg	33	pn	_	_
35	stöhnte	stöhnen	V	VVFIN	3|Sg|Past|_	17	subjc	_	_
36	und	und	K	KON	_	35	kon	_	_
37	rief	rufen	V	VVFIN	_|Sg|Past|Ind	36	cj	_	_
38	mit	mit	P	APPR	Dat	37	pp	_	_
39	süßer	süß	A	ADJA	Pos|Fem|Dat|Sg|St|	40	attr	_	_
40	Stimme	Stimme	N	NN	Fem|Dat|Sg	38	pn	_	_
41	ins	in	P	APPRART	Acc	37	pp	_	_
42	dunkle	dunkel	A	ADJA	Pos|Neut|Acc|Sg|Wk|	43	attr	_	_
43	Kellerloch	Kellerloch	N	NN	Neut|Acc|Sg	41	pn	_	_
44	:	\:	$	$.	_	0	root	_	_
45	»	»	$	$(	_	0	root	_	_
46	Junkerchen	Junkerchen	N	NN	Neut|_|_	0	root	_	_
47	herauf	herauf	P	PTKVZ	_	0	root	_	_
48	!	!	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	29	29
2	Welf	Welf	N	NN	Masc|Nom|Sg	3	subj	29	29
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	was	was	P	PIS	_	3	obja	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	Ralph	Ralph	N	NE	Masc|Nom|Sg	4	subj	33	33
2	und	und	K	KON	_	1	kon	_	_
3	Rolf	Rolf	N	NE	Masc|Nom|Sg	2	cj	30	30
4	traten	treten	V	VVFIN	_|Pl|Past|Ind	0	root	_	_
5	gebückt	gebückt	A	ADJD	Pos|	4	adv	_	_
6	aus	aus	P	APPR	Dat	4	objp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	9	det	_	_
8	niederen	nieder	A	ADJA	Pos|Fem|Dat|Sg|Wk|	9	attr	_	_
9	Kellertür	Kellertür	N	NN	Fem|Dat|Sg	6	pn	_	_
10	und	und	K	KON	_	4	kon	_	_
11	schrien	schreien	V	VVFIN	_|Pl|Past|_	10	cj	_	_
12	zum	zu	P	APPRART	Dat	11	pp	_	_
13	Turm	Turm	N	NN	Masc|Dat|Sg	12	pn	116	116
14	:	\:	$	$.	_	0	root	_	_
15	»	»	$	$(	_	0	root	_	_
16	Halloh	Halloh	N	NE	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	was	was	P	PWS	Neut|Nom|Sg	19	subj	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	16	rel	_	_
20	?	?	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	Gewimmt1	Gewimmt1	N	NE	_	0	root	_	_
4	)	)	$	$(	_	0	root	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	_	_
2	Bauern	Bauer	N	NN	Masc|Nom|Pl	3	subj	_	_
3	fahren	fahren	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	das	die	A	ART	Def|Neut|_|Sg	5	det	_	_
5	Praschlett2	Praschlett2	N	NN	Neut|_|Sg	3	obja	_	_
6	)	)	$	$(	_	0	root	_	_
7	zur	zu	P	APPRART	Dat	0	root	_	_
8	Stadt	Stadt	N	NN	Fem|Dat|Sg	7	pn	_	_
9	.	.	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	Alle	alle	A	PIDAT	Masc|_|Pl	4	det	185	185
4	Teufel	Teufel	N	NN	Masc|_|Pl	0	root	185	185
5	und	und	K	KON	_	4	kon	_	_
6	Satansbrut	Satansbrut	N	NE	Masc|_|Pl	5	cj	_	_
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
10	Ralph	Ralph	N	NE	_|Nom|Sg	9	subj	33	33
11	,	,	$	$,	_	0	root	_	_
12	-	-	$	$(	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	schon	schon	A	ADV	_	0	root	_	_
15	?	?	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	Ei	Ei	N	NN	Neut|_|Sg	0	root	_	_
4	freilich	freilich	A	ADV	_	3	adv	_	_
5	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	117	117
4	Zeit	Zeit	N	NN	Fem|Nom|Sg	2	pred	117	117
5	!	!	$	$.	_	0	root	_	_

1	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	_	_
2	ließt	lassen	V	VVFIN	2|Pl|Past|Ind	0	root	_	_
3	wohl	wohl	A	ADV	_	2	adv	_	_
4	alles	alle	P	PIS	_|_|Sg	2	obja	_	_
