1	Zwei	zwei	C	CARD	_	3	attr	_	_
8	Stirne	Stirne	N	NN	Fem|_|Sg	2	obja	51	51
9	an	an	P	PTKVZ	_	2	avz	_	_
10	;	;	$	$.	_	0	root	_	_
11	und	und	K	KON	_	0	root	_	_
12	das	die	P	PDS	Neut|Nom|Sg	13	subj	_	_
13	war	sein	V	VAFIN	_|Sg|Past|Ind	11	cj	_	_
14	gut	gut	A	ADJD	Pos|	13	adv	_	_
15	so	so	A	ADV	_	13	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	denn	denn	K	KON	_	13	kon	_	_
18	,	,	$	$,	_	0	root	_	_
19	da	da	K	KOUS	_	25	konj	_	_
20	sie	sie	P	PPER	3|Sg|Fem|Nom	25	subj	51	51
21	oben	oben	A	ADV	_	25	adv	_	_
22	bald	bald	A	ADV	_	25	adv	_	_
23	zu	zu	P	APPR	Dat	25	pp	_	_
24	Ende	Ende	N	NN	Neut|Dat|Sg	23	pn	74	74
25	war	sein	V	VAFIN	3|Sg|Past|Ind	27	neb	_	_
26	,	,	$	$,	_	0	root	_	_
27	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	17	cj	_	_
28	sie	sie	P	PPER	3|Sg|Fem|Nom	27	subj	51	51
29	unten	unten	A	ADV	_	33	adv	_	_
30	soviel	soviel	P	PIS	_	33	obja	_	_
31	als	als	K	KOKOM	_	33	kom	_	_
32	möglich	möglich	A	ADJD	Pos|	31	cj	_	_
33	mitnehmen	mitnehmen	V	VVINF	_	27	aux	_	_
34	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	3	adv	_	_
2	das	die	A	ART	Def|Neut|_|Sg	3	det	_	_
3	Haupthaar	Haupthaar	N	NN	Neut|_|Sg	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Blond	blond	A	ADJD	Pos|	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	zu	zu	P	PTKA	_	4	adv	_	_
4	wenig	wenig	A	ADJD	Pos|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	gelb	gelb	A	ADJD	Pos|	8	adv	_	_
7	zu	zu	P	PTKA	_	8	adv	_	_
8	viel	viel	P	PIS	_	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	eigentlich	eigentlich	A	ADV	_	6	adv	_	_
4	gar	gar	A	ADV	_	5	adv	_	_
5	keine	keine	A	PIAT	Fem|Nom|Sg	6	det	_	_
6	Farbe	Farbe	N	NN	Fem|Nom|Sg	2	pred	_	_
7	in	in	P	APPR	Dat	6	pp	_	_
8	ihnen	sie	P	PPER	3|Pl|_|Dat	7	pn	_	_
9	.	.	$	$.	_	0	root	_	_

1	Aus	aus	P	APPR	Dat	4	pp	_	_
2	diesem	diese	A	PDAT	Masc|Dat|Sg	3	det	53	53
3	Grunde	Grund	N	NN	Masc|Dat|Sg	1	pn	53	53
4	geschah	geschehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	wohl	wohl	A	ADV	_	4	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	25	konj	_	_
9	Kaktus	Kaktus	N	NN	Masc|Nom|Sg	25	subj	8	8
10	zuweilen	zuweilen	A	ADV	_	25	adv	_	_
11	die	die	A	ART	Def|Fem|_|Pl	12	det	52	52
12	Farben	Farbe	N	NN	Fem|_|Pl	25	obja	52	52
13	,	,	$	$,	_	0	root	52	52
14	die	die	P	PRELS	Fem|_|Pl	20	obja	52	52
15	er	er	P	PPER	3|Sg|Masc|Nom	20	subj	8	8
16	gerade	gerade	A	ADV	_	20	adv	_	_
17	auf	auf	P	APPR	Dat	20	pp	_	_
18	der	die	A	ART	Def|Fem|Dat|Sg	19	det	79	79
19	Palette	Palette	N	NN	Fem|Dat|Sg	17	pn	79	79
20	hatte	haben	V	VAFIN	3|Sg|Past|Ind	12	rel	_	_
21	,	,	$	$,	_	0	root	_	_
22	auf	auf	P	APPR	Acc	25	pp	_	_
23	seine	seine	A	PPOSAT	Neut|Acc|Pl	24	det	8	8
24	Haare	Haar	N	NN	Neut|Acc|Pl	22	pn	_	_
25	übertrug	übertragen	V	VVFIN	3|Sg|Past|Ind	4	objc	_	_
26	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	3	koord	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
4	frivol	frivol	A	ADJD	Pos|	3	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	deswegen	deswegen	P	PROAV	_	0	root	_	_
7	zu	zu	P	PTKZU	_	8	part	_	_
8	behaupten	behaupten	V	VVINF	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	17	konj	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	8	8
12	sich	sie	P	PRF	3|_|_	17	obja	_	_
13	die	die	A	ART	Def|_|_|_	14	det	_	_
14	Hare	Hare	N	NN	_|_|_	16	obja	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	färben	färben	V	VVINF	_	17	obji	_	_
17	pflegte	pflegen	V	VVFIN	3|Sg|Past|_	8	objc	_	_
18	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	hing	hängen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
4	nur	nur	A	ADV	_	2	adv	_	_
5	mit	mit	P	APPR	Dat	2	objp	_	_
6	seiner	seine	A	PPOSAT	Fem|Dat|Sg	7	det	53	53
7	Gewohnheit	Gewohnheit	N	NN	Fem|Dat|Sg	5	pn	_	_
8	zusammen	zusammen	P	PTKVZ	_	2	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	sich	sie	P	PRF	3|_|Dat	17	objd	_	_
11	manchmal	manchmal	A	ADV	_	17	adv	_	_
12	die	die	A	ART	Def|Fem|_|Pl	13	det	56	56
13	Hände	Hand	N	NN	Fem|_|Pl	17	obja	56	56
14	nicht	nicht	P	PTKNEG	_	17	adv	_	_
15	ganz	ganz	A	ADV	_	17	adv	_	_
16	zu	zu	P	PTKZU	_	17	part	_	_
17	waschen	waschen	V	VVINF	_	2	obji	_	_
18	,	,	$	$,	_	0	root	_	_
19	eine	eine	A	ART	Indef|Fem|_|Sg	20	det	54	54
20	Gewohnheit	Gewohnheit	N	NN	Fem|_|Sg	0	root	54	54
21	,	,	$	$,	_	0	root	54	54
22	die	die	P	PRELS	Fem|Nom|Sg	28	subj	54	54
23	wahrscheinlich	wahrscheinlich	A	ADJD	Pos|	28	pred	_	_
24	auf	auf	P	APPR	Acc	27	objp	_	_
25	koloristische	koloristische	A	ADJA	_|Masc|Acc|Pl|_	26	attr	_	_
26	Gründe	Grund	N	NN	Masc|Acc|Pl	24	pn	_	_
27	zurückzuführen	zurückführen	V	VVIZU	_	28	obji	_	_
28	ist	sein	V	VAFIN	3|Sg|Pres|Ind	20	rel	_	_
29	und	und	K	KON	_	28	kon	_	_
30	bei	bei	P	APPR	Dat	37	pp	_	_
31	Malern	Maler	N	NN	Masc|Dat|_	30	pn	_	_
32	der	die	A	ART	Def|Fem|Gen|Pl	34	det	_	_
33	verschiedensten	verschieden	A	ADJA	Sup|Fem|Gen|Pl|Wk|	34	attr	_	_
34	Schulen	Schule	N	NN	Fem|Gen|Pl	31	gmod	_	_
35	nicht	nicht	P	PTKNEG	_	37	adv	_	_
36	selten	selten	A	ADJD	Pos|	37	adv	_	_
37	beobachtet	beobachten	V	VVPP	_	38	aux	_	_
38	wird	werden	V	VAFIN	3|Sg|Pres|Ind	29	cj	_	_
39	.	.	$	$.	_	0	root	_	_

1	Im	in	P	APPRART	Dat	3	pp	_	_
2	übrigen	übrig	A	ADJA	Pos|_|Dat|_|_|	1	pn	_	_
3	gehörten	gehören	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	seine	seine	A	PPOSAT	Neut|Nom|Pl	5	det	53	53
5	Haare	Haar	N	NN	Neut|Nom|Pl	3	subj	55	55
6	nicht	nicht	P	PTKNEG	_	3	adv	_	_
7	zu	zu	P	APPR	Dat	3	objp	_	_
8	denen	die	P	PDS	_|Dat|Pl	7	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	die	die	P	PRELS	_|_|_	0	root	55	55
11	man	man	P	PIS	_|Nom|Sg	13	subj	_	_
12	Locken	Locke	N	NN	_|Nom|_	13	pred	_	_
13	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	56	56
2	ringelten	ringeln	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	im	in	P	APPRART	Dat	2	pp	_	_
6	geringsten	gering	A	ADJA	Sup|_|Dat|_|_|	5	pn	_	_
7	und	und	K	KON	_	2	kon	_	_
8	hatten	haben	V	VAFIN	_|Pl|Past|Ind	7	cj	_	_
9	überhaupt	überhaupt	A	ADV	_	8	adv	_	_
10	die	die	A	ART	Def|Fem|_|Sg	11	det	37	37
11	Tendenz	Tendenz	N	NN	Fem|_|Sg	8	obja	37	37
12	,	,	$	$,	_	0	root	_	_
13	einer	eine	A	ART	Indef|Fem|Dat|Sg	15	det	_	_
14	bestimmten	bestimmt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	15	attr	_	_
15	Form	Form	N	NN	Fem|Dat|Sg	23	objd	_	_
16	,	,	$	$,	_	0	root	_	_
17	was	was	P	PRELS	Neut|Nom|Sg	21	subj	_	_
18	man	man	P	PIS	_|Nom|Sg	21	pred	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	Frisur	Frisur	N	NN	Fem|_|Sg	21	obja	_	_
21	nennt	nennen	V	VVFIN	3|Sg|Pres|Ind	15	rel	_	_
22	,	,	$	$,	_	0	root	_	_
23	auszuweichen	ausweichen	V	VVIZU	_	8	obji	_	_
24	.	.	$	$.	_	0	root	_	_

1	Ihre	ihre	A	PPOSAT	Fem|Nom|Sg	2	det	56	56
2	Lieblingslage	Lieblingslage	N	NN	Fem|Nom|Sg	3	subj	_	_
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	ein	eine	A	ART	Indef|Neut|Nom|Sg	6	det	_	_
5	freies	frei	A	ADJA	Pos|Neut|Nom|Sg|St|	6	attr	_	_
6	Durcheinander	Durcheinander	N	NN	Neut|Nom|Sg	3	pred	_	_
7	;	;	$	$.	_	0	root	_	_
8	man	man	P	PIS	_|Nom|Sg	9	subj	_	_
9	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
10	Ähnliches	Ähnliches	N	NN	Neut|_|Sg	11	obja	_	_
11	sehen	sehen	V	VVINF	_	9	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	wenn	wenn	K	KOUS	_	22	konj	_	_
14	man	man	P	PIS	_|Nom|Sg	22	subj	_	_
15	nach	nach	P	APPR	Dat	22	pp	_	_
16	einem	eine	A	ART	Indef|Neut|Dat|Sg	18	det	_	_
17	starken	stark	A	ADJA	Pos|Neut|Dat|Sg|Wk|	18	attr	_	_
18	Gewitter	Gewitter	N	NN	Neut|Dat|Sg	15	pn	_	_
19	an	an	P	APPR	Dat	22	pp	_	_
20	einem	eine	A	ART	Indef|Neut|Dat|Sg	21	det	_	_
21	Kornfeld	Kornfeld	N	NN	Neut|Dat|Sg	19	pn	_	_
22	vorübergeht	vorübergehen	V	VVFIN	3|Sg|Pres|Ind	9	neb	_	_
23	.	.	$	$.	_	0	root	_	_

1	Bleiben	bleiben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	nur	nur	A	ADV	_	1	adv	_	_
3	noch	noch	A	ADV	_	1	adv	_	_
4	die	die	A	ART	Def|Neut|Nom|Pl	5	det	57	57
5	Ohren	Ohr	N	NN	Neut|Nom|Pl	1	subj	57	57
6	und	und	K	KON	_	5	kon	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	_	_
8	Hals	Hals	N	NN	Masc|Nom|Sg	6	cj	_	_
9	.	.	$	$.	_	0	root	_	_

1	Von	von	P	APPR	_	3	pp	_	_
2	beiden	beide	P	PIS	_|_|Pl	1	pn	_	_
3	genügt	genügen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	zu	zu	P	PTKZU	_	6	part	_	_
6	sagen	sagen	V	VVINF	_	3	obji	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	0	root	_	_
9	sie	sie	P	PPER	3|_|_|_	0	root	57	57
10	fleischig	fleischig	A	ADJD	Pos|	0	root	_	_
11	und	und	K	KON	_	0	root	_	_
12	gedrungen	dringen	V	VVPP	_	13	aux	_	_
13	waren	sein	V	VAFIN	_|Pl|Past|Ind	11	cj	_	_
14	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dies	dies	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	reicht	reichen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
4	auch	auch	A	ADV	_	3	adv	_	_
5	zur	zu	P	APPRART	Dat	3	pp	_	_
6	weiteren	weit	A	ADJA	Comp|Fem|Dat|Sg|Wk|	7	attr	_	_
7	Charakteristik	Charakteristik	N	NN	Fem|Dat|Sg	5	pn	_	_
8	der	die	A	ART	Def|Masc|Gen|Pl	9	det	_	_
9	Körperlichkeit	Körperlichkeit	N	NN	Masc|Gen|Pl	7	gmod	_	_
10	Kaktussens	Kaktussen	N	NN	Masc|Gen|_	9	app	_	_
11	hin	hin	P	PTKVZ	_	3	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	58	58
2	sehe	sehen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	überhaupt	überhaupt	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	13	konj	_	_
6	meine	meine	A	PPOSAT	Fem|Nom|Sg	7	det	58	58
7	Skizze	Skizze	N	NN	Fem|Nom|Sg	13	subj	_	_
8	zu	zu	P	PTKA	_	9	adv	_	_
9	sehr	sehr	A	ADV	_	12	adv	_	_
10	ins	in	P	APPRART	Acc	12	objp	_	_
11	einzelne	einzeln	A	ADJA	Pos|_|Acc|_|_|	10	pn	_	_
12	gegangen	gehen	V	VVPP	_	13	aux	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	objc	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	13	kon	_	_
16	bei	bei	P	APPR	Dat	27	pp	_	_
17	der	die	A	ART	Def|Fem|Dat|Sg	18	det	_	_
18	Unmöglichkeit	Unmöglichkeit	N	NN	Fem|Dat|Sg	16	pn	_	_
19	,	,	$	$,	_	0	root	_	_
20	einen	eine	A	ART	Indef|Masc|Acc|Sg	21	det	_	_
21	Menschen	Mensch	N	NN	Masc|Acc|Sg	25	obja	_	_
22	mit	mit	P	APPR	Dat	25	pp	_	_
23	Worten	Wort	N	NN	Neut|Dat|Pl	22	pn	60	60
