1	Yen	Yen	N	NN	Masc|_|_	0	root	60	60
5	es	es	P	PPER	3|Sg|Neut|Nom	6	pred	_	_
6	gewesen	sein	V	VAPP	_	4	aux	_	_
7	!	!	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	35	35
2	Rote	Rote	N	NN	Masc|Nom|Sg	0	root	35	35
3	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	für	für	P	APPR	Acc	2	pp	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	_	_
5	Roter	Rote	N	NN	Masc|Nom|Sg	3	pn	_	_
6	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ein	ein	A	ART	Indef|_|_|Sg	3	det	_	_
3	Junge	Junge	N	NN	_|_|Sg	0	root	_	_
4	in	in	P	APPR	Dat	3	pp	_	_
5	roten	rot	A	ADJA	Pos|Masc|Dat|Pl|_|	6	attr	636	636
6	Röcken	Rock	N	NN	Masc|Dat|Pl	4	pn	636	636
7	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	_	_
2	kennen	kennen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	2	2
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	.	.	$	$.	_	0	root	_	_

1	Keiner	keine	P	PIS	Masc|Nom|Sg	2	subj	_	_
2	kennt	kennen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	2	2
4	.	.	$	$.	_	0	root	_	_

1	Vor	vor	P	APPR	Dat	4	pp	_	_
2	drei	drei	C	CARD	_	3	attr	_	_
3	Tagen	Tag	N	NN	Masc|Dat|Pl	1	pn	_	_
4	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	2	2
6	und	und	K	KON	_	4	kon	_	_
7	sang	singen	V	VVFIN	_|Sg|Past|Ind	6	cj	_	_
8	das	die	A	ART	Def|Neut|_|Sg	9	det	32	32
9	Lied	Lied	N	NN	Neut|_|Sg	7	obja	32	32
10	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	seitdem	seitdem	P	PROAV	_	3	pp	_	_
3	singens	singens	V	VVFIN	_|Pl|_|_	1	cj	_	_
4	alle	alle	A	PIDAT	Neut|Nom|Pl	5	det	_	_
5	Kinder	Kind	N	NN	Neut|Nom|Pl	3	subj	_	_
6	in	in	P	APPR	Dat	3	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	145	145
8	Stadt	Stadt	N	NN	Fem|Dat|Sg	6	pn	145	145
9	,	,	$	$,	_	0	root	_	_
10	überall	überall	A	ADV	_	6	kon	_	_
11	,	,	$	$,	_	0	root	_	_
12	auf	auf	P	APPR	_	10	kon	_	_
13	allen	alle	A	PIDAT	_|_|_	14	det	_	_
14	Gassen	Gasse	N	NN	_|_|_	12	pn	_	_
15	,	,	$	$,	_	0	root	_	_
16	in	in	P	APPR	Dat	12	kon	_	_
17	den	die	A	ART	Def|Fem|Dat|Pl	18	det	_	_
18	Stuben	Stube	N	NN	Fem|Dat|Pl	16	pn	_	_
19	am	an	P	APPRART	Dat	18	pp	_	_
20	Tage	Tag	N	NN	Masc|Dat|Sg	19	pn	_	_
21	und	und	K	KON	_	16	kon	_	_
22	abends	abends	A	ADV	_	21	cj	_	_
23	im	in	P	APPRART	Dat	3	pp	_	_
24	Bette	Bett	N	NN	Neut|Dat|Sg	23	pn	216	216
25	.	.	$	$.	_	0	root	_	_

1	Alle	alle	P	PIS	_|_|_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Alle	alle	P	PIS	_|_|_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Wo	Wo	P	PWAV	_	3	adv	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	6	det	_	_
5	infame	infam	A	ADJA	Pos|Masc|Nom|Sg|Wk|	6	attr	_	_
6	Bengel	Bengel	N	NN	Masc|Nom|Sg	3	subj	_	_
7	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Fort	Fort	N	NN	Neut|_|Sg	0	root	980	980
3	.	.	$	$.	_	0	root	_	_

1	Weg	Weg	N	NN	Masc|_|Sg	0	root	_	_
2	.	.	$	$.	_	0	root	_	_

1	Nirgends	nirgends	A	ADV	_	3	adv	_	_
2	zu	zu	P	PTKA	_	3	adv	_	_
3	sehn	sehn	A	ADJD	_	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Dem	die	A	ART	Def|Masc|Dat|Sg	2	det	28	28
2	Kaiser	Kaiser	N	NN	Masc|Dat|Sg	3	objd	28	28
3	wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
4	unbehaglich	unbehaglich	A	ADJD	Pos|	3	pred	_	_
5	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	nach	nach	P	APPR	Dat	2	objp	_	_
4	Wunder	Wunder	N	NN	_|Dat|Sg	3	pn	_	_
5	aus	aus	P	PTKVZ	_	2	avz	_	_
6	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	51	51
2	rote	rot	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	51	51
3	Knabe	Knabe	N	NN	Masc|Nom|Sg	0	root	51	51
4	.	.	$	$.	_	0	root	_	_

1	wer	wer	P	PWS	_|Nom|Sg	2	subj	_	_
2	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	22	22
2	Himmel	Himmel	N	NN	Masc|Nom|Sg	3	subj	22	22
3	liebte	lieben	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|_	3	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	zuweilen	zuweilen	A	ADV	_	12	adv	_	_
7	Boten	Bote	N	NN	Masc|_|_	12	obja	_	_
8	auf	auf	P	APPR	Acc	12	pp	_	_
9	die	die	A	ART	Def|Fem|Acc|Sg	10	det	242	242
10	Erde	Erde	N	NN	Fem|Acc|Sg	8	pn	242	242
11	zu	zu	P	PTKZU	_	12	part	_	_
12	senden	senden	V	VVINF	_	3	obji	_	_
13	,	,	$	$,	_	0	root	_	_
14	Warner	Warner	N	NE	_	3	vok	_	_
15	.	.	$	$.	_	0	root	_	_

1	Jedenfalls	jedenfalls	A	ADV	_	2	adv	39	39
2	schnell	schnell	A	ADJD	Pos|	4	adv	39	39
3	ein	eine	A	ART	Indef|Neut|_|Sg	4	det	39	39
4	Edikt	Edikt	N	NN	Neut|_|Sg	0	root	39	39
5	!	!	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	2	obja	_	_
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	38	38
4	Polizeipräsident	Polizeipräsident	N	NN	Masc|Nom|Sg	2	subj	38	38
5	bald	bald	A	ADV	_	2	adv	_	_
6	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Auf	auf	P	APPR	_	0	root	_	_
3	Allerhöchsten	allerhoch	A	ADJA	Sup|Masc|_|Sg|_|	4	attr	_	_
4	Befehl	Befehl	N	NN	Masc|_|Sg	2	pn	_	_
5	!	!	$	$.	_	0	root	_	_

1	Seit	seit	P	APPR	Dat	4	pp	_	_
2	drei	drei	C	CARD	_	3	attr	_	_
3	Tagen	Tag	N	NN	Masc|Dat|Pl	1	pn	_	_
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	von	von	P	APPR	Dat	16	pp	_	_
6	den	die	A	ART	Def|_|Dat|Pl	7	det	_	_
7	Kindern	Kind	N	NN	_|Dat|Pl	5	pn	_	_
8	der	die	A	ART	Def|_|_|_	9	det	_	_
9	Haupt	Haupt	N	NN	_|Gen|_	7	gmod	_	_
10	und	und	K	KON	_	9	kon	_	_
11	Residenzstadt	Residenzstadt	N	NN	Fem|Gen|Sg	10	cj	_	_
12	ein	eine	A	ART	Indef|Neut|Nom|Sg	15	det	36	36
13	höchst	höchst	A	ADV	_	14	adv	36	36
14	unziemliches	unziemliches	A	ADJA	_|Neut|Nom|Sg|_	15	attr	36	36
15	Lied	Lied	N	NN	Neut|Nom|Sg	4	subj	36	36
16	gesungen	singen	V	VVPP	_	4	aux	36	36
17	,	,	$	$,	_	0	root	36	36
18	das	die	P	PRELS	Neut|Nom|Sg	21	subj	36	36
19	die	die	A	ART	Def|Fem|_|Sg	20	det	_	_
20	Dreistigkeit	Dreistigkeit	N	NN	Fem|_|Sg	21	obja	_	_
21	hat	haben	V	VAFIN	3|Sg|Pres|Ind	15	rel	_	_
22	,	,	$	$,	_	0	root	_	_
23	dem	die	A	ART	Def|Neut|Dat|Sg	25	det	_	_
24	Allerhöchsten	allerhoch	A	ADJA	Sup|Neut|Dat|Sg|Wk|	25	attr	_	_
25	Herrscherhause	Herrscherhaus	N	NN	Neut|Dat|Sg	33	objd	_	_
26	unter	unter	P	APPR	_	33	pp	_	_
27	albernen	albern	A	ADJA	Pos|Fem|_|Pl|_|	30	attr	_	_
28	und	und	K	KON	_	27	kon	_	_
29	sinnlosen	sinnlos	A	ADJA	Pos|_|_|_|_|	28	cj	_	_
30	Wendungen	Wendung	N	NN	Fem|_|Pl	26	pn	_	_
31	den	die	A	ART	Def|Masc|Acc|Sg	32	det	_	_
32	Untergang	Untergang	N	NN	Masc|Acc|Sg	33	obja	_	_
33	anzukündigen	ankündigen	V	VVIZU	_	21	obji	_	_
34	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	kein	keine	A	PIAT	Neut|Nom|Sg	4	det	_	_
4	Lied	Lied	N	NN	Neut|Nom|Sg	2	pred	_	_
5	für	für	P	APPR	Acc	4	pp	_	_
6	Kinder	Kind	N	NN	Neut|Acc|Pl	5	pn	_	_
7	treuer	treu	A	ADJA	Pos|_|Gen|_|St|	8	attr	_	_
8	Untertanen	Untertan	N	NN	_|Gen|_	6	gmod	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	2	kon	_	_
11	somit	somit	A	ADV	_	12	adv	_	_
12	wird	werden	V	VAFIN	3|Sg|Pres|Ind	10	cj	_	_
13	es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
14	hierdurch	hierdurch	P	PROAV	_	18	pp	_	_
15	auf	auf	P	APPR	Acc	18	pp	_	_
16	das	die	A	ART	Def|Neut|Acc|Sg	17	det	_	_
17	Nachdrücklichste	Nachdrücklichste	N	NN	Neut|Acc|Sg	15	pn	_	_
18	verboten	verbieten	V	VVPP	_	12	aux	_	_
19	.	.	$	$.	_	0	root	_	_

1	Sollte	sollen	V	VMFIN	3|Sg|Past|_	14	neb	_	_
2	sich	sie	P	PRF	3|_|Dat	6	objd	_	_
3	fürderhin	fürderhin	A	ADV	_	6	adv	_	_
4	irgendein	irgendeine	A	PIAT	Neut|Nom|Sg	5	det	37	37
5	Kind	Kind	N	NN	Neut|Nom|Sg	1	subj	37	37
6	unterstehen	unterstehen	V	VVINF	_	1	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	dieses	diese	A	PDAT	Neut|_|Sg	9	det	32	32
9	Lied	Lied	N	NN	Neut|_|Sg	11	obja	32	32
10	zu	zu	P	PTKZU	_	11	part	_	_
11	singen	singen	V	VVINF	_	6	obji	_	_
12	,	,	$	$,	_	0	root	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
15	nicht	nicht	P	PTKNEG	_	22	adv	_	_
16	allein	allein	A	ADV	_	22	adv	_	_
17	das	die	A	ART	Def|Neut|Nom|Sg	18	det	_	_
18	Kind	Kind	N	NN	Neut|Nom|Sg	14	subj	_	_
19	,	,	$	$,	_	0	root	_	_
20	sondern	sondern	K	KON	_	18	kon	_	_
21	es	es	P	PPER	3|Sg|Neut|Nom	20	cj	_	_
22	werden	werden	V	VAINF	_	14	aux	_	_
23	auch	auch	A	ADV	_	22	adv	_	_
24	seine	seine	A	PPOSAT	_|Nom|Pl	25	det	37	37
25	Eltern	Elter	N	NN	_|Nom|Pl	31	subj	_	_
26	und	und	K	KON	_	25	kon	_	_
27	älteren	alt	A	ADJA	Comp|Masc|Nom|Pl|Wk|	28	attr	_	_
28	Brüder	Bruder	N	NN	Masc|Nom|Pl	26	cj	_	_
29	sehr	sehr	A	ADV	_	30	adv	_	_
30	fühlbar	fühlbar	A	ADJD	Pos|	31	adv	_	_
31	bestraft	bestrafen	V	VVPP	_	14	neb	_	_
32	werden	werden	V	VAINF	_	0	root	_	_
33	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	38	38
2	Polizeipräsident	Polizeipräsident	N	NN	Masc|Nom|Sg	0	root	38	38
3	.	.	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	Dieses	diese	A	PDAT	Neut|_|Sg	2	det	39	39
2	Edikt	Edikt	N	NN	Neut|_|Sg	3	obja	39	39
3	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
4	zur	zu	P	APPRART	Dat	3	pp	_	_
5	Folge	Folge	N	NN	Fem|Dat|Sg	4	pn	40	40
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	18	konj	_	_
8	die	die	A	ART	Def|_|_|Pl	10	det	_	_
9	sorglichen	sorglich	A	ADJA	Pos|_|_|Pl|Wk|	10	attr	_	_
10	Eltern	Elter	N	NN	_|_|Pl	18	obja	_	_
11	ihren	ihre	A	PPOSAT	Masc|Nom|Pl	12	det	40	40
12	Kindern	Kind	N	NN	Masc|Nom|Pl	18	subj	_	_
13	dicke	dick	A	ADJA	Pos|_|Nom|_|_|	14	attr	_	_
14	Seidentücher	Seidentuch	N	NN	_|Nom|_	12	app	_	_
15	vor	vor	P	APPR	Acc	18	pp	_	_
16	den	die	A	ART	Def|Masc|Acc|Sg	17	det	_	_
17	Schnabel	Schnabel	N	NN	Masc|Acc|Sg	15	pn	_	_
18	banden	binden	V	VVFIN	3|Pl|Past|Ind	3	subjc	_	_
19	,	,	$	$,	_	0	root	_	_
20	und	und	K	KON	_	18	kon	_	_
21	somit	somit	A	ADV	_	22	adv	_	_
22	war	sein	V	VAFIN	3|Sg|Past|Ind	20	cj	_	_
23	das	die	A	ART	Def|Neut|Nom|Sg	24	det	32	32
24	Lied	Lied	N	NN	Neut|Nom|Sg	22	subj	32	32
25	allerdings	allerdings	A	ADV	_	27	adv	_	_
26	unmöglich	unmöglich	A	ADJD	Pos|	27	pred	_	_
27	gemacht	machen	V	VVPP	_	22	aux	_	_
28	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	seiner	seine	A	PPOSAT	Fem|Dat|Sg	3	det	2	2
3	Sorge	Sorge	N	NN	Fem|Dat|Sg	4	objd	_	_
4	war	sein	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	28	28
6	Kaiser	Kaiser	N	NN	Masc|Nom|Sg	4	subj	28	28
7	darum	darum	P	PROAV	_	4	pp	_	_
8	nicht	nicht	P	PTKNEG	_	4	adv	_	_
9	ledig	ledig	A	ADJD	Pos|	4	pred	_	_
10	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	2	2
2	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	11	s	_	_
3	durchaus	durchaus	A	ADV	_	4	adv	_	_
4	wissen	wissen	V	VVINF	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	was	was	P	PWS	Neut|_|Sg	9	obja	_	_
7	die	die	A	ART	Def|Fem|Nom|Sg	8	det	41	41
8	Singerei	Singerei	N	NN	Fem|Nom|Sg	9	subj	41	41
9	bedeutet	bedeuten	V	VVFIN	3|Sg|Pres|Ind	4	objc	_	_
10	,	,	$	$,	_	0	root	_	_
11	dachte	denken	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	2	2
13	sich	sie	P	PRF	3|_|Dat	11	objd	_	_
14	und	und	K	KON	_	11	kon	_	_
15	berief	berufen	V	VVFIN	_|Sg|Past|Ind	14	cj	_	_
16	seine	seine	A	PPOSAT	Masc|Acc|Pl	17	det	2	2
17	Minister	Minister	N	NN	Masc|Acc|Pl	15	obja	_	_
18	und	und	K	KON	_	17	kon	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	93	93
20	Hofastrologen	Hofastrologe	N	NN	Masc|Acc|Sg	18	cj	93	93
21	zu	zu	P	APPR	Dat	15	pp	_	_
22	einem	eine	A	ART	Indef|_|Dat|Sg	23	det	_	_
23	Kronrate	Kronrate	N	NN	_|Dat|Sg	21	pn	_	_
24	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Zuerst	zuerst	A	ADV	_	3	adv	_	_
3	bitte	bitten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	44	44
5	S.	S.	N	NE	Fem|Nom|Sg	4	app	44	44
6	Exzellenz	Exzellenz	N	NN	Fem|Nom|Sg	5	app	44	44
7	den	die	A	ART	Def|Masc|Acc|Sg	8	det	42	42
8	Kultusminister	Kultusminister	N	NN	Masc|Acc|Sg	3	obja	42	42
9	um	um	P	APPR	Acc	3	objp	_	_
10	seine	seine	A	PPOSAT	Fem|Acc|Sg	11	det	42	42
11	Meinung	Meinung	N	NN	Fem|Acc|Sg	9	pn	_	_
12	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Kultusminister	Kultusminister	N	NN	Masc|Nom|Sg	7	subj	_	_
3	,	,	$	$,	_	0	root	_	_
4	Herr	Herr	N	NN	Masc|Nom|Sg	2	app	_	_
5	Schau-hu	Schau-hu	N	NE	Masc|Nom|Sg	4	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	machte	machen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	ko-tao	ko-tao	N	NE	_	7	obja	53	53
9	und	und	K	KON	_	7	kon	_	_
10	sprach	sprechen	V	VVFIN	_|Sg|Past|Ind	9	cj	_	_
11	:	\:	$	$.	_	0	root	_	_
12	Es	es	P	PPER	3|Sg|Neut|_	13	expl	_	_
13	gilt	gelten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
14	zuvörderst	zuvörderst	A	ADJD	_	13	adv	_	_
15	,	,	$	$,	_	0	root	_	_
16	die	die	A	ART	Def|Fem|_|Sg	17	det	_	_
17	Bedeutung	Bedeutung	N	NN	Fem|_|Sg	24	obja	_	_
18	der	die	A	ART	Def|Masc|Gen|Pl	19	det	_	_
19	Worte	Wort	N	NN	Masc|Gen|Pl	17	gmod	_	_
20	Yen	Yen	N	NN	Masc|Gen|_	19	app	_	_
21	und	und	K	KON	_	20	kon	_	_
22	Tschi	Tschi	N	NN	Masc|Gen|_	21	cj	43	43
23	zu	zu	P	PTKZU	_	24	part	_	_
24	eruieren	eruieren	V	VVINF	_	13	obji	_	_
25	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	44	44
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	6	obja	_	_
4	sofort	sofort	A	ADV	_	6	adv	_	_
5	darum	darum	P	PROAV	_	6	objp	_	_
6	bemüht	bemühen	V	VVPP	_	2	aux	_	_
7	und	und	K	KON	_	2	kon	_	_
