1	Rom	Rom	N	NE	Neut|Nom|Sg	2	subj	128	128
8	!	!	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	5	det	_	_
4	große	groß	A	ADJA	Pos|Masc|Nom|Sg|Wk|	5	attr	_	_
5	Staub	Staub	N	NN	Masc|Nom|Sg	2	subj	_	_
6	und	und	K	KON	_	5	kon	_	_
7	die	die	A	ART	Def|_|Nom|_	10	det	_	_
8	sehr	sehr	A	ADV	_	9	adv	_	_
9	dichte	dicht	A	ADJA	Pos|_|Nom|_|_|	10	attr	_	_
10	Spinnewebe	Spinnewebe	N	NN	_|Nom|_	6	cj	_	_
11	der	die	A	ART	Def|Fem|Gen|Sg	12	det	_	_
12	Vergangenheit	Vergangenheit	N	NN	Fem|Gen|Sg	10	gmod	_	_
13	?	?	$	$.	_	0	root	_	_

1	Muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	130	130
3	zu	zu	P	APPR	Dat	6	pp	_	_
4	den	die	A	ART	Def|Fem|Dat|Pl	5	det	_	_
5	Pyramiden	Pyramide	N	NN	Fem|Dat|Pl	3	pn	_	_
6	fliehen	fliehen	V	VVINF	_	1	aux	_	_
7	?	?	$	$.	_	0	root	_	_

1	In	in	P	APPR	Acc	0	root	_	_
2	die	die	A	ART	Def|_|Acc|_	3	det	_	_
3	Wüste	Wüste	N	NN	_|Acc|_	1	pn	_	_
4	der	die	A	ART	Def|Neut|Gen|Pl	6	det	_	_
5	einsamen	einsam	A	ADJA	Pos|Neut|Gen|Pl|Wk|	6	attr	_	_
6	Kamele	Kamel	N	NN	Neut|Gen|Pl	3	gmod	_	_
7	?	?	$	$.	_	0	root	_	_

1	Alle	alle	A	PIDAT	Masc|Nom|Pl	3	det	_	_
2	meine	meine	A	PPOSAT	Masc|Nom|Pl	3	det	130	130
3	Träume	Traum	N	NN	Masc|Nom|Pl	4	subj	_	_
4	wachen	wachen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	in	in	P	APPR	Acc	4	pp	_	_
6	moderne	modern	A	ADJA	Pos|Masc|Acc|Pl|St|	7	attr	_	_
7	Tage	Tag	N	NN	Masc|Acc|Pl	5	pn	_	_
8	auf	auf	P	PTKVZ	_	4	avz	_	_
9	...	...	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Pl	6	det	_	_
4	ganzen	ganz	A	ADJA	Pos|Fem|Nom|Pl|Wk|	6	attr	_	_
5	leeren	leer	A	ADJA	Pos|Fem|Nom|Pl|Wk|	6	attr	_	_
6	Hallen	Halle	N	NN	Fem|Nom|Pl	2	subj	_	_
7	voll	voll	A	ADJD	Pos|	2	pred	_	_
8	grauer	grau	A	ADJA	Pos|Masc|Gen|Pl|St|	9	attr	131	131
9	Gobelins	Gobelin	N	NN	Masc|Gen|Pl	2	objg	131	131
10	,	,	$	$,	_	0	root	_	_
11	in	in	P	APPR	Dat	0	root	_	_
12	denen	die	P	PRELS	_|Dat|Pl	11	pn	131	131
13	meine	meine	A	PPOSAT	Fem|_|Sg	14	det	130	130
14	Seele	Seele	N	NN	Fem|_|Sg	0	root	_	_
15	...	...	$	$.	_	0	root	_	_
16	wohnen	wohnen	V	VVINF	_	17	aux	_	_
17	könnte	können	V	VMFIN	_|Sg|Past|Subj	0	root	_	_
18	?	?	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	weht	wehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
4	Tanz	Tanz	N	NN	Masc|Nom|Sg	2	subj	_	_
5	der	die	A	ART	Def|_|Gen|_	8	det	132	132
6	sehr	sehr	A	ADV	_	7	adv	132	132
7	schweigenden	schweigend	A	ADJA	Pos|_|Gen|_|Wk|<PPRES	8	attr	132	132
8	Epheben	Epheben	N	NN	_|Gen|Pl	4	gmod	132	132
9	,	,	$	$,	_	0	root	132	132
10	zu	zu	P	APPR	Dat	13	pp	132	132
11	denen	die	P	PRELS	_|Dat|Pl	10	pn	132	132
12	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	130	130
13	sagen	sagen	V	VVINF	_	14	aux	_	_
14	könnte	können	V	VMFIN	1|Sg|Past|Subj	8	rel	_	_
15	:	\:	$	$.	_	0	root	_	_
16	Oh	oh	I	ITJ	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	meine	meine	A	PPOSAT	Masc|_|Pl	19	det	130	130
19	Brüder	Bruder	N	NN	Masc|_|Pl	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	dreht	drehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
22	mich	ich	P	PPER	1|Sg|_|Acc	21	obja	130	130
23	mit	mit	P	APPR	Dat	21	pp	_	_
24	in	in	P	APPR	Dat	27	pp	_	_
25	diesem	diese	A	PDAT	_|Dat|Sg	24	pn	_	_
26	sehr	sehr	A	ADV	_	27	adv	_	_
27	schmerzlichen	schmerzlich	A	ADJA	Pos|Masc|Dat|Sg|Wk|	31	attr	_	_
28	und	und	K	KON	_	27	kon	_	_
29	überaus	überaus	A	ADV	_	30	adv	_	_
30	heiligen	heilig	A	ADJA	Pos|_|Dat|_|_|	28	cj	_	_
31	Tanze	Tanz	N	NN	Masc|Dat|Sg	23	pn	_	_
32	?	?	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	diese	diese	A	PDAT	Masc|_|Pl	5	det	_	_
4	deutschen	deutsch	A	ADJA	Pos|Masc|_|Pl|Wk|	5	attr	_	_
5	Künstler	Künstler	N	NN	Masc|_|Pl	0	root	_	_
6	hier	hier	A	ADV	_	5	adv	_	_
7	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	132	132
2	trinken	trinken	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	sehr	sehr	A	ADV	_	4	adv	_	_
4	viel	viel	A	PIDAT	Masc|_|Sg	5	det	_	_
5	Wein	Wein	N	NN	Masc|_|Sg	2	obja	_	_
6	und	und	K	KON	_	2	kon	_	_
7	sind	sein	V	VAFIN	_|Pl|Pres|Ind	6	cj	_	_
8	immer	immer	A	ADV	_	9	adv	_	_
9	vergnügt	vergnügen	V	VVPP	_	7	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	132	132
2	lachen	lachen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	über	über	P	APPR	_	2	pp	_	_
4	meinen	meine	A	PPOSAT	Masc|_|Sg	6	det	133	133
5	weißen	weiß	A	ADJA	Pos|Masc|_|Sg|_|	6	attr	_	_
6	Gehrock	Gehrock	N	NN	Masc|_|Sg	3	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	2	kon	_	_
9	ihre	ihre	A	PPOSAT	Fem|Nom|Sg	11	det	132	132
10	plumpe	plump	A	ADJA	Pos|Fem|Nom|Sg|_|	11	attr	135	135
11	Seele	Seele	N	NN	Fem|Nom|Sg	14	subj	135	135
12	und	und	K	KON	_	11	kon	_	_
13	Kunst	Kunst	N	NN	Fem|Nom|Sg	12	cj	_	_
14	hat	haben	V	VAFIN	3|Sg|Pres|Ind	8	cj	_	_
15	nichts	nichts	P	PIS	_	14	obja	_	_
16	gemein	gemein	A	ADJD	Pos|	14	pred	_	_
17	mit	mit	P	APPR	Dat	14	pp	_	_
18	der	die	A	ART	Def|Fem|Dat|Sg	19	det	_	_
19	Dichtkunst	Dichtkunst	N	NN	Fem|Dat|Sg	17	pn	_	_
20	meiner	meine	A	PPOSAT	Fem|Gen|Sg	21	det	133	133
21	Seele	Seele	N	NN	Fem|Gen|Sg	19	gmod	_	_
22	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	133	133
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	in	in	P	APPR	Acc	6	pp	_	_
4	mein	meine	A	PPOSAT	Neut|Acc|Sg	5	det	133	133
5	Hotel	Hotel	N	NN	Neut|Acc|Sg	3	pn	134	134
6	verbannt	verbannen	V	VVPP	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	0	root	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	_	_
10	Papst	Papst	N	NN	Masc|Nom|Sg	0	root	_	_
11	in	in	P	APPR	_	10	pp	_	_
12	seinen	seine	A	PPOSAT	_|_|_	13	det	129	129
13	Vatikan	Vatikan	N	NN	_|_|_	11	pn	129	129
14	.	.	$	$.	_	0	root	_	_

1	Oh	oh	I	ITJ	_	0	root	_	_
2	ihr	ihre	A	PPOSAT	_|_|Sg	4	det	135	135
3	qualvollen	qualvoll	A	ADJA	Pos|_|_|_|_|	4	attr	_	_
4	Wochen	Woche	N	NN	_|_|Sg	0	root	_	_
5	in	in	P	APPR	Dat	4	pp	_	_
6	diesem	diese	A	PDAT	Neut|Dat|Sg	7	det	134	134
7	Hotel	Hotel	N	NN	Neut|Dat|Sg	5	pn	134	134
8	!	!	$	$.	_	0	root	_	_

1	Daß	daß	K	KOUS	_	5	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	133	133
3	doch	doch	A	ADV	_	4	adv	_	_
4	fliehen	fliehen	V	VVINF	_	5	aux	_	_
5	könnte	können	V	VMFIN	1|Sg|Past|Subj	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	kalt	kalt	A	ADJD	Pos|	3	pred	_	_
5	und	und	K	KON	_	3	kon	_	_
6	regnet	regnen	V	VVFIN	_|_|Pres|_	5	cj	_	_
7	viel	viel	P	PIS	_	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Warum	Warum	P	PWAV	_	2	adv	_	_
2	reise	reisen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	136	136
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	nach	nach	P	PTKVZ	_	2	avz	_	_
6	...	...	$	$.	_	0	root	_	_
7	Afrika	Afrika	N	NE	Neut|_|Sg	0	root	_	_
8	?	?	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|Nom|Sg	2	subj	_	_
2	hält	halten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	136	136
4	an	an	P	APPR	Dat	2	pp	_	_
5	diesem	diese	A	PDAT	_|Dat|Sg	6	det	_	_
6	Orte	Ort	N	NN	_|Dat|Sg	4	pn	_	_
7	der	die	A	ART	Def|_|Gen|_	9	det	_	_
8	seelenmörderischen	seelenmörderisch	A	ADJA	Pos|_|Gen|_|Wk|	9	attr	_	_
9	Table	Table	F	FM	_|Gen|_	6	gmod	_	_
10	d	d	F	FM	_|Gen|_	9	app	_	_
11	‘	‘	F	FM	_|Gen|_	10	app	_	_
12	hôte	hôte	F	FM	_|Gen|_	11	app	_	_
13	?	?	$	$.	_	0	root	_	_

1	Oh	oh	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	136	136
4	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
5	...	...	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	136	136
2	fühle	fühlen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	obja	_	_
4	...	...	$	$.	_	0	root	_	_
5	jene	jene	A	PDAT	Fem|_|Sg	6	det	_	_
6	Ekloge	Ekloge	N	NN	Fem|_|Sg	0	root	_	_
7	in	in	P	APPR	_	6	pp	_	_
8	Molossern	Molossern	N	NN	_|_|_	7	pn	137	137
9	...	...	$	$.	_	0	root	_	_

1	Geduldig	geduldig	A	ADJD	Pos|	2	adv	_	_
2	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	136	136
4	warten	warten	V	VVINF	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	sehr	sehr	A	ADV	_	7	adv	_	_
7	müde	müde	A	ADJD	Pos|	8	adv	_	_
8	lächelnd	lächeln	A	ADJD	_|<PPRES	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	fernerhin	fernerhin	N	NE	_	0	root	_	_
11	gläubig	gläubig	A	ADJD	Pos|	14	adv	_	_
12	und	und	K	KON	_	11	kon	_	_
13	hingestreckt	hingestreckt	A	ADJD	Pos|	12	cj	_	_
14	auf	auf	P	APPR	Acc	10	pp	_	_
15	den	die	A	ART	Def|Masc|Acc|Sg	18	det	_	_
16	sehr	sehr	A	ADV	_	17	adv	_	_
17	breiten	breit	A	ADJA	Pos|Masc|Acc|Sg|_|	18	attr	_	_
18	Divan	Divan	N	NN	Masc|Acc|Sg	14	pn	_	_
19	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	137	137
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	kommen	kommen	V	VVINF	_	2	aux	_	_
4	...	...	$	$.	_	0	root	_	_
5	ernst	ernst	A	ADJD	Pos|	0	root	_	_
6	...	...	$	$.	_	0	root	_	_
7	feierlich	feierlich	A	ADJD	Pos|	0	root	_	_
8	...	...	$	$.	_	0	root	_	_
9	ephebisch	ephebisch	A	ADJD	Pos|	0	root	_	_
10	...	...	$	$.	_	0	root	_	_

1	Keusch	keusch	A	ADJD	Pos|	9	adv	_	_
2	,	,	$	$,	_	0	root	_	_
3	mit	mit	P	APPR	Dat	6	pp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	_	_
5	Lilie	Lilie	N	NN	Fem|Dat|Sg	3	pn	_	_
6	als	als	K	KOKOM	_	1	par	_	_
7	Wasserzeichen	Wasserzeichen	N	NN	Neut|_|_	6	cj	_	_
8	,	,	$	$,	_	0	root	_	_
9	harrt	harren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	auf	auf	P	APPR	Dat	9	pp	_	_
11	dem	die	A	ART	Def|Masc|Dat|Sg	12	det	_	_
12	Tische	Tisch	N	NN	Masc|Dat|Sg	10	pn	_	_
13	von	von	P	APPR	Dat	12	pp	_	_
14	Palissanderholz	Palissanderholz	N	NN	Neut|Dat|Sg	13	pn	_	_
15	der	die	A	ART	Def|Masc|Nom|Sg	23	det	_	_
16	fleckenlose	fleckenlos	A	ADJA	Pos|Masc|Nom|Sg|Wk|	23	attr	_	_
17	hohe	hoch	A	ADJA	Pos|Masc|Nom|Sg|Wk|	23	attr	_	_
18	,	,	$	$,	_	0	root	_	_
19	schmale	schmal	A	ADJA	Pos|_|Nom|_|_|	17	kon	_	_
20	,	,	$	$,	_	0	root	_	_
21	zärtlich	zärtlich	A	ADJD	Pos|	22	adv	_	_
22	gerippte	gerippt	A	ADJA	Pos|_|Nom|_|_|	19	kon	_	_
23	Bogen	Bogen	N	NN	Masc|Nom|Sg	9	subj	_	_
24	.	.	$	$.	_	0	root	_	_

1	Oh	oh	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wie	wie	P	PWAV	_	6	adv	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	139	139
5	ihn	er	P	PPER	3|Sg|Masc|Acc	6	obja	4	4
6	liebe	lieben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	10	det	138	138
9	heiligen	heilig	A	ADJA	Pos|Masc|Acc|Sg|_|	10	attr	138	138
10	Schoß	Schoß	N	NN	Masc|Acc|Sg	0	root	138	138
11	,	,	$	$,	_	0	root	138	138
12	der	die	P	PRELS	Masc|Nom|Sg	16	subj	138	138
13	meine	meine	A	PPOSAT	Fem|_|Sg	14	det	139	139
14	Ekloge	Ekloge	N	NN	Fem|_|Sg	15	obja	_	_
15	empfangen	empfangen	V	VVINF	_	16	aux	_	_
16	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	10	rel	_	_
17	.	.	$	$.	_	0	root	_	_

1	Scheu	Scheu	N	NN	Fem|Dat|Sg	2	objd	_	_
2	leuchtet	leuchten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	138	138
4	in	in	P	APPR	_	2	pp	_	_
5	Schauern	Schauer	N	NN	_|_|_	4	pn	_	_
6	der	die	A	ART	Def|Fem|Gen|Sg	7	det	_	_
7	Verkündigung	Verkündigung	N	NN	Fem|Gen|Sg	5	gmod	_	_
8	.	.	$	$.	_	0	root	_	_

1	Keine	keine	A	PIAT	Fem|_|Sg	2	det	_	_
2	Ekloge	Ekloge	N	NN	Fem|_|Sg	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|_|Sg	2	det	_	_
2	Nänie	Nänie	N	NN	Fem|_|Sg	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	2	det	_	_
2	Klageweibersang	Klageweibersang	N	NN	Masc|Nom|Sg	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Dank	dank	P	APPR	Dat	6	pp	_	_
2	dir	du	P	PPER	2|Sg|_|Dat	1	pn	140	140
3	,	,	$	$,	_	0	root	_	_
4	Schicksal	Schicksal	N	NN	Neut|Dat|Sg	2	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	fädenspinnende	fädenspinnend	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	7	attr	_	_
7	Göttin	Göttin	N	NN	Fem|_|Sg	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	14	konj	_	_
10	du	du	P	PPER	2|Sg|_|Nom	14	subj	140	140
11	mir	ich	P	PPER	1|Sg|_|Dat	13	objd	141	141
12	jene	jene	P	PDS	_|_|_	13	obja	_	_
13	geschickt	schicken	V	VVPP	_	14	aux	_	_
14	hast	haben	V	VAFIN	2|Sg|Pres|Ind	7	objc	_	_
15	,	,	$	$,	_	0	root	_	_
16	jene	jene	P	PDS	_|_|_	0	root	_	_
17	im	in	P	APPRART	Dat	16	pp	_	_
18	schwarzen	schwarz	A	ADJA	Pos|_|Dat|Sg|Wk|	19	attr	142	142
19	Kleide	Kleid	N	NN	_|Dat|Sg	17	pn	142	142
20	mit	mit	P	APPR	Dat	19	pp	142	142
21	den	die	A	ART	Def|Neut|Dat|Pl	23	det	142	142
22	dunkelumrandeten	dunkelumrandet	A	ADJA	Pos|Neut|Dat|Pl|_|	23	attr	142	142
23	Augen	Auge	N	NN	Neut|Dat|Pl	20	pn	142	142
24	:	\:	$	$.	_	0	root	_	_
25	das	die	A	ART	Def|Neut|_|Sg	26	det	_	_
26	Klageweib	Klageweib	N	NN	Neut|_|Sg	0	root	_	_
27	meiner	meine	A	PPOSAT	Fem|Gen|Sg	28	det	141	141
28	Seele	Seele	N	NN	Fem|Gen|Sg	26	gmod	_	_
29	.	.	$	$.	_	0	root	_	_

1	Einsam	einsam	A	ADJD	Pos|	8	adv	_	_
2	unter	unter	P	APPR	Dat	1	pp	_	_
3	dem	die	A	ART	Def|Masc|Dat|Sg	4	det	_	_
4	Schwarm	Schwarm	N	NN	Masc|Dat|Sg	2	pn	_	_
5	der	die	A	ART	Def|Masc|Gen|Pl	7	det	_	_
6	schwatzenden	schwatzend	A	ADJA	Pos|Masc|Gen|Pl|Wk|<PPRES	7	attr	_	_
7	Esser	Esser	N	NN	Masc|Gen|Pl	4	gmod	_	_
8	sitzt	sitzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	sie	sie	P	PPER	3|Sg|Fem|Nom	8	subj	142	142
10	in	in	P	APPR	Dat	8	pp	_	_
11	düsterer	düster	A	ADJA	Pos|Fem|Dat|Sg|St|	12	attr	_	_
12	Leiblichkeit	Leiblichkeit	N	NN	Fem|Dat|Sg	10	pn	_	_
13	seit	seit	P	APPR	Dat	8	pp	_	_
14	dreien	drei	C	CARD	_	15	attr	_	_
15	Tagen	Tag	N	NN	Masc|Dat|Pl	13	pn	_	_
16	am	an	P	APPRART	Dat	8	pp	_	_
17	linken	link	A	ADJA	Pos|Neut|Dat|Sg|Wk|	18	attr	_	_
18	Ende	Ende	N	NN	Neut|Dat|Sg	16	pn	_	_
19	der	die	A	ART	Def|_|Gen|_	20	det	_	_
20	Table	Table	F	FM	_|Gen|_	18	gmod	_	_
21	d	d	F	FM	_|Gen|_	20	app	_	_
22	‘	‘	F	FM	_|Gen|_	21	app	_	_
23	hôte	hôte	F	FM	_|Gen|_	22	app	_	_
24	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	10	konj	_	_
2	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	142	142
3	das	die	A	ART	Def|Neut|_|Sg	4	det	_	_
4	Glas	Glas	N	NN	Neut|_|Sg	10	obja	_	_
5	mit	mit	P	APPR	Dat	10	pp	_	_
6	schwarzem	schwarz	A	ADJA	Pos|Masc|Dat|Sg|St|	7	attr	_	_
7	Weine	Wein	N	NN	Masc|Dat|Sg	5	pn	_	_
8	zum	zu	P	APPRART	Dat	10	pp	_	_
9	Munde	Mund	N	NN	Masc|Dat|Sg	8	pn	_	_
10	hebt	heben	V	VVFIN	3|Sg|Pres|Ind	12	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	hebt	heben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
13	mein	meine	A	PPOSAT	Masc|Nom|Sg	14	det	_	_
14	Mund	Mund	N	NN	Masc|Nom|Sg	12	subj	_	_
15	sich	sie	P	PRF	3|_|_	12	obja	_	_
16	zum	zu	P	APPRART	Dat	12	pp	_	_
17	Munde	Mund	N	NN	Masc|Dat|Sg	16	pn	_	_
18	des	die	A	ART	Def|Neut|Gen|Sg	19	det	143	143
19	Schicksals	Schicksal	N	NN	Neut|Gen|Sg	17	gmod	143	143
20	und	und	K	KON	_	12	kon	_	_
21	küßt	küßt	V	VVFIN	_	20	cj	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	_	_
23	Kuß	Kuß	N	NN	Masc|Acc|Sg	21	obja	_	_
24	des	die	A	ART	Def|Masc|Gen|Sg	25	det	_	_
25	Dankes	Dank	N	NN	Masc|Gen|Sg	23	gmod	_	_
26	.	.	$	$.	_	0	root	_	_

1	Dieses	diese	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	A	ART	Def|Neut|Nom|Sg	4	det	144	144
4	Weib	Weib	N	NN	Neut|Nom|Sg	2	pred	144	144
5	,	,	$	$,	_	0	root	144	144
6	das	die	P	PRELS	Neut|Nom|Sg	9	subj	144	144
7	nicht	nicht	P	PTKNEG	_	9	adv	_	_
8	Weib	Weib	N	NN	Neut|Nom|Sg	9	pred	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	rel	_	_
10	...	...	$	$.	_	0	root	_	_

1	Dieses	diese	P	PDS	Neut|Nom|Sg	2	subj	_	_
