1	Hol	holen	V	VVIMP	Sg	0	root	_	_
1	Herr	Herr	N	NN	Masc|_|Sg	0	root	_	_
2	Doktor	Doktor	N	NN	Masc|_|Sg	1	app	_	_
3	?	?	$	$.	_	0	root	_	_

1	...	...	$	$.	_	0	root	_	_
2	Ach	ach	I	ITJ	_	0	root	_	_
3	entschuldigen	entschuldigen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	34	34
5	...	...	$	$.	_	0	root	_	_

1	Befehlen	Befehl	N	NN	_|_|_	0	root	_	_
2	?	?	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Herr	Herr	N	NN	Masc|_|Sg	0	root	_	_
4	Doktor	Doktor	N	NN	Masc|_|Sg	3	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	möchten	mögen	V	VMFIN	3|Pl|Past|Subj	0	root	_	_
7	Sie	sie	P	PPER	3|Pl|_|Nom	6	subj	34	34
8	nicht	nicht	P	PTKNEG	_	6	adv	_	_
9	...	...	$	$.	_	0	root	_	_
10	verzeihen	verzeihen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
11	Sie	sie	P	PPER	3|Pl|_|Nom	10	subj	34	34
12	nur	nur	A	ADV	_	10	adv	_	_
13	...	...	$	$.	_	0	root	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	235	235
15	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
16	einen	eine	A	ART	Indef|Masc|Acc|Sg	17	det	172	172
17	Brief	Brief	N	NN	Masc|Acc|Sg	18	obja	172	172
18	schreiben	schreiben	V	VVINF	_	15	aux	_	_
19	und	und	K	KON	_	15	kon	_	_
20	finde	finden	V	VVFIN	_|Sg|Pres|_	19	cj	_	_
21	keine	keine	A	PIAT	Fem|_|Sg	22	det	39	39
22	Feder	Feder	N	NN	Fem|_|Sg	20	obja	39	39
23	...	...	$	$.	_	0	root	_	_
24	und	und	K	KON	_	0	root	_	_
25	Frau	Frau	N	NN	Masc|Nom|Sg	27	subj	_	_
26	Kummer	Kummer	N	NN	Masc|Nom|Sg	25	app	_	_
27	ist	sein	V	VAFIN	3|Sg|Pres|Ind	24	cj	_	_
28	ausgegangen	ausgehen	V	VVPP	_	27	aux	_	_
29	...	...	$	$.	_	0	root	_	_
30	und	und	K	KON	_	0	root	_	_
31	es	es	P	PPER	3|Sg|Neut|Nom	32	subj	_	_
32	ist	sein	V	VAFIN	3|Sg|Pres|Ind	30	cj	_	_
33	schon	schon	A	ADV	_	32	adv	_	_
34	so	so	A	ADV	_	35	adv	_	_
35	spät	spät	A	ADJD	Pos|	32	pred	_	_
36	...	...	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|_|Sg	2	det	_	_
2	Feder	Feder	N	NN	Fem|_|Sg	3	obja	_	_
3	möchten	mögen	V	VMFIN	3|Pl|Past|Subj	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	34	34
5	?	?	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	natürlich	natürlich	A	ADJD	Pos|	1	cj	_	_
3	,	,	$	$,	_	0	root	_	_
4	mit	mit	P	APPR	Dat	0	root	_	_
5	dem	die	A	ART	Def|Neut|Dat|Sg	7	det	_	_
6	größten	groß	A	ADJA	Sup|Neut|Dat|Sg|Wk|	7	attr	_	_
7	Vergnügen	Vergnügen	N	NN	Neut|Dat|Sg	4	pn	_	_
8	!	!	$	$.	_	0	root	_	_

1	Breit	breit	A	ADJD	Pos|	0	root	_	_
2	oder	oder	K	KON	_	1	kon	_	_
3	spitz	spitz	A	ADJD	Pos|	2	cj	_	_
4	?	?	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	ganz	ganz	A	ADV	_	2	adv	_	_
4	Hilfsbeflissenheit	Hilfsbeflissenheit	N	NE	_	0	root	_	_
5	und	und	K	KON	_	0	root	_	_
6	ritterlich	ritterlich	A	ADJD	Pos|	5	cj	_	_
7	erregt	erregen	V	VVPP	_	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	35	35
2	Stimme	Stimme	N	NN	Fem|Nom|Sg	3	subj	35	35
3	gefiel	gefallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	ihm	er	P	PPER	3|Sg|_|Dat	3	objd	1	1
5	übrigens	übrigens	A	ADV	_	3	adv	_	_
6	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	doch	doch	A	ADV	_	2	adv	_	_
4	nett	nett	A	ADJD	Pos|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	13	konj	_	_
7	ein	eine	A	ART	Indef|Neut|Nom|Sg	8	det	_	_
8	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	13	subj	_	_
9	hinter	hinter	P	APPR	Dat	13	pp	_	_
10	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	11	det	35	35
11	Tür	Tür	N	NN	Fem|Dat|Sg	9	pn	_	_
12	einen	eine	P	PIS	_|_|_	13	obja	_	_
13	anflüstert	anflüstern	V	VVFIN	3|Sg|Pres|Ind	2	neb	_	_
14	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	was	was	P	PIS	_	2	obja	_	_
5	...	...	$	$.	_	0	root	_	_
6	na	na	F	FM	_	0	root	_	_
7	...	...	$	$.	_	0	root	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	was	was	A	PIAT	Neut|_|Sg	10	det	_	_
10	Zutrauliches	Zutrauliches	N	NN	Neut|_|Sg	0	root	_	_
11	.	.	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	bitte	bitte	I	ITJ	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	lieber	lieb	A	ADJD	Comp|	6	adv	_	_
6	spitz	spitz	A	ADJD	Pos|	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	11	konj	_	_
9	Sie	sie	P	PPER	3|Pl|_|Nom	11	subj	_	_
10	Auswahl	Auswahl	N	NN	Fem|_|Sg	11	obja	_	_
11	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
12	.	.	$	$.	_	0	root	_	_

1	Einen	ein	A	ART	Indef|Masc|Acc|Sg	2	det	_	_
2	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Fräulein	Fräulein	N	NN	Neut|Acc|_	2	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	235	235
7	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
8	auch	auch	A	ADV	_	7	adv	_	_
9	ganz	ganz	A	ADV	_	7	adv	_	_
10	spitze	spitzen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
11	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	seine	seine	A	PPOSAT	Neut|_|Pl	5	det	1	1
4	kostbaren	kostbar	A	ADJA	Pos|Neut|_|Pl|Wk|	5	attr	_	_
5	Hefte	Heft	N	NN	Neut|_|Pl	2	obja	_	_
6	rücksichtslos	rücksichtslos	A	ADJD	Pos|	2	adv	_	_
7	durcheinander	durcheinander	A	ADV	_	2	adv	_	_
8	und	und	K	KON	_	2	kon	_	_
9	suchte	suchen	V	VVFIN	_|Sg|Past|_	8	cj	_	_
10	mit	mit	P	APPR	Dat	9	pp	_	_
11	noch	noch	A	ADV	_	12	adv	_	_
12	größerem	groß	A	ADJA	Comp|Masc|Dat|Sg|St|	13	attr	_	_
13	Eifer	Eifer	N	NN	Masc|Dat|Sg	10	pn	_	_
14	,	,	$	$,	_	0	root	_	_
15	als	als	K	KOUS	_	21	konj	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	21	subj	1	1
17	eben	eben	A	ADV	_	20	adv	_	_
18	chinesische	chinesisch	A	ADJA	Pos|Neut|_|_|_|	19	attr	36	36
19	Zeichen	Zeichen	N	NN	Neut|_|_	20	obja	36	36
20	gesucht	suchen	V	VVPP	_	21	aux	_	_
21	hatte	haben	V	VAFIN	3|Sg|Past|Ind	9	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	nach	nach	P	APPR	Dat	20	pp	_	_
24	spitzen	spitz	A	ADJA	Pos|_|Dat|_|_|	25	attr	_	_
25	Federn	Feder	N	NN	_|Dat|_	23	pn	_	_
26	.	.	$	$.	_	0	root	_	_

1	Dabei	Dabei	P	PROAV	_	2	pp	_	_
2	überlegte	überlegen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
4	sich	sie	P	PRF	3|_|Dat	2	objd	_	_
5	,	,	$	$,	_	0	root	_	_
6	wie	wie	P	PWAV	_	9	adv	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	1	1
8	sie	sie	P	PPER	3|_|_|_	9	obja	36	36
9	überreichen	überreichen	V	VVINF	_	10	aux	_	_
10	sollte	sollen	V	VMFIN	3|Sg|Past|_	2	objc	_	_
11	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	schon	schon	A	ADV	_	2	adv	_	_
4	wirklich	wirklich	A	ADJD	Pos|	2	pred	_	_
5	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
6	bißchen	bißchen	A	ADV	_	7	adv	_	_
7	sehr	sehr	A	ADV	_	8	adv	_	_
8	schüchtern	schüchtern	A	ADJD	Pos|	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	Sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	1	subj	1	1
3	durch	durch	P	APPR	Acc	1	pp	_	_
4	seine	seine	A	PPOSAT	Fem|Acc|Sg	5	det	1	1
5	Tür	Tür	N	NN	Fem|Acc|Sg	3	pn	_	_
6	...	...	$	$.	_	0	root	_	_
7	?	?	$	$.	_	0	root	_	_

1	...	...	$	$.	_	0	root	_	_
2	oder	oder	K	KON	_	0	root	_	_
3	erst	erst	A	ADV	_	4	adv	_	_
4	über	über	P	APPR	Acc	2	cj	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	43	43
6	Gang	Gang	N	NN	Masc|Acc|Sg	4	pn	43	43
7	...	...	$	$.	_	0	root	_	_
8	?	?	$	$.	_	0	root	_	_

1	Vielleicht	vielleicht	A	ADV	_	5	adv	_	_
2	den	die	A	ART	Def|Masc|Acc|Sg	4	det	40	40
3	besseren	gut	A	ADJA	Comp|Masc|Acc|Sg|_|	4	attr	40	40
4	Rock	Rock	N	NN	Masc|Acc|Sg	5	obja	40	40
5	anziehen	anziehen	V	VVINF	_	0	root	_	_
6	...	...	$	$.	_	0	root	_	_
7	?	?	$	$.	_	0	root	_	_

1	Sich	sie	P	PRF	3|_|_	5	obja	_	_
2	in	in	P	APPR	Dat	5	pp	_	_
3	aller	alle	A	PIDAT	Fem|Dat|Sg	4	det	_	_
4	Form	Form	N	NN	Fem|Dat|Sg	2	pn	_	_
5	vorstellen	vorstellen	V	VVINF	_	0	root	_	_
6	?	?	$	$.	_	0	root	_	_

1	...	...	$	$.	_	0	root	_	_
2	Oder	oder	K	KON	_	0	root	_	_
3	am	an	P	APPRART	Dat	2	cj	_	_
4	Ende	Ende	N	NN	Neut|Dat|Sg	3	pn	37	37
5	-	-	$	$(	_	0	root	_	_
6	:	\:	$	$.	_	0	root	_	_
7	einen	eine	A	ART	Indef|Masc|Acc|Sg	8	det	_	_
8	Witz	Witz	N	NN	Masc|Acc|Sg	9	obja	_	_
9	machen	machen	V	VVINF	_	0	root	_	_
10	?	?	$	$.	_	0	root	_	_

1	...	...	$	$.	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	5	det	_	_
5	Witz	Witz	N	NN	Masc|Acc|Sg	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	Recht	Recht	N	NN	Neut|_|Sg	0	root	38	38
2	forsch	forsch	A	ADJD	Pos|	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	...	...	$	$.	_	0	root	_	_
2	aber	aber	A	ADV	_	0	root	_	_
3	-	-	$	$(	_	0	root	_	_
4	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
5	für	für	P	APPR	Acc	0	root	_	_
6	einen	eine	P	PIS	_|Acc|_	5	pn	_	_
7	?	?	$	$.	_	0	root	_	_

1	Indessen	Indessen	A	ADV	_	2	adv	_	_
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
4	die	die	A	ART	Def|Fem|_|Sg	5	det	39	39
5	Feder	Feder	N	NN	Fem|_|Sg	6	obja	39	39
6	gefunden	finden	V	VVPP	_	2	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Schnell	schnell	A	ADJD	Pos|	3	adv	_	_
2	noch	noch	A	ADV	_	1	adv	_	_
3	an	an	P	APPR	Acc	0	root	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	_	_
5	Spiegel	Spiegel	N	NN	Masc|Acc|Sg	3	pn	_	_
6	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ja	ja	P	PTKANT	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	7	det	40	40
6	besseren	gut	A	ADJA	Comp|Masc|Acc|Sg|_|	7	attr	40	40
7	Rock	Rock	N	NN	Masc|Acc|Sg	0	root	40	40
8	!	!	$	$.	_	0	root	_	_

1	Leise	Leise	N	NN	_|_|_	0	root	41	41
2	!	!	$	$.	_	0	root	_	_

1	Merken	merken	V	VVINF	_	2	aux	_	_
2	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	41	41
4	das	die	P	PDS	Neut|_|Sg	1	obja	_	_
5	nicht	nicht	P	PTKNEG	_	1	adv	_	_
6	.	.	$	$.	_	0	root	_	_

1	Auch	auch	A	ADV	_	4	adv	_	_
2	ein	eine	A	ART	Indef|_|_|Sg	4	det	_	_
3	paar	paar	A	PIDAT	Masc|_|_	4	attr	_	_
4	Bürstenstriche	Bürstenstrich	N	NN	Masc|_|_	0	root	_	_
5	über	über	P	APPR	Acc	4	pp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	_	_
7	Scheitel	Scheitel	N	NN	Masc|Acc|Sg	5	pn	_	_
8	und	und	K	KON	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	natürlich	natürlich	A	ADJD	Pos|	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	_	_
13	Schnurrbart	Schnurrbart	N	NN	Masc|Acc|Sg	0	root	_	_
14	gut	gut	A	ADJD	Pos|	15	adv	_	_
15	nach	nach	P	APPR	Dat	13	pp	_	_
16	oben	oben	A	ADV	_	15	adv	_	_
17	!	!	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	0	root	_	_
2	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nun	nun	A	ADV	_	1	cj	_	_
3	...	...	$	$.	_	0	root	_	_
4	aber	aber	A	ADV	_	0	root	_	_
5	wo	wo	P	PWAV	_	6	adv	_	_
6	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	42	42
8	doch	doch	A	ADV	_	11	adv	_	_
9	die	die	A	ART	Def|Fem|_|Sg	10	det	39	39
10	Feder	Feder	N	NN	Fem|_|Sg	11	obja	39	39
11	hingelegt	hinlegen	V	VVPP	_	6	aux	_	_
12	!	!	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	0	root	_	_
2	aller	alle	A	PIDAT	Fem|Dat|Sg	3	det	107	107
3	Welt	Welt	N	NN	Fem|Dat|Sg	1	pn	107	107
4	,	,	$	$,	_	0	root	107	107
5	wo	wo	P	PWAV	_	6	adv	107	107
6	hab	hab	V	VAFIN	1|Sg|_|_	3	rel	107	107
7	'	'	$	$(	_	0	root	107	107
8	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	42	42
9	sie	sie	P	PPER	3|_|_|_	6	obja	39	39
10	nur	nur	A	ADV	_	6	adv	_	_
11	hin	hin	P	PTKVZ	_	6	avz	_	_
12	...	...	$	$.	_	0	root	_	_

1	Gottlob	Gottlob	N	NN	Neut|_|Sg	4	vok	_	_
2	,	,	$	$,	_	0	root	_	_
3	da	da	A	ADV	_	4	adv	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	sie	sie	P	PPER	3|Sg|Fem|Nom	4	subj	39	39
6	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	nun	nun	A	ADV	_	4	adv	_	_
4	hinüber	hinüber	A	ADV	_	0	root	_	_
5	...	...	$	$.	_	0	root	_	_
6	nein	nein	P	PTKANT	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	nein	nein	P	PTKANT	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	nicht	nicht	P	PTKNEG	_	11	adv	_	_
11	durch	durch	P	APPR	Acc	0	root	_	_
12	die	die	A	ART	Def|Fem|Acc|Sg	14	det	_	_
13	direkte	direkt	A	ADJA	Pos|Fem|Acc|Sg|_|	14	attr	_	_
14	Tür	Tür	N	NN	Fem|Acc|Sg	11	pn	_	_
15	!	!	$	$.	_	0	root	_	_

1	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	doch	doch	A	ADV	_	2	adv	_	_
4	wohl	wohl	A	ADV	_	2	adv	_	_
5	...	...	$	$.	_	0	root	_	_
6	Nein	nein	P	PTKANT	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	über	über	P	APPR	Acc	0	root	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	43	43
10	Gang	Gang	N	NN	Masc|Acc|Sg	8	pn	43	43
11	.	.	$	$.	_	0	root	_	_

1	Soll	sollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	44	44
3	:	\:	$	$.	_	0	root	_	_
4	Mein	meine	A	PPOSAT	Masc|Nom|Sg	5	det	44	44
5	Name	Name	N	NN	Masc|Nom|Sg	6	subj	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	...	...	$	$.	_	0	root	_	_
8	oder	oder	K	KON	_	0	root	_	_
9	:	\:	$	$.	_	0	root	_	_
10	Das	die	P	PDS	Neut|Nom|Sg	11	subj	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
12	aber	aber	A	ADV	_	11	adv	_	_
13	nett	nett	A	ADJD	Pos|	11	pred	_	_
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	19	konj	_	_
16	Sie	sie	P	PPER	3|Pl|_|Nom	19	subj	_	_
17	keine	keine	A	PIAT	Fem|_|Sg	18	det	_	_
18	Feder	Feder	N	NN	Fem|_|Sg	19	obja	_	_
19	haben	haben	V	VAFIN	3|Pl|Pres|_	11	objc	_	_
20	!	!	$	$.	_	0	root	_	_

1	Eigentlich	eigentlich	A	ADV	_	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	diese	diese	A	PDAT	Fem|Nom|Sg	4	det	_	_
4	Geschichte	Geschichte	N	NN	Fem|Nom|Sg	2	subj	_	_
5	recht	recht	A	ADJD	Pos|	6	adv	_	_
6	fatal	fatal	A	ADJD	Pos|	2	pred	_	_
7	...	...	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	fing	fangen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	an	an	P	APPR	_	2	pp	_	_
4	ängstlich	ängstlich	A	ADJD	Pos|	3	pn	_	_
5	zu	zu	P	PTKZU	_	6	part	_	_
6	werden	werden	V	VAINF	_	2	obji	_	_
7	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	7	konj	_	_
2	ein	eine	A	ART	Indef|Masc|Nom|Sg	3	det	45	45
3	Dienstmann	Dienstmann	N	NN	Masc|Nom|Sg	7	subj	45	45
4	zur	zu	P	APPRART	Dat	6	pp	_	_
5	Hand	Hand	N	NN	Fem|Dat|Sg	4	pn	_	_
6	gewesen	sein	V	VAPP	_	7	aux	_	_
7	wäre	sein	V	VAFIN	3|Sg|Past|Subj	9	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	45	45
11	den	die	P	PDS	Masc|Acc|Sg	15	obja	_	_
12	die	die	A	ART	Def|Fem|_|Sg	13	det	_	_
13	Kommission	Kommission	N	NN	Fem|_|Sg	14	obja	_	_
14	besorgen	besorgen	V	VVINF	_	15	obji	_	_
15	lassen	lassen	V	VVINF	_	9	aux	_	_
16	.	.	$	$.	_	0	root	_	_

1	Indessen	Indessen	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	das	die	A	ART	Def|Neut|Nom|Sg	4	det	86	86
4	Schicksal	Schicksal	N	NN	Neut|Nom|Sg	5	subj	86	86
5	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	ihn	er	P	PPER	3|Sg|Masc|Acc	5	obja	1	1
7	schon	schon	A	ADV	_	5	adv	_	_
8	mit	mit	P	APPR	Dat	5	pp	_	_
9	sicherem	sicher	A	ADJA	Pos|Masc|Dat|Sg|St|	10	attr	_	_
10	Griff	Griff	N	NN	Masc|Dat|Sg	8	pn	_	_
11	am	an	P	APPRART	Dat	5	pp	_	_
12	Kragen	Kragen	N	NN	Masc|Dat|_	11	pn	_	_
13	und	und	K	KON	_	0	root	_	_
14	geleitete	geleitet	A	ADJA	Pos|_|_|_|_|	13	cj	_	_
15	ihn	er	P	PPER	3|Sg|Masc|Acc	0	root	1	1
16	,	,	$	$,	_	0	root	_	_
17	sanft	sanft	A	ADJD	Pos|	18	adv	_	_
18	schiebend	schieben	A	ADJD	_|<PPRES	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	an	an	P	APPR	Acc	0	root	_	_
21	die	die	A	ART	Def|Fem|Acc|Sg	22	det	_	_
22	Tür	Tür	N	NN	Fem|Acc|Sg	20	pn	_	_
23	der	die	A	ART	Def|Fem|Gen|Sg	25	det	46	46
24	höheren	hoch	A	ADJA	Comp|Fem|Gen|Sg|Wk|	25	attr	46	46
25	Näherin	Näherin	N	NN	Fem|Gen|Sg	22	gmod	46	46
26	.	.	$	$.	_	0	root	_	_

1	Bitte	Bitte	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Herr	Herr	N	NN	Masc|_|Sg	0	root	_	_
4	Doktor	Doktor	N	NN	Masc|_|Sg	3	app	_	_
5	!	!	$	$.	_	0	root	_	_

1	Emil	Emil	N	NE	_|Nom|Sg	2	subj	0	0
2	rang	ringen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	noch	noch	A	ADV	_	2	adv	_	_
4	mit	mit	P	APPR	Dat	2	objp	_	_
5	einem	eine	A	ART	Indef|Masc|Dat|Sg	6	det	_	_
6	Witze	Witz	N	NN	Masc|Dat|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	als	als	K	KOUS	_	13	konj	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	0	0
10	über	über	P	APPR	Acc	13	pp	_	_
11	die	die	A	ART	Def|Fem|Acc|Sg	12	det	_	_
12	Schwelle	Schwelle	N	NN	Fem|Acc|Sg	10	pn	_	_
13	trat	treten	V	VVFIN	3|Sg|Past|Ind	23	neb	_	_
14	,	,	$	$,	_	0	root	_	_
15	aber	aber	K	KON	_	13	kon	_	_
16	als	als	K	KOUS	_	21	konj	_	_
17	er	er	P	PPER	3|Sg|Masc|Nom	21	subj	0	0
18	über	über	P	APPR	Dat	21	pp	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	20	det	_	_
20	Schwelle	Schwelle	N	NN	Fem|Dat|Sg	18	pn	_	_
