1	Hüt	Hüt	N	NE	_	0	root	57	57
6	dazwischen	dazwischen	P	PTKVZ	_	4	avz	_	_
7	:	\:	$	$.	_	0	root	_	_
8	»	»	$	$(	_	0	root	_	_
9	So	so	A	ADV	_	11	adv	_	_
10	'	'	$	$(	_	0	root	_	_
11	n	n	A	ADJA	_|Neut|_|Sg|_	12	attr	_	_
12	Skelett	Skelett	N	NN	Neut|_|Sg	0	root	_	_
13	!	!	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	3	adv	_	_
2	'	'	$	$(	_	0	root	_	_
3	ne	ne	A	ADJA	_|Fem|_|Sg|_	4	attr	_	_
4	Latte	Latte	N	NN	Fem|_|Sg	0	root	_	_
5	von	von	P	APPR	Dat	4	pp	_	_
6	'	'	$	$(	_	0	root	_	_
7	nem	nem	A	ADJA	_|Neut|Dat|Sg|_	8	attr	135	135
8	Weib	Weib	N	NN	Neut|Dat|Sg	5	pn	135	135
9	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	_	_
2	reene	reene	A	ADJA	_|Fem|_|Sg|_	3	attr	_	_
3	Wegamüsiertheit	Wegamüsiertheit	N	NN	Fem|_|Sg	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	Gefällt	gefallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
2	Dir	du	P	PPER	2|Sg|_|Dat	1	objd	_	_
3	die	die	A	ART	Def|_|_|_	0	root	_	_
4	etwa	etwa	A	ADV	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Jankee	Jankee	N	NE	_	0	root	114	114
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Gefallen	Gefallen	N	NN	_|_|_	0	root	59	59
3	?	?	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	74	74
2	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	aber	aber	K	KON	_	2	kon	_	_
6	sie	sie	P	PPER	3|Sg|Fem|Nom	7	subj	59	59
7	hat	haben	V	VAFIN	3|Sg|Pres|Ind	5	cj	_	_
8	was	was	P	PIS	_	7	obja	_	_
9	.	.	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hört	hören	V	VVIMP	Pl	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	hört	hören	V	VVFIN	_|_|Pres|Ind	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	0	root	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	3	det	39	39
3	That	That	N	NN	Fem|Dat|Sg	1	pn	39	39
4	!	!	$	$.	_	0	root	_	_

1	Jankeedudelchen	Jankeedudelchen	N	NE	_|Nom|Sg	2	subj	60	60
2	produziert	produzieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	als	als	K	KOKOM	_	2	kom	_	_
5	Menschenkenner	Menschenkenner	N	NN	Masc|_|_	4	cj	_	_
6	,	,	$	$,	_	0	root	_	_
7	ohne	ohne	K	KOUI	_	0	root	_	_
8	allen	alle	A	PIDAT	Masc|Acc|Sg	9	det	_	_
9	Apparat	Apparat	N	NN	Masc|Acc|Sg	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	blos	blos	N	NE	Masc|Acc|Sg	9	app	_	_
12	aus	aus	P	APPR	Dat	11	pp	_	_
13	dem	die	A	ART	Def|Neut|Dat|Sg	14	det	61	61
14	Handgelenk	Handgelenk	N	NN	Neut|Dat|Sg	12	pn	61	61
15	.	.	$	$.	_	0	root	_	_

1	Oh	oh	I	ITJ	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	0	root	62	62
3	abgefeimter	abgefeimt	A	ADJA	Pos|Masc|Nom|Sg|St|	4	attr	_	_
4	Sohn	Sohn	N	NN	Masc|Nom|Sg	0	root	_	_
5	der	die	A	ART	Def|_|Gen|_	6	det	_	_
6	Wildniß	Wildniß	N	NN	_|Gen|_	4	gmod	_	_
7	!	!	$	$.	_	0	root	_	_

1	Übrigens	übrigens	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wenn	wenn	K	KOUS	_	9	konj	_	_
4	Du	du	P	PPER	2|Sg|_|Nom	9	subj	62	62
5	genauer	genau	A	ADJD	Comp|	6	adv	_	_
6	seh	seh	A	ADJA	_	8	attr	_	_
7	'	'	$	$(	_	0	root	_	_
8	n	n	N	NN	_	9	obja	_	_
9	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	was	was	P	PWS	Neut|_|Sg	13	obja	_	_
12	se	se	F	FM	_|Nom|Sg	13	subj	_	_
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	9	rel	_	_
14	,	,	$	$,	_	0	root	_	_
15	brauchste	brauchste	F	FM	_|Dat|_	20	objd	_	_
16	'	'	$	$(	_	0	root	_	_
17	s	s	P	PPER	_	20	obja	60	60
18	blos	blos	A	ADJD	_	20	adv	_	_
19	zu	zu	P	PTKZU	_	20	part	_	_
20	sagen	sagen	V	VVINF	_	13	obji	_	_
21	.	.	$	$.	_	0	root	_	_

1	Blos	Blos	N	NE	_	3	obja	_	_
2	zu	zu	P	PTKZU	_	3	part	_	_
3	sagen	sagen	V	VVINF	_	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Se	Se	N	NE	_	0	root	69	69
2	is	is	F	FM	_	1	app	69	69
3	nich	nich	F	FM	_	2	app	69	69
4	genierlich	genierlich	F	FM	_	3	app	69	69
5	.	.	$	$.	_	0	root	_	_

1	Willste	Willste	N	NE	_	0	root	_	_
2	?	?	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	wie	wie	P	PWAV	_	0	root	_	_
5	denn	denn	A	ADV	_	4	adv	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	A	ART	Def|Neut|_|Sg	3	det	63	63
3	Lamm	Lamm	N	NN	Neut|_|Sg	0	root	63	63
4	!	!	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	63	63
2	Lamm	Lamm	N	NN	Neut|_|Sg	0	root	63	63
3	!	!	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wie	Wie	P	PWAV	_	0	root	_	_
3	denn	denn	A	ADV	_	2	adv	_	_
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	fragt	fragen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	dieser	diese	A	PDAT	Masc|Nom|Sg	8	det	8	8
8	Knabe	Knabe	N	NN	Masc|Nom|Sg	6	subj	8	8
9	Karl	Karl	N	NE	Masc|Nom|Sg	8	app	8	8
10	,	,	$	$,	_	0	root	_	_
11	der	die	P	PRELS	Masc|Nom|Sg	15	subj	8	8
12	fürchterlich	fürchterlich	A	ADJD	Pos|	14	pred	_	_
13	zu	zu	P	PTKZU	_	14	part	_	_
14	werden	werden	V	VAINF	_	15	obji	_	_
15	anfängt	anfangen	V	VVFIN	3|Sg|Pres|Ind	9	rel	_	_
16	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wie	Wie	P	PWAV	_	0	root	_	_
3	denn	denn	A	ADV	_	2	adv	_	_
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	Kostbar	Kostbar	N	NN	_|_|Sg	0	root	_	_
7	!	!	$	$.	_	0	root	_	_

1	Höre	hören	V	VVFIN	_|Sg|Pres|_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	mein	meine	A	PPOSAT	Masc|Nom|Sg	4	det	64	64
4	Jüngling	Jüngling	N	NN	Masc|Nom|Sg	0	root	_	_
5	mit	mit	P	APPR	Dat	4	pp	_	_
6	dem	die	A	ART	Def|_|Dat|Sg	8	det	65	65
7	goldenen	golden	A	ADJA	Pos|_|Dat|Sg|Wk|	8	attr	65	65
8	Kandelaber	Kandelaber	N	NN	_|Dat|Sg	5	pn	65	65
9	,	,	$	$,	_	0	root	_	_
10	hebe	heben	V	VVFIN	_|Sg|Pres|_	0	root	_	_
11	die	die	A	ART	Def|Masc|_|Pl	12	det	_	_
12	Lappen	Lappe	N	NN	Masc|_|Pl	10	obja	_	_
13	Deiner	deine	A	PPOSAT	Neut|Gen|Pl	15	det	66	66
14	zierlichen	zierlich	A	ADJA	Pos|Neut|Gen|Pl|Wk|	15	attr	_	_
15	Ohren	Ohr	N	NN	Neut|Gen|Pl	12	gmod	_	_
16	:	\:	$	$.	_	0	root	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	64	64
18	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
19	sie	sie	P	PPER	3|_|_|_	20	obja	65	65
20	einladen	einladen	V	VVINF	_	18	aux	_	_
21	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	64	64
3	schwöre	schwören	V	VVFIN	1|Sg|_|_	1	cj	_	_
4	Dir	du	P	PPER	2|Sg|_|Dat	3	objd	66	66
5	:	\:	$	$.	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	10	konj	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	65	65
8	noch	noch	A	ADV	_	10	adv	_	_
9	unbesetzt	unbesetzt	A	ADJD	Pos|	10	pred	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	12	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	sie	sie	P	PPER	3|Sg|Fem|Nom	12	subj	65	65
14	uns	wir	P	PPER	1|Pl|_|Dat	17	objd	67	67
15	die	die	A	ART	Def|Fem|_|Sg	16	det	_	_
16	Ehre	Ehre	N	NN	Fem|_|Sg	17	obja	_	_
17	geben	geben	V	VVINF	_	12	aux	_	_
18	,	,	$	$,	_	0	root	_	_
19	viele	viele	A	PIDAT	Fem|_|Sg	20	det	_	_
20	Löffel	Löffel	N	NN	Fem|_|Sg	25	obja	_	_
21	Suppe	Suppe	N	NN	Fem|_|Sg	20	app	_	_
22	mit	mit	P	APPR	Dat	25	pp	_	_
23	uns	wir	P	PPER	1|Pl|_|Dat	22	pn	67	67
24	zu	zu	P	PTKZU	_	25	part	_	_
25	essen	essen	V	VVINF	_	17	obji	_	_
26	.	.	$	$.	_	0	root	_	_

1	Siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	1	subj	66	66
3	:	\:	$	$.	_	0	root	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	die	die	A	ART	Def|Fem|Nom|Sg	7	det	68	68
7	Sache	Sache	N	NN	Fem|Nom|Sg	5	subj	68	68
8	gedeichselt	gedeichselt	N	NE	Fem|Nom|Sg	7	app	68	68
9	,	,	$	$,	_	0	root	_	_
10	paß	paß	V	VVIMP	_	0	root	_	_
11	auf	auf	P	PTKVZ	_	10	avz	_	_
12	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	64	64
2	brauche	brauchen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	nur	nur	A	ADV	_	2	adv	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
5	schamlosen	schamlos	A	ADJA	Pos|Masc|Acc|Sg|_|	6	attr	_	_
6	Betaster	Betaster	N	NN	Masc|Acc|Sg	2	obja	_	_
7	dieses	diese	A	PDAT	_|_|Sg	8	det	_	_
8	Blüthnerbastards	Blüthnerbastards	N	NN	_|_|Sg	9	obja	_	_
9	heranzuwinken	heranwinken	V	VVIZU	_	2	obji	_	_
10	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	ungefähr	ungefähr	A	ADJD	Pos|	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Sie	sie	P	PPER	3|_|_|_	0	root	68	68
5	,	,	$	$,	_	0	root	_	_
6	da	da	K	KOUS	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	Onkel	Onkel	N	NN	Masc|_|Sg	0	root	_	_
9	Musikdirektor	Musikdirektor	N	NN	Masc|_|Sg	8	app	_	_
10	!	!	$	$.	_	0	root	_	_

1	Na	Na	I	ITJ	_	0	root	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	kommen	kommen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Se	Se	N	NE	_|Nom|Pl	3	subj	69	69
5	hoch	hoch	A	ADJD	Pos|	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	Sie	sie	P	PPER	_|_|_	0	root	_	_
8	Lisztling	Lisztling	N	NN	_	7	app	_	_
9	!	!	$	$.	_	0	root	_	_

1	Na	Na	I	ITJ	_	0	root	_	_
2	endlich	endlich	A	ADJD	Pos|	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Is	Is	N	NE	Fem|Nom|Sg	4	subj	70	70
2	Grete	Grete	N	NE	Fem|Nom|Sg	1	app	70	70
3	schon	schon	A	ADV	_	4	adv	_	_
4	besetzt	besetzen	V	VVPP	_	0	root	_	_
5	?	?	$	$.	_	0	root	_	_

1	Nee	nee	A	ADV	_	0	root	_	_
2	?	?	$	$.	_	0	root	_	_

1	Na	Na	I	ITJ	_	0	root	_	_
2	dann	dann	A	ADV	_	3	adv	_	_
3	sagen	sagen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	72	72
5	ihr	ihr	P	PPER	3|Sg|Fem|Dat	3	objd	70	70
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	14	konj	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	74	74
9	'	'	$	$(	_	0	root	_	_
10	nen	nen	A	ADJA	_|Masc|_|_|_	11	attr	71	71
11	Amerikaner	Amerikaner	N	NN	Masc|_|_	14	obja	71	71
12	bei	bei	P	APPR	Dat	14	pp	_	_
13	mir	ich	P	PPER	1|Sg|_|Dat	12	pn	_	_
14	habe	haben	V	VAFIN	1|Sg|Pres|_	3	objc	_	_
15	,	,	$	$,	_	0	root	_	_
16	der	die	A	ART	Def|_|_|_	0	root	_	_
17	eigens	eigens	A	ADV	_	19	adv	_	_
18	herübergegondelt	herübergegondelt	A	ADJD	_	19	pred	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	um	um	K	KOUI	_	28	konj	_	_
22	sich	sie	P	PRF	3|_|Dat	28	objd	_	_
23	von	von	P	APPR	_	28	objp	_	_
24	ihren	ihre	A	PPOSAT	Masc|_|_	25	det	70	70
25	Knochen	Knochen	N	NN	Masc|_|_	23	pn	_	_
26	aufspießen	aufspießen	N	NE	Masc|_|_	25	app	_	_
27	zu	zu	P	PTKZU	_	28	part	_	_
28	lassen	lassen	V	VVINF	_	19	neb	_	_
29	.	.	$	$.	_	0	root	_	_

1	Nee	nee	A	ADV	_	2	adv	_	_
2	doch	doch	A	ADV	_	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Scherz	Scherz	N	NN	Masc|_|Sg	0	root	_	_
2	ohne	ohne	P	APPR	Acc	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	71	71
2	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	in	in	P	APPR	_	2	pp	_	_
4	'	'	$	$(	_	0	root	_	_
5	s	s	P	PPER	_|_|_|_	3	pn	72	72
6	Hinterzimmer	Hinterzimmer	N	NN	Neut|_|_	2	obja	_	_
7	komm	komm	N	NE	Neut|_|_	6	app	_	_
8	'	'	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	aber	aber	K	KON	_	7	kon	_	_
11	fix	fix	F	FM	Neut|_|_	10	cj	_	_
12	ä	ä	F	FM	Neut|_|_	11	app	_	_
13	bisl	bisl	F	FM	Neut|_|_	12	app	_	_
14	!	!	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	3	det	73	73
2	drei	drei	C	CARD	_	3	attr	73	73
3	Couleurbrüder	Couleurbruder	N	NN	Masc|Nom|Pl	4	subj	73	73
4	bezahlten	bezahlen	V	VVFIN	3|Pl|Past|_	0	root	_	_
5	und	und	K	KON	_	4	kon	_	_
6	gingen	gehen	V	VVFIN	_|Pl|Past|_	5	cj	_	_
7	in	in	P	APPR	_	6	pp	_	_
8	'	'	$	$(	_	0	root	_	_
9	s	s	P	PPER	_|_|_|_	7	pn	73	73
10	Hinterzimmer	Hinterzimmer	N	NN	Neut|Dat|Sg	6	objd	_	_
11	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	nannte	nennen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	ein	eine	A	ART	Indef|_|Nom|Sg	5	det	74	74
5	Teil	Teil	N	NN	Masc|Nom|Sg	2	subj	74	74
6	der	die	A	ART	Def|Fem|Gen|Sg	7	det	74	74
7	Gaststube	Gaststube	N	NN	Fem|Gen|Sg	5	gmod	74	74
8	,	,	$	$,	_	0	root	74	74
9	der	die	P	PRELS	Masc|Nom|Sg	18	subj	74	74
10	von	von	P	APPR	Dat	17	pp	_	_
11	dem	die	A	ART	Def|Masc|Dat|Sg	13	det	_	_
12	übrigen	übrig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	13	attr	_	_
13	Raume	Raum	N	NN	Masc|Dat|Sg	10	pn	_	_
14	durch	durch	P	APPR	Acc	17	pp	_	_
15	eine	eine	A	ART	Indef|Fem|Acc|Sg	16	det	_	_
16	Rollwand	Rollwand	N	NN	Fem|Acc|Sg	14	pn	_	_
17	geschieden	scheiden	V	VVPP	_	18	aux	_	_
18	war	sein	V	VAFIN	3|Sg|Past|Ind	5	rel	_	_
19	.	.	$	$.	_	0	root	_	_

1	Stilpe	Stilpe	N	NE	_|Nom|Sg	2	subj	37	37
2	entwickelte	entwickeln	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sofort	sofort	A	ADV	_	2	adv	_	_
4	eine	eine	A	ART	Indef|Fem|_|Sg	8	det	_	_
5	fachkundige	fachkundig	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	_	_
6	und	und	K	KON	_	5	kon	_	_
7	energische	energisch	A	ADJA	Pos|_|_|_|_|	6	cj	_	_
8	Thätigkeit	Thätigkeit	N	NN	Fem|_|Sg	2	obja	_	_
9	in	in	P	APPR	Dat	2	pp	_	_
10	kritischer	kritisch	A	ADJA	Pos|Fem|Dat|Sg|St|	11	attr	_	_
11	Weinkartenprüfung	Weinkartenprüfung	N	NN	Fem|Dat|Sg	9	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	nachdem	nachdem	K	KOUS	_	16	konj	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	16	subj	37	37
15	gefragt	fragen	V	VVPP	_	16	aux	_	_
16	hatte	haben	V	VAFIN	3|Sg|Past|Ind	2	neb	_	_
17	:	\:	$	$.	_	0	root	_	_
18	»	»	$	$(	_	0	root	_	_
19	Wie	Wie	P	PWAV	_	20	adv	_	_
20	stehen	stehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
21	die	die	A	ART	Def|Masc|Nom|Pl	22	det	91	91
22	Amerikaner	Amerikaner	N	NN	Masc|Nom|Pl	20	subj	91	91
23	?	?	$	$.	_	0	root	_	_

1	Gut	gut	A	ADJD	Pos|	0	root	_	_
2	?	?	$	$.	_	0	root	_	_

1	Also	also	A	ADV	_	2	adv	_	_
2	all	all	A	PIDAT	_	3	det	_	_
3	right	right	F	FM	_	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	Orgie	Orgie	N	NN	Fem|Nom|Sg	2	subj	_	_
2	nimm	nimm	V	VVFIN	_|Sg|_|_	0	root	_	_
3	deinen	deine	A	PPOSAT	Masc|_|Sg	4	det	_	_
4	Lauf	Lauf	N	NN	Masc|_|Sg	2	obja	_	_
5	!	!	$	$.	_	0	root	_	_

1	Schorsch	Schorsch	N	NE	_	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Schleppen	schleppen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	75	75
5	die	die	A	ART	Def|_|_|_	6	det	_	_
6	Mousseuxkübel	Mousseuxkübel	N	NN	_|_|_	3	obja	_	_
7	heran	heran	P	PTKVZ	_	3	avz	_	_
8	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	_	_
2	Witwe	Witwe	N	NN	Fem|Nom|Sg	5	subj	_	_
3	aus	aus	P	APPR	Dat	2	pp	_	_
4	Frankreich	Frankreich	N	NE	Neut|Dat|Sg	3	pn	_	_
5	werde	werden	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
6	aktiv	aktiv	A	ADJD	Pos|	5	pred	_	_
7	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	75	75
2	verstehen	verstehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	76	76
4	,	,	$	$,	_	0	root	_	_
5	Schorsch	Schorsch	N	NE	_|Acc|Sg	3	app	_	_
6	?	?	$	$.	_	0	root	_	_

1	Mein	meine	A	PPOSAT	Masc|Nom|Sg	2	det	76	76
2	Gott	Gott	N	NN	Masc|Nom|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
5	die	die	A	ART	Def|Fem|Nom|Sg	7	det	_	_
6	heutige	heutig	A	ADJA	Pos|Fem|Nom|Sg|_|	7	attr	_	_
7	Kellnerjugend	Kellnerjugend	N	NN	Fem|Nom|Sg	9	subj	_	_
8	ungebildet	ungebildet	A	ADJD	Pos|	9	pred	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
10	!	!	$	$.	_	0	root	_	_

1	Cli	Cli	N	NE	_	0	root	77	77
2	!	!	$	$.	_	0	root	_	_
3	?	?	$	$.	_	0	root	_	_

1	He	He	N	NE	_	0	root	119	119
2	?	?	$	$.	_	0	root	_	_

1	Na	Na	I	ITJ	_	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Cli	Cli	N	NE	_	0	root	77	77
4	!	!	$	$.	_	0	root	_	_
5	!	!	$	$.	_	0	root	_	_
6	?	?	$	$.	_	0	root	_	_

