1	Gurr	Gurr	N	NE	_	0	root	741	741
14	zum	zu	P	APPRART	Dat	13	pp	742	742
15	Verkauf	Verkauf	N	NN	Masc|Dat|Sg	14	pn	742	742
16	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	14	konj	_	_
2	du	du	P	PPER	2|Sg|_|Nom	14	subj	743	743
3	,	,	$	$,	_	0	root	_	_
4	wie	wie	P	PWAV	_	6	adv	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	322	322
6	hoffe	hoffen	V	VVFIN	1|Sg|Pres|_	13	objc	_	_
7	,	,	$	$,	_	0	root	_	_
8	hier	hier	A	ADV	_	13	adv	_	_
9	recht	recht	A	ADJD	Pos|	10	adv	_	_
10	fleißig	fleißig	A	ADJD	Pos|	13	pred	_	_
11	und	und	K	KON	_	10	kon	_	_
12	folgsam	folgsam	A	ADJD	Pos|	11	cj	_	_
13	sein	sein	V	VAINF	_	14	aux	_	_
14	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	16	neb	_	_
15	,	,	$	$,	_	0	root	_	_
16	sticke	sticken	V	VVFIN	1|Sg|Pres|_	0	root	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	322	322
18	dir	du	P	PPER	2|Sg|_|Dat	16	objd	743	743
19	eine	eine	A	ART	Indef|Fem|_|Sg	21	det	_	_
20	goldene	golden	A	ADJA	Pos|Fem|_|Sg|_|	21	attr	_	_
21	Kasperlemütze	Kasperlemütze	N	NN	Fem|_|Sg	16	obja	_	_
22	und	und	K	KON	_	21	kon	_	_
23	eine	eine	A	ART	Indef|Fem|_|Sg	25	det	_	_
24	silberne	silbern	A	ADJA	Pos|Fem|_|Sg|_|	25	attr	_	_
25	Schultasche	Schultasche	N	NN	Fem|_|Sg	22	cj	_	_
26	.	.	$	$.	_	0	root	_	_
27	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Schultasche	Schultasche	N	NN	Fem|_|Sg	0	root	_	_
3	?	?	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	wiederholte	wiederholen	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	argwöhnisch	argwöhnisch	A	ADJD	Pos|	5	adv	_	_
7	Zäpfel	Zäpfel	A	ADJA	_|Masc|Nom|Sg|_	8	attr	124	124
8	Kern	Kern	N	NN	Masc|Nom|Sg	5	subj	124	124
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	743	743
3	gehst	gehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
4	doch	doch	A	ADV	_	3	adv	_	_
5	natürlich	natürlich	A	ADJD	Pos|	3	adv	_	_
6	gleich	gleich	A	ADJD	Pos|	3	adv	_	_
7	morgen	morgen	A	ADV	_	3	adv	_	_
8	in	in	P	APPR	Acc	3	objp	_	_
9	die	die	A	ART	Def|Fem|Acc|Sg	10	det	353	353
10	Schule	Schule	N	NN	Fem|Acc|Sg	8	pn	353	353
11	!	!	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_
13	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	Frau	Frau	N	NN	Fem|Nom|Sg	13	subj	322	322
15	Dschemma	Dschemma	N	NE	Fem|Nom|Sg	14	app	322	322
16	,	,	$	$,	_	0	root	_	_
17	als	als	K	KOKOM	_	18	konj	_	_
18	wäre	sein	V	VAFIN	3|Sg|Past|Subj	13	neb	_	_
19	das	die	P	PDS	Neut|Nom|Sg	18	subj	_	_
20	etwas	etwas	A	ADV	_	21	adv	_	_
21	ganz	ganz	A	ADV	_	22	adv	_	_
22	Selbstverständliches	Selbstverständliches	N	NN	Neut|Nom|Sg	18	pred	_	_
23	.	.	$	$.	_	0	root	_	_

1	Zäpfel	Zäpfel	N	NE	Masc|Nom|Sg	4	subj	124	124
2	Kern	Kern	N	NN	Masc|Nom|Sg	1	app	124	124
3	aber	aber	A	ADV	_	2	adv	_	_
4	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	allerlei	allerlei	A	PIAT	Neut|_|_	6	det	_	_
6	Bedenken	Bedenken	N	NN	Neut|_|_	4	obja	_	_
7	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	746	746
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
4	doch	doch	A	ADV	_	3	adv	_	_
5	jetzt	jetzt	A	ADV	_	3	adv	_	_
6	eigentlich	eigentlich	A	ADV	_	3	adv	_	_
7	zu	zu	P	PTKA	_	8	adv	_	_
8	alt	alt	A	ADJD	Pos|	3	pred	_	_
9	dazu	dazu	P	PROAV	_	3	pp	_	_
10	«	«	$	$(	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	meinte	meinen	V	VVFIN	3|Sg|Past|_	9	par	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	4	4
14	,	,	$	$,	_	0	root	_	_
15	»	»	$	$(	_	0	root	_	_
16	zu	zu	P	PTKZU	_	17	part	_	_
17	erfahren	erfahren	V	VVINF	_	3	obji	_	_
18	,	,	$	$,	_	0	root	_	_
19	zu	zu	P	PTKA	_	20	adv	_	_
20	weit	weit	A	ADJD	Pos|	21	adv	_	_
21	gereist	reisen	V	VVPP	_	17	neb	_	_
22	.	.	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	kannst	können	V	VMFIN	2|Sg|Pres|Ind	2	cj	_	_
4	trotzdem	trotzdem	P	PROAV	_	8	pp	_	_
5	noch	noch	A	ADV	_	6	adv	_	_
6	nicht	nicht	P	PTKNEG	_	8	adv	_	_
7	einmal	einmal	A	ADV	_	8	adv	_	_
8	lesen	lesen	V	VVINF	_	3	aux	_	_
9	und	und	K	KON	_	8	kon	_	_
10	schreiben	schreiben	V	VVINF	_	9	cj	_	_
11	!	!	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_
13	entgegnete	entgegnet	A	ADJA	Pos|Fem|_|Sg|_|	14	attr	322	322
14	Frau	Frau	N	NN	Fem|_|Sg	0	root	322	322
15	Dschemma	Dschemma	N	NE	Fem|_|Sg	14	app	322	322
16	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Erinnere	Erinnere	V	VVIMP	_	0	root	_	_
3	dich	du	P	PPER	2|Sg|_|Acc	2	obja	744	744
4	an	an	P	APPR	Acc	2	pp	_	_
5	das	die	P	PDS	Neut|Acc|Sg	4	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
8	du	du	P	PPER	2|Sg|_|Nom	12	subj	744	744
9	vor	vor	P	APPR	Dat	12	pp	_	_
10	dem	die	A	ART	Def|Masc|Dat|Sg	11	det	745	745
11	Wegweiser	Wegweise	N	NN	Masc|Dat|Sg	9	pn	745	745
12	dachtest	denken	V	VVFIN	2|Sg|Past|Ind	0	root	_	_
13	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	überdies	überdies	A	ADV	_	2	cj	_	_
4	:	\:	$	$.	_	0	root	_	_
5	Bin	Bin	N	NN	Fem|_|Sg	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	0	root	746	746
7	jetzt	jetzt	A	ADV	_	8	adv	_	_
8	nicht	nicht	P	PTKNEG	_	10	adv	_	_
9	dein	deine	A	PPOSAT	Neut|_|Sg	10	det	744	744
10	Mütterchen	Mütterchen	N	NN	Neut|_|Sg	0	root	_	_
11	?	?	$	$.	_	0	root	_	_

1	Hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	744	744
3	nicht	nicht	P	PTKNEG	_	7	adv	_	_
4	Mama	Mama	N	NN	Fem|_|Sg	7	obja	730	730
5	zu	zu	P	APPR	Dat	7	pp	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	pn	746	746
7	gesagt	sagen	V	VVPP	_	1	aux	_	_
8	?	?	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	1	cj	_	_
3	ein	eine	A	ART	Indef|Neut|Nom|Sg	5	det	747	747
4	gutes	gut	A	ADJA	Pos|Neut|Nom|Sg|St|	5	attr	747	747
5	Kind	Kind	N	NN	Neut|Nom|Sg	2	subj	747	747
6	nicht	nicht	P	PTKNEG	_	9	adv	_	_
7	seiner	seine	A	PPOSAT	Fem|Dat|Sg	8	det	747	747
8	Mama	Mama	N	NN	Fem|Dat|Sg	9	objd	_	_
9	folgen	folgen	V	VVINF	_	2	aux	_	_
10	?	?	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	Zäpfel	Zäpfel	N	NE	Masc|Nom|Sg	2	subj	124	124
4	Kern	Kern	N	NN	Masc|Nom|Sg	3	app	124	124
5	alle	alle	A	PIDAT	Fem|_|Pl	8	det	_	_
6	seine	seine	A	PPOSAT	Fem|_|Pl	8	det	124	124
7	dummen	dumm	A	ADJA	Pos|Fem|_|Pl|Wk|	8	attr	_	_
8	Einwendungen	Einwendung	N	NN	Fem|_|Pl	2	obja	_	_
9	in	in	P	APPR	Acc	2	objp	_	_
10	den	die	A	ART	Def|Masc|Acc|Sg	11	det	748	748
11	Wind	Wind	N	NN	Masc|Acc|Sg	9	pn	748	748
12	,	,	$	$,	_	0	root	_	_
13	flog	fliegen	V	VVFIN	_|Sg|Past|Ind	2	kon	_	_
14	seinem	seine	A	PPOSAT	Neut|Dat|Sg	15	det	124	124
15	Mütterchen	Mütterchen	N	NN	Neut|Dat|Sg	13	objd	_	_
16	an	an	P	APPR	Acc	13	pp	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	18	det	110	110
18	Hals	Hals	N	NN	Masc|Acc|Sg	16	pn	110	110
19	und	und	K	KON	_	13	kon	_	_
20	rief	rufen	V	VVFIN	_|Sg|Past|Ind	19	cj	_	_
21	:	\:	$	$.	_	0	root	_	_
22	»	»	$	$(	_	0	root	_	_
23	Ja	ja	P	PTKANT	_	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	Mama	Mama	N	NN	Fem|_|Sg	0	root	730	730
26	,	,	$	$,	_	0	root	_	_
27	ja	ja	P	PTKANT	_	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	mein	meine	A	PPOSAT	Neut|_|Sg	35	det	746	746
30	gutes	gut	A	ADJA	Pos|Neut|_|Sg|St|	35	attr	_	_
31	,	,	$	$,	_	0	root	_	_
32	schönes	schön	A	ADJA	Pos|Neut|_|Sg|St|	30	kon	_	_
33	,	,	$	$,	_	0	root	_	_
34	liebes	lieb	A	ADJA	Pos|Neut|_|Sg|St|	32	kon	_	_
35	Mamachen	Mamachen	N	NN	Neut|_|Sg	0	root	_	_
36	!	!	$	$.	_	0	root	_	_

1	morgen	morgen	A	ADV	_	2	adv	_	_
2	geh	geh	V	VVFIN	1|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	746	746
5	in	in	P	APPR	Acc	2	pp	_	_
6	die	die	A	ART	Def|Fem|Acc|Sg	7	det	353	353
7	Schule	Schule	N	NN	Fem|Acc|Sg	5	pn	353	353
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	4	4
3	ging	gehen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	zur	zu	P	APPRART	Dat	3	objp	_	_
5	Schule	Schule	N	NN	Fem|Dat|Sg	4	pn	183	183
6	,	,	$	$,	_	0	root	_	_
7	aber	aber	K	KON	_	3	kon	_	_
8	die	die	A	ART	Def|Masc|Nom|Pl	10	det	237	237
9	guten	gut	A	ADJA	Pos|Masc|Nom|Pl|Wk|	10	attr	237	237
10	Vorsätze	Vorsatz	N	NN	Masc|Nom|Pl	11	subj	237	237
11	hielten	halten	V	VVFIN	3|Pl|Past|_	7	cj	_	_
12	nicht	nicht	P	PTKNEG	_	11	adv	_	_
13	lange	lange	A	ADJD	_	11	adv	_	_
14	stand	stehen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
15	:	\:	$	$.	_	0	root	_	_
16	Spinnifax	Spinnifax	N	NE	Masc|Nom|Sg	21	subj	802	802
17	,	,	$	$,	_	0	root	802	802
18	ein	eine	A	ART	Indef|Masc|Nom|Sg	19	det	802	802
19	Mitschüler	Mitschüler	N	NN	Masc|Nom|Sg	16	app	802	802
20	,	,	$	$,	_	0	root	_	_
21	erzählte	erzählen	V	VVFIN	3|Sg|Past|_	0	root	_	_
22	ihm	er	P	PPER	3|Sg|_|Dat	21	objd	4	4
23	von	von	P	APPR	Dat	21	pp	_	_
24	dem	die	A	ART	Def|_|Dat|Sg	25	det	749	749
25	Verein	Verein	N	NN	_|Dat|Sg	23	pn	749	749
26	›	›	F	FM	_|Dat|Sg	25	app	749	749
27	Auskneifia	Auskneifia	F	FM	_|Dat|Sg	26	app	749	749
28	‹	‹	F	FM	_|Dat|Sg	27	app	749	749
29	und	und	K	KON	_	28	kon	_	_
30	dem	die	A	ART	Def|_|Dat|Sg	31	det	_	_
31	›	›	F	FM	_|Dat|Sg	29	cj	_	_
32	Spielimmerland	Spielimmerland	F	FM	_|Dat|Sg	31	app	_	_
33	‹	‹	F	FM	Neut|Dat|Sg	32	app	_	_
34	,	,	$	$,	_	0	root	_	_
35	in	in	P	APPR	Acc	44	objp	_	_
36	das	die	P	PRELS	Neut|Acc|Sg	35	pn	749	749
37	man	man	P	PIS	_|Nom|Sg	45	subj	_	_
38	mit	mit	P	APPR	Dat	37	pp	_	_
39	Hilfe	Hilfe	N	NN	Fem|Dat|Sg	38	pn	_	_
40	des	die	A	ART	Def|_|Gen|Sg	42	det	_	_
41	freundlichen	freundlich	A	ADJA	Pos|Masc|Gen|Pl|Wk|	42	attr	_	_
42	Doktors	Doktor	N	NN	Masc|Gen|Pl	39	gmod	_	_
43	Schlaumeier	Schlaumeier	N	NN	Masc|Gen|Pl	42	app	_	_
44	gelangen	gelangen	V	VVINF	_	45	aux	_	_
45	konnte	können	V	VMFIN	3|Sg|Past|Ind	33	rel	_	_
46	,	,	$	$,	_	0	root	_	_
47	Die	die	A	ART	Def|Neut|Nom|Pl	49	det	750	750
48	beiden	beide	A	PIDAT	Neut|Nom|Pl	49	attr	750	750
49	Bürschchen	Bürschchen	N	NN	Neut|Nom|Pl	50	subj	750	750
50	verabredeten	verabreden	V	VVFIN	3|Pl|Past|_	21	s	_	_
51	sich	sie	P	PRF	3|_|_	50	obja	_	_
52	und	und	K	KON	_	50	kon	_	_
53	eilten	eilen	V	VVFIN	_|Pl|Past|_	52	cj	_	_
54	heimlich	heimlich	A	ADJD	Pos|	53	adv	_	_
55	zu	zu	P	APPR	Dat	53	objp	_	_
56	dem	die	A	ART	Def|Masc|Dat|Sg	57	det	_	_
57	Treffpunkt	Treffpunkt	N	NN	Masc|Dat|Sg	55	pn	_	_
58	,	,	$	$,	_	0	root	_	_
59	wo	wo	P	PWAV	_	69	adv	_	_
60	sie	sie	P	PPER	3|Pl|_|Nom	70	subj	750	750
61	auch	auch	A	ADV	_	69	adv	_	_
62	bald	bald	A	ADV	_	69	adv	_	_
63	mit	mit	P	APPR	Dat	69	pp	_	_
64	einer	eine	A	ART	Indef|Fem|Dat|Sg	68	det	_	_
65	von	von	P	APPR	Dat	67	pp	_	_
66	Eseln	Esel	N	NN	Masc|Dat|Pl	65	pn	844	844
67	gezogenen	gezogen	A	ADJA	Pos|Fem|Dat|Sg|Wk|	68	attr	_	_
68	Kutsche	Kutsche	N	NN	Fem|Dat|Sg	63	pn	_	_
69	abgeholt	abholen	V	VVPP	_	70	aux	_	_
70	wurden	werden	V	VAFIN	3|Pl|Past|Ind	57	rel	_	_
71	.	.	$	$.	_	0	root	_	_

1	Unterwegs	unterwegs	A	ADV	_	2	adv	_	_
2	erklärte	erklären	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	Doktor	Doktor	N	NN	Masc|Nom|Sg	2	subj	_	_
4	Schlaumeier	Schlaumeier	N	NN	Masc|Nom|_	3	app	_	_
5	dem	die	A	ART	Def|_|Dat|Sg	6	det	231	231
6	Kasperle	Kasperle	N	NN	_|Dat|Sg	2	objd	231	231
7	die	die	A	ART	Def|Fem|_|Sg	8	det	751	751
8	Gegend	Gegend	N	NN	Fem|_|Sg	2	obja	751	751
9	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sieh	sehen	V	VVIMP	Sg	0	root	_	_
3	dich	du	P	PPER	2|Sg|_|Acc	2	obja	_	_
4	um	um	P	PTKVZ	_	2	avz	_	_
5	!	!	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|Nom|Sg	8	subj	_	_
2	da	da	A	ADV	_	8	adv	_	_
3	im	in	P	APPRART	Dat	8	pp	_	_
4	Mondschein	Mondschein	N	NN	Masc|Dat|Sg	3	pn	_	_
5	rechts	rechts	A	ADV	_	3	adv	_	_
6	und	und	K	KON	_	5	kon	_	_
7	links	links	A	ADV	_	6	cj	_	_
8	glänzt	glänzen	V	VVFIN	3|Sg|Pres|Ind	10	objc	_	_
9	,	,	$	$,	_	0	root	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	das	die	A	ART	Def|Neut|Nom|Sg	12	det	647	647
12	Meer	Meer	N	NN	Neut|Nom|Sg	10	subj	647	647
13	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	_	_
2	sind	sein	V	VAFIN	1|Pl|Pres|Ind	0	root	_	_
3	auf	auf	P	APPR	Dat	2	pp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	6	det	752	752
5	großen	groß	A	ADJA	Pos|Fem|Dat|Sg|Wk|	6	attr	752	752
6	Brücke	Brücke	N	NN	Fem|Dat|Sg	3	pn	752	752
7	,	,	$	$,	_	0	root	752	752
8	die	die	P	PRELS	Fem|Nom|Sg	18	subj	752	752
9	von	von	P	APPR	_	18	pp	_	_
10	der	die	A	ART	Def|Fem|_|Sg	11	det	662	662
11	Insel	Insel	N	NN	Fem|_|Sg	9	pn	662	662
12	Goldboden	Goldboden	N	NN	Masc|_|Sg	18	obja	754	754
13	nach	nach	P	APPR	Dat	18	pp	_	_
14	dem	die	A	ART	Def|Neut|Dat|Sg	15	det	_	_
15	Land	Land	N	NN	Neut|Dat|Sg	13	pn	_	_
16	der	die	A	ART	Def|_|Gen|_	17	det	767	767
17	Wanstphalen	Wanstphalen	N	NN	_|Gen|_	15	gmod	767	767
18	führt	führen	V	VVFIN	3|Sg|Pres|Ind	6	rel	_	_
19	.	.	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ach	ach	I	ITJ	_	0	root	_	_
3	ja	ja	A	ADV	_	0	root	_	_
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	Zäpfel	Zäpfel	N	NE	_|Nom|Sg	6	subj	97	97
8	Kern	Kern	N	NN	Masc|_|Sg	6	obja	121	121
9	,	,	$	$,	_	0	root	_	_
10	froh	froh	A	ADJD	Pos|	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	seine	seine	A	PPOSAT	Fem|_|Sg	13	det	97	97
13	Weisheit	Weisheit	N	NN	Fem|_|Sg	15	obja	776	776
14	zu	zu	P	PTKZU	_	15	part	_	_
15	zeigen	zeigen	V	VVINF	_	10	obji	_	_
16	,	,	$	$,	_	0	root	_	_
17	»	»	$	$(	_	0	root	_	_
18	mit	mit	P	APPR	Dat	0	root	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	20	det	_	_
20	Hauptstadt	Hauptstadt	N	NN	Fem|Dat|Sg	18	pn	_	_
21	Münster	Münster	N	NE	_|Dat|Sg	20	app	_	_
22	!	!	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nicht	nicht	P	PTKNEG	_	0	root	_	_
3	doch	doch	A	ADV	_	2	adv	_	_
4	!	!	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	2	adv	_	_
2	Westfalen	Westfale	N	NN	Masc|_|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	sondern	sondern	K	KON	_	2	kon	_	_
5	Wanstphalen	Wanstphalen	N	NE	Masc|_|_	4	cj	756	756
6	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	4	det	_	_
4	Land	Land	N	NN	Neut|_|Sg	14	obja	_	_
5	der	die	A	ART	Def|Masc|Gen|Pl	6	det	753	753
6	Dickwänste	Dickwanst	N	NN	Masc|Gen|Pl	4	gmod	753	753
7	,	,	$	$,	_	0	root	753	753
8	die	die	P	PRELS	Masc|Nom|Pl	10	subj	753	753
9	nichts	nichts	P	PIS	_	10	obja	_	_
10	tun	tun	V	VVFIN	3|Pl|Pres|Ind	6	rel	_	_
11	,	,	$	$,	_	0	root	_	_
12	als	als	K	KOKOM	_	14	kom	_	_
13	Knödel	Knödel	N	NN	Masc|_|_	12	cj	_	_
14	essen	essen	V	VVINF	_	0	root	_	_
15	und	und	K	KON	_	14	kon	_	_
16	dickes	dick	A	ADJA	Pos|Neut|_|Sg|St|	18	attr	_	_
17	braunes	braun	A	ADJA	Pos|Neut|_|Sg|St|	18	attr	_	_
18	Bier	Bier	N	NN	Neut|_|Sg	19	obja	_	_
19	trinken	trinken	V	VVINF	_	15	cj	_	_
20	.	.	$	$.	_	0	root	_	_

1	Glückliche	glücklich	A	ADJA	Pos|_|_|Pl|St|	2	attr	_	_
2	Leute	Leute	N	NN	_|_|Pl	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
