1	Nein	nein	PTKANT	PTKANT	_	0	root	_	-
11	Auszubildende	Auszubildende	N	NN	Masc|Nom|Sg	9	subj	_	0)
12	im	in	PREP	APPRART	Dat	9	pp	_	-
13	Betrieb	Betrieb	N	NN	Masc|Dat|Sg	12	pn	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Den	die	ART	ART	Def|Masc|Acc|Sg	3	det	_	-
2	zweiten	zweit	ADJA	ADJA	_|Masc|Acc|Sg|_|	3	attr	_	-
3	Teil	Teil	N	NN	Masc|Acc|Sg	0	root	_	-
4	,	,	$,	$,	_	0	root	_	-
5	die	die	ART	ART	Def|Fem|_|Sg	6	det	_	-
6	Theorie	Theorie	N	NN	Fem|_|Sg	7	obja	_	-
7	lernt	lernen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
8	er	er	PRO	PPER	3|Sg|Masc|Nom	7	subj	_	(0)
9	in	in	PREP	APPR	Dat	7	pp	_	-
10	der	die	ART	ART	Def|Fem|Dat|Sg	11	det	_	-
11	Berufsschule	Berufsschule	N	NN	Fem|Dat|Sg	9	pn	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Jeder	jede	ART	PIDAT	Masc|Nom|Sg	2	det	_	-
2	Auszubildende	Auszubildende	N	NN	Masc|Nom|Sg	8	subj	_	-
3	,	,	$,	$,	_	0	root	_	-
4	also	also	ADV	ADV	_	6	adv	_	-
5	jeder	jede	ART	PIDAT	Masc|Nom|Sg	6	det	_	-
6	Lehrling	Lehrling	N	NN	Masc|Nom|Sg	2	app	_	-
7	,	,	$,	$,	_	0	root	_	-
8	muss	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
9	zur	zu	PREP	APPRART	Dat	11	objp	_	-
10	Berufsschule	Berufsschule	N	NN	Fem|Dat|Sg	9	pn	_	-
11	gehen	gehen	V	VVINF	_	8	aux	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Acht	acht	CARD	CARD	_	4	attr	_	(1
2	bis	bis	PREP	APPR	Acc	1	pp	_	-
3	zwölf	zwölf	CARD	CARD	_	2	pn	_	-
4	Stunden	Stunde	N	NN	Masc|_|Sg	6	zeit	_	-
5	Unterricht	Unterricht	N	NN	Masc|_|Sg	4	app	_	1)
6	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	-
7	das	die	PRO	PDS	Neut|Nom|Sg	6	subj	_	-
8	in	in	PREP	APPR	Dat	6	pp	_	-
9	jeder	jede	ART	PIDAT	Fem|Dat|Sg	10	det	_	-
10	Woche	Woche	N	NN	Fem|Dat|Sg	8	pn	_	-
11	,	,	$,	$,	_	0	root	_	-
12	meist	meist	ADV	ADV	_	13	adv	_	-
13	an	an	PREP	APPR	Dat	6	pp	_	-
14	ein	eins	CARD	CARD	_	17	attr	_	-
15	oder	oder	KON	KON	_	14	kon	_	-
16	zwei	zwei	CARD	CARD	_	15	cj	_	-
17	Tagen	Tag	N	NN	Masc|Dat|Pl	13	pn	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Manchmal	manchmal	ADV	ADV	_	2	adv	_	-
2	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
4	den	die	ART	ART	Def|Masc|Acc|Sg	5	det	_	(1
5	Unterricht	Unterricht	N	NN	Masc|Acc|Sg	2	obja	_	1)
6	auch	auch	ADV	ADV	_	2	adv	_	-
7	komplett	komplett	ADV	ADJD	Pos|	2	adv	_	-
8	in	in	PREP	APPR	_	2	pp	_	-
9	dreizehn	dreizehn	CARD	CARD	_	10	attr	_	-
10	Wochen	Woche	N	NN	Fem|_|Pl	8	pn	_	-
11	an	an	PREP	APPR	Dat	2	pp	_	-
12	jedem	jede	ART	PIAT	_|Dat|Sg	13	det	_	-
13	Tag	Tag	N	NN	_|Dat|Sg	11	pn	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|_|Sg	2	obja	_	-
2	nennt	nennen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	man	man	PRO	PIS	_|Nom|Sg	2	subj	_	-
4	dann	dann	ADV	ADV	_	2	adv	_	-
5	Blockunterricht	Blockunterricht	N	NN	Masc|Nom|Sg	2	pred	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|_|Nom|Pl	2	det	_	(2
2	Fächer	Fach	N	NN	_|Nom|Pl	3	subj	_	2)
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
4	Deutsch	Deutsch	N	NN	Neut|Nom|Sg	3	pred	_	-
5	,	,	$,	$,	_	0	root	_	-
6	Mathematik	Mathematik	N	NN	Fem|Nom|Sg	4	kon	_	-
7	,	,	$,	$,	_	0	root	_	-
8	Wirtschaftslehre	Wirtschaftslehre	N	NN	Fem|Nom|Sg	6	kon	_	-
9	,	,	$,	$,	_	0	root	_	-
10	Politik	Politik	N	NN	Fem|Nom|Sg	8	kon	_	-
11	,	,	$,	$,	_	0	root	_	-
12	Sport	Sport	N	NN	Masc|Nom|Sg	10	kon	_	-
13	und	und	KON	KON	_	12	kon	_	-
14	Religion	Religion	N	NN	Fem|Nom|Sg	13	cj	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Dazu	Dazu	PROAV	PROAV	_	2	objp	_	-
2	kommen	kommen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	die	die	ART	ART	Def|_|Nom|Pl	4	det	_	(2
4	Fächer	Fach	N	NN	_|Nom|Pl	2	subj	_	2)
5	für	für	PREP	APPR	Acc	2	pp	_	-
6	den	die	ART	ART	Def|Masc|Acc|Sg	7	det	_	-
7	Beruf	Beruf	N	NN	Masc|Acc|Sg	5	pn	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Pl|_|Nom	2	subj	_	(2)
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
3	für	für	PREP	APPR	Acc	2	pp	_	-
4	jeden	jede	ART	PIDAT	Masc|Acc|Sg	5	det	_	-
5	Beruf	Beruf	N	NN	Masc|Acc|Sg	3	pn	_	-
6	anders	anders	ADV	ADV	_	2	pred	_	-
7	,	,	$,	$,	_	0	root	_	-
8	weil	weil	KOUS	KOUS	_	14	konj	_	-
9	die	die	ART	ART	Def|Fem|Nom|Sg	10	det	_	-
10	Köchin	Köchin	N	NN	Fem|Nom|Sg	14	subj	_	-
11	andere	andere	ADJA	ADJA	_|Fem|Nom|Pl|_	12	attr	_	-
12	Sachen	Sache	N	NN	Fem|Nom|Pl	10	app	_	-
13	wissen	wissen	V	VVINF	_	14	aux	_	-
14	muss	müssen	V	VMFIN	3|Sg|Pres|Ind	2	neb	_	-
15	als	als	KOKOM	KOKOM	_	13	kom	_	-
16	der	die	ART	ART	Def|Masc|_|_	17	det	_	-
17	Automechaniker	Automechaniker	N	NN	Masc|_|_	15	cj	_	-
18	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	Dat	4	pp	_	-
2	der	die	ART	ART	Def|Fem|Dat|Sg	3	det	_	-
3	Regel	Regel	N	NN	Fem|Dat|Sg	1	pn	_	-
4	dauert	dauern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
5	eine	eine	ART	ART	Indef|Fem|Nom|Sg	6	det	_	-
6	Ausbildung	Ausbildung	N	NN	Fem|Nom|Sg	4	subj	_	-
7	in	in	PREP	APPR	Acc	4	pp	_	-
8	Deutschland	Deutschland	N	NE	Neut|Acc|Sg	7	pn	_	(3
9	drei	drei	CARD	CARD	_	8	app	_	-
10	oder	oder	KON	KON	_	8	kon	_	-
11	dreieinhalb	dreieinhalb	CARD	CARD	_	12	attr	_	-
12	Jahre	Jahr	N	NN	Neut|Acc|Pl	10	cj	_	3)
13	.	.	$.	$.	_	0	root	_	-

1	Wenn	wenn	KOUS	KOUS	_	6	konj	_	-
2	jemand	jemand	PRO	PIS	_|Nom|Sg	6	subj	_	-
3	aber	aber	ADV	ADV	_	6	adv	_	-
4	besonders	besonders	ADV	ADV	_	5	adv	_	-
5	gut	gut	ADV	ADJD	Pos|	6	pred	_	-
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	8	neb	_	-
7	,	,	$,	$,	_	0	root	_	-
8	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
9	diese	diese	ART	PDAT	Fem|Nom|Sg	10	det	_	-
10	Zeit	Zeit	N	NN	Fem|Nom|Sg	8	subj	_	-
11	auch	auch	ADV	ADV	_	13	adv	_	-
12	kürzer	kurz	ADV	ADJD	Comp|	13	pred	_	-
13	sein	sein	V	VAINF	_	8	aux	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Natürlich	natürlich	ADV	ADJD	Pos|	2	adv	_	-
2	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
4	auch	auch	ADV	ADV	_	2	adv	_	-
5	Prüfungen	Prüfung	N	NN	Fem|_|Pl	2	obja	_	-
6	:	\:	$.	$.	_	0	root	_	-
7	Nach	nach	PREP	APPR	Dat	11	pp	_	-
8	etwa	etwa	ADV	ADV	_	10	adv	_	-
9	18	18	CARD	CARD	_	10	attr	_	-
10	Monaten	Monat	N	NN	Masc|Dat|Pl	7	pn	_	-
11	machen	machen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
12	die	die	ART	ART	Def|Masc|Nom|Pl	13	det	_	-
13	Lehrlinge	Lehrling	N	NN	Masc|Nom|Pl	11	subj	_	-
14	die	die	ART	ART	Def|Fem|_|Sg	15	det	_	-
15	Zwischenprüfung	Zwischenprüfung	N	NN	Fem|_|Sg	11	obja	_	-
16	und	und	KON	KON	_	15	kon	_	-
17	am	an	PREP	APPRART	Dat	20	pp	_	-
18	Ende	Ende	N	NN	Neut|Dat|Sg	17	pn	_	-
19	die	die	ART	ART	Def|Fem|_|Sg	20	det	_	-
20	Abschlussprüfung	Abschlussprüfung	N	NN	Fem|_|Sg	16	cj	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Wenn	wenn	KOUS	KOUS	_	6	konj	_	-
2	man	man	PRO	PIS	_|Nom|Sg	6	subj	_	-
3	ein	eine	ART	ART	Indef|Neut|_|Sg	4	det	_	-
4	Handwerk	Handwerk	N	NN	Neut|_|Sg	5	obja	_	-
5	gelernt	lernen	V	VVPP	_	6	aux	_	-
6	hat	haben	V	VAFIN	3|Sg|Pres|Ind	8	neb	_	-
7	,	,	$,	$,	_	0	root	_	-
8	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
9	diese	diese	ART	PDAT	Fem|Nom|Sg	10	det	_	-
10	Prüfung	Prüfung	N	NN	Fem|Nom|Sg	8	subj	_	-
11	Gesellenprüfung	Gesellenprüfung	N	NN	Fem|Nom|Sg	10	app	_	-
12	und	und	KON	KON	_	8	kon	_	-
13	der	die	ART	ART	Def|Masc|Nom|Sg	14	det	_	(4
14	Lehrling	Lehrling	N	NN	Masc|Nom|Sg	15	subj	_	4)
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	12	cj	_	-
16	jetzt	jetzt	ADV	ADV	_	15	adv	_	-
17	kein	keine	ART	PIAT	Masc|Nom|Sg	18	det	_	-
18	Lehrling	Lehrling	N	NN	Masc|Nom|Sg	15	pred	_	-
19	mehr	mehr	ADV	ADV	_	18	adv	_	-
20	,	,	$,	$,	_	0	root	_	-
21	er	er	PRO	PPER	3|Sg|Masc|Nom	22	subj	_	(4)
22	ist	sein	V	VAFIN	3|Sg|Pres|Ind	15	kon	_	-
23	Geselle	Geselle	N	NN	_|Nom|Sg	22	pred	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Auf	auf	PREP	APPR	Dat	5	pp	_	-
2	der	die	ART	ART	Def|Fem|Dat|Sg	4	det	_	(6
3	ganzen	ganz	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	4	attr	_	-
4	Welt	Welt	N	NN	Fem|Dat|Sg	1	pn	_	6)
5	bewundert	bewundern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
6	man	man	PRO	PIS	_|Nom|Sg	5	subj	_	-
7	das	die	ART	ART	Def|Neut|_|Sg	9	det	_	(5
8	duale	dual	ADJA	ADJA	Pos|Neut|_|Sg|Wk|	9	attr	_	-
9	Ausbildungssystem	Ausbildungssystem	N	NN	Neut|_|Sg	5	obja	_	5)
10	in	in	PREP	APPR	_	5	pp	_	-
11	Deutschland	Deutschland	N	NE	Neut|_|Sg	10	pn	_	(3)
12	,	,	$,	$,	_	0	root	_	-
13	weil	weil	KOUS	KOUS	_	22	konj	_	-
14	es	es	PRO	PPER	3|Sg|Neut|Nom	22	subj	_	-
15	die	die	ART	ART	Def|Masc|_|Pl	16	det	_	-
16	Menschen	Mensch	N	NN	Masc|_|Pl	22	obja	_	-
17	so	so	ADV	ADV	_	18	adv	_	-
18	gut	gut	ADV	ADJD	Pos|	22	adv	_	-
19	auf	auf	PREP	APPR	_	22	pp	_	-
20	ihren	ihre	ART	PPOSAT	Masc|_|Sg	21	det	_	(6)
21	Beruf	Beruf	N	NN	Masc|_|Sg	19	pn	_	-
22	vorbereitet	vorbereiten	V	VVFIN	3|Sg|Pres|Ind	5	neb	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	0	root	_	-
2	es	es	PRO	PPER	3|Sg|Neut|Nom	3	subj	_	-
3	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	-
4	auch	auch	ADV	ADV	_	3	adv	_	-
5	Probleme	Problem	N	NN	Neut|_|Pl	3	obja	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Viele	viele	ART	PIDAT	Fem|Nom|Pl	2	det	_	(7
2	Firmen	Firma	N	NN	Fem|Nom|Pl	3	subj	_	7)
3	sagen	sagen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
4	,	,	$,	$,	_	0	root	_	-
5	dass	dass	KOUS	KOUS	_	10	konj	_	-
6	sie	sie	PRO	PPER	3|Pl|_|Nom	10	subj	_	(7)
7	keine	keine	ART	PIAT	Masc|_|Pl	8	det	_	-
8	Lehrlinge	Lehrling	N	NN	Masc|_|Pl	9	obja	_	-
9	ausbilden	ausbilden	V	VVINF	_	10	aux	_	-
10	können	können	V	VMFIN	3|Pl|Pres|_	3	objc	_	-
11	,	,	$,	$,	_	0	root	_	-
12	weil	weil	KOUS	KOUS	_	19	konj	_	-
13	sie	sie	PRO	PPER	3|Pl|_|Nom	19	subj	_	(7)
14	nur	nur	ADV	ADV	_	19	adv	_	-
15	noch	noch	ADV	ADV	_	17	adv	_	-
16	sehr	sehr	ADV	ADV	_	17	adv	_	-
17	spezielle	speziell	ADJA	ADJA	Pos|_|_|_|_|	18	attr	_	-
18	Arbeiten	Arbeit	N	NN	_|_|_	19	obja	_	-
19	machen	machen	V	VVFIN	3|Pl|Pres|_	10	neb	_	-
20	und	und	KON	KON	_	19	kon	_	-
21	der	die	ART	ART	Def|Masc|Nom|Sg	22	det	_	(4
22	Lehrling	Lehrling	N	NN	Masc|Nom|Sg	28	subj	_	4)
23	zu	zu	PTKA	PTKA	_	24	adv	_	-
24	wenig	wenig	ADV	ADJD	Pos|	27	adv	_	-
25	bei	bei	PREP	APPR	Dat	27	pp	_	-
26	ihnen	sie	PRO	PPER	3|Pl|_|Dat	25	pn	_	(7)
27	lernen	lernen	V	VVINF	_	28	aux	_	-
28	kann	können	V	VMFIN	3|Sg|Pres|Ind	20	cj	_	-
29	.	.	$.	$.	_	0	root	_	-

1	Andere	Andere	ADJA	ADJA	_|Masc|Nom|Pl|_	2	attr	_	-
2	Betriebe	Betrieb	N	NN	Masc|Nom|Pl	3	subj	_	-
3	meinen	meinen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
4	,	,	$,	$,	_	0	root	_	-
5	dass	dass	KOUS	KOUS	_	12	konj	_	-
6	die	die	ART	ART	Def|Fem|Nom|Sg	7	det	_	-
7	Ausbildung	Ausbildung	N	NN	Fem|Nom|Sg	12	subj	_	-
8	von	von	PREP	APPR	Dat	7	pp	_	-
9	Lehrlingen	Lehrling	N	NN	Masc|Dat|Pl	8	pn	_	-
10	zu	zu	PTKA	PTKA	_	11	adv	_	-
11	teuer	teuer	ADV	ADJD	Pos|	12	pred	_	-
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	objc	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Denn	denn	KON	KON	_	0	root	_	-
2	der	die	ART	ART	Def|Masc|Nom|Sg	3	det	_	(4
3	Lehrling	Lehrling	N	NN	Masc|Nom|Sg	4	subj	_	4)
4	bekommt	bekommen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	-
5	Geld	Geld	N	NN	Neut|_|Sg	4	obja	_	-
6	,	,	$,	$,	_	0	root	_	-
7	kann	können	V	VMFIN	_|Sg|Pres|Ind	4	kon	_	-
8	aber	aber	ADV	ADV	_	12	adv	_	-
9	noch	noch	ADV	ADV	_	10	adv	_	-
10	nicht	nicht	PTKNEG	PTKNEG	_	12	adv	_	-
11	alleine	alleine	ADV	ADV	_	12	adv	_	-
12	arbeiten	arbeiten	V	VVINF	_	7	aux	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Wie	Wie	PWAV	PWAV	_	7	pred	_	-
2	es	es	PRO	PPER	3|Sg|Neut|Nom	7	subj	_	-
3	in	in	PREP	APPR	Dat	7	pp	_	-
4	ein	eine	ART	ART	Indef|_|_|Sg	6	det	_	-
5	paar	paar	ART	PIDAT	Neut|Dat|Pl	6	attr	_	-
6	Jahren	Jahr	N	NN	Neut|Dat|Pl	3	pn	_	-
7	aussieht	aussehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
8	?	?	$.	$.	_	0	root	_	-

1	Bleibt	bleiben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
2	das	die	ART	ART	Def|Neut|Nom|Sg	4	det	_	-
3	duale	dual	ADJA	ADJA	Pos|Neut|Nom|Sg|Wk|	4	attr	_	-
4	System	System	N	NN	Neut|Nom|Sg	1	subj	_	-
5	?	?	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|_|Sg	6	obja	_	-
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	heute	heute	ADV	ADV	_	6	adv	_	-
4	noch	noch	ADV	ADV	_	6	adv	_	-
5	keiner	keine	PRO	PIS	Masc|Nom|Sg	2	subj	_	-
6	sagen	sagen	V	VVINF	_	2	aux	_	-
7	.	.	$.	$.	_	0	root	_	-

