1	Ach	ach	I	ITJ	_	0	root	_	_
7	Vikar	Vikar	N	NN	Masc|Dat|Sg	5	pn	266	266
8	,	,	$	$,	_	0	root	_	_
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	bloß	bloß	A	ADV	_	5	kon	_	_
11	wegen	wegen	P	APPR	_	3	pp	_	_
12	der	die	A	ART	Def|Fem|_|Sg	13	det	303	303
13	Ehre	Ehre	N	NN	Fem|_|Sg	11	pn	303	303
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	19	konj	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	291	291
17	unser	unsre	A	PPOSAT	Masc|Nom|Sg	18	det	292	292
18	Kunde	Kunde	N	NN	Masc|Nom|Sg	19	pred	_	_
19	war	sein	V	VAFIN	3|Sg|Past|Ind	3	objc	_	_
20	,	,	$	$,	_	0	root	_	_
21	sogar	sogar	A	ADV	_	24	adv	_	_
22	bei	bei	P	APPR	Dat	24	pp	_	_
23	uns	wir	P	PPER	1|Pl|_|Dat	22	pn	292	292
24	einsprach	einsprechen	V	VVFIN	_|Sg|Past|Ind	19	par	_	_
25	,	,	$	$,	_	0	root	_	_
26	sondern	sondern	K	KON	_	19	kon	_	_
27	daß	daß	K	KOUS	_	31	konj	_	_
28	er	er	P	PPER	3|Sg|Masc|Nom	31	subj	291	291
29	ihm	er	P	PPER	3|Sg|_|Dat	31	objd	266	266
30	geduldig	geduldig	A	ADJD	Pos|	31	adv	_	_
31	zuhörte	zuhören	V	VVFIN	3|Sg|Past|_	26	cj	_	_
32	,	,	$	$,	_	0	root	_	_
33	wenn	wenn	K	KOUS	_	40	konj	_	_
34	er	er	P	PPER	3|Sg|Masc|Nom	40	subj	291	291
35	eine	eine	P	PIS	Neut|_|Sg	40	obja	_	_
36	seiner	seine	A	PPOSAT	Fem|Gen|Pl	37	det	291	291
37	Geschichten	Geschichte	N	NN	Fem|Gen|Pl	35	gmod	_	_
38	zum	zu	P	APPRART	Dat	40	objp	_	_
39	besten	gut	A	ADJA	Sup|_|Dat|_|_|	38	pn	_	_
40	gab	geben	V	VVFIN	3|Sg|Past|Ind	31	neb	_	_
41	,	,	$	$,	_	0	root	_	_
42	und	und	K	KON	_	31	kon	_	_
43	sogar	sogar	A	ADV	_	45	adv	_	_
44	darüber	darüber	P	PROAV	_	45	pp	_	_
45	lachte	lachen	V	VVFIN	_|Sg|Past|_	42	cj	_	_
46	,	,	$	$,	_	0	root	_	_
47	was	was	P	PRELS	Neut|Nom|Sg	52	subj	293	293
48	dem	die	A	ART	Def|Masc|Dat|Sg	49	det	249	249
49	Vater	Vater	N	NN	Masc|Dat|Sg	52	objd	249	249
50	selten	selten	A	ADJD	Pos|	52	adv	_	_
51	mehr	mehr	A	ADV	_	52	adv	_	_
52	begegnete	begegnen	V	VVFIN	3|Sg|Past|_	35	rel	_	_
53	,	,	$	$,	_	0	root	_	_
54	da	da	K	KOUS	_	59	konj	_	_
55	er	er	P	PPER	3|Sg|Masc|Nom	59	subj	266	266
56	selten	selten	A	ADJD	Pos|	59	adv	_	_
57	auf	auf	P	APPR	_	59	objp	_	_
58	jemand	jemand	P	PIS	_|_|Sg	57	pn	_	_
59	stieß	stoßen	V	VVFIN	3|Sg|Past|Ind	52	neb	_	_
60	,	,	$	$,	_	0	root	_	_
61	dem	die	P	PRELS	_|Dat|Sg	66	objd	266	266
62	er	er	P	PPER	3|Sg|Masc|Nom	67	subj	291	291
63	sie	sie	P	PPER	3|_|_|_	66	obja	293	293
64	noch	noch	A	ADV	_	65	adv	_	_
65	nicht	nicht	P	PTKNEG	_	66	adv	_	_
66	erzählt	erzählen	V	VVPP	_	67	aux	_	_
67	hatte	haben	V	VAFIN	3|Sg|Past|Ind	58	rel	_	_
68	;	;	$	$.	_	0	root	_	_
69	er	er	P	PPER	3|Sg|Masc|Nom	70	subj	291	291
70	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
71	oft	oft	A	ADV	_	70	adv	_	_
72	:	\:	$	$.	_	0	root	_	_
73	solche	solche	P	PIS	_|Nom|Pl	74	subj	_	_
74	seien	sein	V	VAFIN	3|Pl|Pres|Subj	0	root	_	_
75	rar	rar	A	ADJD	Pos|	74	pred	_	_
76	im	in	P	APPRART	Dat	74	pp	_	_
77	Lande	Land	N	NN	Neut|Dat|Sg	76	pn	_	_
78	;	;	$	$.	_	0	root	_	_
79	wenn	wenn	K	KOUS	_	0	root	_	_
80	viele	viele	A	PIDAT	_|_|_	0	root	_	_
81	derer	die	P	PDS	_|Gen|Pl	82	objg	_	_
82	wären	sein	V	VAFIN	_|Pl|Past|Subj	0	root	_	_
83	,	,	$	$,	_	0	root	_	_
84	gings	gings	N	NE	_	82	vok	_	_
85	auch	auch	A	ADV	_	87	adv	_	_
86	besser	gut	A	ADJD	Comp|	87	adv	_	_
87	im	in	P	APPRART	Dat	84	pp	_	_
88	Lande	Land	N	NN	Neut|Dat|Sg	87	pn	_	_
89	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	294	294
2	Rosenstock	Rosenstock	N	NN	Masc|Nom|Sg	3	subj	294	294
3	machte	machen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	unsern	unsre	A	PPOSAT	Masc|_|Sg	5	det	292	292
5	Verkehr	Verkehr	N	NN	Masc|_|Sg	3	obja	_	_
6	lebhafter	lebhaft	A	ADJD	Comp|	3	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	281	281
9	Herr	Herr	N	NN	Masc|Nom|Sg	11	subj	281	281
10	Vikari	Vikari	N	NE	Masc|Nom|Sg	9	app	281	281
11	fragte	fragen	V	VVFIN	3|Sg|Past|_	3	kon	_	_
12	immer	immer	A	ADV	_	11	adv	_	_
13	nach	nach	P	APPR	Dat	11	pp	_	_
14	demselben	dieselbe	P	PDS	_|Dat|Sg	13	pn	_	_
15	und	und	K	KON	_	11	kon	_	_
16	fragte	fragen	V	VVFIN	_|Sg|Past|_	15	cj	_	_
17	auch	auch	A	ADV	_	16	adv	_	_
18	wohl	wohl	A	ADV	_	16	adv	_	_
19	,	,	$	$,	_	0	root	_	_
20	ob	ob	K	KOUS	_	28	konj	_	_
21	er	er	P	PPER	3|Sg|Masc|Nom	28	subj	281	281
22	nicht	nicht	P	PTKNEG	_	27	adv	_	_
23	etwa	etwa	A	ADV	_	27	adv	_	_
24	ein	eine	A	ART	Indef|Neut|_|Sg	25	det	_	_
25	Röschen	Rösche	N	NN	Neut|_|Sg	27	obja	_	_
26	davon	davon	P	PROAV	_	27	pp	_	_
27	haben	haben	V	VAINF	_	28	aux	_	_
28	könnte	können	V	VMFIN	3|Sg|Past|Subj	16	objc	_	_
29	,	,	$	$,	_	0	root	_	_
30	er	er	P	PPER	3|Sg|Masc|Nom	31	subj	281	281
31	täte	tun	V	VVFIN	3|Sg|Past|Subj	28	kon	_	_
32	gerne	gerne	A	ADV	_	31	adv	_	_
33	etwas	etwas	P	PIS	_	34	obja	_	_
34	einstellen	einstellen	V	VVINF	_	31	obji	_	_
35	,	,	$	$,	_	0	root	_	_
36	und	und	K	KON	_	31	kon	_	_
37	im	in	P	APPRART	Dat	39	pp	_	_
38	Pfarrhause	Pfarrhause	N	NN	_|Dat|_	37	pn	_	_
39	hätten	haben	V	VAFIN	3|Pl|Past|Subj	36	cj	_	_
40	sie	sie	P	PPER	3|Pl|_|Nom	39	subj	290	290
41	gar	gar	A	ADV	_	42	adv	_	_
42	nichts	nichts	A	PIAT	Neut|_|Sg	43	det	_	_
43	Grünes	Grünes	N	NN	Neut|_|Sg	39	obja	_	_
44	.	.	$	$.	_	0	root	_	_

1	War	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
2	das	die	P	PDS	Neut|Nom|Sg	1	subj	_	_
3	nicht	nicht	P	PTKNEG	_	6	adv	_	_
4	deutlich	deutlich	A	ADJD	Pos|	6	adv	_	_
5	genug	genug	A	ADV	_	4	adv	_	_
6	gesprochen	sprechen	V	VVPP	_	1	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	295	295
9	sollte	sollen	V	VMFIN	1|Sg|Past|_	1	kon	_	_
10	ihm	er	P	PPER	3|Sg|_|Dat	14	objd	294	294
11	für	für	P	APPR	Acc	14	objp	_	_
12	etwas	etwas	A	PIAT	Neut|Acc|Sg	13	det	_	_
13	Grünes	Grünes	N	NN	Neut|Acc|Sg	11	pn	_	_
14	sorgen	sorgen	V	VVINF	_	9	aux	_	_
15	?	?	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	3	koord	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	295	295
3	tat	tun	V	VVFIN	1|Sg|Past|Ind	8	s	_	_
4	es	es	P	PPER	3|Sg|Neut|_	3	obja	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	gerne	gerne	A	ADV	_	3	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	dachte	denken	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	11	det	296	296
10	ganze	ganz	A	ADJA	Pos|Fem|Nom|Sg|_|	11	attr	296	296
11	Woche	Woche	N	NN	Fem|Nom|Sg	8	subj	296	296
12	dran	dran	P	PROAV	_	8	pp	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	8	kon	_	_
15	hätte	haben	V	VAFIN	1|Sg|Past|Subj	14	cj	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	295	295
17	es	es	P	PPER	3|Sg|Neut|_	19	expl	_	_
18	nicht	nicht	P	PTKNEG	_	19	adv	_	_
19	getan	tun	V	VVPP	_	15	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	hätte	haben	V	VAFIN	3|Sg|Past|Subj	19	s	_	_
22	der	die	A	ART	Def|Masc|Nom|Sg	23	det	249	249
23	Vater	Vater	N	NN	Masc|Nom|Sg	21	subj	249	249
24	mich	ich	P	PPER	1|Sg|_|Acc	25	obja	295	295
25	gemahnt	mahnen	V	VVPP	_	21	aux	_	_
26	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	249	249
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	bescheiden	bescheiden	A	ADJD	Pos|	2	pred	_	_
5	und	und	K	KON	_	2	kon	_	_
6	klagte	klagen	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	gar	gar	A	ADV	_	8	adv	_	_
8	nicht	nicht	P	PTKNEG	_	6	adv	_	_
9	über	über	P	APPR	_	6	pp	_	_
10	des	die	A	ART	Def|Masc|Gen|Sg	11	det	339	339
11	Pfarrers	Pfarrer	N	NN	Masc|Gen|Sg	9	pn	339	339
12	im	in	P	APPRART	Dat	6	pp	_	_
13	Blackenboden	Blackenboden	N	NN	_|Dat|_	12	pn	297	297
14	,	,	$	$,	_	0	root	_	_
15	wenn	wenn	K	KOUS	_	21	konj	_	_
16	wir	wir	P	PPER	1|Pl|_|Nom	21	subj	292	292
17	ihm	er	P	PPER	3|Sg|_|Dat	21	objd	249	249
18	auch	auch	A	ADV	_	21	adv	_	_
19	Anlaß	Anlaß	N	NN	Masc|_|Sg	21	obja	_	_
20	dazu	dazu	P	PROAV	_	21	objp	_	_
21	gaben	geben	V	VVFIN	1|Pl|Past|Ind	6	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	indem	indem	K	KOUS	_	42	konj	_	_
24	wir	wir	P	PPER	1|Pl|_|Nom	26	subj	292	292
25	,	,	$	$,	_	0	root	_	_
26	gestützt	stützen	V	VVPP	_	42	neb	_	_
27	auf	auf	P	APPR	Acc	42	pp	_	_
28	das	die	P	PDS	Neut|Acc|Sg	27	pn	_	_
29	,	,	$	$,	_	0	root	_	_
30	was	was	P	PRELS	Neut|_|Sg	38	obja	_	_
31	die	die	A	ART	Def|_|Nom|Pl	32	det	298	298
32	Blackenbödeler	Blackenbödeler	N	NN	_|Nom|Pl	38	subj	298	298
33	über	über	P	APPR	_	32	pp	298	298
34	des	die	A	ART	Def|Masc|Gen|Sg	35	det	298	298
35	Pfarrers	Pfarrer	N	NN	Masc|Gen|Sg	33	pn	298	298
36	zu	zu	P	PTKZU	_	37	part	_	_
37	sagen	sagen	V	VVINF	_	38	obji	_	_
38	pflegten	pflegen	V	VVFIN	3|Pl|Past|_	28	rel	_	_
39	,	,	$	$,	_	0	root	_	_
40	ihn	er	P	PPER	3|Sg|Masc|Acc	42	obja	249	249
41	zuweilen	zuweilen	A	ADV	_	42	adv	_	_
42	bemitleideten	bemitleiden	V	VVFIN	_|Pl|Past|_	21	neb	_	_
43	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	249	249
2	könne	können	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	4	adv	_	_
4	klagen	klagen	V	VVINF	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	sagte	sagen	V	VVFIN	3|Sg|Past|_	4	s	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	249	249
8	dann	dann	A	ADV	_	6	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	sie	sie	P	PPER	3|Pl|_|Nom	11	subj	298	298
11	meinten	meinen	V	VVFIN	3|Pl|Past|_	6	s	_	_
12	es	es	P	PPER	3|Sg|Neut|_	11	expl	_	_
13	nicht	nicht	P	PTKNEG	_	11	adv	_	_
14	bös	bös	A	ADJD	Pos|	11	adv	_	_
15	,	,	$	$,	_	0	root	_	_
16	aber	aber	K	KON	_	11	kon	_	_
17	verstanden	verstehen	V	VVFIN	_|Pl|Past|Ind	16	cj	_	_
18	es	es	P	PPER	3|Sg|Neut|_	17	obja	_	_
19	nicht	nicht	P	PTKNEG	_	17	adv	_	_
20	besser	gut	A	ADJD	Comp|	17	adv	_	_
21	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	249	249
2	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	10	adv	_	_
4	meisterlosig	meisterlosig	A	ADJD	Pos|	10	adv	_	_
5	und	und	K	KON	_	4	kon	_	_
6	nie	nie	A	ADV	_	7	adv	_	_
7	hungrig	hungrig	A	ADJD	Pos|	5	cj	_	_
8	zu	zu	P	APPR	Dat	10	objp	_	_
9	Bette	Bett	N	NN	Neut|Dat|Sg	8	pn	132	132
10	gegangen	gehen	V	VVPP	_	2	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	nur	nur	A	ADV	_	13	adv	_	_
13	sei	sein	V	VAFIN	3|Sg|Pres|Subj	2	kon	_	_
14	es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
15	ihm	er	P	PPER	3|Sg|_|Dat	13	objd	249	249
16	nicht	nicht	P	PTKNEG	_	13	adv	_	_
17	angenehm	angenehm	A	ADJD	Pos|	13	pred	_	_
18	,	,	$	$,	_	0	root	_	_
19	wenn	wenn	K	KOUS	_	24	konj	_	_
20	die	die	A	ART	Def|Fem|Nom|Sg	21	det	154	154
21	Frau	Frau	N	NN	Fem|Nom|Sg	24	subj	154	154
22	Pfarrerin	Pfarrerin	N	NN	Fem|Nom|Sg	21	app	154	154
23	immer	immer	A	ADV	_	24	adv	_	_
24	sage	sagen	V	VVFIN	3|Sg|Pres|Subj	13	neb	_	_
25	,	,	$	$,	_	0	root	_	_
26	was	was	P	PRELS	Neut|_|Sg	0	root	132	132
27	das	die	A	ART	Def|Neut|Nom|Sg	28	det	_	_
28	Stückli	Stückli	N	NN	Neut|Nom|Sg	33	subj	_	_
29	Fleisch	Fleisch	N	NN	Neut|_|Sg	33	obja	_	_
30	auf	auf	P	APPR	Dat	33	pp	_	_
31	dem	die	A	ART	Def|Masc|Dat|Sg	32	det	331	331
32	Tische	Tisch	N	NN	Masc|Dat|Sg	30	pn	331	331
33	gekostet	kosten	V	VVPP	_	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	und	und	K	KON	_	0	root	_	_
36	wie	wie	P	PWAV	_	37	adv	_	_
37	teuer	teuer	A	ADJD	Pos|	38	adv	_	_
38	abermal	abermal	V	VVFIN	_	41	objc	_	_
39	das	die	A	ART	Def|Neut|Nom|Sg	40	det	_	_
40	Brot	Brot	N	NN	Neut|Nom|Sg	41	subj	_	_
41	sei	sein	V	VAFIN	3|Sg|Pres|Subj	35	cj	_	_
42	und	und	K	KON	_	0	root	_	_
43	ein	eine	A	ART	Indef|Masc|Nom|Sg	44	det	_	_
44	Pfarrer	Pfarrer	N	NN	Masc|Nom|Sg	42	cj	_	_
45	,	,	$	$,	_	0	root	_	_
46	wenn	wenn	K	KOUS	_	50	konj	_	_
47	er	er	P	PPER	3|Sg|Masc|Nom	50	subj	249	249
48	einen	eine	A	ART	Indef|Masc|Acc|Sg	49	det	271	271
49	Vikar	Vikar	N	NN	Masc|Acc|Sg	50	obja	271	271
50	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
51	,	,	$	$,	_	0	root	_	_
52	z	z	N	NN	Masc|_|Pl	0	root	_	_
53	'	'	$	$(	_	0	root	_	_
54	arme	arm	A	ADJA	Pos|Masc|_|Pl|St|	55	attr	_	_
55	Tage	Tag	N	NN	Masc|_|Pl	52	app	_	_
56	geraten	geraten	V	VVINF	_	0	root	_	_
57	müsse	müssen	V	VMFIN	_|Sg|Pres|Subj	0	root	_	_
58	notwendig	notwendig	A	ADJD	Pos|	57	adv	_	_
59	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	stelle	stellen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	249	249
4	zuweilen	zuweilen	A	ADV	_	2	adv	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
6	Appetit	Appetit	N	NN	Masc|Acc|Sg	2	obja	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	12	konj	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	249	249
10	nicht	nicht	P	PTKNEG	_	12	adv	_	_
11	recht	recht	A	ADJD	Pos|	12	adv	_	_
12	esse	essen	V	VVFIN	3|Sg|Pres|Subj	6	objc	_	_
13	;	;	$	$.	_	0	root	_	_
14	wenn	wenn	K	KOUS	_	18	konj	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	249	249
16	daher	daher	P	PROAV	_	18	pp	_	_
17	hungrig	hungrig	A	ADJD	Pos|	18	pred	_	_
18	bleibe	bleiben	V	VVFIN	3|Sg|Pres|Subj	20	neb	_	_
19	,	,	$	$,	_	0	root	_	_
20	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
21	es	es	P	PPER	3|Sg|Neut|Nom	20	subj	_	_
22	seine	seine	A	PPOSAT	Fem|Nom|Sg	23	det	249	249
23	Schuld	Schuld	N	NN	Fem|Nom|Sg	20	pred	_	_
24	,	,	$	$,	_	0	root	_	_
25	denn	denn	K	KON	_	20	kon	_	_
26	genug	genug	A	ADV	_	27	adv	_	_
27	wäre	sein	V	VAFIN	_|Sg|Past|Subj	25	cj	_	_
28	dagewesen	dasein	V	VVPP	_	27	aux	_	_
29	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	rührte	rühren	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	299	299
4	immer	immer	A	ADV	_	2	adv	_	_
5	;	;	$	$.	_	0	root	_	_
6	das	die	A	ART	Def|Neut|_|Sg	7	det	_	_
7	gäbte	gäbte	N	NN	Neut|_|Sg	0	root	_	_
8	einmal	einmal	A	ADV	_	11	adv	_	_
9	ein	eine	A	ART	Indef|_|_|Sg	11	det	_	_
10	gut	gut	A	ADJD	Pos|	11	adv	_	_
11	Mannli	Mannli	N	NN	_|_|Sg	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	mußte	müssen	V	VMFIN	1|Sg|Past|Ind	11	par	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	299	299
15	denken	denken	V	VVINF	_	13	aux	_	_
16	,	,	$	$,	_	0	root	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	299	299
18	mochte	mögen	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
19	wollen	wollen	V	VMINF	_	18	aux	_	_
20	oder	oder	K	KON	_	0	root	_	_
21	nicht	nicht	P	PTKNEG	_	0	root	_	_
22	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	lacht	lachen	V	VVFIN	_|_|Pres|Ind	1	par	_	_
4	nur	nur	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	ihr	ihre	A	PPOSAT	_|_|Sg	7	det	154	154
7	Frauen	Frau	N	NN	_|_|Sg	0	root	300	300
8	,	,	$	$,	_	0	root	_	_
9	ihr	ihr	P	PPER	2|Pl|_|Nom	10	subj	_	_
10	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
11	recht	recht	A	ADJD	Pos|	10	pred	_	_
12	,	,	$	$,	_	0	root	_	_
13	aber	aber	K	KON	_	0	root	_	_
14	daß	daß	K	KOUS	_	19	konj	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	300	300
16	mein	meine	A	PPOSAT	_|Nom|Sg	17	det	299	299
17	Mannli	Mannli	N	NN	_|Nom|Sg	18	pred	_	_
18	werden	werden	V	VAINF	_	19	aux	_	_
19	könnte	können	V	VMFIN	3|Sg|Past|Subj	13	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	daran	daran	P	PROAV	_	22	objp	_	_
22	dachte	denken	V	VVFIN	1|Sg|Past|Ind	19	par	_	_
23	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	299	299
24	doch	doch	A	ADV	_	22	adv	_	_
25	wahrhaftig	wahrhaftig	A	ADV	_	22	adv	_	_
26	nicht	nicht	P	PTKNEG	_	22	adv	_	_
27	,	,	$	$,	_	0	root	_	_
28	nein	nein	P	PTKANT	_	0	root	_	_
29	,	,	$	$,	_	0	root	_	_
30	das	die	P	PDS	Neut|Nom|Sg	31	subj	_	_
31	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
32	mir	ich	P	PPER	1|Sg|_|Dat	31	objd	299	299
33	nicht	nicht	P	PTKNEG	_	31	adv	_	_
34	von	von	P	APPR	Dat	31	pp	_	_
35	weitem	weit	A	ADJA	Pos|_|Dat|Sg|St|	34	pn	_	_
36	ein	ein	P	PTKVZ	_	31	avz	_	_
37	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	154	154
2	Frau	Frau	N	NN	Fem|Nom|Sg	4	subj	154	154
3	Pfarrerin	Pfarrerin	N	NN	Fem|Nom|Sg	2	app	154	154
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	besonders	besonders	A	ADV	_	6	adv	_	_
6	berühmt	berühmt	A	ADJD	Pos|	4	adv	_	_
7	wegem	wegem	A	ADJD	_	4	pred	_	_
8	schlechten	schlecht	A	ADJA	Pos|_|Dat|Sg|Wk|	9	attr	_	_
9	Kaffee	Kaffee	N	NN	_|Dat|Sg	4	objd	_	_
10	,	,	$	$,	_	0	root	_	_
11	wo	wo	P	PWAV	_	13	adv	_	_
12	Kaffee	Kaffee	N	NN	_|Nom|Sg	13	subj	301	301
13	hieß	heißen	V	VVFIN	3|Sg|Past|Ind	4	objc	_	_
14	und	und	K	KON	_	13	kon	_	_
15	zumeist	zumeist	A	ADV	_	21	adv	_	_
16	auch	auch	A	ADV	_	21	adv	_	_
17	nicht	nicht	P	PTKNEG	_	21	adv	_	_
18	eine	eine	A	ART	Indef|Fem|Nom|Sg	19	det	_	_
19	Bohne	Bohne	N	NN	Fem|Nom|Sg	22	subj	_	_
20	darein	darein	A	ADJD	_	21	pred	_	_
21	sein	sein	V	VAINF	_	22	aux	_	_
22	sollte	sollen	V	VMFIN	3|Sg|Past|_	14	cj	_	_
23	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	6	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	299	299
3	ihn	er	P	PPER	3|Sg|Masc|Acc	6	obja	301	301
