1	Nit	Nit	N	NE	_	0	root	504	504
38	müsse	müsse	P	PDS	_|Nom|Sg	39	subj	_	_
39	glaube	glauben	V	VVFIN	3|Sg|Pres|Subj	31	cj	_	_
40	,	,	$	$,	_	0	root	_	_
41	wir	wir	P	PPER	1|Pl|_|Nom	42	subj	_	_
42	pfiffen	pfeifen	V	VVFIN	1|Pl|Past|_	19	kon	_	_
43	auf	auf	P	APPR	Dat	42	pp	_	_
44	dem	die	A	ART	Def|Neut|Dat|Sg	46	det	_	_
45	letzten	letzte	A	ADJA	Pos|Neut|Dat|Sg|Wk|	46	attr	_	_
46	Löchlein	Löchlein	N	NN	Neut|Dat|Sg	43	pn	_	_
47	,	,	$	$,	_	0	root	_	_
48	es	es	P	PPER	3|Sg|Neut|_	49	expl	_	_
49	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	42	kon	_	_
50	ke	ke	N	NE	_|Nom|Sg	49	subj	_	_
51	Hung	Hung	N	NE	_|Nom|Sg	50	app	_	_
52	,	,	$	$,	_	0	root	_	_
53	wie	wie	P	PWAV	_	56	adv	_	_
54	si	si	N	NE	_|Nom|Sg	56	subj	_	_
55	ta	ta	N	NE	_|Nom|Sg	54	app	_	_
56	hätte	haben	V	VAFIN	3|Sg|Past|Subj	49	objc	_	_
57	.	.	$	$.	_	0	root	_	_

1	Darum	Darum	P	PROAV	_	2	pp	_	_
2	tat	tun	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	537	537
4	immer	immer	A	ADV	_	5	adv	_	_
5	nötlich	nötlich	A	ADJD	Pos|	2	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	2	kon	_	_
8	wenn	wenn	K	KOUS	_	13	konj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	537	537
10	einen	eine	A	ART	Indef|Masc|Acc|Sg	11	det	_	_
11	Kreuzer	Kreuzer	N	NN	Neut|Acc|Sg	13	obja	_	_
12	Geld	Geld	N	NN	Neut|Acc|Sg	11	app	_	_
13	hatte	haben	V	VAFIN	1|Sg|Past|Ind	16	neb	_	_
14	,	,	$	$,	_	0	root	_	_
15	so	so	A	ADV	_	16	adv	_	_
16	ließ	lassen	V	VVFIN	1|Sg|Past|Ind	7	cj	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	537	537
18	es	es	P	PPER	3|Sg|Neut|_	16	obja	_	_
19	nie	nie	A	ADV	_	20	adv	_	_
20	merken	merken	V	VVINF	_	16	obji	_	_
21	,	,	$	$,	_	0	root	_	_
22	sondern	sondern	K	KON	_	16	kon	_	_
23	tat	tun	V	VVFIN	_|Sg|Past|Ind	22	cj	_	_
24	just	just	A	ADV	_	23	adv	_	_
25	am	an	P	APPRART	Dat	23	pp	_	_
26	nötlichsten	nötlich	A	ADJA	Sup|_|Dat|_|_|	25	pn	_	_
27	.	.	$	$.	_	0	root	_	_
28	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	wo	wo	P	PWAV	_	4	adv	_	_
4	kamst	kommen	V	VVFIN	2|Sg|Past|Ind	2	cj	_	_
5	mit	mit	P	APPR	Dat	4	pp	_	_
6	dem	die	A	ART	Def|Neut|Dat|Sg	7	det	122	122
7	Gelde	Geld	N	NN	Neut|Dat|Sg	5	pn	122	122
8	hin	hin	A	APZR	_	5	part	_	_
9	?	?	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	frug	frug	N	NE	_	0	root	512	512
12	Hans	Hans	N	NE	_	11	app	512	512
13	Uli	Uli	N	NE	_	12	app	512	512
14	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	537	537
3	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|_	7	expl	_	_
5	dir	du	P	PPER	2|Sg|_|Dat	7	objd	540	540
6	wohl	wohl	A	ADV	_	7	adv	_	_
7	sagen	sagen	V	VVINF	_	3	aux	_	_
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	antwortete	antworten	V	VVFIN	3|Sg|Past|_	7	s	_	_
11	Barthli	Barthli	N	NE	_|Nom|Sg	10	subj	46	46
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	aber	aber	A	ADV	_	15	adv	_	_
15	du	du	P	PPER	2|Sg|_|Nom	16	subj	540	540
16	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
17	mir	ich	P	PPER	1|Sg|_|Dat	22	objd	537	537
18	bei	bei	P	APPR	Dat	22	pp	_	_
19	deiner	deine	A	PPOSAT	Fem|Dat|Sg	20	det	540	540
20	Seele	Seele	N	NN	Fem|Dat|Sg	18	pn	_	_
21	Seligkeit	Seligkeit	N	NN	Fem|Dat|Sg	20	app	_	_
22	versprechen	versprechen	V	VVINF	_	16	aux	_	_
23	,	,	$	$,	_	0	root	_	_
24	es	es	P	PPER	3|Sg|Neut|_	28	obja	_	_
25	keinem	keine	A	PIAT	Masc|Dat|Sg	26	det	_	_
26	Menschen	Mensch	N	NN	Masc|Dat|Sg	28	objd	_	_
27	zu	zu	P	PTKZU	_	28	part	_	_
28	sagen	sagen	V	VVINF	_	22	obji	_	_
29	;	;	$	$.	_	0	root	_	_
30	und	und	K	KON	_	0	root	_	_
31	hälst	hälst	V	VVFIN	2|Sg|_|_	30	cj	_	_
32	du	du	P	PPER	2|Sg|_|Nom	31	subj	540	540
33	es	es	P	PPER	3|Sg|Neut|_	31	expl	_	_
34	nicht	nicht	P	PTKNEG	_	41	adv	_	_
35	,	,	$	$,	_	0	root	_	_
36	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	31	s	_	_
37	deine	deine	A	PPOSAT	Fem|Nom|Sg	38	det	540	540
38	Seele	Seele	N	NN	Fem|Nom|Sg	36	subj	_	_
39	keine	keine	A	PIAT	Fem|_|Sg	40	det	_	_
40	Ruhe	Ruhe	N	NN	Fem|_|Sg	41	obja	_	_
41	haben	haben	V	VAINF	_	36	aux	_	_
42	im	in	P	APPRART	Dat	41	pp	_	_
43	Grabe	Grab	N	NN	Neut|Dat|Sg	42	pn	535	535
44	,	,	$	$,	_	0	root	_	_
45	sondern	sondern	K	KON	_	36	kon	_	_
46	umgehen	umgehen	V	VVINF	_	47	aux	_	_
47	müssen	müssen	V	VMFIN	_|Pl|Pres|_	45	cj	_	_
48	eine	eine	A	ART	Indef|Fem|_|Sg	49	det	_	_
49	Ewigkeit	Ewigkeit	N	NN	Fem|_|Sg	46	obja	_	_
50	nach	nach	P	APPR	Dat	46	pp	_	_
51	der	die	A	ART	Def|_|_|_	52	det	_	_
52	andern	andern	A	ADJA	_|_|_	50	pn	_	_
53	.	.	$	$.	_	0	root	_	_

1	Einmal	einmal	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	als	als	K	KOUS	_	8	konj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	537	537
5	von	von	P	APPR	_	8	pp	_	_
6	einer	eine	A	ART	Indef|Fem|_|Sg	7	det	_	_
7	Stör	Stör	N	NN	Fem|_|Sg	5	pn	_	_
8	heimkam	heimkommen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	wo	wo	P	PWAV	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	0	root	537	537
12	,	,	$	$,	_	0	root	_	_
13	wie	wie	P	PWAV	_	16	adv	_	_
14	meine	meine	A	PPOSAT	_|Nom|_	15	det	537	537
15	Alte	Alt	N	NN	_|Nom|_	16	subj	541	541
16	wußte	wußte	V	VVFIN	_|_|_|_	21	subjc	_	_
17	,	,	$	$,	_	0	root	_	_
18	ein	eine	A	ART	Indef|Neut|_|Sg	19	det	_	_
19	Büscheli	Büscheli	N	NN	Neut|_|Sg	21	obja	_	_
20	Geld	Geld	N	NN	Neut|_|Sg	19	app	_	_
21	bekommen	bekommen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	plagte	plagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
24	sie	sie	P	PPER	3|Sg|Fem|Nom	23	subj	541	541
25	mich	ich	P	PPER	1|Sg|_|Acc	23	obja	537	537
26	wieder	wieder	A	ADV	_	23	adv	_	_
27	bis	bis	P	APPR	Acc	23	pp	_	_
28	aufs	auf	P	APPRART	Acc	27	pp	_	_
29	Blut	Blut	N	NN	Neut|Acc|Sg	28	pn	_	_
30	um	um	P	APPR	Acc	23	pp	_	_
31	warme	warm	A	ADJA	Pos|Masc|Acc|Pl|St|	32	attr	_	_
32	Strümpfe	Strumpf	N	NN	Masc|Acc|Pl	30	pn	_	_
33	für	für	P	APPR	Acc	32	pp	_	_
34	sich	sie	P	PRF	3|_|Acc	33	pn	_	_
35	und	und	K	KON	_	33	kon	_	_
36	wegen	wegen	P	APPR	Dat	35	cj	_	_
37	Lederschuhen	Lederschuh	N	NN	Masc|Dat|Pl	36	pn	_	_
38	fürs	für	P	APPRART	Acc	37	pp	_	_
39	Meitschi	Meitschi	N	NN	_|Acc|_	38	pn	316	316
40	,	,	$	$,	_	0	root	_	_
41	es	es	P	PPER	3|Sg|Neut|_	42	expl	_	_
42	wäre	sein	V	VAFIN	3|Sg|Past|Subj	23	kon	_	_
43	mir	ich	P	PPER	1|Sg|_|Dat	42	objd	537	537
44	nichts	nichts	P	PIS	_|Nom|Sg	42	subj	_	_
45	übriggeblieben	übriggeblieben	A	ADJD	Pos|	0	root	_	_
46	,	,	$	$,	_	0	root	_	_
47	wenn	wenn	K	KOUS	_	50	konj	_	_
48	ich	ich	P	PPER	1|Sg|_|Nom	50	subj	537	537
49	alles	alle	P	PIS	Neut|Nom|Sg	48	app	_	_
50	hätte	haben	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
51	nachsagen	nachsagen	V	VVINF	_	52	aux	_	_
52	wollen	wollen	V	VMINF	_	50	aux	_	_
53	,	,	$	$,	_	0	root	_	_
54	was	was	P	PRELS	Neut|_|Sg	0	root	316	316
55	sie	sie	P	PPER	3|_|_|_	0	root	541	541
56	mit	mit	P	APPR	Dat	55	pp	_	_
57	vorgesagt	vorgesagt	A	ADJD	Pos|	56	pn	_	_
58	,	,	$	$,	_	0	root	_	_
59	und	und	K	KON	_	0	root	_	_
60	hätte	haben	V	VAFIN	1|Sg|Past|Subj	59	cj	_	_
61	ich	ich	P	PPER	1|Sg|_|Nom	60	subj	537	537
62	nicht	nicht	P	PTKNEG	_	60	adv	_	_
63	nachgesagt	nachsagen	V	VVPP	_	0	root	_	_
64	,	,	$	$,	_	0	root	_	_
65	so	so	A	ADV	_	66	adv	_	_
66	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
67	sie	sie	P	PPER	3|Sg|Fem|Nom	66	subj	541	541
68	es	es	P	PPER	3|Sg|Neut|_	70	obja	_	_
69	sonst	sonst	A	ADV	_	70	adv	_	_
70	genommen	nehmen	V	VVPP	_	66	aux	_	_
71	,	,	$	$,	_	0	root	_	_
72	sie	sie	P	PPER	3|Sg|Fem|Nom	73	subj	541	541
73	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	66	kon	_	_
74	sich	sie	P	PRF	3|_|Dat	73	objd	_	_
75	nichts	nichts	P	PIS	_	76	obja	_	_
76	einschließen	einschließen	V	VVINF	_	73	obji	_	_
77	,	,	$	$,	_	0	root	_	_
78	und	und	K	KON	_	73	kon	_	_
79	behielt	behalten	V	VVFIN	1|Sg|Past|Ind	78	cj	_	_
80	ich	ich	P	PPER	1|Sg|_|Nom	79	subj	537	537
81	etwas	etwas	A	ADV	_	79	adv	_	_
82	im	in	P	APPRART	Dat	79	objp	_	_
83	Sack	Sack	N	NN	Masc|Dat|Sg	82	pn	542	542
84	,	,	$	$,	_	0	root	_	_
85	so	so	A	ADV	_	86	adv	_	_
86	erlas	erlesen	V	VVFIN	3|Sg|Past|Ind	79	kon	_	_
87	sie	sie	P	PPER	3|Sg|Fem|Nom	86	subj	541	541
88	mir	ich	P	PPER	1|Sg|_|Dat	86	objd	537	537
89	nachts	nachts	A	ADV	_	86	adv	_	_
90	die	die	A	ART	Def|Fem|_|Pl	91	det	543	543
91	Hosen	Hose	N	NN	Fem|_|Pl	86	obja	543	543
92	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	537	537
2	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	ihr	ihr	P	PPER	3|Sg|Fem|Dat	6	objd	541	541
4	nichts	nichts	A	PIAT	Neut|_|Sg	5	det	_	_
5	Böses	Böses	N	NN	Neut|_|Sg	6	obja	_	_
6	nachreden	nachreden	V	VVINF	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	denn	denn	K	KON	_	2	kon	_	_
9	daneben	daneben	P	PROAV	_	10	pp	_	_
10	war	sein	V	VAFIN	3|Sg|Past|Ind	8	cj	_	_
11	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	541	541
12	huslich	huslich	A	ADJD	_	10	pred	_	_
13	,	,	$	$,	_	0	root	_	_
14	aber	aber	K	KON	_	10	kon	_	_
15	das	die	P	PDS	Neut|Nom|Sg	16	subj	_	_
16	war	sein	V	VAFIN	_|Sg|Past|Ind	14	cj	_	_
17	dir	du	P	PPER	2|Sg|_|Dat	16	objd	540	540
18	eine	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	wo	wo	P	PWAV	_	22	adv	_	_
21	man	man	P	PIS	_|Nom|Sg	22	subj	_	_
22	wußte	wußte	V	VVFIN	_|Sg|_|_	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	daß	daß	K	KOUS	_	28	konj	_	_
25	man	man	P	PIS	_|Nom|Sg	28	subj	_	_
26	eine	eine	A	ART	Indef|Fem|_|Sg	27	det	_	_
27	Frau	Frau	N	NN	Fem|_|Sg	28	obja	_	_
28	hatte	haben	V	VAFIN	3|Sg|Past|Ind	22	objc	_	_
29	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
3	ändern	ändern	V	VVINF	_	2	aux	_	_
4	,	,	$	$,	_	0	root	_	_
5	dachte	denken	V	VVFIN	1|Sg|Past|Ind	3	s	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	537	537
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	als	als	K	KOKOM	_	8	cj	_	_
10	sie	sie	P	PPER	3|_|_|_	9	cj	541	541
11	einmal	einmal	A	ADV	_	10	adv	_	_
12	beide	beide	P	PIS	_|_|Pl	0	root	_	_
13	einen	eine	A	ART	Indef|Masc|Acc|Sg	15	det	_	_
14	ganzen	ganz	A	ADJA	Pos|Masc|Acc|Sg|_|	15	attr	_	_
15	Tag	Tag	N	NN	Masc|Acc|Sg	17	obja	_	_
16	fort	fort	P	PTKVZ	_	17	avz	_	_
17	waren	sein	V	VAFIN	_|Pl|Past|Ind	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	machte	machen	V	VVFIN	_|Sg|Past|_	17	kon	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	19	pred	537	537
21	unter	unter	P	APPR	Dat	19	pp	_	_
22	dem	die	A	ART	Def|Neut|Dat|Sg	23	det	474	474
23	Bett	Bett	N	NN	Neut|Dat|Sg	21	pn	474	474
24	ein	eine	A	ART	Indef|Neut|_|Sg	26	det	_	_
25	großes	groß	A	ADJA	Pos|Neut|_|Sg|St|	26	attr	_	_
26	Loch	Loch	N	NN	Neut|_|Sg	19	obja	_	_
27	,	,	$	$,	_	0	root	_	_
28	stellte	stellen	V	VVFIN	_|Sg|Past|_	17	kon	_	_
29	einen	eine	A	ART	Indef|Masc|Acc|Sg	30	det	552	552
30	Kübel	Kübel	N	NN	Masc|Acc|Sg	28	obja	552	552
31	hinein	hinein	P	PTKVZ	_	28	avz	_	_
32	und	und	K	KON	_	28	kon	_	_
33	machte	machen	V	VVFIN	_|Sg|Past|_	32	cj	_	_
34	die	die	A	ART	Def|_|_|Pl	35	det	_	_
35	Laden	Lade	N	NN	_|_|Pl	33	obja	_	_
36	schön	schön	A	ADJD	Pos|	37	adv	_	_
37	wieder	wieder	A	ADV	_	35	adv	_	_
38	zu	zu	P	PTKVZ	_	33	avz	_	_
39	,	,	$	$,	_	0	root	_	_
40	daß	daß	K	KOUS	_	44	konj	_	_
41	man	man	P	PIS	_|Nom|Sg	44	subj	_	_
42	es	es	P	PPER	3|Sg|Neut|_	44	obja	_	_
43	nicht	nicht	P	PTKNEG	_	44	adv	_	_
44	merkte	merken	V	VVFIN	3|Sg|Past|_	33	neb	_	_
45	,	,	$	$,	_	0	root	_	_
46	wenn	wenn	K	KOUS	_	50	konj	_	_
47	man	man	P	PIS	_|Nom|Sg	50	subj	_	_
48	es	es	P	PPER	3|Sg|Neut|_	50	obja	_	_
49	nicht	nicht	P	PTKNEG	_	50	adv	_	_
50	wußte	wußte	V	VVFIN	_|Sg|_|_	44	neb	_	_
51	.	.	$	$.	_	0	root	_	_

1	Dort	dort	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	am	an	P	APPRART	Dat	2	pp	_	_
5	sichersten	sicher	A	ADJA	Sup|_|Dat|_|_|	4	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	denn	denn	K	KON	_	2	kon	_	_
8	wir	wir	P	PPER	1|Pl|_|Nom	9	subj	_	_
9	zogen	ziehen	V	VVFIN	1|Pl|Past|Ind	7	cj	_	_
10	das	die	A	ART	Def|Neut|_|Sg	11	det	474	474
11	Bett	Bett	N	NN	Neut|_|Sg	9	obja	474	474
12	nie	nie	A	ADV	_	9	adv	_	_
13	hervor	hervor	P	PTKVZ	_	9	avz	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	9	kon	_	_
16	unter	unter	P	APPR	_	18	pp	_	_
17	dasselbe	dasselbe	P	PIS	_|_|_	16	pn	_	_
18	kam	kommen	V	VVFIN	3|Sg|Past|Ind	15	cj	_	_
19	man	man	P	PIS	_|Nom|Sg	18	subj	_	_
20	zNot	zNot	A	ADJD	_	18	adv	_	_
21	mit	mit	P	APPR	Dat	18	pp	_	_
22	dem	die	A	ART	Def|Masc|Dat|Sg	23	det	_	_
23	Besen	Besen	N	NN	Masc|Dat|Sg	21	pn	_	_
24	.	.	$	$.	_	0	root	_	_

1	DFrau	DFrau	N	NE	_	0	root	_	_
2	selig	selig	A	ADJD	Pos|	3	adv	_	_
3	merkte	merken	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	auch	auch	A	ADV	_	3	adv	_	_
6	nicht	nicht	P	PTKNEG	_	3	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	aber	aber	K	KON	_	3	kon	_	_
9	manchmal	manchmal	A	ADV	_	10	adv	_	_
10	gschirrete	gschirrete	V	VVFIN	3|_|_|_	8	cj	_	_
11	sie	sie	P	PPER	3|_|_|Nom	10	subj	474	474
12	mit	mit	P	APPR	Dat	10	pp	_	_
13	mir	ich	P	PPER	1|Sg|_|Dat	12	pn	537	537
14	aus	aus	P	PTKVZ	_	10	avz	_	_
15	,	,	$	$,	_	0	root	_	_
16	daß	daß	K	KOUS	_	20	konj	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	537	537
18	heimlich	heimlich	A	ADJD	Pos|	20	adv	_	_
19	Geld	Geld	N	NN	Neut|_|Sg	20	obja	59	59
20	verbrauche	verbrauchen	V	VVFIN	1|Sg|Pres|_	10	objc	_	_
21	,	,	$	$,	_	0	root	_	_
22	und	und	K	KON	_	20	kon	_	_
23	wollte	wollen	V	VMFIN	_|Sg|Past|_	22	cj	_	_
24	wissen	wissen	V	VVINF	_	23	aux	_	_
25	,	,	$	$,	_	0	root	_	_
26	womit	womit	P	PWAV	_	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	537	537
3	hatte	haben	V	VAFIN	1|Sg|Past|Ind	1	cj	_	_
4	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
5	gut	gut	A	ADJD	Pos|	6	adv	_	_
6	Gewissen	gewiss	A	ADJA	Pos|_|_|_|_|	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	hielt	halten	V	VVFIN	_|Sg|Past|Ind	7	cj	_	_
9	ihr	ihr	P	PPER	2|Pl|_|Nom	8	pred	_	_
10	die	die	A	ART	Def|Fem|_|Sg	11	det	_	_
11	Stange	Stange	N	NN	Fem|_|Sg	8	obja	_	_
12	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	nun	nun	A	ADV	_	2	adv	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	_	_
5	schöner	schön	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	_	_
6	Schübel	Schübel	N	NN	Masc|Nom|Sg	2	subj	_	_
7	Geld	Geld	N	NN	Neut|Nom|Sg	2	pred	59	59
8	und	und	K	KON	_	0	root	_	_
9	allweg	allweg	T	TRUNC	_	0	root	_	_
10	mehr	mehr	A	ADV	_	11	adv	_	_
11	als	als	K	KOKOM	_	0	root	_	_
12	genug	genug	A	ADV	_	13	adv	_	_
13	zum	zu	P	APPRART	Dat	11	cj	_	_
14	Bauen	Bau	N	NN	_|Dat|_	13	pn	594	594
15	,	,	$	$,	_	0	root	_	_
16	aber	aber	K	KON	_	0	root	_	_
17	es	es	P	PPER	3|Sg|Neut|Nom	18	subj	_	_
18	reut	reuen	V	VVFIN	3|Sg|Pres|Ind	16	cj	_	_
19	mich	ich	P	PPER	1|Sg|_|Acc	18	obja	537	537
20	,	,	$	$,	_	0	root	_	_
21	es	es	P	PPER	3|Sg|Neut|_	22	expl	_	_
22	ist	sein	V	VAFIN	3|Sg|Pres|Ind	18	kon	_	_
23	eine	eine	A	ART	Indef|Fem|Nom|Sg	25	det	_	_
24	harte	hart	A	ADJA	Pos|Fem|Nom|Sg|_|	25	attr	_	_
25	Sache	Sache	N	NN	Fem|Nom|Sg	22	subj	_	_
26	,	,	$	$,	_	0	root	_	_
27	und	und	K	KON	_	0	root	_	_
28	dann	dann	A	ADV	_	31	adv	514	514
29	noch	noch	A	ADV	_	31	adv	514	514
30	einen	eine	A	ART	Indef|Masc|Acc|Sg	31	det	514	514
31	Tochtermann	Tochtermann	N	NN	Masc|Acc|Sg	27	cj	514	514
32	obendrauf	obendrauf	F	FM	Masc|Acc|Sg	31	app	514	514
33	,	,	$	$,	_	0	root	_	_
34	es	es	P	PPER	3|Sg|Neut|Nom	35	subj	_	_
35	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
36	mir	ich	P	PPER	1|Sg|_|Dat	39	objd	537	537
37	nicht	nicht	P	PTKNEG	_	39	adv	_	_
38	zu	zu	P	PTKZU	_	39	part	_	_
39	helfen	helfen	V	VVINF	_	35	aux	_	_
40	,	,	$	$,	_	0	root	_	_
41	denk	denken	V	VVIMP	Sg	0	root	_	_
42	doch	doch	A	ADV	_	41	adv	_	_
43	auch	auch	A	ADV	_	41	adv	_	_
44	,	,	$	$,	_	0	root	_	_
45	Hans	Hans	N	NE	_	0	root	512	512
46	Uli	Uli	N	NE	_	45	app	512	512
47	,	,	$	$,	_	0	root	_	_
48	und	und	K	KON	_	0	root	_	_
49	noch	noch	A	ADV	_	50	adv	_	_
50	dazu	dazu	P	PROAV	_	51	pp	_	_
51	ume	ume	F	FM	_	48	cj	_	_
52	son	son	F	FM	_	51	app	_	_
53	e	e	F	FM	_	52	app	_	_
54	Benz	Benz	F	FM	_	53	app	_	_
55	!	!	$	$.	_	0	root	_	_
56	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	Barthli	Barthli	N	NE	_	2	cj	46	46
4	,	,	$	$,	_	0	root	46	46
5	wie	wie	K	KOKOM	_	3	par	46	46
6	dumm	dumm	A	ADJD	Pos|	5	cj	46	46
7	,	,	$	$,	_	0	root	46	46
8	aber	aber	K	KON	_	3	kon	46	46
9	Barthli	Barthli	N	NE	_	8	cj	46	46
10	,	,	$	$,	_	0	root	46	46
11	was	was	P	PWS	Neut|_|Sg	12	obja	46	46
12	trägt	tragen	V	VVFIN	3|Sg|Pres|Ind	9	rel	46	46
13	dir	du	P	PPER	2|Sg|_|Dat	12	objd	544	544
14	das	die	A	ART	Def|Neut|Nom|Sg	15	det	122	122
15	Geld	Geld	N	NN	Neut|Nom|Sg	12	subj	122	122
16	unter	unter	P	APPR	Dat	12	pp	_	_
17	dem	die	A	ART	Def|Neut|Dat|Sg	18	det	474	474
18	Bett	Bett	N	NN	Neut|Dat|Sg	16	pn	474	474
19	ab	ab	P	PTKVZ	_	12	avz	_	_
20	!	!	$	$.	_	0	root	_	_

