1	Wer	wer	P	PWS	_|Nom|Sg	2	subj	_	_
2	einem	eine	A	ART	Indef|_|Dat|Sg	3	det	_	_
3	Herrn	Herrn	N	NN	_|Dat|Sg	7	objd	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	2	2
5	Zins	Zins	N	NN	Masc|Nom|Sg	7	subj	2	2
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	eingeht	eingehen	V	VVFIN	3|Sg|Pres|Ind	12	neb	_	_
8	zur	zu	P	APPRART	Dat	7	pp	_	_
9	Stunde	Stunde	N	NN	Fem|Dat|Sg	8	pn	_	_
10	,	,	$	$,	_	0	root	_	_
11	so	so	A	ADV	_	12	adv	_	_
12	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	1	1
14	unwirsch	unwirsch	A	ADJD	Pos|	12	pred	_	_
15	und	und	K	KON	_	12	kon	_	_
16	redet	reden	V	VVFIN	_|_|Pres|_	15	cj	_	_
17	von	von	P	APPR	_	16	pp	_	_
18	bösen	bös	A	ADJA	Pos|Fem|_|Pl|_|	19	attr	_	_
19	Zeiten	Zeit	N	NN	Fem|_|Pl	17	pn	_	_
20	und	und	K	KON	_	19	kon	_	_
21	Abzwacken	Abzwacken	N	NN	Fem|_|Pl	20	cj	_	_
22	in	in	P	APPR	Dat	16	pp	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	24	det	_	_
24	Haushaltung	Haushaltung	N	NN	Fem|Dat|Sg	22	pn	_	_
25	;	;	$	$.	_	0	root	_	_
26	und	und	K	KON	_	0	root	_	_
27	wenn	wenn	K	KOUS	_	35	konj	_	_
28	ein	eine	A	ART	Indef|_|_|Sg	29	det	_	_
29	Apotheker-	Apotheker-	T	TRUNC	Neut|_|Sg	35	subj	_	_
30	oder	oder	K	KON	_	29	kon	_	_
31	Doktorkonto	Doktorkonto	N	NN	Neut|_|Sg	30	cj	_	_
32	über	über	P	APPR	Acc	35	objp	_	_
33	sein	seine	A	PPOSAT	Neut|Acc|Sg	34	det	2	2
34	Budget	Budget	N	NN	Neut|Acc|Sg	32	pn	_	_
35	hinausgeht	hinausgehen	V	VVFIN	_|_|Pres|Ind	47	neb	_	_
36	,	,	$	$,	_	0	root	_	_
37	so	so	A	ADV	_	38	adv	_	_
38	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	35	par	_	_
39	er	er	P	PPER	3|Sg|Masc|Nom	38	subj	2	2
40	eine	eine	A	ART	Indef|Fem|_|Sg	41	det	_	_
41	Mahlzeit	Mahlzeit	N	NN	Fem|_|Sg	38	obja	_	_
42	,	,	$	$,	_	0	root	_	_
43	eine	eine	A	ART	Indef|Fem|_|Sg	44	det	_	_
44	Soiree	Soiree	N	NN	Fem|_|Sg	41	app	_	_
45	weniger	weniger	A	ADV	_	44	adv	_	_
46	,	,	$	$,	_	0	root	_	_
47	kauft	kaufen	V	VVFIN	3|Sg|Pres|Ind	26	cj	_	_
48	sich	sie	P	PRF	3|_|_	47	obja	_	_
49	keine	keine	A	PIAT	Fem|Nom|Sg	51	det	_	_
50	neue	neu	A	ADJA	Pos|Fem|Nom|Sg|_|	51	attr	_	_
51	Kalesche	Kalesche	N	NN	Fem|Nom|Sg	47	subj	_	_
52	.	.	$	$.	_	0	root	_	_

1	Wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	ein	eine	A	ART	Indef|Masc|Nom|Sg	3	det	_	_
3	Kaufmann	Kaufmann	N	NN	Masc|Nom|Sg	1	subj	_	_
4	mit	mit	P	APPR	Dat	8	pp	_	_
5	einer	eine	A	ART	Indef|Fem|Dat|Sg	6	det	_	_
6	Spekulation	Spekulation	N	NN	Fem|Dat|Sg	4	pn	_	_
7	hart	hart	A	ADJD	Pos|	8	adv	_	_
8	geschlagen	schlagen	V	VVPP	_	1	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	wie	wie	P	PWAV	_	17	adv	_	_
11	viele	viele	A	PIDAT	Fem|Nom|Pl	13	det	3	3
12	neue	neu	A	ADJA	Pos|Fem|Nom|Pl|St|	13	attr	3	3
13	Hoffnungen	Hoffnung	N	NN	Fem|Nom|Pl	17	subj	3	3
14	zu	zu	P	APPR	Dat	17	pp	_	_
15	neuen	neu	A	ADJA	Pos|Fem|Dat|Pl|_|	16	attr	_	_
16	Spekulationen	Spekulation	N	NN	Fem|Dat|Pl	14	pn	_	_
17	breiten	breiten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
18	sich	sie	P	PRF	3|_|_	17	obja	_	_
19	nicht	nicht	P	PTKNEG	_	17	adv	_	_
20	vor	vor	P	APPR	Dat	17	pp	_	_
21	ihm	er	P	PPER	3|Sg|_|Dat	20	pn	2	2
22	aus	aus	P	PTKVZ	_	17	avz	_	_
23	!	!	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	2	2
2	versagt	versagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|Dat	2	objd	_	_
4	deswegen	deswegen	P	PROAV	_	2	pp	_	_
5	keine	keine	A	PIAT	Fem|_|Sg	6	det	_	_
6	Ausfahrt	Ausfahrt	N	NN	Fem|_|Sg	2	obja	_	_
7	,	,	$	$,	_	0	root	_	_
8	keine	keine	A	PIAT	Fem|_|Sg	9	det	_	_
9	Badefahrt	Badefahrt	N	NN	Fem|_|Sg	6	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	höchstens	höchstens	A	ADV	_	12	adv	_	_
12	unterschreibt	unterschreiben	V	VVFIN	3|Sg|Pres|Ind	2	kon	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	2	2
14	zu	zu	P	APPR	Dat	12	pp	_	_
15	irgendeinem	irgendeine	A	PIAT	Masc|Dat|Sg	17	det	_	_
16	wohltätigen	wohltätig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	17	attr	_	_
17	Zweck	Zweck	N	NN	Masc|Dat|Sg	14	pn	_	_
18	einige	einige	A	PIAT	_|_|Pl	19	det	_	_
19	Franken	Franke	N	NN	_|_|Pl	12	obja	_	_
20	weniger	weniger	A	ADV	_	12	adv	_	_
21	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	3	3
2	wissen	wissen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	P	PWAV	_	9	adv	_	_
6	diesem	diese	A	PDAT	_|Dat|Sg	8	det	0	0
7	armen	arm	A	ADJA	Pos|_|Dat|Sg|Wk|	8	attr	0	0
8	Mannli	Mannli	N	NN	_|Dat|Sg	9	objd	0	0
9	zumute	zumute	V	VVPP	_	10	aux	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	objc	_	_
11	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	vielleicht	vielleicht	A	ADV	_	2	adv	_	_
4	eine	eine	A	ART	Indef|Fem|Nom|Sg	6	det	_	_
5	einzige	einzig	A	ADJA	Pos|Fem|Nom|Sg|_|	6	attr	_	_
6	Art	Art	N	NN	Fem|Nom|Sg	2	pred	_	_
7	von	von	P	APPR	_	6	pp	_	_
8	Herren	Herr	N	NN	Masc|_|Pl	7	pn	4	4
9	,	,	$	$,	_	0	root	4	4
10	die	die	P	PRELS	Masc|Nom|Pl	16	subj	4	4
11	das	die	A	ART	Def|Neut|_|Sg	12	det	5	5
12	Mannli	Mannli	N	NN	Neut|_|Sg	15	obja	5	5
13	in	in	P	APPR	_	15	pp	_	_
14	etwas	etwas	P	PIS	_|_|_	13	pn	_	_
15	begreifen	begreifen	V	VVINF	_	16	aux	_	_
16	können	können	V	VMFIN	3|Pl|Pres|_	8	rel	_	_
17	.	.	$	$.	_	0	root	_	_

1	Die	die	P	PDS	_|Nom|Pl	2	subj	_	_
2	stehen	stehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	freilich	freilich	A	ADV	_	2	adv	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	am	an	P	APPRART	Dat	2	pp	_	_
6	Bache	Bach	N	NN	_|Dat|Sg	5	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	schmutziges	schmutzig	A	ADJA	Pos|Neut|_|Sg|St|	9	attr	_	_
9	Korn	Korn	N	NN	Neut|_|Sg	11	obja	_	_
10	zu	zu	P	PTKZU	_	11	part	_	_
11	waschen	waschen	V	VVINF	_	6	obji	_	_
12	,	,	$	$,	_	0	root	_	_
13	aber	aber	K	KON	_	2	kon	_	_
14	sie	sie	P	PPER	3|Pl|_|Nom	15	subj	3	3
15	sitzen	sitzen	V	VVFIN	3|Pl|Pres|_	13	cj	_	_
16	am	an	P	APPRART	Dat	15	pp	_	_
17	Bureau	Bureau	N	NN	Neut|Dat|Sg	16	pn	_	_
18	und	und	K	KON	_	15	kon	_	_
19	erlesen	erlesen	V	VVFIN	_|Pl|Pres|_	18	cj	_	_
20	Kontos	Konto	N	NN	Neut|_|_	19	obja	_	_
21	,	,	$	$,	_	0	root	_	_
22	rechnen	rechnen	V	VVFIN	_|Pl|Pres|_	19	kon	_	_
23	zusammen	zusammen	P	PTKVZ	_	22	avz	_	_
24	,	,	$	$,	_	0	root	_	_
25	rechnen	rechnen	V	VVFIN	_|Pl|Pres|_	22	kon	_	_
26	wieder	wieder	A	ADV	_	25	adv	_	_
27	zusammen	zusammen	P	PTKVZ	_	25	avz	_	_
28	;	;	$	$.	_	0	root	_	_
29	aber	aber	K	KON	_	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	wie	wie	P	PWAV	_	34	adv	_	_
32	sie	sie	P	PPER	3|Pl|_|Nom	35	subj	3	3
33	auch	auch	A	ADV	_	34	adv	_	_
34	rechnen	rechnen	V	VVINF	_	35	aux	_	_
35	mögen	mögen	V	VMFIN	3|Pl|Pres|_	29	cj	_	_
36	,	,	$	$,	_	0	root	_	_
37	sie	sie	P	PPER	3|Pl|_|Nom	38	subj	3	3
38	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
39	in	in	P	APPR	Dat	38	pp	_	_
40	diesem	diese	A	PDAT	Neut|Dat|Sg	41	det	6	6
41	Jahre	Jahr	N	NN	Neut|Dat|Sg	39	pn	6	6
42	wieder	wieder	A	ADV	_	38	adv	_	_
43	ärmer	arm	A	ADJD	Comp|	38	pred	_	_
44	,	,	$	$,	_	0	root	_	_
45	der	die	A	ART	Def|Neut|Gen|Pl	47	det	_	_
46	unbezahlten	unbezahlt	A	ADJA	Pos|Neut|Gen|Pl|Wk|	47	attr	_	_
47	Kontos	Konto	N	NN	Neut|Gen|Pl	0	root	_	_
48	mehr	mehr	A	ADV	_	47	adv	_	_
49	geworden	werden	V	VAPP	_	0	root	_	_
50	,	,	$	$,	_	0	root	_	_
51	wieder	wieder	A	ADV	_	53	adv	_	_
52	ein	eine	A	ART	Indef|Neut|Nom|Sg	53	det	_	_
53	Kapital	Kapital	N	NN	Neut|Nom|Sg	54	subj	_	_
54	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
55	aufgezehrt	aufzehren	V	VVPP	_	54	aux	_	_
56	,	,	$	$,	_	0	root	_	_
57	wieder	wieder	A	ADV	_	59	adv	_	_
58	die	die	A	ART	Def|Fem|_|Sg	59	det	_	_
59	Einnahme	Einnahme	N	NN	Fem|_|Sg	0	root	_	_
60	kleiner	klein	A	ADJD	Comp|	0	root	_	_
61	,	,	$	$,	_	0	root	_	_
62	und	und	K	KON	_	0	root	_	_
63	die	die	A	ART	Def|Fem|Nom|Pl	64	det	8	8
64	Ausgaben	Ausgabe	N	NN	Fem|Nom|Pl	65	subj	8	8
65	wollen	wollen	V	VMFIN	3|Pl|Pres|_	62	cj	_	_
66	nicht	nicht	P	PTKNEG	_	67	adv	_	_
67	abnehmen	abnehmen	V	VVINF	_	65	aux	_	_
68	,	,	$	$,	_	0	root	_	_
69	wollen	wollen	V	VMFIN	_|Pl|Pres|_	65	kon	_	_
70	kein	keine	A	PIAT	Neut|_|Sg	71	det	_	_
71	Ende	Ende	N	NN	Neut|_|Sg	72	obja	_	_
72	nehmen	nehmen	V	VVINF	_	69	aux	_	_
73	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	3	det	7	7
2	solcher	solche	A	PIDAT	Masc|Nom|Sg	3	attr	7	7
3	Herr	Herr	N	NN	Masc|Nom|Sg	4	subj	7	7
4	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	0	root	_	_
7	in	in	P	APPR	Dat	10	pp	_	_
8	diesem	diese	A	PDAT	Neut|Dat|Sg	9	det	6	6
9	Jahre	Jahr	N	NN	Neut|Dat|Sg	7	pn	6	6
10	es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
11	wieder	wieder	A	ADV	_	13	adv	_	_
12	mehr	mehr	A	ADV	_	13	adv	_	_
13	zurückgegangen	zurückgehen	V	VVPP	_	0	root	_	_
14	als	als	K	KOKOM	_	0	root	_	_
15	im	in	P	APPRART	Dat	14	cj	_	_
16	vorigen	vorig	A	ADJA	Pos|_|Dat|_|_|	15	pn	_	_
17	;	;	$	$.	_	0	root	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	0	root	7	7
19	sinnet	sinnen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	wo	wo	P	PWAV	_	0	root	_	_
22	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
23	wohl	wohl	A	ADV	_	24	adv	_	_
24	hinaussolle	hinaussollen	V	VVFIN	_|Sg|Pres|Subj	0	root	_	_
25	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	10	10
2	arme	arm	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	10	10
3	Herr	Herr	N	NN	Masc|Nom|Sg	4	subj	10	10
4	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	keinen	keine	A	PIAT	Masc|Acc|Sg	6	det	_	_
6	Ausweg	Ausweg	N	NN	Masc|Acc|Sg	4	obja	_	_
7	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	8	8
2	leben	leben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	bereits	bereits	A	ADV	_	2	adv	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	schlecht	schlecht	A	ADJD	Pos|	2	adv	_	_
6	als	als	K	KOKOM	_	2	kom	_	_
7	möglich	möglich	A	ADJD	Pos|	6	cj	_	_
8	;	;	$	$.	_	0	root	_	_
9	wenn	wenn	K	KOUS	_	12	konj	_	_
10	es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
11	niemand	niemand	P	PIS	_	12	obja	_	_
12	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	14	neb	_	_
13	,	,	$	$,	_	0	root	_	_
14	nehmen	nehmen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
15	sie	sie	P	PPER	3|Pl|_|Nom	14	subj	8	8
16	für	für	P	APPR	Acc	14	pp	_	_
17	acht	acht	C	CARD	_	18	attr	_	_
18	Personen	Person	N	NN	Fem|Acc|Pl	16	pn	_	_
19	zwei	zwei	C	CARD	_	18	app	_	_
20	und	und	K	KON	_	18	kon	_	_
21	ein	eine	A	ART	Indef|Neut|Acc|Sg	23	det	_	_
22	halb	halb	A	ADJD	Pos|	23	adv	_	_
23	Pfund	Pfund	N	NN	Neut|Acc|Sg	20	cj	_	_
24	Rindfleisch	Rindfleisch	N	NN	Neut|_|Sg	14	obja	_	_
25	und	und	K	KON	_	0	root	_	_
26	ein	eine	A	ART	Indef|_|_|Sg	25	cj	_	_
27	halb	halb	A	ADJD	Pos|	0	root	_	_
28	Schöppli	Schöppli	F	FM	_	0	root	_	_
29	vierbatzige	vierbatzige	F	FM	_	28	app	_	_
30	Nidle	Nidle	F	FM	_	29	app	_	_
31	per	per	P	APPR	Dat	30	pp	_	_
32	Mal	Mal	N	NN	Neut|Dat|Sg	31	pn	_	_
33	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	Aufwand	Aufwand	N	NN	Masc|_|Sg	9	obja	_	_
3	vor	vor	P	APPR	Dat	2	pp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	_	_
5	Welt	Welt	N	NN	Fem|Dat|Sg	3	pn	_	_
6	müssen	müssen	V	VMFIN	3|Pl|Pres|_	1	cj	_	_
7	sie	sie	P	PPER	3|Pl|_|Nom	6	subj	8	8
8	doch	doch	A	ADV	_	9	adv	_	_
9	machen	machen	V	VVINF	_	6	aux	_	_
10	um	um	K	KOUI	_	0	root	_	_
11	der	die	A	ART	Def|Neut|Gen|Pl	12	det	_	_
12	Kinder	Kind	N	NN	Neut|Gen|Pl	0	root	_	_
13	willen	willen	A	APZR	_	0	root	_	_
14	;	;	$	$.	_	0	root	_	_
15	der	die	A	ART	Def|Fem|Dat|Sg	16	det	_	_
16	Frau	Frau	N	NN	Fem|Dat|Sg	17	objd	_	_
17	darf	dürfen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
18	die	die	A	ART	Def|Fem|Nom|Sg	19	det	9	9
19	Toilette	Toilette	N	NN	Fem|Nom|Sg	21	subj	9	9
20	nicht	nicht	P	PTKNEG	_	21	adv	_	_
21	geschmälert	schmälern	V	VVPP	_	24	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	verständiger	verständig	A	ADJD	Comp|	24	adv	_	_
24	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
25	sie	sie	P	PPER	3|Sg|Fem|Nom	24	subj	9	9
26	nicht	nicht	P	PTKNEG	_	27	adv	_	_
27	gemacht	machen	V	VVPP	_	28	aux	_	_
28	werden	werden	V	VAINF	_	24	aux	_	_
29	,	,	$	$,	_	0	root	_	_
30	und	und	K	KON	_	24	kon	_	_
31	auch	auch	A	ADV	_	32	adv	_	_
32	er	er	P	PPER	3|Sg|Masc|Nom	33	subj	10	10
33	hat	haben	V	VAFIN	3|Sg|Pres|Ind	30	cj	_	_
34	nicht	nicht	P	PTKNEG	_	33	adv	_	_
35	die	die	A	ART	Def|Fem|_|Sg	36	det	11	11
36	Kraft	Kraft	N	NN	Fem|_|Sg	33	obja	11	11
37	,	,	$	$,	_	0	root	_	_
38	sich	sie	P	PRF	3|_|Dat	43	objd	_	_
39	dieses	diese	P	PDS	_|_|Sg	43	obja	_	_
40	oder	oder	K	KON	_	39	kon	_	_
41	jenes	jene	P	PDS	_|_|Sg	40	cj	_	_
42	zu	zu	P	PTKZU	_	43	part	_	_
43	versagen	versagen	V	VVINF	_	33	obji	_	_
44	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	12	expl	_	_
2	fühlt	fühlen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	5	det	10	10
4	arme	arm	A	ADJA	Pos|Masc|Nom|Sg|Wk|	5	attr	10	10
5	Herr	Herr	N	NN	Masc|Nom|Sg	2	pred	10	10
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	12	adv	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	10	10
9	tiefer	tief	A	ADJD	Comp|	12	adv	_	_
10	und	und	K	KON	_	9	kon	_	_
11	tiefer	tief	A	ADJD	Comp|	10	cj	_	_
12	rutscht	rutschen	V	VVFIN	3|Sg|Pres|Ind	2	subjc	_	_
13	einem	eine	A	ART	Indef|Masc|Dat|Sg	15	det	_	_
14	bösen	bös	A	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	_	_
15	Ausgang	Ausgang	N	NN	Masc|Dat|Sg	12	objd	_	_
16	zu	zu	P	PTKVZ	_	12	avz	_	_
17	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	10	10
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	5	obja	_	_
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	zurückhalten	zurückhalten	V	VVINF	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	14	adv	_	_
8	wenig	wenig	A	ADV	_	14	adv	_	_
9	als	als	K	KOKOM	_	8	kom	_	_
10	ein	eine	A	ART	Indef|Masc|Nom|Sg	11	det	_	_
11	Bube	Bube	N	NN	Masc|Nom|Sg	9	cj	_	_
12	den	die	A	ART	Def|Masc|_|_	14	det	_	_
13	fliegenden	fliegend	A	ADJA	Pos|Masc|_|_|_|<PPRES	14	attr	_	_
14	Schlitten	Schlitten	N	NN	Masc|_|_	0	root	_	_
15	an	an	P	APPR	Dat	14	pp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	20	det	_	_
17	mit	mit	P	APPR	Dat	19	pp	_	_
18	Eis	Eis	N	NN	Neut|Dat|_	17	pn	_	_
19	belegten	belegt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	20	attr	_	_
20	Schütti	Schütti	N	NN	Fem|Dat|Sg	15	pn	_	_
21	;	;	$	$.	_	0	root	_	_
22	da	da	A	ADV	_	23	adv	_	_
23	macht	machen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
24	er	er	P	PPER	3|Sg|Masc|Nom	23	subj	10	10
25	es	es	P	PPER	3|Sg|Neut|_	23	obja	_	_
26	wie	wie	K	KOKOM	_	23	kom	_	_
27	der	die	A	ART	Def|Masc|Nom|Sg	28	det	_	_
28	Bube	Bube	N	NN	Masc|Nom|Sg	26	cj	_	_
29	,	,	$	$,	_	0	root	_	_
30	er	er	P	PPER	3|Sg|Masc|Nom	31	subj	10	10
31	macht	machen	V	VVFIN	3|Sg|Pres|Ind	23	kon	_	_
32	die	die	A	ART	Def|Neut|_|Pl	33	det	_	_
33	Augen	Auge	N	NN	Neut|_|Pl	31	obja	_	_
34	zu	zu	P	PTKVZ	_	31	avz	_	_
35	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	10	10
2	tut	tun	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	4	det	_	_
4	Bureau	Bureau	N	NN	Neut|_|Sg	2	obja	_	_
5	zu	zu	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	zieht	zeihen	V	VVFIN	_|_|_|Ind	2	kon	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	10	det	_	_
9	unbezahlten	unbezahlt	A	ADJA	Pos|Masc|Acc|Sg|_|	10	attr	_	_
10	Rock	Rock	N	NN	Masc|Acc|Sg	7	obja	_	_
11	an	an	P	PTKVZ	_	7	avz	_	_
12	,	,	$	$,	_	0	root	_	_
13	stäubt	stäuben	V	VVFIN	_|_|Pres|Ind	7	kon	_	_
14	noch	noch	A	ADV	_	13	adv	_	_
