1	Begreiflich	Begreiflich	N	NE	_|Dat|_	2	objd	277	277
39	geringste	gering	A	ADJA	Sup|Fem|_|Sg|_|	40	attr	_	_
40	Veränderung	Veränderung	N	NN	Fem|_|Sg	41	obja	_	_
41	wahrnehmen	wahrnehmen	V	VVFIN	_	0	root	_	_
42	,	,	$	$,	_	0	root	_	_
43	als	als	K	KOKOM	_	48	kom	_	_
44	ein	eine	A	ART	Indef|Neut|_|Sg	46	det	_	_
45	günstig	günstig	A	ADJD	Pos|	46	adv	_	_
46	Regenzeichen	Regenzeichen	N	NN	Neut|_|Sg	43	cj	_	_
47	sie	sie	P	PPER	3|Pl|_|Nom	48	subj	502	502
48	deuten	deuten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
49	,	,	$	$,	_	0	root	_	_
50	so	so	A	ADV	_	51	adv	_	_
51	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
52	es	es	P	PPER	3|Sg|Neut|Nom	51	subj	_	_
53	eben	eben	A	ADV	_	51	adv	_	_
54	die	die	A	ART	Def|Fem|_|Sg	56	det	_	_
55	gierige	gierig	A	ADJA	Pos|Fem|_|Sg|_|	56	attr	_	_
56	Basenschaft	Basenschaft	N	NN	Fem|_|Sg	51	obja	_	_
57	mit	mit	P	APPR	Dat	51	pp	_	_
58	dem	die	A	ART	Def|_|Dat|Sg	60	det	56	56
59	alten	alt	A	ADJA	Pos|_|Dat|Sg|Wk|	60	attr	56	56
60	Kirchmeier	Kirchmeier	N	NN	_|Dat|Sg	57	pn	56	56
61	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	503	503
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	lange	lange	A	ADJD	_	4	adv	_	_
4	gespäht	spähen	V	VVPP	_	2	aux	_	_
5	in	in	P	APPR	Dat	4	pp	_	_
6	seinem	seine	A	PPOSAT	Neut|Dat|Sg	7	det	504	504
7	Gesichte	Gesicht	N	NN	Neut|Dat|Sg	5	pn	_	_
8	nach	nach	P	APPR	Dat	4	pp	_	_
9	einem	eine	A	ART	Indef|Neut|Dat|Sg	10	det	_	_
10	Zeichen	Zeichen	N	NN	Neut|Dat|Sg	8	pn	_	_
11	des	die	A	ART	Def|Masc|Gen|Sg	13	det	597	597
12	nahenden	nahend	A	ADJA	Pos|Masc|Gen|Sg|_|<PPRES	13	attr	597	597
13	Todes	Tod	N	NN	Masc|Gen|Sg	10	gmod	597	597
14	und	und	K	KON	_	2	kon	_	_
15	umsonst	umsonst	A	ADV	_	32	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	15	kon	_	_
18	jetzt	jetzt	A	ADV	_	17	cj	_	_
19	,	,	$	$,	_	0	root	_	_
20	als	als	K	KOUS	_	24	konj	_	_
21	die	die	A	ART	Def|_|_|_	22	det	505	505
22	Runzeln	Runzeln	N	NN	_|Nom|Pl	24	subj	505	505
23	sich	sie	P	PRF	3|_|_	24	obja	_	_
24	mehrten	mehren	V	VVFIN	3|Pl|Past|_	32	neb	_	_
25	im	in	P	APPRART	Dat	24	pp	_	_
26	Gesichte	Gesicht	N	NN	Neut|Dat|Sg	25	pn	327	327
27	,	,	$	$,	_	0	root	_	_
28	die	die	A	ART	Def|Neut|Nom|Pl	29	det	75	75
29	Beine	Bein	N	NN	Neut|Nom|Pl	32	subj	75	75
30	die	die	A	ART	Def|Masc|_|Pl	31	det	_	_
31	Schritte	Schritt	N	NN	Masc|_|Pl	32	obja	_	_
32	kürzten	kürzen	V	VVFIN	3|Pl|Past|_	14	cj	_	_
33	,	,	$	$,	_	0	root	_	_
34	so	so	A	ADV	_	42	adv	_	_
35	lang	lang	A	ADJD	Pos|	42	adv	_	_
36	und	und	K	KON	_	35	kon	_	_
37	weit	weit	A	ADJD	Pos|	36	cj	_	_
38	am	an	P	APPRART	Dat	42	objp	_	_
39	Rücken	Rücken	N	NN	_|Dat|_	38	pn	_	_
40	die	die	A	ART	Def|Fem|Nom|Sg	41	det	_	_
41	Kutte	Kutte	N	NN	Fem|Nom|Sg	42	subj	_	_
42	hing	hängen	V	VVFIN	3|Sg|Past|Ind	32	par	_	_
43	,	,	$	$,	_	0	root	_	_
44	da	da	A	ADV	_	32	adv	_	_
45	gingen	gehen	V	VVFIN	3|Pl|Past|_	0	root	_	_
46	die	die	A	ART	Def|Neut|Nom|Pl	47	det	_	_
47	Hallelujas	Halleluja	N	NN	Neut|Nom|Pl	45	subj	_	_
48	an	an	P	PTKVZ	_	45	avz	_	_
49	,	,	$	$,	_	0	root	_	_
50	doch	doch	K	KON	_	0	root	_	_
51	begreiflich	begreiflich	N	NE	_	0	root	885	885
52	nur	nur	A	ADV	_	53	adv	885	885
53	im	in	P	APPRART	Dat	51	pp	885	885
54	stillen	still	A	ADJA	Pos|_|Dat|_|_|	53	pn	885	885
55	und	und	K	KON	_	53	kon	_	_
56	im	in	P	APPRART	Dat	55	cj	_	_
57	Herzen	Herzen	N	NN	Neut|Dat|Sg	56	pn	539	539
58	;	;	$	$.	_	0	root	_	_
59	äußerlich	äußerlich	A	ADJD	_	60	adv	_	_
60	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
61	eine	eine	A	ART	Indef|Fem|Nom|Sg	63	det	508	508
62	schreckliche	schrecklich	A	ADJA	Pos|Fem|Nom|Sg|_|	63	attr	508	508
63	Teilnahme	Teilnahme	N	NN	Fem|Nom|Sg	60	subj	508	508
64	zutage	zutage	A	ADV	_	60	adv	_	_
65	,	,	$	$,	_	0	root	_	_
66	und	und	K	KON	_	60	kon	_	_
67	ein	eine	A	ART	Indef|Neut|Nom|Sg	69	det	_	_
68	jämmerlich	jämmerlich	A	ADJA	_|Neut|Nom|Sg|_	69	attr	_	_
69	Wehklagen	Wehklage	N	NN	Neut|Nom|Sg	70	subj	_	_
70	begann	beginnen	V	VVFIN	3|Sg|Past|Ind	66	cj	_	_
71	.	.	$	$.	_	0	root	_	_

1	Im	in	P	APPRART	Dat	3	pp	_	_
2	Nidleboden	Nidleboden	N	NN	_|Dat|_	1	pn	96	96
3	ward	ward	V	VAFIN	3|Sg|_|_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	lebendig	lebendig	A	ADJD	Pos|	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	noch	noch	A	ADV	_	9	adv	_	_
8	ganz	ganz	A	ADV	_	9	adv	_	_
9	anders	anders	A	ADV	_	5	kon	_	_
10	als	als	K	KOKOM	_	3	kom	_	_
11	sonst	sonst	A	ADV	_	10	cj	_	_
12	:	\:	$	$.	_	0	root	_	_
13	wie	wie	K	KOKOM	_	15	kom	_	_
14	geschneit	geschneit	A	ADJD	Pos|	13	cj	_	_
15	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
16	sie	sie	P	PPER	3|Pl|_|Nom	15	subj	96	96
17	gelaufen	laufen	V	VVPP	_	15	neb	_	_
18	und	und	K	KON	_	17	kon	_	_
19	gefahren	fahren	V	VVPP	_	18	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	und	und	K	KON	_	19	kon	_	_
22	alle	alle	P	PIS	_|_|_	26	obja	_	_
23	mit	mit	P	APPR	Dat	26	pp	_	_
24	Gesichtern	Gesicht	N	NN	_|Dat|_	23	pn	506	506
25	traurig	traurig	A	ADJD	Pos|	26	adv	_	_
26	angestrichen	anstreichen	V	VVPP	_	21	cj	_	_
27	,	,	$	$,	_	0	root	_	_
28	mit	mit	P	APPR	Dat	19	pp	_	_
29	Mäulern	Maul	N	NN	_|Dat|Pl	28	pn	_	_
30	voll	voll	P	APPR	_	29	pp	_	_
31	Teilnahme	Teilnahme	N	NN	Fem|_|Sg	30	pn	_	_
32	und	und	K	KON	_	31	kon	_	_
33	Schrecken	Schreck	N	NN	_|_|_	32	cj	_	_
34	und	und	K	KON	_	33	kon	_	_
35	glänzenden	glänzend	A	ADJA	Pos|Neut|_|Pl|_|_	36	attr	_	_
36	Augen	Auge	N	NN	Neut|_|Pl	34	cj	_	_
37	,	,	$	$,	_	0	root	_	_
38	welche	welche	A	PWAT	_|_|_	0	root	_	_
39	emsig	emsig	A	ADJD	Pos|	42	adv	_	_
40	die	die	A	ART	Def|_|_|_	41	det	505	505
41	Runzeln	Runzeln	N	NN	_|Nom|Pl	42	subj	505	505
42	zählten	zählen	V	VVFIN	3|Pl|Past|_	0	root	_	_
43	und	und	K	KON	_	42	kon	_	_
44	maßen	maßen	V	VVFIN	_|Pl|_|_	43	cj	_	_
45	,	,	$	$,	_	0	root	_	_
46	um	um	K	KOUI	_	48	konj	_	_
47	zu	zu	P	PTKZU	_	48	part	_	_
48	wissen	wissen	V	VVINF	_	44	neb	_	_
49	,	,	$	$,	_	0	root	_	_
50	wie	wie	P	PWAV	_	0	root	_	_
51	sie	sie	P	PPER	3|_|_|Nom	52	subj	505	505
52	gewachsen	wachsen	V	VVPP	_	0	root	_	_
53	,	,	$	$,	_	0	root	_	_
54	wie	wie	P	PWAV	_	0	root	_	_
55	sie	sie	P	PPER	3|_|_|_	0	root	505	505
56	sich	sie	P	PRF	3|_|_	0	root	_	_
57	gemehret	gemehret	N	NE	_	0	root	_	_
58	.	.	$	$.	_	0	root	_	_

1	Alle	alle	P	PIS	_|_|_	2	adv	_	_
2	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	96	96
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	P	PWAV	_	11	adv	_	_
6	sie	sie	P	PPER	3|Pl|_|Nom	11	subj	96	96
7	dem	die	A	ART	Def|_|Dat|Sg	8	det	56	56
8	Kirchmeier	Kirchmeier	N	NN	_|Dat|Sg	11	objd	56	56
9	es	es	P	PPER	3|Sg|Neut|_	11	obja	_	_
10	selbsten	selbsten	A	ADJD	_	11	adv	_	_
11	sagten	sagen	V	VVFIN	3|Pl|Past|_	13	objc	_	_
12	,	,	$	$,	_	0	root	_	_
13	vernommen	vernehmen	V	VVPP	_	2	aux	_	_
14	,	,	$	$,	_	0	root	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	0	root	506	506
16	schlechte	schlecht	A	ADJA	Pos|_|_|_|_|	0	root	_	_
17	sehr	sehr	A	ADV	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	nehme	nehmen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
20	alle	alle	A	PIDAT	Masc|_|Pl	21	det	_	_
21	Tage	Tag	N	NN	Masc|_|Pl	19	obja	_	_
22	ab	ab	P	PTKVZ	_	19	avz	_	_
23	,	,	$	$,	_	0	root	_	_
24	würde	werden	V	VAFIN	_|Sg|Past|Subj	19	kon	_	_
25	nicht	nicht	P	PTKNEG	_	28	adv	_	_
26	mehr	mehr	A	ADV	_	25	adv	_	_
27	lange	lange	A	ADJD	_	28	adv	_	_
28	herumlaufen	herumlaufen	V	VVINF	_	24	aux	_	_
29	;	;	$	$.	_	0	root	_	_
30	es	es	P	PPER	3|Sg|Neut|_	41	expl	_	_
31	werde	werden	V	VAFIN	_|Sg|Pres|_	0	root	_	_
32	dem	die	A	ART	Def|Masc|Dat|Sg	34	det	74	74
33	lieben	lieb	A	ADJA	Pos|Masc|Dat|Sg|Wk|	34	attr	74	74
34	Vetter	Vetter	N	NN	Masc|Dat|Sg	35	objd	74	74
35	gehen	gehen	V	VVINF	_	31	aux	_	_
36	,	,	$	$,	_	0	root	_	_
37	wie	wie	P	PWAV	_	41	pred	_	_
38	es	es	P	PPER	3|Sg|Neut|Nom	41	subj	_	_
39	im	in	P	APPRART	Dat	41	pp	_	_
40	Sprichwort	Sprichwort	N	NN	Neut|Dat|Sg	39	pn	517	517
41	heiße	heißen	V	VVFIN	3|Sg|Pres|Subj	31	subjc	_	_
42	:	\:	$	$.	_	0	root	_	_
43	Was	was	P	PWS	Neut|Nom|Sg	47	subj	_	_
44	der	die	A	ART	Def|_|Gen|_	45	det	_	_
45	März	März	N	NN	_|Gen|_	43	gmod	_	_
46	nicht	nicht	P	PTKNEG	_	47	adv	_	_
47	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
48	,	,	$	$,	_	0	root	_	_
49	das	die	P	PDS	Neut|_|Sg	50	obja	_	_
50	nimmt	nehmen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
51	der	die	A	ART	Def|Masc|Nom|Sg	52	det	507	507
52	April	April	N	NN	Masc|Nom|Sg	50	subj	507	507
53	!	!	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	507	507
2	könne	können	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	4	adv	_	_
4	glauben	glauben	V	VVINF	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	wie	wie	P	PWAV	_	0	root	_	_
7	das	die	P	PDS	Neut|_|Sg	0	root	_	_
8	sie	sie	P	PPER	3|_|_|_	0	root	96	96
9	gemüht	gemüht	A	ADJD	_	0	root	_	_
10	und	und	K	KON	_	0	root	_	_
11	gedauert	dauern	V	VVPP	_	10	cj	_	_
12	,	,	$	$,	_	0	root	_	_
13	sie	sie	P	PPER	3|Pl|_|Nom	18	subj	96	96
14	und	und	K	KON	_	13	kon	_	_
15	die	die	A	ART	Def|Fem|Nom|Sg	17	det	_	_
16	ganze	ganz	A	ADJA	Pos|Fem|Nom|Sg|_|	17	attr	_	_
17	Familie	Familie	N	NN	Fem|Nom|Sg	14	cj	_	_
18	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
19	geweint	weinen	V	VVPP	_	18	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	es	es	P	PPER	3|Sg|Neut|Nom	22	subj	_	_
22	hätte	haben	V	VAFIN	3|Sg|Past|Subj	18	kon	_	_
23	sie	sie	P	PPER	3|Sg|Fem|Nom	24	subj	508	508
24	dünkt	dünken	V	VVFIN	3|Sg|Pres|Ind	22	s	_	_
25	,	,	$	$,	_	0	root	_	_
26	sie	sie	P	PPER	3|Pl|_|Nom	27	subj	96	96
27	sollten	sollen	V	VMFIN	3|Pl|Past|_	24	kon	_	_
28	ganz	ganz	A	ADV	_	29	adv	_	_
29	zu	zu	P	APPR	Dat	31	pp	_	_
30	Wasser	Wasser	N	NN	Neut|Dat|Sg	29	pn	509	509
31	werden	werden	V	VAINF	_	27	aux	_	_
32	,	,	$	$,	_	0	root	_	_
33	und	und	K	KON	_	22	kon	_	_
34	da	da	A	ADV	_	35	adv	_	_
35	hätten	haben	V	VAFIN	3|Pl|Past|Subj	33	cj	_	_
36	sie	sie	P	PPER	3|Pl|_|Nom	35	subj	96	96
37	gedacht	denken	V	VVPP	_	35	aux	_	_
38	,	,	$	$,	_	0	root	_	_
39	sie	sie	P	PPER	3|Pl|_|Nom	40	subj	96	96
40	müßten	müssen	V	VMFIN	3|Pl|Past|Subj	37	s	_	_
41	doch	doch	A	ADV	_	43	adv	_	_
42	selbst	selbst	A	ADV	_	43	adv	_	_
43	kommen	kommen	V	VVINF	_	40	aux	_	_
44	und	und	K	KON	_	43	kon	_	_
45	sehen	sehen	V	VVINF	_	44	cj	_	_
46	,	,	$	$,	_	0	root	_	_
47	wie	wie	P	PWAV	_	51	pred	_	_
48	es	es	P	PPER	3|Sg|Neut|Nom	51	subj	_	_
49	dem	die	A	ART	Def|Masc|Dat|Sg	50	det	74	74
50	Vetter	Vetter	N	NN	Masc|Dat|Sg	51	objd	74	74
51	gehe	gehen	V	VVFIN	3|Sg|Pres|Subj	43	objc	_	_
52	.	.	$	$.	_	0	root	_	_

1	Hier	hier	A	ADV	_	2	adv	_	_
2	schieden	scheiden	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	die	die	A	ART	Def|_|Nom|Pl	5	det	510	510
5	Besuchenden	Besuchende	N	NN	_|Nom|Pl	2	subj	510	510
6	nach	nach	P	APPR	Dat	2	pp	_	_
7	dem	die	A	ART	Def|_|Dat|Sg	8	det	_	_
8	Grade	Grad	N	NN	_|Dat|Sg	6	pn	_	_
9	ihrer	ihre	A	PPOSAT	Fem|Gen|Sg	10	det	510	510
10	Bildung	Bildung	N	NN	Fem|Gen|Sg	8	gmod	_	_
11	in	in	P	APPR	Acc	2	pp	_	_
12	zwei	zwei	C	CARD	_	14	attr	_	_
13	große	groß	A	ADJA	Pos|_|Acc|Pl|St|	14	attr	_	_
14	Hauptklassen	Hauptklasse	N	NN	_|Acc|Pl	11	pn	_	_
15	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|_|_	2	det	_	_
2	erste	erst	A	ADJA	_|_|_	8	subj	_	_
3	,	,	$	$,	_	0	root	_	_
4	die	die	A	ART	Def|_|_|_	6	det	_	_
5	gebildetere	gebildet	A	ADJA	Comp|_|_|_|_|	6	attr	_	_
6	Klasse	Klasse	N	NN	_|_|_	2	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	drückte	drücken	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	sich	sie	P	PRF	3|_|_	8	obja	_	_
10	ungefähr	ungefähr	A	ADJD	Pos|	8	adv	_	_
11	so	so	A	ADV	_	8	adv	_	_
12	aus	aus	P	PTKVZ	_	8	avz	_	_
13	:	\:	$	$.	_	0	root	_	_
14	das	die	P	PDS	Neut|Nom|Sg	15	subj	_	_
15	gehe	gehen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
16	nicht	nicht	P	PTKNEG	_	15	adv	_	_
17	halb	halb	A	ADJD	Pos|	15	adv	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	übel	übel	A	ADJD	Pos|	15	adv	_	_
20	,	,	$	$,	_	0	root	_	_
21	als	als	K	KOUS	_	0	root	_	_
22	sie	sie	P	PPER	3|_|_|Nom	23	subj	510	510
23	gedacht	denken	V	VVPP	_	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	sie	sie	P	PPER	3|Pl|_|Nom	26	subj	510	510
26	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
27	sich	sie	P	PRF	3|_|Dat	33	objd	_	_
28	den	die	A	ART	Def|Masc|Acc|Sg	30	det	74	74
29	lieben	lieb	A	ADJA	Pos|Masc|Acc|Sg|_|	30	attr	74	74
30	Vetter	Vetter	N	NN	Masc|Acc|Sg	33	obja	74	74
31	viel	viel	A	ADV	_	32	adv	_	_
32	kränker	krank	A	ADJD	Comp|	33	adv	_	_
33	vorgestellt	vorstellen	V	VVPP	_	26	aux	_	_
34	,	,	$	$,	_	0	root	_	_
35	er	er	P	PPER	3|Sg|Masc|Nom	36	subj	6	6
36	sehe	sehen	V	VVFIN	3|Sg|Pres|Subj	26	kon	_	_
37	recht	recht	A	ADJD	Pos|	38	adv	_	_
38	ordentlich	ordentlich	A	ADJD	Pos|	36	pred	_	_
39	aus	aus	P	PTKVZ	_	36	avz	_	_
40	;	;	$	$.	_	0	root	_	_
41	wenn	wenn	K	KOUS	_	44	konj	_	_
42	der	die	A	ART	Def|Masc|Nom|Sg	43	det	_	_
43	Frühling	Frühling	N	NN	Masc|Nom|Sg	44	subj	_	_
44	komme	kommen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
45	und	und	K	KON	_	0	root	_	_
46	die	die	A	ART	Def|Fem|_|Sg	47	det	511	511
47	Sonne	Sonne	N	NN	Fem|_|Sg	45	cj	511	511
48	,	,	$	$,	_	0	root	_	_
49	so	so	A	ADV	_	50	adv	_	_
50	werde	werden	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
51	das	die	P	PDS	Neut|Nom|Sg	50	subj	_	_
52	schon	schon	A	ADV	_	50	adv	_	_
53	besser	gut	A	ADJD	Comp|	50	pred	_	_
54	werden	werden	V	VAINF	_	0	root	_	_
55	,	,	$	$,	_	0	root	_	_
56	sie	sie	P	PPER	3|Pl|_|Nom	57	subj	510	510
57	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
58	die	die	A	ART	Def|Fem|_|Sg	59	det	512	512
59	Hoffnung	Hoffnung	N	NN	Fem|_|Sg	57	obja	512	512
60	,	,	$	$,	_	0	root	_	_
61	er	er	P	PPER	3|Sg|Masc|Nom	62	subj	6	6
62	lebe	leben	V	VVFIN	3|Sg|Pres|Subj	57	kon	_	_
63	noch	noch	A	ADV	_	62	adv	_	_
64	viele	viele	P	PIS	_|_|_	0	root	_	_
65	,	,	$	$,	_	0	root	_	_
66	viele	viele	A	PIDAT	Neut|_|Pl	67	det	_	_
67	Jahre	Jahr	N	NN	Neut|_|Pl	64	app	_	_
68	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	_	_
2	andere	andere	A	ADJA	_|Fem|Nom|Sg|_	3	attr	_	_
3	Klasse	Klasse	N	NN	Fem|Nom|Sg	5	subj	_	_
4	dagegen	dagegen	P	PROAV	_	3	pp	_	_
5	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	die	die	A	ART	Def|Fem|_|Pl	7	det	_	_
7	Hände	Hand	N	NN	Fem|_|Pl	5	obja	_	_
8	mehr	mehr	A	ADV	_	7	adv	_	_
9	oder	oder	K	KON	_	8	kon	_	_
10	weniger	weniger	A	ADV	_	11	adv	_	_
11	hoch	hoch	A	ADJD	Pos|	9	cj	_	_
12	über	über	P	APPR	Dat	5	pp	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	14	det	130	130
14	Kopfe	Kopf	N	NN	Masc|Dat|Sg	12	pn	130	130
15	zusammen	zusammen	P	PTKVZ	_	5	avz	_	_
16	und	und	K	KON	_	5	kon	_	_
17	jammerte	jammern	V	VVFIN	_|Sg|Past|_	16	cj	_	_
18	ungefähr	ungefähr	A	ADJD	Pos|	17	adv	_	_
19	also	also	A	ADV	_	17	adv	_	_
20	,	,	$	$,	_	0	root	_	_
21	wozu	wozu	P	PWAV	_	0	root	_	_
22	auch	auch	A	ADV	_	21	adv	_	_
23	mehr	mehr	A	ADV	_	21	adv	_	_
24	oder	oder	K	KON	_	0	root	_	_
25	weniger	wenige	A	PIAT	_|_|_	24	cj	_	_
26	Wasser	Wasser	N	NN	Neut|Nom|Sg	31	subj	509	509
27	in	in	P	APPR	Acc	30	objp	_	_
28	die	die	A	ART	Def|Neut|Acc|Pl	29	det	51	51
29	Augen	Auge	N	NN	Neut|Acc|Pl	27	pn	51	51
30	gepumpt	pumpen	V	VVPP	_	31	aux	_	_
31	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
