1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	755	755
40	zur	zu	P	APPRART	Dat	42	pp	_	_
41	Hand	Hand	N	NN	Fem|Dat|Sg	40	pn	728	728
42	stellten	stellen	V	VVFIN	3|Pl|Past|_	36	rel	_	_
43	,	,	$	$,	_	0	root	_	_
44	unverschämterweise	unverschämterweise	A	ADV	_	47	adv	_	_
45	eine	eine	A	ART	Indef|Fem|_|Sg	46	det	729	729
46	Rechnung	Rechnung	N	NN	Fem|_|Sg	47	obja	729	729
47	machten	machen	V	VVFIN	_|Pl|Past|_	32	cj	729	729
48	,	,	$	$,	_	0	root	729	729
49	welche	welche	P	PRELS	Fem|Nom|Sg	54	subj	729	729
50	den	die	A	ART	Def|Masc|Acc|Sg	51	det	_	_
51	Wert	Wert	N	NN	Masc|Acc|Sg	54	obja	_	_
52	des	die	A	ART	Def|Neut|Gen|Sg	53	det	312	312
53	Holzes	Holz	N	NN	Neut|Gen|Sg	51	gmod	312	312
54	überstieg	übersteigen	V	VVFIN	3|Sg|Past|Ind	46	rel	_	_
55	.	.	$	$.	_	0	root	_	_

1	Wahrhaftig	wahrhaftig	A	ADJD	Pos|	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	4	subj	_	_
4	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
5	wenig	wenig	A	PIDAT	Fem|_|Sg	6	det	_	_
6	Ehre	Ehre	N	NN	Fem|_|Sg	9	obja	_	_
7	im	in	P	APPRART	Dat	9	pp	_	_
8	Leibe	Leib	N	NN	Masc|Dat|Sg	7	pn	631	631
9	haben	haben	V	VAINF	_	4	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	um	um	K	KOUI	_	15	konj	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	handeln	handeln	V	VVINF	_	15	aux	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	können	können	V	VMINF	_	4	neb	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	0	root	_	_
18	sich	sie	P	PRF	3|_|_	17	cj	_	_
19	ganz	ganz	A	ADV	_	21	adv	730	730
20	des	die	A	ART	Def|Masc|Gen|Sg	21	det	730	730
21	Grundsatzes	Grundsatz	N	NN	Masc|Gen|Sg	0	root	730	730
22	trösten	trösten	V	VVINF	_	0	root	_	_
23	:	\:	$	$.	_	0	root	_	_
24	»	»	$	$(	_	0	root	_	_
25	Wer	wer	P	PWS	Masc|Nom|Sg	27	subj	_	_
26	unverschämt	unverschämt	A	ADJD	Pos|	27	pred	_	_
27	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	der	die	P	PRELS	Masc|Nom|Sg	30	subj	730	730
30	lebt	leben	V	VVFIN	3|Sg|Pres|Ind	25	rel	_	_
31	dest	dest	F	FM	_	0	root	_	_
32	bas	bas	F	FM	_	31	app	_	_
33	.	.	$	$.	_	0	root	_	_
34	«	«	$	$(	_	0	root	_	_
35	Und	und	K	KON	_	0	root	_	_
36	wenn	wenn	K	KOUS	_	44	konj	_	_
37	man	man	P	PIS	_|Nom|Sg	44	subj	_	_
38	solche	solche	A	PIDAT	Masc|_|Pl	39	det	_	_
39	Menschen	Mensch	N	NN	Masc|_|Pl	44	obja	_	_
40	bei	bei	P	APPR	Dat	44	pp	_	_
41	jeder	jede	A	PIDAT	Fem|Dat|Sg	42	det	893	893
42	Gelegenheit	Gelegenheit	N	NN	Fem|Dat|Sg	40	pn	893	893
43	öffentlich	öffentlich	A	ADJD	Pos|	44	adv	_	_
44	stempelte	stempeln	V	VVFIN	3|Sg|Past|_	46	neb	_	_
45	,	,	$	$,	_	0	root	_	_
46	besserte	bessern	V	VVFIN	3|Sg|Past|_	35	cj	_	_
47	es	es	P	PPER	3|Sg|Neut|Nom	46	subj	_	_
48	nicht	nicht	P	PTKNEG	_	46	adv	_	_
49	?	?	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	17	konj	_	_
3	Beamtete	Beamtete	N	NN	_|Nom|Sg	17	subj	_	_
4	mit	mit	P	APPR	Dat	17	pp	_	_
5	dem	die	A	ART	Def|_|Dat|Sg	7	det	791	791
6	nötigen	nötig	A	ADJA	Pos|_|Dat|Sg|Wk|	7	attr	791	791
7	Ernst	Ernst	N	NE	_|Dat|Sg	4	pn	791	791
8	,	,	$	$,	_	0	root	_	_
9	mit	mit	P	APPR	Dat	4	kon	_	_
10	gehöriger	gehörig	A	ADJA	Pos|Fem|Dat|Sg|St|	11	attr	_	_
11	Schärfe	Schärfe	N	NN	Fem|Dat|Sg	9	pn	_	_
12	statt	statt	P	APPR	_	11	pp	_	_
13	Schwäche	Schwäche	N	NN	Fem|_|Sg	12	pn	_	_
14	Hand	Hand	N	NN	Fem|_|Sg	13	app	_	_
15	obhielten	obhielten	N	NE	Fem|_|Sg	14	app	_	_
16	,	,	$	$,	_	0	root	_	_
17	besserte	bessern	V	VVFIN	3|Sg|Past|_	1	cj	_	_
18	es	es	P	PPER	3|Sg|Neut|_	17	obja	_	_
19	wieder	wieder	A	ADV	_	17	adv	_	_
20	nicht	nicht	P	PTKNEG	_	17	adv	_	_
21	?	?	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	und	und	K	KON	_	2	kon	_	_
5	wenn	wenn	K	KOUS	_	8	konj	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
7	wahr	wahr	A	ADJD	Pos|	8	pred	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	11	neb	_	_
9	,	,	$	$,	_	0	root	_	_
10	so	so	A	ADV	_	11	adv	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	cj	_	_
12	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
13	merkwürdig	merkwürdig	A	ADJD	Pos|	11	pred	_	_
14	,	,	$	$,	_	0	root	_	_
15	dieser	diese	A	PDAT	Masc|Nom|Sg	16	det	720	720
16	Befehl	Befehl	N	NN	Masc|Nom|Sg	17	subj	720	720
17	sei	sein	V	VAFIN	3|Sg|Pres|Subj	11	kon	_	_
18	auch	auch	A	ADV	_	25	adv	_	_
19	auf	auf	P	APPR	Acc	25	objp	_	_
20	die	die	A	ART	Def|Fem|Acc|Pl	21	det	266	266
21	Gemeinden	Gemeinde	N	NN	Fem|Acc|Pl	19	pn	266	266
22	Eggiwyl	Eggiwyl	N	NE	_|Acc|Sg	21	app	266	266
23	und	und	K	KON	_	22	kon	_	_
24	Röthenbach	Röthenbach	N	NE	_|Acc|Sg	23	cj	220	220
25	ausgedehnt	ausdehnen	V	VVPP	_	26	aux	_	_
26	worden	werden	V	VAPP	_	17	aux	_	_
27	;	;	$	$.	_	0	root	_	_
28	diese	diese	P	PDS	_|Nom|Pl	29	subj	_	_
29	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
30	sich	sie	P	PRF	3|_|_	32	obja	_	_
31	aber	aber	A	ADV	_	32	adv	_	_
32	widersetzt	widersetzen	V	VVPP	_	29	aux	_	_
33	und	und	K	KON	_	0	root	_	_
34	mit	mit	P	APPR	Dat	33	cj	_	_
35	Recht	Recht	N	NN	Neut|Dat|Sg	34	pn	731	731
36	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	732	732
2	wollten	wollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	das	die	A	ART	Def|Neut|_|Sg	6	det	_	_
5	eigene	eigen	A	ADJA	Pos|Neut|_|Sg|Wk|	6	attr	_	_
6	Holz	Holz	N	NN	Neut|_|Sg	2	obja	_	_
7	(	(	$	$(	_	0	root	_	_
8	denn	denn	K	KON	_	0	root	_	_
9	wem	wer	P	PWS	_|Dat|Sg	12	objd	_	_
10	war	sein	V	VAFIN	_|Sg|Past|Ind	8	cj	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
12	weggenommen	wegnehmen	V	VVPP	_	13	aux	_	_
13	worden	werden	V	VAPP	_	10	aux	_	_
14	als	als	K	KOKOM	_	12	kom	_	_
15	ihnen	sie	P	PPER	3|Pl|_|Dat	14	cj	732	732
16	?	?	$	$.	_	0	root	_	_

1	)	)	$	$(	_	0	root	_	_
2	verkaufen	verkaufen	V	VVINF	_	3	aux	_	_
3	lassen	lassen	V	VVINF	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	um	um	K	KOUI	_	0	root	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	_	_
7	Erlös	Erlös	N	NN	Masc|Acc|Sg	0	root	_	_
8	mit	mit	P	APPR	Dat	7	pp	_	_
9	allen	alle	A	PIDAT	_|Dat|Pl	10	det	733	733
10	Schächleren	Schächleren	N	NN	_|Dat|Pl	8	pn	733	733
11	,	,	$	$,	_	0	root	_	_
12	denen	die	P	PRELS	_|Dat|Pl	0	root	733	733
13	die	die	A	ART	Def|_|Nom|_	14	det	265	265
14	Emme	Emme	N	NN	_|Nom|_	17	subj	265	265
15	kein	keine	A	PIAT	Neut|_|Sg	16	det	_	_
16	Holz	Holz	N	NN	Neut|_|Sg	17	obja	_	_
17	genommen	nehmen	V	VVPP	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	aber	aber	K	KON	_	17	kon	_	_
20	viel	viel	P	PIS	_|Nom|_	21	subj	_	_
21	gebracht	bringen	V	VVPP	_	19	cj	_	_
22	,	,	$	$,	_	0	root	_	_
23	trotz	trotz	P	APPR	Dat	27	pp	_	_
24	dem	die	A	ART	Def|Masc|Dat|Sg	25	det	720	720
25	Befehl	Befehl	N	NN	Masc|Dat|Sg	23	pn	720	720
26	zu	zu	P	PTKZU	_	27	part	_	_
27	teilen	teilen	V	VVINF	_	21	obji	_	_
28	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	wie	wie	P	PWAV	_	4	adv	_	_
3	unbillig	unbillig	A	ADJD	Pos|	6	pred	_	_
4	wäre	sein	V	VAFIN	_|Sg|Past|Subj	1	cj	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	gewesen	sein	V	VAPP	_	4	aux	_	_
7	gegen	gegen	P	APPR	Acc	6	pp	_	_
8	die	die	A	ART	Def|Masc|Acc|Pl	9	det	_	_
9	Besitzer	Besitzer	N	NN	Masc|Acc|Pl	7	pn	_	_
10	der	die	A	ART	Def|Fem|Gen|Sg	11	det	734	734
11	Klasse	Klasse	N	NN	Fem|Gen|Sg	9	gmod	734	734
12	,	,	$	$,	_	0	root	734	734
13	die	die	P	PRELS	Fem|Nom|Sg	16	subj	734	734
14	keine	keine	A	PIAT	_|_|_	15	det	735	735
15	Entschädnis	Entschädnis	N	NN	_|_|_	16	obja	735	735
16	erhielt	erhalten	V	VVFIN	3|Sg|Past|Ind	11	rel	_	_
17	,	,	$	$,	_	0	root	_	_
18	denen	die	P	PRELS	_|Dat|Pl	0	root	735	735
19	es	es	P	PPER	3|Sg|Neut|Nom	24	subj	_	_
20	vielleicht	vielleicht	A	ADV	_	24	adv	_	_
21	das	die	A	ART	Def|Neut|_|Sg	23	det	_	_
22	meiste	meist	A	ADJA	_|Neut|_|Sg|Wk|	23	attr	_	_
23	Holz	Holz	N	NN	Neut|_|Sg	24	obja	_	_
24	genommen	nehmen	V	VVPP	_	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	und	und	K	KON	_	0	root	_	_
27	die	die	P	PRELS	_|Nom|Pl	33	subj	735	735
28	das	die	A	ART	Def|Neut|_|Sg	32	det	_	_
29	auf	auf	P	APPR	Dat	32	pp	_	_
30	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	31	det	735	735
31	Lande	Land	N	NN	Neut|Dat|Sg	29	pn	_	_
32	liegende	liegend	A	ADJA	Neut|_|Sg	34	obja	_	_
33	hätten	haben	V	VAFIN	3|Pl|Past|Subj	26	cj	_	_
34	verkaufen	verkaufen	V	VVINF	_	35	aux	_	_
35	müssen	müssen	V	VMINF	_	33	aux	_	_
36	lassen	lassen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
37	für	für	P	APPR	Acc	36	pp	_	_
38	andere	andere	A	ADJA	_|_|Acc|_|_	37	pn	_	_
39	,	,	$	$,	_	0	root	_	_
40	die	die	P	PRELS	_|Nom|Pl	42	subj	_	_
41	entschädigt	entschädigen	V	VVPP	_	42	aux	_	_
42	wurden	werden	V	VAFIN	3|Pl|Past|Ind	27	rel	_	_
43	bei	bei	P	APPR	Dat	41	pp	_	_
44	weit	weit	A	ADJD	Pos|	45	adv	_	_
45	kleinerem	klein	A	ADJA	Comp|_|Dat|Sg|St|	46	attr	_	_
46	Schaden	Schaden	N	NN	_|Dat|Sg	43	pn	_	_
47	!	!	$	$.	_	0	root	_	_

1	Durch	durch	P	APPR	Acc	4	pp	_	_
2	die	die	A	ART	Def|_|Acc|_	3	det	_	_
3	Holzfischer	Holzfischer	N	NN	_|Acc|_	1	pn	_	_
4	eilten	eilen	V	VVFIN	3|Pl|Past|_	0	root	_	_
5	die	die	A	ART	Def|Masc|Nom|Pl	6	det	_	_
6	Holzhändler	Holzhändler	N	NN	Masc|Nom|Pl	4	subj	_	_
7	,	,	$	$,	_	0	root	_	_
8	die	die	A	ART	Def|_|_|_	9	det	736	736
9	Trämel	Trämel	N	NN	_|_|_	10	obja	736	736
10	gehabt	haben	V	VAPP	_	0	root	_	_
11	bei	bei	P	APPR	Dat	10	pp	_	_
12	den	die	A	ART	Def|Fem|Dat|Pl	16	det	_	_
13	geschädigten	geschädigt	A	ADJA	Pos|Fem|Dat|Pl|_|	16	attr	_	_
14	oder	oder	K	KON	_	13	kon	_	_
15	weggerissenen	weggerissen	A	ADJA	Pos|_|Dat|_|_|	14	cj	_	_
16	Sägen	Säge	N	NN	Fem|Dat|Pl	11	pn	_	_
17	oder	oder	K	KON	_	16	kon	_	_
18	Flöße	Flöße	N	NN	Fem|Dat|Pl	17	cj	_	_
19	an	an	P	APPR	Dat	10	pp	_	_
20	der	die	A	ART	Def|Fem|Dat|Sg	21	det	309	309
21	Emme	Emme	N	NN	Fem|Dat|Sg	19	pn	309	309
22	und	und	K	KON	_	0	root	_	_
23	suchten	suchen	V	VVFIN	_|Pl|Past|_	22	cj	_	_
24	das	die	A	ART	Def|Neut|_|Sg	26	det	_	_
25	verlorne	verlorne	A	ADJA	_|Neut|_|Sg|_	26	attr	_	_
26	Holz	Holz	N	NN	Neut|_|Sg	23	obja	_	_
27	auf	auf	P	PTKVZ	_	23	avz	_	_
28	.	.	$	$.	_	0	root	_	_

1	Jeder	jede	P	PIS	Masc|Nom|Sg	2	subj	_	_
2	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
3	sein	seine	A	PPOSAT	Neut|_|Sg	4	det	16	16
4	Holz	Holz	N	NN	Neut|_|Sg	5	obja	_	_
5	kennen	kennen	V	VVINF	_	2	aux	_	_
6	und	und	K	KON	_	2	kon	_	_
7	zeichnete	zeichnen	V	VVFIN	_|Sg|Past|_	6	cj	_	_
8	das	die	P	PDS	Neut|Nom|Sg	9	subj	_	_
9	erkannte	erkennen	V	VVFIN	3|Sg|Past|Ind	7	s	_	_
10	an	an	P	PTKVZ	_	9	avz	_	_
11	mit	mit	P	APPR	Dat	9	pp	_	_
12	seinem	seine	A	PPOSAT	Neut|Dat|Sg	13	det	16	16
13	Zeichen	Zeichen	N	NN	Neut|Dat|Sg	11	pn	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	solcher	solche	A	PIDAT	_|_|_	15	cj	_	_
17	Zeichen	Zeichen	N	NN	Neut|Nom|Sg	18	subj	_	_
18	fand	finden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
19	man	man	P	PIS	_|Nom|Sg	18	pred	_	_
20	viere	vier	C	CARD	_	18	obja	_	_
21	von	von	P	APPR	Dat	18	pp	_	_
22	vier	vier	C	CARD	_	24	attr	_	_
23	verschiedenen	verschieden	A	ADJA	Pos|Masc|Dat|Pl|_|	24	attr	_	_
24	Holzhändlern	Holzhändler	N	NN	Masc|Dat|Pl	21	pn	_	_
25	an	an	P	APPR	Dat	18	pp	_	_
26	einem	eine	A	ART	Indef|_|Dat|Sg	28	det	311	311
27	einzigen	einzig	A	ADJA	Pos|_|Dat|Sg|Wk|	28	attr	311	311
28	Trämel	Trämel	N	NN	_|Dat|Sg	25	pn	311	311
29	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	7	expl	_	_
2	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
3	halt	halt	A	ADV	_	7	adv	_	_
4	keiner	keine	P	PIS	Masc|Nom|Sg	2	subj	_	_
5	zu	zu	P	PTKA	_	6	adv	_	_
6	kurz	kurz	A	ADJD	Pos|	7	pred	_	_
7	kommen	kommen	V	VVINF	_	2	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	Emme	Emme	N	NE	_	2	obja	462	462
5	auf	auf	P	PTKVZ	_	2	avz	_	_
6	und	und	K	KON	_	0	root	_	_
7	ab	ab	P	PTKVZ	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	als	als	K	KOKOM	_	0	root	_	_
10	ob	ob	K	KOUS	_	18	konj	_	_
11	Banden	Band	N	NN	Fem|Nom|Pl	18	subj	738	738
12	hungriger	hungrig	A	ADJA	Pos|_|Gen|_|St|	13	attr	738	738
13	Irländer	Irländer	N	NN	_|Gen|_	11	gmod	738	738
14	in	in	P	APPR	Acc	17	pp	_	_
15	unser	unsre	A	PPOSAT	Neut|Acc|Sg	16	det	737	737
16	Land	Land	N	NN	Neut|Acc|Sg	14	pn	737	737
17	eingebrochen	einbrechen	V	VVPP	_	18	aux	_	_
18	wären	sein	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	das	die	P	PRELS	Neut|_|Sg	0	root	737	737
21	bei	bei	P	APPR	Dat	27	pp	_	_
22	ihnen	sie	P	PPER	3|Pl|_|Dat	21	pn	738	738
23	übliche	üblich	A	ADJA	Pos|Neut|_|Sg|Wk|	24	attr	_	_
24	Strandrecht	Strandrecht	N	NN	Neut|_|Sg	27	obja	_	_
25	geltend	gelten	A	ADJD	_|<PPRES	27	pred	_	_
26	zu	zu	P	PTKZU	_	27	part	_	_
27	machen	machen	V	VVINF	_	0	root	_	_
28	.	.	$	$.	_	0	root	_	_

1	Oh	oh	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
4	waren	sein	V	VAFIN	_|Pl|Past|Ind	0	root	_	_
5	gräßliche	gräßlich	A	ADJA	Pos|Masc|Nom|Pl|St|	6	attr	_	_
6	Gegensätze	Gegensatz	N	NN	Masc|Nom|Pl	4	pred	_	_
7	zwischen	zwischen	P	APPR	_	6	pp	_	_
8	den	die	A	ART	Def|_|_|_	10	det	_	_
9	betäubten	betäubt	A	ADJA	Pos|_|_|_|_|	10	attr	_	_
10	Geschädigten	Geschädigte	N	NN	_|_|_	7	pn	_	_
11	und	und	K	KON	_	10	kon	_	_
12	den	die	A	ART	Def|_|_|_	15	det	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	gierig	gierig	A	ADJD	Pos|	15	adv	_	_
15	Haschenden	Haschende	N	NN	_|_|_	11	cj	_	_
16	.	.	$	$.	_	0	root	_	_

1	Während	während	K	KOUS	_	7	konj	_	_
2	die	die	A	ART	Def|_|Nom|Pl	3	det	739	739
3	Überschwemmten	Überschwemmten	N	NN	_|Nom|Pl	7	subj	739	739
4	ihre	ihre	A	PPOSAT	Fem|_|Sg	5	det	739	739
5	Hütte	Hütte	N	NN	Fem|_|Sg	7	obja	_	_
6	jammernd	jammern	A	ADJD	_|<PPRES	7	adv	_	_
7	reinigten	reinigen	V	VVFIN	3|Pl|Past|_	9	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	machten	machen	V	VVFIN	3|Pl|Past|_	0	root	_	_
10	Unbeschädigte	Unbeschädigte	N	NN	_|Nom|Pl	9	subj	_	_
11	jubelnd	jubelnd	A	ADJD	_|_	9	pred	_	_
12	Beute	Beute	N	NN	Fem|_|Sg	9	obja	740	740
13	.	.	$	$.	_	0	root	_	_

1	Betäubter	Betäubte	N	NN	Fem|Dat|Sg	2	objd	_	_
2	ward	ward	V	VAFIN	_|Sg|_|_	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	741	741
4	Menschenfreund	Menschenfreund	N	NN	Masc|Nom|Sg	2	subj	741	741
5	am	an	P	APPRART	Dat	2	pp	_	_
6	ersten	erst	A	ADJA	_|Masc|Dat|Sg|Wk|	7	attr	_	_
7	Tage	Tag	N	NN	Masc|Dat|Sg	5	pn	_	_
8	in	in	P	APPR	Dat	2	pp	_	_
9	dem	die	A	ART	Def|Neut|Dat|Sg	10	det	_	_
10	Tosen	Tosen	N	NN	Neut|Dat|Sg	8	pn	_	_
11	der	die	A	ART	Def|_|Gen|_	12	det	265	265
