1	Wells	Wells	N	NE	_|Nom|Sg	2	subj	20	20
10	und	und	K	KON	_	3	kon	_	_
11	schnitzte	schnitzen	V	VVFIN	_|Sg|Past|_	10	cj	_	_
12	ein	eine	A	ART	Indef|Neut|_|Sg	13	det	_	_
13	Ochsenjoch	Ochsenjoch	N	NN	Neut|_|Sg	11	obja	_	_
14	,	,	$	$,	_	0	root	_	_
15	um	um	K	KOUI	_	26	konj	_	_
16	in	in	P	APPR	Dat	26	pp	_	_
17	der	die	A	ART	Def|Fem|Dat|Sg	19	det	_	_
18	nächsten	nah	A	ADJA	_|Fem|Dat|Sg|Wk|	19	attr	_	_
19	Woche	Woche	N	NN	Fem|Dat|Sg	16	pn	_	_
20	Stämme	Stamm	N	NN	Masc|_|Pl	26	obja	_	_
21	zu	zu	P	APPR	Dat	26	pp	_	_
22	einem	eine	A	ART	Indef|Neut|Dat|Sg	24	det	_	_
23	neuen	neu	A	ADJA	Pos|Neut|Dat|Sg|Wk|	24	attr	_	_
24	Rauchhaus	Rauchhaus	N	NN	Neut|Dat|Sg	21	pn	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	fahren	fahren	V	VVINF	_	11	neb	_	_
27	.	.	$	$.	_	0	root	_	_

1	John	John	N	NE	Masc|Nom|Sg	10	subj	82	82
2	,	,	$	$,	_	0	root	82	82
3	jetzt	jetzt	A	ADV	_	8	adv	82	82
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	8	det	82	82
5	derber	derb	A	ADJA	Pos|Masc|Nom|Sg|St|	8	attr	82	82
6	,	,	$	$,	_	0	root	82	82
7	vierzehnjähriger	vierzehnjährig	A	ADJA	Pos|Masc|Nom|Sg|St|	5	kon	82	82
8	Bursche	Bursche	N	NN	Masc|Nom|Sg	1	app	82	82
9	,	,	$	$,	_	0	root	_	_
10	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
11	schon	schon	A	ADV	_	19	adv	_	_
12	am	an	P	APPRART	Dat	19	pp	_	_
13	Morgen	Morgen	N	NN	_|Dat|_	12	pn	212	212
14	mit	mit	P	APPR	Dat	19	pp	_	_
15	seiner	seine	A	PPOSAT	Fem|Dat|Sg	16	det	82	82
16	Büchse	Büchse	N	NN	Fem|Dat|Sg	14	pn	_	_
17	einem	eine	A	ART	Indef|Masc|Dat|Sg	18	det	170	170
18	Bären	Bär	N	NN	Masc|Dat|Sg	19	objd	170	170
19	nachgegangen	nachgehen	V	VVPP	_	10	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	den	die	P	PRELS	Masc|Acc|Sg	0	root	170	170
22	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	82	82
23	mit	mit	P	APPR	Dat	29	pp	_	_
24	Tagesanbruch	Tagesanbruch	N	NN	Masc|Dat|Sg	23	pn	171	171
25	nicht	nicht	P	PTKNEG	_	29	adv	_	_
26	weit	weit	A	ADJD	Pos|	29	adv	_	_
27	vom	von	P	APPRART	Dat	29	pp	_	_
28	Haus	Haus	N	NN	Neut|Dat|Sg	27	pn	37	37
29	gespürt	spüren	V	VVPP	_	0	root	_	_
30	;	;	$	$.	_	0	root	_	_
31	Jim	Jim	N	NE	_|Nom|Sg	32	subj	132	132
32	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
33	in	in	P	APPR	Dat	32	pp	_	_
34	der	die	A	ART	Def|Fem|Dat|Sg	36	det	_	_
35	»	»	$	$(	_	0	root	_	_
36	Schreibstunde	Schreibstunde	N	NN	Fem|Dat|Sg	33	pn	_	_
37	«	«	$	$(	_	0	root	_	_
38	,	,	$	$,	_	0	root	_	_
39	da	da	K	KOUS	_	0	root	_	_
40	sich	sie	P	PRF	3|_|_	0	root	_	_
41	vor	vor	P	APPR	Dat	45	pp	_	_
42	kurzer	kurz	A	ADJA	Pos|Fem|Dat|Sg|St|	43	attr	_	_
43	Zeit	Zeit	N	NN	Fem|Dat|Sg	41	pn	_	_
44	ein	eine	A	ART	Indef|Masc|Nom|Sg	45	det	_	_
45	Yankee	Yankee	N	NN	Masc|Nom|Sg	50	subj	_	_
46	hier	hier	A	ADV	_	50	adv	_	_
47	in	in	P	APPR	Dat	50	pp	_	_
48	der	die	A	ART	Def|Fem|Dat|Sg	49	det	_	_
49	Nachbarschaft	Nachbarschaft	N	NN	Fem|Dat|Sg	47	pn	_	_
50	niedergelassen	niederlassen	V	VVPP	_	0	root	_	_
51	,	,	$	$,	_	0	root	_	_
52	um	um	K	KOUI	_	67	konj	_	_
53	allen	alle	P	PIS	_|Dat|Pl	67	adv	_	_
54	,	,	$	$,	_	0	root	_	_
55	die	die	P	PRELS	_|Nom|Pl	58	subj	172	172
56	das	die	A	ART	Def|Neut|_|Sg	57	det	_	_
57	Bedürfnis	Bedürfnis	N	NN	Neut|_|Sg	58	obja	_	_
58	fühlten	fühlen	V	VVFIN	3|Pl|Past|_	53	rel	_	_
59	,	,	$	$,	_	0	root	_	_
60	den	die	A	ART	Def|Masc|Acc|Sg	61	det	_	_
61	Winter	Winter	N	NN	Masc|Acc|Sg	67	obja	_	_
62	hindurch	hindurch	A	ADV	_	61	adv	_	_
63	Unterricht	Unterricht	N	NN	Masc|Acc|Sg	61	app	_	_
64	im	in	P	APPRART	Dat	67	pp	_	_
65	Schreiben	Schreibe	N	NN	_|Dat|_	64	pn	_	_
66	zu	zu	P	PTKZU	_	67	part	_	_
67	geben	geben	V	VVINF	_	0	root	_	_
68	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	Betsey	Betsey	N	NE	_	1	cj	133	133
3	endlich	endlich	A	ADJD	Pos|	4	pred	_	_
4	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
5	zu	zu	P	APPR	Dat	4	pp	_	_
6	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	8	det	133	133
7	nächsten	nah	A	ADJA	_|Fem|Dat|Sg|Wk|	8	attr	_	_
8	Nachbarin	Nachbarin	N	NN	Fem|Dat|Sg	5	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	11	det	_	_
11	Mrs.	Mrs.	N	NN	Fem|Dat|Sg	8	app	_	_

1	Wilson	Wilson	N	NE	_	3	obja	_	_
2	,	,	$	$,	_	0	root	_	_
3	hinübergeritten	hinüberreiten	V	VVPP	_	0	root	_	_
4	und	und	K	KON	_	0	root	_	_
5	brachte	bringen	V	VVFIN	_|Sg|Past|Ind	4	cj	_	_
6	ihr	ihre	A	PPOSAT	_|_|Sg	7	det	172	172
7	Medizin	Medizin	N	NN	_|_|Sg	5	obja	_	_
8	für	für	P	APPR	Acc	5	pp	_	_
9	ein	eine	A	ART	Indef|Neut|Acc|Sg	11	det	_	_
10	krankes	krank	A	ADJA	Pos|Neut|Acc|Sg|St|	11	attr	_	_
11	Kind	Kind	N	NN	Neut|Acc|Sg	8	pn	_	_
12	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	_	_
4	einzelner	einzeln	A	ADJA	Pos|Masc|Nom|Sg|St|	5	attr	_	_
5	Reiter	Reiter	N	NN	Masc|Nom|Sg	2	subj	_	_
6	mit	mit	P	APPR	Dat	2	pp	_	_
7	einem	eine	A	ART	Indef|Masc|Dat|Sg	10	det	_	_
8	alten	alt	A	ADJA	Pos|Masc|Dat|Sg|Wk|	10	attr	_	_
9	grauen	grau	A	ADJA	Pos|Masc|Dat|Sg|Wk|	10	attr	_	_
10	Hund	Hund	N	NN	Masc|Dat|Sg	6	pn	_	_
11	hinter	hinter	P	APPR	_	2	pp	_	_
12	sich	sie	P	PRF	3|_|_	11	pn	_	_
13	langsam	langsam	A	ADJD	Pos|	2	adv	_	_
14	die	die	A	ART	Def|Masc|Nom|Pl	15	det	173	173
15	Hügel	Hügel	N	NN	Masc|Nom|Pl	2	pred	173	173
16	herunter	herunter	A	ADV	_	15	adv	173	173
17	,	,	$	$,	_	0	root	173	173
18	die	die	P	PRELS	Masc|Nom|Pl	22	subj	173	173
19	hinter	hinter	P	APPR	Dat	22	pp	_	_
20	dem	die	A	ART	Def|Neut|Dat|Sg	21	det	174	174
21	Feld	Feld	N	NN	Neut|Dat|Sg	19	pn	174	174
22	aufstiegen	aufsteigen	V	VVFIN	3|Pl|Past|_	15	rel	_	_
23	,	,	$	$,	_	0	root	_	_
24	ritt	reiten	V	VVFIN	_|Sg|Past|Ind	22	kon	_	_
25	an	an	P	APPR	_	24	pp	_	_
26	dessen	die	A	PDAT	Fem|_|Sg	27	det	41	41
27	Fenz	Fenz	N	NN	Fem|_|Sg	25	pn	41	41
28	entlang	entlang	A	APZR	_	25	part	_	_
29	und	und	K	KON	_	24	kon	_	_
30	hielt	halten	V	VVFIN	_|Sg|Past|Ind	29	cj	_	_
31	vor	vor	P	APPR	Dat	30	pp	_	_
32	dem	die	A	ART	Def|Neut|Dat|Sg	33	det	175	175
33	Haus	Haus	N	NN	Neut|Dat|Sg	31	pn	175	175
34	,	,	$	$,	_	0	root	_	_
35	ohne	ohne	K	KOUI	_	38	konj	_	_
36	dieses	diese	P	PDS	_|_|Sg	38	obja	_	_
37	jedoch	jedoch	A	ADV	_	38	adv	_	_
38	anzurufen	anrufen	V	VVIZU	_	30	neb	_	_
39	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	81	81
2	Pferd	Pferd	N	NN	Neut|Nom|Sg	3	subj	81	81
3	wieherte	wiehern	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	als	als	K	KOKOM	_	10	kom	_	_
6	es	es	P	PPER	3|Sg|Neut|_	5	cj	_	_
7	an	an	P	APPR	Acc	6	pp	_	_
8	die	die	A	ART	Def|Fem|Acc|Sg	9	det	41	41
9	Fenz	Fenz	N	NN	Fem|Acc|Sg	7	pn	41	41
10	kam	kommen	V	VVFIN	_|Sg|Past|Ind	3	kon	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	10	kon	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	40	40
14	Fremde	Fremde	N	NN	Masc|Nom|Sg	15	subj	40	40
15	stieg	steigen	V	VVFIN	3|Sg|Past|Ind	12	cj	_	_
16	ab	ab	P	PTKVZ	_	15	avz	_	_
17	,	,	$	$,	_	0	root	_	_
18	nahm	nehmen	V	VVFIN	_|Sg|Past|Ind	15	kon	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	39	39
20	Sattel	Sattel	N	NN	Masc|Acc|Sg	18	obja	39	39
21	herunter	herunter	A	ADV	_	18	adv	_	_
22	,	,	$	$,	_	0	root	_	_
23	legte	legen	V	VVFIN	_|Sg|Past|_	18	kon	_	_
24	ihn	er	P	PPER	3|Sg|Masc|Acc	23	obja	40	40
25	auf	auf	P	APPR	Acc	23	objp	_	_
26	die	die	A	ART	Def|Fem|Acc|Sg	27	det	41	41
27	Fenz	Fenz	N	NN	Fem|Acc|Sg	25	pn	41	41
28	und	und	K	KON	_	23	kon	_	_
29	besah	besehen	V	VVFIN	_|Sg|Past|Ind	28	cj	_	_
30	sich	sie	P	PRF	3|_|Dat	29	objd	_	_
31	einen	eine	A	ART	Indef|Masc|Acc|Sg	32	det	_	_
32	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	29	obja	_	_
33	die	die	A	ART	Def|Fem|_|Sg	40	det	176	176
34	kleine	klein	A	ADJA	Pos|Fem|_|Sg|_|	40	attr	176	176
35	,	,	$	$,	_	0	root	176	176
36	erst	erst	A	ADV	_	37	adv	176	176
37	kürzlich	kürzlich	A	ADV	_	39	adv	176	176
38	dort	dort	A	ADV	_	39	adv	176	176
39	eingeschnittene	eingeschnitten	A	ADJA	Pos|_|_|_|_|	34	kon	176	176
40	Tür	Tür	N	NN	Fem|_|Sg	0	root	176	176
41	,	,	$	$,	_	0	root	176	176
42	durch	durch	P	APPR	Acc	46	pp	176	176
43	die	die	P	PRELS	Fem|Acc|Sg	42	pn	176	176
44	er	er	P	PPER	3|Sg|Masc|Nom	46	subj	40	40
45	dann	dann	A	ADV	_	46	adv	_	_
46	schritt	schreiten	V	VVFIN	3|Sg|Past|Ind	40	rel	_	_
47	und	und	K	KON	_	46	kon	_	_
48	langsam	langsam	A	ADJD	Pos|	51	adv	_	_
49	dem	die	A	ART	Def|Neut|Dat|Sg	50	det	175	175
50	Haus	Haus	N	NN	Neut|Dat|Sg	51	objd	175	175
51	zuging	zugehen	V	VVFIN	_|Sg|Past|Ind	47	cj	_	_
52	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	177	177
2	Hund	Hund	N	NN	Masc|Nom|Sg	0	root	177	177
3	,	,	$	$,	_	0	root	_	_
4	ohne	ohne	K	KOUI	_	12	konj	_	_
5	sich	sie	P	PRF	3|_|_	12	obja	_	_
6	um	um	P	APPR	Acc	12	objp	_	_
7	die	die	A	ART	Def|_|Acc|Pl	10	det	_	_
8	ihn	er	P	PPER	3|Sg|Masc|Acc	9	obja	40	40
9	ankläffenden	ankläffend	A	ADJA	Pos|_|Acc|Pl|Wk|<PPRES	10	attr	_	_
10	Rüden	Rüde	N	NN	_|Acc|Pl	6	pn	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	kümmern	kümmern	V	VVINF	_	14	neb	_	_
13	,	,	$	$,	_	0	root	_	_
14	lief	laufen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
15	voran	voran	A	ADV	_	14	adv	_	_
16	in	in	P	APPR	Acc	14	pp	_	_
17	die	die	A	ART	Def|Fem|Acc|Sg	18	det	_	_
18	Stube	Stube	N	NN	Fem|Acc|Sg	16	pn	_	_
19	und	und	K	KON	_	14	kon	_	_
20	legte	legen	V	VVFIN	_|Sg|Past|_	19	cj	_	_
21	sich	sie	P	PRF	3|_|_	20	obja	_	_
22	rechts	rechts	A	ADV	_	20	adv	_	_
23	vom	von	P	APPRART	Dat	20	pp	_	_
24	Kamin	Kamin	N	NN	Masc|Dat|Sg	23	pn	119	119
25	in	in	P	APPR	Acc	20	objp	_	_
26	die	die	A	ART	Def|_|Acc|_	27	det	99	99
27	Ecke	Eck	N	NN	_|Acc|_	25	pn	99	99
28	.	.	$	$.	_	0	root	_	_

1	Mawler	Mawler	N	NE	_|Nom|Sg	2	subj	159	159
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	als	als	K	KOUS	_	9	konj	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	159	159
6	die	die	A	ART	Def|Masc|_|Pl	7	det	178	178
7	Hunde	Hund	N	NN	Masc|_|Pl	8	obja	178	178
8	anschlagen	anschlagen	V	VVINF	_	9	obji	_	_
9	hörte	hören	V	VVFIN	3|Sg|Past|_	2	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	von	von	P	APPR	_	14	pp	_	_
12	seiner	seine	A	PPOSAT	Fem|_|Sg	13	det	159	159
13	Arbeit	Arbeit	N	NN	Fem|_|Sg	11	pn	_	_
14	aufgestanden	aufgestehen	V	VVPP	_	2	aux	_	_
15	und	und	K	KON	_	14	kon	_	_
16	in	in	P	APPR	Acc	19	objp	_	_
17	die	die	A	ART	Def|Fem|Acc|Sg	18	det	34	34
18	Tür	Tür	N	NN	Fem|Acc|Sg	16	pn	34	34
19	getreten	treten	V	VVPP	_	15	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	wo	wo	P	PWAV	_	33	adv	_	_
22	der	die	A	ART	Def|Masc|Nom|Sg	23	det	177	177
23	Hund	Hund	N	NN	Masc|Nom|Sg	33	subj	177	177
24	,	,	$	$,	_	0	root	_	_
25	ohne	ohne	K	KOUI	_	29	konj	_	_
26	weitere	weit	A	ADJA	Comp|Fem|_|Sg|_|	27	attr	_	_
27	Notiz	Notiz	N	NN	Fem|_|Sg	29	obja	_	_
28	zu	zu	P	PTKZU	_	29	part	_	_
29	nehmen	nehmen	V	VVINF	_	33	neb	_	_
30	,	,	$	$,	_	0	root	_	_
31	an	an	P	APPR	Dat	33	pp	_	_
32	ihm	er	P	PPER	3|Sg|_|Dat	31	pn	5	5
33	vorübersprang	vorüberspringen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
34	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Guten	gut	A	ADJA	Pos|Masc|Dat|Sg|Wk|	3	attr	_	_
3	Abend	Abend	N	NN	Masc|Dat|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Fremder	Fremde	N	NN	Fem|Dat|Sg	3	app	_	_
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	grüßte	grüßen	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	5	5
10	dabei	dabei	P	PROAV	_	8	pp	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	_	_
12	Gast	Gast	N	NN	Masc|Acc|Sg	8	obja	_	_
13	auf	auf	P	APPR	Acc	8	pp	_	_
14	die	die	A	ART	Def|_|Acc|_	18	det	_	_
15	ruhige	ruhig	A	ADJA	Pos|_|Acc|_|_|	18	attr	_	_
16	,	,	$	$,	_	0	root	_	_
17	gewohnte	gewohnt	A	ADJA	Pos|_|Acc|_|_|	15	kon	_	_
18	Weise	Weise	N	NN	_|Acc|_	13	pn	_	_
19	,	,	$	$,	_	0	root	_	_
20	»	»	$	$(	_	0	root	_	_
21	kommt	kommen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
22	herein	herein	P	PTKVZ	_	21	avz	_	_
23	und	und	K	KON	_	0	root	_	_
24	nehmt	nehmen	V	VVIMP	Pl	23	cj	_	_
25	Euch	ihr	P	PRF	2|Pl|Dat	24	objd	_	_
26	einen	eine	A	ART	Indef|Masc|Acc|Sg	27	det	_	_
27	Stuhl	Stuhl	N	NN	Masc|Acc|Sg	24	obja	_	_
28	.	.	$	$.	_	0	root	_	_
29	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Danke	Dank	N	NN	Masc|Dat|Sg	5	vok	179	179
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	30	neb	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	40	40
7	Fremde	Fremde	N	NN	Masc|Nom|Sg	5	subj	40	40
8	und	und	K	KON	_	5	kon	_	_
9	trat	treten	V	VVFIN	_|Sg|Past|Ind	8	cj	_	_
10	ins	in	P	APPRART	Acc	9	objp	_	_
11	Haus	Haus	N	NN	Neut|Acc|Sg	10	pn	180	180
12	,	,	$	$,	_	0	root	180	180
13	in	in	P	APPR	Dat	17	pp	180	180
