1	Himmel	Himmel	N	NN	Masc|_|_	0	root	482	482
22	:	\:	$	$.	_	0	root	_	_
23	Vorm	Vorm	N	NE	_	0	root	1492	1492
24	Trachen	Trachen	N	NE	_	23	app	1492	1492
25	uns	wir	P	PPER	1|Pl|_|_	26	obja	1314	1314
26	bewahre	bewahren	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
27	Gott	Gott	N	NN	Masc|Nom|Sg	26	subj	273	273
28	,	,	$	$,	_	0	root	_	_
29	Die	die	A	ART	Def|Fem|_|Sg	30	det	_	_
30	Trage	Trage	N	NN	Fem|_|Sg	0	root	_	_
31	uns	wir	P	PPER	1|Pl|_|_	0	root	1314	1314
32	aus	aus	P	APPR	Dat	31	pp	_	_
33	aller	alle	A	PIDAT	Fem|Dat|Sg	34	det	_	_
34	Noth	Noth	N	NN	Fem|Dat|Sg	32	pn	_	_
35	-	-	$	$(	_	0	root	_	_
36	bald	bald	A	ADV	_	37	adv	_	_
37	in	in	P	APPR	_	0	root	_	_
38	Y	Y	N	NE	_|_|_	37	pn	1518	1518
39	ins	in	P	APPRART	Acc	38	pp	1518	1518
40	Lyrische	Lyrische	N	NN	_|Acc|_	39	pn	1518	1518
41	,	,	$	$,	_	0	root	_	_
42	z.	z.	P	APPRART	_	0	root	_	_

1	B.	B.	N	NN	Masc|_|Sg	0	root	176	176
2	:	\:	$	$.	_	0	root	_	_
3	Des	Des	F	FM	_|Nom|Sg	5	subj	_	_
4	Ygels	Ygels	F	FM	_|Nom|Sg	3	app	_	_
5	Haut	hauen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	voll	voll	A	ADJD	Pos|	5	adv	_	_
7	Stachel	Stachel	N	NN	Masc|Nom|Sg	8	subj	1519	1519
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	5	s	_	_
9	,	,	$	$,	_	0	root	_	_
10	Nach	nach	P	APPR	Dat	0	root	_	_
11	Yüdenkirschen	Yüdenkirschen	N	NE	_|Dat|_	10	pn	1318	1318
12	mich	ich	P	PRF	1|Sg|Acc	0	root	_	_
13	gelüst	gelüst	N	NE	_	0	root	1482	1482
14	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Die	die	A	ART	Def|Masc|Nom|Pl	4	det	_	_
3	meisten	meiste	A	PIDAT	Masc|Nom|Pl	4	attr	_	_
4	Gesänge	Gesang	N	NN	Masc|Nom|Pl	5	subj	_	_
5	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
6	jedoch	jedoch	A	ADV	_	5	adv	_	_
7	bloß	bloß	A	ADV	_	5	adv	_	_
8	episch	episch	A	ADJD	Pos|	5	pred	_	_
9	.	.	$	$.	_	0	root	_	_

1	Nirgends	nirgends	A	ADV	_	2	adv	_	_
2	besser	gut	A	ADJD	Comp|	6	adv	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	als	als	K	KOKOM	_	2	kom	_	_
5	hier	hier	A	ADV	_	4	cj	_	_
6	lernt	lernen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	man	man	P	PIS	_|Nom|Sg	6	subj	_	_
8	begreifen	begreifen	V	VVINF	_	6	obji	_	_
9	,	,	$	$,	_	0	root	_	_
10	wie	wie	P	PWAV	_	20	adv	_	_
11	die	die	A	ART	Def|_|Nom|Pl	12	det	1319	1319
12	Alten	Alt	N	NN	_|Nom|Pl	21	subj	1319	1319
13	im	in	P	APPRART	Dat	20	pp	_	_
14	dickbändigen	dickbändig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	1320	1320
15	Homer	Homer	N	NE	Masc|Dat|Sg	13	pn	1320	1320
16	die	die	A	ART	Def|Fem|_|Sg	17	det	_	_
17	Enzyklopädie	Enzyklopädie	N	NN	Fem|_|Sg	20	obja	_	_
18	aller	alle	A	PIDAT	Fem|Gen|Pl	19	det	_	_
19	Wissenschaften	Wissenschaft	N	NN	Fem|Gen|Pl	17	gmod	_	_
20	finden	finden	V	VVINF	_	21	aux	_	_
21	konnten	können	V	VMFIN	3|Pl|Past|Ind	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	wenn	wenn	K	KOUS	_	32	konj	_	_
24	man	man	P	PIS	_|Nom|Sg	32	subj	_	_
25	in	in	P	APPR	Dat	32	pp	_	_
26	einem	eine	A	ART	Indef|Neut|Dat|Sg	29	det	_	_
27	so	so	A	ADV	_	28	adv	_	_
28	schmalen	schmal	A	ADJA	Pos|Neut|Dat|Sg|Wk|	29	attr	_	_
29	Werkchen	Werkchen	N	NN	Neut|Dat|Sg	25	pn	_	_
30	nicht	nicht	P	PTKNEG	_	32	adv	_	_
31	weniger	weniger	A	ADV	_	32	adv	_	_
32	antrifft	antreffen	V	VVFIN	3|Sg|Pres|Ind	21	neb	_	_
33	,	,	$	$,	_	0	root	_	_
34	indem	indem	K	KOUS	_	38	konj	_	_
35	darin	darin	P	PROAV	_	38	pp	_	_
36	bald	bald	A	ADV	_	38	adv	_	_
37	Geographie	Geographie	N	NN	Fem|Nom|Sg	38	subj	_	_
38	vorkommt	vorkommen	V	VVFIN	3|Sg|Pres|Ind	32	neb	_	_
39	,	,	$	$,	_	0	root	_	_
40	z.	z.	P	APPRART	_	0	root	_	_

1	B.	B.	N	NN	Masc|Nom|Sg	0	root	_	_
2	polnische	polnisch	A	ADJA	Pos|Masc|Nom|Sg|Wk|	52	attr	_	_
3	(	(	$	$(	_	0	root	_	_
4	Wie	Wie	P	PWAV	_	5	adv	_	_
5	grausam	grausam	A	ADJD	Pos|	6	adv	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	par	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	9	det	1321	1321
8	wilde	wild	A	ADJA	Pos|Masc|Nom|Sg|Wk|	9	attr	1321	1321
9	Bär	Bär	N	NN	Masc|Nom|Sg	6	subj	1321	1321
10	,	,	$	$,	_	0	root	_	_
11	Wenn	wenn	K	KOUS	_	15	konj	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	1321	1321
13	vom	von	P	APPRART	Dat	15	pp	_	_
14	Honigbaum	Honigbaum	N	NN	Masc|Dat|Sg	13	pn	_	_
15	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	6	neb	_	_
16	her	her	P	PTKVZ	_	15	avz	_	_
17	)	)	$	$(	_	0	root	_	_
18	oder	oder	K	KON	_	2	kon	_	_
19	arabische	arabisch	A	ADJA	Pos|_|Nom|_|_|	18	cj	_	_
20	(	(	$	$(	_	0	root	_	_
21	Camele	Camele	N	NE	_|Nom|Pl	22	subj	1325	1325
22	tragen	tragen	V	VVFIN	3|Pl|Pres|_	19	par	_	_
23	schwere	schwer	A	ADJA	Pos|Fem|_|Sg|_|	24	attr	_	_
24	Last	Last	N	NN	Fem|_|Sg	22	obja	_	_
25	)	)	$	$(	_	0	root	_	_
26	oder	oder	K	KON	_	19	kon	_	_
27	italienische	italienisch	A	ADJA	Pos|_|Nom|_|_|	26	cj	_	_
28	in	in	P	APPR	_	52	pp	_	_
29	M	M	N	NE	Fem|_|Sg	28	pn	_	_
30	(	(	$	$(	_	0	root	_	_
31	Mit	mit	P	APPR	Dat	29	pp	_	_
32	Messern	Messer	N	NN	_|Dat|_	31	pn	1322	1322
33	stich	stich	N	NE	_|Dat|_	32	app	1322	1322
34	bei	bei	P	APPR	Dat	32	pp	_	_
35	Leibe	Leib	N	NN	Masc|Dat|Sg	34	pn	1050	1050
36	nicht	nicht	P	PTKNEG	_	34	adv	_	_
37	)	)	$	$(	_	0	root	_	_
38	-	-	$	$(	_	0	root	_	_
39	bald	bald	A	ADV	_	40	adv	_	_
40	Kriegskunst	Kriegskunst	N	NN	Fem|_|Sg	29	app	_	_
41	in	in	P	APPR	_	40	pp	_	_
42	D	D	N	NN	Neut|_|_	41	pn	_	_
43	(	(	$	$(	_	0	root	_	_
44	Soldaten	Soldat	N	NN	_|_|_	45	obja	385	385
45	macht	machen	V	VVFIN	3|Sg|Pres|Ind	42	par	_	_
46	der	die	A	ART	Def|Masc|Nom|Sg	47	det	_	_
47	Degen	Degen	N	NN	Masc|Nom|Sg	45	subj	_	_
48	kund	kund	N	NE	Masc|Nom|Sg	47	app	_	_
49	)	)	$	$(	_	0	root	_	_
50	-	-	$	$(	_	0	root	_	_
51	bald	bald	A	ADV	_	29	adv	_	_
52	Mystizismus	Mystizismus	N	NN	Masc|Nom|Sg	1	app	_	_
53	in	in	P	APPR	_	52	pp	_	_
54	L	L	N	NN	Neut|_|_	53	pn	_	_
55	(	(	$	$(	_	0	root	_	_
56	Geduldig	Geduldig	N	NE	_|Nom|Sg	57	subj	_	_
57	ist	sein	V	VAFIN	3|Sg|Pres|Ind	54	par	_	_
58	das	die	A	ART	Def|Neut|Nom|Sg	59	det	_	_
59	Lämmelein	Lämmelein	N	NN	Neut|Nom|Sg	57	pred	_	_
60	,	,	$	$,	_	0	root	_	_
61	Das	die	A	ART	Def|Neut|Nom|Sg	62	det	570	570
62	Licht	Licht	N	NN	Neut|Nom|Sg	63	subj	570	570
63	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	57	kon	_	_
64	einen	eine	A	ART	Indef|Masc|Acc|Sg	66	det	_	_
65	hellen	hell	A	ADJA	Pos|Masc|Acc|Sg|_|	66	attr	_	_
66	Schein	Schein	N	NN	Masc|Acc|Sg	63	obja	_	_
67	)	)	$	$(	_	0	root	_	_
68	-	-	$	$(	_	0	root	_	_
69	bald	bald	A	ADV	_	70	adv	_	_
70	Teleologie	Teleologie	N	NN	Fem|Nom|Sg	78	subj	_	_
71	in	in	P	APPR	_	70	pp	_	_
72	O	O	N	NN	Neut|_|_	71	pn	304	304
73	(	(	$	$(	_	0	root	_	_
74	Das	die	A	ART	Def|Neut|_|Sg	75	det	1323	1323
75	Ohr	Ohr	N	NN	Neut|_|Sg	77	obja	1323	1323
76	zu	zu	P	PTKZU	_	77	part	_	_
77	hören	hören	V	VVINF	_	78	aux	_	_
78	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
79	gemacht	machen	V	VVPP	_	78	neb	_	_
80	)	)	$	$(	_	0	root	_	_
81	.	.	$	$.	_	0	root	_	_

1	Möchte	mögen	V	VMFIN	1|Sg|Past|Subj	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	1324	1324
3	doch	doch	A	ADV	_	1	adv	_	_
4	mit	mit	P	APPR	Dat	1	pp	_	_
5	dem	die	A	ART	Def|_|Dat|Sg	6	part	_	_
6	wenigen	wenige	P	PIS	_|Dat|_	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1324	1324
10	aus	aus	P	APPR	Dat	23	pp	_	_
11	der	die	A	ART	Def|Fem|Dat|Sg	13	det	_	_
12	Fibelischen	fibelisch	A	ADJA	Pos|Fem|Dat|Sg|Wk|	13	attr	_	_
13	Enzyklopädie	Enzyklopädie	N	NN	Fem|Dat|Sg	10	pn	_	_
14	als	als	K	KOKOM	_	23	kom	_	_
15	dem	die	A	ART	Def|_|Dat|Sg	17	det	_	_
16	poetischen	poetisch	A	ADJA	Pos|_|Dat|Sg|Wk|	17	attr	_	_
17	Teile	Teil	N	NN	_|Dat|Sg	20	objd	_	_
18	des	die	A	ART	Def|Neut|Gen|Sg	19	det	19	19
19	Werks	Werk	N	NN	Neut|Gen|Sg	17	gmod	19	19
20	ausgehoben	ausheben	V	VVPP	_	14	cj	_	_
21	,	,	$	$,	_	0	root	_	_
22	den	die	A	ART	Def|_|_|_	23	det	_	_
23	Humanisten	Humanisten	N	NN	Neut|_|Sg	0	root	_	_
24	Beispiel	Beispiel	N	NN	Neut|_|Sg	23	app	_	_
25	sein	sein	V	VAINF	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	wie	wie	P	PWAV	_	0	root	_	_
28	überhaupt	überhaupt	A	ADV	_	29	adv	_	_
29	alle	alle	A	PIDAT	Masc|_|Pl	30	det	_	_
30	Klassiker	Klassiker	N	NN	Masc|_|Pl	0	root	_	_
31	,	,	$	$,	_	0	root	_	_
32	besonders	besonders	A	ADV	_	34	adv	_	_
33	die	die	A	ART	Def|_|_|_	34	det	_	_
34	alten	alt	A	ADJA	_|_|Pl	30	app	_	_
35	,	,	$	$,	_	0	root	_	_
36	so	so	A	ADV	_	37	adv	_	_
37	behandelt	behandeln	V	VVPP	_	38	aux	_	_
38	werden	werden	V	VAINF	_	39	aux	_	_
39	können	können	V	VMFIN	_|Pl|Pres|_	34	par	_	_
40	,	,	$	$,	_	0	root	_	_
41	daß	daß	K	KOUS	_	46	konj	_	_
42	man	man	P	PIS	_|Nom|Sg	46	subj	_	_
43	in	in	P	APPR	Dat	46	pp	_	_
44	ihnen	sie	P	PPER	3|Pl|_|Dat	43	pn	1325	1325
45	das	die	P	PDS	Neut|_|Sg	46	obja	_	_
46	findet	finden	V	VVFIN	3|Sg|Pres|Ind	39	subjc	_	_
47	,	,	$	$,	_	0	root	_	_
48	was	was	P	PRELS	Neut|_|Sg	50	obja	19	19
49	man	man	P	PIS	_|Nom|Sg	50	subj	_	_
50	sucht	suchen	V	VVFIN	3|Sg|Pres|Ind	45	rel	_	_
51	,	,	$	$,	_	0	root	_	_
52	nämlich	nämlich	A	ADV	_	53	adv	_	_
53	alles	alle	P	PIS	_|_|Sg	34	adv	_	_
54	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Neut|Nom|Sg	3	det	_	_
2	guter	gut	A	ADJA	Pos|_|_|_|St|	3	attr	_	_
3	Humanist	Humanist	N	NN	Neut|Nom|Sg	4	subj	_	_
4	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
5	wahrlich	wahrlich	A	ADV	_	7	adv	_	_
6	imstande	imstande	A	ADJD	_	7	pred	_	_
7	sein	sein	V	VAINF	_	4	aux	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	sagen	sagen	V	VVINF	_	7	obji	_	_
10	:	\:	$	$.	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	Gebt	geben	V	VVIMP	Pl	0	root	_	_
13	mir	ich	P	PPER	1|Sg|_|Dat	12	objd	1324	1324
14	irgendeine	irgendeine	A	ADJA	_|Fem|_|Sg|_	19	attr	_	_
15	alte	alt	A	ADJA	Pos|Fem|_|Sg|_|	19	attr	_	_
16	elende	elend	A	ADJA	Pos|Fem|_|Sg|_|	19	attr	_	_
17	matte	matt	A	ADJA	Pos|Fem|_|Sg|_|	19	attr	_	_
18	klassische	klassisch	A	ADJA	Pos|Fem|_|Sg|_|	19	attr	_	_
19	Scharteke	Scharteke	N	NN	Fem|_|Sg	12	obja	_	_
20	her	her	P	PTKVZ	_	12	avz	_	_
21	,	,	$	$,	_	0	root	_	_
22	ganz	ganz	A	ADV	_	23	adv	_	_
23	naht-	naht-	T	TRUNC	Pos|	29	adv	_	_
24	und	und	K	KON	_	23	kon	_	_
25	mehllos	mehllos	A	ADJD	Pos|	24	cj	_	_
26	und	und	K	KON	_	25	kon	_	_
27	nur	nur	A	ADV	_	28	adv	_	_
28	voll	voll	A	ADJD	Pos|	26	cj	_	_
29	von	von	P	APPR	Dat	12	pp	_	_
30	Wurmmehl	Wurmmehl	N	NN	Neut|Dat|Sg	29	pn	1326	1326
31	,	,	$	$,	_	0	root	1326	1326
32	ich	ich	P	PPER	1|Sg|_|Nom	33	subj	1324	1324
33	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
34	euch	ihr	P	PRF	2|Pl|_	35	obja	_	_
35	zeigen	zeigen	V	VVINF	_	33	aux	_	_
36	,	,	$	$,	_	0	root	_	_
37	was	was	P	PRELS	Neut|Nom|Sg	39	subj	1326	1326
38	darin	darin	P	PROAV	_	39	objp	_	_
39	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	30	rel	_	_
40	,	,	$	$,	_	0	root	_	_
41	wenn	wenn	K	KOUS	_	0	root	_	_
42	nicht	nicht	P	PTKNEG	_	44	adv	_	_
43	ein	eine	A	ART	Indef|Masc|Nom|Sg	44	det	_	_
44	Vor-Homer	Vor-Homer	N	NE	Masc|Nom|Sg	0	root	_	_
45	,	,	$	$,	_	0	root	_	_
46	doch	doch	K	KON	_	0	root	_	_
47	ein	eine	A	ART	Indef|Masc|Nom|Sg	48	det	_	_
48	Nach-Homer	Nach-Homer	N	NE	Masc|Nom|Sg	0	root	_	_
49	,	,	$	$,	_	0	root	_	_
50	oder	oder	K	KON	_	0	root	_	_
51	ich	ich	P	PPER	1|Sg|_|Nom	52	subj	1324	1324
52	will	wollen	V	VMFIN	1|Sg|Pres|Ind	50	cj	_	_
53	nicht	nicht	P	PTKNEG	_	52	adv	_	_
54	Professor	Professor	N	NN	Masc|_|Sg	52	obja	_	_
55	der	die	A	ART	Def|_|Gen|_	56	det	_	_
56	Alten	Alt	N	NN	_|Gen|_	54	gmod	_	_
57	heißen	heißen	V	VVINF	_	0	root	_	_
58	.	.	$	$.	_	0	root	_	_
59	«	«	$	$(	_	0	root	_	_

1	Noch	noch	A	ADV	_	2	adv	_	_
2	berühr	berühr	A	ADJD	_	4	adv	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1324	1324
5	flüchtig	flüchtig	A	ADJD	Pos|	8	adv	_	_
6	das	die	A	ART	Def|Neut|_|Sg	8	det	_	_
7	letzte	letzte	A	ADJA	Pos|Neut|_|Sg|Wk|	8	attr	_	_
8	Verdienst	Verdienst	N	NN	Neut|_|Sg	0	root	_	_
9	unsers	unsers	A	ADJA	_|_|_|_|_	10	attr	_	_
10	Seligen	Selige	N	NN	_|_|_	8	app	_	_
11	,	,	$	$,	_	0	root	_	_
12	die	die	A	ART	Def|Fem|_|Sg	13	det	1476	1476
13	Zeichnung	Zeichnung	N	NN	Fem|_|Sg	10	kon	1476	1476
14	und	und	K	KON	_	13	kon	_	_
15	Farbengebung	Farbengebung	N	NN	Fem|_|Sg	14	cj	_	_
16	der	die	A	ART	Def|_|Gen|Pl	17	det	_	_
17	Abcbilder	Abcbild	N	NN	_|Gen|Pl	13	gmod	_	_
18	.	.	$	$.	_	0	root	_	_

1	Gleich	gleich	A	ADJD	Pos|	3	adv	1327	1327
2	Raffaels	Raffael	N	NE	Masc|Gen|Sg	3	gmod	1484	1484
3	Stanzen	Stanzen	N	NN	Neut|Nom|Sg	12	subj	_	_
4	und	und	K	KON	_	3	kon	_	_
5	Madonnen	Madonnen	N	NE	Neut|Nom|Sg	4	cj	_	_
6	(	(	$	$(	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	1324	1324
8	kann	können	V	VMFIN	1|Sg|Pres|Ind	5	par	_	_
9	mirs	mirs	A	ADV	_	10	adv	_	_
10	denken	denken	V	VVINF	_	8	aux	_	_
11	)	)	$	$(	_	0	root	_	_
12	gefallen	fallen	V	VVPP	_	0	root	_	_
13	vielleicht	vielleicht	A	ADV	_	16	adv	_	_
14	anfangs	anfangs	A	ADV	_	15	adv	53	53
15	Fibels	Fibels	N	NE	_|Gen|_	16	gmod	53	53
16	Bilder	Bild	N	NN	_|_|_	0	root	_	_
17	schwach	schwach	A	ADJD	Pos|	0	root	_	_
18	;	;	$	$.	_	0	root	_	_
19	ja	ja	A	ADV	_	37	adv	_	_
20	wie	wie	K	KOKOM	_	19	kom	_	_
21	bei	bei	P	APPR	Dat	20	cj	_	_
22	jenen	jene	P	PDS	_|Dat|Pl	21	pn	_	_
23	,	,	$	$,	_	0	root	_	_
24	so	so	A	ADV	_	25	adv	_	_
25	ist	sein	V	VAFIN	3|Sg|Pres|Ind	22	par	_	_
26	es	es	P	PPER	3|Sg|Neut|Nom	25	subj	_	_
27	vielleicht	vielleicht	A	ADV	_	25	adv	_	_
28	bei	bei	P	APPR	Dat	25	pp	_	_
29	diesen	diese	P	PDS	_|Dat|Pl	28	pn	_	_
30	bloß	bloß	A	ADV	_	25	adv	_	_
31	das	die	A	ART	Def|Neut|Nom|Sg	32	det	_	_
32	Zeichen	Zeichen	N	NN	Neut|Nom|Sg	25	pred	_	_
33	einer	eine	A	ART	Indef|Fem|Gen|Sg	35	det	_	_
34	affektierten	affektiert	A	ADJA	Pos|Fem|Gen|Sg|Wk|	35	attr	_	_
