1	Ew	Ew	N	NE	_	0	root	532	532
42	gegen	gegen	P	APPR	Acc	41	pp	_	_
43	neue	neu	A	ADJA	Pos|_|Acc|_|_|	42	pn	_	_
44	;	;	$	$.	_	0	root	_	_
45	und	und	K	KON	_	0	root	_	_
46	wie	wie	K	KOKOM	_	49	kom	_	_
47	bei	bei	P	APPR	Dat	46	cj	_	_
48	Erbschaften	Erbschaft	N	NN	Fem|Dat|Pl	47	pn	_	_
49	stehen	stehen	V	VVFIN	3|Pl|Pres|_	45	cj	_	_
50	die	die	A	ART	Def|Masc|Nom|Pl	51	det	_	_
51	Aszendenten	Aszendent	N	NN	Masc|Nom|Pl	49	subj	_	_
52	den	die	A	ART	Def|_|Dat|Pl	53	det	_	_
53	Deszendenten	Deszendenten	N	NN	_|Dat|Pl	49	objd	_	_
54	nach	nach	P	PTKVZ	_	49	avz	_	_
55	.	.	$	$.	_	0	root	_	_

1	Ists	Ist	N	NN	Neut|Gen|Sg	0	root	1626	1626
2	die	die	A	ART	Def|Fem|_|Sg	3	det	_	_
3	Mühe	Mühe	N	NN	Fem|_|Sg	0	root	_	_
4	wert	wert	A	ADJD	Pos|	8	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	viel	viel	A	ADV	_	4	kon	_	_
8	tausend	tausend	C	CARD	_	10	attr	_	_
9	kahle	kahl	A	ADJA	Pos|Fem|_|Pl|St|	10	attr	_	_
10	Ideen	Idee	N	NN	Fem|_|Pl	3	app	_	_
11	,	,	$	$,	_	0	root	_	_
12	für	für	P	APPR	Acc	21	pp	_	_
13	welche	welche	P	PRELS	Fem|Acc|Pl	12	pn	_	_
14	man	man	P	PIS	_|Nom|Sg	21	subj	_	_
15	ein	eine	A	ART	Indef|Neut|_|Sg	16	det	_	_
16	Jahr	Jahr	N	NN	Neut|_|Sg	17	grad	_	_
17	später	spät	A	ADJD	_|	21	adv	_	_
18	kein	keine	A	PIAT	Neut|_|Sg	20	det	_	_
19	altes	alt	A	ADJA	Pos|Neut|_|Sg|St|	20	attr	_	_
20	Zeitungsblatt	Zeitungsblatt	N	NN	Neut|_|Sg	21	obja	_	_
21	gäbe	geben	V	VVFIN	3|Sg|Past|Subj	10	rel	_	_
22	-	-	$	$(	_	0	root	_	_
23	man	man	P	PIS	_|Nom|Sg	24	subj	_	_
24	lese	lesen	V	VVFIN	3|Sg|Pres|Subj	21	par	_	_
25	zur	zu	P	APPRART	Dat	24	pp	_	_
26	Probe	Probe	N	NN	Fem|Dat|Sg	25	pn	506	506
27	nur	nur	A	ADV	_	24	adv	_	_
28	ein	eine	A	ART	Indef|_|_|Sg	29	det	_	_
29	altes	alt	A	ADJA	Neut|_|Sg	24	obja	_	_
30	-	-	$	$(	_	0	root	_	_
31	und	und	K	KON	_	0	root	_	_
32	die	die	P	PRELS	_|_|_	31	cj	506	506
33	man	man	P	PIS	_|Nom|Sg	0	root	_	_
34	nach	nach	P	APPR	Dat	33	pp	_	_
35	dem	die	A	ART	Def|Neut|Dat|Sg	36	det	_	_
36	Lesen	Lesen	N	NN	Neut|Dat|Sg	34	pn	_	_
37	wieder	wieder	A	ADV	_	36	adv	_	_
38	aus	aus	P	APPR	Dat	36	pp	_	_
39	dem	die	A	ART	Def|Neut|Dat|Sg	40	det	_	_
40	Gedächtnis	Gedächtnis	N	NN	Neut|Dat|Sg	38	pn	_	_
41	entlässet	entlässet	N	NE	Neut|Dat|Sg	40	app	_	_
42	,	,	$	$,	_	0	root	_	_
43	in	in	P	APPR	Acc	46	pp	_	_
44	den	die	A	ART	Def|Masc|Acc|Sg	45	det	_	_
45	Pfandstall	Pfandstall	N	NN	Masc|Acc|Sg	43	pn	_	_
46	desselben	dieselbe	P	PDS	_|Gen|Sg	0	root	_	_
47	einzuziehen	einziehen	V	VVIZU	_	0	root	_	_
48	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Vaterlandsliebe	Vaterlandsliebe	N	NN	_|Nom|Pl	3	subj	_	_
3	können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|_|_|_	12	obja	507	507
5	,	,	$	$,	_	0	root	_	_
6	Herr	Herr	N	NN	Masc|_|Sg	4	kon	508	508
7	Fisch	Fisch	N	NE	_|_|Sg	6	app	508	508
8	,	,	$	$,	_	0	root	_	_
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	viel	viel	P	PIS	Masc|_|Sg	6	kon	_	_
11	daraus	daraus	P	PROAV	_	12	pp	_	_
12	extrahieren	extrahieren	V	VVINF	_	3	aux	_	_
13	(	(	$	$(	_	0	root	_	_
14	weil	weil	K	KOUS	_	0	root	_	_
15	wir	wir	P	PPER	1|Pl|_|Nom	0	root	509	509
16	,	,	$	$,	_	0	root	_	_
17	ungleich	ungleich	A	ADJD	Pos|	19	adv	_	_
18	den	die	A	ART	Def|Masc|_|_	19	det	_	_
19	Briten	Brite	N	NN	Masc|_|_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	in	in	P	APPR	_	30	pp	_	_
22	unsern	unsre	A	PPOSAT	_|_|_	23	det	509	509
23	Zeitungen	Zeitung	N	NN	_|_|_	21	pn	_	_
24	das	die	A	ART	Def|Neut|_|Sg	25	det	_	_
25	Departement	Departement	N	NN	Neut|_|Sg	30	obja	_	_
26	der	die	A	ART	Def|Fem|Gen|Pl	28	det	_	_
27	auswärtigen	auswärtig	A	ADJA	Pos|Fem|Gen|Pl|Wk|	28	attr	_	_
28	Angelegenheiten	Angelegenheit	N	NN	Fem|Gen|Pl	25	gmod	_	_
29	zuerst	zuerst	A	ADV	_	30	adv	_	_
30	besetzen	besetzen	V	VVINF	_	0	root	_	_
31	)	)	$	$(	_	0	root	_	_
32	,	,	$	$,	_	0	root	_	_
33	aber	aber	K	KON	_	0	root	_	_
34	wohl	wohl	A	ADV	_	35	adv	_	_
35	Neutralität	Neutralität	N	NN	Fem|_|Sg	33	cj	_	_
36	gegen	gegen	P	APPR	Acc	35	pp	_	_
37	das	die	A	ART	Def|Neut|Acc|Sg	38	det	_	_
38	Vaterland	Vaterland	N	NN	Neut|Acc|Sg	36	pn	_	_
39	,	,	$	$,	_	0	root	_	_
40	weil	weil	K	KOUS	_	55	konj	_	_
41	unsere	unsre	A	PPOSAT	Fem|Nom|Pl	42	det	509	509
42	Zeitungen	Zeitung	N	NN	Fem|Nom|Pl	55	subj	_	_
43	keine	keine	A	PIAT	_|_|_	45	det	_	_
44	britische	britisch	A	ADJA	Pos|_|_|_|_|	45	attr	_	_
45	Rechts-	Rechts-	T	TRUNC	Fem|_|Sg	54	obja	_	_
46	und	und	K	KON	_	45	kon	_	_
47	Unrechtsgeschichte	Unrechtsgeschichte	N	NN	_|_|Sg	46	cj	_	_
48	,	,	$	$,	_	0	root	_	_
49	sondern	sondern	K	KON	_	47	kon	_	_
50	nur	nur	A	ADV	_	52	adv	_	_
51	faktische	faktisch	A	ADJA	Pos|_|_|Sg|_|	52	attr	_	_
52	Geschichte	Geschichte	N	NN	_|_|Sg	49	cj	_	_
53	zu	zu	P	PTKZU	_	54	part	_	_
54	geben	geben	V	VVINF	_	55	aux	_	_
55	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
56	.	.	$	$.	_	0	root	_	_

1	Schrieben	Schrieb	N	NN	Masc|Dat|Pl	0	root	_	_
2	denn	denn	A	ADV	_	6	adv	_	_
3	nicht	nicht	P	PTKNEG	_	6	adv	_	_
4	die	die	A	ART	Def|Masc|_|Pl	6	det	_	_
5	inquisitorischen	inquisitorisch	A	ADJA	Pos|Masc|_|Pl|Wk|	6	attr	_	_
6	Venezianer	Venezianer	N	NN	Masc|_|Pl	0	root	_	_
7	die	die	A	ART	Def|Fem|_|Sg	9	det	529	529
8	erste	erst	A	ADJA	_|Fem|_|Sg|_|	9	attr	529	529
9	Zeitung	Zeitung	N	NN	Fem|_|Sg	0	root	529	529
10	;	;	$	$.	_	0	root	_	_
11	und	und	K	KON	_	0	root	_	_
12	kommt	kommen	V	VVFIN	_|_|Pres|Ind	11	cj	_	_
13	im	in	P	APPRART	Dat	12	pp	_	_
14	sklavischen	sklavisch	A	ADJA	Pos|_|Dat|_|_|	15	attr	_	_
15	Pekin	Pekin	N	NN	_|Dat|_	13	pn	_	_
16	nicht	nicht	P	PTKNEG	_	12	adv	_	_
17	täglich	täglich	A	ADJD	Pos|	12	adv	_	_
18	eine	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
19	von	von	P	APPR	_	0	root	_	_
20	70	70	C	CARD	_	21	attr	_	_
21	Seiten	Seite	N	NN	Fem|_|Pl	19	pn	_	_
22	heraus	heraus	P	PTKVZ	_	0	root	_	_
23	?	?	$	$.	_	0	root	_	_

1	Herr	Herr	N	NN	Masc|_|Sg	9	vok	508	508
2	Fisch	Fisch	N	NE	_|_|Sg	1	app	508	508
3	,	,	$	$,	_	0	root	_	_
4	solche	solche	A	PIDAT	Masc|Nom|Pl	5	det	_	_
5	Zeitungsbände	Zeitungsband	N	NN	Masc|Nom|Pl	9	subj	_	_
6	statt	statt	P	APPR	Gen	5	pp	_	_
7	der	die	A	ART	Def|Neut|Gen|Pl	8	det	510	510
8	Blätter	Blatt	N	NN	Neut|Gen|Pl	6	pn	510	510
9	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
10	uns	wir	P	PPER	1|Pl|_|Dat	11	objd	509	509
11	zugedacht	zudenken	V	VVPP	_	12	aux	_	_
12	sein	sein	V	VAINF	_	9	aux	_	_
13	.	.	$	$.	_	0	root	_	_

1	Viel	viel	P	PIS	_|Nom|Pl	2	subj	_	_
2	erzählen	erzählen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	2	s	_	_
5	La	La	N	NE	_|Nom|Sg	4	subj	1816	1816
6	Bruyere	Bruyere	N	NE	_|Nom|Sg	5	app	1816	1816
7	,	,	$	$,	_	0	root	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	s	_	_
9	das	die	A	ART	Def|Neut|Nom|Sg	10	det	_	_
10	Zeichen	Zeichen	N	NN	Neut|Nom|Sg	8	subj	_	_
11	eines	eine	A	ART	Indef|Masc|Gen|Sg	13	det	511	511
12	schwachen	schwach	A	ADJA	Pos|Masc|Gen|Sg|_|	13	attr	511	511
13	Kopfes	Kopf	N	NN	Masc|Gen|Sg	10	gmod	511	511
14	;	;	$	$.	_	0	root	511	511
15	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	1816	1816
16	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
17	noch	noch	A	ADV	_	21	adv	_	_
18	den	die	A	ART	Def|_|_|_	20	det	_	_
19	zweiten	zweit	A	ADJA	_|_|_|_|_|	20	attr	_	_
20	schwachen	schwach	A	ADJA	_|_|_	21	obja	_	_
21	dazusetzen	dazusetzen	V	VVINF	_	16	aux	_	_
22	,	,	$	$,	_	0	root	_	_
23	der	die	P	PRELS	Masc|Nom|Sg	27	subj	511	511
24	gern	gern	A	ADV	_	27	adv	_	_
25	viel	viel	P	PIS	_	27	obja	_	_
26	erzählen	erzählen	V	VVINF	_	27	obji	_	_
27	hört	hören	V	VVFIN	3|Sg|Pres|Ind	13	rel	_	_
28	;	;	$	$.	_	0	root	_	_
29	aber	aber	K	KON	_	0	root	_	_
30	am	an	P	APPRART	Dat	32	pp	_	_
31	Ende	Ende	N	NN	Neut|Dat|Sg	30	pn	198	198
32	sind	sein	V	VAFIN	3|Pl|Pres|Ind	29	cj	_	_
33	beide	beide	P	PIS	_|Nom|Pl	32	subj	_	_
34	einer	eine	P	PIS	Masc|Nom|Sg	32	pred	_	_
35	,	,	$	$,	_	0	root	_	_
36	weil	weil	K	KOUS	_	45	konj	_	_
37	jeder	jede	A	PIDAT	Masc|Nom|Sg	39	det	_	_
38	lange	lang	A	ADJA	Pos|Masc|Nom|Sg|Wk|	39	attr	_	_
39	Erzähler	Erzähler	N	NN	Masc|Nom|Sg	45	subj	_	_
40	vorher	vorher	A	ADV	_	44	adv	_	_
41	ein	eine	A	ART	Indef|Masc|Nom|Sg	43	det	_	_
42	langer	lang	A	ADJA	Pos|Masc|Nom|Sg|St|	43	attr	_	_
43	Zuhörer	Zuhörer	N	NN	Masc|Nom|Sg	44	pred	_	_
44	sein	sein	V	VAINF	_	45	aux	_	_
45	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	32	neb	_	_
46	.	.	$	$.	_	0	root	_	_

1	Für	für	P	APPR	Acc	12	pp	_	_
2	die	die	A	ART	Def|Fem|Acc|Sg	3	det	_	_
3	Lähmung	Lähmung	N	NN	Fem|Acc|Sg	1	pn	_	_
4	der	die	A	ART	Def|Fem|Gen|Sg	8	det	_	_
5	rechten	recht	A	ADJA	Pos|Fem|Gen|Sg|Wk|	8	attr	_	_
6	und	und	K	KON	_	5	kon	_	_
7	linken	link	A	ADJA	Pos|_|Gen|_|_|	6	cj	_	_
8	Seite	Seite	N	NN	Fem|Gen|Sg	3	gmod	_	_
9	des	die	A	ART	Def|Masc|Gen|Sg	11	det	841	841
10	innern	innern	A	ADJA	_|Masc|Gen|Sg|_	11	attr	841	841
11	Menschen	Mensch	N	NN	Masc|Gen|Sg	8	gmod	841	841
12	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
13	Neuigkeiten	Neuigkeit	N	NN	Fem|Nom|Pl	12	subj	512	512
14	,	,	$	$,	_	0	root	_	_
15	zumal	zumal	K	KOUS	_	16	konj	_	_
16	recht	recht	A	ADJD	Pos|	12	neb	_	_
17	schlechte	schlecht	A	ADJA	Pos|_|_|_|_|	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	eine	eine	A	ART	Indef|Fem|_|Sg	21	det	_	_
20	herrliche	herrlich	A	ADJA	Pos|Fem|_|Sg|_|	21	attr	_	_
21	Urtikation	Urtikation	N	NN	Fem|_|Sg	0	root	_	_
22	(	(	$	$(	_	0	root	_	_
23	Nesselngeißelung	Nesselngeißelung	N	NN	Fem|_|Sg	21	app	_	_
24	)	)	$	$(	_	0	root	_	_
25	-	-	$	$(	_	0	root	_	_
26	wie	wie	P	PWAV	_	0	root	_	_
27	Sie	sie	P	PPER	3|_|_|_	36	obja	512	512
28	an	an	P	APPR	_	36	pp	_	_
29	allen	alle	A	PIDAT	Masc|_|_	35	det	_	_
30	müßigen	müßig	A	ADJA	Pos|Masc|_|_|_|	35	attr	_	_
31	,	,	$	$,	_	0	root	_	_
32	schlaffen	schlaff	A	ADJA	Pos|_|_|_|_|	30	kon	_	_
33	,	,	$	$,	_	0	root	_	_
34	leeren	leer	A	ADJA	Pos|_|_|_|_|	32	kon	_	_
35	Menschen	Mensch	N	NN	Masc|_|_	28	pn	_	_
36	sehen	sehen	V	VVINF	_	0	root	_	_
37	-	-	$	$(	_	0	root	_	_
38	wie	wie	K	KOKOM	_	40	kom	_	_
39	Hinrichtungen	Hinrichtung	N	NN	Fem|_|Pl	38	cj	_	_
40	für	für	P	APPR	Acc	36	pp	_	_
41	das	die	A	ART	Def|Neut|Acc|Sg	42	det	996	996
42	Volk	Volk	N	NN	Neut|Acc|Sg	40	pn	996	996
43	und	und	K	KON	_	42	kon	_	_
44	Mordgeschichten	Mordgeschichte	N	NN	Fem|Acc|Pl	43	cj	_	_
45	für	für	P	APPR	Acc	44	pp	_	_
46	die	die	A	ART	Def|Fem|Acc|Pl	48	det	_	_
47	jüngsten	jung	A	ADJA	Sup|Fem|Acc|Pl|Wk|	48	attr	_	_
48	Leserinnen	Leserin	N	NN	Fem|Acc|Pl	45	pn	_	_
49	;	;	$	$.	_	0	root	_	_
50	aber	aber	K	KON	_	0	root	_	_
51	noch	noch	A	ADV	_	52	adv	_	_
52	sanfter	sanft	A	ADJD	Comp|	56	adv	_	_
53	als	als	K	KOKOM	_	52	kom	_	_
54	das	die	A	ART	Def|Neut|_|Sg	55	det	_	_
55	Kriegsschauspiel	Kriegsschauspiel	N	NN	Neut|_|Sg	53	cj	_	_
56	tut	tun	V	VVFIN	3|Sg|Pres|Ind	50	cj	_	_
57	wie	wie	K	KOKOM	_	56	kom	_	_
58	bei	bei	P	APPR	Dat	57	cj	_	_
59	andern	andern	A	ADJA	_|Neut|Dat|_|_	60	attr	_	_
60	Schauspielen	Schauspiel	N	NN	Neut|Dat|_	58	pn	_	_
61	die	die	A	ART	Def|Fem|Nom|Sg	62	det	_	_
62	Kritik	Kritik	N	NN	Fem|Nom|Sg	56	subj	_	_
63	über	über	P	APPR	Acc	56	pp	_	_
64	die	die	A	ART	Def|Masc|Acc|Pl	65	det	_	_
65	Schauspieler	Schauspieler	N	NN	Masc|Acc|Pl	63	pn	_	_
66	.	.	$	$.	_	0	root	_	_

1	Herr	Herr	N	NN	Masc|_|Sg	6	vok	508	508
2	Fisch	Fisch	N	NE	_|_|Sg	1	app	508	508
3	,	,	$	$,	_	0	root	_	_
4	die	die	A	ART	Def|Masc|Nom|Pl	5	det	441	441
5	Menschen	Mensch	N	NN	Masc|Nom|Pl	6	subj	441	441
6	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	0	root	_	_
9	der	die	A	ART	Def|_|_|_	10	det	_	_
10	flamen	flamen	F	FM	_|_|_	0	root	_	_
11	dialis	dialis	F	FM	_|_|_	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	keine	keine	A	PIAT	Fem|_|Sg	15	det	513	513
14	schußfertige	schußfertig	A	ADJA	Pos|Fem|_|Sg|_|	15	attr	513	513
15	Armee	Armee	N	NN	Fem|_|Sg	17	obja	513	513
16	zu	zu	P	PTKZU	_	17	part	_	_
17	sehen	sehen	V	VVINF	_	0	root	_	_
18	bekommen	bekommen	V	VVINF	_	0	root	_	_
19	;	;	$	$.	_	0	root	_	_
20	bloß	bloß	A	ADV	_	21	adv	_	_
21	damit	damit	K	KOUS	_	0	root	_	_
22	sie	sie	P	PPER	3|_|_|_	0	root	513	513
23	nie	nie	A	ADV	_	22	adv	_	_
24	eine	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
25	rezensierten	rezensiert	A	ADJA	Pos|_|_|_|_|	0	root	_	_
26	.	.	$	$.	_	0	root	_	_

1	Allerdings	allerdings	A	ADV	_	2	adv	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	Zimmermann	Zimmermann	N	NN	Masc|Nom|Sg	2	subj	1817	1817
4	gesagt	sagen	V	VVPP	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	A	ART	Def|Neut|Nom|Sg	7	det	514	514
7	Genie	Genie	N	NN	Neut|Nom|Sg	10	subj	514	514
8	eines	eine	A	ART	Indef|Masc|Gen|Sg	9	det	514	514
9	Generals	General	N	NN	Masc|Gen|Sg	7	gmod	514	514
10	habe	haben	V	VAFIN	3|Sg|Pres|Subj	4	s	_	_
11	die	die	A	ART	Def|Fem|_|Sg	13	det	1323	1323
12	größte	groß	A	ADJA	Sup|Fem|_|Sg|_|	13	attr	1323	1323
13	Verwandtschaft	Verwandtschaft	N	NN	Fem|_|Sg	10	obja	1323	1323
14	mit	mit	P	APPR	Dat	10	pp	_	_
15	dem	die	A	ART	Def|Neut|Dat|Sg	16	det	_	_
16	Genie	Genie	N	NN	Neut|Dat|Sg	14	pn	_	_
17	eines	eine	A	ART	Indef|Masc|Gen|Sg	18	det	_	_
18	Arztes	Arzt	N	NN	Masc|Gen|Sg	16	gmod	_	_
19	-	-	$	$(	_	0	root	_	_
20	wenigstens	wenigstens	A	ADV	_	21	adv	_	_
21	macht	machen	V	VVFIN	3|Sg|Pres|Ind	18	par	_	_
22	jenes	jene	P	PDS	Neut|Nom|Sg	21	subj	_	_
23	dieses	diese	P	PDS	_|_|Sg	21	obja	_	_
24	nötig	nötig	A	ADJD	Pos|	21	pred	_	_
25	-	-	$	$(	_	0	root	_	_
26	;	;	$	$.	_	0	root	_	_
27	und	und	K	KON	_	0	root	_	_
28	ich	ich	P	PPER	1|Sg|_|Nom	31	subj	1817	1817
29	und	und	K	KON	_	28	kon	_	_
30	Sie	sie	P	PPER	3|_|_|Nom	29	cj	514	514
31	geben	geben	V	VVFIN	_|Pl|Pres|_	27	cj	_	_
