1	B.	B.	N	NN	Masc|_|Sg	0	root	42	42
11	Regen	Regen	N	NN	_|Dat|_	10	pn	_	_
12	eine	eine	A	ART	Indef|Fem|Acc|Sg	13	det	_	_
13	Stunde	Stunde	N	NN	Fem|Acc|Sg	14	pn	_	_
14	lang	lang	P	APPO	Acc	15	pp	_	_
15	spazieren	spazieren	V	VVINF	_	16	obji	_	_
16	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	2	neb	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	16	kon	_	_
19	wenn	wenn	K	KOUS	_	30	konj	_	_
20	man	man	P	PIS	_|Nom|Sg	30	subj	_	_
21	im	in	P	APPRART	Dat	29	pp	_	_
22	Regen	Regen	N	NN	_|Dat|_	21	pn	_	_
23	vor	vor	P	APPR	Dat	29	pp	_	_
24	einer	eine	A	ART	Indef|Fem|Dat|Sg	26	det	_	_
25	versperrten	versperrt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	26	attr	_	_
26	Haustüre	Haustüre	N	NN	Fem|Dat|Sg	23	pn	_	_
27	eine	eine	A	ART	Indef|Fem|_|Sg	28	det	_	_
28	Stunde	Stunde	N	NN	Fem|_|Sg	29	zeit	_	_
29	warten	warten	V	VVINF	_	30	aux	_	_
30	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	18	cj	_	_
31	;	;	$	$.	_	0	root	_	_
32	-	-	$	$(	_	0	root	_	_
33	und	und	K	KON	_	0	root	_	_
34	die	die	A	ART	Def|Fem|Nom|Sg	35	det	849	849
35	Unabänderlichkeit	Unabänderlichkeit	N	NN	Fem|Nom|Sg	36	subj	849	849
36	ist	sein	V	VAFIN	3|Sg|Pres|Ind	33	cj	_	_
37	auch	auch	A	ADV	_	36	adv	_	_
38	dieselbe	dieselbe	A	PDAT	Fem|_|Sg	0	root	_	_
39	-	-	$	$(	_	0	root	_	_
40	;	;	$	$.	_	0	root	_	_
41	aber	aber	K	KON	_	0	root	_	_
42	man	man	P	PIS	_|Nom|Sg	43	subj	_	_
43	halte	halten	V	VVFIN	3|Sg|Pres|Subj	41	cj	_	_
44	nun	nun	A	ADV	_	43	adv	_	_
45	gegen	gegen	P	APPR	Acc	43	pp	_	_
46	diese	diese	A	PDAT	Fem|Acc|Sg	47	det	_	_
47	Gleichheit	Gleichheit	N	NN	Fem|Acc|Sg	45	pn	_	_
48	des	die	A	ART	Def|_|Gen|Sg	49	det	851	851
49	Äußern	Äußern	N	NN	Neut|Gen|Sg	47	gmod	851	851
50	die	die	A	ART	Def|Fem|_|Sg	51	det	851	851
51	Ungleichheit	Ungleichheit	N	NN	Fem|_|Sg	43	obja	851	851
52	des	die	A	ART	Def|Masc|Gen|Sg	53	det	878	878
53	Innern	Inner	N	NN	Masc|Gen|Sg	51	gmod	878	878
54	,	,	$	$,	_	0	root	_	_
55	das	die	P	PRELS	Neut|Nom|Sg	57	subj	851	851
56	dort	dort	A	ADV	_	57	adv	_	_
57	schweigt	schweigen	V	VVFIN	3|Sg|Pres|Ind	49	rel	_	_
58	und	und	K	KON	_	57	kon	_	_
59	schwelgt	schwelgen	V	VVFIN	_|_|Pres|Ind	58	cj	_	_
60	,	,	$	$,	_	0	root	_	_
61	und	und	K	KON	_	59	kon	_	_
62	das	die	P	PDS	Neut|Nom|Sg	64	subj	_	_
63	hier	hier	A	ADV	_	64	adv	_	_
64	tobt	toben	V	VVFIN	3|Sg|Pres|Ind	61	cj	_	_
65	und	und	K	KON	_	64	kon	_	_
66	brennt	brennen	V	VVFIN	_|_|Pres|Ind	65	cj	_	_
67	.	.	$	$.	_	0	root	_	_

1	Dies	dies	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	entsteht	entstehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	aus	aus	P	APPR	Dat	2	pp	_	_
4	vier	vier	C	CARD	_	5	attr	_	_
5	Täuschungen	Täuschung	N	NN	Fem|Dat|Pl	3	pn	_	_
6	.	.	$	$.	_	0	root	_	_

1	Erstlich	erstlich	A	ADJD	Pos|	17	adv	_	_
2	aus	aus	P	APPR	Dat	1	pp	_	_
3	einem	eine	A	ART	Indef|Neut|Dat|Sg	5	det	_	_
4	schlaffen	schlaff	A	ADJA	Pos|Neut|Dat|Sg|Wk|	5	attr	_	_
5	Wohlbehagen	Wohlbehagen	N	NN	Neut|Dat|Sg	2	pn	_	_
6	am	an	P	APPRART	Dat	5	pp	_	_
7	Gefühle	Gefühl	N	NN	Neut|Dat|Sg	6	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	gekränkt	kränken	V	VVPP	_	11	aux	_	_
10	zu	zu	P	PTKZU	_	11	part	_	_
11	sein	sein	V	VAINF	_	7	obji	_	_
12	,	,	$	$,	_	0	root	_	_
13	aus	aus	P	APPR	Dat	2	kon	_	_
14	einer	eine	A	ART	Indef|Fem|Dat|Sg	15	det	_	_
15	Mattigkeit	Mattigkeit	N	NN	Fem|Dat|Sg	13	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	in	in	P	APPR	Dat	32	pp	_	_
18	welcher	welche	P	PWS	Fem|Dat|Sg	17	pn	_	_
19	der	die	A	ART	Def|Masc|Nom|Sg	20	det	31	31
20	Mensch	Mensch	N	NN	Masc|Nom|Sg	32	subj	31	31
21	ungern	ungern	A	ADV	_	32	adv	_	_
22	mitten	mitten	A	ADV	_	23	adv	_	_
23	im	in	P	APPRART	Dat	32	pp	_	_
24	Schmerze	Schmerz	N	NN	Masc|Dat|Sg	23	pn	1303	1303
25	sich	sie	P	PRF	3|_|Dat	32	objd	_	_
26	zur	zu	P	APPRART	Dat	32	pp	_	_
27	Kraft	Kraft	N	NN	Fem|Dat|Sg	26	pn	_	_
28	der	die	A	ART	Def|Fem|Gen|Sg	29	det	879	879
29	Klarheit	Klarheit	N	NN	Fem|Gen|Sg	27	gmod	879	879
30	und	und	K	KON	_	29	kon	_	_
31	Ansicht	Ansicht	N	NN	Fem|Gen|Sg	30	cj	_	_
32	anspannt	anspannen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
33	;	;	$	$.	_	0	root	_	_
34	er	er	P	PPER	3|Sg|Masc|Nom	35	subj	31	31
35	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
36	am	an	P	APPRART	Dat	40	pp	_	_
37	Unglück	Unglück	N	NN	Neut|Dat|Sg	36	pn	1105	1105
38	doch	doch	A	ADV	_	40	adv	_	_
39	etwas	etwas	A	ADV	_	40	adv	_	_
40	genießen	genießen	V	VVINF	_	35	aux	_	_
41	,	,	$	$,	_	0	root	_	_
42	das	die	A	ART	Def|Neut|_|Sg	44	det	_	_
43	leidende	leidend	A	ADJA	Pos|Neut|_|Sg|Wk|<PPRES	44	attr	_	_
44	Hingegebensein	Hingegebensein	N	NN	Neut|_|Sg	0	root	_	_
45	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	31	31
2	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	31	31
5	könnte	können	V	VMFIN	3|Sg|Past|Subj	2	kon	_	_
6	sich	sie	P	PRF	3|_|_	7	obja	_	_
7	trösten	trösten	V	VVINF	_	5	aux	_	_
8	und	und	K	KON	_	7	kon	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	_	_
10	Hagel	Hagel	N	NN	Masc|Acc|Sg	16	obja	_	_
11	des	die	A	ART	Def|Neut|Gen|Sg	12	det	460	460
12	Schicksals	Schicksal	N	NN	Neut|Gen|Sg	10	gmod	460	460
13	in	in	P	APPR	Dat	16	pp	_	_
14	seinen	seine	A	PPOSAT	Fem|Dat|Pl	15	det	460	460
15	Händen	Hand	N	NN	Fem|Dat|Pl	13	pn	_	_
16	schmelzen	schmelzen	V	VVINF	_	8	cj	_	_
17	,	,	$	$,	_	0	root	_	_
18	aber	aber	K	KON	_	5	kon	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	20	subj	31	31
20	will	wollen	V	VMFIN	3|Sg|Pres|Ind	18	cj	_	_
21	sich	sie	P	PRF	3|_|_	23	obja	_	_
22	nicht	nicht	P	PTKNEG	_	23	adv	_	_
23	erkälten	erkälten	V	VVINF	_	20	aux	_	_
24	,	,	$	$,	_	0	root	_	_
25	so	so	A	ADV	_	0	root	_	_
26	wie	wie	P	PWAV	_	0	root	_	_
27	er	er	P	PPER	3|Sg|Masc|Nom	0	root	31	31
28	mitten	mitten	A	ADV	_	29	adv	_	_
29	im	in	P	APPRART	Dat	0	root	_	_
30	Zorne	Zorn	N	NN	Masc|Dat|Sg	29	pn	_	_
31	sich	sie	P	PRF	3|_|_	0	root	_	_
32	künftiges	künftig	A	ADJA	Pos|Neut|Acc|Sg|St|	33	attr	1252	1252
33	Verzeihen	Verzeihen	N	NN	Neut|Acc|Sg	49	obja	1252	1252
34	weissagt	weissagt	N	NE	Neut|Acc|Sg	33	app	1252	1252
35	,	,	$	$,	_	0	root	_	_
36	aber	aber	K	KON	_	33	kon	_	_
37	den	die	A	ART	Def|Masc|Acc|Sg	38	det	_	_
38	Verlust	Verlust	N	NN	Masc|Acc|Sg	36	cj	_	_
39	des	die	A	ART	Def|Neut|Gen|Sg	41	det	_	_
40	zürnenden	zürnend	A	ADJA	Pos|Neut|Gen|Sg|_|<PPRES	41	attr	_	_
41	Kraft-Gefühls	Kraft-Gefühl	N	NN	Neut|Gen|Sg	38	gmod	_	_
42	und	und	K	KON	_	38	kon	_	_
43	die	die	A	ART	Def|Fem|Acc|Sg	44	det	883	883
44	Mühe	Mühe	N	NN	Fem|Acc|Sg	42	cj	883	883
45	der	die	A	ART	Def|Fem|Gen|Sg	46	det	883	883
46	Selbbezwingung	Selbbezwingung	N	NN	Fem|Gen|Sg	44	gmod	883	883
47	und	und	K	KON	_	46	kon	_	_
48	Selb-Erhellung	Selb-Erhellung	N	NN	Fem|Gen|Sg	47	cj	_	_
49	scheuet	scheuen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
50	;	;	$	$.	_	0	root	_	_
51	er	er	P	PPER	3|Sg|Masc|Nom	52	subj	31	31
52	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
53	trostfaul	trostfaul	A	ADJD	Pos|	52	pred	_	_
54	und	und	K	KON	_	0	root	_	_
55	denkmüßig	denkmüßig	A	ADJD	Pos|	56	adv	_	_
56	nicht	nicht	P	PTKNEG	_	0	root	_	_
57	sein	sein	V	VAINF	_	0	root	_	_
58	eignet	eignen	V	VVFIN	_|_|Pres|_	0	root	_	_
59	Arzt	Arzt	N	NN	Masc|Nom|Sg	60	pred	208	208
60	sein	sein	V	VAINF	_	0	root	_	_
61	,	,	$	$,	_	0	root	_	_
62	sondern	sondern	K	KON	_	60	kon	_	_
63	auf	auf	P	APPR	Acc	67	pp	_	_
64	einen	eine	A	ART	Indef|Masc|Acc|Sg	65	det	_	_
65	fremden	fremd	A	ADJA	Masc|Acc|Sg	63	pn	_	_
66	liegend	liegen	A	ADJD	_|<PPRES	67	adv	_	_
67	warten	warten	V	VVINF	_	62	cj	_	_
68	;	;	$	$.	_	0	root	_	_
69	er	er	P	PPER	3|Sg|Masc|Nom	70	subj	31	31
70	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
71	,	,	$	$,	_	0	root	_	_
72	nur	nur	A	ADV	_	74	adv	_	_
73	das	die	A	ART	Def|Neut|Nom|Sg	74	det	_	_
74	Glück	Glück	N	NN	Neut|Nom|Sg	75	subj	_	_
75	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	70	kon	_	_
76	ihn	er	P	PPER	3|Sg|Masc|Acc	77	obja	31	31
77	aufrufen	aufrufen	V	VVINF	_	75	aux	_	_
78	und	und	K	KON	_	75	kon	_	_
79	aufreizen	aufreizen	V	VVFIN	_|Pl|Pres|_	78	cj	_	_
80	,	,	$	$,	_	0	root	_	_
81	nicht	nicht	P	PTKNEG	_	83	adv	_	_
82	das	die	A	ART	Def|Neut|_|Sg	83	det	_	_
83	Unglück	Unglück	N	NN	Neut|_|Sg	0	root	_	_
84	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	0	root	31	31
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	sehr	sehr	A	ADV	_	2	adv	_	_
5	Unrecht	Unrecht	N	NN	Neut|Nom|Sg	2	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	_	_
8	Mensch	Mensch	N	NN	Masc|Nom|Sg	5	app	_	_
9	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	treibt	treiben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	31	31
4	,	,	$	$,	_	0	root	_	_
5	indem	indem	K	KOUS	_	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	0	root	31	31
7	nicht	nicht	P	PTKNEG	_	25	adv	_	_
8	die	die	A	ART	Def|Fem|_|Pl	9	det	852	852
9	Vorstellungen	Vorstellung	N	NN	Fem|_|Pl	25	obja	852	852
10	gegen	gegen	P	APPR	Acc	25	pp	_	_
11	die	die	A	ART	Def|Neut|Acc|Pl	12	det	307	307
12	Gefühle	Gefühl	N	NN	Neut|Acc|Pl	10	pn	307	307
13	,	,	$	$,	_	0	root	_	_
14	sondern	sondern	K	KON	_	10	kon	_	_
15	umgekehrt	umgekehrt	A	ADJD	Pos|	14	cj	_	_
16	für	für	P	APPR	Acc	25	pp	_	_
17	diese	diese	A	PDAT	_|Acc|_	16	pn	_	_
18	und	und	K	KON	_	16	kon	_	_
19	also	also	A	ADV	_	18	cj	_	_
20	das	die	A	ART	Def|Neut|Nom|Sg	21	det	366	366
21	Denken	Denken	N	NN	Neut|Nom|Sg	25	subj	366	366
22	für	für	P	APPR	Acc	25	pp	_	_
23	das	die	A	ART	Def|Neut|Acc|Sg	24	det	853	853
24	Leiden	Leiden	N	NN	Neut|Acc|Sg	22	pn	853	853
25	anwirbt	anwerben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	sich	sie	P	PRF	3|_|_	0	root	_	_
28	den	die	A	ART	Def|Masc|Acc|Sg	29	det	_	_
29	Pfeil	Pfeil	N	NN	Masc|Acc|Sg	0	root	_	_
30	des	die	A	ART	Def|Masc|Gen|Sg	31	det	265	265
31	Zufalls	Zufall	N	NN	Masc|Gen|Sg	29	gmod	265	265
32	bis	bis	P	APPR	Acc	29	pp	_	_
33	auf	auf	P	APPR	Acc	32	pp	_	_
34	die	die	A	ART	Def|Fem|Acc|Sg	35	det	_	_
35	Knochenhaut	Knochenhaut	N	NN	Fem|Acc|Sg	33	pn	_	_
36	hinein	hinein	P	PTKVZ	_	0	root	_	_
37	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	_	_
2	zweite	zweit	A	ADJA	_|Fem|Nom|Sg|_|	3	attr	_	_
3	Täuschung	Täuschung	N	NN	Fem|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	0	root	_	_
7	wir	wir	P	PPER	1|Pl|_|Nom	0	root	854	854
8	fremde	fremd	A	ADJA	Pos|Fem|_|Sg|_|	9	attr	_	_
9	Freiheit	Freiheit	N	NN	Fem|_|Sg	0	root	_	_
10	nicht	nicht	P	PTKNEG	_	11	adv	_	_
11	für	für	P	APPR	Acc	9	pp	_	_
12	Notwendigkeit	Notwendigkeit	N	NN	Fem|Acc|Sg	11	pn	_	_
13	in	in	P	APPR	_	12	pp	_	_
14	Rücksicht	Rücksicht	N	NN	Fem|_|Sg	13	pn	_	_
15	unserer	unsre	A	PPOSAT	_|_|_	0	root	854	854
16	halten	halten	V	VVFIN	_|Pl|Pres|_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	weil	weil	K	KOUS	_	23	konj	_	_
19	wir	wir	P	PPER	1|Pl|_|Nom	23	subj	854	854
20	fremde	fremd	A	ADJA	Pos|_|_|_|_|	23	obja	_	_
21	mit	mit	P	APPR	Dat	23	pp	_	_
22	eigner	eigner	N	NE	_|Dat|_	21	pn	_	_
23	verwechseln	verwechseln	V	VVFIN	1|Pl|Pres|_	16	neb	_	_
24	;	;	$	$.	_	0	root	_	_
25	als	als	K	KOKOM	_	0	root	_	_
26	ob	ob	K	KOUS	_	36	konj	_	_
27	der	die	A	ART	Def|Masc|Nom|Sg	29	det	_	_
28	freie	frei	A	ADJA	Pos|Masc|Nom|Sg|Wk|	29	attr	_	_
29	Wille	Wille	N	NN	Masc|Nom|Sg	36	subj	_	_
30	des	die	A	ART	Def|_|Gen|Sg	31	det	_	_
31	andern	andern	A	ADJA	_|Gen|Sg	29	gmod	_	_
32	mehr	mehr	A	ADV	_	31	adv	_	_
33	in	in	P	APPR	Dat	36	pp	_	_
34	unserer	unsre	A	PPOSAT	Fem|Dat|Sg	35	det	854	854
35	Gewalt	Gewalt	N	NN	Fem|Dat|Sg	33	pn	_	_
36	stände	stehen	V	VVFIN	3|Sg|Past|Subj	0	root	_	_
37	als	als	K	KOKOM	_	36	kom	_	_
38	die	die	A	ART	Def|Fem|_|Sg	40	det	_	_
39	gejagte	gejagt	A	ADJA	Pos|Fem|_|Sg|_|	40	attr	_	_
40	Wolke	Wolke	N	NN	Fem|_|Sg	37	cj	_	_
41	über	über	P	APPR	_	40	pp	_	_
42	uns	wir	P	PPER	1|Pl|_|_	41	pn	854	854
43	.	.	$	$.	_	0	root	_	_

1	Sogar	sogar	A	ADV	_	2	adv	_	_
2	der	die	P	PDS	Masc|Nom|Sg	3	subj	_	_
3	eigne	eignen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
4	Wille	Wille	N	NN	Masc|Nom|Sg	5	subj	855	855
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	insofern	insofern	A	ADV	_	8	adv	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	0	root	855	855
9	geschehen	geschehen	V	VVINF	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	zur	zu	P	APPRART	Dat	13	pp	_	_
12	Unabänderlichkeit	Unabänderlichkeit	N	NN	Fem|Dat|Sg	11	pn	856	856
13	geworden	werden	V	VAPP	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	an	an	P	APPR	Dat	19	pp	_	_
17	dem	die	A	ART	Def|_|Dat|Sg	18	det	_	_
18	vergangnen	vergangnen	N	NN	_|Dat|Sg	16	pn	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	15	cj	_	_
20	nichts	nichts	P	PIS	_|Nom|Sg	19	subj	_	_
21	mehr	mehr	A	ADV	_	20	adv	_	_
22	zu	zu	P	PTKZU	_	23	part	_	_
23	bereuen	bereuen	V	VVINF	_	19	aux	_	_
24	,	,	$	$,	_	0	root	_	_
25	sondern	sondern	K	KON	_	23	kon	_	_
26	nur	nur	A	ADV	_	30	adv	_	_
27	am	am	P	PTKA	_	28	adv	_	_
28	künftigen	künftigen	A	ADJD	_	30	adv	_	_
29	zu	zu	P	PTKZU	_	30	part	_	_
30	bessern	bessern	V	VVINF	_	25	cj	_	_
31	.	.	$	$.	_	0	root	_	_

1	Eigentlich	eigentlich	A	ADV	_	2	adv	_	_
2	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	854	854
4	unbewußt	unbewußt	A	ADJD	Pos|	2	adv	_	_
5	die	die	A	ART	Def|Fem|_|Sg	6	det	_	_
6	Reue	Reue	N	NN	Fem|_|Sg	2	obja	_	_
7	und	und	K	KON	_	6	kon	_	_
8	Qual	Qual	N	NN	Fem|_|Sg	7	cj	_	_
9	nur	nur	A	ADV	_	2	adv	_	_
10	über	über	P	APPR	Acc	2	pp	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	14	det	_	_
12	noch	noch	A	ADV	_	13	adv	_	_
13	fortlebenden	fortlebend	A	ADJA	Pos|Masc|Acc|Sg|_|<PPRES	14	attr	_	_
14	Wurmstock	Wurmstock	N	NN	Masc|Acc|Sg	10	pn	_	_
15	des	die	A	ART	Def|_|Gen|Sg	16	det	_	_
16	Unmoralischen	Unmoralische	N	NN	_|Gen|Sg	14	gmod	_	_
17	in	in	P	APPR	_	16	pp	_	_
18	uns	wir	P	PPER	1|Pl|_|_	17	pn	_	_
19	,	,	$	$,	_	0	root	_	_
20	ob	ob	K	KOUS	_	31	konj	_	_
21	wir	wir	P	PPER	1|Pl|_|Nom	31	subj	854	854
22	gleich	gleich	A	ADV	_	30	adv	_	_
23	auch	auch	A	ADV	_	24	adv	_	_
24	diesen	diese	P	PDS	_|_|_	30	obja	_	_
25	mit	mit	P	APPR	Dat	30	pp	_	_
26	einem	eine	A	ART	Indef|Masc|Dat|Sg	27	det	_	_
27	Tritte	Tritt	N	NN	Masc|Dat|Sg	25	pn	_	_
28	tapfern	tapfern	A	ADJA	_|Masc|Gen|Sg|_	29	attr	_	_
29	Entschlusses	Entschluss	N	NN	Masc|Gen|Sg	27	gmod	_	_
30	zerknirschen	zerknirschen	V	VVINF	_	31	aux	_	_
31	könnten	können	V	VMFIN	1|Pl|Past|Subj	16	objc	_	_
32	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|Nom|Sg	7	subj	_	_
2	unsern	unsre	A	PPOSAT	Masc|_|Sg	3	det	854	854
3	Schmerz	Schmerz	N	NN	Masc|_|Sg	7	obja	_	_
4	über	über	P	APPR	Acc	7	pp	_	_
5	fremde	fremd	A	ADJA	Pos|Fem|Acc|Sg|_|	6	attr	_	_
6	Unsittlichkeit	Unsittlichkeit	N	NN	Fem|Acc|Sg	4	pn	_	_
7	anlangt	anlangen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	gilt	gelten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
11	noch	noch	A	ADV	_	10	adv	_	_
12	das	die	A	ART	Def|Neut|Nom|Sg	13	det	_	_
13	Vorige	Vorige	N	NN	Neut|Nom|Sg	10	subj	_	_
14	:	\:	$	$.	_	0	root	_	_
15	eine	eine	A	ART	Indef|Fem|_|Sg	19	det	_	_
16	seit	seit	P	APPR	Dat	19	pp	_	_
17	einer	eine	A	ART	Indef|Fem|Dat|Sg	18	det	_	_
18	Minute	Minute	N	NN	Fem|Dat|Sg	16	pn	_	_
19	verübte	verübt	A	ADJA	Fem|_|Sg	20	subj	_	_
20	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
21	für	für	P	APPR	Acc	24	pp	_	_
22	die	die	A	ART	Def|Fem|Acc|Sg	23	det	488	488
23	Ewigkeit	Ewigkeit	N	NN	Fem|Acc|Sg	21	pn	488	488
24	versteinert	versteinern	V	VVPP	_	20	aux	_	_
25	,	,	$	$,	_	0	root	_	_
26	und	und	K	KON	_	20	kon	_	_
27	wir	wir	P	PPER	1|Pl|_|Nom	28	subj	854	854
28	können	können	V	VMFIN	1|Pl|Pres|_	26	cj	_	_
29	an	an	P	APPR	Dat	34	pp	_	_
30	dieser	diese	A	PDAT	Fem|Dat|Sg	31	det	_	_
31	Versteinerung	Versteinerung	N	NN	Fem|Dat|Sg	29	pn	_	_
32	so	so	A	ADV	_	33	adv	_	_
33	wenig	wenig	P	PIS	_	34	obja	_	_
34	verrücken	verrücken	V	VVINF	_	28	aux	_	_
35	als	als	K	KOKOM	_	34	kom	_	_
36	an	an	P	APPR	Dat	35	cj	_	_
37	den	die	A	ART	Def|Fem|Dat|Pl	38	det	_	_
38	vorsündflutigen	vorsündflutigen	F	FM	Fem|Dat|Pl	36	pn	_	_
39	(	(	$	$(	_	0	root	_	_
40	antediluvianischen	antediluvianischen	F	FM	Fem|Dat|Pl	38	app	_	_
41	)	)	$	$(	_	0	root	_	_
42	Sünden	Sünde	N	NN	Fem|Dat|Pl	38	app	_	_
43	,	,	$	$,	_	0	root	_	_
44	oder	oder	K	KON	_	28	kon	_	_
45	wir	wir	P	PPER	1|Pl|_|Nom	46	subj	854	854
46	müßten	müssen	V	VMFIN	1|Pl|Past|Subj	44	cj	_	_
47	uns	wir	P	PRF	1|Pl|_	50	obja	_	_
48	,	,	$	$,	_	0	root	_	_
49	scharf	scharf	A	ADJD	Pos|	50	adv	_	_
50	genommen	nehmen	V	VVPP	_	46	neb	_	_
51	,	,	$	$,	_	0	root	_	_
