1	O	O	N	NN	Neut|_|_	6	vok	157	157
42	sich	sie	P	PRF	3|_|_	43	obja	_	_
43	beugen	beugen	V	VVFIN	_|Pl|Pres|_	41	cj	_	_
44	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	sprenge	sprengen	V	VVFIN	3|Sg|Pres|Subj	2	cj	_	_
4	auf	auf	P	APPR	Acc	3	pp	_	_
5	die	die	A	ART	Def|Masc|Acc|Pl	7	det	468	468
6	heißen	heiß	A	ADJA	Pos|Masc|Acc|Pl|Wk|	7	attr	468	468
7	Zweige	Zweig	N	NN	Masc|Acc|Pl	4	pn	468	468
8	einen	eine	A	ART	Indef|Masc|Acc|Sg	10	det	_	_
9	labenden	labend	A	ADJA	Pos|Masc|Acc|Sg|_|<PPRES	10	attr	_	_
10	Tropfen	Tropfen	N	NN	Masc|Acc|Sg	3	obja	_	_
11	Tau	Tau	N	NN	_|Nom|Sg	3	subj	_	_
12	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Lasse	lassen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	5	5
4	,	,	$	$,	_	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	0	root	158	158
6	Lieber	lieb	A	ADJD	Comp|	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	_	_
9	Mantel	Mantel	N	NN	Masc|Acc|Sg	16	obja	_	_
10	der	die	A	ART	Def|Fem|Gen|Sg	11	det	_	_
11	Nacht	Nacht	N	NN	Fem|Gen|Sg	9	gmod	_	_
12	über	über	P	APPR	Acc	11	pp	_	_
13	deine	deine	A	PPOSAT	Neut|Acc|Pl	15	det	158	158
14	feuerschnaubende	feuerschnaubend	A	ADJA	Pos|Neut|Acc|Pl|St|<PPRES	15	attr	172	172
15	Rosse	Ross	N	NN	Neut|Acc|Pl	12	pn	172	172
16	schlagen	schlagen	V	VVINF	_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Verhülle	verhüllen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
3	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
4	wenig	wenig	A	ADV	_	6	adv	_	_
5	die	die	A	ART	Def|Fem|_|Pl	6	det	_	_
6	Flammen	Flamme	N	NN	Fem|_|Pl	0	root	_	_
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	'	'	$	$(	_	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	5	5
12	willig	willig	A	ADJD	Pos|	9	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	weil	weil	K	KOUS	_	22	konj	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	22	subj	5	5
16	in	in	P	APPR	_	22	pp	_	_
17	den	die	A	ART	Def|_|_|_	19	det	_	_
18	geheimem	geheim	A	ADJA	Pos|_|Dat|Sg|St|	19	attr	_	_
19	Wunsch	Wunsch	N	NN	_|_|_	16	pn	_	_
20	des	die	A	ART	Def|Neut|Gen|Sg	21	det	_	_
21	Schwester-Herzens	Schwester-Herzen	N	NN	Neut|Gen|Sg	19	gmod	_	_
22	eindrang	eindringen	V	VVFIN	3|Sg|Past|Ind	9	neb	_	_
23	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	6	det	_	_
4	erfrischende	erfrischend	A	ADJA	Pos|Fem|Nom|Sg|_|_	6	attr	_	_
5	kürzeste	kurz	A	ADJA	Sup|Fem|Nom|Sg|_|	6	attr	_	_
6	Nacht	Nacht	N	NN	Fem|Nom|Sg	2	subj	_	_
7	wie	wie	K	KOKOM	_	2	kom	_	_
8	ein	eine	A	ART	Indef|_|_|Sg	9	det	_	_
9	Abendregen	Abendregen	N	NN	_|_|Sg	7	cj	_	_
10	auf	auf	P	APPR	Acc	2	pp	_	_
11	die	die	A	ART	Def|Fem|Acc|Sg	12	det	160	160
12	Erde	Erde	N	NN	Fem|Acc|Sg	10	pn	160	160
13	und	und	K	KON	_	10	kon	_	_
14	auf	auf	P	APPR	Acc	13	cj	_	_
15	das	die	A	ART	Def|Neut|Acc|Sg	17	det	1024	1024
16	liebende	liebend	A	ADJA	Pos|Neut|Acc|Sg|Wk|<PPRES	17	attr	1024	1024
17	Paar	Paar	N	NN	Neut|Acc|Sg	14	pn	1024	1024
18	!	!	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	stauntet	staunen	V	VVFIN	2|Pl|Past|_	64	objc	_	_
3	ihr	ihre	A	PPOSAT	_|_|Sg	4	det	160	160
4	Glücklichen	Glückliche	N	NN	_|Nom|Sg	64	subj	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOUS	_	10	konj	_	_
7	die	die	A	ART	Def|Masc|Nom|Pl	9	det	_	_
8	kreischenden	kreischend	A	ADJA	Pos|Masc|Nom|Pl|Wk|<PPRES	9	attr	_	_
9	Kanarienvögel	Kanarienvogel	N	NN	Masc|Nom|Pl	10	subj	_	_
10	stockten	stocken	V	VVFIN	3|Pl|Past|_	64	neb	_	_
11	und	und	K	KON	_	10	kon	_	_
12	die	die	A	ART	Def|Fem|Nom|Pl	13	det	1405	1405
13	Lerchen	Lerche	N	NN	Fem|Nom|Pl	16	subj	1405	1405
14	schmetternd	schmettern	A	ADJD	_|<PPRES	16	adv	_	_
15	höher	hoch	A	ADJD	Comp|	16	adv	_	_
16	aufflogen	auffliegen	V	VVFIN	3|Pl|Past|Ind	11	cj	_	_
17	-	-	$	$(	_	0	root	_	_
18	und	und	K	KON	_	10	kon	_	_
19	die	die	A	ART	Def|Fem|Nom|Pl	20	det	_	_
20	Nachtviolen	Nachtviola	N	NN	Fem|Nom|Pl	21	subj	_	_
21	aufgingen	aufgehen	V	VVFIN	3|Pl|Past|_	18	cj	_	_
22	und	und	K	KON	_	21	kon	_	_
23	die	die	A	ART	Def|Neut|Nom|Pl	25	det	168	168
24	süßen	süß	A	ADJA	Pos|Neut|Nom|Pl|Wk|	25	attr	168	168
25	Abendopfer	Abendopfer	N	NN	Neut|Nom|Pl	26	subj	168	168
26	brachten	bringen	V	VVFIN	3|Pl|Past|Ind	22	cj	_	_
27	-	-	$	$(	_	0	root	_	_
28	und	und	K	KON	_	21	kon	_	_
29	als	als	K	KOKOM	_	40	kom	_	_
30	auf	auf	P	APPR	Dat	35	pp	_	_
31	der	die	A	ART	Def|Fem|Dat|Sg	34	det	_	_
32	tief	tief	A	ADJD	Pos|	34	adv	_	_
33	behangnen	behangnen	A	ADJA	_|Fem|Dat|Sg|_	34	attr	_	_
34	Erde	Erde	N	NN	Fem|Dat|Sg	30	pn	_	_
35	voll	voll	A	ADJD	Pos|	38	adv	_	_
36	liebender	liebend	A	ADJA	Pos|Fem|_|Sg|St|<PPRES	37	attr	_	_
37	Einsamkeit	Einsamkeit	N	NN	Fem|_|Sg	35	grad	_	_
38	nichts	nichts	P	PIS	_	29	cj	_	_
39	mehr	mehr	A	ADV	_	38	adv	_	_
40	leuchtete	leuchten	V	VVFIN	_|Sg|Past|_	28	cj	_	_
41	als	als	K	KOKOM	_	64	kom	_	_
42	die	die	A	ART	Def|Masc|_|Pl	43	det	_	_
43	Vulkane	Vulkan	N	NN	Masc|_|Pl	41	cj	_	_
44	,	,	$	$,	_	0	root	_	_
45	deren	die	A	PRELAT	Fem|Nom|Pl	47	det	162	162
46	schmutzige	schmutzig	A	ADJA	Pos|Fem|Nom|Pl|St|	47	attr	162	162
47	Wolkensäulen	Wolkensäule	N	NN	Fem|Nom|Pl	50	subj	162	162
48	zu	zu	P	APPR	Dat	50	pp	_	_
49	Feuersäulen	Feuersäule	N	NN	Fem|Dat|Pl	48	pn	_	_
50	anglommen	anglimmen	V	VVFIN	3|Pl|Past|Ind	43	rel	_	_
51	und	und	K	KON	_	50	kon	_	_
52	gegen	gegen	P	APPR	Acc	55	pp	_	_
53	die	die	A	ART	Def|_|Acc|Pl	54	det	_	_
54	Sternbilder	Sternbild	N	NN	_|Acc|Pl	52	pn	_	_
55	aufbrannten	aufbrennen	V	VVFIN	_|Pl|Past|Ind	51	cj	_	_
56	-	-	$	$(	_	0	root	_	_
57	und	und	K	KON	_	41	kon	_	_
58	als	als	K	KOKOM	_	57	cj	_	_
59	Philomele	Philomele	N	NN	_	58	cj	_	_
60	in	in	P	APPR	Dat	64	pp	_	_
61	den	die	A	ART	Def|Fem|Dat|Pl	63	det	335	335
62	schläfrigen	schläfrig	A	ADJA	Pos|Fem|Dat|Pl|_|	63	attr	335	335
63	Blüten	Blüte	N	NN	Fem|Dat|Pl	60	pn	335	335
64	erwachte	erwachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
65	und	und	K	KON	_	64	kon	_	_
66	aus	aus	P	APPR	Dat	71	pp	_	_
67	der	die	A	ART	Def|Fem|Dat|Sg	69	det	_	_
68	überfüllten	überfüllt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	69	attr	_	_
69	Brust	Brust	N	NN	Fem|Dat|Sg	66	pn	_	_
70	melodisch	melodisch	A	ADJD	Pos|	71	adv	_	_
71	stöhnte	stöhnen	V	VVFIN	_|Sg|Past|_	65	cj	_	_
72	und	und	K	KON	_	71	kon	_	_
73	in	in	P	APPR	Acc	76	pp	_	_
74	schöne	schön	A	ADJA	Pos|_|Acc|_|_|	75	attr	_	_
75	Klagen	Klage	N	NN	_|Acc|_	73	pn	_	_
76	dahinfloß	dahinfloß	V	VVFIN	_	72	cj	_	_
77	-	-	$	$(	_	0	root	_	_
78	-	-	$	$(	_	0	root	_	_
79	aber	aber	K	KON	_	0	root	_	_
80	ihr	ihr	P	PPER	2|Pl|_|Nom	81	subj	163	163
81	stauntet	staunen	V	VVFIN	2|Pl|Past|_	79	cj	_	_
82	nur	nur	A	ADV	_	81	adv	_	_
83	kurz	kurz	A	ADJD	Pos|	81	adv	_	_
84	,	,	$	$,	_	0	root	_	_
85	und	und	K	KON	_	81	kon	_	_
86	das	die	A	ART	Def|Neut|Nom|Sg	87	det	161	161
87	Herz	Herz	N	NN	Neut|Nom|Sg	88	subj	161	161
88	wandte	wandte	V	VVFIN	_|Sg|_|_	85	cj	_	_
89	sich	sie	P	PRF	3|_|_	88	obja	_	_
90	zum	zu	P	APPRART	Dat	88	pp	_	_
91	Herzen	Herzen	N	NN	Neut|_|Sg	90	pn	599	599
92	und	und	K	KON	_	91	kon	_	_
93	das	die	A	ART	Def|Neut|_|Sg	94	det	918	918
94	Auge	Auge	N	NN	Neut|_|Sg	92	cj	918	918
95	zum	zu	P	APPRART	Dat	88	pp	_	_
96	Auge	Auge	N	NN	Neut|Dat|Sg	95	pn	1005	1005
97	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	ihr	ihre	A	PPOSAT	_|_|Sg	5	det	162	162
5	Seligen	Selige	N	NN	_|_|Sg	2	app	_	_
6	!	!	$	$.	_	0	root	_	_

1	Zweifelnd	zweifeln	A	ADJD	_|<PPRES	23	adv	_	_
2	und	und	K	KON	_	1	kon	_	_
3	doch	doch	A	ADV	_	4	adv	_	_
4	glühend	glühen	A	ADJD	_|<PPRES	2	cj	_	_
5	,	,	$	$,	_	0	root	_	_
6	zagend	zagen	A	ADJD	_|<PPRES	4	kon	_	_
7	und	und	K	KON	_	6	kon	_	_
8	doch	doch	A	ADV	_	10	adv	_	_
9	schon	schon	A	ADV	_	10	adv	_	_
10	tränen-trunken	tränen-trunken	A	ADJD	_	7	cj	_	_
11	wie	wie	K	KOKOM	_	10	kom	_	_
12	die	die	A	ART	Def|Fem|_|Pl	13	det	164	164
13	Blumen	Blume	N	NN	Fem|_|Pl	11	cj	164	164
14	um	um	P	APPR	Acc	13	pp	164	164
15	euch	ihr	P	PPER	2|Pl|_|Acc	14	pn	163	163
16	,	,	$	$,	_	0	root	_	_
17	die	die	P	PRELS	Fem|_|Pl	21	obja	164	164
18	die	die	A	ART	Def|Fem|_|Sg	20	det	_	_
19	kleine	klein	A	ADJA	Pos|Fem|_|Sg|_|	20	attr	_	_
20	Nacht	Nacht	N	NN	Fem|_|Sg	21	zeit	_	_
21	betauet	betauen	V	VVFIN	2|Pl|Pres|Subj	13	rel	_	_
22	,	,	$	$,	_	0	root	_	_
23	blickt	blicken	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
24	ihr	ihr	P	PPER	2|Pl|_|Nom	23	subj	_	_
25	euch	ihr	P	PRF	2|Pl|_	23	obja	_	_
26	an	an	P	PTKVZ	_	23	avz	_	_
27	und	und	K	KON	_	23	kon	_	_
28	scheuet	scheuen	V	VVFIN	2|Pl|Pres|Subj	27	cj	_	_
29	eilend	eilen	A	ADJD	_|<PPRES	28	adv	_	_
30	die	die	A	ART	Def|Fem|_|Sg	31	det	655	655
31	Flucht	Flucht	N	NN	Fem|_|Sg	28	obja	655	655
32	des	die	A	ART	Def|Neut|Gen|Sg	34	det	567	567
33	schönen	schön	A	ADJA	Pos|Neut|Gen|Sg|_|	34	attr	567	567
34	Dunkels	Dunkel	N	NN	Neut|Gen|Sg	31	gmod	567	567
35	und	und	K	KON	_	31	kon	_	_
36	doch	doch	A	ADV	_	40	adv	_	_
37	zögernd	zögern	A	ADJD	_|<PPRES	40	adv	_	_
38	die	die	A	ART	Def|Fem|_|Sg	40	det	_	_
39	erste	erst	A	ADJA	_|Fem|_|Sg|_|	40	attr	_	_
40	Kühnheit	Kühnheit	N	NN	Fem|_|Sg	35	cj	_	_
41	des	die	A	ART	Def|Masc|Gen|Sg	42	det	165	165
42	Händedrucks	Händedruck	N	NN	Masc|Gen|Sg	40	gmod	165	165
43	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	die	die	A	ART	Def|_|_|_	5	det	399	399
4	schuldlosen	schuldlos	A	ADJA	Pos|_|_|Pl|Wk|	5	attr	399	399
5	Herzen	Herzen	N	NN	_|_|_	8	obja	399	399
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	gefangen	fangen	V	VVPP	_	2	cj	_	_
9	und	und	K	KON	_	0	root	_	_
10	betäubt	betäuben	V	VVFIN	_|_|Pres|Ind	0	root	_	_
11	von	von	P	APPR	_	10	pp	_	_
12	der	die	A	ART	Def|Fem|_|Sg	14	det	329	329
13	freudigen	freudig	A	ADJA	Pos|Fem|_|Sg|Wk|	14	attr	329	329
14	Finsternis	Finsternis	N	NN	Fem|_|Sg	11	pn	329	329
15	,	,	$	$,	_	0	root	_	_
16	wie	wie	P	PWAV	_	0	root	_	_
17	die	die	A	ART	Def|Fem|_|Pl	18	det	_	_
18	Bienen	Biene	N	NN	Fem|_|Pl	0	root	_	_
19	um	um	P	APPR	Acc	18	pp	_	_
20	sie	sie	P	PPER	3|_|_|Acc	19	pn	161	161
21	von	von	P	APPR	Dat	20	pp	_	_
22	dem	die	A	ART	Def|Masc|Dat|Sg	25	det	_	_
23	nächtlich	nächtlich	A	ADJD	Pos|	24	adv	_	_
24	zufallenden	zufallend	A	ADJA	Pos|Masc|Dat|Sg|Wk|<PPRES	25	attr	_	_
25	Tulpen-Kerker	Tulpen-Kerker	N	NN	Masc|Dat|Sg	21	pn	_	_
26	,	,	$	$,	_	0	root	_	_
27	vergaßen	vergessen	V	VVFIN	_|Pl|Past|Ind	0	root	_	_
28	die	die	A	ART	Def|Fem|_|Sg	30	det	_	_
29	erste	erst	A	ADJA	_|Fem|_|Sg|_|	30	attr	_	_
30	Kühnheit	Kühnheit	N	NN	Fem|_|Sg	27	obja	_	_
31	und	und	K	KON	_	27	kon	_	_
32	sanken	sinken	V	VVFIN	_|Pl|Past|Ind	31	cj	_	_
33	überwältigt	überwältigt	A	ADJD	Pos|	32	adv	_	_
34	mit	mit	P	APPR	Dat	32	pp	_	_
35	der	die	A	ART	Def|Fem|Dat|Sg	36	det	_	_
36	süßern	süßern	N	NN	Fem|Dat|Sg	34	pn	_	_
37	aneinander	aneinander	P	PTKVZ	_	32	avz	_	_
38	und	und	K	KON	_	32	kon	_	_
39	küßten	küßten	V	VVFIN	_	38	cj	_	_
40	sich	sie	P	PRF	3|_|_	39	obja	_	_
41	und	und	K	KON	_	39	kon	_	_
42	ruhten	ruhen	V	VVFIN	_|Pl|Past|_	41	cj	_	_
43	auf	auf	P	APPR	Dat	42	pp	_	_
44	dem	die	A	ART	Def|Masc|Dat|Sg	45	det	166	166
45	Kuß	Kuß	N	NN	Masc|Dat|Sg	43	pn	166	166
46	und	und	K	KON	_	42	kon	_	_
47	vernahmen	vernehmen	V	VVFIN	_|Pl|Past|Ind	46	cj	_	_
48	nur	nur	A	ADV	_	47	adv	_	_
49	noch	noch	A	ADV	_	47	adv	_	_
50	wie	wie	K	KOKOM	_	47	kom	_	_
51	ein	eine	A	ART	Indef|Neut|_|Sg	53	det	_	_
52	fernes	fern	A	ADJA	Pos|Neut|_|Sg|St|	53	attr	_	_
53	Echo	Echo	N	NN	Neut|_|Sg	50	cj	_	_
54	die	die	A	ART	Def|Fem|_|Sg	55	det	167	167
55	Nachtigall	Nachtigall	N	NN	Fem|_|Sg	47	obja	167	167
56	,	,	$	$,	_	0	root	_	_
57	und	und	K	KON	_	0	root	_	_
58	die	die	A	ART	Def|Masc|_|Pl	59	det	_	_
59	Diamanten	Diamant	N	NN	Masc|_|Pl	64	obja	_	_
60	auf	auf	P	APPR	Dat	64	pp	_	_
61	dem	die	A	ART	Def|Neut|Dat|Sg	63	det	_	_
62	geliebten	geliebt	A	ADJA	Pos|Neut|Dat|Sg|Wk|	63	attr	_	_
63	Herzen	Herzen	N	NN	Neut|Dat|Sg	60	pn	_	_
64	fingen	fingen	V	VVINF	_	57	cj	_	_
65	zu	zu	P	PTKZU	_	66	part	_	_
66	leuchten	leuchten	V	VVINF	_	0	root	_	_
67	an	an	P	PTKVZ	_	0	root	_	_
68	,	,	$	$,	_	0	root	_	_
69	gleichsam	gleichsam	A	ADJD	_	0	root	_	_
70	als	als	K	KOKOM	_	71	konj	_	_
71	gäben	geben	V	VVFIN	3|Pl|Past|Subj	0	root	_	_
72	sie	sie	P	PPER	3|Pl|_|Nom	71	subj	168	168
73	nicht	nicht	P	PTKNEG	_	71	adv	_	_
74	bloß	bloß	A	ADV	_	71	adv	_	_
75	den	die	A	ART	Def|Masc|Acc|Sg	77	det	1481	1481
76	eingesognen	eingesognen	A	ADJA	_|Masc|Acc|Sg|_	77	attr	1481	1481
77	Glanz	Glanz	N	NN	Masc|Acc|Sg	71	obja	1481	1481
78	der	die	A	ART	Def|Fem|Gen|Sg	79	det	1481	1481
79	Sonne	Sonne	N	NN	Fem|Gen|Sg	77	gmod	1481	1481
80	,	,	$	$,	_	0	root	1481	1481
81	sondern	sondern	K	KON	_	79	kon	1481	1481
82	auch	auch	A	ADV	_	81	cj	1481	1481
83	der	die	A	ART	Def|Fem|Gen|Sg	84	det	169	169
84	Freude	Freude	N	NN	Fem|Gen|Sg	81	cj	169	169
85	zurück	zurück	P	PTKVZ	_	71	avz	_	_
86	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	glänzte	glänzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	Lunens	Lunens	N	NE	_|Gen|_	4	gmod	_	_
4	Auge	Auge	N	NN	Neut|Nom|Sg	2	subj	_	_
5	vom	von	P	APPRART	Dat	4	pp	_	_
6	Schmachten	Schmachten	N	NN	Neut|Dat|Sg	5	pn	_	_
7	feucht	feucht	A	ADJD	Pos|	2	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	2	kon	_	_
10	sie	sie	P	PPER	3|Sg|Fem|Nom	11	subj	167	167
11	suchte	suchen	V	VVFIN	3|Sg|Past|_	9	cj	_	_
12	schnell	schnell	A	ADJD	Pos|	11	adv	_	_
13	und	und	K	KON	_	12	kon	_	_
14	kühn	kühn	A	ADJD	Pos|	13	cj	_	_
15	auf	auf	P	APPR	Dat	11	pp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	18	det	_	_
17	träumerisch-erleuchteten	träumerisch-erleuchtet	A	ADJA	Pos|Fem|Dat|Sg|Wk|	18	attr	_	_
18	Erde	Erde	N	NN	Fem|Dat|Sg	15	pn	_	_
19	Endymions	Endymions	N	NE	Fem|Dat|Sg	18	app	_	_
20	Höhle	Höhle	N	NN	Fem|_|Sg	11	obja	_	_
21	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	167	167
2	fand	finden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	_	_
4	Latmus-Berg	Latmus-Berg	N	NN	Masc|Acc|Sg	2	obja	_	_
5	und	und	K	KON	_	4	kon	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	_	_
7	Geliebten	Geliebte	N	NN	Masc|Acc|Sg	5	cj	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	2	kon	_	_
10	wache	wachen	V	VVFIN	3|Sg|Pres|Subj	9	cj	_	_
11	Johanniswürmchen	Johanniswürmchen	N	NE	_|Nom|Sg	10	subj	170	170
12	spielten	spielen	V	VVFIN	_|Pl|Past|_	0	root	_	_
13	in	in	P	APPR	Dat	12	pp	_	_
14	der	die	A	ART	Def|Fem|Dat|Sg	15	det	_	_
15	Grotte	Grotte	N	NN	Fem|Dat|Sg	13	pn	_	_
16	um	um	P	APPR	Acc	12	pp	_	_
17	seine	seine	A	PPOSAT	Fem|Acc|Pl	18	det	170	170
18	Rosenwangen	Rosenwange	N	NN	Fem|Acc|Pl	16	pn	_	_
19	.	.	$	$.	_	0	root	_	_

1	Erschrocken	erschrecken	V	VVPP	_	0	root	_	_
2	und	und	K	KON	_	0	root	_	_
3	der	die	A	ART	Def|Fem|Gen|Pl	4	det	924	924
4	Tränen	Träne	N	NN	Fem|Gen|Pl	2	cj	924	924
5	unbewußt	unbewußt	A	ADJD	Pos|	6	adv	_	_
6	blickte	blicken	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	6	subj	170	170
8	sich	sie	P	PRF	3|_|_	6	obja	_	_
9	um	um	P	PTKVZ	_	6	avz	_	_
10	;	;	$	$.	_	0	root	_	_
11	da	da	A	ADV	_	12	adv	_	_
12	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
13	sie	sie	P	PPER	3|Sg|Fem|Nom	12	subj	170	170
14	die	die	A	ART	Def|Fem|_|Sg	15	det	171	171
15	Venus	Venus	N	NN	Fem|_|Sg	12	obja	171	171
16	lächelnd	lächeln	A	ADJD	_|<PPRES	12	adv	_	_
17	neben	neben	P	APPR	Dat	20	pp	_	_
18	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	19	det	171	171
19	Bruder	Bruder	N	NN	Masc|Dat|Sg	17	pn	_	_
20	stehen	stehen	V	VVINF	_	12	obji	_	_
21	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	171	171
2	errötete	erröten	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	und	und	K	KON	_	2	kon	_	_
4	riß	riß	V	VVFIN	_	3	cj	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	1359	1359
6	Schleier	Schleier	N	NN	Masc|Acc|Sg	4	obja	1359	1359
7	der	die	A	ART	Def|Fem|Gen|Sg	8	det	1359	1359
8	Nacht	Nacht	N	NN	Fem|Gen|Sg	6	gmod	1359	1359
9	von	von	P	APPR	Dat	8	pp	1359	1359
10	den	die	A	ART	Def|Fem|Dat|Pl	11	det	1359	1359
11	Flammen	Flamme	N	NN	Fem|Dat|Pl	9	pn	1359	1359
12	der	die	A	ART	Def|Neut|Gen|Pl	13	det	172	172
