1	Evas	Eva	N	NE	Fem|Gen|Sg	2	gmod	1221	1221
1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1284	1284
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	zu	zu	P	APPR	Dat	2	pp	_	_
4	allem	alle	P	PIS	Neut|Dat|Sg	3	pn	_	_
5	,	,	$	$,	_	0	root	_	_
6	was	was	P	PRELS	Neut|Nom|Sg	9	subj	1285	1285
7	sein	seine	A	PPOSAT	_|_|Sg	8	det	1285	1285
8	Prinzipal	Prinzipal	N	NN	_|_|Sg	9	obja	_	_
9	wollte	wollen	V	VMFIN	3|Sg|Past|_	4	rel	_	_
10	,	,	$	$,	_	0	root	_	_
11	schon	schon	A	ADV	_	3	adv	_	_
12	fertig	fertig	A	ADJD	Pos|	2	pred	_	_
13	-	-	$	$(	_	0	root	_	_
14	gab	geben	V	VVFIN	3|Sg|Past|Ind	2	kon	_	_
15	jede	jede	A	PIDAT	Fem|Nom|Sg	16	det	1288	1288
16	Antwort	Antwort	N	NN	Fem|Nom|Sg	14	subj	1288	1288
17	schnell	schnell	A	ADJD	Pos|	14	adv	_	_
18	dreimal	dreimal	A	ADV	_	14	adv	_	_
19	hintereinander	hintereinander	A	ADV	_	14	adv	_	_
20	-	-	$	$(	_	0	root	_	_
21	wollte	wollen	V	VMFIN	3|Sg|Past|_	14	kon	_	_
22	alles	alle	P	PIS	Neut|Nom|Sg	21	subj	_	_
23	machen	machen	V	VVINF	_	21	aux	_	_
24	,	,	$	$,	_	0	root	_	_
25	hatte	haben	V	VAFIN	_|Sg|Past|Ind	21	kon	_	_
26	schon	schon	A	ADV	_	28	adv	_	_
27	alles	alle	P	PIS	_|_|Sg	28	obja	_	_
28	gemacht	machen	V	VVPP	_	25	aux	_	_
29	-	-	$	$(	_	0	root	_	_
30	sein	seine	A	PPOSAT	Neut|Nom|Sg	32	det	1285	1285
31	häufiges	häufig	A	ADJA	Pos|Neut|Nom|Sg|St|	32	attr	1286	1286
32	Selah	Selah	N	NN	Neut|Nom|Sg	37	subj	1286	1286
33	und	und	K	KON	_	32	kon	_	_
34	seine	seine	A	PPOSAT	_|Nom|_	35	det	1286	1286
35	clausula	clausula	F	FM	_|Nom|_	33	cj	_	_
36	salutaris	salutaris	F	FM	_|Nom|_	35	app	_	_
37	war	sein	V	VAFIN	3|Sg|Past|Ind	25	kon	_	_
38	:	\:	$	$.	_	0	root	_	_
39	»	»	$	$(	_	0	root	_	_
40	Ei	Ei	N	NN	Neut|_|Sg	0	root	1292	1292
41	herrlich	herrlich	A	ADJD	Pos|	0	root	_	_
42	und	und	K	KON	_	41	kon	_	_
43	gut	gut	A	ADJD	Pos|	42	cj	_	_
44	!	!	$	$.	_	0	root	_	_
45	«	«	$	$(	_	0	root	_	_
46	-	-	$	$(	_	0	root	_	_
47	er	er	P	PPER	3|Sg|Masc|Nom	48	subj	1284	1284
48	erhielt	erhalten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
49	sich	sie	P	PRF	3|_|_	48	obja	_	_
50	dabei	dabei	P	PROAV	_	48	pp	_	_
51	auf	auf	P	APPR	_	48	pp	_	_
52	nichts	nichts	P	PIS	_|_|_	51	pn	_	_
53	als	als	K	KOKOM	_	48	kom	_	_
54	auf	auf	P	APPR	_	53	cj	_	_
55	den	die	A	ART	Def|_|_|_	57	det	_	_
56	schaukelnden	schaukelnd	A	ADJA	Pos|_|_|_|_|<PPRES	57	attr	_	_
57	Fußspitzen	Fußspitz	N	NN	_|_|_	54	pn	_	_
58	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Als	Als	K	KOUS	_	7	konj	_	_
3	Weyermann	Weyermann	N	NE	_|Nom|Sg	7	subj	1169	1169
4	mit	mit	P	APPR	Dat	7	pp	_	_
5	ihm	er	P	PPER	3|Sg|_|Dat	4	pn	1284	1284
6	fertig	fertig	A	ADJD	Pos|	7	pred	_	_
7	war	sein	V	VAFIN	3|Sg|Past|Ind	9	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	fragt	fragen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
10	'	'	$	$(	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1279	1279
12	ihn	er	P	PPER	3|Sg|Masc|Acc	0	root	1284	1284
13	:	\:	$	$.	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	Wie	Wie	P	PWAV	_	17	adv	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	1279	1279
17	höre	hören	V	VVFIN	1|Sg|Pres|_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	Herr	Herr	N	NN	Masc|_|Sg	0	root	1287	1287
20	Kantor	Kantor	N	NE	Masc|_|Sg	19	app	1287	1287
21	Schnäzler	Schnäzler	N	NE	Masc|_|Sg	20	app	1287	1287
22	,	,	$	$,	_	0	root	_	_
23	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
24	Er	er	P	PPER	3|Sg|Masc|Nom	23	subj	1287	1287
25	eine	eine	A	ART	Indef|Fem|_|Sg	28	det	_	_
26	recht	recht	A	ADJD	Pos|	27	adv	_	_
27	hübsche	hübsch	A	ADJA	Pos|Fem|_|Sg|_|	28	attr	_	_
28	Braut	Braut	N	NN	Fem|_|Sg	23	obja	_	_
29	?	?	$	$.	_	0	root	_	_
30	«	«	$	$(	_	0	root	_	_
31	-	-	$	$(	_	0	root	_	_
32	»	»	$	$(	_	0	root	_	_
33	Ei	Ei	N	NN	Neut|_|Sg	0	root	_	_
34	«	«	$	$(	_	0	root	_	_
35	,	,	$	$,	_	0	root	_	_
36	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	33	par	_	_
37	'	'	$	$(	_	0	root	_	_
38	er	er	P	PPER	3|Sg|Masc|Nom	36	subj	1287	1287
39	,	,	$	$,	_	0	root	_	_
40	»	»	$	$(	_	0	root	_	_
41	ich	ich	P	PPER	1|Sg|_|Nom	42	subj	1279	1279
42	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
43	sie	sie	P	PPER	3|_|_|_	42	obja	1286	1286
44	noch	noch	A	ADV	_	42	adv	_	_
45	-	-	$	$(	_	0	root	_	_
46	sie	sie	P	PPER	3|Sg|Fem|Nom	47	subj	1288	1288
47	ist	sein	V	VAFIN	3|Sg|Pres|Ind	42	kon	_	_
48	gegenwärtig	gegenwärtig	A	ADJD	Pos|	47	adv	_	_
49	sequestriert	sequestriert	A	ADJD	_	47	pred	_	_
50	,	,	$	$,	_	0	root	_	_
51	und	und	K	KON	_	47	kon	_	_
52	ich	ich	P	PPER	1|Sg|_|Nom	53	subj	1279	1279
53	bin	sein	V	VAFIN	1|Sg|Pres|Ind	51	cj	_	_
54	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	55	det	1288	1288
55	gewärtig	gewärtig	F	FM	Fem|Dat|Sg	53	objd	_	_
56	nolens	nolens	F	FM	Fem|Dat|Sg	55	app	_	_
57	volens	volens	F	FM	Fem|Dat|Sg	56	app	_	_
58	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	1289	1289
2	Fieber	Fieber	N	NN	Neut|Nom|Sg	3	subj	1289	1289
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	zwar	zwar	A	ADV	_	3	adv	_	_
5	mein	meine	A	PPOSAT	Neut|_|Sg	6	det	1279	1279
6	Haupthaar	Haupthaar	N	NN	Neut|_|Sg	3	obja	_	_
7	mitgenommen	mitnehmen	V	VVPP	_	3	aux	_	_
8	;	;	$	$.	_	0	root	_	_
9	aber	aber	K	KON	_	0	root	_	_
10	ich	ich	P	PPER	_|Nom|Sg	0	root	1289	1289
11	seh	seh	F	FM	_	10	app	_	_
12	'	'	$	$(	_	0	root	_	_
13	sonst	sonst	A	ADV	_	10	adv	_	_
14	gut	gut	A	ADJD	Pos|	0	root	_	_
15	aus	aus	P	PTKVZ	_	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Gnädige	gnädig	A	ADJA	Pos|Masc|_|Pl|St|	2	attr	_	_
2	Herren	Herr	N	NN	Masc|_|Pl	5	vok	_	_
3	,	,	$	$,	_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|_	11	expl	_	_
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	11	objd	1279	1279
7	weiter	weiter	A	ADV	_	11	adv	_	_
8	niemand	niemand	P	PIS	_|Nom|Sg	5	subj	_	_
9	die	die	A	ART	Def|Fem|_|Sg	10	det	_	_
10	Suppe	Suppe	N	NN	Fem|_|Sg	11	obja	_	_
11	eingebrockt	einbrocken	V	VVPP	_	5	aux	_	_
12	als	als	K	KOKOM	_	11	kom	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	898	898
14	Ranzenadvokat	Ranzenadvokat	N	NN	Masc|Nom|Sg	12	cj	898	898
15	drüben	drüben	N	NE	Masc|Nom|Sg	14	app	898	898
16	,	,	$	$,	_	0	root	_	_
17	der	die	P	PRELS	Masc|Nom|Sg	18	subj	898	898
18	setzt	setzen	V	VVFIN	3|Sg|Pres|Ind	15	rel	_	_
19	auch	auch	A	ADV	_	18	adv	_	_
20	an	an	P	APPR	Acc	11	pp	_	_
21	sie	sie	P	PPER	3|_|_|Acc	20	pn	1289	1289
22	.	.	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_
24	-	-	$	$(	_	0	root	_	_
25	Mit	mit	P	APPR	Dat	29	pp	_	_
26	einem	eine	A	ART	Indef|Masc|Dat|Sg	27	det	_	_
27	Eulerschen	Eulerschen	N	NN	Masc|Dat|Sg	25	pn	_	_
28	Rösselsprung	Rösselsprung	N	NN	Masc|Dat|Sg	27	app	_	_
29	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
30	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	898	898
31	über	über	P	APPR	Acc	29	pp	_	_
32	das	die	A	ART	Def|Neut|Acc|Sg	33	det	_	_
33	Stubenschachbrett	Stubenschachbrett	N	NN	Neut|Acc|Sg	31	pn	_	_
34	hinüber	hinüber	A	ADV	_	29	adv	_	_
35	und	und	K	KON	_	29	kon	_	_
36	sagte	sagen	V	VVFIN	_|Sg|Past|_	35	cj	_	_
37	am	an	P	APPRART	Dat	36	pp	_	_
38	Fenster	Fenster	N	NN	Neut|Dat|Sg	37	pn	1290	1290
39	:	\:	$	$.	_	0	root	_	_
40	»	»	$	$(	_	0	root	_	_
41	Ja	ja	P	PTKANT	_	0	root	_	_
42	!	!	$	$.	_	0	root	_	_

1	ja	ja	A	ADV	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	1291	1291
2	schlagen	schlagen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	dem	die	A	ART	Def|Masc|Dat|Sg	5	det	_	_
4	bösen	bös	A	ADJA	Pos|Masc|Dat|Sg|Wk|	5	attr	_	_
5	Menschen	Mensch	N	NN	Masc|Dat|Sg	2	objd	_	_
6	die	die	A	ART	Def|Neut|_|Pl	7	det	_	_
7	Pflaster	Pflaster	N	NN	Neut|_|Pl	2	obja	_	_
8	noch	noch	A	ADV	_	2	adv	_	_
9	über	über	A	ADV	_	2	adv	_	_
10	:	\:	$	$.	_	0	root	_	_
11	sie	sie	P	PPER	3|Pl|_|Nom	12	subj	1291	1291
12	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
13	ihn	er	P	PPER	3|Sg|Masc|Acc	19	obja	898	898
14	erst	erst	A	ADV	_	19	adv	_	_
15	gestern	gestern	A	ADV	_	19	adv	_	_
16	braun	braun	A	ADJD	Pos|	19	adv	_	_
17	und	und	K	KON	_	16	kon	_	_
18	blau	blau	A	ADJD	Pos|	17	cj	_	_
19	geprügelt	prügeln	V	VVPP	_	12	aux	_	_
20	.	.	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_
22	-	-	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	10	s	_	_
4	morgen	morgen	A	ADV	_	6	adv	_	_
5	scharf	scharf	A	ADJD	Pos|	6	adv	_	_
6	untersucht	untersuchen	V	VVPP	_	7	aux	_	_
7	werden	werden	V	VAINF	_	3	aux	_	_
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	1256	1256
12	Stadtrichter	Stadtrichter	N	NN	Masc|Nom|Sg	10	subj	1256	1256
13	freudig	freudig	A	ADJD	Pos|	10	adv	_	_
14	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ei	Ei	N	NN	Neut|_|Sg	0	root	1292	1292
3	herrlich	herrlich	A	ADJD	Pos|	0	root	_	_
4	und	und	K	KON	_	3	kon	_	_
5	gut	gut	A	ADJD	Pos|	4	cj	_	_
6	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	nur	nur	A	ADV	_	2	adv	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	_	_
5	schlimmer	schlimm	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	_	_
6	Vogel	Vogel	N	NN	Masc|Nom|Sg	2	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Er	er	P	PPER	3|Sg|Masc|Nom	3	subj	1	1
3	möchte	mögen	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
4	aber	aber	A	ADV	_	7	adv	_	_
5	immer	immer	A	ADV	_	7	adv	_	_
6	einen	eine	A	ART	Indef|Masc|Acc|Sg	7	det	_	_
7	Zopf	Zopf	N	NN	Masc|Acc|Sg	8	obja	_	_
8	haben	haben	V	VAINF	_	3	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	so	so	A	ADV	_	11	adv	_	_
11	lang	lang	A	ADJD	Pos|	8	adv	_	_
12	wie	wie	K	KOKOM	_	11	kom	_	_
13	mein	meine	A	PPOSAT	Neut|_|Sg	15	det	1293	1293
14	rechtes	recht	A	ADJA	Pos|Neut|_|Sg|St|	15	attr	_	_
15	Bein	Bein	N	NN	Neut|_|Sg	12	cj	_	_
16	,	,	$	$,	_	0	root	_	_
17	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	1	1
18	hätte	haben	V	VAFIN	3|Sg|Past|Subj	3	kon	_	_
19	mir	ich	P	PPER	1|Sg|_|Dat	21	objd	1293	1293
20	nichts	nichts	P	PIS	_	21	obja	_	_
21	anhaben	anhaben	V	VVINF	_	22	aux	_	_
22	sollen	sollen	V	VMINF	_	18	aux	_	_
23	:	\:	$	$.	_	0	root	_	_
24	aber	aber	A	ADV	_	26	adv	_	_
25	der	die	A	ART	Def|Masc|_|_	26	det	_	_
26	Teufel	Teufel	N	NN	Masc|_|_	0	root	_	_
27	red	red	F	FM	Masc|_|_	26	app	_	_
28	'	'	$	$(	_	0	root	_	_
29	t	t	N	NN	Masc|_|_	27	app	_	_
30	aus	aus	P	APPR	Dat	26	pp	_	_
31	ihm	er	P	PPER	3|Sg|_|Dat	30	pn	1	1
32	,	,	$	$,	_	0	root	_	_
33	und	und	K	KON	_	0	root	_	_
34	er	er	P	PPER	3|Sg|Masc|Nom	35	subj	1	1
