1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1062	1062
22	indem	indem	K	KOUS	_	34	konj	_	_
23	noch	noch	A	ADV	_	33	adv	_	_
24	keine	keine	A	PIAT	Fem|Nom|Sg	26	det	_	_
25	gehörige	gehörig	A	ADJA	Pos|Fem|Nom|Sg|_|	26	attr	_	_
26	Vollmacht	Vollmacht	N	NN	Fem|Nom|Sg	34	subj	_	_
27	für	für	P	APPR	Acc	26	pp	_	_
28	ihn	er	P	PPER	3|Sg|Masc|Acc	27	pn	1067	1067
29	bei	bei	P	APPR	Dat	33	pp	_	_
30	den	die	A	ART	Def|_|Dat|Pl	31	det	997	997
31	Akten	Akt	N	NN	_|Dat|Pl	29	pn	997	997
32	zu	zu	P	PTKZU	_	33	part	_	_
33	sehen	sehen	V	VVINF	_	34	aux	_	_
34	ist	sein	V	VAFIN	3|Sg|Pres|Ind	10	neb	_	_
35	;	;	$	$.	_	0	root	_	_
36	er	er	P	PPER	3|Sg|Masc|Nom	37	subj	1067	1067
37	bittet	bitten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
38	daher	daher	P	PROAV	_	37	pp	_	_
39	zu	zu	P	PTKZU	_	40	part	_	_
40	erkennen	erkennen	V	VVINF	_	37	obji	_	_
41	:	\:	$	$.	_	0	root	_	_

1	daß	daß	K	KOUS	_	0	root	_	_
2	der	die	A	ART	Def|_|_|_	0	root	_	_
3	angebliche	angeblich	A	ADJA	Pos|_|_|_|_|	0	root	_	_
4	Anwalt	Anwalt	N	NN	Masc|Dat|Sg	13	objd	1010	1010
5	seine	seine	A	PPOSAT	Fem|_|Sg	6	det	1010	1010
6	Vollmacht	Vollmacht	N	NN	Fem|_|Sg	13	obja	_	_
7	binnen	binnen	P	APPR	_	13	pp	_	_
8	der	die	A	ART	Def|Fem|_|Sg	9	det	_	_
9	Michaelis-Messe	Michaelis-Messe	N	NN	Fem|_|Sg	7	pn	_	_
10	ad	ad	F	FM	Fem|_|Sg	9	app	_	_
11	acta	acta	F	FM	Fem|_|Sg	10	app	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	liefern	lieferen	V	VVINF	_	0	root	_	_
14	verbunden	verbinden	V	VVPP	_	13	neb	_	_
15	.	.	$	$.	_	0	root	_	_

1	Ferner	ferner	A	ADV	_	2	adv	_	_
2	opponiert	opponieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
4	den	die	A	ART	Def|Masc|Dat|Pl	6	det	_	_
5	unbefugten	unbefugt	A	ADJA	Pos|Masc|Dat|Pl|_|	6	attr	_	_
6	Klägern	Kläger	N	NN	Masc|Dat|Pl	2	objd	_	_
7	exceptionem	exceptionem	F	FM	Masc|Dat|Pl	6	app	_	_
8	nondum	nondum	F	FM	Masc|Dat|Pl	7	app	_	_
9	praestitae	praestitae	F	FM	Masc|Dat|Pl	8	app	_	_
10	cautionis	cautionis	F	FM	Masc|Dat|Pl	9	app	_	_
11	pro	pro	P	APPR	Dat	2	pp	_	_
12	expensis	expensis	N	NN	_|Dat|_	11	pn	1068	1068
13	;	;	$	$.	_	0	root	_	_
14	da	da	K	KOUS	_	19	konj	_	_
15	sie	sie	P	PPER	3|_|_|_	19	obja	1068	1068
16	in	in	P	APPR	_	19	pp	_	_
17	ganz	ganz	A	PIDAT	Neut|_|Sg	18	det	1069	1069
18	Deutschland	Deutschland	N	NE	Neut|_|Sg	16	pn	1069	1069
19	zerstreuet	zerstreuen	V	VVFIN	2|Pl|Pres|Subj	21	neb	_	_
20	angesessen	angesessen	A	ADJD	Pos|	21	pred	_	_
21	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	Beklagter	Beklagte	N	NN	Masc|Nom|Sg	32	subj	1067	1067
24	aber	aber	A	ADV	_	32	adv	_	_
25	wegen	wegen	P	APPR	Gen	32	pp	_	_
26	der	die	A	ART	Def|Fem|Gen|Pl	27	det	_	_
27	Inseratgebühren	Inseratgebühr	N	NN	Fem|Gen|Pl	25	pn	_	_
28	und	und	K	KON	_	27	kon	_	_
29	des	die	A	ART	Def|_|Gen|Sg	30	det	_	_
30	Ehrensoldes	Ehrensold	N	NN	_|Gen|Sg	28	cj	_	_
31	Sicherheit	Sicherheit	N	NN	Fem|_|Sg	32	obja	_	_
32	braucht	brauchen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
33	;	;	$	$.	_	0	root	_	_
34	hoffet	hoffen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
35	daher	daher	P	PROAV	_	34	pp	_	_
36	,	,	$	$,	_	0	root	_	_
37	den	die	A	ART	Def|Masc|Dat|Pl	38	det	979	979
38	Klägern	Kläger	N	NN	Masc|Dat|Pl	40	objd	979	979
39	werde	werden	V	VAFIN	_|Sg|Pres|_	34	s	_	_
40	auferlegt	auferlegen	V	VVPP	_	41	aux	_	_
41	werden	werden	V	VAINF	_	39	aux	_	_
42	,	,	$	$,	_	0	root	_	_

1	Kaution	Kaution	N	NN	Fem|_|Sg	12	obja	_	_
2	oder	oder	K	KON	_	1	kon	_	_
3	Vorstand	Vorstand	N	NN	Masc|_|Sg	2	cj	_	_
4	für	für	P	APPR	Acc	1	pp	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	7	det	_	_
6	auflaufenden	auflaufend	A	ADJA	Pos|Masc|Acc|Sg|_|<PPRES	7	attr	_	_
7	Ehrensold	Ehrensold	N	NN	Masc|Acc|Sg	4	pn	_	_
8	durch	durch	P	APPR	Acc	12	pp	_	_
9	eine	eine	A	ART	Indef|Fem|Acc|Sg	10	det	_	_
10	Buchhandlung	Buchhandlung	N	NN	Fem|Acc|Sg	8	pn	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	bestellen	bestellen	V	VVINF	_	0	root	_	_
13	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	0	root	1	1
2	könnte	können	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	die	die	A	ART	Def|Fem|Nom|Sg	5	det	_	_
5	Einrede	Einrede	N	NN	Fem|Nom|Sg	2	subj	_	_
6	mehrerer	mehrere	A	PIAT	Masc|Gen|Pl	7	det	_	_
7	Litis-Konsorten	Litis-Konsorte	N	NN	Masc|Gen|Pl	5	gmod	_	_
8	-	-	$	$(	_	0	root	_	_
9	ferner	ferner	A	ADV	_	10	adv	_	_
10	die	die	P	PDS	_|_|_	7	par	_	_
11	des	die	A	ART	Def|_|Gen|Sg	13	det	_	_
12	dunkeln	dunkeln	A	ADJA	_	13	attr	_	_
13	Libells	Libells	N	NN	_|Gen|Sg	10	gmod	_	_
14	-	-	$	$(	_	0	root	_	_
15	sogar	sogar	A	ADV	_	17	adv	_	_
16	des	die	A	ART	Def|_|Gen|Sg	17	det	_	_
17	inepten	inepten	N	NN	_|Gen|Sg	7	gmod	_	_
18	,	,	$	$,	_	0	root	_	_
19	da	da	K	KOUS	_	0	root	_	_
20	einige	einige	A	PIAT	Fem|_|Pl	21	det	_	_
21	Nebensachen	Nebensache	N	NN	Fem|_|Pl	22	obja	_	_
22	darinnen	darinnen	V	VVINF	_	0	root	_	_
23	stehen	stehen	V	VVINF	_	0	root	_	_
24	-	-	$	$(	_	0	root	_	_
25	entgegensetzen	entgegensetzen	V	VVINF	_	0	root	_	_
26	und	und	K	KON	_	0	root	_	_
27	könnte	können	V	VMFIN	_|Sg|Past|Subj	26	cj	_	_
28	also	also	A	ADV	_	31	adv	_	_
29	den	die	A	ART	Def|Masc|Acc|Sg	31	det	_	_
30	wohllöblichen	wohllöblich	A	ADJA	Pos|Masc|Acc|Sg|_|	31	attr	_	_
31	Gerichtsstand	Gerichtsstand	N	NN	Masc|Acc|Sg	32	obja	_	_
32	bitten	bitten	V	VVINF	_	27	aux	_	_
33	,	,	$	$,	_	0	root	_	_

1	Klägere	Klägere	N	NE	_	7	obja	987	987
2	zu	zu	P	APPR	Dat	7	pp	_	_
3	Einreichung	Einreichung	N	NN	Fem|Dat|Sg	2	pn	_	_
4	eines	eine	A	ART	Indef|_|Gen|Sg	6	det	_	_
5	schicklichem	schicklich	A	ADJA	Pos|_|Dat|Sg|St|	6	attr	_	_
6	Libells	Libells	N	NN	_|Gen|Sg	3	gmod	_	_
7	anzuhalten	anhalten	V	VVIZU	_	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	Beklagter	Beklagte	N	NN	Masc|Nom|Sg	3	subj	1067	1067
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	mit	mit	P	APPR	Dat	3	pp	_	_
5	dem	die	A	ART	Def|_|Dat|Sg	6	det	_	_
6	Libell	Libell	N	NN	_|Dat|Sg	4	pn	_	_
7	ganz	ganz	A	ADV	_	8	adv	_	_
8	zufrieden	zufrieden	A	ADJD	Pos|	3	pred	_	_
9	und	und	K	KON	_	3	kon	_	_
10	hofft	hoffen	V	VVFIN	_|_|Pres|Ind	9	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	20	konj	_	_
13	schon	schon	A	ADV	_	20	adv	_	_
14	in	in	P	APPR	_	20	pp	_	_
15	Betracht	Betracht	N	NN	_|_|_	14	pn	_	_
16	der	die	A	ART	Def|Fem|Gen|Pl	19	det	_	_
17	zwei	zwei	C	CARD	_	19	attr	_	_
18	ersten	erst	A	ADJA	_|Fem|Gen|Pl|Wk|	19	attr	_	_
19	Einreden	Einrede	N	NN	Fem|Gen|Pl	15	gmod	_	_
20	werde	werden	V	VAFIN	_|Sg|Pres|_	10	objc	_	_
21	erkannt	erkennen	V	VVPP	_	22	aux	_	_
22	werden	werden	V	VAINF	_	20	aux	_	_
23	,	,	$	$,	_	0	root	_	_

1	daß	daß	K	KOUS	_	9	konj	_	_
2	Beklagter	Beklagte	N	NN	Masc|Nom|Sg	9	subj	1067	1067
3	auf	auf	P	APPR	Acc	8	objp	_	_
4	die	die	A	ART	Def|Fem|Acc|Sg	5	det	1070	1070
5	Klage	Klage	N	NN	Fem|Acc|Sg	3	pn	1070	1070
6	sich	sie	P	PRF	3|_|_	8	obja	_	_
7	nicht	nicht	P	PTKNEG	_	8	adv	_	_
8	einzulassen	einlassen	V	VVIZU	_	9	obji	_	_
9	brauche	brauchen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	Klägere	Klägere	N	NE	_	0	root	987	987
12	aber	aber	A	ADV	_	17	adv	_	_
13	alle	alle	A	PIDAT	_|_|Pl	14	det	_	_
14	Ehrensolds-Kosten	Ehrensolds-Kosten	N	NN	_|_|Pl	17	obja	_	_
15	ihm	er	P	PPER	3|Sg|_|Dat	17	objd	1067	1067
16	zu	zu	P	PTKZU	_	17	part	_	_
17	erstatten	erstatten	V	VVINF	_	0	root	_	_
18	schuldig	schuldig	A	ADJD	Pos|	0	root	_	_
19	.	.	$	$.	_	0	root	_	_

1	Inzwischen	inzwischen	A	ADV	_	2	adv	_	_
2	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
4	sich	sie	P	PRF	3|_|_	2	obja	_	_
5	doch	doch	A	ADV	_	2	adv	_	_
6	ein	ein	P	PTKVZ	_	2	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	freilich	freilich	A	ADV	_	9	adv	_	_
9	eventualiter	eventualiter	A	ADV	_	0	root	_	_
10	und	und	K	KON	_	9	kon	_	_
11	protestierend	protestieren	A	ADJD	_|<PPRES	10	cj	_	_
12	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	negiert	negieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	vieles	viele	P	PIS	_|_|Sg	2	obja	_	_
4	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	hofft	hoffen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	da	da	K	KOUS	_	0	root	_	_
6	der	die	A	ART	Def|_|_|_	7	det	_	_
7	Generalsuperintendent	Generalsuperintendent	N	NN	_|_|_	0	root	_	_
8	Jakobi	Jakobi	N	NE	Masc|_|Sg	7	app	_	_
9	,	,	$	$,	_	0	root	_	_
10	Doktor	Doktor	N	NN	Masc|_|Sg	8	kon	_	_
11	Miller	Miller	N	NE	Masc|_|Sg	10	app	_	_
12	und	und	K	KON	_	10	kon	_	_
13	Herr	Herr	N	NN	Masc|_|Sg	12	cj	_	_
14	Oemler1	Oemler1	N	NE	Masc|_|Sg	13	app	_	_
15	)	)	$	$(	_	0	root	_	_
16	einem	eine	A	ART	Indef|_|Dat|Sg	17	det	1544	1544
17	Geistlichen	Geistliche	N	NN	_|Dat|Sg	18	objd	1544	1544
18	anraten	anraten	V	VVFIN	_|Pl|Pres|_	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	in	in	P	APPR	_	26	pp	_	_
21	gesellschaftlichen	gesellschaftlich	A	ADJA	Pos|Fem|_|Pl|_|	22	attr	_	_
22	Religionsstreitigkeiten	Religionsstreitigkeit	N	NN	Fem|_|Pl	20	pn	_	_
23	mit	mit	P	APPR	Dat	26	pp	_	_
24	nichts	nichts	P	PIS	_|Dat|_	23	pn	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	antworten	antworten	V	VVINF	_	18	obji	_	_
27	als	als	K	KOKOM	_	0	root	_	_
28	mit	mit	P	APPR	Dat	27	cj	_	_
29	Witz	Witz	N	NN	Masc|Dat|Sg	28	pn	1071	1071
30	:	\:	$	$.	_	0	root	_	_
31	so	so	A	ADV	_	32	adv	_	_
32	werde	werden	V	VAFIN	_|Sg|Pres|_	0	root	_	_
33	Beklagtem	Beklagter	N	NN	_|Dat|Sg	37	objd	_	_
34	noch	noch	A	ADV	_	37	adv	_	_
35	weit	weit	A	ADJD	Pos|	36	adv	_	_
36	mehr	mehr	A	ADV	_	37	adv	_	_
37	nachgelassen	nachlassen	V	VVPP	_	32	aux	_	_
38	und	und	K	KON	_	0	root	_	_
39	verstattet	verstatten	V	VVPP	_	40	aux	_	_
40	sein	sein	V	VAINF	_	38	cj	_	_
41	,	,	$	$,	_	0	root	_	_
42	in	in	P	APPR	Dat	51	pp	_	_
43	einer	eine	A	ART	Indef|Fem|_|Sg	45	det	_	_
44	bloßen	bloß	A	ADJA	Pos|_|_|_|_|	45	attr	_	_
45	gerichtlichen	gerichtlich	A	ADJA	Fem|_|Sg	42	pn	_	_
46	sich	sie	P	PRF	3|_|_	51	obja	_	_
47	reichlich	reichlich	A	ADJD	Pos|	51	adv	_	_
48	mit	mit	P	APPR	Dat	51	pp	_	_
49	Witz	Witz	N	NN	Masc|Dat|Sg	48	pn	1071	1071
50	zu	zu	P	PTKZU	_	51	part	_	_
51	wappnen	wappnen	V	VVINF	_	40	obji	_	_
52	und	und	K	KON	_	51	kon	_	_
53	damit	damit	P	PROAV	_	54	pp	_	_
54	auszufallen	ausfallen	V	VVIZU	_	52	cj	_	_
55	.	.	$	$.	_	0	root	_	_

1	Beklagter	Beklagte	N	NN	Masc|Nom|Sg	2	subj	1067	1067
2	negiert	negieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	gänzlich	gänzlich	A	ADJD	Pos|	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	14	konj	_	_
6	Klägere	Klägere	N	NE	_|Nom|Pl	14	subj	987	987
7	seine	seine	A	PPOSAT	_|_|Pl	9	det	1067	1067
8	eingeschalteten	eingeschaltet	A	ADJA	Pos|_|_|Pl|Wk|	9	attr	1072	1072
9	Digressionen	Digressionen	N	NN	_|_|Pl	13	obja	1072	1072
10	,	,	$	$,	_	0	root	1072	1072
11	Satiren	Satire	N	NN	_|_|Pl	9	kon	1072	1072
12	etc.	etc.	A	ADV	_	11	kon	1072	1072
13	lesen	lesen	V	VVINF	_	14	aux	_	_
14	müssen	müssen	V	VMFIN	3|Pl|Pres|_	2	objc	_	_
15	:	\:	$	$.	_	0	root	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	1067	1067
17	warnt	warnen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
18	sie	sie	P	PPER	3|_|_|_	17	obja	1072	1072
19	vielmehr	vielmehr	A	ADV	_	17	adv	_	_
20	stets	stets	A	ADV	_	17	adv	_	_
21	durch	durch	P	APPR	Acc	17	pp	_	_
22	Überschriften	Überschrift	N	NN	Fem|Gen|Pl	21	pn	_	_
23	oder	oder	K	KON	_	22	kon	_	_
24	Leuchtfeuer	Leuchtfeuer	N	NN	Neut|Gen|Pl	23	cj	_	_
25	vor	vor	P	APPR	Dat	24	pp	_	_
26	solchen	solche	A	PIDAT	Fem|Dat|Pl	28	det	_	_
27	gefährlichen	gefährlich	A	ADJA	Pos|Fem|Dat|Pl|_|	28	attr	_	_
28	Sandbänken	Sandbank	N	NN	Fem|Dat|Pl	25	pn	_	_
29	und	und	K	KON	_	24	kon	_	_
30	Skagerraks	Skagerrak	N	NN	Masc|Gen|Sg	29	cj	_	_
31	,	,	$	$,	_	0	root	_	_
32	und	und	K	KON	_	17	kon	_	_
33	es	es	P	PPER	3|Sg|Neut|_	34	expl	_	_
34	ist	sein	V	VAFIN	3|Sg|Pres|Ind	32	cj	_	_
35	ihre	ihre	A	PPOSAT	Fem|Nom|Sg	36	det	987	987
36	Schuld	Schuld	N	NN	Fem|Nom|Sg	34	subj	_	_
37	,	,	$	$,	_	0	root	_	_
38	wenn	wenn	K	KOUS	_	43	konj	_	_
39	sie	sie	P	PPER	3|Pl|_|Nom	43	subj	1072	1072
40	diese	diese	A	PDAT	_|_|Pl	41	det	_	_
41	Riffs	Riff	N	NN	_|_|Pl	43	obja	_	_
42	nicht	nicht	P	PTKNEG	_	43	adv	_	_
43	umfahren	umfahren	V	VVFIN	3|Pl|Pres|_	34	neb	_	_
44	,	,	$	$,	_	0	root	_	_
45	d.	d.	N	NE	_	0	root	1073	1073
46	h.	h.	N	NE	_	45	app	1073	1073
47	umschlagen	umschlagen	V	VVPP	_	0	root	_	_
48	.	.	$	$.	_	0	root	_	_

1	Überhaupt	überhaupt	A	ADV	_	2	adv	_	_
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	4	det	_	_
4	Wort	Wort	N	NN	Masc|Nom|Sg	2	subj	_	_
5	Leser	Leser	N	NN	Masc|Nom|_	4	app	_	_
6	in	in	P	APPR	Dat	11	pp	_	_
7	wenig	wenig	A	PIDAT	Fem|Dat|Pl	9	det	_	_
8	deutschen	deutsch	A	ADJA	Pos|Fem|Dat|Pl|_|	9	attr	_	_
9	Städten	Stadt	N	NN	Fem|Dat|Pl	6	pn	_	_
10	recht	recht	A	ADJD	Pos|	11	adv	_	_
11	gebraucht	brauchen	V	VVPP	_	2	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	außer	außer	P	APPR	Dat	11	pp	_	_
14	in	in	P	APPR	_	13	pp	_	_
15	Wetzlar	Wetzlar	N	NE	Neut|_|Sg	14	pn	1431	1431
16	:	\:	$	$.	_	0	root	_	_
17	beim	bei	P	APPRART	Dat	34	pp	_	_
18	dasigen	dasig	A	ADJA	Pos|Neut|Dat|Sg|Wk|	19	attr	_	_
19	Reichsgerichte	Reichsgericht	N	NN	Neut|Dat|Sg	17	pn	_	_
20	,	,	$	$,	_	0	root	_	_
21	wo	wo	P	PWAV	_	32	adv	_	_
22	die	die	A	ART	Def|Fem|Nom|Sg	23	det	_	_
23	Einteilung	Einteilung	N	NN	Fem|Nom|Sg	32	subj	_	_
24	in	in	P	APPR	Acc	23	pp	_	_
25	die	die	A	ART	Def|Fem|Acc|Sg	26	det	1354	1354
26	Kanzlei	Kanzlei	N	NN	Fem|Acc|Sg	24	pn	1354	1354
27	und	und	K	KON	_	24	kon	_	_
28	in	in	P	APPR	Acc	27	cj	_	_
29	die	die	A	ART	Def|Fem|Acc|Sg	30	det	_	_
30	Leserei	Leserei	N	NN	Fem|Acc|Sg	28	pn	_	_
31	üblich	üblich	A	ADJD	Pos|	32	pred	_	_
32	ist	sein	V	VAFIN	3|Sg|Pres|Ind	19	rel	_	_
33	,	,	$	$,	_	0	root	_	_
34	bedeutet	bedeuten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
35	es	es	P	PPER	3|Sg|Neut|Nom	34	subj	_	_
36	Menschen	Mensch	N	NN	Masc|_|Pl	34	obja	1074	1074
37	-	-	$	$(	_	0	root	1074	1074
38	ein	eine	A	ART	Indef|Neut|Nom|Sg	39	det	1075	1075
39	Paar	Paar	N	NN	Neut|Nom|Sg	40	subj	1075	1075
40	sind	sein	V	VAFIN	_|Pl|Pres|Ind	36	par	_	_
41	es	es	P	PPER	3|Sg|Neut|Nom	40	pred	_	_
42	-	-	$	$(	_	0	root	_	_
43	,	,	$	$,	_	0	root	_	_
44	die	die	P	PRELS	Masc|Nom|Pl	48	subj	1074	1074
45	alle	alle	A	PIDAT	Fem|_|Pl	47	det	_	_
46	einlaufende	einlaufend	A	ADJA	Pos|Fem|_|Pl|St|<PPRES	47	attr	_	_
47	Schriften	Schrift	N	NN	Fem|_|Pl	48	obja	_	_
48	aufbewahren	aufbewahren	V	VVFIN	3|Pl|Pres|_	36	rel	_	_
49	,	,	$	$,	_	0	root	_	_
50	ohne	ohne	K	KOUI	_	53	konj	_	_
51	sie	sie	P	PPER	3|_|_|_	53	obja	1075	1075
52	zu	zu	P	PTKZU	_	53	part	_	_
53	lesen	lesen	V	VVINF	_	48	neb	_	_
54	;	;	$	$.	_	0	root	_	_
55	denn	denn	K	KON	_	57	koord	_	_
56	letzteres	letztere	P	PIS	Neut|Nom|Sg	57	subj	_	_
57	kömmt	kömmt	V	VVFIN	_|Sg|_|_	0	root	_	_
58	den	die	A	ART	Def|Masc|_|_	59	det	_	_
59	Kammergerichtsbeisitzern	Kammergerichtsbeisitzer	N	NN	Masc|_|_	57	obja	_	_
60	zu	zu	P	PTKVZ	_	57	avz	_	_
61	,	,	$	$,	_	0	root	_	_
62	aber	aber	K	KON	_	0	root	_	_
63	nicht	nicht	P	PTKNEG	_	65	adv	_	_
64	der	die	A	ART	Def|Fem|_|Sg	65	det	_	_
65	Leserei	Leserei	N	NN	Fem|_|Sg	62	cj	_	_
66	.	.	$	$.	_	0	root	_	_

1	Anstatt	anstatt	P	APPR	_	0	root	_	_
2	nun	nun	A	ADV	_	1	adv	_	_
3	,	,	$	$,	_	0	root	_	_
4	was	was	P	PRELS	Neut|Nom|Sg	11	subj	_	_
5	allein	allein	A	ADV	_	9	adv	_	_
6	von	von	P	APPR	Dat	9	pp	_	_
7	einem	eine	A	ART	Indef|Masc|Dat|Sg	8	det	_	_
8	Leser	Leser	N	NN	Masc|Dat|Sg	6	pn	_	_
9	gefordert	fordern	V	VVPP	_	10	aux	_	_
10	werden	werden	V	VAINF	_	11	aux	_	_
11	kann	können	V	VMFIN	3|Sg|Pres|Ind	31	objc	_	_
12	,	,	$	$,	_	0	root	_	_
13	gleich	gleich	A	ADV	_	19	adv	_	_
14	den	die	A	ART	Def|_|Dat|Pl	15	det	294	294
15	Großen	Große	N	NN	_|Dat|Pl	19	objd	294	294
16	ein	eine	A	ART	Indef|Neut|_|Sg	17	det	_	_
17	Buch	Buch	N	NN	Neut|_|Sg	19	obja	_	_
18	zu	zu	P	PTKZU	_	19	part	_	_
19	kaufen	kaufen	V	VVINF	_	9	obji	_	_
20	und	und	K	KON	_	19	kon	_	_
21	es	es	P	PPER	3|Sg|Neut|_	23	obja	_	_
22	wohlkonditioniert	wohlkonditioniert	A	ADJD	Pos|	23	adv	_	_
23	aufzubewahren	aufbewahren	V	VVIZU	_	20	cj	_	_
24	,	,	$	$,	_	0	root	_	_
25	die	die	A	ART	Def|Neut|_|Pl	26	det	216	216
26	Blätter	Blatt	N	NN	Neut|_|Pl	27	obja	216	216
27	aufzuschneiden	aufschneiden	V	VVIZU	_	23	kon	_	_
28	oder	oder	K	KON	_	27	kon	_	_
29	auseinanderzuziehen	auseinanderziehen	V	VVIZU	_	28	cj	_	_
30	,	,	$	$,	_	0	root	_	_
31	lesen	lesen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
32	solches	solche	A	PIDAT	_|_|Sg	33	det	_	_
33	viele	viele	P	PIS	_|Nom|Pl	31	subj	_	_
34	und	und	K	KON	_	31	kon	_	_
35	tun	tun	V	VVFIN	_|Pl|Pres|Ind	34	cj	_	_
36	es	es	P	PPER	3|Sg|Neut|_	35	obja	_	_
37	den	die	A	ART	Def|Masc|Dat|Pl	38	det	1076	1076
38	Buchbindern	Buchbinder	N	NN	Masc|Dat|Pl	35	objd	1076	1076
39	nach	nach	P	PTKVZ	_	35	avz	1076	1076
40	,	,	$	$,	_	0	root	1076	1076
41	die	die	P	PRELS	Masc|Nom|Pl	50	subj	1076	1076
42	es	es	P	PPER	3|Sg|Neut|_	50	obja	_	_
43	unter	unter	P	APPR	Dat	50	pp	_	_
44	dem	die	A	ART	Def|Neut|Dat|Sg	45	det	_	_
45	Beschneiden	Beschneiden	N	NN	Neut|Dat|Sg	43	pn	_	_
