1	O	O	N	NN	Neut|_|_	0	root	1063	1063
19	einst	einst	A	ADV	_	20	adv	_	_
20	müßte	müssen	V	VMFIN	1|Sg|Past|Subj	15	rel	_	_
21	in	in	P	APPR	Dat	20	pp	_	_
22	der	die	A	ART	Def|Fem|Dat|Sg	23	det	55	55
23	Welt	Welt	N	NN	Fem|Dat|Sg	21	pn	55	55
24	werden	werden	V	VAINF	_	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	wenn	wenn	K	KOUS	_	30	konj	_	_
27	ich	ich	P	PPER	1|Sg|_|Nom	30	subj	1224	1224
28	in	in	P	APPR	Acc	30	objp	_	_
29	sie	sie	P	PPER	3|_|_|Acc	28	pn	1228	1228
30	käme	kommen	V	VVFIN	1|Sg|Past|Subj	0	root	_	_
31	durch	durch	P	APPR	Acc	30	pp	_	_
32	die	die	A	ART	Def|Fem|Acc|Pl	33	det	_	_
33	Geburthelferinnen	Geburthelferin	N	NN	Fem|Acc|Pl	31	pn	_	_
34	;	;	$	$.	_	0	root	_	_
35	nämlich	nämlich	A	ADV	_	40	adv	1229	1229
36	auf	auf	P	APPR	Dat	40	pp	1229	1229
37	dem	die	A	ART	Def|Neut|Dat|Sg	38	det	499	499
38	Lande	Land	N	NN	Neut|Dat|Sg	36	pn	499	499
39	ein	eine	A	ART	Indef|Masc|Nom|Sg	40	det	_	_
40	Jupiter	Jupiter	N	NE	Masc|Nom|Sg	0	root	_	_
41	,	,	$	$,	_	0	root	_	_
42	auf	auf	P	APPR	Dat	46	pp	_	_
43	dem	die	A	ART	Def|Neut|Dat|Sg	44	det	332	332
44	Meere	Meer	N	NN	Neut|Dat|Sg	42	pn	332	332
45	ein	eine	A	ART	Indef|Masc|Nom|Sg	46	det	_	_
46	Neptun	Neptun	N	NN	Masc|Nom|Sg	40	kon	_	_
47	,	,	$	$,	_	0	root	_	_
48	im	in	P	APPRART	Dat	51	pp	_	_
49	Eden-Garten	Eden-Garten	N	NN	Masc|Dat|Sg	48	pn	_	_
50	ein	eine	A	ART	Indef|Masc|Nom|Sg	51	det	_	_
51	Gartengott	Gartengott	N	NN	Masc|Nom|Sg	46	kon	_	_
52	,	,	$	$,	_	0	root	_	_
53	kurz	kurz	A	ADJD	Pos|	54	adv	_	_
54	immer	immer	A	ADV	_	56	adv	_	_
55	der	die	A	ART	Def|Masc|Nom|Sg	56	det	_	_
56	Orts-Gott	Orts-Gott	N	NN	Masc|Nom|Sg	51	kon	_	_
57	,	,	$	$,	_	0	root	_	_
58	der	die	A	ART	Def|Masc|Nom|Sg	59	det	_	_
59	Gott	Gott	N	NN	Masc|Nom|Sg	56	kon	_	_
60	loci	loci	F	FM	Masc|Nom|Sg	59	app	_	_
61	...	...	$	$.	_	0	root	_	_
62	den	die	A	ART	Def|Masc|Acc|Sg	63	det	1290	1290
63	Geburthelfer	Geburthelfer	N	NN	Masc|Acc|Sg	65	obja	1290	1290
64	Vierneissel	Vierneissel	N	NE	Masc|Acc|Sg	63	app	1290	1290
65	schreib	schreib	V	VVFIN	1|Sg|_|_	0	root	_	_
66	'	'	$	$(	_	0	root	_	_
67	ich	ich	P	PPER	1|Sg|_|Nom	65	subj	1224	1224
68	jetzo	jetzo	V	VVINF	_	0	root	_	_
69	.	.	$	$.	_	0	root	_	_

1	Noch	noch	A	ADV	_	2	adv	_	_
2	dazu	dazu	P	PROAV	_	3	pp	_	_
3	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
4	meine	meine	A	PPOSAT	Masc|Nom|Pl	5	det	1224	1224
5	Träume	Traum	N	NN	Masc|Nom|Pl	3	subj	_	_
6	mehr	mehr	A	PIAT	Masc|Nom|Pl	7	det	_	_
7	Schlüsse	Schluss	N	NN	Masc|Nom|Pl	3	pred	_	_
8	;	;	$	$.	_	0	root	_	_
9	und	und	K	KON	_	11	koord	_	_
10	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
11	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	wenn	wenn	K	KOUS	_	15	konj	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	1224	1224
15	fortfahre	fortfahren	V	VVFIN	1|Sg|Pres|_	11	neb	_	_
16	,	,	$	$,	_	0	root	_	_
17	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
18	nur	nur	A	ADV	_	20	adv	_	_
19	Fötus	Fötus	N	NN	Masc|Nom|Sg	20	pred	1227	1227
20	gewesen	sein	V	VAPP	_	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	fast	fast	A	ADV	_	23	adv	_	_
23	in	in	P	APPR	_	0	root	_	_
24	Erstaunen	Erstaunen	N	NN	Neut|_|Sg	23	pn	_	_
25	setzen	setzen	V	VVINF	_	0	root	_	_
26	über	über	P	APPR	Acc	40	pp	_	_
27	das	die	A	ART	Def|Neut|Acc|Sg	28	det	1230	1230
28	Wenige	Wenige	N	NN	Neut|Acc|Sg	26	pn	1230	1230
29	,	,	$	$,	_	0	root	1230	1230
30	was	was	P	PRELS	Neut|Nom|Sg	32	subj	1230	1230
31	man	man	P	PIS	_|Nom|Sg	32	pred	_	_
32	wird	werden	V	VAFIN	3|Sg|Pres|Ind	28	rel	_	_
33	,	,	$	$,	_	0	root	_	_
34	aus	aus	P	APPR	Dat	28	pp	_	_
35	einem	eine	A	ART	Indef|Masc|Dat|Sg	36	det	_	_
36	Fötus	Fötus	N	NN	Masc|Dat|Sg	34	pn	_	_
37	etwa	etwa	A	ADV	_	40	adv	_	_
38	höchstens	höchstens	A	ADV	_	40	adv	_	_
39	ein	eine	A	ART	Indef|Masc|Nom|Sg	40	det	_	_
40	Schriftgelehrter	Schriftgelehrte	N	NN	Masc|Nom|Sg	0	root	_	_
41	oder	oder	K	KON	_	40	kon	_	_
42	ein	eine	A	ART	Indef|Masc|Nom|Sg	43	det	_	_
43	Schriftsässiger	Schriftsässige	N	NN	Masc|Nom|Sg	41	cj	_	_
44	-	-	$	$(	_	0	root	_	_
45	ein	eine	A	ART	Indef|Masc|Nom|Sg	46	det	_	_
46	Oberbeichtvater	Oberbeichtvater	N	NN	Masc|Nom|Sg	0	root	_	_
47	oder	oder	K	KON	_	46	kon	_	_
48	ein	eine	A	ART	Indef|Masc|Nom|Sg	49	det	_	_
49	Beichtsohn	Beichtsohn	N	NN	Masc|Nom|Sg	47	cj	_	_
50	dessen	die	A	PDAT	_	0	root	_	_
51	-	-	$	$(	_	0	root	_	_
52	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
53	Feld-	Feld-	T	TRUNC	_	0	root	_	_
54	-	-	$	$(	_	0	root	_	_
55	ein	eine	A	ART	Indef|Masc|Nom|Sg	56	det	_	_
56	Bart-Scherer	Bart-Scherer	N	NN	Masc|Nom|Sg	53	par	_	_
57	-	-	$	$(	_	0	root	_	_
58	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
59	Ritt-	Ritt-	T	TRUNC	_	0	root	_	_
60	-	-	$	$(	_	0	root	_	_
61	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
62	Deutsch-	Deutsch-	T	TRUNC	_	0	root	_	_
63	-	-	$	$(	_	0	root	_	_
64	ein	eine	A	ART	Indef|Masc|Nom|Sg	65	det	_	_
65	Wild-Meister	Wild-Meister	N	NN	Masc|Nom|Sg	62	par	_	_
66	-	-	$	$(	_	0	root	_	_
67	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
68	Fuhr-	Fuhr-	T	TRUNC	_	0	root	_	_
69	-	-	$	$(	_	0	root	_	_
70	ein	eine	A	ART	Indef|Masc|Nom|Sg	71	det	_	_
71	Edel-Mann	Edel-Mann	N	NN	Masc|Nom|Sg	68	par	_	_
72	-	-	$	$(	_	0	root	_	_
73	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
74	Meß-	Meß-	T	TRUNC	_	0	root	_	_
75	-	-	$	$(	_	0	root	_	_
76	ein	eine	A	ART	Indef|Masc|Nom|Sg	77	det	_	_
77	Geburt-Helfer	Geburt-Helfer	N	NN	Masc|Nom|Sg	0	root	_	_
78	-	-	$	$(	_	0	root	_	_
79	kurz	kurz	A	ADJD	Pos|	80	adv	_	_
80	jedenfalls	jedenfalls	A	ADV	_	77	adv	_	_
81	ein	eine	A	ART	Indef|_|_|Sg	82	det	_	_
82	Mensch	Mensch	N	NN	_|_|Sg	0	root	_	_
83	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	wie	wie	K	KOKOM	_	6	kom	_	_
3	anders	anders	A	ADV	_	2	cj	_	_
4	und	und	K	KON	_	3	kon	_	_
5	größer	groß	A	ADJD	Comp|	4	cj	_	_
6	sind	sein	V	VAFIN	3|Pl|Pres|Ind	1	cj	_	_
7	die	die	A	ART	Def|Fem|Nom|Pl	8	det	_	_
8	Aussichten	Aussicht	N	NN	Fem|Nom|Pl	6	subj	_	_
9	eines	eine	A	ART	Indef|_|Gen|Sg	10	det	_	_
10	Punctum	Punctum	N	NN	_|Gen|Sg	8	gmod	_	_
11	saliens	saliens	N	NE	_|Gen|Sg	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	Embryons	Embryons	N	NE	Fem|Nom|Pl	8	app	_	_
14	,	,	$	$,	_	0	root	_	_
15	Fötus	Fötus	N	NN	Masc|Nom|Sg	6	pred	1227	1227
16	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	1224	1224
3	mochte	mögen	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
4	kaum	kaum	A	ADV	_	7	adv	_	_
5	zwölf	zwölf	C	CARD	_	6	attr	_	_
6	Stunden	Stunde	N	NN	Fem|_|Pl	7	grad	_	_
7	alt	alt	A	ADJD	Pos|	8	pred	_	_
8	sein	sein	V	VAINF	_	3	aux	_	_
9	vor	vor	P	APPR	Dat	8	pp	_	_
10	meiner	meine	A	PPOSAT	Fem|Dat|Sg	11	det	1224	1224
11	Geburt	Geburt	N	NN	Fem|Dat|Sg	9	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	als	als	K	KOUS	_	24	konj	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	1224	1224
15	schon	schon	A	ADV	_	23	adv	_	_
16	aus	aus	P	APPR	Dat	23	pp	_	_
17	einem	eine	A	ART	Indef|Neut|Dat|Sg	19	det	_	_
18	entschiedenen	entschieden	A	ADJA	Pos|Neut|Dat|Sg|Wk|	19	attr	_	_
19	Nichts	Nichts	N	NN	Neut|Dat|Sg	16	pn	_	_
20	ein	eine	A	ART	Indef|Masc|Nom|Sg	22	det	_	_
21	großer	groß	A	ADJA	Pos|Masc|Nom|Sg|St|	22	attr	_	_
22	Kopf	Kopf	N	NN	Masc|Nom|Sg	23	pred	_	_
23	geworden	werden	V	VAPP	_	24	aux	_	_
24	war	sein	V	VAFIN	1|Sg|Past|Ind	3	neb	_	_
25	,	,	$	$,	_	0	root	_	_
26	und	und	K	KON	_	0	root	_	_
27	noch	noch	A	ADV	_	28	adv	_	_
28	dazu	dazu	P	PROAV	_	33	pp	_	_
29	ohne	ohne	P	APPR	Acc	33	pp	_	_
30	alles	alle	A	PIDAT	Neut|Acc|Sg	32	det	_	_
31	dumme	dumm	A	ADJA	Pos|Neut|Acc|Sg|Wk|	32	attr	_	_
32	hors	hors	F	FM	Neut|Acc|Sg	29	pn	_	_
33	d	d	F	FM	_	26	cj	_	_
34	'	'	$	$(	_	0	root	_	_
35	oeuvre	oeuvre	N	NE	_	33	app	_	_
36	von	von	P	APPR	Dat	35	pp	_	_
37	Rumpf	Rumpf	N	NN	Masc|Dat|Sg	36	pn	_	_
38	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1224	1224
2	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	ganz	ganz	A	ADV	_	4	adv	_	_
4	Kopf	Kopf	N	NN	Masc|Nom|Sg	2	pred	_	_
5	;	;	$	$.	_	0	root	_	_
6	-	-	$	$(	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	war	sein	V	VAFIN	_|Sg|Past|Ind	7	cj	_	_
9	,	,	$	$,	_	0	root	_	_
10	wie	wie	P	PWAV	_	16	adv	_	_
11	die	die	A	ART	Def|Fem|Nom|Sg	12	det	_	_
12	Vollkommenheit	Vollkommenheit	N	NN	Fem|Nom|Sg	16	subj	_	_
13	und	und	K	KON	_	12	kon	_	_
14	Ewigkeit	Ewigkeit	N	NN	Fem|Nom|Sg	13	cj	_	_
15	sich	sie	P	PRF	3|_|_	16	obja	_	_
16	abbildet	abbilden	V	VVFIN	3|Sg|Pres|Ind	8	objc	_	_
17	,	,	$	$,	_	0	root	_	_
18	nämlich	nämlich	A	ADV	_	19	adv	_	_
19	zirkelrund	zirkelrund	A	ADJD	Pos|	0	root	_	_
20	;	;	$	$.	_	0	root	_	_
21	dies	dies	P	PDS	Neut|Nom|Sg	22	subj	_	_
22	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
23	auf	auf	P	APPR	_	25	pp	_	_
24	Zukunft	Zukunft	N	NN	Fem|_|Sg	23	pn	319	319
25	schließen	schließen	V	VVINF	_	22	obji	_	_
26	.	.	$	$.	_	0	root	_	_

1	Meine	meine	A	PPOSAT	Fem|Nom|Sg	2	det	1224	1224
2	Mutter	Mutter	N	NN	Fem|Nom|Sg	3	subj	_	_
3	vergaß	vergessen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	über	über	P	APPR	Acc	3	pp	_	_
5	mich	ich	P	PPER	1|Sg|_|Acc	4	pn	1224	1224
6	(	(	$	$(	_	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	sehr	sehr	A	ADV	_	9	adv	_	_
9	wußte	wußte	V	VVFIN	_|Sg|Fem|_	5	par	_	_
10	meine	meine	A	PPOSAT	Fem|Nom|Sg	11	det	1224	1224
11	Erscheinung	Erscheinung	N	NN	Fem|Nom|Sg	9	subj	1231	1231
12	sie	sie	P	PPER	3|_|_|_	13	obja	1231	1231
13	einzunehmen	einnehmen	V	VVIZU	_	9	obji	_	_
14	)	)	$	$(	_	0	root	_	_
15	Essen	Esse	N	NN	_|_|_	3	obja	1232	1232
16	und	und	K	KON	_	15	kon	_	_
17	Mann	Mann	N	NN	Masc|_|_	16	cj	_	_
18	,	,	$	$,	_	0	root	_	_
19	ja	ja	A	ADV	_	22	adv	1233	1233
20	meine	meine	A	PPOSAT	_|Nom|Sg	22	det	1224	1224
21	erste	erst	A	ADJA	_|_|Nom|Sg|_|	22	attr	_	_
22	Gesellschaft	Gesellschaft	N	NN	_|Nom|Sg	23	subj	_	_
23	machte	machen	V	VVFIN	3|Sg|Past|_	3	kon	_	_
24	ihr	ihre	A	PPOSAT	_|_|Sg	0	root	1233	1233
25	jede	jede	A	PIDAT	_|_|Sg	26	det	_	_
26	andere	andere	P	PIS	_|_|_	0	root	_	_
27	zum	zu	P	APPRART	Dat	26	pp	_	_
28	Ekel	Ekel	N	NN	_|Dat|Sg	27	pn	_	_
29	,	,	$	$,	_	0	root	_	_
30	und	und	K	KON	_	0	root	_	_
31	die	die	A	ART	Def|Fem|Nom|Sg	33	det	1234	1234
32	erste	erst	A	ADJA	_|Fem|Nom|Sg|_|	33	attr	1234	1234
33	Bewegung	Bewegung	N	NN	Fem|Nom|Sg	45	subj	1234	1234
34	,	,	$	$,	_	0	root	1234	1234
35	die	die	P	PRELS	Fem|_|Sg	43	obja	1234	1234
36	ich	ich	P	PPER	1|Sg|_|Nom	43	subj	1224	1224
37	wie	wie	K	KOKOM	_	43	kom	_	_
38	große	groß	A	ADJA	Pos|_|_|_|_|	39	attr	1235	1235
39	Feldherrn	Feldherrn	N	NN	Fem|_|Sg	37	cj	1235	1235
40	auf	auf	P	APPR	Dat	43	pp	1235	1235
41	dem	die	A	ART	Def|Masc|Dat|Sg	42	det	1235	1235
42	Kontinente	Kontinent	N	NN	Masc|Dat|Sg	40	pn	1235	1235
43	erregte	erregen	V	VVFIN	1|Sg|Past|_	33	rel	1235	1235
44	,	,	$	$,	_	0	root	1235	1235
45	war	sein	V	VAFIN	3|Sg|Past|Ind	30	cj	1235	1235
46	die	die	A	ART	Def|_|_|_	47	det	1235	1235
47	umgekehrt-peristaltische	umgekehrt-peristaltisch	A	ADJA	_|_|_	45	pred	1235	1235
48	,	,	$	$,	_	0	root	1235	1235
49	die	die	P	PRELS	Fem|Nom|Sg	52	subj	1235	1235
50	zum	zu	P	APPRART	Dat	52	objp	_	_
51	Übergeben	Übergeben	N	NN	Neut|Dat|Sg	50	pn	_	_
52	zwingt	zwingen	V	VVFIN	3|Sg|Pres|Ind	39	rel	_	_
53	.	.	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	4	pp	_	_
2	einigen	einige	A	PIAT	_|Dat|_	3	det	_	_
3	Tagen	Tag	N	NN	_|Dat|_	1	pn	_	_
4	stieß	stoßen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	zum	zu	P	APPRART	Dat	4	pp	_	_
6	Kopf	Kopf	N	NN	Masc|Dat|Sg	5	pn	1005	1005
7	schon	schon	A	ADV	_	4	adv	_	_
8	ein	eine	A	ART	Indef|Neut|Nom|Sg	10	det	1236	1236
9	gutes	gut	A	ADJA	Pos|Neut|Nom|Sg|St|	10	attr	1236	1236
10	Herz	Herz	N	NN	Neut|Nom|Sg	4	subj	1236	1236
11	-	-	$	$(	_	0	root	1236	1236
12	kein	keine	A	PIAT	Neut|Nom|Sg	14	det	1495	1495
13	drittes	dritt	A	ADJA	_|Neut|Nom|Sg|St|	14	attr	1495	1495
14	Glied	Glied	N	NN	Neut|Nom|Sg	15	subj	1495	1495
15	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	10	par	_	_
16	weiter	weiter	A	ADV	_	15	adv	_	_
17	an	an	P	APPR	_	15	pp	_	_
18	mir	ich	P	PPER	_|Dat|Sg	17	pn	1236	1236
19	pium	pium	F	FM	_	18	app	_	_
20	corpus	corpus	F	FM	_	19	app	_	_
21	-	-	$	$(	_	0	root	_	_
22	;	;	$	$.	_	0	root	_	_
23	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	1224	1224
24	konnte	können	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
25	folglich	folglich	A	ADV	_	24	adv	_	_
26	,	,	$	$,	_	0	root	_	_
27	wenn	wenn	K	KOUS	_	0	root	_	_
28	beide	beide	P	PIS	_|_|Pl	0	root	_	_
29	sich	sie	P	PRF	3|_|_	32	obja	_	_
30	so	so	A	ADV	_	32	adv	_	_
31	fort	fort	P	PTKVZ	_	32	avz	_	_
32	ausdehnten	ausdehnen	V	VVFIN	_|Pl|Past|_	0	root	_	_
33	,	,	$	$,	_	0	root	_	_
34	als	als	K	KOUS	_	36	konj	_	_
35	sie	sie	P	PPER	3|_|_|_	36	obja	1236	1236
36	angefangen	anfangen	V	VVPP	_	32	par	_	_
37	,	,	$	$,	_	0	root	_	_
38	ein	eine	A	ART	Indef|Masc|Nom|Sg	39	det	_	_
39	Doppellauter	Doppellaute	N	NN	Masc|Nom|Sg	32	subj	_	_
40	von	von	P	APPR	_	39	pp	_	_
41	Enzyklopädisten	Enzyklopädist	N	NN	Masc|_|_	40	pn	_	_
42	und	und	K	KON	_	39	kon	_	_
43	Madonna	Madonna	N	NN	_|Nom|Sg	42	cj	_	_
44	zugleich	zugleich	A	ADV	_	43	adv	_	_
45	,	,	$	$,	_	0	root	_	_
46	ein	eine	A	ART	Indef|_|Nom|Sg	47	det	_	_
47	Doppelchor	Doppelchor	N	NN	_|Nom|Sg	43	kon	_	_
48	von	von	P	APPR	_	47	pp	_	_
49	Argus	Argus	N	NE	Masc|_|Sg	48	pn	_	_
50	und	und	K	KON	_	47	kon	_	_
51	Engel	Engel	N	NN	Masc|Nom|_	50	cj	_	_
52	werden	werden	V	VAINF	_	0	root	_	_
53	,	,	$	$,	_	0	root	_	_
54	wenn	wenn	K	KOUS	_	0	root	_	_
55	nicht	nicht	P	PTKNEG	_	0	root	_	_
56	sechsmal	sechsmal	A	ADV	_	55	adv	_	_
57	mehr	mehr	A	ADV	_	55	adv	_	_
58	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1224	1224
2	staunte	staunen	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	2	obja	_	_
4	ganz	ganz	A	ADV	_	2	adv	_	_
5	an	an	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	als	als	K	KOUS	_	16	konj	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	1224	1224
9	mich	ich	P	PRF	1|Sg|Acc	16	obja	_	_
10	nach	nach	P	APPR	Dat	16	pp	_	_
11	zwei	zwei	C	CARD	_	12	attr	_	_
12	Wochen	Woche	N	NN	Fem|Dat|Pl	10	pn	_	_
13	schon	schon	A	ADV	_	16	adv	_	_
14	so	so	A	ADV	_	15	adv	_	_
15	groß	groß	A	ADJD	Pos|	16	pred	_	_
16	fand	finden	V	VVFIN	1|Sg|Past|Ind	2	neb	_	_
17	als	als	K	KOKOM	_	16	kom	_	_
18	ein	eine	A	ART	Indef|_|_|Sg	19	det	_	_
19	Hirsekorn	Hirsekorn	N	NN	_|_|Sg	17	cj	_	_
20	;	;	$	$.	_	0	root	_	_
21	und	und	K	KON	_	0	root	_	_
22	nach	nach	P	APPR	Dat	21	cj	_	_
23	fünfen	fünf	C	CARD	_	22	pn	_	_
24	gar	gar	A	ADV	_	22	adv	_	_
25	als	als	K	KOKOM	_	24	kom	_	_
26	eine	eine	A	ART	Indef|Fem|_|Sg	27	det	_	_
27	Bohne	Bohne	N	NN	Fem|_|Sg	25	cj	_	_
28	;	;	$	$.	_	0	root	_	_
29	fährt	fahren	V	VVFIN	3|Sg|Pres|Ind	34	neb	_	_
30	diese	diese	A	PDAT	Fem|Nom|Sg	32	det	1237	1237
31	seltene	selten	A	ADJA	Pos|Fem|Nom|Sg|_|	32	attr	1237	1237
32	Streckbarkeit	Streckbarkeit	N	NN	Fem|Nom|Sg	29	subj	1237	1237
33	,	,	$	$,	_	0	root	_	_
34	sagt	sagen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
35	'	'	$	$(	_	0	root	_	_
36	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1224	1224
37	,	,	$	$,	_	0	root	_	_
38	nur	nur	A	ADV	_	39	adv	_	_
