1	Leibgeber	Leibgeber	N	NN	Masc|_|_	0	root	183	183
6	Bettler	Bettler	N	NN	Masc|Dat|Sg	4	cj	255	255
7	,	,	$	$,	_	0	root	_	_
8	der	die	P	PRELS	_|_|Sg	0	root	255	255
9	,	,	$	$,	_	0	root	_	_
10	aus	aus	P	APPR	Dat	13	pp	_	_
11	dem	die	A	ART	Def|Masc|Dat|Sg	12	det	_	_
12	Schlaftrunk	Schlaftrunk	N	NN	Masc|Dat|Sg	10	pn	_	_
13	erwachend	erwachen	A	ADJD	_|<PPRES	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	sich	sie	P	PRF	3|_|_	20	obja	_	_
16	auf	auf	P	APPR	_	20	pp	_	_
17	einmal	einmal	A	ADV	_	16	adv	_	_
18	als	als	K	KOKOM	_	20	kom	_	_
19	König	König	N	NN	Masc|_|Sg	18	cj	_	_
20	findet	finden	V	VVFIN	_|_|Pres|_	0	root	_	_
21	.	.	$	$.	_	0	root	_	_

1	Welch	welch	A	PWAT	_	0	root	_	_
2	ein	eine	A	ART	Indef|Neut|_|Sg	3	det	256	256
3	Wesen	Wesen	N	NN	Neut|_|Sg	0	root	256	256
4	,	,	$	$,	_	0	root	_	_
5	das	die	P	PRELS	Neut|_|Sg	0	root	256	256
6	,	,	$	$,	_	0	root	_	_
7	sich	sie	P	PRF	3|_|_	8	obja	_	_
8	ausgenommen	ausnehmen	V	VVPP	_	21	obji	_	_
9	(	(	$	$(	_	0	root	_	_
10	denn	denn	K	KON	_	8	par	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
12	wird	werden	V	VAFIN	3|Sg|Pres|Ind	10	cj	_	_
13	nur	nur	A	ADV	_	12	adv	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	12	kon	_	_
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	15	cj	_	_
17	nie	nie	A	ADV	_	16	adv	_	_
18	)	)	$	$(	_	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	alles	alle	P	PIS	Neut|Nom|Sg	21	subj	_	_
21	macht	machen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	mein	meine	A	PPOSAT	Neut|_|Sg	40	det	253	253
24	absolutes	absolut	A	ADJA	Pos|Neut|_|Sg|St|	40	attr	_	_
25	,	,	$	$,	_	0	root	_	_
26	alles	alle	P	PIS	_|_|Sg	27	obja	_	_
27	gebärendes	gebärend	A	ADJA	Pos|Neut|_|Sg|St|<PPRES	24	kon	_	_
28	,	,	$	$,	_	0	root	_	_
29	fehlendes	fehlend	A	ADJA	Pos|Neut|_|Sg|St|<PPRES	27	kon	_	_
30	,	,	$	$,	_	0	root	_	_
31	lammendes	lammend	A	ADJA	Pos|Neut|_|Sg|St|<PPRES	29	kon	_	_
32	,	,	$	$,	_	0	root	_	_
33	heckendes	heckend	A	ADJA	Pos|Neut|_|Sg|St|<PPRES	31	kon	_	_
34	,	,	$	$,	_	0	root	_	_
35	brechendes	brechend	A	ADJA	Pos|Neut|_|Sg|St|<PPRES	33	kon	_	_
36	,	,	$	$,	_	0	root	_	_
37	werfendes	werfend	A	ADJA	Pos|Neut|_|Sg|St|<PPRES	35	kon	_	_
38	,	,	$	$,	_	0	root	_	_
39	setzendes	setzend	A	ADJA	Pos|Neut|_|Sg|St|<PPRES	37	kon	_	_
40	Ich1	Ich1	N	NN	Neut|_|Sg	0	root	_	_
41	)	)	$	$(	_	0	root	_	_
42	!	!	$	$.	_	0	root	_	_
43	«	«	$	$(	_	0	root	_	_
44	-	-	$	$(	_	0	root	_	_

1	Hier	hier	A	ADV	_	2	adv	_	_
2	konnt	konnt	C	CARD	_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	0	root	253	253
5	nicht	nicht	P	PTKNEG	_	12	adv	_	_
6	länger	lang	A	ADJD	Comp|	12	pred	_	_
7	mit	mit	P	APPR	Dat	12	pp	_	_
8	den	die	A	ART	Def|Masc|Dat|Pl	9	det	257	257
9	Füßen	Fuß	N	NN	Masc|Dat|Pl	7	pn	257	257
10	im	in	P	APPRART	Dat	12	pp	_	_
11	Wasser	Wasser	N	NN	Neut|Dat|Sg	10	pn	_	_
12	bleiben	bleiben	V	VVINF	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	sondern	sondern	K	KON	_	0	root	_	_
15	ging	gehen	V	VVFIN	_|Sg|Past|Ind	14	cj	_	_
16	barfuß	barfuß	A	ADJD	Pos|	15	adv	_	_
17	und	und	K	KON	_	16	kon	_	_
18	tropfend	tropfen	A	ADJD	_|<PPRES	17	cj	_	_
19	auf	auf	P	PTKVZ	_	15	avz	_	_
20	und	und	K	KON	_	0	root	_	_
21	ab	ab	P	PTKVZ	_	0	root	_	_
22	:	\:	$	$.	_	0	root	_	_
23	»	»	$	$(	_	0	root	_	_
24	Überschlage	Überschlag	N	NN	Masc|Dat|Sg	29	vok	_	_
25	doch	doch	A	ADV	_	24	adv	_	_
26	einmal	einmal	A	ADV	_	24	adv	_	_
27	«	«	$	$(	_	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	sagt	sagen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
30	'	'	$	$(	_	0	root	_	_
31	ich	ich	P	PPER	1|Sg|_|Nom	0	root	253	253
32	,	,	$	$,	_	0	root	_	_
33	»	»	$	$(	_	0	root	_	_
34	in	in	P	APPR	_	39	pp	_	_
35	Pausch	Pausch	N	NE	Masc|_|_	34	pn	_	_
36	und	und	K	KON	_	35	kon	_	_
37	Bogen	Bogen	N	NN	Masc|_|_	36	cj	_	_
38	deine	deine	A	PPOSAT	Fem|_|Pl	39	det	_	_
39	Schöpfungen	Schöpfung	N	NN	Fem|_|Pl	0	root	_	_
40	-	-	$	$(	_	0	root	_	_
41	den	die	A	ART	Def|_|_|_	42	det	_	_
42	Raum	Raum	N	NN	Fem|Acc|Sg	39	par	_	_
43	-	-	$	$(	_	0	root	_	_
44	die	die	A	ART	Def|Fem|Acc|Sg	45	det	_	_
45	Zeit	Zeit	N	NN	Fem|Acc|Sg	42	app	_	_
46	(	(	$	$(	_	0	root	_	_
47	jetzt	jetzt	A	ADV	_	48	adv	_	_
48	bis	bis	P	APPR	Acc	45	pp	_	_
49	ins	in	P	APPRART	Acc	48	pp	_	_
50	achtzehnte	achtzehnt	A	ADJA	_|_|Acc|_|_|	51	attr	258	258
51	Jahrhundert	Jahrhundert	N	NN	_|Acc|_	49	pn	258	258
52	herein	herein	A	ADV	_	51	adv	258	258
53	)	)	$	$(	_	0	root	_	_
54	-	-	$	$(	_	0	root	_	_
55	was	was	P	PWS	Neut|Nom|Sg	58	subj	_	_
56	in	in	P	APPR	_	58	pp	_	_
57	beiden	beide	P	PIS	_|_|Pl	56	pn	_	_
58	ist	sein	V	VAFIN	3|Sg|Pres|Ind	45	objc	_	_
59	-	-	$	$(	_	0	root	_	_
60	die	die	A	ART	Def|Fem|Nom|Pl	61	det	138	138
61	Welten	Welt	N	NN	Fem|Nom|Pl	58	pred	138	138
62	-	-	$	$(	_	0	root	_	_
63	was	was	P	PRELS	Neut|Nom|Sg	66	subj	258	258
64	auf	auf	P	APPR	_	66	pp	_	_
65	diesen	diese	P	PDS	_|_|_	64	pn	_	_
66	ist	sein	V	VAFIN	3|Sg|Pres|Ind	58	objc	_	_
67	-	-	$	$(	_	0	root	_	_
68	die	die	A	ART	Def|_|_|Pl	70	det	_	_
69	drei	drei	C	CARD	_	70	attr	_	_
70	Reiche	Reich	N	NN	_|_|Pl	66	par	_	_
71	der	die	A	ART	Def|Fem|Gen|Sg	72	det	259	259
72	Natur	Natur	N	NN	Fem|Gen|Sg	70	gmod	259	259
73	-	-	$	$(	_	0	root	_	_
74	die	die	A	ART	Def|_|Nom|Pl	77	det	_	_
75	lumpigen	lumpig	A	ADJA	Pos|_|Nom|Pl|Wk|	77	attr	_	_
76	königlichen	königlich	A	ADJA	Pos|_|Nom|Pl|Wk|	77	attr	_	_
77	Reiche	Reich	N	NN	_|Nom|Pl	66	pred	_	_
78	-	-	$	$(	_	0	root	_	_
79	das	die	P	PDS	Neut|_|Sg	0	root	_	_
80	der	die	A	ART	Def|Fem|Gen|Pl	81	det	_	_
81	Wahrheiten	Wahrheit	N	NN	Fem|Gen|Pl	79	gmod	_	_
82	-	-	$	$(	_	0	root	_	_
83	das	die	P	PDS	Neut|_|Sg	81	par	_	_
84	der	die	A	ART	Def|Fem|Gen|Sg	86	det	_	_
85	kritischen	kritisch	A	ADJA	Pos|Fem|Gen|Sg|Wk|	86	attr	_	_
86	Schule	Schule	N	NN	Fem|Gen|Sg	83	gmod	_	_
87	-	-	$	$(	_	0	root	_	_
88	und	und	K	KON	_	79	kon	_	_
89	sämtliche	sämtliche	A	PIDAT	Fem|_|Pl	90	det	_	_
90	Bibliotheken	Bibliothek	N	NN	Fem|_|Pl	88	cj	_	_
91	!	!	$	$.	_	0	root	_	_
92	«	«	$	$(	_	0	root	_	_
93	-	-	$	$(	_	0	root	_	_
94	Und	und	K	KON	_	0	root	_	_
95	mithin	mithin	A	ADV	_	96	adv	_	_
96	auch	auch	A	ADV	_	99	adv	_	_
97	die	die	A	ART	Def|Masc|Nom|Pl	99	det	_	_
98	paar	paar	A	PIDAT	Masc|Nom|Pl	99	attr	_	_
99	Bände	Band	N	NN	Masc|Nom|Pl	103	subj	_	_
100	,	,	$	$,	_	0	root	_	_
101	die	die	A	ART	Def|Fem|_|Sg	102	det	260	260
102	Fichte	Fichte	N	NN	Fem|_|Sg	103	obja	260	260
103	geschrieben	schreiben	V	VVPP	_	94	cj	_	_
104	,	,	$	$,	_	0	root	_	_
105	weil	weil	K	KOUS	_	0	root	_	_
106	ich	ich	P	PPER	1|Sg|_|Nom	0	root	253	253
107	ihn	er	P	PPER	3|Sg|Masc|Acc	109	obja	258	258
108	erst	erst	A	ADV	_	109	adv	_	_
109	setzen	setzen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
110	oder	oder	K	KON	_	109	kon	_	_
111	machen	machen	V	VVINF	_	112	aux	_	_
112	muß	müssen	V	VMFIN	_|Sg|Pres|Ind	110	cj	_	_
113	,	,	$	$,	_	0	root	_	_
114	eh	eh	A	ADJD	_	116	adv	_	_
115	'	'	$	$(	_	0	root	_	_
116	er	er	P	PPER	3|Sg|Masc|Nom	118	subj	258	258
117	eintunken	eintunken	V	VVINF	_	118	aux	_	_
118	kann	können	V	VMFIN	3|Sg|Pres|Ind	112	kon	_	_
119	-	-	$	$(	_	0	root	_	_
120	denn	denn	K	KON	_	118	kon	_	_
121	es	es	P	PPER	3|Sg|Neut|Nom	122	subj	_	_
122	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	120	cj	_	_
123	auf	auf	P	APPR	Acc	122	objp	_	_
124	meine	meine	A	PPOSAT	Fem|Acc|Sg	126	det	253	253
125	moralische	moralisch	A	ADJA	Pos|Fem|Acc|Sg|_|	126	attr	_	_
126	Politesse	Politesse	N	NN	Fem|Acc|Sg	123	pn	_	_
127	an	an	P	PTKVZ	_	122	avz	_	_
128	,	,	$	$,	_	0	root	_	_
129	ob	ob	K	KOUS	_	134	konj	_	_
130	ich	ich	P	PPER	1|Sg|_|Nom	134	subj	253	253
131	ihn	er	P	PPER	3|Sg|Masc|Acc	132	obja	258	258
132	leben	leben	V	VVINF	_	133	obji	_	_
133	lassen	lassen	V	VVINF	_	134	aux	_	_
134	will	wollen	V	VMFIN	1|Sg|Pres|Ind	122	neb	_	_
135	-	-	$	$(	_	0	root	_	_
136	und	und	K	KON	_	134	kon	_	_
137	zweitens	zweitens	A	ADV	_	138	adv	_	_
138	weil	weil	K	KOUS	_	156	konj	_	_
139	wir	wir	P	PPER	1|Pl|_|Nom	156	subj	261	261
140	beide	beide	P	PIS	_|Nom|Pl	139	app	_	_
141	,	,	$	$,	_	0	root	_	_
142	wenn	wenn	K	KOUS	_	147	konj	_	_
143	ich	ich	P	PPER	1|Sg|_|Nom	147	subj	253	253
144	mich	ich	P	PRF	1|Sg|Acc	147	obja	_	_
145	auch	auch	A	ADV	_	147	adv	_	_
146	dazu	dazu	P	PROAV	_	147	pp	_	_
147	verstehe	verstehen	V	VVFIN	1|Sg|Pres|_	156	neb	_	_
148	,	,	$	$,	_	0	root	_	_
149	als	als	K	KOKOM	_	155	kom	_	_
150	Anti-Influxionisten	Anti-Influxionisten	N	NE	_	149	cj	262	262
151	doch	doch	A	ADV	_	155	adv	_	_
152	nie	nie	A	ADV	_	155	adv	_	_
153	unsere	unsre	A	PPOSAT	Neut|_|Pl	154	det	261	261
154	Ichs	Ich	N	NN	Neut|_|Pl	155	obja	_	_
155	behorchen	behorchen	V	VVINF	_	156	aux	_	_
156	können	können	V	VMFIN	1|Pl|Pres|_	136	cj	_	_
157	,	,	$	$,	_	0	root	_	_
158	sondern	sondern	K	KON	_	156	kon	_	_
159	jeder	jede	P	PIS	Masc|Nom|Sg	163	subj	_	_
160	selber	selber	A	ADV	_	162	adv	_	_
161	das	die	P	PDS	Neut|_|Sg	162	obja	_	_
162	erfinden	erfinden	V	VVINF	_	163	aux	_	_
163	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	158	cj	_	_
164	,	,	$	$,	_	0	root	_	_
165	was	was	P	PRELS	Neut|_|Sg	0	root	262	262
166	er	er	P	PPER	3|Sg|Masc|Nom	0	root	258	258
167	vom	von	P	APPRART	Dat	166	pp	_	_
168	andern	andern	A	ADJA	_	169	attr	263	263
169	lieset	lieset	N	NN	_|Dat|_	167	pn	263	263
170	,	,	$	$,	_	0	root	_	_
171	er	er	P	PPER	3|Sg|Masc|Nom	0	root	258	258
172	meinen	meine	A	PPOSAT	_|_|_	173	det	253	253
173	Clavis	Clavis	N	NN	_|_|_	0	root	_	_
174	,	,	$	$,	_	0	root	_	_
175	ich	ich	P	PPER	1|Sg|_|Nom	0	root	253	253
176	seine	seine	A	PPOSAT	Fem|_|Pl	177	det	263	263
177	Drucksachen	Drucksache	N	NN	Fem|_|Pl	0	root	_	_
178	.	.	$	$.	_	0	root	_	_

1	Daher	Daher	P	PROAV	_	2	pp	_	_
2	nenn	nenn	V	VVFIN	1|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	253	253
5	die	die	A	ART	Def|Fem|Nom|Sg	6	det	29	29
6	Wissenschaftslehre	Wissenschaftslehre	N	NN	Fem|Nom|Sg	14	subj	29	29
7	keck	keck	A	ADJD	Pos|	14	adv	_	_
8	mein	meine	A	PPOSAT	Neut|Acc|Sg	9	det	253	253
9	Werk	Werk	N	NN	Neut|Acc|Sg	14	obja	_	_
10	und	und	K	KON	_	9	kon	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	264	264
12	Leibgeberianismus	Leibgeberianismus	N	NN	Masc|Acc|Sg	10	cj	264	264
13	,	,	$	$,	_	0	root	_	_
14	gesetzt	setzen	V	VVPP	_	2	neb	_	_
15	auch	auch	A	ADV	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	Fichte	Fichte	N	NN	Fem|Nom|Sg	18	subj	89	89
18	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
19	und	und	K	KON	_	18	kon	_	_
20	hegte	hegen	V	VVFIN	_|Sg|Past|_	19	cj	_	_
21	ähnliche	ähnlich	A	ADJA	Pos|Masc|_|Pl|St|	22	attr	_	_
22	Gedanken	Gedanke	N	NN	Masc|_|Pl	20	obja	_	_
23	;	;	$	$.	_	0	root	_	_
24	er	er	P	PPER	3|Sg|Masc|Nom	25	subj	263	263
25	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
26	hier	hier	A	ADV	_	33	adv	_	_
27	nur	nur	A	ADV	_	29	adv	_	_
28	der	die	A	ART	Def|Masc|Nom|Sg	29	det	_	_
29	Newton	Newton	N	NE	Masc|Nom|Sg	33	pred	_	_
30	mit	mit	P	APPR	Dat	29	pp	_	_
31	seinen	seine	A	PPOSAT	_|Dat|_	32	det	263	263
32	Fluxionen	Fluxionen	N	NN	_|Dat|_	30	pn	_	_
33	sein	sein	V	VAINF	_	25	aux	_	_
34	und	und	K	KON	_	0	root	_	_
35	ich	ich	P	PPER	1|Sg|_|Nom	34	cj	253	253
36	der	die	A	ART	Def|_|_|_	37	det	_	_
37	Leibniz	Leibniz	N	NN	_|_|_	0	root	_	_
38	mit	mit	P	APPR	Dat	37	pp	_	_
39	der	die	A	ART	Def|Fem|Dat|Sg	40	det	_	_
40	Differentialrechnung	Differentialrechnung	N	NN	Fem|Dat|Sg	38	pn	_	_
41	,	,	$	$,	_	0	root	_	_
42	zwei	zwei	C	CARD	_	45	attr	_	_
43	ähnliche	ähnlich	A	ADJA	Pos|_|_|_|_|	45	attr	_	_
44	große	groß	A	ADJA	Pos|_|_|_|_|	45	attr	_	_
45	Männer	Mann	N	NN	Masc|Dat|Pl	40	app	_	_
46	!	!	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	auch	auch	A	ADV	_	2	adv	_	_
5	ebenso	ebenso	A	ADV	_	6	adv	_	_
6	viele	viele	A	PIDAT	_|_|Sg	8	det	_	_
7	philosophische	philosophisch	A	ADJA	Pos|_|_|Sg|_|	8	attr	_	_
8	Messiasse	Messiasse	N	NN	_|_|Sg	2	obja	_	_
9	(	(	$	$(	_	0	root	_	_
10	Kant	Kant	N	NE	_|_|Sg	8	app	_	_
11	und	und	K	KON	_	10	kon	_	_
12	Fichte	Fichte	N	NN	Fem|_|Sg	11	cj	89	89
13	)	)	$	$(	_	0	root	_	_
14	;	;	$	$.	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	ebenso	ebenso	A	ADV	_	17	adv	_	_
17	viele	viele	A	PIDAT	_|_|_	18	det	_	_
18	jüdische	jüdisch	A	ADJA	_|_|_	15	cj	_	_
19	,	,	$	$,	_	0	root	_	_
20	wovon	wovon	P	PWAV	_	0	root	_	_
21	der	die	A	ART	Def|_|_|_	22	det	_	_
22	erste	erst	A	ADJA	Masc|Nom|Sg	0	root	_	_
23	der	die	A	ART	Def|Masc|Nom|Sg	24	det	_	_
24	Sohn	Sohn	N	NN	Masc|Nom|Sg	0	root	_	_
25	Josephs	Joseph	N	NE	Masc|Gen|Sg	24	gmod	_	_
26	,	,	$	$,	_	0	root	_	_
27	der	die	A	ART	Def|_|_|_	28	part	_	_
28	andere	andere	P	PIS	Masc|Nom|Sg	33	subj	_	_
29	der	die	A	ART	Def|Masc|Nom|Sg	30	det	_	_
30	Sohn	Sohn	N	NN	Masc|Nom|Sg	32	pred	_	_
31	Davids	David	N	NE	Masc|Gen|Sg	30	gmod	424	424
32	sein	sein	V	VAINF	_	33	aux	_	_
33	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
34	.	.	$	$.	_	0	root	_	_

1	Vielgötterei	Vielgötterei	N	NN	Fem|_|Sg	0	root	_	_
2	oder	oder	K	KON	_	1	kon	_	_
3	Viel-Icherei	Viel-Icherei	N	NE	Fem|_|Sg	2	cj	_	_
4	.	.	$	$.	_	0	root	_	_

1	Andere	Andere	A	ADJA	_|Masc|_|Pl|_	2	attr	356	356
2	Götter	Gott	N	NN	Masc|_|Pl	8	obja	356	356
3	oder	oder	K	KON	_	2	kon	356	356
4	Ichs	Ich	N	NN	Neut|_|_	3	cj	356	356
5	neben	neben	P	APPR	Dat	8	pp	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	pn	89	89
7	zu	zu	P	PTKZU	_	8	part	_	_
8	haben	haben	V	VAINF	_	10	obji	_	_
9	,	,	$	$,	_	0	root	_	_
10	verbietet	verbieten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	13	det	266	266
12	mosaische	mosaisch	A	ADJA	Pos|Masc|Nom|Sg|Wk|	13	attr	266	266
13	Dekalogus	Dekalogus	N	NN	Masc|Nom|Sg	10	subj	266	266
14	ebenso	ebenso	A	ADV	_	15	adv	_	_
15	scharf	scharf	A	ADJD	Pos|	10	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	als	als	K	KOUS	_	0	root	_	_
