1	Hallo	hallo	ITJ	ITJ	_	0	root	_	-
3	Zahnmedizin	Zahnmedizin	N	NN	Fem|_|Sg	2	obja	_	-
4	.	.	$.	$.	_	0	root	_	-

1	Meine	meine	ART	PPOSAT	Fem|Nom|Sg	2	det	_	(0)|(3
2	Schwester	Schwester	N	NN	Fem|Nom|Sg	3	subj	_	3)
3	möchte	mögen	V	VMFIN	3|Sg|Past|Subj	0	root	_	-
4	Tierärztin	Tierärztin	N	NN	Fem|Nom|Sg	5	pred	_	-
5	werden	werden	V	VAINF	_	3	aux	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Sg|Fem|Nom	2	subj	_	(3)
2	studiert	studieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	noch	noch	ADV	ADV	_	4	adv	_	-
4	nicht	nicht	PTKNEG	PTKNEG	_	2	adv	_	-
5	,	,	$,	$,	_	0	root	_	-
6	denn	denn	KON	KON	_	2	kon	_	-
7	sie	sie	PRO	PPER	3|Sg|Fem|Nom	8	subj	_	(3)
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	cj	_	-
9	erst	erst	ADV	ADV	_	11	adv	_	-
10	16	16	CARD	CARD	_	11	attr	_	-
11	Jahre	Jahr	N	NN	Neut|_|Pl	12	grad	_	-
12	alt	alt	ADV	ADJD	Pos|	8	pred	_	-
13	.	.	$.	$.	_	0	root	_	-

