1	Ja	ja	PTKANT	PTKANT	_	0	root	_	-
1	Dort	dort	ADV	ADV	_	2	adv	_	-
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	er	er	PRO	PPER	3|Sg|Masc|Nom	2	subj	_	(1)
4	mit	mit	PREP	APPR	Dat	7	pp	_	-
5	anderen	anderen	ADJA	ADJA	_|Masc|Dat|Pl|_	6	attr	_	-
6	Hunden	Hund	N	NN	Masc|Dat|Pl	4	pn	_	-
7	spielen	spielen	V	VVINF	_	2	aux	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(2)
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	-
3	also	also	ADV	ADV	_	5	adv	_	-
4	jeden	jede	ART	PIDAT	_|Dat|Sg	5	det	_	-
5	Tag	Tag	N	NN	_|Dat|Sg	2	objd	_	-
6	draußen	draußen	ADV	ADV	_	2	pred	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
2	tut	tun	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	mir	ich	PRO	PPER	1|Sg|_|Dat	2	objd	_	(2)
4	gut	gut	ADV	ADJD	Pos|	2	pred	_	-
5	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(2)
2	glaube	glauben	V	VVFIN	1|Sg|Pres|_	0	root	_	-
3	,	,	$,	$,	_	0	root	_	-
4	ich	ich	PRO	PPER	1|Sg|_|Nom	5	subj	_	(2)
5	lebe	leben	V	VVFIN	1|Sg|Pres|_	2	s	_	-
6	gesund	gesund	ADV	ADJD	Pos|	5	adv	_	-
7	.	.	$.	$.	_	0	root	_	-

