1	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	172	172
40	er	er	P	PPER	3|Sg|Masc|Nom	49	subj	24	24
41	mir	ich	P	PPER	1|Sg|_|Dat	48	objd	171	171
42	so	so	A	ADV	_	43	adv	_	_
43	viel	viel	A	PIDAT	Neut|_|Sg	44	det	_	_
44	Geld	Geld	N	NN	Neut|_|Sg	48	obja	_	_
45	für	für	P	APPR	Acc	44	pp	_	_
46	die	die	A	ART	Def|_|Acc|_	47	det	164	164
47	Schale	Schal	N	NN	_|Acc|_	45	pn	164	164
48	gegeben	geben	V	VVPP	_	49	aux	_	_
49	hat	haben	V	VAFIN	3|Sg|Pres|Ind	37	objc	_	_
50	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Achim	Achim	N	NE	_|Nom|Sg	3	subj	26	26
3	bejahte	bejahen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|_	3	obja	_	_
5	und	und	K	KON	_	3	kon	_	_
6	war	sein	V	VAFIN	_|Sg|Past|Ind	5	cj	_	_
7	froh	froh	A	ADJD	Pos|	6	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	wieder	wieder	A	ADV	_	19	adv	_	_
10	einige	einige	A	PIAT	Fem|_|Sg	11	det	_	_
11	Zeit	Zeit	N	NN	Fem|_|Sg	19	obja	_	_
12	ohne	ohne	P	APPR	Acc	18	pp	_	_
13	Arbeit	Arbeit	N	NN	Fem|Acc|Sg	12	pn	363	363
14	sich	sie	P	PRF	3|_|Dat	18	objd	_	_
15	'	'	$	$(	_	0	root	_	_
16	s	s	P	PPER	_|_|_|Nom	18	pred	26	26
17	wohl	wohl	A	ADV	_	16	adv	_	_
18	sein	sein	V	VAINF	_	19	aux	_	_
19	lassen	lassen	V	VVINF	_	0	root	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	können	können	V	VMINF	_	0	root	_	_
22	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	das	die	A	ART	Def|Neut|Nom|Sg	3	det	175	175
3	Geld	Geld	N	NN	Neut|Nom|Sg	4	subj	175	175
4	währte	währen	V	VVFIN	3|Sg|Past|_	1	cj	_	_
5	nicht	nicht	P	PTKNEG	_	4	adv	_	_
6	lange	lange	A	ADJD	_	4	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	4	kon	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	sollte	sollen	V	VMFIN	3|Sg|Past|_	8	cj	_	_
11	endlich	endlich	A	ADJD	Pos|	28	adv	_	_
12	auch	auch	A	ADV	_	28	adv	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	15	det	176	176
14	grosse	groß	A	ADJA	Pos|Masc|Nom|Sg|Wk|	15	attr	176	176
15	Kessel	Kessel	N	NN	Masc|Nom|Sg	10	subj	176	176
16	,	,	$	$,	_	0	root	176	176
17	in	in	P	APPR	Dat	23	pp	176	176
18	dem	die	P	PRELS	Masc|Dat|Sg	17	pn	176	176
19	der	die	A	ART	Def|Masc|Nom|Sg	20	det	158	158
20	Geist	Geist	N	NN	Masc|Nom|Sg	24	subj	158	158
21	die	die	A	ART	Def|Fem|_|Pl	22	det	177	177
22	Weinflaschen	Weinflasche	N	NN	Fem|_|Pl	23	obja	177	177
23	gebracht	bringen	V	VVPP	_	24	aux	_	_
24	hatte	haben	V	VAFIN	3|Sg|Past|Ind	15	rel	_	_
25	,	,	$	$,	_	0	root	_	_
26	zum	zu	P	APPRART	Dat	28	pp	_	_
27	Händler	Händler	N	NN	Masc|Dat|Sg	26	pn	_	_
28	wandern	wandern	V	VVINF	_	10	aux	_	_
29	.	.	$	$.	_	0	root	_	_

1	Weil	weil	K	KOUS	_	6	konj	_	_
2	aber	aber	A	ADV	_	6	adv	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	178	178
4	Kessel	Kessel	N	NN	Masc|Nom|Sg	6	subj	178	178
5	schwer	schwer	A	ADJD	Pos|	6	pred	_	_
6	war	sein	V	VAFIN	3|Sg|Past|Ind	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	ihn	er	P	PPER	3|Sg|Masc|Acc	8	obja	178	178
10	Lameth	Lameth	N	NN	_|Nom|Sg	8	subj	24	24
11	auf	auf	P	APPR	Acc	8	objp	_	_
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	179	179
13	Kopf	Kopf	N	NN	Masc|Acc|Sg	11	pn	179	179
14	und	und	K	KON	_	8	kon	_	_
15	trug	tragen	V	VVFIN	_|Sg|Past|Ind	14	cj	_	_
16	ihn	er	P	PPER	3|Sg|Masc|Acc	15	obja	24	24
17	öffentlich	öffentlich	A	ADJD	Pos|	15	adv	_	_
18	davon	davon	P	PROAV	_	15	pp	_	_
19	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	begegnete	begegnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	24	24
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	181	181
5	Goldschmied	Goldschmied	N	NN	Masc|Nom|Sg	2	subj	181	181
6	und	und	K	KON	_	2	kon	_	_
7	fragte	fragen	V	VVFIN	_|Sg|Past|_	6	cj	_	_
8	ihn	er	P	PPER	3|Sg|Masc|Acc	7	obja	24	24
9	,	,	$	$,	_	0	root	_	_
10	wohin	wohin	P	PWAV	_	15	pp	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	24	24
12	mit	mit	P	APPR	Dat	15	pp	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	14	det	178	178
14	Kessel	Kessel	N	NN	Masc|Dat|Sg	12	pn	178	178
15	wolle	wollen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Lameth	Lameth	N	NE	_|Nom|Sg	2	subj	24	24
2	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	"	"	$	$(	_	0	root	_	_
5	Ich	ich	P	PPER	1|Sg|_|Nom	6	subj	24	24
6	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
7	einen	eine	A	ART	Indef|Masc|Acc|Sg	8	det	180	180
8	Händler	Händler	N	NN	Masc|Acc|Sg	9	obja	180	180
9	suchen	suchen	V	VVINF	_	6	aux	180	180
10	,	,	$	$,	_	0	root	180	180
11	der	die	P	PRELS	Masc|Nom|Sg	14	subj	180	180
12	ihn	er	P	PPER	3|Sg|Masc|Acc	14	obja	24	24
13	mir	ich	P	PPER	1|Sg|_|Dat	14	objd	24	24
14	abkauft	abkaufen	V	VVFIN	3|Sg|Pres|Ind	8	rel	_	_
15	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	181	181
3	Goldschmied	Goldschmied	N	NN	Masc|Nom|Sg	4	subj	181	181
4	erwiderte	erwidern	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	:	\:	$	$.	_	0	root	_	_
6	"	"	$	$(	_	0	root	_	_
7	Ja	ja	P	PTKANT	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	11	det	_	_
10	solcher	solche	A	PIDAT	Masc|Nom|Sg	11	attr	_	_
11	Schelm	Schelm	N	NN	Masc|Nom|Sg	12	subj	_	_
12	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	dir	du	P	PPER	2|Sg|_|Dat	16	objd	182	182
14	viel	viel	P	PIS	_	16	obja	_	_
15	dafür	dafür	P	PROAV	_	16	pp	_	_
16	geben	geben	V	VVINF	_	12	aux	_	_
17	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	24	24
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	dich	du	P	PRF	2|Sg|Acc	12	obja	_	_
4	schon	schon	A	ADV	_	12	adv	_	_
5	zweimal	zweimal	A	ADV	_	12	adv	_	_
6	mit	mit	P	APPR	Dat	12	pp	_	_
7	einer	eine	A	ART	Indef|Fem|Dat|Sg	8	det	_	_
8	Schale	Schal	N	NN	Fem|Dat|Sg	6	pn	_	_
9	bei	bei	P	APPR	Dat	12	pp	_	_
10	mir	ich	P	PPER	1|Sg|_|Dat	9	pn	24	24
11	vorbeigehen	vorbeigehen	V	VVINF	_	12	aux	_	_
12	sehen	sehen	V	VVINF	_	0	root	_	_
13	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	9	obja	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	dir	du	P	PPER	2|Sg|_|Dat	9	objd	182	182
4	denn	denn	A	ADV	_	9	adv	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	166	166
6	Händler	Händler	N	NN	Masc|Nom|Sg	2	subj	166	166
7	jedesmal	jedesmal	A	ADV	_	9	adv	_	_
8	dafür	dafür	P	PROAV	_	9	pp	_	_
9	gegeben	geben	V	VVPP	_	2	aux	_	_
10	?	?	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Lameth	Lameth	N	NE	_|Nom|Sg	3	subj	24	24
3	gestand	gestehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	in	in	P	APPR	Dat	3	pp	_	_
5	seiner	seine	A	PPOSAT	Fem|Dat|Sg	6	det	24	24
6	Einfalt	Einfalt	N	NN	Fem|Dat|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PRELS	Neut|_|Sg	10	obja	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	24	24
10	empfangen	empfangen	V	VVPP	_	11	aux	_	_
11	hatte	haben	V	VAFIN	3|Sg|Past|Ind	3	objc	_	_
12	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	versetzte	versetzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	181	181
4	Goldschmied	Goldschmied	N	NN	Masc|Nom|Sg	2	subj	181	181
5	:	\:	$	$.	_	0	root	_	_
6	"	"	$	$(	_	0	root	_	_
7	Nun	nun	A	ADV	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
10	du	du	P	PPER	2|Sg|_|Nom	9	subj	182	182
11	wohl	wohl	A	ADV	_	9	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	wie	wie	P	PWAV	_	18	adv	_	_
14	der	die	A	ART	Def|Masc|Nom|Sg	16	det	185	185
15	schelmische	schelmisch	A	ADJA	Pos|Masc|Nom|Sg|Wk|	16	attr	185	185
16	Händler	Händler	N	NN	Masc|Nom|Sg	19	subj	185	185
17	dich	du	P	PPER	2|Sg|_|Acc	18	obja	182	182
18	betrogen	betrügen	V	VVPP	_	19	aux	_	_
19	hat	haben	V	VAFIN	3|Sg|Pres|Ind	9	objc	_	_
20	?	?	$	$.	_	0	root	_	_

1	Jede	jede	P	PIS	_|Nom|Sg	4	subj	_	_
2	dieser	diese	A	PDAT	_|Gen|_	3	det	164	164
3	Schalen	Schal	N	NN	_|Gen|_	1	gmod	164	164
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	wenigstens	wenigstens	A	ADV	_	7	adv	_	_
6	hundert	hundert	C	CARD	_	7	attr	_	_
7	Löwentaler	Löwentaler	N	NN	Masc|_|Pl	8	grad	_	_
8	wert	wert	A	ADJD	Pos|	4	pred	_	_
9	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Lameth	Lameth	N	NE	_|Nom|Sg	3	subj	24	24
3	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	181	181
6	Goldschmied	Goldschmied	N	NN	Masc|Nom|Sg	7	subj	181	181
7	treibe	treiben	V	VVFIN	3|Sg|Pres|Subj	3	s	_	_
8	seinen	seine	A	PPOSAT	Masc|_|Sg	9	det	181	181
9	Spott	Spott	N	NN	Masc|_|Sg	7	obja	_	_
10	mit	mit	P	APPR	Dat	7	pp	_	_
11	ihm	er	P	PPER	3|Sg|_|Dat	10	pn	181	181
12	und	und	K	KON	_	7	kon	_	_
13	fragte	fragen	V	VVFIN	_|Sg|Past|_	12	cj	_	_
14	:	\:	$	$.	_	0	root	_	_
15	"	"	$	$(	_	0	root	_	_
16	Ei	Ei	N	NN	Neut|_|Sg	0	root	_	_
17	nun	nun	A	ADV	_	16	adv	_	_
18	,	,	$	$,	_	0	root	_	_
19	wieviel	wieviel	P	PWS	_|Dat|_	20	objd	_	_
20	ist	sein	V	VAFIN	3|Sg|Pres|Ind	16	objc	_	_
21	denn	denn	A	ADV	_	20	adv	_	_
22	alsdann	alsdann	A	ADV	_	20	adv	_	_
23	dieser	diese	A	PDAT	Masc|Nom|Sg	24	det	178	178
24	Kessel	Kessel	N	NN	Masc|Nom|Sg	20	subj	178	178
25	wert	wert	A	ADJD	Pos|	20	pred	_	_
26	?	?	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	181	181
3	Goldschmied	Goldschmied	N	NN	Masc|Nom|Sg	4	subj	181	181
4	wog	wiegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	ihn	er	P	PPER	3|Sg|Masc|Acc	4	obja	178	178
6	mit	mit	P	APPR	Dat	4	pp	_	_
7	den	die	A	ART	Def|Fem|Dat|Pl	8	det	125	125
8	Händen	Hand	N	NN	Fem|Dat|Pl	6	pn	125	125
9	,	,	$	$,	_	0	root	_	_
10	untersuchte	untersuchen	V	VVFIN	_|Sg|Past|_	4	kon	_	_
11	ihn	er	P	PPER	3|Sg|Masc|Acc	10	obja	178	178
12	genau	genau	A	ADJD	Pos|	10	adv	_	_
13	und	und	K	KON	_	10	kon	_	_
14	sagte	sagen	V	VVFIN	_|Sg|Past|_	13	cj	_	_
15	endlich	endlich	A	ADJD	Pos|	14	adv	_	_
16	:	\:	$	$.	_	0	root	_	_
17	"	"	$	$(	_	0	root	_	_
18	Ich	ich	P	PPER	1|Sg|_|Nom	19	subj	24	24
19	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
20	dir	du	P	PRF	2|Sg|Dat	24	objd	_	_
21	fünfhundert	fünfhundert	C	CARD	_	22	attr	_	_
22	Löwentaler	Löwentaler	N	NN	Masc|_|Pl	24	obja	_	_
23	dafür	dafür	P	PROAV	_	24	pp	_	_
24	geben	geben	V	VVINF	_	19	aux	_	_
25	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Lameth	Lameth	N	NE	_|Nom|Sg	3	subj	24	24
3	wusste	wissen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	ob	ob	K	KOUS	_	12	konj	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	24	24
8	noch	noch	A	ADV	_	12	adv	_	_
9	in	in	P	APPR	Dat	12	objp	_	_
10	seiner	seine	A	PPOSAT	Fem|Dat|Sg	11	det	24	24
11	Haut	Haut	N	NN	Fem|Dat|Sg	9	pn	_	_
12	stecke	stecken	V	VVFIN	3|Sg|Pres|Subj	3	objc	_	_
13	,	,	$	$,	_	0	root	_	_
14	als	als	K	KOUS	_	20	konj	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	20	subj	24	24
16	von	von	P	APPR	_	20	pp	_	_
17	der	die	A	ART	Def|Fem|_|Sg	19	det	_	_
18	grossen	groß	A	ADJA	Pos|Fem|_|Sg|Wk|	19	attr	_	_
19	Summe	Summe	N	NN	Fem|_|Sg	16	pn	_	_
20	hörte	hören	V	VVFIN	3|Sg|Past|_	12	neb	_	_
21	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	183	183
2	Schmied	Schmied	N	NN	Masc|Nom|Sg	3	subj	183	183
3	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	183	183
6	sollte	sollen	V	VMFIN	3|Sg|Past|_	3	s	_	_
7	den	die	A	ART	Def|Masc|Acc|Sg	8	det	178	178
8	Kessel	Kessel	N	NN	Masc|Acc|Sg	14	obja	178	178
9	noch	noch	A	ADV	_	14	adv	_	_
10	einen	eine	A	ART	Indef|Masc|Acc|Sg	12	det	_	_
11	anderen	anderen	A	ADJA	_|Masc|Acc|Sg|_	12	attr	_	_
12	Goldschmied	Goldschmied	N	NN	Masc|Acc|Sg	13	obja	_	_
13	sehen	sehen	V	VVINF	_	14	obji	_	_
14	lassen	lassen	V	VVINF	_	6	aux	_	_
15	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	der	die	A	ART	Def|_|_|_	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	6	objd	183	183
4	mehr	mehr	A	ADV	_	6	adv	_	_
5	dafür	dafür	P	PROAV	_	6	pp	_	_
6	geben	geben	V	VVINF	_	7	aux	_	_
7	wollte	wollen	V	VMFIN	_|Sg|Past|_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	sei	sein	V	VAFIN	3|Sg|Pres|Subj	7	par	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	183	183
12	dann	dann	A	ADV	_	10	adv	_	_
13	auch	auch	A	ADV	_	10	adv	_	_
14	bereit	bereit	A	ADJD	Pos|	10	pred	_	_
15	,	,	$	$,	_	0	root	_	_
16	ihm	er	P	PPER	3|Sg|_|Dat	20	objd	183	183
17	so	so	A	ADV	_	18	adv	_	_
18	viel	viel	P	PIS	_	20	obja	_	_
19	zu	zu	P	PTKZU	_	20	part	_	_
20	geben	geben	V	VVINF	_	6	obji	_	_
21	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	mochte	mögen	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
3	Lameth	Lameth	N	NE	_|Nom|Sg	2	subj	24	24
4	keinen	keine	A	PIAT	Masc|Acc|Sg	5	det	_	_
5	Schritt	Schritt	N	NN	Masc|Acc|Sg	6	obja	_	_
6	weitergehen	weitergehen	V	VVINF	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	sondern	sondern	K	KON	_	2	kon	_	_
9	übergab	übergeben	V	VVFIN	_|Sg|Past|Ind	8	cj	_	_
10	ihm	er	P	PPER	3|Sg|_|Dat	9	objd	24	24
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	178	178
12	Kessel	Kessel	N	NN	Masc|Acc|Sg	9	obja	178	178
13	,	,	$	$,	_	0	root	_	_
14	stopfte	stopfen	V	VVFIN	_|Sg|Past|_	9	kon	_	_
15	die	die	A	ART	Def|Masc|_|Pl	17	det	_	_
16	fünfhundert	fünfhundert	C	CARD	_	17	attr	_	_
17	Löwentaler	Löwentaler	N	NN	Masc|_|Pl	14	obja	_	_
18	in	in	P	APPR	_	14	objp	_	_
19	seinen	seine	A	PPOSAT	Masc|_|Sg	20	det	178	178
20	Sack	Sack	N	NN	Masc|_|Sg	18	pn	_	_
21	,	,	$	$,	_	0	root	_	_
22	schwang	schwingen	V	VVFIN	_|Sg|Past|Ind	14	kon	_	_
23	ihn	er	P	PPER	3|Sg|Masc|Acc	22	obja	178	178
24	in	in	P	APPR	Dat	22	pp	_	_
25	aller	alle	A	PIDAT	Fem|Dat|Sg	26	det	_	_
26	Eile	Eile	N	NN	Fem|Dat|Sg	24	pn	_	_
27	auf	auf	P	APPR	Acc	22	pp	_	_
28	den	die	A	ART	Def|Masc|Acc|Sg	29	det	179	179
29	Kopf	Kopf	N	NN	Masc|Acc|Sg	27	pn	179	179
30	und	und	K	KON	_	22	kon	_	_
31	jagte	jagen	V	VVFIN	_|Sg|Past|_	30	cj	_	_
32	wie	wie	K	KOKOM	_	31	kom	_	_
33	ein	eine	A	ART	Indef|Neut|_|Sg	34	det	_	_
34	Windspiel	Windspiel	N	NN	Neut|_|Sg	32	cj	_	_
35	nach	nach	P	APPR	Dat	31	pp	_	_
36	Hause	Haus	N	NN	Neut|Dat|Sg	35	pn	138	138
37	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	6	konj	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	178	178
3	zu	zu	P	APPR	Dat	6	objp	_	_
4	seinem	seine	A	PPOSAT	Masc|Dat|Sg	5	det	178	178
5	Vater	Vater	N	NN	Masc|Dat|Sg	3	pn	_	_
6	kam	kommen	V	VVFIN	3|Sg|Past|Ind	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	178	178
10	vor	vor	P	PTKVZ	_	8	avz	_	_
