1	Schafft	schaffen	V	VVIMP	Pl	0	root	_	_
28	unterhaltet	unterhalten	V	VVFIN	2|Pl|Pres|_	0	root	_	_
29	und	und	K	KON	_	0	root	_	_
30	sie	sie	P	PPER	3|_|_|_	29	cj	760	760
31	Euch	ihr	P	PRF	2|Pl|_	35	obja	_	_
32	die	die	A	ART	Def|Masc|Nom|Pl	34	det	761	761
33	melancholischen	melancholisch	A	ADJA	Pos|Masc|Nom|Pl|Wk|	34	attr	761	761
34	Gedanken	Gedanke	N	NN	Masc|Nom|Pl	35	subj	761	761
35	vertreiben	vertreiben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
36	,	,	$	$,	_	0	root	_	_
37	oder	oder	K	KON	_	35	kon	_	_
38	Ihr	ihr	P	PPER	2|Pl|_|Nom	39	subj	758	758
39	müsst	müssen	V	VMFIN	2|Pl|Pres|Ind	37	cj	_	_
40	den	die	A	ART	Def|Masc|Acc|Sg	41	det	650	650
41	Magister	Magister	N	NN	Masc|Acc|Sg	45	obja	650	650
42	wieder	wieder	A	ADV	_	45	adv	_	_
43	zu	zu	P	APPR	Dat	45	pp	_	_
44	Euch	ihr	P	PPER	2|Pl|_|Dat	43	pn	_	_
45	rufen	rufen	V	VVINF	_	39	aux	_	_
46	,	,	$	$,	_	0	root	_	_
47	damit	damit	K	KOUS	_	51	konj	_	_
48	Ihr	ihre	A	PPOSAT	_|_|Sg	50	det	761	761
49	völligen	völlig	A	ADJA	Pos|_|_|_|_|	50	attr	_	_
50	Trost	Trost	N	NN	_|Nom|Sg	51	subj	_	_
51	bekommt	bekommen	V	VVFIN	3|Sg|Pres|Ind	39	neb	_	_
52	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	es	es	P	PPER	3|Sg|Neut|_	3	expl	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	ja	ja	A	ADV	_	3	adv	_	_
5	kein	keine	A	PIAT	Masc|Nom|Sg	6	det	762	762
6	Sünder	Sünder	N	NN	Masc|Nom|Sg	3	subj	762	762
7	so	so	A	ADV	_	8	adv	_	_
8	gross	groß	A	ADJD	Pos|	3	pred	_	_
9	,	,	$	$,	_	0	root	_	_
10	dass	dass	K	KOUS	_	27	konj	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	27	subj	762	762
12	nicht	nicht	P	PTKNEG	_	26	adv	_	_
13	durch	durch	P	APPR	Acc	26	pp	_	_
14	seinen	seine	A	PPOSAT	Masc|Acc|Sg	15	det	762	762
15	Widerruf	Widerruf	N	NN	Masc|Acc|Sg	13	pn	_	_
16	seine	seine	A	PPOSAT	Fem|Nom|Sg	18	det	762	762
17	herzliche	herzlich	A	ADJA	Pos|Fem|Nom|Sg|_|	18	attr	_	_
18	Reue	Reue	N	NN	Fem|Nom|Sg	26	pred	_	_
19	,	,	$	$,	_	0	root	_	_
20	Bekehrung	Bekehrung	N	NN	Fem|Nom|Sg	18	kon	763	763
21	und	und	K	KON	_	20	kon	_	_
22	Busse	Bus	N	NN	_|Nom|_	21	cj	_	_
23	zur	zu	P	APPRART	Dat	22	pp	_	_
24	Gnade	Gnade	N	NN	Fem|Dat|Sg	23	pn	323	323
25	Gottes	Gott	N	NN	Masc|Gen|Sg	18	gmod	57	57
26	kommen	kommen	V	VVINF	_	27	aux	_	_
27	kann	können	V	VMFIN	3|Sg|Pres|Ind	3	objc	_	_
28	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Faustus	Faustus	N	NE	Fem|Nom|Sg	3	subj	0	0
3	antwortete	antworten	V	VVFIN	3|Sg|Past|_	0	root	0	0
4	:	\:	$	$.	_	0	root	0	0
5	"	"	$	$(	_	0	root	0	0
6	Mein	meine	A	PPOSAT	Masc|Nom|Sg	8	det	764	764
7	lieber	lieb	A	ADJD	Comp|	8	adv	_	_
8	Christoph	Christoph	N	NE	Masc|Nom|Sg	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	schweige	schweigen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
11	nur	nur	A	ADV	_	10	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	764	764
14	bin	sein	V	VAFIN	1|Sg|Pres|Ind	10	kon	_	_
15	nicht	nicht	P	PTKNEG	_	14	adv	_	_
16	wert	wert	A	ADJD	Pos|	14	pred	_	_
17	,	,	$	$,	_	0	root	_	_
18	dass	dass	K	KOUS	_	26	konj	_	_
19	gute	gut	A	ADJA	Pos|_|Nom|Pl|St|	22	attr	_	_
20	und	und	K	KON	_	19	kon	_	_
21	ehrliche	ehrlich	A	ADJA	Pos|_|Nom|_|_|	20	cj	_	_
22	Leute	Leute	N	NN	_|Nom|Pl	26	subj	_	_
23	zu	zu	P	APPR	Dat	25	objp	_	_
24	mir	ich	P	PPER	1|Sg|_|Dat	23	pn	764	764
25	kommen	kommen	V	VVINF	_	26	aux	_	_
26	sollen	sollen	V	VMFIN	3|Pl|Pres|_	14	objc	_	_
27	,	,	$	$,	_	0	root	_	_
28	ich	ich	P	PPER	1|Sg|_|Nom	0	root	764	764
29	,	,	$	$,	_	0	root	_	_
30	der	die	P	PRELS	Fem|Dat|Sg	36	objd	_	_
31	ich	ich	P	PPER	1|Sg|_|Nom	36	subj	764	764
32	ein	eine	A	ART	Indef|Masc|Nom|Sg	33	det	_	_
33	Leibeigener	Leibeigene	N	NN	Masc|Nom|Sg	36	pred	_	_
34	des	die	A	ART	Def|Masc|Gen|Sg	35	det	24	24
35	Teufels	Teufel	N	NN	Masc|Gen|Sg	33	gmod	24	24
36	bin	sein	V	VAFIN	1|Sg|Pres|Ind	2	rel	_	_
37	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	764	764
4	auch	auch	A	ADV	_	12	adv	_	_
5	von	von	P	APPR	Dat	12	pp	_	_
6	keinem	keine	A	PIAT	Masc|Dat|Sg	7	det	_	_
7	Trost	Trost	N	NN	Masc|Dat|Sg	5	pn	_	_
8	aus	aus	P	APPR	Dat	12	pp	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	10	det	_	_
10	Schrift	Schrift	N	NN	Fem|Dat|Sg	8	pn	_	_
11	mehr	mehr	A	ADV	_	10	adv	_	_
12	hören	hören	V	VVINF	_	2	aux	_	_
13	noch	noch	A	ADV	_	12	adv	_	_
14	wissen	wissen	V	VVINF	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	zumal	zumal	K	KOUS	_	0	root	_	_
17	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
18	doch	doch	A	ADV	_	17	adv	_	_
19	vergebens	vergebens	A	ADV	_	17	adv	_	_
20	und	und	K	KON	_	0	root	_	_
21	verloren	verlieren	V	VVPP	_	22	aux	_	_
22	ist	sein	V	VAFIN	3|Sg|Pres|Ind	20	cj	_	_
23	,	,	$	$,	_	0	root	_	_
24	mich	ich	P	PRF	1|Sg|Acc	26	obja	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	bekehren	bekehren	V	VVINF	_	22	subjc	_	_
27	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	764	764
2	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	mein	meine	A	PPOSAT	Neut|_|Sg	4	det	764	764
4	Leben	Leben	N	NN	Neut|_|Sg	12	obja	_	_
5	vollends	vollends	A	ADV	_	12	adv	_	_
6	mit	mit	P	APPR	Dat	12	pp	_	_
7	Trauern	Trauer	N	NN	_|Dat|_	6	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	Seufzen	Seufzen	N	NN	Neut|Dat|Sg	7	kon	765	765
10	und	und	K	KON	_	9	kon	_	_
11	Wehklagen	Wehklage	N	NN	_|Dat|_	10	cj	_	_
12	zubringen	zubringen	V	VVINF	_	2	aux	_	_
13	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	_	_
2	Stundenglas	Stundenglas	N	NN	Neut|Nom|Sg	3	subj	_	_
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	6	obja	_	_
5	nunmehr	nunmehr	A	ADV	_	6	adv	_	_
6	gewendet	wenden	V	VVPP	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
9	war	sein	V	VAFIN	3|Sg|Past|Ind	3	kon	_	_
10	ausgelaufen	auslaufen	V	VVPP	_	9	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	2	det	46	46
2	Zeit	Zeit	N	NN	Fem|_|Sg	0	root	46	46
3	der	die	A	ART	Def|Masc|Nom|Sg	6	det	198	198
4	bestimmten	bestimmt	A	ADJA	Pos|_|_|_|_|	6	attr	198	198
5	vierundzwanzig	vierundzwanzig	C	CARD	_	6	attr	198	198
6	Jahre	Jahr	N	NN	Masc|Nom|Sg	14	subj	198	198
7	Doktor	Doktor	N	NN	Masc|Nom|Sg	6	app	198	198
8	Fausts	Fausts	N	NE	Neut|Nom|Sg	7	app	198	198
9	oder	oder	K	KON	_	8	kon	_	_
10	das	die	A	ART	Def|Neut|Nom|Sg	11	det	_	_
11	Ende	Ende	N	NN	Neut|Nom|Sg	9	cj	_	_
12	seiner	seine	A	PPOSAT	Fem|Gen|Sg	13	det	198	198
13	Verschreibung	Verschreibung	N	NN	Fem|Gen|Sg	11	gmod	_	_
14	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
15	da	da	A	ADV	_	14	adv	_	_
16	.	.	$	$.	_	0	root	_	_

1	Deswegen	Deswegen	P	PROAV	_	2	pp	_	_
2	erschien	erscheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	198	198
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	24	24
5	Teufel	Teufel	N	NN	Masc|Nom|Sg	2	subj	24	24
6	abermals	abermals	A	ADV	_	2	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	6	kon	_	_
9	zwar	zwar	A	ADV	_	8	cj	_	_
10	in	in	P	APPR	Dat	2	pp	_	_
11	eben	eben	A	ADV	_	13	adv	_	_
12	dieser	diese	A	PDAT	Fem|Dat|Sg	13	det	_	_
13	Gestalt	Gestalt	N	NN	Fem|Dat|Sg	10	pn	_	_
14	wie	wie	K	KOKOM	_	13	kom	_	_
15	damals	damals	A	ADV	_	14	cj	_	_
16	,	,	$	$,	_	0	root	_	_
17	als	als	K	KOUS	_	25	konj	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	25	subj	198	198
19	den	die	A	ART	Def|Masc|Acc|Sg	21	det	_	_
20	höllischen	höllisch	A	ADJA	Pos|Masc|Acc|Sg|_|	21	attr	_	_
21	Bund	Bund	N	NN	Masc|Acc|Sg	24	obja	_	_
22	mit	mit	P	APPR	Dat	24	pp	_	_
23	ihm	er	P	PPER	3|Sg|_|Dat	22	pn	24	24
24	geschlossen	geschlossen	V	VVPP	_	25	aux	_	_
25	hatte	haben	V	VAFIN	3|Sg|Past|Ind	2	neb	_	_
26	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	24	24
2	zeigte	zeigen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	Faust	Faust	N	NE	_|Nom|_	2	pred	32	32
4	seine	seine	A	PPOSAT	Fem|_|Sg	5	det	24	24
5	Handschrift	Handschrift	N	NN	Fem|_|Sg	2	obja	_	_
6	,	,	$	$,	_	0	root	_	_
7	darin	darin	P	PROAV	_	8	pp	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	0	root	24	24
9	ihm	er	P	PPER	3|Sg|_|Dat	0	root	24	24
10	mit	mit	P	APPR	Dat	15	pp	766	766
11	seinem	seine	A	PPOSAT	Neut|Dat|Sg	13	det	766	766
12	eigenen	eigen	A	ADJA	Pos|Neut|Dat|Sg|Wk|	13	attr	767	767
13	Blut	Blut	N	NN	Neut|Dat|Sg	10	pn	767	767
14	seinen	seine	A	PPOSAT	Masc|Acc|Sg	15	det	767	767
15	Leib	Leib	N	NN	Masc|Acc|Sg	19	obja	_	_
16	und	und	K	KON	_	15	kon	_	_
17	seine	seine	A	PPOSAT	Fem|Acc|Sg	18	det	767	767
18	Seele	Seele	N	NN	Fem|Acc|Sg	16	cj	_	_
19	verschrieben	verschreiben	V	VVPP	_	20	aux	_	_
20	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	mit	mit	P	APPR	Dat	19	pp	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	24	det	_	_
24	Ankündigung	Ankündigung	N	NN	Fem|Dat|Sg	22	pn	_	_
25	,	,	$	$,	_	0	root	_	_
26	dass	dass	K	KOUS	_	0	root	_	_
27	er	er	P	PPER	3|Sg|Masc|Nom	0	root	24	24
28	in	in	P	APPR	Dat	34	pp	_	_
29	folgender	folgend	A	ADJA	Pos|Fem|Dat|Sg|St|_	30	attr	_	_
30	Nacht	Nacht	N	NN	Fem|Dat|Sg	28	pn	_	_
31	sein	seine	A	PPOSAT	Neut|_|Sg	33	det	767	767
32	verschriebenes	verschrieben	A	ADJA	Pos|Neut|_|Sg|St|	33	attr	_	_
33	Unterpfand	Unterpfand	N	NN	Neut|_|Sg	34	obja	_	_
34	holen	holen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
35	und	und	K	KON	_	34	kon	_	_
36	ihn	er	P	PPER	3|Sg|Masc|Acc	37	obja	24	24
37	hinwegführen	hinwegführen	V	VVINF	_	38	aux	_	_
38	wollte	wollen	V	VMFIN	_|Sg|Past|_	35	cj	_	_
39	,	,	$	$,	_	0	root	_	_
40	worauf	worauf	P	PWAV	_	43	pp	_	_
41	er	er	P	PPER	3|Sg|Masc|Nom	44	subj	24	24
42	sich	sie	P	PRF	3|_|_	43	obja	_	_
43	vorbereiten	vorbereiten	V	VVINF	_	44	aux	_	_
44	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
45	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	verschwand	verschwinden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	24	24
4	Teufel	Teufel	N	NN	Masc|Nom|Sg	2	subj	24	24
5	wieder	wieder	A	ADV	_	2	adv	_	_
6	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	7	adv	_	_
2	dem	die	A	ART	Def|Masc|Dat|Sg	3	det	47	47
3	Doktor	Doktor	N	NN	Masc|Dat|Sg	7	objd	47	47
4	Faust	Faust	N	NE	_|Nom|Sg	8	subj	32	32
5	hierüber	hierüber	P	PROAV	_	7	pp	_	_
6	zumute	zumute	A	ADJD	_	7	pred	_	_
7	gewesen	sein	V	VAPP	_	8	aux	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	10	subjc	_	_
9	,	,	$	$,	_	0	root	_	_
10	lässt	lassen	V	VVFIN	_|Sg|Pres|Ind	0	root	_	_
11	sich	sie	P	PRF	3|_|_	13	obja	_	_
12	leicht	leicht	A	ADJD	Pos|	13	adv	_	_
13	denken	denken	V	VVINF	_	10	obji	_	_
14	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	das	die	A	ART	Def|Neut|Nom|Sg	4	det	_	_
4	Bereuen	Bereuen	N	NN	Neut|Nom|Sg	2	subj	_	_
5	,	,	$	$,	_	0	root	_	_
6	Zittern	Zittern	N	NN	Neut|Nom|Sg	4	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	Zagen	Zagen	N	NN	Neut|Dat|Sg	2	objd	768	768
9	und	und	K	KON	_	0	root	_	_
10	seines	seine	A	PPOSAT	_|Gen|Sg	11	det	768	768
11	Herzens	Herzen	N	NN	Fem|Gen|Sg	9	cj	_	_
12	Bangigkeit	Bangigkeit	N	NN	Fem|Gen|Sg	11	app	_	_
13	mit	mit	P	APPR	Dat	12	pp	_	_
14	aller	alle	A	PIDAT	Fem|Dat|Sg	15	det	_	_
15	Macht	Macht	N	NN	Fem|Dat|Sg	13	pn	_	_
16	über	über	P	APPR	Acc	15	pp	_	_
17	ihn	er	P	PPER	3|Sg|Masc|Acc	16	pn	32	32
18	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	5	5
2	wandte	wandte	V	VVFIN	3|Sg|_|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	hin	hin	P	PTKVZ	_	2	avz	_	_
5	und	und	K	KON	_	0	root	_	_
6	her	her	P	PTKVZ	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	klagte	klagen	V	VVFIN	_|Sg|Past|_	0	root	_	_
9	sich	sie	P	PRF	3|_|_	8	obja	_	_
10	wegen	wegen	P	APPR	Gen	8	pp	_	_
11	seines	seine	A	PPOSAT	Masc|Gen|Sg	15	det	5	5
12	abscheulichen	abscheulich	A	ADJA	Pos|Masc|Gen|Sg|_|	15	attr	_	_
13	und	und	K	KON	_	12	kon	_	_
14	greulichen	greulich	A	ADJA	Pos|_|Gen|_|_|	13	cj	_	_
15	Falls	Fall	N	NN	Masc|Gen|Sg	10	pn	_	_
16	ohne	ohne	P	APPR	Acc	8	pp	_	_
17	Unterlass	Unterlass	N	NN	Masc|Acc|Sg	16	pn	769	769
18	selbst	selbst	A	ADV	_	16	adv	_	_
19	an	an	P	PTKVZ	_	8	avz	_	_
20	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	769	769
2	weinte	weinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	zitterte	zittern	V	VVFIN	_|Sg|Past|_	2	kon	_	_
5	,	,	$	$,	_	0	root	_	_
6	schlug	schlagen	V	VVFIN	_|Sg|Past|Ind	4	kon	_	_
7	um	um	K	KOUI	_	0	root	_	_
8	sich	sie	P	PRF	3|_|_	0	root	_	_
9	und	und	K	KON	_	0	root	_	_
10	grämte	grämen	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	sich	sie	P	PRF	3|_|_	10	obja	_	_
12	die	die	A	ART	Def|Fem|_|Sg	14	det	678	678
13	ganze	ganz	A	ADJA	Pos|Fem|_|Sg|_|	14	attr	678	678
14	Nacht	Nacht	N	NN	Fem|_|Sg	10	zeit	678	678
15	hindurch	hindurch	P	PTKVZ	_	10	avz	_	_
16	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	5	pp	_	_
2	solchem	solche	A	PIDAT	Masc|Dat|Sg	4	det	_	_
3	erbärmlichen	erbärmlich	A	ADJA	Pos|Masc|Dat|Sg|Wk|	4	attr	_	_
4	Zustand	Zustand	N	NN	Masc|Dat|Sg	1	pn	_	_
5	erschien	erscheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	ihm	er	P	PPER	3|Sg|_|Dat	5	objd	769	769
7	sein	seine	A	PPOSAT	Masc|Nom|Sg	9	det	78	78
8	bisheriger	bisherig	A	ADJA	Pos|Masc|Nom|Sg|St|	9	attr	769)	769)
9	Hausgeist	Hausgeist	N	NN	Masc|Nom|Sg	5	subj	769)	769)
10	Mephistopheles	Mephistopheles	N	NE	Masc|Nom|Sg	9	app	78	78
11	um	um	P	APPR	_	5	pp	_	_
12	Mitternacht	Mitternacht	N	NN	Fem|_|Sg	11	pn	770	770
13	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	78	78
2	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	769	769
4	freundlich	freundlich	A	ADJD	Pos|	2	adv	_	_
5	zu	zu	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	tröstete	trösten	V	VVFIN	_|Sg|Past|_	2	kon	_	_
8	ihn	er	P	PPER	3|Sg|Masc|Acc	7	obja	769	769
9	und	und	K	KON	_	7	kon	_	_
10	sagte	sagen	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	:	\:	$	$.	_	0	root	_	_
12	"	"	$	$(	_	0	root	_	_
13	Mein	meine	A	PPOSAT	_|_|Sg	14	det	73	73
14	Fauste	Fauste	N	NN	_|_|Sg	0	root	73	73
15	,	,	$	$,	_	0	root	_	_
16	sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	_
17	doch	doch	A	ADV	_	16	adv	_	_
18	nicht	nicht	P	PTKNEG	_	16	adv	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	kleinmütig	kleinmütig	A	ADJD	Pos|	16	pred	_	_
21	,	,	$	$,	_	0	root	_	_
22	dass	dass	K	KOUS	_	27	konj	_	_
23	du	du	P	PPER	2|Sg|_|Nom	27	subj	771	771
24	von	von	P	APPR	_	26	pp	_	_
25	hinnen	hinnen	A	ADV	_	24	adv	_	_
26	fahren	fahren	V	VVINF	_	27	aux	_	_
27	musst	müssen	V	VMFIN	2|Sg|Pres|Ind	16	objc	_	_
28	.	.	$	$.	_	0	root	_	_

1	Bedenke	bedenken	V	VVFIN	_|Sg|Pres|_	11	neb	_	_
2	doch	doch	A	ADV	_	1	adv	_	_
3	,	,	$	$,	_	0	root	_	_
4	wenn	wenn	K	KOUS	_	9	konj	_	_
5	du	du	P	PPER	2|Sg|_|Nom	9	subj	771	771
6	auch	auch	A	ADV	_	9	adv	_	_
7	deinen	deine	A	PPOSAT	Masc|_|Sg	8	det	771	771
8	Leib	Leib	N	NN	Masc|_|Sg	9	obja	_	_
9	verlierst	verlieren	V	VVFIN	2|Sg|Pres|Ind	1	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	dauert	dauern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
12	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
13	doch	doch	A	ADV	_	11	adv	_	_
14	noch	noch	A	ADV	_	11	adv	_	_
15	lange	lange	A	ADJD	_	11	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	bis	bis	K	KOUS	_	23	konj	_	_
18	du	du	P	PPER	2|Sg|_|Nom	23	subj	771	771
19	vor	vor	P	APPR	_	22	pp	_	_
20	Gottes	Gott	N	NN	Masc|Gen|Sg	21	gmod	57	57
21	Gericht	Gericht	N	NN	Neut|_|Sg	19	pn	_	_
22	erscheinen	erscheinen	V	VVINF	_	23	aux	_	_
23	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	11	neb	_	_
24	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	771	771
2	musst	müssen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	ohnedies	ohnedies	A	ADV	_	8	adv	_	_
4	über	über	P	APPR	_	8	pp	_	_
5	kurz	kurz	A	ADJD	Pos|	4	pn	_	_
6	oder	oder	K	KON	_	5	kon	_	_
7	lang	lang	A	ADJD	Pos|	6	cj	_	_
8	sterben	sterben	V	VVINF	_	2	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	wenn	wenn	K	KOUS	_	16	konj	_	_
11	du	du	P	PPER	2|Sg|_|Nom	16	subj	771	771
12	auch	auch	A	ADV	_	16	adv	_	_
13	etliche	etliche	A	PIAT	Neut|_|Pl	15	det	_	_
14	hundert	hundert	C	CARD	_	15	attr	_	_
15	Jahre	Jahr	N	NN	Neut|_|Pl	16	zeit	_	_
16	lebtest	leben	V	VVFIN	2|Sg|Past|_	2	neb	_	_
17	,	,	$	$,	_	0	root	_	_
18	so	so	K	KOUS	_	21	konj	_	_
19	es	es	P	PPER	3|Sg|Neut|Nom	21	subj	_	_
20	möglich	möglich	A	ADJD	Pos|	21	pred	_	_
21	wäre	sein	V	VAFIN	3|Sg|Past|Subj	16	neb	_	_
22	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	8	konj	_	_
3	du	du	P	PPER	2|Sg|_|Nom	8	subj	771	771
4	schon	schon	A	ADV	_	8	adv	_	_
5	als	als	K	KOKOM	_	8	kom	_	_
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	_	_
7	Verdammter	Verdammte	N	NN	Masc|Nom|Sg	5	cj	_	_
8	stirbst	sterben	V	VVFIN	2|Sg|Pres|Ind	11	neb	_	_
9	,	,	$	$,	_	0	root	_	_
10	so	so	A	ADV	_	11	adv	_	_
