1	Komm	Komm	N	NE	_	0	root	137	137
12	hatte	haben	V	VAFIN	3|Sg|Past|Ind	6	objc	_	_
13	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	versicherte	versichern	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	11	konj	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
6	keiner	keine	A	PIAT	Fem|Dat|Sg	7	det	_	_
7	Ähre	Ähre	N	NN	Fem|Dat|Sg	10	objd	_	_
8	etwas	etwas	A	ADV	_	9	adv	_	_
9	zuleide	zuleide	A	ADV	_	10	adv	_	_
10	tun	tun	V	VVINF	_	11	aux	_	_
11	wollte	wollen	V	VMFIN	3|Sg|Past|_	2	objc	_	_
12	,	,	$	$,	_	0	root	_	_
13	nur	nur	A	ADV	_	16	adv	_	_
14	die	die	A	ART	Def|Fem|_|Pl	15	det	55	55
15	Beeren	Beere	N	NN	Fem|_|Pl	16	obja	55	55
16	nehmen	nehmen	V	VVINF	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	die	die	P	PRELS	_|Nom|Pl	26	subj	55	55
19	jetzt	jetzt	A	ADV	_	25	adv	_	_
20	von	von	P	APPR	Dat	25	pp	_	_
21	den	die	A	ART	Def|Masc|Dat|Pl	22	det	_	_
22	Würmern	Wurm	N	NN	Masc|Dat|Pl	20	pn	_	_
23	und	und	K	KON	_	22	kon	_	_
24	Schnecken	Schnecke	N	NN	Fem|Dat|Pl	23	cj	_	_
25	verdorben	verderben	V	VVPP	_	26	aux	_	_
26	würden	werden	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	11	kom	_	_
2	es	es	P	PPER	3|Sg|Neut|_	1	cj	_	_
3	zu	zu	P	APPR	Dat	2	pp	_	_
4	des	die	A	ART	Def|_|Gen|Sg	5	det	_	_
5	Bauern	Bauer	N	NN	Fem|Gen|Sg	3	pn	_	_
6	Drohung	Drohung	N	NN	Fem|Gen|Sg	5	app	_	_
7	von	von	P	APPR	Dat	6	pp	_	_
8	den	die	A	ART	Def|Neut|Dat|Pl	10	det	_	_
9	vier	vier	C	CARD	_	10	attr	_	_
10	Ohren	Ohr	N	NN	Neut|Dat|Pl	7	pn	_	_
11	kam	kommen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	mußte	müssen	V	VMFIN	_|Sg|Past|Ind	11	kon	_	_
14	es	es	P	PPER	3|Sg|Neut|_	17	obja	_	_
15	noch	noch	A	ADV	_	16	adv	_	_
16	einmal	einmal	A	ADV	_	17	adv	_	_
17	rufen	rufen	V	VVINF	_	13	aux	_	_
18	:	\:	$	$.	_	0	root	_	_
19	»	»	$	$(	_	0	root	_	_
20	Nicht	nicht	P	PTKNEG	_	21	adv	_	_
21	wahr	wahr	A	ADJD	Pos|	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	Großmutter	Großmutter	N	NN	Fem|_|Sg	0	root	90	90
24	,	,	$	$,	_	0	root	_	_
25	wenn	wenn	K	KOUS	_	33	konj	_	_
26	ihm	er	P	PPER	3|Sg|_|Dat	32	objd	140	140
27	zur	zu	P	APPRART	Dat	32	pp	_	_
28	Strafe	Strafe	N	NN	Fem|Dat|Sg	27	pn	139	139
29	jetzt	jetzt	A	ADV	_	27	adv	_	_
30	vier	vier	C	CARD	_	31	attr	_	_
31	Ohren	Ohr	N	NN	Neut|Nom|Pl	33	subj	_	_
32	anwachsen	anwachsen	V	VVINF	_	33	aux	_	_
33	würden	werden	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	das	die	P	PDS	Neut|_|Sg	38	obja	_	_
36	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
37	er	er	P	PPER	3|Sg|Masc|Nom	36	subj	140	140
38	verdient	verdienen	V	VVPP	_	36	aux	_	_
39	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	6	6
3	habe	haben	V	VAFIN	1|Sg|Pres|_	1	cj	_	_
4	ihm	er	P	PPER	3|Sg|_|Dat	7	objd	140	140
5	gar	gar	A	ADV	_	6	adv	_	_
6	nichts	nichts	P	PIS	_	7	obja	_	_
7	getan	tun	V	VVPP	_	3	aux	_	_
8	und	und	K	KON	_	7	kon	_	_
9	nie	nie	A	ADV	_	14	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	nie	nie	A	ADV	_	14	adv	_	_
12	ein	eine	A	ART	Indef|_|_|Sg	13	det	_	_
13	Korn	Korn	N	NN	_|_|Sg	14	obja	_	_
14	zerstampft	zerstampfen	V	VVPP	_	8	cj	_	_
15	!	!	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Trineli	Trineli	N	NE	_	0	root	97	97
3	«	«	$	$(	_	0	root	97	97
4	,	,	$	$,	_	0	root	97	97
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	2	par	97	97
6	jetzt	jetzt	A	ADV	_	5	adv	97	97
7	die	die	A	ART	Def|Fem|Nom|Sg	8	det	6	6
8	Großmutter	Großmutter	N	NN	Fem|Nom|Sg	5	subj	6	6
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	wir	wir	P	PPER	1|Pl|_|Nom	12	subj	142	142
12	wollen	wollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
13	dem	die	A	ART	Def|_|Dat|Sg	14	det	141	141
14	Bauer	Bauer	N	NN	_|Dat|Sg	18	objd	141	141
15	seine	seine	A	PPOSAT	Neut|_|Pl	17	det	141	141
16	zwei	zwei	C	CARD	_	17	attr	_	_
17	Ohren	Ohr	N	NN	Neut|_|Pl	18	obja	_	_
18	lassen	lassen	V	VVINF	_	12	aux	_	_
19	,	,	$	$,	_	0	root	_	_
20	aber	aber	K	KON	_	12	kon	_	_
21	wir	wir	P	PPER	1|Pl|_|Nom	22	subj	142	142
22	wollen	wollen	V	VMFIN	1|Pl|Pres|_	20	cj	_	_
23	etwas	etwas	P	PIS	_	0	root	_	_
24	von	von	P	APPR	Dat	23	pp	_	_
25	ihm	er	P	PPER	3|Sg|_|Dat	24	pn	15	15
26	profitieren	profitieren	V	VVINF	_	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	Siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	144	144
3	,	,	$	$,	_	0	root	_	_
4	man	man	P	PIS	_|Nom|Sg	5	subj	_	_
5	kann	können	V	VMFIN	3|Sg|Pres|Ind	1	kon	_	_
6	alles	alle	P	PIS	_|_|Sg	7	obja	_	_
7	brauchen	brauchen	V	VVINF	_	5	aux	_	_
8	und	und	K	KON	_	5	kon	_	_
9	seinen	seine	A	PPOSAT	Masc|_|Sg	10	det	15	15
10	Gewinn	Gewinn	N	NN	Masc|_|Sg	12	obja	_	_
11	davon	davon	P	PROAV	_	10	pp	_	_
12	haben	haben	V	VAFIN	_|Pl|Pres|_	8	cj	_	_
13	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	wäre	sein	V	VAFIN	_|Sg|Past|Subj	1	cj	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	ein	eine	A	ART	Indef|Neut|Nom|Sg	6	det	_	_
5	ungerechtes	ungerecht	A	ADJA	Pos|Neut|Nom|Sg|St|	6	attr	_	_
6	Wort	Wort	N	NN	Neut|Nom|Sg	2	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|_	19	expl	_	_
9	kommt	kommen	V	VVFIN	_|_|Pres|Ind	2	kon	_	_
10	nur	nur	A	ADV	_	9	adv	_	_
11	darauf	darauf	P	PROAV	_	9	objp	_	_
12	an	an	P	PTKVZ	_	9	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	von	von	P	APPR	Dat	19	pp	_	_
15	wem	wer	P	PWS	_|Dat|Sg	14	pn	_	_
16	wir	wir	P	PPER	1|Pl|_|Nom	19	subj	142	142
17	die	die	A	ART	Def|Neut|_|Pl	18	det	143	143
18	Worte	Wort	N	NN	Neut|_|Pl	19	obja	143	143
19	nehmen	nehmen	V	VVFIN	1|Pl|Pres|_	9	subjc	_	_
20	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	3	konj	_	_
2	einer	eine	P	PIS	Masc|Nom|Sg	3	subj	_	_
3	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	und	und	K	KON	_	3	kon	_	_
5	uns	wir	P	PPER	1|Pl|_|_	10	obja	142	142
6	ohne	ohne	P	APPR	Acc	10	pp	_	_
7	Grund	Grund	N	NN	Masc|Acc|Sg	6	pn	_	_
8	etwas	etwas	A	PIAT	Neut|Nom|Sg	9	det	_	_
9	Böses	Böses	N	NN	Neut|Nom|Sg	10	subj	_	_
10	tut	tun	V	VVFIN	3|Sg|Pres|Ind	4	cj	_	_
11	oder	oder	K	KON	_	10	kon	_	_
12	sagt	sagen	V	VVFIN	_|_|Pres|Ind	11	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	so	so	A	ADV	_	0	root	_	_
15	wie	wie	P	PWAV	_	0	root	_	_
16	dir	du	P	PPER	2|Sg|_|Dat	0	root	144	144
17	heute	heute	A	ADV	_	19	adv	_	_
18	der	die	A	ART	Def|_|_|_	19	det	_	_
19	Bauer	Bauer	N	NN	_|_|_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	und	und	K	KON	_	0	root	_	_
22	es	es	P	PPER	3|Sg|Neut|Nom	23	subj	_	_
23	tut	tun	V	VVFIN	3|Sg|Pres|Ind	21	cj	_	_
24	uns	wir	P	PPER	1|Pl|_|Dat	23	objd	142	142
25	recht	recht	A	ADJD	Pos|	23	adv	_	_
26	weh	weh	P	PTKVZ	_	23	avz	_	_
27	,	,	$	$,	_	0	root	_	_
28	dann	dann	A	ADV	_	29	adv	_	_
29	müssen	müssen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
30	wir	wir	P	PPER	1|Pl|_|Nom	29	subj	142	142
31	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
32	wenig	wenig	A	ADV	_	34	adv	_	_
33	weiter	weiter	A	ADV	_	34	adv	_	_
34	denken	denken	V	VVINF	_	0	root	_	_
35	und	und	K	KON	_	34	kon	_	_
36	fragen	fragen	V	VVINF	_	35	cj	_	_
37	:	\:	$	$.	_	0	root	_	_
38	›	›	F	FM	_	0	root	_	_
39	Haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
40	wir	wir	P	PPER	1|Pl|_|Nom	39	subj	142	142
41	nicht	nicht	P	PTKNEG	_	45	adv	_	_
42	doch	doch	A	ADV	_	45	adv	_	_
43	so	so	A	ADV	_	44	adv	_	_
44	etwas	etwas	P	PIS	_	45	obja	_	_
45	verdient	verdienen	V	VVPP	_	39	aux	_	_
46	?	?	$	$.	_	0	root	_	_
47	‹	‹	F	FM	_	0	root	_	_
48	Dann	dann	A	ADV	_	49	adv	_	_
49	kommt	kommen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
50	uns	wir	P	PPER	1|Pl|_|Dat	49	objd	142	142
51	auf	auf	P	APPR	_	50	pp	_	_
52	einmal	einmal	A	ADV	_	51	adv	_	_
53	in	in	P	APPR	Acc	49	objp	_	_
54	den	die	A	ART	Def|Masc|Acc|Sg	55	det	145	145
55	Sinn	Sinn	N	NN	Masc|Acc|Sg	53	pn	145	145
56	,	,	$	$,	_	0	root	145	145
57	daß	daß	K	KOUS	_	65	konj	145	145
58	wir	wir	P	PPER	1|Pl|_|Nom	65	subj	142	142
59	einmal	einmal	A	ADV	_	64	adv	_	_
60	einem	eine	A	ART	Indef|_|Dat|Sg	61	det	_	_
61	anderen	anderen	A	ADJA	_|Dat|Sg	64	objd	_	_
62	recht	recht	A	ADJD	Pos|	63	adv	_	_
63	weh	weh	A	ADJD	_	64	pred	_	_
64	getan	tun	V	VVPP	_	65	aux	_	_
65	haben	haben	V	VAFIN	1|Pl|Pres|_	49	subjc	_	_
66	,	,	$	$,	_	0	root	_	_
67	der	die	P	PRELS	Masc|Nom|Sg	70	subj	145	145
68	es	es	P	PPER	3|Sg|Neut|_	69	obja	_	_
69	leiden	leiden	V	VVINF	_	70	aux	_	_
70	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	55	rel	_	_
71	und	und	K	KON	_	70	kon	_	_
72	sich	sie	P	PRF	3|_|_	74	obja	_	_
73	nicht	nicht	P	PTKNEG	_	74	adv	_	_
74	wehren	wehren	V	VVINF	_	75	aux	_	_
75	konnte	können	V	VMFIN	_|Sg|Past|Ind	71	cj	_	_
76	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	haben	haben	V	VAFIN	1|Pl|Pres|_	1	cj	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	142	142
5	erfahren	erfahren	V	VVPP	_	3	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	10	adv	_	_
8	'	'	$	$(	_	0	root	_	_
9	s	s	P	PPER	_|_|_|Nom	10	subj	145	145
10	tut	tun	V	VVFIN	_|_|Pres|Ind	5	objc	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	10	kon	_	_
13	es	es	P	PPER	3|Sg|Neut|Nom	14	subj	_	_
14	wird	werden	V	VAFIN	3|Sg|Pres|Ind	12	cj	_	_
15	uns	wir	P	PPER	1|Pl|_|Dat	18	objd	142	142
16	leid	leid	A	ADJD	Pos|	18	pred	_	_
17	darum	darum	P	PROAV	_	18	pp	_	_
18	sein	sein	V	VAINF	_	14	aux	_	_
19	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	142	142
2	wollen	wollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	6	obja	_	_
4	nicht	nicht	P	PTKNEG	_	6	adv	_	_
5	mehr	mehr	A	ADV	_	4	adv	_	_
6	tun	tun	V	VVINF	_	2	aux	_	_
7	und	und	K	KON	_	6	kon	_	_
8	wieder	wieder	A	ADV	_	12	adv	_	_
9	bei	bei	P	APPR	Dat	12	pp	_	_
10	den	die	A	ART	Def|_|_|_	11	det	_	_
11	anderen	anderen	A	ADJA	_|_|_	9	pn	_	_
12	gutmachen	gutmachen	V	VVINF	_	7	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	wenn	wenn	K	KOUS	_	17	konj	_	_
15	wir	wir	P	PPER	1|Pl|_|Nom	17	subj	142	142
16	es	es	P	PPER	3|Sg|Neut|_	17	obja	_	_
17	können	können	V	VMFIN	1|Pl|Pres|_	2	neb	_	_
18	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	0	root	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	dann	dann	A	ADV	_	2	adv	_	_
4	genau	genau	A	ADJD	Pos|	2	pred	_	_
5	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	was	was	P	PRELS	Neut|_|Sg	14	obja	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	10	det	52	52
9	liebe	lieb	A	ADJA	Pos|Masc|Nom|Sg|Wk|	10	attr	52	52
10	Gott	Gott	N	NN	Masc|Nom|Sg	14	subj	52	52
11	mit	mit	P	APPR	Dat	14	pp	_	_
12	uns	wir	P	PPER	1|Pl|_|Dat	11	pn	142	142
13	gewollt	gewollt	A	ADJD	Pos|	14	adv	_	_
14	hat	haben	V	VAFIN	3|Sg|Pres|Ind	2	objc	_	_
15	,	,	$	$,	_	0	root	_	_
16	darum	darum	P	PROAV	_	17	pp	_	_
17	hat	haben	V	VAFIN	3|Sg|Pres|Ind	2	kon	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	52	52
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	_	_
20	Ungerechten	Ungerechte	N	NN	Masc|Acc|Sg	26	obja	_	_
21	so	so	A	ADV	_	22	adv	_	_
22	böse	bös	A	ADJA	Pos|Neut|Acc|Pl|St|	23	attr	_	_
23	Worte	Wort	N	NN	Neut|Acc|Pl	20	app	_	_
24	uns	wir	P	PPER	1|Pl|_|_	25	obja	142	142
25	sagen	sagen	V	VVINF	_	26	obji	_	_
26	lassen	lassen	V	VVINF	_	17	aux	_	_
27	.	.	$	$.	_	0	root	_	_

1	Siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	_	_
3	wohl	wohl	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	Trineli	Trineli	N	NE	_|Nom|Sg	2	app	_	_
6	?	?	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	können	können	V	VMFIN	1|Pl|Pres|_	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	142	142
4	aber	aber	A	ADV	_	2	adv	_	_
5	auch	auch	A	ADV	_	2	adv	_	_
6	nicht	nicht	P	PTKNEG	_	2	adv	_	_
7	mehr	mehr	A	ADV	_	6	adv	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	böse	böse	A	ADJD	Pos|	2	pred	_	_
10	gegen	gegen	P	APPR	Acc	0	root	_	_
11	den	die	A	ART	Def|_|_|_	0	root	_	_
12	sein	sein	V	VAINF	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	der	die	P	PRELS	Masc|Nom|Sg	17	subj	_	_
15	das	die	P	PDS	Neut|_|Sg	16	obja	_	_
16	getan	tun	V	VVPP	_	17	aux	_	_
17	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
18	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	3	koord	_	_
2	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	142	142
3	wissen	wissen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	7	det	52	52
6	liebe	lieb	A	ADJA	Pos|Masc|Nom|Sg|Wk|	7	attr	52	52
7	Gott	Gott	N	NN	Masc|Nom|Sg	0	root	52	52
8	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	ihn	er	P	PPER	3|Sg|Masc|Acc	10	obja	52	52
10	gebraucht	brauchen	V	VVPP	_	8	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	wie	wie	P	PWAV	_	16	adv	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	146	146
14	meinen	meine	A	PPOSAT	Masc|_|_	15	det	146	146
15	Besen	Besen	N	NN	Masc|_|_	16	obja	_	_
16	brauche	brauchen	V	VVFIN	1|Sg|Pres|_	8	subjc	_	_
17	,	,	$	$,	_	0	root	_	_
18	wenn	wenn	K	KOUS	_	27	konj	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	27	subj	146	146
20	die	die	A	ART	Def|Fem|_|Sg	21	det	147	147
21	Stube	Stube	N	NN	Fem|_|Sg	26	obja	147	147
22	schön	schön	A	ADJD	Pos|	23	adv	_	_
23	sauber	sauber	A	ADJD	Pos|	26	adv	_	_
24	und	und	K	KON	_	23	kon	_	_
25	rein	rein	A	ADJD	Pos|	24	cj	_	_
26	fegen	fegen	V	VVINF	_	27	aux	_	_
27	will	wollen	V	VMFIN	1|Sg|Pres|Ind	16	neb	_	_
28	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	macht	machen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	5	det	52	52
4	liebe	lieb	A	ADJA	Pos|Masc|Nom|Sg|Wk|	5	attr	52	52
5	Gott	Gott	N	NN	Masc|Nom|Sg	2	subj	52	52
6	uns	wir	P	PPER	1|Pl|_|Dat	2	objd	142	142
7	das	die	A	ART	Def|Neut|_|Sg	8	det	46	46
8	Herz	Herz	N	NN	Neut|_|Sg	2	obja	46	46
9	wieder	wieder	A	ADV	_	2	adv	_	_
10	sauber	sauber	A	ADJD	Pos|	2	pred	_	_
11	und	und	K	KON	_	10	kon	_	_
12	in	in	P	APPR	_	11	cj	_	_
13	Ordnung	Ordnung	N	NN	Fem|_|Sg	12	pn	223	223
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	2	kon	_	_
16	wir	wir	P	PPER	1|Pl|_|Nom	17	subj	142	142
17	haben	haben	V	VAFIN	1|Pl|Pres|_	15	cj	_	_
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	148	148
19	Gewinn	Gewinn	N	NN	Masc|Acc|Sg	17	obja	148	148
20	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	es	es	P	PPER	3|Sg|Neut|_	16	expl	_	_
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	uns	wir	P	PPER	1|Pl|_|Dat	3	objd	142	142
5	dann	dann	A	ADV	_	3	adv	_	_
6	wohl	wohl	A	ADV	_	3	adv	_	_
7	und	und	K	KON	_	6	kon	_	_
8	leicht	leicht	A	ADJD	Pos|	7	cj	_	_
9	,	,	$	$,	_	0	root	_	_
10	wie	wie	P	PWAV	_	15	adv	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	16	subj	_	_
12	uns	wir	P	PPER	1|Pl|_|Dat	15	objd	142	142
13	vorher	vorher	A	ADV	_	15	adv	_	_
14	nie	nie	A	ADV	_	15	adv	_	_
15	gewesen	sein	V	VAPP	_	16	aux	_	_
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	subjc	_	_
17	.	.	$	$.	_	0	root	_	_

1	Hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	149	149
3	gut	gut	A	ADJD	Pos|	4	adv	_	_
4	zugehört	zugehören	V	VVPP	_	1	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	Trineli	Trineli	N	NE	_	0	root	97	97
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	8	cj	_	_
10	du	du	P	PPER	2|Sg|_|Nom	9	subj	149	149
11	daran	daran	P	PROAV	_	12	objp	_	_
12	denken	denken	V	VVINF	_	9	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	was	was	P	PRELS	Neut|_|Sg	17	obja	97	97
15	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	146	146
16	dir	du	P	PPER	2|Sg|_|Dat	17	objd	149	149
17	gesagt	sagen	V	VVPP	_	18	aux	_	_
18	habe	haben	V	VAFIN	1|Sg|Pres|_	12	objc	_	_
19	?	?	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	150	150
2	Trineli	Trineli	N	NN	Neut|Nom|Sg	3	subj	150	150
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	wirklich	wirklich	A	ADJD	Pos|	6	adv	_	_
5	aufmerksam	aufmerksam	A	ADJD	Pos|	6	adv	_	_
6	zugehört	zugehören	V	VVPP	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	3	kon	_	_
9	über	über	P	APPR	Dat	14	pp	_	_
10	den	die	A	ART	Def|Neut|Dat|Pl	11	det	_	_
11	Worten	Wort	N	NN	Neut|Dat|Pl	9	pn	_	_
12	der	die	A	ART	Def|Fem|Gen|Sg	13	det	6	6
13	Großmutter	Großmutter	N	NN	Fem|Gen|Sg	11	gmod	6	6
14	war	sein	V	VAFIN	3|Sg|Past|Ind	8	cj	_	_
15	sein	seine	A	PPOSAT	Masc|Nom|Sg	16	det	150	150
16	Zorn	Zorn	N	NN	Masc|Nom|Sg	14	subj	165	165
17	gegen	gegen	P	APPR	Acc	16	pp	165	165
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	132	132
19	Bauern	Bauer	N	NN	Masc|Acc|Sg	17	pn	132	132
20	ganz	ganz	A	ADV	_	21	adv	_	_
21	vergangen	vergehen	V	VVPP	_	14	aux	_	_
22	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	132	132
4	seine	seine	A	PPOSAT	Fem|Nom|Pl	6	det	132	132
