1	Jawohl	Jawohl	N	NN	Neut|_|Sg	0	root	703	703
46	verursacht	verursachen	V	VVPP	_	47	aux	_	_
47	hatte	haben	V	VAFIN	3|Sg|Past|Ind	3	rel	_	_
48	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	391	391
2	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	schweigend	schweigen	A	ADJD	_|<PPRES	2	adv	_	_
5	zurück	zurück	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	2	kon	_	_
8	Klara	Klara	N	NN	Masc|Nom|Sg	11	subj	525	525
9	und	und	K	KON	_	8	kon	_	_
10	Heidi	Heidi	N	NE	Masc|Nom|Sg	9	cj	93	93
11	folgten	folgen	V	VVFIN	_|Pl|Past|_	7	cj	_	_
12	vergnügt	vergnügt	A	ADJD	Pos|	11	adv	_	_
13	nach	nach	P	PTKVZ	_	11	avz	_	_
14	,	,	$	$,	_	0	root	_	_
15	denn	denn	K	KON	_	11	kon	_	_
16	sie	sie	P	PPER	3|Pl|_|Nom	17	subj	705	705
17	wussten	wissen	V	VVFIN	3|Pl|Past|Ind	15	cj	_	_
18	ihre	ihre	A	PPOSAT	Neut|_|_	19	det	705	705
19	Kätzchen	Kätzchen	N	NN	Neut|_|_	17	obja	_	_
20	in	in	P	APPR	Dat	17	pp	_	_
21	einem	eine	A	ART	Indef|Neut|Dat|Sg	23	det	_	_
22	guten	gut	A	ADJA	Pos|Neut|Dat|Sg|Wk|	23	attr	_	_
23	Bett	Bett	N	NN	Neut|Dat|Sg	20	pn	_	_
24	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	11	kom	_	_
2	Sebastian	Sebastian	N	NE	Masc|_|Sg	1	cj	532	532
3	am	an	P	APPRART	Dat	11	pp	_	_
4	folgenden	folgend	A	ADJA	Pos|_|Dat|_|_|_	5	attr	_	_
5	Morgen	Morgen	N	NN	_|Dat|_	3	pn	_	_
6	dem	die	A	ART	Def|Masc|Dat|Sg	7	det	706	706
7	Herrn	Herrn	N	NN	Masc|Dat|Sg	11	objd	706	706
8	Kandidaten	Kandidat	N	NN	Masc|Dat|_	7	app	706	706
9	die	die	A	ART	Def|Fem|_|Sg	10	det	418	418
10	Haustür	Haustür	N	NN	Fem|_|Sg	11	obja	418	418
11	geöffnet	öffnen	V	VVPP	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	ihn	er	P	PPER	3|Sg|Masc|Acc	12	cj	706	706
14	zum	zu	P	APPRART	Dat	16	objp	_	_
15	Studierzimmer	Studierzimmer	N	NN	Neut|Dat|Sg	14	pn	568	568
16	geführt	führen	V	VVPP	_	17	aux	_	_
17	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	16	s	_	_
20	schon	schon	A	ADV	_	19	adv	_	_
21	wieder	wieder	A	ADV	_	19	adv	_	_
22	jemand	jemand	P	PIS	_|Nom|Sg	19	subj	_	_
23	die	die	A	ART	Def|Fem|_|Sg	24	det	_	_
24	Hausglocke	Hausglocke	N	NN	Fem|_|Sg	19	obja	_	_
25	an	an	P	PTKVZ	_	19	avz	_	_
26	,	,	$	$,	_	0	root	_	_
27	aber	aber	K	KON	_	0	root	_	_
28	mit	mit	P	APPR	Dat	27	cj	_	_
29	solcher	solche	A	PIDAT	Fem|Dat|Sg	30	det	_	_
30	Gewalt	Gewalt	N	NN	Fem|Dat|Sg	28	pn	_	_
31	,	,	$	$,	_	0	root	_	_
32	dass	dass	K	KOUS	_	37	konj	_	_
33	Sebastian	Sebastian	N	NE	Masc|Nom|Sg	37	subj	532	532
34	die	die	A	ART	Def|Fem|_|Sg	35	det	533	533
35	Treppe	Treppe	N	NN	Fem|_|Sg	37	obja	533	533
36	völlig	völlig	A	ADJD	Pos|	37	adv	_	_
37	hinunterschoss	hinunterschießen	V	VVFIN	3|Sg|Past|Ind	30	objc	_	_
38	,	,	$	$,	_	0	root	_	_
39	denn	denn	K	KON	_	37	kon	_	_
40	er	er	P	PPER	3|Sg|Masc|Nom	41	subj	532	532
41	dachte	denken	V	VVFIN	3|Sg|Past|Ind	39	cj	_	_
42	:	\:	$	$.	_	0	root	_	_
43	»	»	$	$(	_	0	root	_	_
44	So	so	A	ADV	_	45	adv	_	_
45	schellt	schellen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
46	nur	nur	A	ADV	_	45	adv	_	_
47	der	die	A	ART	Def|Masc|Nom|Sg	48	det	523	523
48	Herr	Herr	N	NN	Masc|Nom|Sg	45	subj	523	523
49	Sesemann	Sesemann	N	NE	_|Nom|Sg	48	app	523	523
50	selbst	selbst	A	ADV	_	49	adv	_	_
51	,	,	$	$,	_	0	root	_	_
52	er	er	P	PPER	3|Sg|Masc|Nom	53	subj	523	523
53	muss	müssen	V	VMFIN	3|Sg|Pres|Ind	45	kon	_	_
54	unerwartet	unerwartet	A	ADJD	Pos|	57	adv	_	_
55	nach	nach	P	APPR	Dat	57	pp	_	_
56	Hause	Haus	N	NN	Neut|Dat|Sg	55	pn	457	457
57	gekommen	kommen	V	VVPP	_	58	aux	_	_
58	sein	sein	V	VAINF	_	53	aux	_	_
59	.	.	$	$.	_	0	root	_	_
60	«	«	$	$(	_	0	root	_	_
61	Er	er	P	PPER	3|Sg|Masc|Nom	62	subj	523	523
62	riss	reißen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
63	die	die	A	ART	Def|Fem|_|Sg	64	det	12	12
64	Tür	Tür	N	NN	Fem|_|Sg	62	obja	12	12
65	auf	auf	P	PTKVZ	_	62	avz	_	_
66	-	-	$	$(	_	0	root	_	_
67	ein	eine	A	ART	Indef|_|Nom|Sg	69	det	_	_
68	zerlumpter	zerlumpter	A	ADJA	_|_|Nom|Sg|_	69	attr	_	_
69	Junge	Junge	N	NN	_|Nom|Sg	76	subj	_	_
70	mit	mit	P	APPR	Dat	69	pp	_	_
71	einer	eine	A	ART	Indef|Fem|Dat|Sg	72	det	_	_
72	Drehorgel	Drehorgel	N	NN	Fem|Dat|Sg	70	pn	_	_
73	auf	auf	P	APPR	Dat	72	pp	_	_
74	dem	die	A	ART	Def|_|Dat|Sg	75	det	502	502
75	Rücken	Rücken	N	NN	_|Dat|Sg	73	pn	502	502
76	stand	stehen	V	VVFIN	3|Sg|Past|Ind	62	kon	_	_
77	vor	vor	P	APPR	Dat	76	objp	_	_
78	ihm	er	P	PPER	3|Sg|_|Dat	77	pn	523	523
79	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|Nom|Sg	5	pred	_	_
3	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
5	heißen	heißen	V	VVINF	_	3	aux	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
10	ihn	er	P	PPER	3|Sg|Masc|Acc	9	obja	8	8
11	Sebastian	Sebastian	N	NE	Masc|Nom|Sg	9	subj	532	532
12	an	an	P	PTKVZ	_	9	avz	_	_
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	707	707
3	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
4	dich	du	P	PRF	2|Sg|Acc	5	obja	_	_
5	lehren	lehren	V	VVINF	_	3	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	Glocken	Glocke	N	NN	Fem|_|Pl	8	obja	_	_
8	herunterzureißen	herunterreißen	V	VVIZU	_	5	obji	_	_
9	!	!	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	6	obja	_	_
2	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	708	708
4	hier	hier	A	ADV	_	6	adv	_	_
5	zu	zu	P	PTKZU	_	6	part	_	_
6	tun	tun	V	VVINF	_	2	aux	_	_
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	707	707
3	muss	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
4	zur	zu	P	APPRART	Dat	3	pp	_	_
5	Klara	Klara	N	NN	Masc|_|Sg	4	pn	525	525
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	war	sein	V	VAFIN	_|Sg|Past|Ind	3	kon	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	270	270
10	Antwort	Antwort	N	NN	Fem|Nom|Sg	8	pred	270	270
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	0	root	708	708
3	ungewaschener	ungewaschen	A	ADJA	Pos|Masc|_|_|St|	4	attr	_	_
4	Straßenkäfer	Straßenkäfer	N	NN	Masc|_|_	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	0	root	708	708
6	;	;	$	$.	_	0	root	_	_
7	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
8	du	du	P	PPER	2|Sg|_|Nom	7	subj	708	708
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	sagen	sagen	V	VVINF	_	7	aux	_	_
11	›	›	A	ADJA	_|Neut|_|_|_	12	attr	525	525
12	Fräulein	Fräulein	N	NN	Neut|_|_	0	root	525	525
13	Klara	Klara	N	NE	Fem|_|Sg	12	app	525	525
14	‹	‹	F	FM	Fem|_|Sg	13	app	_	_
15	,	,	$	$,	_	0	root	_	_
16	wie	wie	P	PWAV	_	18	adv	_	_
17	unsereins	unsereins	P	PIS	Neut|Nom|Sg	18	subj	_	_
18	tut	tun	V	VVFIN	3|Sg|Pres|Ind	12	objc	_	_
19	?	?	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	8	obja	_	_
2	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	708	708
4	bei	bei	P	APPR	Dat	8	pp	_	_
5	Fräulein	Fräulein	N	NN	Neut|Dat|_	4	pn	735	735
6	Klara	Klara	N	NN	Masc|_|Sg	8	obja	525	525
7	zu	zu	P	PTKZU	_	8	part	_	_
8	tun	tun	V	VVINF	_	2	aux	_	_
9	?	?	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
13	Sebastian	Sebastian	N	NE	Masc|Nom|Sg	12	subj	532	532
14	barsch	barsch	A	ADJD	Pos|	12	adv	_	_
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	525	525
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	10	s	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	709	709
5	vierzig	vierzig	C	CARD	_	6	attr	_	_
6	Pfennige	Pfennig	N	NN	Masc|_|Pl	7	grad	_	_
7	schuldig	schuldig	A	ADJD	Pos|	3	pred	_	_
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	erklärte	erklären	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	644	644
12	Junge	Junge	N	NN	Masc|Nom|Sg	10	subj	644	644
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	710	710
3	bist	sein	V	VAFIN	2|Sg|Pres|Ind	5	s	_	_
4	,	,	$	$,	_	0	root	_	_
5	denk	denk	V	VVFIN	1|Sg|_|_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	709	709
7	,	,	$	$,	_	0	root	_	_
8	nicht	nicht	P	PTKNEG	_	10	adv	_	_
9	recht	recht	A	ADJD	Pos|	10	adv	_	_
10	im	in	P	APPRART	Dat	5	pp	_	_
11	Kopf	Kopf	N	NN	Masc|Dat|Sg	10	pn	529	529
12	!	!	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	weißt	weißen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	710	710
4	überhaupt	überhaupt	A	ADV	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	dass	dass	K	KOUS	_	11	konj	_	_
7	ein	eine	A	ART	Indef|Neut|Nom|Sg	8	det	525	525
8	Fräulein	Fräulein	N	NN	Neut|Nom|Sg	11	subj	525	525
9	Klara	Klara	N	NE	Fem|Nom|Sg	8	app	525	525
10	hier	hier	A	ADV	_	11	adv	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	objc	_	_
12	?	?	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Gestern	gestern	A	ADV	_	3	adv	_	_
3	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	709	709
5	ihr	ihr	P	PPER	2|Pl|_|Nom	8	pred	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	85	85
7	Weg	Weg	N	NN	Masc|Acc|Sg	8	obja	85	85
8	gezeigt	zeigen	V	VVPP	_	3	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	macht	machen	V	VVFIN	_|_|Pres|Ind	3	kon	_	_
11	zwanzig	zwanzig	C	CARD	_	10	obja	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	10	kon	_	_
14	dann	dann	A	ADV	_	19	adv	_	_
15	wieder	wieder	A	ADV	_	19	adv	_	_
16	zurück	zurück	A	ADV	_	19	adv	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	18	det	85	85
18	Weg	Weg	N	NN	Masc|Acc|Sg	19	obja	85	85
19	gezeigt	zeigen	V	VVPP	_	21	neb	_	_
20	,	,	$	$,	_	0	root	_	_
21	macht	machen	V	VVFIN	_|_|Pres|Ind	13	cj	_	_
22	vierzig	vierzig	C	CARD	_	21	obja	_	_
23	.	.	$	$.	_	0	root	_	_
24	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Da	da	A	ADV	_	3	adv	_	_
3	siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	3	subj	710	710
5	,	,	$	$,	_	0	root	_	_
6	was	was	P	PRELS	Neut|_|Sg	10	obja	_	_
7	für	für	P	APPR	Acc	10	pp	_	_
8	Zeug	Zeug	N	NN	Neut|Acc|Sg	7	pn	_	_
9	du	du	P	PPER	2|Sg|_|Nom	10	subj	710	710
10	zusammenflunkerst	zusammenflunkern	V	VVFIN	2|Sg|Pres|_	3	objc	_	_
11	;	;	$	$.	_	0	root	_	_
12	Fräulein	Fräulein	N	NN	Neut|Nom|Sg	14	subj	525	525
13	Klara	Klara	N	NE	Fem|Nom|Sg	12	app	525	525
14	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
15	niemals	niemals	A	ADV	_	14	adv	_	_
16	aus	aus	P	PTKVZ	_	14	avz	_	_
17	,	,	$	$,	_	0	root	_	_
18	kann	können	V	VMFIN	_|Sg|Pres|Ind	14	kon	_	_
19	gar	gar	A	ADV	_	20	adv	_	_
20	nicht	nicht	P	PTKNEG	_	21	adv	_	_
21	gehen	gehen	V	VVINF	_	18	aux	_	_
22	,	,	$	$,	_	0	root	_	_
23	mach	machen	V	VVIMP	Sg	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	dass	dass	K	KOUS	_	28	konj	_	_
26	du	du	P	PPER	2|Sg|_|Nom	28	subj	710	710
27	dahin	dahin	A	ADV	_	28	adv	_	_
28	kommst	kommen	V	VVFIN	2|Sg|Pres|Ind	23	objc	_	_
29	,	,	$	$,	_	0	root	_	_
30	wo	wo	P	PWAV	_	32	adv	_	_
31	du	du	P	PPER	2|Sg|_|Nom	32	subj	710	710
32	hingehörst	hingehören	V	VVFIN	2|Sg|Pres|Ind	28	rel	_	_
33	,	,	$	$,	_	0	root	_	_
34	bevor	bevor	K	KOUS	_	38	konj	_	_
35	ich	ich	P	PPER	1|Sg|_|Nom	38	subj	709	709
36	dir	du	P	PPER	2|Sg|_|Dat	38	objd	710	710
37	dazu	dazu	P	PROAV	_	38	objp	_	_
38	verhelfe	verhelfen	V	VVFIN	1|Sg|Pres|_	32	neb	_	_
39	!	!	$	$.	_	0	root	_	_
40	«	«	$	$(	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	644	644
3	Junge	Junge	N	NN	Masc|Nom|Sg	4	subj	644	644
4	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
5	sich	sie	P	PRF	3|_|_	7	obja	_	_
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	einschüchtern	einschüchtern	V	VVINF	_	4	obji	_	_
8	;	;	$	$.	_	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	8	8
10	blieb	bleiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
11	unbeweglich	unbeweglich	A	ADJD	Pos|	10	pred	_	_
12	stehen	stehen	V	VVINF	_	10	obji	_	_
13	und	und	K	KON	_	10	kon	_	_
14	sagte	sagen	V	VVFIN	_|Sg|Past|_	13	cj	_	_
15	trocken	trocken	A	ADJD	Pos|	14	adv	_	_
16	:	\:	$	$.	_	0	root	_	_
17	»	»	$	$(	_	0	root	_	_
18	Ich	ich	P	PPER	1|Sg|_|Nom	19	subj	709	709
19	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
20	sie	sie	P	PPER	3|_|_|_	22	obja	525	525
21	doch	doch	A	ADV	_	22	adv	_	_
22	gesehen	sehen	V	VVPP	_	19	aux	_	_
23	auf	auf	P	APPR	Dat	22	pp	_	_
24	der	die	A	ART	Def|Fem|Dat|Sg	25	det	711	711
25	Straße	Straß	N	NN	Fem|Dat|Sg	23	pn	711	711
26	,	,	$	$,	_	0	root	_	_
27	ich	ich	P	PPER	1|Sg|_|Nom	28	subj	709	709
28	kann	können	V	VMFIN	1|Sg|Pres|Ind	19	kon	_	_
29	sie	sie	P	PPER	3|_|_|_	30	obja	525	525
30	beschreiben	beschreiben	V	VVINF	_	28	aux	_	_
31	:	\:	$	$.	_	0	root	_	_
32	Sie	sie	P	PPER	3|Sg|Fem|Nom	33	subj	525	525
33	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
34	kurzes	kurz	A	ADJA	Pos|Neut|_|Sg|St|	33	obja	_	_
35	,	,	$	$,	_	0	root	_	_
36	krauses	krauses	N	NE	_|_|Sg	0	root	712	712
37	Haar	Haar	N	NE	_|_|Sg	36	app	712	712
38	,	,	$	$,	_	0	root	_	_
39	das	die	P	PDS	Neut|Nom|Sg	40	subj	_	_
40	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
41	schwarz	schwarz	A	ADJD	Pos|	40	pred	_	_
42	,	,	$	$,	_	0	root	_	_
43	und	und	K	KON	_	40	kon	_	_
44	die	die	A	ART	Def|Neut|Nom|Pl	45	det	103	103
45	Augen	Auge	N	NN	Neut|Nom|Pl	46	subj	103	103
46	sind	sein	V	VAFIN	3|Pl|Pres|Ind	43	cj	_	_
47	schwarz	schwarz	A	ADJD	Pos|	46	pred	_	_
48	und	und	K	KON	_	46	kon	_	_
49	der	die	A	ART	Def|Masc|Nom|Sg	50	det	713	713
50	Rock	Rock	N	NN	Masc|Nom|Sg	51	subj	713	713
51	ist	sein	V	VAFIN	3|Sg|Pres|Ind	48	cj	_	_
52	braun	braun	A	ADJD	Pos|	51	pred	_	_
53	,	,	$	$,	_	0	root	_	_
54	und	und	K	KON	_	51	kon	_	_
55	sie	sie	P	PPER	3|Sg|Fem|Nom	56	subj	525	525
56	kann	können	V	VMFIN	3|Sg|Pres|Ind	54	cj	_	_
57	nicht	nicht	P	PTKNEG	_	58	adv	_	_
58	reden	reden	V	VVINF	_	56	aux	_	_
59	wie	wie	K	KOKOM	_	58	kom	_	_
60	wir	wir	P	PPER	1|Pl|_|Nom	59	cj	_	_
61	.	.	$	$.	_	0	root	_	_
62	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Oho	Oho	N	NE	_	5	vok	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	dachte	denken	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	jetzt	jetzt	A	ADV	_	5	adv	_	_
7	Sebastian	Sebastian	N	NE	Masc|Nom|Sg	5	subj	532	532
8	und	und	K	KON	_	5	kon	_	_
9	kicherte	kichern	V	VVFIN	_|Sg|Past|_	8	cj	_	_
10	in	in	P	APPR	_	9	pp	_	_
11	sich	sie	P	PRF	3|_|_	10	pn	_	_
12	hinein	hinein	P	PTKVZ	_	9	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	das	die	P	PDS	Neut|Nom|Sg	16	subj	_	_
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
17	die	die	A	ART	Def|Fem|Nom|Sg	19	det	691	691
18	kleine	klein	A	ADJA	Pos|Fem|Nom|Sg|_|	19	attr	691	691
19	Mamsell	Mamsell	N	NN	Fem|Nom|Sg	16	pred	691	691
20	,	,	$	$,	_	0	root	_	_
21	die	die	P	PDS	Fem|Nom|Sg	22	subj	_	_
22	hat	haben	V	VAFIN	3|Sg|Pres|Ind	16	kon	_	_
23	wieder	wieder	A	ADV	_	25	adv	_	_
24	etwas	etwas	P	PIS	_	25	obja	_	_
25	angestellt	anstellen	V	VVPP	_	22	aux	_	_
26	.	.	$	$.	_	0	root	_	_
27	«	«	$	$(	_	0	root	_	_
28	Dann	dann	A	ADV	_	29	adv	_	_
