1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	verließ	verlassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	969	969
4	mit	mit	P	APPR	Dat	2	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	159	159
6	Mutter	Mutter	N	NN	Fem|Dat|Sg	4	pn	159	159
7	die	die	A	ART	Def|Fem|_|Sg	8	det	1033	1033
8	Werkstatt	Werkstatt	N	NN	Fem|_|Sg	2	obja	1033	1033
9	.	.	$	$.	_	0	root	_	_

1	Hallberger	Hallberger	N	NN	_|Nom|Sg	2	subj	1046	1046
2	räusperte	räuspern	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	etliche	etliche	A	PIAT	Neut|_|Pl	5	det	_	_
5	Male	Mal	N	NN	Neut|_|Pl	2	zeit	_	_
6	,	,	$	$,	_	0	root	_	_
7	denn	denn	K	KON	_	2	kon	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	1047	1047
9	Kehlkopf	Kehlkopf	N	NN	Masc|Nom|Sg	10	subj	1047	1047
10	war	sein	V	VAFIN	3|Sg|Past|Ind	7	cj	_	_
11	ihm	er	P	PPER	3|Sg|_|Dat	13	objd	1047	1047
12	trocken	trocken	A	ADJD	Pos|	13	pred	_	_
13	geworden	werden	V	VAPP	_	10	aux	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	10	kon	_	_
16	schaffte	schaffen	V	VVFIN	_|Sg|Past|_	15	cj	_	_
17	dem	die	A	ART	Def|_|Dat|Sg	18	det	_	_
18	Xaver	Xaver	N	NE	_|Dat|Sg	16	objd	_	_
19	allerhand	allerhand	N	NE	_|Dat|Sg	18	app	_	_
20	an	an	P	PTKVZ	_	16	avz	_	_
21	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1046	1046
4	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	1048	1048
2	Lehrbub	Lehrbub	N	NN	Masc|Nom|Sg	3	subj	1048	1048
3	schaute	schauen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	ihm	er	P	PPER	3|Sg|_|Dat	3	objd	2	2
5	nach	nach	P	PTKVZ	_	3	avz	_	_
6	und	und	K	KON	_	3	kon	_	_
7	wollte	wollen	V	VMFIN	_|Sg|Past|_	6	cj	_	_
8	ein	eine	A	ART	Indef|Neut|_|Sg	9	det	_	_
9	Gespräch	Gespräch	N	NN	Neut|_|Sg	10	obja	_	_
10	haben	haben	V	VAINF	_	7	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ah	Ah	N	NN	_|_|Sg	0	root	_	_
3	Herrschaft	Herrschaft	N	NN	_|_|Sg	2	app	_	_
4	!	!	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	is	is	F	FM	_	0	root	_	_
3	denn	denn	F	FM	_	2	app	_	_
4	dös	dös	F	FM	_	3	app	_	_
5	für	für	P	APPR	Acc	4	pp	_	_
6	oane	oane	A	ADJA	_	7	attr	_	_
7	g	g	N	NN	_|Acc|_	5	pn	_	_
8	'	'	$	$(	_	0	root	_	_
9	wen	wer	P	PWS	_|Acc|Sg	0	root	_	_
10	?	?	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_
12	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	2	2
14	und	und	K	KON	_	12	kon	_	_
15	verzog	verziehen	V	VVFIN	_|Sg|Past|Ind	14	cj	_	_
16	das	die	A	ART	Def|Neut|_|Sg	18	det	_	_
17	verrußte	verrußt	A	ADJA	Pos|Neut|_|Sg|Wk|	18	attr	_	_
18	Gesicht	Gesicht	N	NN	Neut|_|Sg	15	obja	_	_
19	zum	zu	P	APPRART	Dat	15	pp	_	_
20	Lachen	Lache	N	NN	_|Dat|_	19	pn	_	_
21	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	Xaver	Xaver	N	NE	Masc|Nom|Sg	3	subj	1049	1049
3	litt	leiden	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	keine	keine	A	PIAT	Fem|_|Sg	5	det	_	_
5	Vertraulichkeit	Vertraulichkeit	N	NN	Fem|_|Sg	3	obja	_	_
6	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dös	Dös	N	NE	_|Nom|Sg	3	subj	71	71
3	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	9	s	_	_
4	di	di	N	NE	_|Dat|_	3	objd	400	400
5	wenig	wenig	A	ADV	_	6	adv	_	_
6	o	o	A	ADJD	_	3	adv	_	_
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	2	2
11	barsch	barsch	A	ADJD	Pos|	9	adv	_	_
12	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Tua	Tua	N	NE	_	0	root	1667	1667
3	dei	dei	N	NE	_	2	app	1667	1667
4	Arwat	Arwat	N	NE	_	3	app	1667	1667
5	,	,	$	$,	_	0	root	_	_
6	Saubua	Saubua	N	NE	_	0	root	_	_
7	nixiger	nixig	A	ADJD	Comp|	0	root	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	während	während	K	KOUS	_	7	konj	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	2	2
4	in	in	P	APPR	Dat	7	pp	_	_
5	einer	eine	A	ART	Indef|Fem|Dat|Sg	6	det	2027	2027
6	Kiste	Kiste	N	NN	Fem|Dat|Sg	4	pn	2027	2027
7	herumkramte	herumkramen	V	VVFIN	3|Sg|Past|_	17	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	um	um	K	KOUI	_	15	konj	_	_
10	sich	sie	P	PRF	3|_|Dat	15	objd	_	_
11	eine	eine	A	ART	Indef|Fem|_|Sg	13	det	_	_
12	passende	passend	A	ADJA	Pos|Fem|_|Sg|_|_	13	attr	_	_
13	Schraubenmutter	Schraubenmutter	N	NN	Fem|_|Sg	15	obja	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	suchen	suchen	V	VVINF	_	7	neb	_	_
16	,	,	$	$,	_	0	root	_	_
17	brummte	brummen	V	VVFIN	3|Sg|Past|_	1	cj	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	2	2
19	vor	vor	P	APPR	_	17	pp	_	_
20	sich	sie	P	PRF	3|_|_	19	pn	_	_
21	hin	hin	A	APZR	_	19	part	_	_
22	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dös	Dös	N	NE	_	9	obja	71	71
3	waar	waar	F	FM	_	2	app	71	71
4	amal	amal	F	FM	_	3	app	71	71
5	des	die	A	ART	Def|_|Gen|Sg	7	det	2001	2001
6	richtige	richtig	A	ADJA	Pos|_|_|_|_|	7	attr	2001	2001
7	G	G	N	NN	_|Gen|Sg	4	gmod	71	71
8	'	'	$	$(	_	0	root	_	_
9	schoß	schoß	V	VVFIN	_	0	root	_	_
10	...	...	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	*	*	F	FM	_	0	root	_	_
2	*	*	F	FM	_	1	app	_	_
3	*	*	F	FM	_	2	app	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	3	det	1050	1050
3	Wohnstube	Wohnstube	N	NN	Fem|Dat|Sg	1	pn	1050	1050
4	traf	treffen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	Hallberger	Hallberger	N	NN	_|Nom|Sg	4	subj	1046	1046
6	nur	nur	A	ADV	_	4	adv	_	_
7	die	die	A	ART	Def|_|_|_	8	det	1051	1051
8	Alte	Alt	N	NN	_|_|_	4	obja	1051	1051
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wos	Wos	F	FM	_	0	root	_	_
3	is	is	F	FM	_	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	n	n	F	FM	_	3	app	_	_
6	de	de	F	FM	_	5	app	_	_
7	ander	ander	F	FM	_	6	app	_	_
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	2	2
12	barsch	barsch	A	ADJD	Pos|	10	adv	_	_
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	In	in	P	APPR	_	0	root	_	_
3	ihran	ihran	A	ADJA	_	4	attr	1052	1052
4	Zimma	Zimma	N	NN	_|_|_	2	pn	1052	1052
5	halt	halt	A	ADV	_	4	adv	1052	1052
6	;	;	$	$.	_	0	root	_	_
7	sie	sie	P	PPER	_|_|_	0	root	1052	1052
8	werd	werd	F	FM	_	7	app	_	_
9	si	si	F	FM	_	8	app	_	_
10	umzieahgn	umzieahgn	F	FM	_	9	app	_	_
11	.	.	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	0	root	_	_
3	?	?	$	$.	_	0	root	_	_

1	In	in	P	APPR	Acc	0	root	_	_
2	ihr	ihre	A	PPOSAT	Neut|Acc|Sg	4	det	18	18
3	'	'	$	$(	_	0	root	_	_
4	n	n	N	NN	Neut|Acc|Sg	1	pn	_	_
5	Zimma	Zimma	N	NE	Neut|Acc|Sg	4	app	_	_
6	?	?	$	$.	_	0	root	_	_

1	Hängt	hängen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
2	a	a	F	FM	Masc|Nom|Sg	1	subj	_	_
3	Spiegel	Spiegel	N	NN	Masc|Nom|_	2	app	_	_
4	drin	drin	A	ADV	_	1	adv	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	_	_
3	fragst	fragen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
4	aba	aba	A	ADJA	_	5	attr	_	_
5	g	g	N	NN	_	3	obja	_	_
6	'	'	$	$(	_	0	root	_	_
7	spassi	spassi	F	FM	_	5	app	_	_
8	...	...	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	I	I	F	FM	_	0	root	_	_
3	moan	moan	F	FM	_	2	app	_	_
4	g	g	F	FM	_	3	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	rad	rad	N	NE	_	4	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	0	root	_	_
9	sie	sie	P	PPER	_|_|_	0	root	18	18
10	si	si	F	FM	_	9	app	_	_
11	neischaug	neischaug	F	FM	_	10	app	_	_
12	'	'	$	$(	_	0	root	_	_
13	n	n	N	NN	_	11	app	_	_
14	ko	ko	P	PTKVZ	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	vielleicht	vielleicht	A	ADV	_	17	adv	_	_
17	a	a	C	CARD	_	15	cj	_	_
18	Bild	Bild	N	NN	Neut|_|Sg	0	root	_	_
19	damit	damit	P	PROAV	_	20	pp	_	_
20	vagleicht	vagleicht	A	ADJD	Pos|	21	adv	_	_
21	von	von	P	APPR	_	18	pp	_	_
22	da	da	A	ADV	_	23	adv	_	_
23	Kinderzeit	Kinderzeit	N	NN	Fem|_|Sg	21	pn	_	_
24	...	...	$	$.	_	0	root	_	_
25	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Geh	Geh	N	NE	_	0	root	686	686
3	!	!	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	2	obja	_	_
2	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	denn	denn	A	ADV	_	2	adv	_	_
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	M-hm	M-hm	N	NE	_	0	root	798	798
3	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	_	_
2	siechst	siechen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	freili	freili	F	FM	_	2	obja	_	_
4	nix	nix	F	FM	_	3	app	_	_
5	...	...	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|Nom|Sg	3	subj	_	_
3	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	i	i	A	ADJD	_	3	adv	_	_
5	denn	denn	A	ADV	_	3	adv	_	_
6	sehg	sehg	C	CARD	_	8	attr	_	_
7	'	'	$	$(	_	0	root	_	_
8	n	n	N	NN	_|_|Pl	3	obja	_	_
9	?	?	$	$.	_	0	root	_	_

1	Daß	daß	K	KOUS	_	0	root	_	_
2	s	s	P	PPER	_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	a	a	F	FM	_	2	app	_	_
5	saubers	saubers	F	FM	_	4	app	_	_
6	Madel	Madel	F	FM	_	5	app	_	_
7	wor	wor	F	FM	_	6	app	_	_
8	'	'	$	$(	_	0	root	_	_
9	n	n	F	FM	_	0	root	_	_
10	is	is	F	FM	_	9	app	_	_
11	?	?	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sauber	sauber	A	ADJD	Pos|	0	root	_	_
3	?	?	$	$.	_	0	root	_	_

1	De	De	N	NE	_	2	obja	767	767
2	kimmt	kimmt	V	VVFIN	_	0	root	_	_
3	dir	du	P	PPER	2|Sg|_|Dat	2	objd	_	_
4	sauber	sauber	A	ADJD	Pos|	2	adv	_	_
5	vor	vor	P	PTKVZ	_	2	avz	_	_
6	?	?	$	$.	_	0	root	_	_

1	Wia	Wia	F	FM	_|Nom|Sg	10	subj	_	_
2	s	s	F	FM	_|Nom|Sg	1	app	_	_
3	'	'	$	$(	_	0	root	_	_
4	in	in	P	APPR	Dat	2	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	_	_
6	Werkstatt	Werkstatt	N	NN	Fem|Dat|Sg	4	pn	_	_
7	drin	drin	A	ADV	_	6	adv	_	_
8	g	g	N	NN	Fem|Dat|Sg	6	app	_	_
9	'	'	$	$(	_	0	root	_	_
10	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
11	'	'	$	$(	_	0	root	_	_
12	n	n	F	FM	_|Dat|_	10	objd	_	_
13	is	is	F	FM	_|Dat|_	12	app	_	_
14	,	,	$	$,	_	0	root	_	_
15	war	sein	V	VAFIN	_|Sg|Past|Ind	10	s	_	_
16	'	'	$	$(	_	0	root	_	_
17	s	s	P	PPER	_|Sg|_|Nom	15	subj	2	2
18	net	net	A	ADV	_	15	adv	_	_
19	anderst	anderst	N	NE	_|Nom|_	15	pred	1053	1053
20	,	,	$	$,	_	0	root	_	_
21	als	als	K	KOKOM	_	0	root	_	_
22	wenn	wenn	K	KOUS	_	0	root	_	_
23	s	s	P	PPER	_	0	root	1053	1053
24	'	'	$	$(	_	0	root	_	_
25	aus	aus	A	APZR	_	0	root	_	_
26	an	an	P	APPR	_	32	pp	_	_
27	Zigeunawag	Zigeunawag	N	NN	_|_|_	26	pn	_	_
28	'	'	$	$(	_	0	root	_	_
29	n	n	F	FM	_|_|_	27	app	_	_
30	rausg	rausg	F	FM	_|_|_	29	app	_	_
31	'	'	$	$(	_	0	root	_	_
32	stieg	steigen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
33	'	'	$	$(	_	0	root	_	_
34	n	n	F	FM	_|Nom|Sg	32	subj	_	_
35	waar	waar	F	FM	_|Nom|Sg	34	app	_	_
36	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	herg	herg	C	CARD	_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	laff	laff	A	ADJD	Pos|	6	adv	_	_
5	'	'	$	$(	_	0	root	_	_
6	n	n	N	NN	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	so	so	A	ADV	_	0	root	_	_
9	...	...	$	$.	_	0	root	_	_
10	ah	ah	F	FM	_	0	root	_	_
11	!	!	$	$.	_	0	root	_	_

1	I	I	F	FM	_	0	root	_	_
2	hab	hab	F	FM	_	1	app	_	_
3	'	'	$	$(	_	0	root	_	_
4	gmoant	gmoant	N	NE	_	2	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	i	i	F	FM	_	4	app	_	_
7	muaß	muaß	F	FM	_	6	app	_	_
8	mi	mi	F	FM	_	7	app	_	_
9	vaschliaff	vaschliaff	F	FM	_	8	app	_	_
10	'	'	$	$(	_	0	root	_	_
11	n	n	N	NN	_	9	app	_	_
12	...	...	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jetzt	jetzt	A	ADV	_	3	adv	_	_
3	du	du	P	PPER	2|Sg|_|Nom	0	root	1054	1054
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Is	Is	F	FM	_	0	root	_	_
3	anderst	anderst	F	FM	_	2	app	_	_
4	?	?	$	$.	_	0	root	_	_

1	freili	freili	A	ADJD	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	4	subj	1054	1054
4	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
5	koane	koane	F	FM	_	4	obja	_	_
6	Aug	Aug	F	FM	_	5	app	_	_
7	'	'	$	$(	_	0	root	_	_
8	n	n	N	NN	_	6	app	_	_
9	für	für	P	APPR	Acc	8	pp	_	_
10	dös	dös	N	NE	_|Acc|_	9	pn	108	108
11	!	!	$	$.	_	0	root	_	_

1	Sunst	Sunst	F	FM	_	0	root	_	_
2	waar	waar	F	FM	_	1	app	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_	0	root	108	108
5	net	net	A	ADV	_	6	adv	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	weit	weit	A	ADJD	Pos|	0	root	_	_
8	kemma	kemma	F	FM	_	0	root	_	_
9	...	...	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	is	is	F	FM	_	0	root	_	_
4	kemma	kemma	F	FM	_	3	app	_	_
5	?	?	$	$.	_	0	root	_	_

1	Is	Is	N	NE	_	2	obja	396	396
2	dös	dös	V	VVFIN	_	0	root	_	_
3	an	an	P	APPR	_	2	pp	_	_
4	Unglück	Unglück	N	NN	Neut|_|Sg	3	pn	1689	1689
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	0	root	_	_
7	s	s	P	PPER	_	0	root	396	396
8	'	'	$	$(	_	0	root	_	_
9	a	a	F	FM	_	0	root	_	_
10	Künstlerin	Künstlerin	F	FM	_	9	app	_	_
11	worn	worn	F	FM	_	10	app	_	_
12	is	is	F	FM	_	11	app	_	_
13	?	?	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	hast	haben	V	VAFIN	2|Sg|Pres|Ind	1	cj	_	_
3	as	as	N	NN	_	2	obja	_	_
4	net	net	A	ADV	_	3	adv	_	_
5	selber	selber	A	ADV	_	7	adv	_	_
6	scho	scho	A	ADJA	_	7	attr	_	_
7	g	g	N	NN	_	3	app	_	_
8	'	'	$	$(	_	0	root	_	_
9	les	les	F	FM	_	7	app	_	_
10	'	'	$	$(	_	0	root	_	_
11	n	n	N	NN	_	9	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	wia	wia	F	FM	_|Nom|Sg	18	subj	_	_
14	s	s	F	FM	_|Nom|Sg	13	app	_	_
15	'	'	$	$(	_	0	root	_	_
16	g	g	N	NN	_|Nom|Sg	14	app	_	_
17	'	'	$	$(	_	0	root	_	_
18	lobt	loben	V	VVFIN	3|Sg|Pres|Ind	2	kon	_	_
19	werd	werd	F	FM	_	18	obja	_	_
20	in	in	P	APPR	_	18	pp	_	_
21	de	de	N	NE	_|_|_	20	pn	_	_
22	Zeitunga	Zeitunga	N	NE	_|_|_	21	app	_	_
23	?	?	$	$.	_	0	root	_	_
24	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Laß	Laß	N	NE	_	0	root	503	503
3	mi	mi	N	NE	_	2	app	503	503
4	mit	mit	P	APPR	Dat	0	root	_	_
5	dem	die	A	ART	Def|_|Dat|Sg	0	root	_	_
6	in	in	P	APPR	_	0	root	_	_
7	Ruah	Ruah	N	NE	_|_|_	6	pn	474	474
8	!	!	$	$.	_	0	root	_	_

1	Gel	Gel	N	NN	Neut|_|Sg	0	root	1561	1561
2	?	?	$	$.	_	0	root	_	_

1	I	I	F	FM	_	0	root	_	_
2	hab	hab	F	FM	_	1	app	_	_
3	'	'	$	$(	_	0	root	_	_
4	Aug	Aug	N	NE	_	2	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	n	n	N	NN	_	4	app	_	_
7	im	in	P	APPRART	Dat	6	pp	_	_
8	Kopf	Kopf	N	NN	Masc|Dat|Sg	7	pn	1055	1055
9	und	und	K	KON	_	8	kon	_	_
10	i	i	F	FM	Masc|Dat|Sg	9	cj	_	_
11	woaß	woaß	F	FM	Masc|Dat|Sg	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
14	i	i	A	ADJD	_	15	adv	_	_
15	siech	siech	A	ADJD	Pos|	0	root	_	_
16	...	...	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	Du	F	FM	_	0	root	_	_
3	werst	werst	F	FM	_	2	app	_	_
4	as	as	F	FM	_	3	app	_	_
5	kaam	kaam	F	FM	_	4	app	_	_
6	bessa	bessa	F	FM	_	5	app	_	_
7	vasteh	vasteh	F	FM	_	6	app	_	_
8	als	als	K	KOKOM	_	7	kom	_	_
9	wia	wia	F	FM	_	8	cj	_	_
10	de	de	F	FM	_	9	app	_	_
11	Zeitunga	Zeitunga	F	FM	_	10	app	_	_
12	!	!	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Waar	Waar	F	FM	_|Nom|Sg	6	subj	_	_
3	s	s	F	FM	_|Nom|Sg	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	dahoam	dahoam	N	NE	_|Nom|Sg	3	app	_	_
6	blieb	bleiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	'	'	$	$(	_	0	root	_	_
8	n	n	N	NN	_|Nom|_	6	pred	100	100
9	;	;	$	$.	_	0	root	_	_
10	brav	brav	A	ADJD	Pos|	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	lusti	lusti	N	NE	_|Nom|_	16	subj	_	_
13	,	,	$	$,	_	0	root	_	_
14	fleißi	fleißi	N	NE	_|Nom|_	12	kon	_	_
15	,	,	$	$,	_	0	root	_	_
16	hätt	hätt	V	VVFIN	_|_|_|_	0	root	_	_
17	'	'	$	$(	_	0	root	_	_
18	s	s	P	PPER	_|_|_|Dat	16	objd	2	2
19	'	'	$	$(	_	0	root	_	_
20	g	g	N	NN	_|Dat|_	18	app	_	_
21	'	'	$	$(	_	0	root	_	_
22	heirat	heirat	N	NE	_	16	obja	_	_
23	,	,	$	$,	_	0	root	_	_
24	hätt	hätt	V	VVFIN	_	16	kon	_	_
25	'	'	$	$(	_	0	root	_	_
