1	Haut	hauen	V	VVIMP	Pl	0	root	_	_
1	Herr	Herr	N	NN	Masc|Nom|Sg	3	subj	_	_
2	Pfaffinger	Pfaffinger	N	NN	Masc|Nom|Sg	1	app	_	_
3	schob	schieben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	310	310
5	Hut	Hut	N	NN	Masc|Acc|Sg	3	obja	310	310
6	verwegen	verwegen	A	ADJD	Pos|	3	adv	_	_
7	aus	aus	P	APPR	Dat	3	pp	_	_
8	der	die	A	ART	Def|Fem|Dat|Sg	9	det	127	127
9	Stirne	Stirne	N	NN	Fem|Dat|Sg	7	pn	127	127
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Solchene	Solchene	N	NE	_	0	root	_	_
3	derfen	derfen	N	NE	_	2	app	_	_
4	drei	drei	C	CARD	_	5	attr	_	_
5	daherkemma	daherkemma	N	NN	_|Gen|Pl	3	gmod	_	_
6	,	,	$	$,	_	0	root	_	_
7	nacha	nacha	F	FM	_	3	app	_	_
8	fürcht	fürcht	F	FM	_	7	app	_	_
9	'	'	$	$(	_	0	root	_	_
10	i	i	F	FM	_	8	app	_	_
11	s	s	F	FM	_	10	app	_	_
12	'	'	$	$(	_	0	root	_	_
13	aa	aa	F	FM	_	11	app	_	_
14	no	no	F	FM	_	13	app	_	_
15	net	net	F	FM	_	14	app	_	_
16	.	.	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	3	det	_	_
2	üppige	üppig	A	ADJA	Pos|Neut|Nom|Sg|Wk|	3	attr	_	_
3	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	4	subj	_	_
4	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	bewundernd	bewundern	A	ADJD	_|<PPRES	4	adv	_	_
6	zu	zu	P	APPR	Dat	4	pp	_	_
7	dem	die	A	ART	Def|Masc|Dat|Sg	8	det	128	128
8	Ritter	Ritter	N	NN	Masc|Dat|Sg	6	pn	128	128
9	auf	auf	P	PTKVZ	_	4	avz	128	128
10	,	,	$	$,	_	0	root	128	128
11	der	die	P	PRELS	Masc|Nom|Sg	17	subj	128	128
12	sich	sie	P	PRF	3|_|_	17	obja	_	_
13	kraftvoll	kraftvoll	A	ADJD	Pos|	17	adv	_	_
14	in	in	P	APPR	Dat	17	pp	_	_
15	den	die	A	ART	Def|Fem|Dat|Pl	16	det	_	_
16	Hüften	Hüfte	N	NN	Fem|Dat|Pl	14	pn	_	_
17	wiegte	wiegen	V	VVFIN	3|Sg|Past|_	8	rel	_	_
18	und	und	K	KON	_	17	kon	_	_
19	mit	mit	P	APPR	Dat	22	pp	_	_
20	den	die	A	ART	Def|Masc|Dat|Pl	21	det	423	423
21	Fingern	Finger	N	NN	Masc|Dat|Pl	19	pn	423	423
22	schnalzte	schnalzen	V	VVFIN	_|Sg|Past|_	18	cj	_	_
23	,	,	$	$,	_	0	root	_	_
24	gleichsam	gleichsam	A	ADJD	_	0	root	_	_
25	um	um	K	KOUI	_	27	konj	_	_
26	zu	zu	P	PTKZU	_	27	part	_	_
27	beweisen	beweisen	V	VVINF	_	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	wieviel	wieviel	P	PWAV	_	37	adv	_	_
30	ihm	er	P	PPER	3|Sg|_|Dat	37	objd	128	128
31	an	an	P	APPR	Dat	37	objp	_	_
32	einer	eine	A	ART	Indef|Fem|Dat|Sg	34	det	_	_
33	ganzen	ganz	A	ADJA	Pos|Fem|Dat|Sg|Wk|	34	attr	_	_
34	Schar	Schar	N	NN	Fem|Dat|Sg	31	pn	_	_
35	von	von	P	APPR	Dat	34	pp	_	_
36	Gegnern	Gegner	N	NN	Masc|Dat|Pl	35	pn	_	_
37	läge	liegen	V	VVFIN	_|Sg|Past|Subj	27	objc	_	_
38	.	.	$	$.	_	0	root	_	_

1	Fannys	Fannys	N	NE	_|Gen|_	3	gmod	129	129
2	rehbraune	rehbraun	A	ADJA	Pos|Neut|Nom|Pl|St|	3	attr	130	130
3	Augen	Auge	N	NN	Neut|Nom|Pl	4	subj	130	130
4	trafen	treffen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	mit	mit	P	APPR	Dat	4	pp	_	_
7	seinen	seine	A	PPOSAT	_|_|_	10	det	129	129
8	etwas	etwas	A	ADV	_	9	adv	_	_
9	hervorquellenden	hervorquellend	A	ADJA	Pos|_|_|_|_|<PPRES	10	attr	_	_
10	wasserblauen	wasserblau	A	ADJA	_|_|_	6	pn	_	_
11	und	und	K	KON	_	4	kon	_	_
12	senkten	senken	V	VVFIN	_|Pl|Past|_	11	cj	_	_
13	sich	sie	P	PRF	3|_|_	12	obja	_	_
14	sofort	sofort	A	ADV	_	12	adv	_	_
15	,	,	$	$,	_	0	root	_	_
16	indessen	indessen	K	KOUS	_	19	konj	_	_
17	sie	sie	P	PPER	3|Sg|Fem|Nom	19	subj	129	129
18	wiederum	wiederum	A	ADV	_	19	adv	_	_
19	rief	rufen	V	VVFIN	3|Sg|Past|Ind	12	neb	_	_
20	:	\:	$	$.	_	0	root	_	_
21	»	»	$	$(	_	0	root	_	_
22	Nein	nein	P	PTKANT	_	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	Sie	sie	P	PPER	3|Pl|_|Nom	25	subj	130	130
25	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
26	aber	aber	A	ADV	_	25	adv	_	_
27	einer	eine	P	PIS	Masc|Nom|Sg	25	pred	_	_
28	!	!	$	$.	_	0	root	_	_
29	«	«	$	$(	_	0	root	_	_

1	Offenbar	offenbar	A	ADJD	Pos|	2	adv	_	_
2	hegte	hegen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	Herr	Herr	N	NN	Masc|Nom|Sg	2	subj	131	131
4	Pfaffinger	Pfaffinger	N	NE	Masc|Nom|Sg	3	app	131	131
5	die	die	A	ART	Def|Fem|_|Sg	8	det	1010	1010
6	gleiche	gleich	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	1010	1010
7	günstige	günstig	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	1010	1010
8	Meinung	Meinung	N	NN	Fem|_|Sg	2	obja	1010	1010
9	von	von	P	APPR	Dat	8	pp	1010	1010
10	sich	sie	P	PRF	3|_|Dat	9	pn	1010	1010
11	;	;	$	$.	_	0	root	_	_
12	denn	denn	K	KON	_	0	root	_	_
13	sein	seine	A	PPOSAT	Neut|Nom|Sg	15	det	131	131
14	ganzes	ganz	A	ADJA	Pos|Neut|Nom|Sg|St|	15	attr	_	_
15	Gebaren	Gebaren	N	NN	Neut|Nom|Sg	16	subj	_	_
16	verriet	verraten	V	VVFIN	3|Sg|Past|Ind	12	cj	_	_
17	,	,	$	$,	_	0	root	_	_
18	daß	daß	K	KOUS	_	26	konj	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	26	subj	131	131
20	mit	mit	P	APPR	Dat	25	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
22	Bewunderung	Bewunderung	N	NN	Fem|Dat|Sg	20	pn	_	_
23	seiner	seine	A	PPOSAT	Fem|Gen|Sg	24	det	131	131
24	Persönlichkeit	Persönlichkeit	N	NN	Fem|Gen|Sg	22	gmod	_	_
25	beschäftigt	beschäftigen	V	VVPP	_	26	aux	_	_
26	war	sein	V	VAFIN	3|Sg|Past|Ind	16	objc	_	_
27	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	132	132
3	hätt	hätt	V	VVFIN	1|Sg|_|_	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	8	objd	132	132
6	gar	gar	A	ADV	_	7	adv	_	_
7	nicht	nicht	P	PTKNEG	_	5	adv	_	_
8	denkt	denken	V	VVFIN	_|_|Pres|Ind	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	15	konj	_	_
11	Sie	sie	P	PPER	3|Pl|_|Nom	15	subj	130	130
12	so	so	A	ADV	_	13	adv	_	_
13	heftig	heftig	A	ADJD	Pos|	14	pred	_	_
14	sein	sein	V	VAINF	_	15	aux	_	_
15	können	können	V	VMFIN	3|Pl|Pres|_	8	objc	_	_
16	...	...	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
20	Fräulein	Fräulein	N	NN	Neut|Nom|Sg	19	subj	141	141
21	Fanny	Fanny	N	NE	Neut|Nom|Sg	20	app	141	141
22	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	da	da	K	KOUS	_	0	root	_	_
5	kenn	kenn	F	FM	_	0	root	_	_
6	i	i	F	FM	_	5	app	_	_
7	nix	nix	F	FM	_	6	app	_	_
8	.	.	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wie	Wie	P	PWAV	_	11	adv	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	11	subj	130	130
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	133	133
5	Stuhl	Stuhl	N	NN	Masc|Acc|Sg	11	obja	133	133
6	z	z	N	NN	Masc|Acc|Sg	5	app	133	133
7	'	'	$	$(	_	0	root	_	_
8	ruckg	ruckg	F	FM	Masc|Acc|Sg	5	app	_	_
9	'	'	$	$(	_	0	root	_	_
10	stössen	stössen	V	VVPP	_	11	aux	_	_
11	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	0	root	_	_
14	auf	auf	P	PTKVZ	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	hin	hin	A	ADV	_	15	cj	_	_
17	...	...	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Da	da	A	ADV	_	3	adv	_	_
3	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	s	s	F	FM	_|Nom|Sg	3	subj	_	_
6	koana	koana	F	FM	_|Nom|Sg	5	app	_	_
7	Würschtel	Würschtel	N	NE	_|Nom|Sg	6	app	_	_
8	!	!	$	$.	_	0	root	_	_
9	...	...	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	wie	wie	P	PWAV	_	10	adv	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	10	subj	130	130
5	ihm	er	P	PPER	3|Sg|_|Dat	10	objd	1	1
6	eine	eine	A	ART	Indef|Fem|_|Sg	9	det	_	_
7	hing	hing	A	ADJA	_	9	attr	_	_
8	'	'	$	$(	_	0	root	_	_
9	haut	haut	F	FM	Fem|_|Sg	10	obja	_	_
10	haben	haben	V	VAFIN	3|Pl|Pres|_	2	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	18	konj	_	_
13	'	'	$	$(	_	0	root	_	_
14	s	s	P	PPER	_|Sg|_|Nom	18	subj	1	1
15	ihn	er	P	PPER	3|Sg|Masc|Acc	18	obja	133	133
16	gleich	gleich	A	ADJD	Pos|	18	adv	_	_
17	draht	draht	A	ADJD	_	18	adv	_	_
18	hat	haben	V	VAFIN	3|Sg|Pres|Ind	10	neb	_	_
19	!	!	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_

1	Wieder	wieder	A	ADV	_	2	adv	_	_
2	gingen	gehen	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	130	130
4	eine	eine	A	ART	Indef|Fem|_|Sg	5	det	_	_
5	Weile	Weile	N	NN	Fem|_|Sg	6	grad	_	_
6	schweigend	schweigen	A	ADJD	_|<PPRES	2	adv	_	_
7	nebeneinander	nebeneinander	A	ADV	_	2	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	7	kon	_	_
10	indessen	indessen	A	ADV	_	9	cj	_	_
11	Herr	Herr	N	NN	Masc|Dat|Sg	2	objd	131	131
12	Pfaffinger	Pfaffinger	N	NN	Masc|Dat|Sg	11	app	131	131
13	beim	bei	P	APPRART	Dat	2	pp	_	_
14	Schein	Schein	N	NN	Masc|Dat|Sg	13	pn	134	134
15	einer	eine	A	ART	Indef|Fem|Gen|Sg	16	det	134	134
16	Straßenlaterne	Straßenlaterne	N	NN	Fem|Gen|Sg	14	gmod	134	134
17	respektvoll	respektvoll	A	ADJD	Pos|	2	adv	_	_
18	seine	seine	A	PPOSAT	Fem|Nom|Sg	20	det	134	134
19	große	groß	A	ADJA	Pos|Fem|Nom|Sg|_|	20	attr	_	_
20	Hand	Hand	N	NN	Fem|Nom|Sg	21	subj	_	_
21	betrachtete	betrachten	V	VVFIN	3|Sg|Past|_	2	s	_	_
22	,	,	$	$,	_	0	root	_	_
23	huschten	huschen	V	VVFIN	3|Pl|Past|_	0	root	_	_
24	Fannys	Fannys	N	NE	_|Nom|Pl	23	subj	129	129
25	Blicke	Blick	N	NN	Masc|_|_	23	obja	_	_
26	wieder	wieder	A	ADV	_	23	adv	_	_
27	beifällig	beifällig	A	ADJD	Pos|	23	adv	_	_
28	über	über	P	APPR	Acc	23	pp	_	_
29	ihn	er	P	PPER	3|Sg|Masc|Acc	28	pn	1	1
30	hin	hin	P	PTKVZ	_	23	avz	_	_
31	.	.	$	$.	_	0	root	_	_

1	Schön	schön	A	ADJD	Pos|	2	pred	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	-	-	$	$(	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	4	det	_	_
2	gewissermaßen	gewissermaßen	A	ADV	_	3	adv	_	_
3	viereckiger	viereckig	A	ADJA	Pos|Masc|Nom|Sg|St|	4	attr	_	_
4	Kopf	Kopf	N	NN	Masc|Nom|Sg	0	root	_	_
5	auf	auf	P	APPR	Dat	4	pp	_	_
6	einem	eine	A	ART	Indef|Masc|Dat|Sg	8	det	651	651
7	kurzen	kurz	A	ADJA	Pos|Masc|Dat|Sg|Wk|	8	attr	651	651
8	Halse	Hals	N	NN	Masc|Dat|Sg	5	pn	651	651
9	;	;	$	$.	_	0	root	_	_
10	eine	eine	A	ART	Indef|Fem|Nom|Sg	12	det	_	_
11	stumpfe	stumpf	A	ADJA	Pos|Fem|Nom|Sg|_|	12	attr	_	_
12	Nase	Nase	N	NN	Fem|Nom|Sg	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	dicke	dick	A	ADJA	Pos|Fem|Nom|Pl|St|	15	attr	135	135
15	Lippen	Lippe	N	NN	Fem|Nom|Pl	12	kon	135	135
16	,	,	$	$,	_	0	root	135	135
17	die	die	P	PRELS	Fem|Nom|Pl	21	subj	135	135
18	sich	sie	P	PRF	3|_|_	21	obja	_	_
19	nicht	nicht	P	PTKNEG	_	21	adv	_	_
20	ganz	ganz	A	ADV	_	21	adv	_	_
21	schlossen	schließen	V	VVFIN	3|Pl|Past|Ind	15	rel	_	_
22	,	,	$	$,	_	0	root	_	_
23	so	so	A	ADV	_	12	adv	_	_
24	daß	daß	K	KOUS	_	29	konj	_	_
25	man	man	P	PIS	_|Nom|Sg	29	subj	_	_
26	die	die	A	ART	Def|Masc|_|Pl	28	det	342	342
27	unregelmäßigen	unregelmäßig	A	ADJA	Pos|Masc|_|Pl|Wk|	28	attr	342	342
28	Zähne	Zahn	N	NN	Masc|_|Pl	29	obja	342	342
29	sah	sehen	V	VVFIN	3|Sg|Past|Ind	12	objc	_	_
30	,	,	$	$,	_	0	root	_	_
31	der	die	A	ART	Def|Masc|Nom|Sg	32	det	_	_
32	Teint	Teint	N	NN	Masc|Nom|Sg	12	app	_	_
33	von	von	P	APPR	_	32	pp	_	_
34	jener	jene	A	PDAT	Fem|_|Sg	36	det	_	_
35	biersäuerlichen	biersäuerlich	A	ADJA	Pos|Fem|_|Sg|Wk|	36	attr	_	_
36	Blässe	Blässe	N	NN	Fem|_|Sg	33	pn	_	_
37	,	,	$	$,	_	0	root	_	_
38	wie	wie	P	PWAV	_	44	adv	_	_
39	sie	sie	P	PPER	3|Sg|Fem|Nom	44	subj	129	129
40	Schenkkellnern	Schenkkellner	N	NN	_|Dat|_	44	objd	_	_
41	und	und	K	KON	_	40	kon	_	_
42	Bräuburschen	Bräuburschen	N	NE	_|Dat|_	41	cj	1293	1293
43	eigen	eigen	A	ADJD	Pos|	44	pred	_	_
44	ist	sein	V	VAFIN	3|Sg|Pres|Ind	32	objc	_	_
45	...	...	$	$.	_	0	root	_	_

1	All	all	A	PIDAT	Neut|Nom|Sg	2	det	_	_
2	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	den	die	A	ART	Def|_|_|_	5	det	110	110
5	Pfaffinger	Pfaffinger	N	NN	_|_|_	3	obja	110	110
6	Schorschl	Schorschl	N	NE	_|_|_	5	app	110	110
7	nicht	nicht	P	PTKNEG	_	3	adv	_	_
8	gerade	gerade	A	ADV	_	3	adv	_	_
9	als	als	K	KOKOM	_	3	kom	_	_
10	verführerisch	verführerisch	A	ADJD	Pos|	9	cj	_	_
11	erscheinen	erscheinen	V	VVINF	_	3	obji	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	3	kon	_	_
14	doch	doch	A	ADV	_	15	adv	_	_
15	besaß	besitzen	V	VVFIN	3|Sg|Past|Ind	13	cj	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	110	110
17	Reize	Reiz	N	NN	Masc|_|_	15	obja	_	_
