1	Is	Is	N	NE	_|Gen|_	13	gmod	396	396
2	Kommen	kommen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	S	S	N	NN	Neut|Nom|Pl	2	subj	88	88
4	'	'	$	$(	_	0	root	_	_
5	halt	halt	A	ADV	_	2	adv	_	_
6	her	her	P	PTKVZ	_	2	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	gnä	gnä	A	ADJA	_|Neut|_|_|_	9	attr	_	_
9	Fräulein	Fräulein	N	NN	Neut|_|_	2	vok	_	_
10	!	!	$	$.	_	0	root	_	_

1	San	San	N	NE	Neut|_|_	0	root	_	_
2	S	S	N	NN	Neut|_|_	1	app	_	_
3	'	'	$	$(	_	0	root	_	_
4	so	so	A	ADV	_	2	adv	_	_
5	guat	guat	A	ADJD	_	0	root	_	_
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	Es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
9	dauerte	dauern	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	noch	noch	A	ADV	_	9	adv	_	_
11	eine	eine	A	ART	Indef|Fem|_|Sg	12	det	_	_
12	Weile	Weile	N	NN	Fem|_|Sg	9	obja	_	_
13	,	,	$	$,	_	0	root	_	_
14	bis	bis	K	KOUS	_	20	konj	_	_
15	die	die	A	ART	Def|Fem|Nom|Sg	16	det	87	87
16	Kellnerin	Kellnerin	N	NN	Fem|Nom|Sg	20	subj	87	87
17	in	in	P	APPR	Acc	20	objp	_	_
18	die	die	A	ART	Def|Fem|Acc|Sg	19	det	89	89
19	Stube	Stube	N	NN	Fem|Acc|Sg	17	pn	89	89
20	kam	kommen	V	VVFIN	3|Sg|Past|Ind	9	neb	_	_
21	und	und	K	KON	_	20	kon	_	_
22	nochmal	nochmal	A	ADV	_	23	adv	_	_
23	fragte	fragen	V	VVFIN	_|Sg|Past|_	21	cj	_	_
24	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wollen	wollen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
3	S	S	N	NN	_|Nom|Pl	2	subj	_	_
4	'	'	$	$(	_	0	root	_	_
5	a	a	F	FM	_|Nom|_	3	app	_	_
6	Halbe	Halbe	N	NN	_|Nom|_	5	app	_	_
7	?	?	$	$.	_	0	root	_	_

1	A	A	F	FM	_|_|_	0	root	_	_
2	Maß	Maß	N	NN	_|_|_	1	app	_	_
3	?	?	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nix	nix	P	PIS	_|Nom|Sg	3	subj	_	_
3	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	i.	i.	N	NE	_	3	obja	90	90

1	A	A	F	FM	_|Nom|Sg	3	subj	_	_
2	Zimma	Zimma	F	FM	_|Nom|Sg	1	app	_	_
3	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	i.	i.	N	NE	_	3	obja	90	90
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	A	A	N	NN	_|_|_	0	root	95	95
3	Zim-ma	Zim-ma	N	NE	_|_|_	2	app	95	95
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Muaß	Muaß	N	NE	_	0	root	_	_
2	i	i	F	FM	_	1	app	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	F	FM	_	2	app	_	_
5	no	no	F	FM	_	4	app	_	_
6	a	a	F	FM	_	5	app	_	_
7	paarmal	paarmal	F	FM	_	6	app	_	_
8	sag	sag	F	FM	_	7	app	_	_
9	'	'	$	$(	_	0	root	_	_
10	n	n	N	NN	_	8	app	_	_
11	?	?	$	$.	_	0	root	_	_

1	Wia	Wia	N	NE	_	0	root	_	_
2	g	g	N	NN	_	1	app	_	_
3	'	'	$	$(	_	0	root	_	_
4	stell	stellen	V	VVIMP	Sg	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	n	n	N	NN	_	4	obja	91	91
7	Eahna	Eahna	N	NE	_	6	app	91	91
8	denn	denn	K	KON	_	0	root	_	_
9	Sie	sie	P	PPER	3|_|_|_	0	root	91	91
10	o	o	A	ADJD	_	0	root	_	_
11	?	?	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	5	det	_	_
4	rechtschaffene	rechtschaffen	A	ADJA	Pos|Neut|_|Sg|Wk|	5	attr	_	_
5	Weibsbild	Weibsbild	N	NN	Neut|_|Sg	10	obja	_	_
6	nicht	nicht	P	PTKNEG	_	10	adv	_	_
7	aus	aus	P	APPR	Dat	10	pp	_	_
8	der	die	A	ART	Def|Fem|Dat|Sg	9	det	92	92
9	Ruhe	Ruhe	N	NN	Fem|Dat|Sg	7	pn	92	92
10	bringen	bringen	V	VVINF	_	2	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	schüttelte	schütteln	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	93	93
4	Kopf	Kopf	N	NN	Masc|Acc|Sg	2	obja	93	93
5	und	und	K	KON	_	2	kon	_	_
6	rief	rufen	V	VVFIN	_|Sg|Past|Ind	5	cj	_	_
7	in	in	P	APPR	Acc	6	pp	_	_
8	die	die	A	ART	Def|Fem|Acc|Sg	9	det	94	94
9	Küche	Küche	N	NN	Fem|Acc|Sg	7	pn	94	94
10	hinein	hinein	P	PTKVZ	_	6	avz	_	_
11	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Sephi	Sephi	N	NN	_|Nom|Sg	2	app	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	?	?	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	103	103
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	103	103
4	möcht	möcht	N	NE	Masc|Nom|Sg	3	app	103	103
5	'	'	$	$(	_	0	root	_	_
6	a	a	F	FM	Masc|Nom|Sg	4	app	_	_
7	Zimma	Zimma	F	FM	Masc|Nom|Sg	6	app	_	_
8	.	.	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	A	A	N	NN	_|_|_	0	root	95	95
3	Zim-ma	Zim-ma	N	NE	_|_|_	2	app	95	95
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	96	96
2	Köchin	Köchin	N	NN	Fem|Nom|Sg	3	subj	96	96
3	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	7	subj	_	_
5	genau	genau	A	ADJD	Pos|	6	adv	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	gedehnt	dehnen	V	VVPP	_	3	neb	_	_
8	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	is	is	F	FM	_|_|Sg	0	root	_	_
4	denn	denn	F	FM	_|_|Sg	3	app	_	_
5	dös	dös	F	FM	_|_|Sg	4	app	_	_
6	für	für	P	APPR	Acc	5	pp	_	_
7	a	a	N	NN	_|Acc|_	6	pn	97	97
8	Wirtschaft	Wirtschaft	N	NN	_|_|Sg	5	app	_	_
9	?	?	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	schrie	schreien	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	106	106
13	Gast	Gast	N	NN	Masc|Nom|Sg	11	subj	106	106
14	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	No	No	F	FM	_	0	root	_	_
3	ja	ja	A	ADV	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	die	die	A	ART	Def|Fem|Nom|Sg	8	det	_	_
8	Kellnerin	Kellnerin	N	NN	Fem|Nom|Sg	6	subj	_	_
9	,	,	$	$,	_	0	root	_	_
10	»	»	F	FM	Fem|Nom|Sg	8	app	_	_
11	d	d	F	FM	Fem|Nom|Sg	10	app	_	_
12	'	'	$	$(	_	0	root	_	_
13	Fanny	Fanny	F	FM	Fem|Nom|Sg	11	app	_	_
14	is	is	F	FM	Fem|Nom|Sg	13	app	_	_
15	net	net	F	FM	Fem|Nom|Sg	14	app	_	_
16	dahoam	dahoam	F	FM	Fem|Nom|Sg	15	app	_	_
17	.	.	$	$.	_	0	root	_	_

1	De	De	F	FM	_	0	root	_	_
2	is	is	F	FM	_	1	app	_	_
3	im	in	P	APPRART	Dat	2	pp	_	_
4	Feld	Feld	N	NN	Neut|Dat|Sg	3	pn	_	_
5	draußd	draußd	N	NE	Neut|Dat|Sg	4	app	_	_
6	.	.	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	Bett	Bett	N	NN	Neut|Nom|Sg	10	subj	258	258
4	werd	werd	F	FM	Neut|Nom|Sg	3	app	258	258
5	aa	aa	F	FM	Neut|Nom|Sg	4	app	258	258
6	koans	koans	F	FM	Neut|Nom|Sg	5	app	258	258
7	übazog	übazog	F	FM	Neut|Nom|Sg	6	app	258	258
8	'	'	$	$(	_	0	root	258	258
9	n	n	N	NN	Neut|Nom|Sg	7	app	258	258
10	sei	sein	V	VAFIN	3|Sg|Pres|Subj	2	cj	_	_
11	«	«	$	$(	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	bestätigte	bestätigen	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	die	die	A	ART	Def|Fem|Nom|Sg	15	det	96	96
15	Köchin	Köchin	N	NN	Fem|Nom|Sg	13	subj	96	96
16	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	I	I	F	FM	_	0	root	_	_
3	leg	leg	F	FM	_	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	mi	mi	N	NE	_	3	app	_	_
6	net	net	A	ADV	_	5	adv	_	_
7	ins	in	P	APPRART	Acc	5	pp	_	_
8	Bett	Bett	N	NN	Neut|Acc|Sg	7	pn	_	_
9	um	um	P	APPR	_	8	pp	_	_
10	fünfi	fünfi	F	FM	_|_|_	9	pn	_	_
11	namittag	namittag	F	FM	_|_|_	10	app	_	_
12	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	a	a	F	FM	_	1	cj	_	_
3	Zimma	Zimma	F	FM	_	2	app	_	_
4	möcht	möcht	F	FM	_	3	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	i	i	P	PTKVZ	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	mei	mei	A	ADJA	_|Neut|Nom|Sg|_	9	attr	534	534
9	Gepäck	Gepäck	N	NN	Neut|Nom|Sg	10	subj	534	534
10	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
11	i	i	F	FM	_	10	obja	_	_
12	nei	nei	F	FM	_	11	app	_	_
13	stell	stell	F	FM	_	12	app	_	_
14	'	'	$	$(	_	0	root	_	_
15	n	n	N	NN	_	13	app	_	_
16	...	...	$	$.	_	0	root	_	_
17	Himmi	Himmi	F	FM	_	0	root	_	_
18	...	...	$	$.	_	0	root	_	_
19	Stern	Stern	N	NN	Masc|_|Sg	0	root	_	_
20	...	...	$	$.	_	0	root	_	_

1	Laudon	Laudon	N	NE	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_
3	...	...	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dös	Dös	N	NE	_	0	root	71	71
3	gang	gang	F	FM	_	2	app	71	71
4	scho	scho	F	FM	_	3	app	71	71
5	...	...	$	$.	_	0	root	_	_
6	a	a	F	FM	_	0	root	_	_
7	Zimma	Zimma	F	FM	_	6	app	_	_
8	zoag	zoag	F	FM	_	7	app	_	_
9	'	'	$	$(	_	0	root	_	_
10	n	n	N	NN	_	8	app	_	_
11	«	«	$	$(	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	die	die	A	ART	Def|Fem|Nom|Sg	15	det	96	96
15	Köchin	Köchin	N	NN	Fem|Nom|Sg	13	subj	96	96
16	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	87	87
2	Kellnerin	Kellnerin	N	NN	Fem|Nom|Sg	3	subj	87	87
3	zögerte	zögern	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wenn	wenn	K	KOUS	_	0	root	_	_
3	halt	halt	A	ADV	_	0	root	_	_
4	d	d	F	FM	_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	Fanny	Fanny	F	FM	_	4	app	_	_
7	net	net	F	FM	_	6	app	_	_
8	da	da	F	FM	_	7	app	_	_
9	is	is	F	FM	_	8	app	_	_
10	...	...	$	$.	_	0	root	_	_
11	«	«	F	FM	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	diesem	diese	A	PDAT	Masc|Dat|Sg	3	det	326	326
3	Augenblicke	Augenblick	N	NN	Masc|Dat|Sg	1	pn	326	326
4	hörte	hören	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	man	man	P	PIS	_|Nom|Sg	4	subj	_	_
6	einen	eine	A	ART	Indef|Masc|Acc|Sg	7	det	_	_
7	Wagen	Wage	N	NN	Masc|Acc|Sg	11	obja	_	_
8	in	in	P	APPR	Acc	11	pp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	9	9
10	Hof	Hof	N	NN	Masc|Acc|Sg	8	pn	9	9
11	fahren	fahren	V	VVINF	_	4	obji	_	_
12	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	96	96
2	Köchin	Köchin	N	NN	Fem|Nom|Sg	3	subj	96	96
3	öffnete	öffnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	das	die	A	ART	Def|Neut|_|Sg	5	det	_	_
5	Küchenfenster	Küchenfenster	N	NN	Neut|_|Sg	3	obja	_	_
6	und	und	K	KON	_	3	kon	_	_
7	schrie	schreien	V	VVFIN	_|Sg|Past|_	6	cj	_	_
8	mit	mit	P	APPR	Dat	7	pp	_	_
9	durchdringender	durchdringend	A	ADJA	Pos|Fem|Dat|Sg|St|<PPRES	10	attr	98	98
10	Stimme	Stimme	N	NN	Fem|Dat|Sg	8	pn	98	98
11	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Herr	Herr	N	NN	Masc|_|Sg	0	root	679	679
3	Blenninga	Blenninga	N	NE	Masc|_|Sg	2	app	679	679
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wos	Wos	N	NE	_	0	root	_	_
3	?	?	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	eine	eine	A	ART	Indef|Fem|Nom|Sg	10	det	99	99
7	tiefe	tief	A	ADJA	Pos|Fem|Nom|Sg|_|	10	attr	99	99
8	,	,	$	$,	_	0	root	99	99
9	fette	fett	A	ADJA	Pos|_|Nom|_|_|	7	kon	99	99
10	Stimme	Stimme	N	NN	Fem|Nom|Sg	5	subj	99	99
11	zurück	zurück	P	PTKVZ	_	5	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	99	99
3	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	n	n	N	NN	_|Nom|_	7	subj	100	100
6	eina	eina	A	ADJD	Pos|	7	adv	_	_
7	kemma	kemma	V	VVPP	_	3	neb	_	_
8	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
2	is	is	F	FM	_	0	root	_	_
3	wer	wer	F	FM	_	2	app	_	_
4	do	do	F	FM	_	3	app	_	_
5	...	...	$	$.	_	0	root	_	_
6	«	«	F	FM	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	2	par	_	_
6	die	die	A	ART	Def|Fem|Nom|Sg	7	det	_	_
7	Köchin	Köchin	N	NN	Fem|Nom|Sg	5	subj	_	_
8	,	,	$	$,	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	jetz	jetz	F	FM	Masc|Nom|Sg	13	subj	_	_
11	is	is	F	FM	Masc|Nom|Sg	10	app	_	_
12	Gott	Gott	N	NN	Masc|Nom|Sg	11	app	_	_
13	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
14	Dank	dank	P	APPR	_	13	pp	_	_
15	der	die	A	ART	Def|Masc|Nom|Sg	16	det	_	_
16	Herr	Herr	N	NN	Masc|Nom|Sg	14	pn	_	_
17	Posthalta	Posthalta	N	NE	Masc|Nom|Sg	16	app	_	_
18	selber	selber	A	ADV	_	13	adv	_	_
19	da	da	P	PTKVZ	_	13	avz	_	_
20	.	.	$	$.	_	0	root	_	_

1	Mit	mit	P	APPR	Dat	0	root	_	_
2	dem	die	A	ART	Def|Neut|Dat|Sg	4	det	1417	1417
3	könna	könna	A	ADJA	_|Neut|Dat|Sg|_	4	attr	1417	1417
4	S	S	N	NN	Neut|Dat|Sg	1	pn	1417	1417
5	'	'	$	$(	_	0	root	_	_
6	all	all	A	PIDAT	_	0	root	_	_
7	'	'	$	$(	_	0	root	_	_
8	s	s	P	PPER	_	0	root	100	100
9	ausmacha	ausmacha	A	ADJD	_	0	root	_	_
10	.	.	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|Nom	2	subj	18	18
2	schloß	schloß	V	VVFIN	3|_|_|_	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	4	det	101	101
4	Schiebefenster	Schiebefenster	N	NN	Neut|_|Sg	2	obja	101	101
5	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	87	87
2	Kellnerin	Kellnerin	N	NN	Fem|Nom|Sg	3	subj	87	87
3	gähnte	gähnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	laut	laut	A	ADJD	Pos|	3	adv	_	_
5	und	und	K	KON	_	3	kon	_	_
6	ging	gehen	V	VVFIN	_|Sg|Past|Ind	5	cj	_	_
7	hinter	hinter	P	APPR	Acc	6	pp	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	102	102
9	Verschlag	Verschlag	N	NN	Masc|Acc|Sg	7	pn	102	102
10	,	,	$	$,	_	0	root	_	_
11	ließ	lassen	V	VVFIN	_|Sg|Past|Ind	6	kon	_	_
12	etwas	etwas	A	PIAT	_|_|_	13	det	_	_
13	Bier	Bier	N	NN	_|_|_	11	obja	_	_
14	ins	in	P	APPRART	Acc	16	pp	_	_
15	Nößel	Nößel	N	NN	_|Acc|_	14	pn	_	_
16	laufen	laufen	V	VVINF	_	6	obji	_	_
17	und	und	K	KON	_	6	kon	_	_
18	trank	trinken	V	VVFIN	_|Sg|Past|Ind	17	cj	_	_
19	ohne	ohne	P	APPR	Acc	18	pp	_	_
20	Hast	Hast	N	NN	Fem|Acc|Sg	19	pn	415	415
21	und	und	K	KON	_	19	kon	_	_
22	ohne	ohne	P	APPR	Acc	21	cj	_	_
23	rechten	recht	A	ADJA	Pos|Masc|Acc|Sg|_|	24	attr	301	301
24	Genuß	Genuß	N	NN	Masc|Acc|Sg	22	pn	301	301
25	,	,	$	$,	_	0	root	_	_
26	bloß	bloß	A	ADV	_	27	adv	_	_
27	zum	zu	P	APPRART	Dat	22	kon	_	_
28	Zeitvertreib	Zeitvertreib	N	NN	Masc|Dat|Sg	27	pn	1216	1216
29	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	26	26
2	Posthalter	Posthalter	N	NN	Masc|Nom|Sg	3	subj	26	26
3	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	ein	ein	P	PTKVZ	_	3	avz	_	_
5	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Also	also	A	ADV	_	4	adv	_	_
3	was	was	P	PIS	_	4	obja	_	_
4	habts	habts	V	VVINF	_	0	root	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	2	2
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	103	103
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	103	103
4	möcht	möcht	N	NE	Masc|Nom|Sg	3	app	103	103
5	'	'	$	$(	_	0	root	_	_
6	a	a	F	FM	Masc|Nom|Sg	4	app	_	_
7	Zimma	Zimma	F	FM	Masc|Nom|Sg	6	app	_	_
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	die	die	A	ART	Def|Fem|Nom|Sg	12	det	87	87
12	Kellnerin	Kellnerin	N	NN	Fem|Nom|Sg	10	subj	87	87
13	hinteren	hinter	A	ADJA	Pos|Masc|_|Sg|_|	14	attr	_	_
14	Verschlag	Verschlag	N	NN	Masc|_|Sg	10	obja	_	_
15	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	80	80
2	Fremde	Fremde	N	NN	Masc|Nom|Sg	3	subj	80	80
3	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	selber	selber	A	ADV	_	3	adv	_	_
5	das	die	A	ART	Def|Neut|_|Sg	6	det	307	307
6	Wort	Wort	N	NN	Neut|_|Sg	3	obja	307	307
7	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	I	I	F	FM	_|Nom|Pl	7	subj	_	_
3	möcht	möcht	F	FM	_|Nom|Pl	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	bei	bei	P	APPR	Dat	3	pp	_	_
6	Ihnen	sie	P	PPER	3|Pl|_|Dat	5	pn	_	_
7	wohnen	wohnen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	aber	aber	K	KON	_	0	root	_	_
10	dös	dös	F	FM	_	9	cj	_	_
11	is	is	F	FM	_	10	app	_	_
12	scheinbar	scheinbar	A	ADJD	Pos|	13	adv	_	_
13	mit	mit	P	APPR	Dat	10	pp	_	_
14	solchene	solchene	A	ADJA	_|Fem|Dat|Sg|_	15	attr	_	_
15	Schwierigkeit	Schwierigkeit	N	NN	Fem|Dat|Sg	13	pn	_	_
16	'	'	$	$(	_	0	root	_	_
17	n	n	F	FM	Fem|Dat|Sg	15	app	_	_
18	verbund	verbund	F	FM	Fem|Dat|Sg	17	app	_	_
19	'	'	$	$(	_	0	root	_	_
20	n	n	N	NN	Fem|Dat|Sg	18	app	_	_
21	...	...	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Na	Na	I	ITJ	_	0	root	_	_
3	...	...	$	$.	_	0	root	_	_
4	na	na	I	ITJ	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	dös	dös	F	FM	_	0	root	_	_
7	hamm	hamm	F	FM	_	6	app	_	_
8	ma	ma	F	FM	_	7	app	_	_
9	glei	glei	F	FM	_	8	app	_	_
10	.	.	$	$.	_	0	root	_	_

1	Resi	Resi	N	NE	_	0	root	668	668
2	!	!	$	$.	_	0	root	_	_

1	Gehst	Gehst	N	NN	_	0	root	_	_
2	zu	zu	P	APPR	Dat	0	root	_	_
3	da	da	K	KOUS	_	0	root	_	_
