1	Marie	Marie	N	NE	_|Nom|Sg	2	subj	969	969
6	diese	diese	A	PDAT	Fem|Acc|Sg	7	det	_	_
7	Behandlung	Behandlung	N	NN	Fem|Acc|Sg	5	pn	_	_
8	.	.	$	$.	_	0	root	_	_

1	Glaubte	glauben	V	VVFIN	3|Sg|Past|_	0	root	_	_
2	man	man	P	PIS	_|Nom|Sg	1	subj	_	_
3	,	,	$	$,	_	0	root	_	_
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	5	det	_	_
5	Kabarettstern	Kabarettstern	N	NN	Masc|Acc|Sg	10	obja	_	_
6	in	in	P	APPR	Dat	10	pp	_	_
7	diesem	diese	A	PDAT	Neut|Dat|Sg	8	det	972	972
8	Neste	Nest	N	NN	Neut|Dat|Sg	6	pn	972	972
9	schlecht	schlecht	A	ADJD	Pos|	10	adv	_	_
10	behandeln	behandeln	V	VVINF	_	12	aux	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	dürfen	dürfen	V	VMINF	_	1	obji	_	_
13	?	?	$	$.	_	0	root	_	_

1	Nee	nee	A	ADV	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Nich	Nich	N	NE	_	0	root	584	584
2	in	in	P	APPR	Acc	1	pp	584	584
3	die	die	A	ART	Def|_|Acc|_	4	det	584	584
4	la	la	F	FM	_|Acc|_	2	pn	584	584
5	mäng	mäng	F	FM	_|Acc|_	4	app	584	584
6	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	584	584
2	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|_|Pl	4	det	1058	1058
4	Achseln	Achsel	N	NN	Fem|_|Pl	2	obja	1058	1058
5	hoch	hoch	A	ADJD	Pos|	2	adv	_	_
6	und	und	K	KON	_	2	kon	_	_
7	sagte	sagen	V	VVFIN	_|Sg|Past|_	6	cj	_	_
8	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	1059	1059
3	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
4	euch	ihr	P	PRF	2|Pl|_	5	obja	_	_
5	besuchen	besuchen	V	VVINF	_	3	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	aber	aber	K	KON	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	13	konj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	1059	1059
10	hier	hier	A	ADV	_	13	adv	_	_
11	nich	nich	A	ADV	_	13	adv	_	_
12	angenehm	angenehm	A	ADJD	Pos|	13	pred	_	_
13	bin	sein	V	VAFIN	1|Sg|Pres|Ind	7	cj	_	_
14	...	...	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Geh	Geh	N	NE	_	0	root	686	686
3	,	,	$	$,	_	0	root	686	686
4	Madel	Madel	N	NE	_	2	app	686	686
5	,	,	$	$,	_	0	root	686	686
6	was	was	P	PWS	Neut|_|Sg	7	obja	686	686
7	hast	haben	V	VAFIN	2|Sg|Pres|Ind	4	rel	686	686
8	denn	denn	A	ADV	_	7	adv	686	686
9	?	?	$	$.	_	0	root	_	_

1	Geh	Geh	N	NE	Masc|Nom|Sg	5	pred	686	686
2	,	,	$	$,	_	0	root	686	686
3	Vater	Vater	N	NN	Masc|Nom|Sg	1	app	686	686
4	,	,	$	$,	_	0	root	_	_
5	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
6	do	do	F	FM	_|Nom|Sg	5	subj	_	_
7	net	net	F	FM	_|Nom|Sg	6	app	_	_
8	a	a	F	FM	_|Nom|Sg	7	app	_	_
9	so	so	A	ADV	_	5	adv	_	_
10	...	...	$	$.	_	0	root	_	_
11	!	!	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	1008	1008
2	Hallbergerin	Hallbergerin	N	NN	Fem|Nom|Sg	3	subj	1008	1008
3	beschwichtigte	beschwichtigen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	nach	nach	P	APPR	Dat	3	pp	_	_
5	beiden	beide	A	PIDAT	Fem|Dat|Pl	6	det	_	_
6	Seiten	Seite	N	NN	Fem|Dat|Pl	4	pn	_	_
7	hin	hin	P	PTKVZ	_	3	avz	_	_
8	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	1008	1008
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	17	s	_	_
4	halt	halt	A	ADV	_	3	adv	_	_
5	wieder	wieder	A	ADV	_	3	adv	_	_
6	amal	amal	A	ADJD	_	3	adv	_	_
7	nach	nach	P	APPR	Dat	3	pp	_	_
8	uns	wir	P	PPER	1|Pl|_|Dat	7	pn	_	_
9	schaug	schaug	F	FM	_	3	obja	_	_
10	'	'	$	$(	_	0	root	_	_
11	n	n	F	FM	_	9	app	_	_
12	woll	woll	F	FM	_	11	app	_	_
13	'	'	$	$(	_	0	root	_	_
14	n	n	N	NN	_	12	app	_	_
15	«	«	$	$(	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
18	sie	sie	P	PPER	3|Sg|Fem|Nom	17	subj	1008	1008
19	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ah	Ah	N	NN	Fem|_|Sg	0	root	_	_
3	so	so	A	ADV	_	2	adv	_	_
4	?	?	$	$.	_	0	root	_	_

1	Wia	Wia	N	NE	_	0	root	1060	1060
2	'	'	$	$(	_	0	root	_	_
3	s	s	P	PPER	_	0	root	1060	1060
4	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	1008	1008
5	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
6	?	?	$	$.	_	0	root	_	_

1	Dank	dank	P	APPR	_	6	pp	_	_
2	der	die	A	ART	Def|_|_|_	3	det	1061	1061
3	Nachfrag	Nachfrag	N	NN	_|_|_	1	pn	1061	1061
4	'	'	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	ausgezeichnet	auszeichnen	V	VVPP	_	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	7	pred	_	_
2	'	'	$	$(	_	0	root	_	_
3	s	s	P	PPER	_|_|_|Nom	7	subj	1061	1061
4	halt	halt	A	ADV	_	7	adv	_	_
5	an	an	P	APPR	_	7	objp	_	_
6	Vater	Vater	N	NN	Masc|_|Sg	5	pn	1062	1062
7	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	_	_
10	a	a	F	FM	Masc|Nom|Sg	13	subj	_	_
11	solchene	solchene	F	FM	Masc|Nom|Sg	10	app	_	_
12	Freud	Freud	F	FM	Masc|Nom|Sg	11	app	_	_
13	dalebt	daleben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
14	am	an	P	APPRART	Dat	13	pp	_	_
15	oanzig	oanzig	F	FM	_|Dat|_	14	pn	_	_
16	'	'	$	$(	_	0	root	_	_
17	n	n	N	NN	_|Dat|_	15	app	_	_
18	Kind	Kind	N	NN	Neut|_|Sg	13	obja	265	265
19	.	.	$	$.	_	0	root	_	_

1	Kunnt	Kunnt	N	NE	_	0	root	16	16
2	ma	ma	N	NE	_	1	app	16	16
3	gar	gar	A	ADV	_	4	adv	_	_
4	net	net	A	ADV	_	5	adv	_	_
5	besser	gut	A	ADJD	Comp|	6	adv	_	_
6	geh	geh	A	ADJD	_	0	root	_	_
7	'	'	$	$(	_	0	root	_	_
8	...	...	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	1056	1056
2	Alte	Alt	N	NN	Masc|Nom|Sg	3	subj	1056	1056
3	stellte	stellen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	ans	an	P	APPRART	Acc	3	objp	_	_
6	Fenster	Fenster	N	NN	Neut|Acc|_	5	pn	583	583
7	und	und	K	KON	_	3	kon	_	_
8	trommelte	trommeln	V	VVFIN	_|Sg|Past|_	7	cj	_	_
9	an	an	P	APPR	Acc	8	pp	_	_
10	die	die	A	ART	Def|Fem|Acc|Pl	11	det	1063	1063
11	Scheiben	Scheibe	N	NN	Fem|Acc|Pl	9	pn	1063	1063
12	.	.	$	$.	_	0	root	_	_

1	Mizzi	Mizzi	N	NE	_	0	root	968	968
2	Spera	Spera	N	NE	Masc|Nom|Sg	1	app	968	968
3	,	,	$	$,	_	0	root	_	_
4	der	die	P	PRELS	Masc|Nom|Sg	8	subj	_	_
5	die	die	A	ART	Def|Fem|_|Sg	6	det	_	_
6	Mutter	Mutter	N	NN	Fem|_|Sg	8	obja	_	_
7	begütigend	begütigend	N	NE	Fem|_|Sg	6	app	_	_
8	zuwinkte	zuwinken	V	VVFIN	3|Sg|Past|_	2	rel	_	_
9	,	,	$	$,	_	0	root	_	_
10	setzte	setzen	V	VVFIN	_|Sg|Past|_	8	kon	_	_
11	sich	sie	P	PRF	3|_|_	10	obja	_	_
12	schmollend	schmollen	A	ADJD	_|<PPRES	10	adv	_	_
13	aufs	auf	P	APPRART	Acc	10	objp	_	_
14	Kanapee	Kanapee	N	NN	Neut|Acc|Sg	13	pn	1512	1512
15	und	und	K	KON	_	10	kon	_	_
16	gab	geben	V	VVFIN	_|Sg|Past|Ind	15	cj	_	_
17	sich	sie	P	PRF	3|_|_	16	obja	_	_
18	mit	mit	P	APPR	Dat	16	pp	_	_
19	Fifi	Fifi	N	NE	_|Dat|_	18	pn	965	965
20	ab	ab	P	PTKVZ	_	16	avz	_	_
21	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Viens	Viens	F	FM	_	0	root	_	_
3	donc	donc	F	FM	_	2	app	_	_
4	ici	ici	F	FM	_	3	app	_	_
5	!	!	$	$.	_	0	root	_	_

1	Mach	machen	V	VVIMP	Sg	0	root	_	_
2	schön	schön	A	ADJD	Pos|	1	pred	_	_
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	18	18
2	beherrschte	beherrschen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	großer	groß	A	ADJA	Pos|Fem|Dat|Sg|St|	5	attr	_	_
5	Sicherheit	Sicherheit	N	NN	Fem|Dat|Sg	3	pn	_	_
6	die	die	A	ART	Def|Fem|_|Sg	7	det	621	621
7	Situation	Situation	N	NN	Fem|_|Sg	2	obja	621	621
8	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Erzähl	Erzähl	N	NE	_	0	root	1064	1064
3	'	'	$	$(	_	0	root	1064	1064
4	do	do	F	FM	Neut|_|Sg	2	app	1064	1064
5	an	an	P	APPR	_	4	pp	1064	1064
6	Vater	Vater	N	NN	Masc|_|Sg	5	pn	1062	1062
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PRELS	Neut|_|Sg	16	obja	1064	1064
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	_	_
10	Graf	Graf	N	NN	Masc|Nom|Sg	17	subj	_	_
11	neuling	neuling	N	NE	Masc|Nom|Sg	10	app	_	_
12	zu	zu	P	APPR	Dat	10	pp	_	_
13	dir	du	P	PPER	2|Sg|_|Dat	12	pn	_	_
14	g	g	N	NN	_|Dat|_	16	objd	504	504
15	'	'	$	$(	_	0	root	_	_
16	sagt	sagt	V	VVPP	_	17	aux	_	_
17	hat	haben	V	VAFIN	3|Sg|Pres|Ind	4	rel	_	_
18	!	!	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_
20	bat	bitten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
21	die	die	A	ART	Def|Fem|Nom|Sg	22	det	1008	1008
22	Hallbergerin	Hallbergerin	N	NN	Fem|Nom|Sg	20	subj	1008	1008
23	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	für	für	P	APPR	Acc	2	pp	_	_
4	n	n	N	NN	_|Acc|_	3	pn	_	_
5	'	'	$	$(	_	0	root	_	_
6	Graf	Graf	N	NE	_|Acc|Sg	4	app	_	_
7	?	?	$	$.	_	0	root	_	_

1	Fifi	Fifi	N	NE	_	0	root	965	965
2	!	!	$	$.	_	0	root	_	_

1	Is	Is	N	NE	_	0	root	396	396
2	mein	meine	A	PPOSAT	Neut|_|Sg	3	det	1065	1065
3	Hundchen	Hundchen	N	NN	Neut|_|Sg	0	root	_	_
4	artig	artig	A	ADJD	Pos|	0	root	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	No	No	F	FM	_|Nom|Sg	12	subj	_	_
3	derselbige	derselbige	F	FM	_|Nom|Sg	2	app	_	_
4	,	,	$	$,	_	0	root	_	_
5	wo	wo	P	PWAV	_	11	adv	_	_
6	dir	du	P	PPER	2|Sg|_|Dat	11	objd	_	_
7	a	a	F	FM	_|Nom|Sg	11	subj	_	_
8	Bukett	Bukett	F	FM	_|Nom|Sg	7	app	_	_
9	g	g	F	FM	_|Nom|Sg	8	app	_	_
10	'	'	$	$(	_	0	root	_	_
11	schickt	schicken	V	VVFIN	3|Sg|Pres|Ind	3	rel	_	_
12	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	...	...	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Mir	ich	P	PPER	1|Sg|_|Dat	8	objd	1065	1065
3	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
4	schon	schon	A	ADV	_	8	adv	_	_
5	viele	viele	A	PIDAT	_|_|_	6	det	_	_
6	Grafen	Graf	N	NN	_|Nom|Pl	3	subj	_	_
7	Buketts	Bukett	N	NN	Neut|Gen|Sg	6	app	_	_
8	geschickt	schicken	V	VVPP	_	3	aux	_	_
9	...	...	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	Hallberger	Hallberger	N	NN	_|Nom|Sg	2	subj	1046	1046
2	drehte	drehen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	um	um	P	PTKVZ	_	2	avz	_	_
5	und	und	K	KON	_	2	kon	_	_
6	schaute	schauen	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	das	die	A	ART	Def|Neut|_|Sg	9	det	1066	1066
8	begehrenswerte	begehrenswert	A	ADJA	Pos|Neut|_|Sg|Wk|	9	attr	1066	1066
9	Geschöpf	Geschöpf	N	NN	Neut|_|Sg	6	obja	1066	1066
10	an	an	P	PTKVZ	_	6	avz	1066	1066
11	,	,	$	$,	_	0	root	1066	1066
12	das	die	P	PRELS	Neut|Nom|Sg	21	subj	1066	1066
13	einmal	einmal	A	ADV	_	20	adv	_	_
14	als	als	K	KOKOM	_	20	kom	_	_
15	harmloses	harmlos	A	ADJA	Pos|Neut|_|Sg|St|	16	attr	_	_
16	Kind	Kind	N	NN	Neut|_|Sg	14	cj	_	_
17	in	in	P	APPR	Dat	20	pp	_	_
18	dieser	diese	A	PDAT	Fem|Dat|Sg	19	det	89	89
19	Stube	Stube	N	NN	Fem|Dat|Sg	17	pn	89	89
20	gespielt	spielen	V	VVPP	_	21	aux	_	_
21	hatte	haben	V	VAFIN	3|Sg|Past|Ind	9	rel	_	_
22	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Neut|Nom|Sg	3	det	_	_
2	dummes	dumm	A	ADJA	Pos|Neut|Nom|Sg|St|	3	attr	_	_
3	Weibsbild	Weibsbild	N	NN	Neut|Nom|Sg	7	subj	_	_
4	mit	mit	P	APPR	Dat	3	pp	_	_
5	ausgebranntem	ausgebrannt	A	ADJA	Pos|Neut|Dat|Sg|St|	6	attr	_	_
6	Herzen	Herzen	N	NN	Neut|Dat|Sg	4	pn	_	_
7	hockte	hocken	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	dort	dort	A	ADV	_	7	adv	_	_
9	und	und	K	KON	_	7	kon	_	_
10	kam	kommen	V	VVFIN	_|Sg|Past|Ind	9	cj	_	_
11	sich	sie	P	PRF	3|_|Dat	10	objd	_	_
12	in	in	P	APPR	Dat	10	pp	_	_
13	dieser	diese	A	PDAT	Fem|Dat|Sg	15	det	_	_
14	kleinen	klein	A	ADJA	Pos|Fem|Dat|Sg|Wk|	15	attr	_	_
15	Welt	Welt	N	NN	Fem|Dat|Sg	12	pn	_	_
16	recht	recht	A	ADJD	Pos|	17	adv	_	_
17	bedeutend	bedeutend	A	ADJD	_|_	10	pred	_	_
18	vor	vor	P	PTKVZ	_	10	avz	_	_
19	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	holte	holen	V	VVFIN	3|Sg|Past|_	1	cj	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	aus	aus	P	APPR	Dat	3	pp	_	_
6	einer	eine	A	ART	Indef|Fem|Dat|Sg	7	det	_	_
7	Ledertasche	Ledertasche	N	NN	Fem|Dat|Sg	5	pn	_	_
8	Puderbüchse	Puderbüchse	N	NN	Fem|_|Sg	3	obja	_	_
9	und	und	K	KON	_	8	kon	_	_
10	Spiegel	Spiegel	N	NE	Fem|_|Sg	9	cj	1074	1074
11	und	und	K	KON	_	3	kon	_	_
12	fuhr	fahren	V	VVFIN	_|Sg|Past|Ind	11	cj	_	_
13	sich	sie	P	PRF	3|_|_	12	obja	_	_
14	mit	mit	P	APPR	Dat	12	pp	_	_
15	einer	eine	A	ART	Indef|Fem|Dat|Sg	16	det	_	_
16	Quaste	Quast	N	NN	Fem|Dat|Sg	14	pn	_	_
17	über	über	P	APPR	_	12	pp	_	_
18	Nase	Nase	N	NN	Fem|_|Sg	17	pn	1067	1067
19	und	und	K	KON	_	18	kon	_	_
20	Wangen	Wange	N	NN	Fem|_|Pl	19	cj	_	_
21	und	und	K	KON	_	12	kon	_	_
22	beschaute	beschauen	V	VVFIN	_|Sg|Past|_	21	cj	_	_
23	sein	seine	A	PPOSAT	Neut|_|Sg	24	det	2	2
24	Bild	Bild	N	NN	Neut|_|Sg	22	obja	_	_
25	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	1056	1056
2	Alte	Alt	N	NN	Masc|Nom|Sg	3	subj	1056	1056
3	gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|Dat	3	objd	_	_
5	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	_	_
6	Ruck	Ruck	N	NN	Masc|Acc|Sg	3	obja	_	_
7	und	und	K	KON	_	3	kon	_	_
8	ging	gehen	V	VVFIN	_|Sg|Past|Ind	7	cj	_	_
9	zur	zu	P	APPRART	Dat	8	objp	_	_
10	Türe	Türe	N	NN	Fem|Dat|Sg	9	pn	1834	1834
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	I	I	F	FM	_	0	root	_	_
3	geh	geh	F	FM	_	2	app	_	_
4	ins	in	P	APPRART	Acc	3	pp	_	_
5	Wirtshaus	Wirtshaus	N	NN	Neut|Acc|Sg	4	pn	1040	1040
6	.	.	$	$.	_	0	root	_	_

1	Brauchst	Brauchst	F	FM	_	0	root	_	_
2	ma	ma	F	FM	_	1	app	_	_
3	nix	nix	F	FM	_	2	app	_	_
4	herricht	herricht	F	FM	_	3	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	n	n	N	NN	_	4	app	_	_
7	zum	zu	P	APPRART	Dat	6	pp	_	_
8	Ess	Ess	N	NN	_|Dat|_	7	pn	_	_
9	'	'	$	$(	_	0	root	_	_
10	n	n	N	NN	_|Dat|_	8	app	_	_
11	...	...	$	$.	_	0	root	_	_
12	i	i	F	FM	_	0	root	_	_
13	kimm	kimm	F	FM	_	12	app	_	_
14	net	net	F	FM	_	13	app	_	_
15	hoam	hoam	F	FM	_	14	app	_	_
16	«	«	$	$(	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	2	2
20	und	und	K	KON	_	18	kon	_	_
21	schlug	schlagen	V	VVFIN	_|Sg|Past|Ind	20	cj	_	_
22	die	die	A	ART	Def|Fem|_|Sg	23	det	84	84
23	Türe	Türe	N	NN	Fem|_|Sg	21	obja	84	84
24	hinter	hinter	P	APPR	_	21	pp	_	_
25	sich	sie	P	PRF	3|_|_	24	pn	_	_
26	zu	zu	P	PTKVZ	_	21	avz	_	_
27	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	3	adv	_	_
3	is	is	V	VVFIN	3|Sg|_|_	10	s	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	2	2
5	die	die	A	ART	Def|Fem|_|Sg	7	det	1068	1068
6	ganze	ganz	A	ADJA	Pos|Fem|_|Sg|_|	7	attr	1068	1068
7	Zeit	Zeit	N	NN	Fem|_|Sg	3	obja	1068	1068
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	seufzte	seufzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	die	die	A	ART	Def|Fem|Nom|Sg	12	det	988	988
12	Schlosserin	Schlosserin	N	NN	Fem|Nom|Sg	10	subj	988	988
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ma	Ma	N	NE	_|Dat|_	14	objd	120	120
3	ko	ko	F	FM	_|Dat|_	2	app	120	120
4	mit	mit	P	APPR	Dat	3	pp	120	120
5	eahm	eahm	F	FM	_|Dat|_	4	pn	120	120
