1	He	He	N	NE	_	0	root	392	392
4	ma	ma	F	FM	_	3	app	_	_
5	nacha	nacha	F	FM	_	4	app	_	_
6	in	in	P	APPR	Dat	5	pp	_	_
7	dem	die	A	ART	Def|_|Dat|Sg	8	det	_	_
8	Höft	Höft	N	NN	_|Dat|Sg	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	wenn	wenn	K	KOUS	_	0	root	_	_
11	ma	ma	N	NE	_	0	root	140	140
12	auf	auf	P	APPR	_	11	pp	140	140
13	san	san	N	NE	_|_|_	12	pn	140	140
14	?	?	$	$.	_	0	root	385)	385)
15	«	«	$	$(	_	0	root	385)	385)
16	Schegerer	Schegerer	N	NE	_|Nom|Sg	17	subj	155	155
17	brummte	brummen	V	VVFIN	3|Sg|Past|_	0	root	_	_
18	es	es	P	PPER	3|Sg|Neut|_	17	obja	_	_
19	und	und	K	KON	_	17	kon	_	_
20	blieb	bleiben	V	VVFIN	_|Sg|Past|Ind	19	cj	_	_
21	auf	auf	P	APPR	Dat	24	pp	_	_
22	dem	die	A	ART	Def|Neut|Dat|Sg	23	det	382	382
23	Kanapee	Kanapee	N	NN	Neut|Dat|Sg	21	pn	382	382
24	sitzen	sitzen	V	VVINF	_	20	obji	_	_
25	;	;	$	$.	_	0	root	_	_
26	dabei	dabei	P	PROAV	_	27	pp	_	_
27	schaute	schauen	V	VVFIN	3|Sg|Past|_	0	root	_	_
28	er	er	P	PPER	3|Sg|Masc|Nom	27	subj	155	155
29	unverwandt	unverwandt	A	ADJD	Pos|	27	adv	_	_
30	vor	vor	P	APPR	_	27	pp	_	_
31	sich	sie	P	PRF	3|_|_	30	pn	_	_
32	hin	hin	A	APZR	_	30	part	_	_
33	auf	auf	P	APPR	Acc	27	pp	_	_
34	den	die	A	ART	Def|Masc|Acc|Sg	35	det	760	760
35	Boden	Boden	N	NN	Masc|Acc|Sg	33	pn	760	760
36	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jetzt	jetzt	A	ADV	_	3	adv	_	_
3	mach	machen	V	VVIMP	Sg	0	root	_	_
4	amal	amal	F	FM	_	3	obja	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	drängte	drängen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	Benno	Benno	N	NE	Masc|Nom|Sg	7	subj	30	30
9	,	,	$	$,	_	0	root	30	30
10	der	die	P	PRELS	Masc|Nom|Sg	13	subj	30	30
11	die	die	A	ART	Def|Masc|_|Pl	12	det	_	_
12	Schuhe	Schuh	N	NN	Masc|_|Pl	13	obja	_	_
13	einschnürte	einschnüren	V	VVFIN	3|Sg|Past|_	8	rel	_	_
14	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sonst	sonst	A	ADV	_	3	adv	_	_
3	kriagn	kriagn	V	VVFIN	_|_|_|_	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	30	30
5	wieder	wieder	A	ADV	_	3	adv	_	_
6	die	die	A	ART	Def|_|Nom|_	7	det	_	_
7	Lamentationen	Lamentationen	N	NN	_|Nom|_	3	subj	_	_
8	der	die	A	ART	Def|Fem|Gen|Sg	10	det	_	_
9	verehrten	verehrt	A	ADJA	Pos|Fem|Gen|Sg|Wk|	10	attr	_	_
10	Damenwelt	Damenwelt	N	NN	Fem|Gen|Sg	7	gmod	_	_
11	.	.	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Von	von	P	APPR	Dat	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	pn	30	30
4	aus	aus	P	PTKVZ	_	0	root	_	_
5	.	.	$	$.	_	0	root	_	_

1	Überhaupts	Überhaupt	N	NN	Neut|Gen|Sg	6	gmod	273	273
2	,	,	$	$,	_	0	root	384	384
3	mei	mei	N	NE	Neut|Gen|Sg	1	app	384	384
4	Liaba	Liaba	N	NE	Neut|Gen|Sg	3	app	384	384
5	,	,	$	$,	_	0	root	_	_
6	mi	mi	N	NE	_	0	root	_	_
7	stimmst	stimmen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	glei	glei	A	ADJD	_	7	adv	_	_
10	nimmer	nimmer	A	ADV	_	7	adv	_	_
11	raus	raus	A	ADV	_	7	adv	_	_
12	in	in	P	APPR	Acc	7	pp	_	_
13	dei	dei	N	NE	Fem|Acc|Sg	12	pn	725	725
14	schöne	schön	A	ADJA	Pos|Fem|Acc|Sg|_|	15	attr	725	725
15	Bergwelt	Bergwelt	N	NN	Fem|Acc|Sg	13	app	725	725
16	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	_	0	root	_	_
2	da	da	K	KOUS	_	0	root	_	_
3	Stadt	Stadt	N	NN	Fem|_|Sg	0	root	_	_
4	drin	drin	A	ADV	_	3	adv	_	_
5	gang	gang	A	ADJD	_	6	adv	_	_
6	i	i	A	ADJD	_	7	adv	_	_
7	halt	halt	A	ADV	_	3	adv	_	_
8	jetzt	jetzt	A	ADV	_	3	adv	_	_
9	zu	zu	P	PTKA	_	0	root	_	_
10	an	an	P	APPR	_	0	root	_	_
11	vernünftigen	vernünftig	A	ADJA	Pos|_|_|_|_|	12	attr	_	_
12	Tertl	Tertl	N	NN	_|_|_	10	pn	_	_
13	ins	in	P	APPRART	Acc	12	pp	_	_
14	Kaffee	Kaffee	N	NN	_|Acc|Sg	13	pn	_	_
15	Perzl	Perzl	N	NE	_|Acc|Sg	14	app	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	0	root	_	_
18	da	da	K	KOUS	_	0	root	_	_
19	heraus	heraus	F	FM	Fem|_|Sg	0	root	_	_
20	kon	kon	F	FM	Fem|_|Sg	19	app	_	_
21	i	i	F	FM	Fem|_|Sg	20	app	_	_
22	d	d	F	FM	Fem|_|Sg	21	app	_	_
23	'	'	$	$(	_	0	root	_	_
24	Natur	Natur	N	NN	Fem|_|Sg	22	app	_	_
25	o	o	F	FM	Fem|_|Sg	24	app	_	_
26	'	'	$	$(	_	0	root	_	_
27	schaug	schaug	F	FM	Fem|_|Sg	25	app	_	_
28	'	'	$	$(	_	0	root	_	_
29	n	n	N	NN	Fem|_|Sg	27	app	_	_
30	mit	mit	P	APPR	Dat	29	pp	_	_
31	die	die	A	ART	Def|_|_|_	32	det	_	_
32	Aug	Aug	N	NN	_|_|_	30	pn	_	_
33	'	'	$	$(	_	0	root	_	_
34	n.	n.	F	FM	_|_|_	32	app	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	schnell	schnell	A	ADJD	Pos|	3	adv	_	_
3	nimma	nimma	V	VVPP	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	dös	dös	F	FM	_	0	root	_	_
6	sag	sag	F	FM	_	5	app	_	_
7	i	i	F	FM	_	6	app	_	_
8	dir	du	P	PPER	2|Sg|_|Dat	0	root	383	383
9	...	...	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	383	383
3	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
4	granti	granti	F	FM	_|Dat|_	3	objd	_	_
5	wia	wia	F	FM	_|Dat|_	4	app	_	_
6	die	die	A	ART	Def|_|Nom|_	8	det	_	_
7	kloan	kloan	A	ADJA	_	8	attr	_	_
8	Kinda	Kinda	N	NN	_|Nom|_	3	pred	_	_
9	nach	nach	P	APPR	Dat	8	pp	_	_
10	'	'	$	$(	_	0	root	_	_
11	n	n	N	NN	Masc|Dat|Sg	9	pn	_	_
12	Schlaf	Schlaf	N	NN	Masc|Dat|Sg	11	app	_	_
13	'	'	$	$(	_	0	root	_	_
14	n	n	N	NN	Masc|Dat|Sg	12	app	_	_
15	...	...	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	I	I	C	CARD	_	5	attr	_	_
3	bi	bi	A	ADJD	Pos|	4	adv	_	_
4	scho	scho	A	ADJA	_	5	attr	_	_
5	z	z	N	NN	_|_|Pl	0	root	_	_
6	'	'	$	$(	_	0	root	_	_
7	erscht	erscht	F	FM	_|_|Pl	5	app	_	_
8	belzi	belzi	F	FM	_|_|Pl	7	app	_	_
9	g	g	F	FM	_|_|Pl	8	app	_	_
10	'	'	$	$(	_	0	root	_	_
11	wen	wer	P	PWS	_|Acc|Sg	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	mei	mei	N	NE	_	0	root	384	384
14	Liaba	Liaba	N	NE	_	13	app	384	384
15	;	;	$	$.	_	0	root	_	_
16	weil	weil	K	KOUS	_	21	konj	_	_
17	i	i	F	FM	_	21	obja	_	_
18	dös	dös	F	FM	_	17	app	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	gern	gern	A	ADV	_	21	adv	_	_
21	hab	hab	V	VAFIN	_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	Familienausflug	Familienausflug	N	NN	Masc|_|Sg	21	vok	_	_
24	mit	mit	P	APPR	Dat	23	pp	_	_
25	traulichen	traulich	A	ADJA	Pos|Neut|Dat|Pl|_|	26	attr	_	_
26	Gesprächen	Gespräch	N	NN	Neut|Dat|Pl	24	pn	_	_
27	...	...	$	$.	_	0	root	_	_
28	«	«	$	$(	_	0	root	_	_
29	Schegerer	Schegerer	N	NE	_|Nom|Sg	30	subj	155	155
30	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
31	es	es	P	PPER	3|Sg|Neut|_	30	obja	_	_
32	hochdeutsch	hochdeutsch	A	ADJD	Pos|	30	adv	_	_
33	,	,	$	$,	_	0	root	_	_
34	um	um	K	KOUI	_	39	konj	_	_
35	seinen	seine	A	PPOSAT	_|_|Sg	36	det	155	155
36	Abscheu	Abscheu	N	NN	_|_|Sg	39	obja	_	_
37	deutlich	deutlich	A	ADJD	Pos|	39	pred	_	_
38	zu	zu	P	PTKZU	_	39	part	_	_
39	machen	machen	V	VVINF	_	30	neb	_	_
40	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jetzt	jetzt	A	ADV	_	3	adv	385	385
3	san	san	N	NE	_	0	root	385	385
4	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	3	3
5	amal	amal	V	VVFIN	_	0	root	_	_
6	da	da	A	ADV	_	5	adv	_	_
7	und	und	K	KON	_	0	root	_	_
8	müass	müass	F	FM	_	7	cj	_	_
9	'	'	$	$(	_	0	root	_	_
10	n	n	F	FM	_	8	app	_	_
11	do	do	F	FM	_	10	app	_	_
12	a	a	F	FM	_	11	app	_	_
13	kloans	kloans	F	FM	_	12	app	_	_
14	bissel	bissel	F	FM	_	13	app	_	_
15	dergleichen	dergleichen	F	FM	_	14	app	_	_
16	toa	toa	F	FM	_	15	app	_	_
17	...	...	$	$.	_	0	root	_	_

1	Freuen	Freuen	N	NN	Neut|_|Sg	0	root	_	_
2	tuat	tuat	F	FM	Neut|_|Sg	1	app	_	_
3	mi	mi	F	FM	Neut|_|Sg	2	app	_	_
4	de	de	F	FM	Neut|_|Sg	3	app	_	_
5	Aufgab	Aufgab	F	FM	Neut|_|Sg	4	app	_	_
6	ja	ja	A	ADV	_	1	adv	_	_
7	ungefähr	ungefähr	A	ADJD	Pos|	8	adv	_	_
8	so	so	A	ADV	_	1	adv	_	_
9	wia	wia	F	FM	_	0	root	_	_
10	di	di	F	FM	_	9	app	_	_
11	...	...	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_
13	beschwichtigte	beschwichtigt	A	ADJA	Pos|_|_|_|_|	14	attr	30	30
14	Benno	Benno	N	NN	_|_|_	0	root	30	30
15	.	.	$	$.	_	0	root	_	_

1	Schegerer	Schegerer	N	NE	_|Nom|Sg	2	subj	155	155
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	5	obja	_	_
4	fertig	fertig	A	ADJD	Pos|	5	pred	_	_
5	gemacht	machen	V	VVPP	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	blieb	bleiben	V	VVFIN	_|Sg|Past|Ind	2	kon	_	_
8	aber	aber	A	ADV	_	7	adv	_	_
9	noch	noch	A	ADV	_	7	adv	_	_
10	am	an	P	APPRART	Dat	12	pp	_	_
11	Fenster	Fenster	N	NN	Neut|Dat|Sg	10	pn	232	232
12	stehen	stehen	V	VVINF	_	7	obji	_	_
13	und	und	K	KON	_	7	kon	_	_
14	sah	sehen	V	VVFIN	_|Sg|Past|Ind	13	cj	_	_
15	in	in	P	APPR	Acc	14	pp	_	_
16	den	die	A	ART	Def|Masc|Acc|Sg	17	det	812	812
17	Hof	Hof	N	NN	Masc|Acc|Sg	15	pn	812	812
18	hinunter	hinunter	P	PTKVZ	_	14	avz	_	_
19	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hier	hier	A	ADV	_	3	adv	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	zu	zu	P	PTKZU	_	5	part	_	_
5	sehen	sehen	V	VVINF	_	3	aux	_	_
6	eine	eine	A	ART	Indef|Fem|_|Sg	8	det	393	393
7	ländliche	ländlich	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	393	393
8	Idylle	Idyll	N	NN	Fem|_|Sg	0	root	393	393
9	«	«	$	$(	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	3	3
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	A	A	N	NN	Masc|_|_	0	root	_	_
3	Misthaufen	Misthaufen	N	NN	Masc|_|_	2	app	_	_
4	nebst	nebst	P	APPR	Dat	3	pp	_	_
5	einigen	einige	A	PIAT	Masc|Dat|_	6	det	_	_
6	Mistkratzern	Mistkratzer	N	NN	Masc|Dat|_	4	pn	_	_
7	und	und	K	KON	_	6	kon	_	_
8	dem	die	A	ART	Def|Masc|Dat|Sg	10	det	_	_
9	dazugehörigen	dazugehörigen	A	ADJA	_|Masc|Dat|Sg|_	10	attr	_	_
10	Gockel	Gockel	N	NN	Masc|Dat|Sg	7	cj	_	_
11	...	...	$	$.	_	0	root	_	_
12	Ja	ja	P	PTKANT	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	krah	krah	F	FM	_|_|_	0	root	_	_
15	no	no	F	FM	_|_|_	14	app	_	_
16	,	,	$	$,	_	0	root	_	_
17	dummer	dumm	A	ADJA	Pos|_|_|_|St|	18	attr	_	_
18	Teufl	Teufl	N	NN	_|_|_	15	app	_	_
19	!	!	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	'	'	$	$(	_	0	root	_	_
3	s	s	F	FM	_	0	root	_	_
4	d	d	F	FM	_	3	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	amal	amal	A	ADJA	_	7	attr	_	_
7	g	g	N	NN	_	4	app	_	_
8	'	'	$	$(	_	0	root	_	_
9	scheiter	scheiter	F	FM	_	7	app	_	_
10	werst	werst	F	FM	_	9	app	_	_
11	,	,	$	$,	_	0	root	_	_
12	treibst	treiben	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
13	di	di	N	NE	_	12	obja	_	_
14	nimma	nimma	N	NE	_	13	app	_	_
15	mit	mit	P	APPR	Dat	12	pp	_	_
16	die	die	A	ART	Def|Fem|_|Sg	17	det	_	_
17	Henna	Henna	N	NN	Fem|_|Sg	15	pn	_	_
18	umanand	umanand	F	FM	Fem|_|Sg	17	app	_	_
19	!	!	$	$.	_	0	root	_	_

1	Na	Na	I	ITJ	_	0	root	_	_
2	schaugst	schaugst	F	FM	_	0	root	_	_
3	aa	aa	F	FM	_	2	app	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	0	root	_	_
6	d	d	N	NN	_|_|Sg	0	root	_	_
7	'	'	$	$(	_	0	root	_	_
8	dein	deine	A	PPOSAT	_|_|Sg	9	det	_	_
9	Grüabig	Grüabig	N	NN	_|_|Sg	6	app	_	_
10	'	'	$	$(	_	0	root	_	_
11	n	n	N	NN	_	12	obja	154	154
12	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
13	...	...	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_

1	Benno	Benno	N	NE	_|Nom|Sg	2	subj	30	30
2	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jetzt	jetzt	A	ADV	_	3	adv	_	_
3	wenn	wenn	K	KOUS	_	7	konj	_	_
4	di	di	N	NE	_|_|_	7	obja	361	361
5	dei	dei	A	ADJA	_|_|_|_|_	6	attr	361	361
6	Alte	Alt	N	NN	_|_|_	4	app	361	361
7	höret	hören	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	waar	waar	F	FM	_	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	s	s	P	PPER	_	0	root	361	361
6	nacha	nacha	A	ADJD	_	0	root	_	_
7	?	?	$	$.	_	0	root	_	_

1	Glaabst	Glaabst	F	FM	_	0	root	_	_
2	d	d	F	FM	_	1	app	_	_
3	'	'	$	$(	_	0	root	_	_
4	vielleicht	vielleicht	A	ADV	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	de	de	N	NE	_	7	obja	386	386
7	erfahret	erfahren	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
8	was	was	P	PWS	Neut|_|Sg	0	root	_	_
9	Neu	neu	A	ADJD	Pos|	11	adv	_	_
10	'	'	$	$(	_	0	root	_	_
11	s	s	P	PPER	_	0	root	361	361
12	?	?	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	vielleicht	vielleicht	A	ADV	_	4	adv	_	_
4	saget	sagen	V	VVFIN	2|Pl|Pres|Subj	2	cj	_	_
5	s	s	P	PPER	_|Pl|_|Nom	4	subj	41	41
6	'	'	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	19	konj	_	_
9	s	s	P	PPER	_|Pl|_|Nom	19	subj	41	41
10	'	'	$	$(	_	0	root	_	_
11	di	di	N	NE	_	19	obja	474	474
12	aa	aa	N	NE	_	11	app	474	474
13	wieder	wieder	A	ADV	_	12	adv	_	_
14	amal	amal	A	ADV	_	15	adv	_	_
15	gern	gern	A	ADV	_	16	adv	_	_
16	krah	krah	C	CARD	_	18	attr	_	_
17	'	'	$	$(	_	0	root	_	_
18	n	n	N	NN	_|Gen|Pl	12	gmod	_	_
19	höret	hören	V	VVFIN	2|Pl|Pres|Subj	4	objc	_	_
20	...	...	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	M-hm	M-hm	N	NN	_	0	root	387	387
3	...	...	$	$.	_	0	root	_	_
4	I	I	F	FM	_	0	root	_	_
5	glaab	glaab	F	FM	_	4	app	_	_
6	allaweil	allaweil	F	FM	_	5	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	mit	mit	P	APPR	Dat	14	pp	_	_
9	dein	deine	A	PPOSAT	Masc|Nom|Sg	10	det	_	_
10	Stimmstock	Stimmstock	N	NN	Masc|Nom|Sg	8	pn	_	_
11	is	is	F	FM	Masc|Nom|Sg	10	app	_	_
12	aa	aa	F	FM	Masc|Nom|Sg	11	app	_	_
13	nimma	nimma	F	FM	Masc|Nom|Sg	12	app	_	_
14	weit	weit	A	ADJD	Pos|	0	root	_	_
15	her	her	P	PTKVZ	_	0	root	_	_
16	...	...	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_
18	Das	die	A	ART	Def|Neut|Nom|Sg	19	det	388	388
19	Gespräch	Gespräch	N	NN	Neut|Nom|Sg	20	subj	388	388
20	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
21	Schegerer	Schegerer	N	NE	_	25	obja	155	155
22	in	in	P	APPR	Acc	25	objp	_	_
23	bessere	gut	A	ADJA	Comp|Fem|Acc|Sg|_|	24	attr	_	_
24	Laune	Laune	N	NN	Fem|Acc|Sg	22	pn	_	_
25	versetzt	versetzen	V	VVPP	_	20	aux	_	_
26	,	,	$	$,	_	0	root	_	_
27	und	und	K	KON	_	20	kon	_	_
28	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	155	155
29	ging	gehen	V	VVFIN	3|Sg|Past|Ind	27	cj	_	_
30	nun	nun	A	ADV	_	29	adv	_	_
31	lachend	lachen	A	ADJD	_|<PPRES	29	adv	_	_
32	mit	mit	P	APPR	Dat	29	pp	_	_
33	seinem	seine	A	PPOSAT	Masc|Dat|Sg	34	det	155	155
34	Freunde	Freund	N	NN	Masc|Dat|Sg	32	pn	_	_
35	ins	in	P	APPRART	Acc	29	pp	_	_
36	Gastzimmer	Gastzimmer	N	NN	Neut|Acc|_	35	pn	395	395
37	hinunter	hinunter	P	PTKVZ	_	29	avz	_	_
38	.	.	$	$.	_	0	root	_	_

1	An	an	P	APPR	Dat	4	pp	_	_
2	einem	eine	A	ART	Indef|Masc|Dat|Sg	3	det	_	_
3	Tische	Tisch	N	NN	Masc|Dat|Sg	1	pn	_	_
4	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	389	389
6	Mann	Mann	N	NN	Masc|Nom|Sg	4	subj	389	389
7	hinter	hinter	P	APPR	Dat	10	pp	_	_
8	einer	eine	A	ART	Indef|Fem|Dat|Sg	9	det	_	_
9	Zeitung	Zeitung	N	NN	Fem|Dat|Sg	7	pn	_	_
10	versteckt	verstecken	V	VVPP	_	4	neb	_	_
11	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	6	konj	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	389	389
3	die	die	A	ART	Def|Fem|_|Pl	5	det	_	_
4	lärmenden	lärmend	A	ADJA	Pos|Fem|_|Pl|Wk|<PPRES	5	attr	_	_
5	Stimmen	Stimme	N	NN	Fem|_|Pl	6	obja	_	_
6	hörte	hören	V	VVFIN	3|Sg|Past|_	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	389	389
10	das	die	A	ART	Def|Neut|_|Sg	11	det	_	_
11	Blatt	Blatt	N	NN	Neut|_|Sg	8	obja	_	_
12	sinken	sinken	V	VVINF	_	8	obji	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	8	kon	_	_
15	in	in	P	APPR	Dat	18	pp	_	_
16	diesem	diese	A	PDAT	Masc|Dat|Sg	17	det	390	390
17	Augenblicke	Augenblick	N	NN	Masc|Dat|Sg	15	pn	390	390
18	rief	rufen	V	VVFIN	3|Sg|Past|Ind	14	cj	_	_
19	Schegerer	Schegerer	N	NE	_|Nom|Sg	18	subj	155	155
20	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jessas	Jessas	N	NN	_	0	root	277	277
3	...	...	$	$.	_	0	root	_	_
4	da	da	K	KOUS	_	0	root	_	_
5	Rabl	Rabl	N	NE	_	0	root	430	430
6	!	!	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	...	...	$	$.	_	0	root	_	_
3	Schorschi	Schorschi	N	NN	_	0	root	391	391
4	,	,	$	$,	_	0	root	_	_
5	wia	wia	F	FM	_	0	root	_	_
6	kimmst	kimmst	F	FM	_	5	app	_	_
7	denn	denn	K	KON	_	0	root	_	_
8	du	du	P	PPER	2|Sg|_|Nom	10	subj	_	_
9	da	da	A	ADV	_	8	adv	_	_
10	außa	außa	V	VVFIN	2|Sg|_|_	7	cj	_	_
11	?	?	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	G	G	N	NN	Neut|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	schäftshalber	schäftshalber	N	NE	Neut|_|_	2	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	aba	aba	F	FM	Neut|_|_	4	app	_	_
7	was	was	F	FM	Neut|_|_	6	app	_	_
8	teat	teat	F	FM	Neut|_|_	7	app	_	_
9	'	'	$	$(	_	0	root	_	_
10	s	s	P	PPER	_	0	root	391	391
