1	Schmettau	Schmettau	N	NE	_	0	root	483	483
4	Uhr	Uhr	N	NN	Fem|Nom|Sg	5	subj	540	540
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	Frau	Frau	N	NN	Fem|Nom|Sg	5	pred	_	_
7	von	von	P	APPR	_	6	pp	_	_
8	Hauteville	Hauteville	N	NE	_|_|_	7	pn	294	294
9	auf	auf	P	APPR	Dat	7	kon	_	_
10	freiem	frei	A	ADJA	Pos|Masc|Dat|Sg|St|	11	attr	_	_
11	Fuß	Fuß	N	NN	Masc|Dat|Sg	9	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	5	kon	_	_
14	es	es	P	PPER	3|Sg|Neut|_	25	expl	_	_
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	13	cj	_	_
16	alles	alle	P	PIS	_|_|Sg	18	adv	_	_
17	so	so	A	ADV	_	18	adv	_	_
18	arrangiert	arrangieren	V	VVPP	_	15	aux	_	_
19	,	,	$	$,	_	0	root	_	_
20	daß	daß	K	KOUS	_	25	konj	_	_
21	ihre	ihre	A	PPOSAT	Fem|Nom|Sg	22	det	540	540
22	Entlassung	Entlassung	N	NN	Fem|Nom|Sg	25	subj	_	_
23	keinen	keine	A	PIAT	Masc|Acc|Sg	24	det	_	_
24	Verdacht	Verdacht	N	NN	Masc|Acc|Sg	25	obja	_	_
25	erregt	erregen	V	VVFIN	3|Sg|Pres|Ind	15	subjc	_	_
26	.	.	$	$.	_	0	root	_	_

1	Assessor	Assessor	N	NE	_	0	root	228	228
2	:	\:	$	$.	_	0	root	_	_
3	Aber	aber	K	KON	_	0	root	_	_
4	wie	wie	P	PWAV	_	3	cj	_	_
5	...	...	$	$.	_	0	root	_	_
6	?	?	$	$.	_	0	root	_	_

1	Präsident	Präsident	N	NN	Masc|_|Sg	0	root	237	237
2	:	\:	$	$.	_	0	root	_	_
3	Details	Detail	N	NN	Neut|Nom|Pl	4	subj	541	541
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
5	Ihre	ihre	A	PPOSAT	Fem|Nom|Sg	6	det	541	541
6	Sache	Sache	N	NN	Fem|Nom|Sg	4	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Im	in	P	APPRART	Dat	0	root	_	_
2	Hause	Haus	N	NN	Neut|Dat|Sg	1	pn	1	1
3	Beermanns	Beermann	N	NE	_|Dat|Pl	2	app	1	1
4	.	.	$	$.	_	0	root	_	_

1	Behaglich	behaglich	A	ADJD	Pos|	2	adv	_	_
2	eingerichtetes	eingerichtet	A	ADJA	Pos|Neut|_|Sg|St|	3	attr	_	_
3	Herrenzimmer	Herrenzimmer	N	NN	Neut|_|Sg	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	An	an	P	APPR	Dat	0	root	_	_
2	der	die	A	ART	Def|_|_|_	4	det	543	543
3	rechten	recht	A	ADJA	Pos|Masc|Dat|Sg|Wk|	4	attr	543	543
4	Seite	Seite	N	NN	Masc|Dat|Sg	1	pn	543	543
5	Schreibtisch	Schreibtisch	N	NN	Masc|Dat|Sg	4	app	543	543
6	,	,	$	$,	_	0	root	_	_
7	der	die	P	PRELS	Masc|Nom|Sg	14	subj	543	543
8	bis	bis	P	APPR	Acc	13	pp	_	_
9	an	an	P	APPR	Acc	8	pp	_	_
10	das	die	A	ART	Def|Neut|Acc|Sg	12	det	564	564
11	große	groß	A	ADJA	Pos|Neut|Acc|Sg|Wk|	12	attr	564	564
12	Doppelfenster	Doppelfenster	N	NN	Neut|Acc|Sg	9	pn	564	564
13	gerückt	rücken	V	VVPP	_	14	aux	_	_
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	5	rel	_	_
15	.	.	$	$.	_	0	root	_	_

1	An	an	P	APPR	Dat	8	pp	544	544
2	der	die	A	ART	Def|Fem|Dat|Sg	4	det	544	544
3	rückwärtigen	rückwärtig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	4	attr	544	544
4	Wand	Wand	N	NN	Fem|Dat|Sg	1	pn	544	544
5	rechts	rechts	A	ADV	_	1	adv	544	544
6	ein	eine	A	ART	Indef|Neut|_|Sg	8	det	544	544
7	langes	lang	A	ADJA	Pos|Neut|_|Sg|St|	8	attr	544	544
8	Bücherregal	Bücherregal	N	NN	Neut|_|Sg	0	root	544	544
9	;	;	$	$.	_	0	root	_	_
10	daneben	daneben	P	PROAV	_	12	pp	_	_
11	ein	eine	A	ART	Indef|Masc|Nom|Sg	12	det	_	_
12	Lederfauteuil	Lederfauteuil	N	NN	Masc|Nom|Sg	0	root	_	_
13	.	.	$	$.	_	0	root	_	_

1	Mehr	mehr	A	ADV	_	2	adv	_	_
2	nach	nach	P	APPR	Dat	5	pp	_	_
3	links	links	A	ADV	_	2	adv	_	_
4	eine	eine	A	ART	Indef|Fem|_|Sg	5	det	_	_
5	Doppeltüre	Doppeltüre	N	NN	Fem|_|Sg	0	root	_	_
6	mit	mit	P	APPR	Dat	5	pp	_	_
7	Glasscheiben	Glasscheibe	N	NN	Fem|Dat|Pl	6	pn	_	_
8	.	.	$	$.	_	0	root	_	_

1	An	an	P	APPR	Dat	7	pp	661	661
2	der	die	A	ART	Def|Fem|Dat|Sg	4	det	661	661
3	linken	link	A	ADJA	Pos|Fem|Dat|Sg|Wk|	4	attr	661	661
4	Seite	Seite	N	NN	Fem|Dat|Sg	1	pn	661	661
5	vorne	vorne	A	ADV	_	1	adv	661	661
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	661	661
7	Rauchtisch	Rauchtisch	N	NN	Masc|Nom|Sg	0	root	661	661
8	,	,	$	$,	_	0	root	661	661
9	einige	einige	A	PIAT	Masc|Nom|Pl	11	det	661	661
10	bequeme	bequem	A	ADJA	Pos|Masc|Nom|Pl|St|	11	attr	661	661
11	Lehnstühle	Lehnstuhl	N	NN	Masc|Nom|Pl	7	app	661	661
12	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	4	adv	_	_
2	eine	eine	A	ART	Indef|Fem|_|Sg	4	det	_	_
3	einfache	einfach	A	ADJA	Pos|Fem|_|Sg|_|	4	attr	_	_
4	Türe	Türe	N	NN	Fem|_|Sg	0	root	_	_
5	.	.	$	$.	_	0	root	_	_

1	Beermann	Beermann	N	NN	Masc|Nom|Sg	2	subj	1	1
2	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	durch	durch	P	APPR	Acc	2	pp	_	_
4	die	die	A	ART	Def|Fem|Acc|Sg	5	det	546	546
5	Glastüre	Glastüre	N	NN	Fem|Acc|Sg	3	pn	546	546
6	,	,	$	$,	_	0	root	_	_
7	geht	gehen	V	VVFIN	_|_|Pres|Ind	2	kon	_	_
8	an	an	P	APPR	Acc	7	objp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	254	254
10	Schreibtisch	Schreibtisch	N	NN	Masc|Acc|Sg	8	pn	254	254
11	,	,	$	$,	_	0	root	_	_
12	sperrt	sperren	V	VVFIN	_|_|Pres|Ind	7	kon	_	_
13	eine	eine	A	ART	Indef|Fem|_|Sg	14	det	_	_
14	Schublade	Schublade	N	NN	Fem|_|Sg	12	obja	_	_
15	auf	auf	P	PTKVZ	_	12	avz	_	_
16	und	und	K	KON	_	12	kon	_	_
17	nimmt	nehmen	V	VVFIN	3|Sg|Pres|Ind	16	cj	_	_
18	das	die	A	ART	Def|Neut|_|Sg	19	det	620	620
19	Tagebuch	Tagebuch	N	NN	Neut|_|Sg	17	obja	620	620
20	der	die	A	ART	Def|_|Gen|_	21	det	294	294
21	Hauteville	Hauteville	N	NN	_|Gen|_	19	gmod	294	294
22	heraus	heraus	P	PTKVZ	_	17	avz	_	_
23	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	vorsichtig	vorsichtig	A	ADJD	Pos|	2	adv	_	_
5	um	um	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	holt	holen	V	VVFIN	_|_|Pres|Ind	2	kon	_	_
8	aus	aus	P	APPR	Dat	7	pp	_	_
9	dem	die	A	ART	Def|Neut|Dat|Sg	10	det	544	544
10	Bücherregal	Bücherregal	N	NN	Neut|Dat|Sg	8	pn	544	544
11	einen	eine	A	ART	Indef|Masc|Acc|Sg	12	det	547	547
12	Band	Band	N	NN	Masc|Acc|Sg	7	obja	547	547
13	des	die	A	ART	Def|Neut|Gen|Sg	14	det	555	555
14	Konversationslexikons	Konversationslexikon	N	NN	Neut|Gen|Sg	12	gmod	547	547
15	,	,	$	$,	_	0	root	_	_
16	schlägt	schlagen	V	VVFIN	3|Sg|Pres|Ind	7	kon	_	_
17	ihn	er	P	PPER	3|Sg|Masc|Acc	16	obja	1	1
18	auf	auf	P	PTKVZ	_	16	avz	_	_
19	und	und	K	KON	_	16	kon	_	_
20	legt	legen	V	VVFIN	_|_|Pres|Ind	19	cj	_	_
21	das	die	A	ART	Def|Neut|_|Sg	22	det	259	259
22	Tagebuch	Tagebuch	N	NN	Neut|_|Sg	20	obja	259	259
23	darauf	darauf	P	PROAV	_	20	objp	_	_
24	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	setzt	setzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	und	und	K	KON	_	2	kon	_	_
5	beginnt	beginnen	V	VVFIN	_|_|Pres|Ind	4	cj	_	_
6	zu	zu	P	PTKZU	_	7	part	_	_
7	lesen	lesen	V	VVINF	_	5	obji	_	_
8	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	diesem	diese	A	PDAT	Masc|Dat|Sg	3	det	545	545
3	Augenblicke	Augenblick	N	NN	Masc|Dat|Sg	1	pn	545	545
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	die	die	A	ART	Def|Fem|Nom|Sg	6	det	546	546
6	Glastüre	Glastüre	N	NN	Fem|Nom|Sg	4	subj	546	546
7	leise	leise	A	ADJD	Pos|	8	adv	_	_
8	geöffnet	öffnen	V	VVPP	_	4	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	4	kon	_	_
11	Frau	Frau	N	NN	Fem|Nom|Sg	13	subj	1	1
12	Beermann	Beermann	N	NE	_|Nom|Sg	11	app	1	1
13	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	10	cj	_	_
14	herein	herein	P	PTKVZ	_	13	avz	_	_
15	.	.	$	$.	_	0	root	_	_

1	Frau	Frau	N	NN	Fem|_|Sg	0	root	1	1
2	Beermann	Beermann	N	NE	_|_|Sg	1	app	1	1
3	:	\:	$	$.	_	0	root	_	_
4	Bist	Bist	N	NE	_	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	0	root	548	548
6	allein	allein	A	ADV	_	5	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	Fritz	Fritz	N	NE	Masc|Nom|Sg	5	app	_	_
9	?	?	$	$.	_	0	root	_	_

1	Beermann	Beermann	N	NN	Masc|Nom|Sg	2	subj	1	1
2	schlägt	schlagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	erschrocken	erschreckt	A	ADJD	Pos|	2	adv	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	547	547
5	Band	Band	N	NN	Masc|Acc|Sg	2	obja	547	547
6	zu	zu	P	PTKVZ	_	2	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	wodurch	wodurch	P	PWAV	_	11	pp	_	_
9	das	die	A	ART	Def|Neut|Nom|Sg	10	det	259	259
10	Tagebuch	Tagebuch	N	NN	Neut|Nom|Sg	12	subj	259	259
11	eingeklemmt	einklemmen	V	VVPP	_	12	aux	_	_
12	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	:	\:	$	$.	_	0	root	_	_
14	Aber	aber	K	KON	_	0	root	_	_
15	Lina	Lina	N	NN	Fem|_|Sg	14	cj	_	_
16	,	,	$	$,	_	0	root	_	_
17	wie	wie	P	PWAV	_	18	adv	_	_
18	kannst	können	V	VMFIN	2|Sg|Pres|Ind	15	objc	_	_
19	du	du	P	PPER	2|Sg|_|Nom	18	subj	548	548
20	mich	ich	P	PPER	1|Sg|_|Acc	22	obja	549	549
21	so	so	A	ADV	_	22	adv	_	_
22	erschrecken	erschrecken	V	VVINF	_	18	aux	_	_
23	?	?	$	$.	_	0	root	_	_

1	Frau	Frau	N	NN	Fem|_|Sg	0	root	1	1
2	Beermann	Beermann	N	NE	_|_|Sg	1	app	1	1
3	:	\:	$	$.	_	0	root	_	_
4	Ich	ich	P	PPER	1|Sg|_|Nom	5	subj	549	549
5	wußte	wußte	V	VVFIN	1|Sg|_|_	0	root	_	_
6	bis	bis	P	APPR	Acc	5	pp	_	_
7	gestern	gestern	A	ADV	_	6	adv	_	_
8	nicht	nicht	P	PTKNEG	_	5	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	13	konj	_	_
11	du	du	P	PPER	2|Sg|_|Nom	13	subj	548	548
12	nervös	nervös	A	ADJD	Pos|	13	pred	_	_
13	bist	sein	V	VAFIN	2|Sg|Pres|Ind	5	objc	_	_
14	.	.	$	$.	_	0	root	_	_

1	Beermann	Beermann	N	NN	Masc|_|_	0	root	1	1
2	:	\:	$	$.	_	0	root	_	_
3	Ach	ach	I	ITJ	_	0	root	_	_
4	was	was	P	PIS	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	nervös	nervös	A	ADJD	Pos|	0	root	_	_
7	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	549	549
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	überarbeitet	überarbeiten	V	VVPP	_	2	aux	_	_
4	,	,	$	$,	_	0	root	_	_
5	aufgeregt	aufregen	V	VVPP	_	3	kon	_	_
6	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	8	konj	_	_
2	man	man	P	PIS	_|Nom|Sg	8	subj	_	_
3	jeden	jede	A	PIDAT	_|_|Sg	4	det	_	_
4	Tag	Tag	N	NN	_|_|Sg	7	zeit	_	_
5	eine	eine	A	ART	Indef|Fem|_|Sg	6	det	_	_
6	Rede	Rede	N	NN	Fem|_|Sg	7	obja	_	_
7	vorbereiten	vorbereiten	V	VVINF	_	8	aux	_	_
8	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
9	!	!	$	$.	_	0	root	_	_

1	Frau	Frau	N	NN	Fem|_|Sg	0	root	1	1
2	Beermann	Beermann	N	NE	_|_|Sg	1	app	1	1
3	:	\:	$	$.	_	0	root	_	_
4	Und	und	K	KON	_	0	root	_	_
5	darin	darin	P	PROAV	_	6	pp	_	_
6	habe	haben	V	VAFIN	1|Sg|Pres|_	4	cj	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	549	549
8	dich	du	P	PPER	2|Sg|_|Acc	9	obja	550	550
9	gestört	stören	V	VVPP	_	6	aux	_	_
10	?	?	$	$.	_	0	root	_	_

1	Entschuldige	entschuldigen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Beermann	Beermann	N	NN	Masc|_|_	0	root	1	1
2	:	\:	$	$.	_	0	root	_	_
3	Was	was	P	PWS	Neut|_|Sg	4	obja	_	_
4	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	4	subj	550	550
6	eigentlich	eigentlich	A	ADV	_	4	adv	_	_
7	?	?	$	$.	_	0	root	_	_

1	Frau	Frau	N	NN	Fem|_|Sg	0	root	1	1
2	Beermann	Beermann	N	NE	_|_|Sg	1	app	1	1
3	:	\:	$	$.	_	0	root	_	_
4	Dich	Dich	N	NN	_	8	obja	_	_
5	um	um	P	APPR	Acc	8	objp	_	_
6	eine	eine	A	ART	Indef|Fem|Acc|Sg	7	det	_	_
7	Unterredung	Unterredung	N	NN	Fem|Acc|Sg	5	pn	_	_
8	bitten	bitten	V	VVINF	_	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	Beermann	Beermann	N	NN	Masc|_|_	0	root	1	1
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
5	doch	doch	A	ADV	_	8	adv	_	_
6	nicht	nicht	P	PTKNEG	_	8	adv	_	_
7	jetzt	jetzt	A	ADV	_	8	adv	_	_
8	sein	sein	V	VAINF	_	4	aux	_	_
9	!	!	$	$.	_	0	root	_	_

1	Morgen	morgen	A	ADV	_	0	root	_	_
2	oder	oder	K	KON	_	0	root	_	_
3	...	...	$	$.	_	0	root	_	_

1	Effie	Effie	N	NE	_|Nom|Sg	2	subj	16	16
2	öffnet	öffnen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|_|Sg	4	det	546	546
4	Glastüre	Glastüre	N	NN	Fem|_|Sg	2	obja	546	546
5	und	und	K	KON	_	2	kon	_	_
6	ruft	rufen	V	VVFIN	_|_|Pres|Ind	5	cj	_	_
7	:	\:	$	$.	_	0	root	_	_
8	Papa	Papa	N	NN	Masc|_|Sg	10	vok	551	551
9	,	,	$	$,	_	0	root	_	_
10	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
11	du	du	P	PPER	2|Sg|_|Nom	10	subj	_	_
12	vergessen	vergessen	V	VVINF	_	0	root	_	_
13	?	?	$	$.	_	0	root	_	_

1	Beermann	Beermann	N	NN	Masc|_|_	0	root	1	1
2	ungeduldig	ungeduldig	A	ADJD	Pos|	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Auf	auf	P	APPR	Acc	0	root	_	_
5	was	was	P	PWS	Neut|Acc|Sg	4	pn	_	_
6	denn	denn	A	ADV	_	5	adv	_	_
7	?	?	$	$.	_	0	root	_	_

1	Effie	Effie	N	NE	_|Nom|Sg	2	subj	16	16
2	tritt	treten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	ein	ein	P	PTKVZ	_	2	avz	_	_
4	:	\:	$	$.	_	0	root	_	_
5	Wir	wir	P	PPER	1|Pl|_|Nom	6	subj	_	_
6	wollten	wollen	V	VMFIN	1|Pl|Past|_	0	root	_	_
7	doch	doch	A	ADV	_	13	adv	_	_
8	heute	heute	A	ADV	_	13	adv	_	_
9	zu	zu	P	APPR	Dat	13	objp	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	12	det	552	552
11	indischen	indisch	A	ADJA	Pos|Fem|Dat|Sg|Wk|	12	attr	552	552
12	Tänzerin	Tänzerin	N	NN	Fem|Dat|Sg	9	pn	552	552
13	gehen	gehen	V	VVINF	_	6	aux	_	_
14	?	?	$	$.	_	0	root	_	_

1	Beermann	Beermann	N	NN	Masc|_|_	0	root	1	1
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	heute	heute	A	ADV	_	4	adv	_	_
6	nicht	nicht	P	PTKNEG	_	4	adv	_	_
7	.	.	$	$.	_	0	root	_	_

1	Effie	Effie	N	NE	_	0	root	16	16
2	:	\:	$	$.	_	0	root	_	_
3	Ach	ach	I	ITJ	_	0	root	_	_
4	Gott	Gott	N	NN	Masc|_|Sg	0	root	331	331
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	614	614
8	hab	hab	V	VAFIN	1|Sg|_|_	6	cj	_	_
9	'	'	$	$(	_	0	root	_	_
10	mich	ich	P	PPER	1|Sg|_|Acc	12	obja	_	_
11	so	so	A	ADV	_	12	adv	_	_
12	gefreut	freuen	V	VVPP	_	8	aux	_	_
13	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	16	16
2	tritt	treten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	zum	zu	P	APPRART	Dat	2	pp	_	_
4	letztenmal	letztenmal	N	NN	_|Dat|_	3	pn	_	_
5	auf	auf	P	PTKVZ	_	2	avz	_	_
6	.	.	$	$.	_	0	root	_	_

1	Beermann	Beermann	N	NN	Masc|_|_	0	root	1	1
2	:	\:	$	$.	_	0	root	_	_
3	Dann	dann	A	ADV	_	4	adv	_	_
4	warten	warten	V	VVFIN	1|Pl|Pres|_	0	root	_	_
5	wir	wir	P	PPER	1|Pl|_|Nom	4	subj	553	553
6	eben	eben	A	ADV	_	4	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	bis	bis	K	KOUS	_	11	konj	_	_
9	die	die	A	ART	Def|_|_|_	10	det	_	_
10	nächste	nah	A	ADJA	_|_|_	11	subj	_	_
11	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	4	neb	_	_
12	.	.	$	$.	_	0	root	_	_

1	Effie	Effie	N	NE	_	0	root	16	16
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	554	554
4	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
5	nicht	nicht	P	PTKNEG	_	4	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	warum	warum	P	PWAV	_	12	adv	_	_
8	gerade	gerade	A	ADV	_	9	adv	_	_
9	wir	wir	P	PPER	1|Pl|_|Nom	12	subj	553	553
10	so	so	A	ADV	_	11	adv	_	_
11	schwerfällig	schwerfällig	A	ADJD	Pos|	12	pred	_	_
12	sind	sein	V	VAFIN	1|Pl|Pres|Ind	4	objc	_	_
13	.	.	$	$.	_	0	root	_	_

1	Beermann	Beermann	N	NN	Masc|_|_	0	root	1	1
2	:	\:	$	$.	_	0	root	_	_
3	Weil	weil	K	KOUS	_	10	konj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	554	554
5	noch	noch	A	ADV	_	6	adv	_	_
6	andere	andere	A	ADJA	_|Fem|_|Pl|_	7	attr	_	_
7	Sachen	Sache	N	NN	Fem|_|Pl	9	obja	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	tun	tun	V	VVINF	_	10	aux	_	_
10	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	als	als	K	KOKOM	_	16	kom	_	_
13	so	so	A	ADV	_	15	adv	_	_
14	ein	eine	A	ART	Indef|Neut|_|Sg	15	det	_	_
15	Gehüpfe	Gehüpfe	N	NN	Neut|_|Sg	12	cj	_	_
16	ansehen	ansehen	V	VVINF	_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_

1	Effie	Effie	N	NE	_	0	root	16	16
2	lustig	lustig	A	ADJD	Pos|	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Huh	Huh	N	NE	_	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	bös	bös	A	ADJD	Pos|	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Beermann	Beermann	N	NN	Masc|_|_	0	root	1	1
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	614	614
4	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
