1	Batz	Batz	N	NE	Masc|_|Sg	7	vok	455	455
21	.	.	$	$.	_	0	root	_	_

1	Zwei	zwei	C	CARD	_	2	subj	_	_
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
3	in	in	P	APPR	Dat	6	objp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	_	_
5	Besoffenheit	Besoffenheit	N	NN	Fem|Dat|Sg	3	pn	_	_
6	liegen	liegen	V	VVINF	_	7	obji	_	_
7	geblieben	bleiben	V	VVPP	_	2	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	die	die	P	PDS	Fem|Nom|Sg	10	subj	_	_
10	hat	haben	V	VAFIN	3|Sg|Pres|Ind	2	kon	_	_
11	dann	dann	A	ADV	_	15	adv	_	_
12	hinterher	hinterher	A	ADV	_	15	adv	_	_
13	die	die	A	ART	Def|Fem|_|Sg	14	det	400	400
14	Polizei	Polizei	N	NN	Fem|_|Sg	15	obja	400	400
15	heimgenommen	heimnehmen	V	VVPP	_	10	aux	_	_
16	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Viktoria	Viktoria	N	NE	_	0	root	_	_
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	schreit	schreien	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	375	375
7	Messerschmied	Messerschmied	N	NN	Masc|Nom|Sg	5	subj	375	375
8	Simon	Simon	N	NE	_|Nom|Sg	7	app	375	375
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	wir	wir	P	PPER	1|Pl|_|Nom	12	subj	493	493
12	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
13	sie	sie	P	PPER	3|_|_|_	12	obja	400	400
14	!	!	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	schnaufen	schnaufen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	493	493
4	aus	aus	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	dann	dann	A	ADV	_	8	adv	_	_
8	wollen	wollen	V	VMFIN	1|Pl|Pres|_	6	cj	_	_
9	wir	wir	P	PPER	1|Pl|_|Nom	8	subj	493	493
10	unsern	unsre	A	PPOSAT	Masc|Dat|Pl	11	det	493	493
11	Brüdern	Bruder	N	NN	Masc|Dat|Pl	14	objd	_	_
12	zu	zu	P	APPR	Dat	14	objp	_	_
13	Hilfe	Hilfe	N	NN	Fem|Dat|Sg	12	pn	_	_
14	kommen	kommen	V	VVINF	_	8	aux	_	_
15	.	.	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	seinen	seine	A	PPOSAT	Masc|_|Sg	4	det	1	1
4	Tschako	Tschako	N	NN	Masc|_|Sg	5	obja	_	_
5	abgenommen	abnehmen	V	VVPP	_	2	aux	_	_
6	und	und	K	KON	_	5	kon	_	_
7	auf	auf	P	APPR	Dat	11	pp	_	_
8	dem	die	A	ART	Def|Neut|Dat|Sg	9	det	1289	1289
9	Schlachtfeld	Schlachtfeld	N	NN	Neut|Dat|Sg	7	pn	1289	1289
10	Umschau	Umschau	N	NE	Neut|Dat|Sg	9	app	1289	1289
11	gehalten	halten	V	VVPP	_	6	cj	_	_
12	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	419	419
2	Platz	Platz	N	NN	Masc|Nom|Sg	3	subj	419	419
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	grauslich	grauslich	A	ADJD	_	5	pred	_	_
5	ausgesehen	aussehen	V	VVPP	_	3	aux	_	_
6	;	;	$	$.	_	0	root	_	_
7	Maßkrüge	Maßkrug	N	NN	Masc|Nom|Pl	10	subj	_	_
8	und	und	K	KON	_	7	kon	_	_
9	Scherben	Scherbe	N	NN	_|Nom|_	8	cj	_	_
10	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
11	herumgelegen	herumliegen	V	VVPP	_	10	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	Bierlachen	Bierlache	N	NN	Fem|Nom|Pl	14	subj	_	_
14	sind	sein	V	VAFIN	3|Pl|Pres|Ind	10	kon	_	_
15	überall	überall	A	ADV	_	16	adv	_	_
16	gewesen	sein	V	VAPP	_	14	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	14	kon	_	_
19	auf	auf	P	APPR	Dat	24	pp	_	_
20	dem	die	A	ART	Def|Neut|Dat|Sg	21	det	968	968
21	Pflaster	Pflaster	N	NN	Neut|Dat|Sg	19	pn	968	968
22	unterm	unter	P	APPRART	Dat	21	pp	968	968
23	Rathaus	Rathaus	N	NN	Neut|Dat|Sg	22	pn	485	485
24	war	sein	V	VAFIN	3|Sg|Past|Ind	18	cj	_	_
25	alles	alle	P	PIS	Neut|Nom|Sg	24	subj	_	_
26	voll	voll	A	ADJD	Pos|	24	adv	_	_
27	Glasscherben	Glasscherbe	N	NN	_|Nom|_	24	pred	_	_
28	und	und	K	KON	_	27	kon	_	_
29	Papier	Papier	N	NN	Neut|Nom|Sg	28	cj	943	943
30	und	und	K	KON	_	29	kon	_	_
31	Aktendeckeln	Aktendeckel	N	NN	Neut|Nom|Sg	30	cj	_	_
32	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
3	aber	aber	A	ADV	_	9	adv	_	_
4	in	in	P	APPR	Dat	9	pp	_	_
5	allen	alle	A	PIDAT	_|Dat|Pl	6	det	_	_
6	Häusern	Haus	N	NN	_|Dat|Pl	4	pn	_	_
7	die	die	A	ART	Def|Masc|Nom|Pl	8	det	494	494
8	Fensterläden	Fensterladen	N	NN	Masc|Nom|Pl	2	subj	494	494
9	zurückgeschlagen	zurückschlagen	V	VVPP	_	10	aux	_	_
10	worden	werden	V	VAPP	_	2	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	2	kon	_	_
13	die	die	A	ART	Def|_|Nom|Pl	14	det	94	94
14	Leute	Leute	N	NN	_|Nom|Pl	15	subj	94	94
15	haben	haben	V	VAFIN	3|Pl|Pres|_	12	cj	_	_
16	herausgeschaut	herausschauen	V	VVPP	_	15	aux	_	_
17	und	und	K	KON	_	16	kon	_	_
18	dem	die	A	ART	Def|_|Dat|Sg	19	det	375	375
19	Simon	Simon	N	NE	_|Dat|Sg	22	objd	375	375
20	ein	eine	A	ART	Indef|_|_|Sg	21	det	_	_
21	Bravo	Bravo	N	NN	_|_|Sg	22	obja	_	_
22	zugerufen	zurufen	V	VVPP	_	17	cj	_	_
23	.	.	$	$.	_	0	root	_	_

1	Den	die	A	ART	Def|Masc|Acc|Sg	3	det	_	_
2	tapferen	tapfer	A	ADJA	Pos|Masc|Acc|Sg|_|	3	attr	_	_
3	Messerschmied	Messerschmied	N	NN	Masc|Acc|Sg	6	obja	_	_
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	gefreut	freuen	V	VVPP	_	4	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	4	kon	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	1	1
10	hat	haben	V	VAFIN	3|Sg|Pres|Ind	8	cj	_	_
11	militärisch	militärisch	A	ADJD	Pos|	15	adv	_	_
12	mit	mit	P	APPR	Dat	15	pp	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	14	det	425	425
14	Säbel	Säbel	N	NN	Masc|Dat|Sg	12	pn	425	425
15	gedankt	danken	V	VVPP	_	10	aux	_	_
16	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	2	par	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	1	1
7	gesagt	sagen	V	VVPP	_	5	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	das	die	P	PDS	Neut|Nom|Sg	11	subj	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	cj	_	_
12	nur	nur	A	ADV	_	11	adv	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	15	det	_	_
14	erste	erst	A	ADJA	_|Masc|Nom|Sg|Wk|	15	attr	_	_
15	Sieg	Sieg	N	NN	Masc|Nom|Sg	11	pred	_	_
16	;	;	$	$.	_	0	root	_	_
17	der	die	A	ART	Def|_|_|_	18	det	_	_
18	schwerere	schwer	A	ADJA	Masc|Nom|Sg	19	subj	_	_
19	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
20	noch	noch	A	ADV	_	19	adv	_	_
21	.	.	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_

1	Indem	Indem	P	PROAV	_	2	pp	_	_
2	pfeift	pfeifen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
4	Rappenbräu-Martl	Rappenbräu-Martl	N	NN	Masc|Nom|Sg	2	subj	_	_
5	und	und	K	KON	_	2	kon	_	_
6	winkt	winken	V	VVFIN	_|_|Pres|Ind	5	cj	_	_
7	dem	die	A	ART	Def|_|Dat|Sg	0	root	_	_
8	Heiß	heiß	A	ADJD	Pos|	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	3	obja	_	_
3	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Da	da	A	ADV	_	3	adv	_	_
3	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	s	s	P	PPER	_|_|_|Nom	3	subj	1	1
6	her	her	P	PTKVZ	_	3	avz	_	_
7	.	.	$	$.	_	0	root	_	_

1	Nehmt	nehmen	V	VVIMP	Pl	0	root	_	_
2	'	'	$	$(	_	0	root	_	_
3	s	s	P	PPER	_	1	obja	_	_
4	euern	eure	A	PPOSAT	Masc|Dat|Sg	5	det	2	2
5	Major	Major	N	NN	Masc|Dat|Sg	1	objd	445	445
6	mit	mit	P	APPR	Dat	0	root	_	_
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	für	für	P	APPR	Acc	2	pp	_	_
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	5	det	445	445
5	Major	Major	N	NN	Masc|Acc|Sg	3	pn	445	445
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	fragt	fragen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	375	375
10	Simon	Simon	N	NE	Masc|Nom|Sg	8	subj	375	375
11	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	erzählt	erzählen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	1	1
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	495	495
5	Martl	Martl	N	NN	Masc|Nom|Sg	2	subj	495	495
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	22	konj	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	374	374
9	Herr	Herr	N	NN	Masc|Nom|Sg	22	subj	374	374
10	Major	Major	N	NE	_|Nom|Sg	9	app	374	374
11	Schmitt	Schmitt	N	NE	_|Nom|Sg	10	app	374	374
12	sich	sie	P	PRF	3|_|_	16	obja	_	_
13	in	in	P	APPR	_	16	objp	_	_
14	den	die	A	ART	Def|_|_|_	15	det	_	_
15	Rappenbräu	Rappenbräu	N	NN	_|_|_	13	pn	_	_
16	geschlichen	schleichen	V	VVPP	_	22	aux	_	_
17	und	und	K	KON	_	16	kon	_	_
18	überhaupt	überhaupt	A	ADV	_	19	adv	_	_
19	kein	keine	A	PIAT	Neut|_|Sg	20	det	_	_
20	Gros	Gros	N	NN	Neut|_|Sg	21	obja	_	_
21	gesammelt	sammeln	V	VVPP	_	17	cj	_	_
22	hat	haben	V	VAFIN	3|Sg|Pres|Ind	2	objc	_	_
23	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
4	noch	noch	A	ADV	_	2	adv	_	_
5	drin	drin	A	ADV	_	2	adv	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	375	375
10	Simon	Simon	N	NE	Masc|Nom|Sg	8	subj	375	375
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	wie	wie	P	PWAV	_	2	cj	_	_
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	lacht	lachen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	495	495
8	Martl	Martl	N	NN	Masc|Nom|Sg	6	subj	495	495
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Schaut	schauen	V	VVIMP	Pl	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_|_|_|Dat	2	objd	495	495
5	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	1	1
6	nur	nur	A	ADV	_	2	adv	_	_
7	an	an	P	PTKVZ	_	2	avz	_	_
8	.	.	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	2	2
2	gehen	gehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	durch	durch	P	APPR	Acc	2	objp	_	_
4	die	die	A	ART	Def|Fem|Acc|Sg	5	det	_	_
5	Gaststube	Gaststube	N	NN	Fem|Acc|Sg	3	pn	_	_
6	in	in	P	APPR	Acc	5	pp	_	_
7	die	die	A	ART	Def|Fem|Acc|Sg	8	det	430	430
8	Küche	Küche	N	NN	Fem|Acc|Sg	6	pn	430	430
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	2	kon	_	_
11	da	da	A	ADV	_	12	adv	_	_
12	macht	machen	V	VVFIN	3|Sg|Pres|Ind	10	cj	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	496	496
14	Hausknecht	Hausknecht	N	NN	Masc|Nom|Sg	12	subj	496	496
15	die	die	A	ART	Def|Fem|_|Sg	16	det	_	_
16	Speistür	Speistür	N	NN	Fem|_|Sg	12	obja	_	_
17	auf	auf	P	PTKVZ	_	12	avz	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	12	kon	_	_
20	richtig	richtig	A	ADJD	Pos|	21	adv	_	_
21	sitzt	sitzen	V	VVFIN	3|Sg|Pres|Ind	19	cj	_	_
22	der	die	A	ART	Def|Masc|Nom|Sg	23	det	374	374
23	Herr	Herr	N	NN	Masc|Nom|Sg	21	subj	374	374
24	Major	Major	N	NE	_|Nom|Sg	23	app	374	374
25	Schmitt	Schmitt	N	NE	_|Nom|Sg	24	app	374	374
26	neben	neben	P	APPR	Dat	21	pp	_	_
27	dem	die	A	ART	Def|Masc|Dat|Sg	28	det	427	427
28	Polizeidiener	Polizeidiener	N	NN	Masc|Dat|Sg	26	pn	427	427
29	Kraus	Kraus	N	NE	_|Dat|Sg	28	app	427	427
30	auf	auf	P	APPR	Dat	21	pp	_	_
31	dem	die	A	ART	Def|Masc|Dat|Sg	32	det	_	_
32	Anrichttisch	Anrichttisch	N	NN	Masc|Dat|Sg	30	pn	_	_
33	,	,	$	$,	_	0	root	_	_
34	und	und	K	KON	_	21	kon	_	_
35	sie	sie	P	PPER	3|Pl|_|Nom	36	subj	2	2
36	schauen	schauen	V	VVFIN	3|Pl|Pres|_	34	cj	_	_
37	grasgrün	grasgrün	A	ADJD	Pos|	36	adv	_	_
38	vor	vor	P	APPR	_	36	pp	_	_
39	lauter	lauter	A	PIAT	Fem|_|Sg	40	det	_	_
40	Angst	Angst	N	NN	Fem|_|Sg	38	pn	_	_
41	,	,	$	$,	_	0	root	_	_
42	wer	wer	P	PWS	_|Nom|Sg	44	subj	_	_
43	denn	denn	A	ADV	_	44	adv	_	_
44	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	36	objc	_	_
45	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ah	Ah	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	5	subj	_	_
5	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
6	'	'	$	$(	_	0	root	_	_
7	s	s	P	PPER	_|_|_|Nom	5	pred	2	2
8	,	,	$	$,	_	0	root	_	_
9	Simmerl	Simmerl	N	NE	_|Nom|_	7	app	_	_
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_
12	ruft	rufen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	461	461
14	Major	Major	N	NN	Masc|Nom|Sg	12	subj	461	461
15	,	,	$	$,	_	0	root	_	_
16	»	»	$	$(	_	0	root	_	_
17	Gott	Gott	N	NN	Masc|Nom|Sg	18	subj	367	367
18	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
19	Dank	Dank	N	NN	Masc|Nom|Sg	18	pred	958	958
20	,	,	$	$,	_	0	root	_	_
21	i	i	F	FM	_	0	root	_	_
22	hab	hab	F	FM	_	21	app	_	_
23	schon	schon	A	ADV	_	0	root	_	_
24	was	was	P	PWS	Neut|_|Sg	0	root	_	_
25	anderes	andere	P	PIS	Neut|_|Sg	24	app	_	_
26	geglaubt	glauben	V	VVPP	_	0	root	_	_
27	.	.	$	$.	_	0	root	_	_
28	«	«	$	$(	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	375	375
3	Simon	Simon	N	NE	Masc|Nom|Sg	4	subj	375	375
4	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
5	kein	keine	A	PIAT	Neut|_|Sg	6	det	_	_
6	Wort	Wort	N	NN	Neut|_|Sg	4	obja	_	_
7	;	;	$	$.	_	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	375	375
9	macht	machen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	einen	eine	A	ART	Indef|Masc|Acc|Sg	11	det	_	_
11	Schritt	Schritt	N	NN	Masc|Acc|Sg	9	obja	_	_
12	vorwärts	vorwärts	A	ADV	_	9	adv	_	_
13	und	und	K	KON	_	0	root	_	_
14	haut	hauen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
15	seinem	seine	A	PPOSAT	_|Dat|Sg	16	det	375	375
16	Vorgesetzten	Vorgesetzte	N	NN	_|Dat|Sg	14	objd	_	_
17	eine	eine	A	ART	Indef|Fem|_|Sg	18	det	_	_
18	Watschen	Watsche	N	NN	Fem|_|Sg	14	obja	_	_
19	herunter	herunter	A	ADV	_	14	adv	_	_
20	,	,	$	$,	_	0	root	_	_
21	daß	daß	K	KOUS	_	27	konj	_	_
22	er	er	P	PPER	3|Sg|Masc|Nom	27	subj	375	375
23	unter	unter	P	APPR	Acc	26	objp	_	_
24	den	die	A	ART	Def|Masc|Acc|Sg	25	det	368	368
25	Tisch	Tisch	N	NN	Masc|Acc|Sg	23	pn	368	368
26	gefallen	fallen	V	VVPP	_	27	aux	_	_
27	ist	sein	V	VAFIN	3|Sg|Pres|Ind	14	subjc	_	_
28	und	und	K	KON	_	27	kon	_	_
29	sozusagen	sozusagen	A	ADV	_	30	adv	_	_
30	betäubt	betäuben	V	VVPP	_	31	aux	_	_
31	war	sein	V	VAFIN	_|Sg|Past|Ind	28	cj	_	_
32	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	_	_
4	Geschichte	Geschichte	N	NN	Fem|Nom|Sg	2	pred	_	_
5	von	von	P	APPR	_	4	pp	_	_
6	unserer	unsre	A	PPOSAT	Fem|_|Sg	7	det	497	497
7	Dürnbucher	Dürnbucher	N	NN	Fem|_|Sg	5	pn	497	497
8	Revolution	Revolution	N	NN	Fem|_|Sg	7	app	497	497
9	,	,	$	$,	_	0	root	_	_
10	welche	welche	P	PRELS	Fem|_|Sg	17	obja	497	497
11	sich	sie	P	PRF	3|_|Dat	17	objd	_	_
12	Anno	Anno	N	NE	_|Nom|Sg	18	subj	370	370
13	67	67	C	CARD	_	12	app	370	370
14	durch	durch	P	APPR	Acc	13	pp	370	370
15	den	die	A	ART	Def|Masc|Acc|Sg	16	det	370	370
16	Preußenhaß	Preußenhaß	N	NN	Masc|Acc|Sg	14	pn	370	370
17	zugetragen	zutragen	V	VVPP	_	18	aux	_	_
18	hat	haben	V	VAFIN	3|Sg|Pres|Ind	8	rel	_	_
19	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	498	498
2	Bauernburschen	Bauernbursche	N	NN	_|Nom|Pl	3	subj	498	498
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
4	hinterher	hinterher	A	ADV	_	6	adv	_	_
5	bös	bös	A	ADJD	Pos|	6	adv	_	_
6	eingegangen	eingehen	V	VVPP	_	3	aux	_	_
7	;	;	$	$.	_	0	root	_	_
8	die	die	A	ART	Def|Masc|Nom|Pl	9	det	_	_
9	Rädelsführer	Rädelsführer	N	NN	Masc|Nom|Pl	10	subj	_	_
10	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
11	ins	in	P	APPRART	Acc	13	objp	_	_
12	Zuchthaus	Zuchthaus	N	NN	Neut|Acc|Sg	11	pn	628	628
13	gekommen	kommen	V	VVPP	_	10	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	Viele	viele	P	PIS	_|Nom|Pl	2	subj	_	_
2	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
3	als	als	K	KOKOM	_	10	kom	_	_
4	Soldaten	Soldat	N	NN	_|_|_	3	cj	_	_
5	zweiter	zweit	A	ADJA	_|Fem|Gen|Sg|St|	6	attr	_	_
6	Klasse	Klasse	N	NN	Fem|Gen|Sg	4	gmod	_	_
7	in	in	P	APPR	_	10	objp	_	_
8	Ingolstadt	Ingolstadt	N	NE	Masc|_|Sg	7	pn	_	_
9	Sand	Sand	N	NN	Masc|_|Sg	8	app	_	_
10	schieben	schieben	V	VVINF	_	11	aux	_	_
11	müssen	müssen	V	VMINF	_	2	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	2	kon	_	_
14	die	die	A	ART	Def|_|_|_	15	part	_	_
15	anderen	andere	P	PIS	_|Nom|Pl	16	subj	_	_
16	haben	haben	V	VAFIN	3|Pl|Pres|_	13	cj	_	_
17	in	in	P	APPR	Dat	25	pp	_	_
18	den	die	A	ART	Def|Fem|Dat|Pl	19	det	_	_
19	Kasernen	Kaserne	N	NN	Fem|Dat|Pl	17	pn	_	_
20	auch	auch	A	ADV	_	25	adv	_	_
