1	Wos	Wos	N	NE	_	2	obja	686	686
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	G	G	N	NN	Neut|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	sehg	sehg	F	FM	Neut|_|_	2	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	n	n	N	NN	Neut|_|_	4	app	_	_
7	!	!	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	0	root	_	_
2	red	red	F	FM	_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	t	t	N	NN	_	2	app	_	_
5	denn	denn	A	ADV	_	4	adv	_	_
6	von	von	P	APPR	_	4	pp	_	_
7	g	g	N	NN	_|_|_	6	pn	_	_
8	'	'	$	$(	_	0	root	_	_
9	sehg	sehg	F	FM	_|_|_	7	app	_	_
10	'	'	$	$(	_	0	root	_	_
11	n	n	N	NN	_|_|_	9	app	_	_
12	?	?	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wann	Wann	P	PWAV	_	4	adv	_	_
3	du	du	P	PPER	2|Sg|_|Nom	4	subj	166	166
4	sagst	sagen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	an	an	P	APPR	_	4	pp	_	_
7	Rat	Rat	N	NN	Masc|_|Sg	6	pn	743	743
8	...	...	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	G	G	N	NN	Neut|Nom|Sg	4	subj	_	_
3	'	'	$	$(	_	0	root	_	_
4	schrieb	schreiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	n	n	N	NN	_	4	obja	28	28
7	!	!	$	$.	_	0	root	_	_

1	Net	Net	N	NE	_|Nom|Sg	14	subj	165	165
2	g	g	N	NN	_|Nom|Sg	1	app	165	165
3	'	'	$	$(	_	0	root	165	165
4	sehg	sehg	F	FM	_|Nom|Sg	2	app	165	165
5	'	'	$	$(	_	0	root	165	165
6	n	n	F	FM	_|Nom|Sg	4	app	165	165
7	hab	hab	F	FM	_|Nom|Sg	6	app	165	165
8	i	i	F	FM	_|Nom|Sg	7	app	165	165
9	di	di	N	NE	_|Nom|Sg	8	app	165	165
10	,	,	$	$,	_	0	root	_	_
11	aba	aba	F	FM	_|Nom|Sg	9	app	_	_
12	g	g	F	FM	_|Nom|Sg	11	app	_	_
13	'	'	$	$(	_	0	root	_	_
14	schrieb	schreiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
15	'	'	$	$(	_	0	root	_	_
16	n	n	F	FM	_	14	obja	_	_
17	hab	hab	F	FM	_	16	app	_	_
18	a	a	F	FM	_	17	app	_	_
19	da	da	A	ADV	_	14	adv	_	_
20	!	!	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	0	root	166	166
3	-	-	$	$(	_	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	0	root	0	0
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	I	I	C	CARD	_	0	root	_	_
3	dir	du	P	PPER	2|Sg|_|Dat	0	root	166	166
4	,	,	$	$,	_	0	root	_	_
5	jawoi	jawoi	F	FM	_|Dat|Sg	3	app	_	_
6	!	!	$	$.	_	0	root	_	_

1	Hätt	Hätt	N	NE	_	0	root	_	_
2	'	'	$	$(	_	0	root	_	_
3	st	st	N	NE	_	1	app	_	_
4	du	du	P	PPER	2|Sg|_|Nom	6	subj	166	166
5	vielleicht	vielleicht	A	ADV	_	4	adv	_	_
6	mei	mei	V	VVFIN	2|Sg|_|_	0	root	_	_
7	Kart	Kart	N	NE	_	6	obja	_	_
8	'	'	$	$(	_	0	root	_	_
9	n	n	F	FM	_	7	app	_	_
10	net	net	F	FM	_	9	app	_	_
11	kriagt	kriagt	F	FM	_	10	app	_	_
12	...	...	$	$.	_	0	root	_	_
13	?	?	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Auf	auf	P	APPR	_	0	root	_	_
3	da	da	K	KOUS	_	5	konj	_	_
4	Stell	Stell	N	NE	_|Nom|Sg	5	subj	_	_
5	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
6	i	i	A	ADJD	_	5	adv	_	_
7	tot	tot	A	ADJD	_	5	adv	_	_
8	umfall	umfall	A	ADJD	_	5	adv	_	_
9	'	'	$	$(	_	0	root	_	_
10	n	n	N	NN	_	5	obja	28	28
11	...	...	$	$.	_	0	root	_	_
12	!	!	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jetzt	jetzt	A	ADV	_	4	adv	_	_
3	schau	schau	A	ADJD	Pos|	4	adv	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	0	root	0	0
5	nur	nur	A	ADV	_	8	adv	_	_
6	oana	oana	A	ADJD	_	7	adv	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	an	an	P	APPR	_	0	root	_	_
9	o	o	F	FM	_|_|_	8	pn	_	_
10	'	'	$	$(	_	0	root	_	_
11	draht	draht	F	FM	_|_|_	9	app	_	_
12	'	'	$	$(	_	0	root	_	_
13	n	n	F	FM	_|_|_	11	app	_	_
14	Spitzbuam	Spitzbuam	F	FM	_|_|_	13	app	_	_
15	o	o	F	FM	_|_|_	14	app	_	_
16	!	!	$	$.	_	0	root	_	_

1	Sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	1	subj	0	0
3	,	,	$	$,	_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	0	0
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	1	s	_	_
6	nix	nix	F	FM	_	5	obja	_	_
7	kriagt	kriagt	F	FM	_	6	app	_	_
8	...	...	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hab	Hab	N	NE	_	0	root	1633	1633
3	i	i	F	FM	_	2	app	1633	1633
4	aa	aa	F	FM	_	3	app	1633	1633
5	net	net	F	FM	_	4	app	1633	1633
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ha	Ha	F	FM	_	0	root	_	_
3	...	...	$	$.	_	0	root	_	_
4	ha	ha	F	FM	_	0	root	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	Wimmer	Wimmer	N	NE	Fem|Nom|Sg	7	subj	162	162
9	,	,	$	$,	_	0	root	162	162
10	der	die	P	PRELS	Fem|Dat|Sg	14	objd	162	162
11	alles	alle	P	PIS	Neut|Nom|Sg	14	subj	_	_
12	jovial	jovial	A	ADJD	Pos|	14	pred	_	_
13	aufzufassen	auffassen	V	VVIZU	_	14	obji	_	_
14	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	8	rel	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	14	kon	_	_
17	holte	holen	V	VVFIN	_|Sg|Past|_	16	cj	_	_
18	aus	aus	P	APPR	Dat	17	pp	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	20	det	167	167
20	Brusttasche	Brusttasche	N	NN	Fem|Dat|Sg	18	pn	167	167
21	ein	eine	A	ART	Indef|Neut|Nom|Sg	26	det	_	_
22	dünnes	dünn	A	ADJA	Pos|Neut|Nom|Sg|St|	26	attr	_	_
23	,	,	$	$,	_	0	root	_	_
24	ziemlich	ziemlich	A	ADJD	_	25	adv	_	_
25	abgegriffenes	abgegriffen	A	ADJA	Pos|Neut|Nom|Sg|St|	22	kon	_	_
26	Notizbuch	Notizbuch	N	NN	Neut|Nom|Sg	17	subj	_	_
27	heraus	heraus	P	PTKVZ	_	7	avz	_	_
28	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
4	d	d	N	NN	_	3	obja	168	168
5	'	'	$	$(	_	0	root	_	_
6	denn	denn	A	ADV	_	3	adv	_	_
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	Radlkoffer	Radlkoffer	N	NE	_|Nom|Sg	9	subj	144	144
11	recht	recht	A	ADJD	Pos|	12	adv	_	_
12	unbehaglich	unbehaglich	A	ADJD	Pos|	9	adv	_	_
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Zeit	Zeit	N	NN	Fem|_|Sg	0	root	175	175
3	lass	lassen	V	VVIMP	Sg	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	n	n	N	NN	_	3	obja	28	28
6	...	...	$	$.	_	0	root	_	_
7	Zeit	Zeit	N	NN	Fem|_|Sg	0	root	_	_
8	lass	lassen	V	VVIMP	Sg	0	root	_	_
9	'	'	$	$(	_	0	root	_	_
10	n	n	N	NN	_	8	obja	28	28
11	!	!	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_
13	beschwichtigte	beschwichtigen	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	der	die	A	ART	Def|Masc|Nom|Sg	15	det	169	169
15	Freund	Freund	N	NN	Masc|Nom|Sg	13	subj	169	169
16	,	,	$	$,	_	0	root	_	_
17	netzte	netzte	N	NE	_	0	root	_	_
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	_	_
19	Finger	Finger	N	NN	Masc|Acc|Sg	0	root	_	_
20	und	und	K	KON	_	0	root	_	_
21	blätterte	blättern	V	VVFIN	_|Sg|Past|_	20	cj	_	_
22	ohne	ohne	P	APPR	Acc	21	pp	_	_
23	Hast	Hast	N	NN	Fem|Acc|Sg	22	pn	_	_
24	in	in	P	APPR	Dat	21	pp	_	_
25	seinem	seine	A	PPOSAT	Neut|Dat|Sg	26	det	169	169
26	Buche	Buch	N	NN	Neut|Dat|Sg	24	pn	_	_
27	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hamm	Hamm	N	NE	Neut|_|Sg	0	root	_	_
3	ma	ma	F	FM	Neut|_|Sg	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	s	s	F	FM	Neut|_|Sg	3	app	_	_
6	scho	scho	F	FM	Neut|_|Sg	5	app	_	_
7	!	!	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	steht	stehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_|_|_|Nom	2	subj	0	0
5	!	!	$	$.	_	0	root	_	_

1	Am	an	P	APPRART	Dat	0	root	_	_
2	sechsundzwanzigsten	sechsundzwanzigst	A	ADJA	_|_|Dat|_|_|	3	attr	_	_
3	hujus	hujus	N	NN	_|Dat|_	1	pn	_	_
4	,	,	$	$,	_	0	root	_	_
5	dös	dös	F	FM	_|Dat|_	3	app	_	_
6	is	is	F	FM	_|Dat|_	5	app	_	_
7	also	also	A	ADV	_	8	adv	_	_
8	Abril	Abril	N	NE	_|Dat|_	6	app	_	_
9	neunzehnhundert	neunzehnhundert	C	CARD	_	8	app	_	_
10	...	...	$	$.	_	0	root	_	_
11	wart	sein	V	VAFIN	2|Pl|Past|Ind	0	root	_	_
12	amal	amal	N	NE	_|Nom|_	11	pred	1713	1713
13	,	,	$	$,	_	0	root	1713	1713
14	neunzehnhundertsimmi	neunzehnhundertsimmi	F	FM	_|Nom|_	12	app	1713	1713
15	...	...	$	$.	_	0	root	_	_
16	am	an	P	APPRART	Dat	0	root	_	_
17	sechsundzwanzigsten	sechsundzwanzigst	A	ADJA	_|_|Dat|_|_|	20	attr	144	144
18	hujus	hujus	A	ADV	_	19	adv	144	144
19	geschriebenen	geschrieben	A	ADJA	Pos|_|Dat|_|_|	20	attr	144	144
20	Simon	Simon	N	NE	_|Dat|_	16	pn	144	144
21	Radlkoffer	Radlkoffer	N	NE	_|Dat|_	20	app	144	144
22	...	...	$	$.	_	0	root	_	_
23	betreff	betreff	F	FM	_	0	root	_	_
24	...	...	$	$.	_	0	root	_	_
25	Hellerwiese	Hellerwiese	N	NN	Fem|_|Sg	0	root	_	_
26	.	.	$	$.	_	0	root	_	_

1	Selben	selbe	P	PDS	_|_|_	0	root	_	_
2	...	...	$	$.	_	0	root	_	_
3	dös	dös	A	ADJD	_	4	pred	_	_
4	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
5	also	also	A	ADV	_	4	adv	_	_
6	du	du	P	PPER	2|Sg|_|Nom	4	subj	_	_
7	,	,	$	$,	_	0	root	_	_
8	net	net	V	VVFIN	_	4	kon	_	_
9	?	?	$	$.	_	0	root	_	_

1	selben	selbe	A	PDAT	_|_|_	2	det	_	_
2	notifiziert	notifiziert	F	FM	_|_|_	0	root	_	_
3	...	...	$	$.	_	0	root	_	_
4	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
5	d	d	F	FM	_|Nom|Sg	9	subj	_	_
6	'	'	$	$(	_	0	root	_	_
7	g	g	N	NN	_|Nom|Sg	5	app	_	_
8	'	'	$	$(	_	0	root	_	_
9	hört	hören	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	?	?	$	$.	_	0	root	_	_
11	...	...	$	$.	_	0	root	_	_

1	notifiziert	notifiziert	A	ADJD	_	2	adv	_	_
2	betreff	betreff	A	ADJA	_|_|_|_|_	3	attr	_	_
3	Ankaufes	Ankauf	N	NN	_|_|_	0	root	_	_
4	betreffender	betreffend	A	ADJA	Pos|Fem|Gen|Sg|St|_	5	attr	_	_
5	Wiese	Wiese	N	NN	Fem|Gen|Sg	3	gmod	_	_
6	...	...	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	Wimmer	Wimmer	N	NE	_|Nom|Sg	2	subj	162	162
2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	von	von	P	APPR	Dat	2	pp	_	_
4	seinem	seine	A	PPOSAT	Neut|Dat|Sg	5	det	0	0
5	Buche	Buch	N	NN	Neut|Dat|Sg	3	pn	_	_
6	weg	weg	A	ADV	_	2	adv	_	_
7	auf	auf	P	APPR	Acc	2	pp	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	149	149
9	Jugendfreund	Jugendfreund	N	NN	Masc|Acc|Sg	7	pn	149	149
10	hin	hin	P	PTKVZ	_	2	avz	_	_
11	und	und	K	KON	_	2	kon	_	_
12	blinzelte	blinzeln	V	VVFIN	_|Sg|Past|_	11	cj	_	_
13	ihn	er	P	PPER	3|Sg|Masc|Acc	12	obja	0	0
14	bedeutungsvollst	bedeutungsvoll	A	ADJD	Sup|	12	adv	_	_
15	an	an	P	PTKVZ	_	12	avz	_	_
16	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jetza	Jetza	N	NE	_	0	root	906	906
3	!	!	$	$.	_	0	root	_	_

1	Hab	Hab	N	NE	_	0	root	165	165
2	i	i	F	FM	_	1	app	165	165
3	di	di	N	NE	_	2	app	165	165
4	,	,	$	$,	_	0	root	_	_
5	Manndel	Manndel	N	NE	_	3	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	gel	gel	A	ADJD	Pos|	0	root	_	_
8	?	?	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	stehst	stehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	d	d	F	FM	_|Dat|_	2	objd	_	_
4	'	'	$	$(	_	0	root	_	_
5	halt	halt	A	ADV	_	2	adv	_	_
6	drin	drin	A	ADV	_	2	adv	_	_
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|Nom|Sg	3	subj	_	_
3	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	denn	denn	A	ADV	_	3	adv	_	_
5	mi	mi	F	FM	_|Dat|_	3	objd	_	_
6	dei	dei	F	FM	_|Dat|_	5	app	_	_
7	Büachi	Büachi	F	FM	_|Dat|_	6	app	_	_
8	o	o	F	FM	_|Dat|_	7	app	_	_
9	?	?	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	_	_
2	kost	kosen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	ja	ja	A	ADV	_	2	adv	_	_
4	in	in	P	APPR	_	2	pp	_	_
5	dei	dei	F	FM	_|_|_	4	pn	_	_
6	Büachi	Büachi	F	FM	_|_|_	5	app	_	_
7	neischreib	neischreib	F	FM	_|_|_	6	app	_	_
8	'	'	$	$(	_	0	root	_	_
