1	Oh	oh	I	ITJ	_	0	root	_	_
19	noch	noch	A	ADV	_	20	adv	_	_
20	einmal	einmal	A	ADV	_	16	adv	_	_
21	vom	von	P	APPRART	Dat	23	pp	_	_
22	Verhungern	Verhungern	N	NN	Neut|Dat|Sg	21	pn	_	_
23	Geretteten	Gerettete	N	NN	_|Gen|Sg	0	root	_	_
24	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sufficit	Sufficit	N	NE	_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
2	genüget	genügen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
3	vors	vor	P	APPRART	Acc	2	pp	_	_
4	erste	erst	A	ADJA	_|_|Acc|_|_|	3	pn	_	_
5	;	;	$	$.	_	0	root	_	_
6	-	-	$	$(	_	0	root	_	_
7	erzähle	erzählen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
8	du	du	P	PPER	2|Sg|_|Nom	7	subj	775	775
9	,	,	$	$,	_	0	root	_	_
10	Wanderer	Wanderer	N	NN	Masc|Nom|_	8	kon	_	_
11	,	,	$	$,	_	0	root	_	_
12	zu	zu	P	APPR	Dat	7	pp	_	_
13	Sparta	Sparta	N	NE	Neut|Dat|Sg	12	pn	776	776
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	0	root	_	_
16	du	du	P	PPER	2|Sg|_|Nom	0	root	775	775
17	mich	ich	P	PPER	1|Sg|_|Acc	19	obja	2	2
18	dankbar	dankbar	A	ADJD	Pos|	19	adv	_	_
19	erblicket	erblicken	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
20	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
21	für	für	P	APPR	Acc	20	pp	_	_
22	das	die	P	PDS	Neut|Acc|Sg	21	pn	_	_
23	,	,	$	$,	_	0	root	_	_
24	was	was	P	PRELS	Neut|_|Sg	0	root	776	776
25	Gott	Gott	N	NN	Masc|_|Sg	26	obja	91	91
26	gegeben	geben	V	VVPP	_	0	root	_	_
27	und	und	K	KON	_	0	root	_	_
28	Amelungsborn	Amelungsborn	N	NN	_|Nom|Sg	43	subj	13	13
29	übrig	übrig	A	ADJD	Pos|	43	adv	_	_
30	und	und	K	KON	_	29	kon	_	_
31	für	für	P	APPR	Acc	30	cj	_	_
32	jedweden	jedwede	A	PIAT	Masc|Acc|Sg	34	det	_	_
33	verflatterten	verflattert	A	ADJA	Pos|Masc|Acc|Sg|_|	34	attr	_	_
34	Galgenvogel	Galgenvogel	N	NN	Masc|Acc|Sg	31	pn	_	_
35	frei	frei	A	ADJD	Pos|	38	adv	_	_
36	und	und	K	KON	_	35	kon	_	_
37	offen	offen	A	ADJD	Pos|	36	cj	_	_
38	auf	auf	P	APPR	_	43	pp	_	_
39	'	'	$	$(	_	0	root	_	_
40	m	m	N	NN	_|_|_	38	pn	1789	1789
41	Tische	Tisch	N	NN	_|_|_	43	obja	777	777
42	liegengelassen	liegengelassen	A	ADJD	Pos|	43	adv	_	_
43	hat	haben	V	VAFIN	3|Sg|Pres|Ind	27	cj	_	_
44	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	Dat	7	pp	_	_
2	dem	die	A	ART	Def|Masc|Dat|Sg	3	det	_	_
3	Wege	Weg	N	NN	Masc|Dat|Sg	1	pn	_	_
4	von	von	P	APPR	Dat	3	pp	_	_
5	Holzminden	Holzminden	N	NE	Neut|Dat|Sg	4	pn	78	78
6	her	her	A	APZR	_	4	part	_	_
7	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
8	kein	keine	A	PIAT	_|Nom|Sg	9	det	1309	1309
9	Bauer	Bauer	N	NN	_|Nom|Sg	7	subj	1309	1309
10	mehr	mehr	A	ADV	_	9	adv	1309	1309
11	was	was	P	PIS	_	7	obja	_	_
12	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	777	777
2	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	alles	alle	P	PIS	_|_|Sg	7	obja	_	_
4	in	in	P	APPR	Acc	7	pp	_	_
5	die	die	A	ART	Def|Fem|Acc|Sg	6	det	318	318
6	Erde	Erde	N	NN	Fem|Acc|Sg	4	pn	318	318
7	vergraben	vergraben	V	VVPP	_	2	aux	_	_
8	und	und	K	KON	_	2	kon	_	_
9	in	in	P	APPR	Dat	12	pp	_	_
10	hohlen	hohl	A	ADJA	Pos|_|Dat|_|_|	11	attr	_	_
11	Bäumen	Baum	N	NN	_|Dat|_	9	pn	_	_
12	versteckt	verstecken	V	VVFIN	_|_|Pres|Ind	8	cj	_	_
13	vor	vor	P	APPR	Dat	12	pp	_	_
14	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	1024	1024
15	Marquis	Marquis	N	NN	Masc|Dat|Sg	13	pn	1024	1024
16	von	von	P	APPR	_	15	pp	1024	1024
17	Poyanne	Poyanne	N	NE	_|_|_	16	pn	300	300
18	.	.	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	Magister	Magister	N	NN	Masc|Nom|Sg	3	subj	55	55
2	Buchius	Buchius	N	NE	Masc|Nom|Sg	1	app	55	55
3	drückte	drücken	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	beide	beide	A	PIDAT	Fem|_|Pl	5	det	_	_
5	Hände	Hand	N	NN	Fem|_|Pl	3	obja	_	_
6	an	an	P	APPR	Acc	3	objp	_	_
7	die	die	A	ART	Def|Fem|Acc|Pl	8	det	_	_
8	Schläfen	Schläfe	N	NN	Fem|Acc|Pl	6	pn	_	_
9	:	\:	$	$.	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	Es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	ein	eine	A	ART	Indef|Masc|Nom|Sg	14	det	_	_
14	Wirbel	Wirbel	N	NN	Masc|Nom|Sg	12	pred	_	_
15	!	!	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	überschlägt	überschlagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	im	in	P	APPRART	Dat	2	pp	_	_
5	Abysso	Abysso	N	NN	_|Dat|_	4	pn	_	_
6	!	!	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	auch	auch	A	ADV	_	5	adv	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	_	_
5	Feind	Feind	N	NN	Masc|Nom|Sg	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	vergisset	vergisset	V	VVFIN	_|Sg|_|_	0	root	_	_
3	im	in	P	APPRART	Dat	2	pp	_	_
4	selbigen	selbigen	A	ADJA	_|_|Dat|Sg|_	5	attr	778	778
5	Moment	Moment	N	NN	_|Dat|Sg	3	pn	778	778
6	das	die	A	ART	Def|Neut|_|Sg	7	part	_	_
7	eine	eine	P	PIS	_|_|Sg	8	grad	_	_
8	über	über	P	APPR	Acc	2	pp	_	_
9	das	die	A	ART	Def|Neut|_|Sg	10	det	_	_
10	andere	andere	A	ADJA	Neut|_|Sg	8	pn	_	_
11	!	!	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	auch	auch	A	ADV	_	4	adv	_	_
4	das	die	P	PDS	Neut|_|Sg	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	auch	auch	A	ADV	_	7	adv	_	_
7	das	die	P	PDS	Neut|_|Sg	4	kon	_	_
8	,	,	$	$,	_	0	root	_	_
9	auch	auch	A	ADV	_	10	adv	_	_
10	das	die	P	PDS	Neut|_|Sg	7	kon	_	_
11	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	106	106
2	Franzosen	Franzose	N	NN	_|Nom|Pl	3	subj	106	106
3	kommen	kommen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	wieder	wieder	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	3	kon	_	_
7	Er	er	P	PPER	3|Sg|Masc|Nom	8	subj	778	778
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	cj	_	_
9	eben	eben	A	ADV	_	11	adv	_	_
10	auch	auch	A	ADV	_	11	adv	_	_
11	gekommen	kommen	V	VVPP	_	8	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	Münchhausen	Münchhausen	N	NE	Neut|_|Sg	0	root	41	41
14	-	-	$	$(	_	0	root	_	_
15	und	und	K	KON	_	13	kon	_	_
16	Wieschen	Wieschen	N	NN	Neut|_|_	15	cj	485	485
17	und	und	K	KON	_	16	kon	_	_
18	Heinrich	Heinrich	N	NE	Fem|_|Sg	17	cj	454	454
19	Schelze	Schelze	N	NE	Fem|_|Sg	18	app	454	454
20	und	und	K	KON	_	19	kon	_	_
21	Mamsell	Mamsell	N	NN	Fem|_|Sg	20	cj	647	647
22	Selinde	Selinde	N	NE	Fem|_|Sg	21	app	647	647
23	und	und	K	KON	_	22	kon	_	_
24	die	die	A	ART	Def|Fem|_|Sg	25	det	_	_
25	Schlacht	Schlacht	N	NN	Fem|_|Sg	23	cj	_	_
26	auf	auf	P	APPR	Dat	25	pp	_	_
27	dem	die	A	ART	Def|_|Dat|Sg	28	det	213	213
28	Odfelde	Odfelde	N	NN	_|Dat|Sg	26	pn	213	213
29	-	-	$	$(	_	0	root	_	_
30	die	die	A	ART	Def|Fem|Nom|Sg	31	det	383	383
31	Rabenschlacht	Rabenschlacht	N	NN	Fem|Nom|Sg	0	root	383	383
32	und	und	K	KON	_	31	kon	_	_
33	der	die	A	ART	Def|Masc|Nom|Sg	34	det	148	148
34	Herzog	Herzog	N	NE	Masc|Nom|Sg	32	cj	148	148
35	Ferdinand	Ferdinand	N	NE	Masc|Nom|Sg	34	app	148	148
36	,	,	$	$,	_	0	root	_	_
37	der	die	A	ART	Def|Masc|Nom|Sg	38	det	112	112
38	Herr	Herr	N	NN	Masc|Nom|Sg	35	kon	112	112
39	Amtmann	Amtmann	N	NE	_|Nom|Sg	38	app	112	112
40	und	und	K	KON	_	38	kon	_	_
41	die	die	A	ART	Def|Fem|Nom|Sg	42	det	779	779
42	Frau	Frau	N	NN	Fem|Nom|Sg	40	cj	779	779
43	Amtmannin	Amtmannin	N	NN	Fem|Nom|Sg	42	app	779	779
44	,	,	$	$,	_	0	root	_	_
45	der	die	A	ART	Def|Masc|Nom|Sg	46	det	_	_
46	Marschall	Marschall	N	NN	Masc|Nom|Sg	43	app	_	_
47	von	von	P	APPR	_	46	pp	_	_
48	Broglio	Broglio	N	NE	_|_|_	47	pn	108	108
49	,	,	$	$,	_	0	root	_	_
50	und	und	K	KON	_	0	root	_	_
51	-	-	$	$(	_	0	root	_	_
52	der	die	P	PRELS	_|_|Sg	0	root	779	779
53	da	da	A	ADV	_	0	root	_	_
54	!	!	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	2	2
2	wies	weisen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	auf	auf	P	APPR	_	2	pp	_	_
4	den	die	A	ART	Def|Masc|_|_	5	det	_	_
5	Raben	Rabe	N	NN	Masc|_|_	3	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	der	die	P	PRELS	_|_|Sg	0	root	2	2
8	,	,	$	$,	_	0	root	_	_
9	seit	seit	P	APPR	Dat	19	pp	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	11	det	_	_
11	Exprimaner	Exprimaner	N	NN	Fem|Dat|Sg	9	pn	_	_
12	von	von	P	APPR	Dat	11	pp	_	_
13	Amelungsborn	Amelungsborn	N	NE	Neut|Dat|Sg	12	pn	13	13
14	und	und	K	KON	_	13	kon	_	_
15	Holzminden	Holzminden	N	NE	Neut|Dat|Sg	14	cj	78	78
16	das	die	A	ART	Def|Neut|Nom|Sg	17	det	767	767
17	Brod	Brod	N	NN	Neut|Nom|Sg	20	subj	767	767
18	ihm	er	P	PPER	3|Sg|_|Dat	19	objd	2	2
19	genommen	nehmen	V	VVPP	_	20	aux	_	_
20	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	mit	mit	P	APPR	Dat	31	pp	_	_
23	kuriosester	kurios	A	ADJA	Sup|Fem|Dat|Sg|St|	24	attr	_	_
24	Zutraulichkeit	Zutraulichkeit	N	NN	Fem|Dat|Sg	22	pn	_	_
25	ein	eine	A	ART	Indef|_|_|Sg	26	det	_	_
26	Wohlgefallen	Wohlgefallen	N	NN	_|_|Sg	31	obja	_	_
27	an	an	P	APPR	Dat	31	pp	_	_
28	dem	die	A	ART	Def|Masc|Dat|Sg	30	det	_	_
29	jungen	jung	A	ADJA	Pos|Masc|Dat|Sg|Wk|	30	attr	_	_
30	Landläufer	Landläufer	N	NN	Masc|Dat|Sg	27	pn	_	_
31	gefunden	finden	V	VVPP	_	33	aux	_	_
32	zu	zu	P	PTKZU	_	33	part	_	_
33	haben	haben	V	VAINF	_	19	obji	_	_
34	schien	scheinen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
35	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Krah	Krah	N	NE	_	0	root	419	419
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	2	2
7	,	,	$	$,	_	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	10	det	_	_
9	schwarze	schwarz	A	ADJA	Pos|Masc|Nom|Sg|Wk|	10	attr	_	_
10	Ritter	Ritter	N	NN	Masc|Nom|Sg	6	app	_	_
11	vom	von	P	APPRART	Dat	10	pp	_	_
12	Campus	Campus	N	NN	Masc|Dat|_	11	pn	214	214
13	Odini	Odini	N	NE	Masc|Dat|_	12	app	214	214
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	5	kon	_	_
16	mit	mit	P	APPR	Dat	18	pp	_	_
17	einemmal	einemmal	N	NE	_|Dat|_	16	pn	_	_
18	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	15	cj	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	2	2
20	dem	die	A	ART	Def|Masc|Dat|Sg	21	det	709	709
21	Knaben	Knabe	N	NN	Masc|Dat|Sg	18	objd	709	709
22	auf	auf	P	APPR	Dat	18	pp	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	24	det	790	790
24	Schulter	Schulter	N	NN	Fem|Dat|Sg	22	pn	790	790
25	und	und	K	KON	_	18	kon	_	_
26	bohrte	bohren	V	VVFIN	_|Sg|Past|_	25	cj	_	_
27	ihm	er	P	PPER	3|Sg|_|Dat	26	objd	2	2
28	fast	fast	A	ADV	_	26	adv	_	_
29	seinen	seine	A	PPOSAT	Masc|_|Sg	30	det	2	2
30	Schnabel	Schnabel	N	NN	Masc|_|Sg	26	obja	780	780
31	ins	in	P	APPRART	Acc	26	pp	_	_
32	Ohr	Ohr	N	NN	Neut|Acc|Sg	31	pn	296	296
33	und	und	K	KON	_	26	kon	_	_
34	redete	reden	V	VVFIN	_|Sg|Past|_	33	cj	_	_
35	in	in	P	APPR	Dat	34	pp	_	_
36	seiner	seine	A	PPOSAT	Fem|Dat|Sg	37	det	296	296
37	Sprache	Sprache	N	NN	Fem|Dat|Sg	35	pn	_	_
38	zu	zu	P	APPR	Dat	34	pp	_	_
39	ihm	er	P	PPER	3|Sg|_|Dat	38	pn	780	780
40	,	,	$	$,	_	0	root	_	_
41	eindringlich	eindringlich	A	ADJD	Pos|	0	root	_	_
42	,	,	$	$,	_	0	root	_	_
43	nachdrücklich	nachdrücklich	A	ADJD	Pos|	0	root	_	_
44	,	,	$	$,	_	0	root	_	_
45	wohl	wohl	A	ADV	_	46	adv	_	_
46	Sachen	Sache	N	NN	Fem|_|Pl	0	root	_	_
47	von	von	P	APPR	_	46	pp	_	_
48	hoher	hoch	A	ADJA	Pos|Fem|_|Sg|St|	49	attr	_	_
49	Wichtigkeit	Wichtigkeit	N	NN	Fem|_|Sg	47	pn	_	_
50	,	,	$	$,	_	0	root	_	_
51	wie	wie	P	PWAV	_	63	adv	_	_
52	Hugin	Hugin	N	NE	_|Nom|Pl	65	subj	781	781
53	und	und	K	KON	_	52	kon	_	_
54	Munin	Munin	N	NE	_|Nom|Pl	53	cj	2035	2035
55	sie	sie	P	PPER	3|_|_|_	63	obja	781	781
56	vordem	vordem	A	ADV	_	63	adv	_	_
57	von	von	P	APPR	Dat	63	pp	_	_
58	ihren	ihre	A	PPOSAT	Masc|Dat|Pl	59	det	781	781
59	Flügen	Flug	N	NN	Masc|Dat|Pl	57	pn	_	_
60	über	über	P	APPR	Acc	57	kon	_	_
61	die	die	A	ART	Def|Fem|Acc|Sg	62	det	318	318
62	Erde	Erde	N	NN	Fem|Acc|Sg	60	pn	318	318
63	mitgebracht	mitbringen	V	VVPP	_	64	aux	_	_
64	haben	haben	V	VAINF	_	65	aux	_	_
65	sollen	sollen	V	VMFIN	_|Pl|Pres|_	49	objc	_	_
66	nach	nach	P	APPR	Dat	63	pp	_	_
67	Walhalla	Walhalla	N	NN	_|Dat|_	66	pn	_	_
68	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Vivant	Vivant	F	FM	_	0	root	_	_
3	tempora	tempora	F	FM	_	2	app	_	_
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	9	det	621	621
8	tolle	toll	A	ADJA	Pos|Masc|Nom|Sg|Wk|	9	attr	621	621
9	Thedel	Thedel	N	NN	Masc|Nom|Sg	6	subj	621	621
10	,	,	$	$,	_	0	root	_	_
11	von	von	P	APPR	Dat	14	pp	_	_
12	seinem	seine	A	PPOSAT	Masc|Dat|Sg	13	det	621	621
13	Sitz	Sitz	N	NN	Masc|Dat|Sg	11	pn	_	_
14	aufspringend	aufspringen	A	ADJD	_|<PPRES	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wer	wer	P	PWS	_|Nom|Sg	3	subj	_	_
3	möchte	mögen	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
4	sie	sie	P	PPER	3|_|_|_	3	obja	781	781
5	anders	anders	A	ADV	_	3	adv	_	_
6	?	?	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	897	897
2	ganze	ganz	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	897	897
3	Welt	Welt	N	NN	Fem|_|Sg	0	root	897	897
4	ein	eine	A	ART	Indef|Neut|_|Sg	7	det	782	782
5	einzig	einzig	A	ADJD	Pos|	6	adv	782	782
6	lustig	lustig	A	ADJD	Pos|	7	adv	782	782
7	Jagdrevier	Jagdrevier	N	NN	Neut|_|Sg	0	root	782	782
8	-	-	$	$(	_	0	root	_	_
9	jedem	jede	P	PIS	_|Dat|Sg	0	root	_	_
10	nach	nach	P	APPR	Dat	9	pp	_	_
11	seiner	seine	A	PPOSAT	Fem|Dat|Sg	12	det	782	782
12	Fortuna	Fortuna	N	NN	Fem|Dat|Sg	10	pn	_	_
13	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	freilich	freilich	A	ADV	_	1	cj	_	_
3	,	,	$	$,	_	0	root	_	_
4	frisch	frisch	A	ADJD	Pos|	5	adv	_	_
5	Blut	Blut	N	NN	Neut|Nom|Sg	12	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	junge	jung	A	ADJA	Pos|Neut|Nom|Pl|St|	8	attr	_	_
8	Beine	Bein	N	NN	Neut|Nom|Pl	5	kon	_	_
9	und	und	K	KON	_	8	kon	_	_
10	grobe	grob	A	ADJA	Pos|Fem|Nom|Pl|St|	11	attr	_	_
11	Fäuste	Faust	N	NN	Fem|Nom|Pl	9	cj	_	_
12	gehören	gehören	V	VVFIN	_|Pl|Pres|_	0	root	_	_
13	auch	auch	A	ADV	_	12	adv	_	_
14	wohl	wohl	A	ADV	_	12	adv	_	_
15	dazu	dazu	P	PROAV	_	12	objp	_	_
16	,	,	$	$,	_	0	root	_	_
17	wenn	wenn	K	KOUS	_	25	konj	_	_
18	es	es	P	PPER	3|Sg|Neut|Nom	25	subj	_	_
19	so	so	A	ADV	_	25	adv	_	_
20	zur	zu	P	APPRART	Dat	25	pp	_	_
21	Rechten	Recht	N	NN	_|Dat|_	20	pn	1303	1303
22	und	und	K	KON	_	20	kon	_	_
23	zur	zu	P	APPRART	Dat	22	cj	_	_
24	Linken	Linke	N	NN	_|Dat|_	23	pn	1332	1332
25	blitzt	blitzen	V	VVFIN	3|Sg|Pres|Ind	12	neb	_	_
26	und	und	K	KON	_	25	kon	_	_
27	knallt	knallen	V	VVFIN	_|_|Pres|Ind	26	cj	_	_
28	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	das	die	A	ART	Def|Neut|Nom|Sg	3	det	727	727
3	Vaterland	Vaterland	N	NN	Neut|Nom|Sg	4	subj	727	727
4	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	1	cj	_	_
5	leben	leben	V	VVINF	_	4	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	1499	1499
8	König	König	N	NN	Masc|Nom|Sg	0	root	1499	1499
9	Fritze	Fritze	N	NE	Masc|Nom|Sg	8	app	1499	1499
10	und	und	K	KON	_	9	kon	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	148	148
12	Herzog	Herzog	N	NE	Masc|Nom|Sg	10	cj	148	148
13	Ferdinand	Ferdinand	N	NE	Masc|Nom|Sg	12	app	148	148
14	und	und	K	KON	_	0	root	_	_
15	-	-	$	$(	_	0	root	_	_
16	Mademoisell	Mademoisell	N	NE	_	0	root	647	647
17	Selinde	Selinde	N	NE	_	16	app	647	647
18	!	!	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	786	786
4	es	es	P	PPER	3|Sg|Neut|_	9	expl	_	_
