1	Sie	sie	P	PPER	3|_|_|_	0	root	667	667
10	flammenden	flammend	A	ADJA	Pos|Neut|Dat|Sg|Wk|<PPRES	11	attr	_	_
11	Hause	Haus	N	NN	Neut|Dat|Sg	6	pn	_	_
12	des	die	A	ART	Def|Masc|Gen|Sg	13	det	279	279
13	Juden	Jude	N	NN	Masc|Gen|Sg	11	gmod	279	279
14	Samuel	Samuel	N	NE	Masc|_|Sg	13	app	279	279
15	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
16	es	es	P	PPER	3|Sg|Neut|Nom	15	subj	_	_
17	unserm	unsre	A	PPOSAT	Masc|Dat|Sg	18	det	125	125
18	Freunde	Freund	N	NN	Masc|Dat|Sg	15	objd	125	125
19	,	,	$	$,	_	0	root	125	125
20	Herrn	Herrn	N	NN	Masc|Dat|Sg	18	app	125	125
21	Lambert	Lambert	N	NE	Masc|Dat|Sg	20	app	125	125
22	Tewes	Tewes	N	NE	Masc|Dat|Sg	21	app	125	125
23	,	,	$	$,	_	0	root	_	_
24	jetzo	jetzo	N	NE	_	15	obja	345	345
25	doch	doch	A	ADV	_	15	adv	_	_
26	gar	gar	A	ADV	_	15	adv	_	_
27	übel	übel	A	ADJD	Pos|	15	pred	_	_
28	zumute	zumuten	V	VVFIN	_|Sg|Pres|_	0	root	_	_
29	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	mehr	mehr	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	sondern	sondern	K	KON	_	2	kon	_	_
7	biß	biß	V	VVFIN	_|Pl|_|_	6	cj	_	_
8	die	die	A	ART	Def|Masc|Nom|Pl	9	det	672	672
9	Zähne	Zahn	N	NN	Masc|Nom|Pl	7	subj	672	672
10	aufeinander	aufeinander	A	ADV	_	7	adv	_	_
11	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	_	_
2	Lust	Lust	N	NN	Fem|Nom|Sg	7	subj	_	_
3	zum	zu	P	APPRART	Dat	2	pp	_	_
4	Zitieren	Zitieren	N	NN	Neut|Dat|Sg	3	pn	_	_
5	des	die	A	ART	Def|_|Gen|Sg	6	det	_	_
6	Horatius	Horatius	N	NN	_|Gen|Sg	4	gmod	_	_
7	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
8	ihm	er	P	PPER	3|Sg|_|Dat	10	objd	7	7
9	völlig	völlig	A	ADJD	Pos|	10	adv	_	_
10	vergangen	vergehen	V	VVPP	_	7	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|Nom|Sg	4	subj	_	_
3	zuviel	zuviel	P	PIS	_|Nom|_	4	pred	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	P	PDS	Neut|Nom|Sg	7	subj	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	zuviel	zuviel	A	ADV	_	7	adv	_	_
9	!	!	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	ächzte	ächzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	7	7
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	dies	dies	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	cj	_	_
5	eine	eine	A	ART	Indef|Fem|Nom|Sg	6	det	_	_
6	Bestialität	Bestialität	N	NN	Fem|Nom|Sg	4	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Hierosolyma	Hierosolyma	N	NE	_	0	root	_	_
2	perdita	perdita	N	NE	_	1	app	_	_
3	?	?	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	_	0	root	_	_
2	für	für	P	APPR	Acc	1	pp	_	_
3	Jerusalem	Jerusalem	N	NE	Neut|Acc|Sg	2	pn	328	328
4	!	!	$	$.	_	0	root	_	_

1	Nieder	nieder	A	ADJD	Pos|	0	root	_	_
2	mit	mit	P	APPR	Dat	1	pp	_	_
3	den	die	A	ART	Def|Masc|Dat|Pl	5	det	780	780
4	mordbrennerischen	mordbrennerisch	A	ADJA	Pos|Masc|Dat|Pl|_|	5	attr	780	780
5	Halunken	Halunke	N	NN	Masc|Dat|Pl	2	pn	780	780
6	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	279	279
3	Monsieur	Monsieur	N	NN	Masc|Nom|Sg	5	subj	279	279
4	Samuel	Samuel	N	NE	Masc|Nom|Sg	3	app	279	279
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
6	der	die	A	ART	Def|_|_|_	7	det	_	_
7	einzige	einzig	A	ADJA	Masc|Nom|Sg	5	pred	_	_
8	in	in	P	APPR	_	5	pp	_	_
9	ganz	ganz	A	PIDAT	_|_|_	10	det	42	42
10	Huxar	Huxar	N	NN	Masc|_|Sg	8	pn	42	42
11	,	,	$	$,	_	0	root	42	42
12	der	die	P	PRELS	Masc|Nom|Sg	19	subj	279	279
13	auf	auf	P	APPR	Acc	19	pp	_	_
14	ein	eine	A	ART	Indef|Neut|Acc|Sg	16	det	_	_
15	dankbar	dankbar	A	ADJA	_	16	attr	_	_
16	Herz	Herz	N	NN	Neut|Acc|Sg	13	pn	_	_
17	bei	bei	P	APPR	Dat	19	pp	_	_
18	mir	ich	P	PPER	1|Sg|_|Dat	17	pn	673	673
19	rechnet	rechnen	V	VVFIN	3|Sg|Pres|Ind	10	rel	_	_
20	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	jetzt	jetzt	A	ADV	_	3	adv	_	_
3	stehlen	stehlen	V	VVFIN	3|Pl|Pres|_	1	cj	_	_
4	sie	sie	P	PPER	3|Pl|_|Nom	3	subj	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	673	673
6	meines	meine	A	PPOSAT	_|Gen|Sg	7	det	673	673
7	Vaters	Vater	N	NN	Fem|Gen|Sg	0	root	_	_
8	Taschenuhr	Taschenuhr	N	NN	Fem|Gen|Sg	7	app	_	_
9	in	in	P	APPR	Dat	8	pp	_	_
10	seinem	seine	A	PPOSAT	Masc|Dat|Sg	11	det	279	279
11	Verschluß	Verschluß	N	NN	Masc|Dat|Sg	9	pn	_	_
12	!	!	$	$.	_	0	root	_	_

1	Himmel	Himmel	N	NN	Masc|_|_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Hölle	Hölle	N	NN	Fem|_|Sg	1	kon	_	_
4	und	und	K	KON	_	3	kon	_	_
5	alle	alle	A	PIDAT	Masc|_|Pl	6	det	_	_
6	Teufel	Teufel	N	NN	Masc|_|Pl	4	cj	_	_
7	,	,	$	$,	_	0	root	_	_
8	zu	zu	P	APPR	Dat	6	pp	_	_
9	Boden	Boden	N	NN	Masc|Dat|Sg	8	pn	_	_
10	mit	mit	P	APPR	Dat	9	pp	_	_
11	dir	du	P	PPER	2|Sg|_|Dat	10	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	du	du	P	PPER	Neut|Nom|Sg	0	root	_	_
14	Vieh	Vieh	N	NN	Neut|_|Sg	13	app	_	_
15	!	!	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	3	det	674	674
2	letzte	letzte	A	ADJA	Pos|Neut|Nom|Sg|Wk|	3	attr	674	674
3	Wort	Wort	N	NN	Neut|Nom|Sg	4	subj	674	674
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	begleitet	begleiten	V	VVPP	_	0	root	_	_
7	von	von	P	APPR	Dat	15	pp	_	_
8	einem	eine	A	ART	Indef|Masc|Dat|Sg	9	det	_	_
9	Faustschlage	Faustschlag	N	NN	Masc|Dat|Sg	7	pn	_	_
10	,	,	$	$,	_	0	root	_	_
11	an	an	P	APPR	_	15	objp	_	_
12	einen	eine	P	PIS	_|_|_	11	pn	_	_
13	der	die	A	ART	Def|_|Gen|_	14	det	675	675
14	Tumultuanten	Tumultuanten	N	NN	_|Gen|_	12	gmod	675	675
15	gerichtet	richten	V	VVPP	_	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	676	676
2	Kerl	Kerl	N	NN	Masc|Nom|Sg	3	subj	676	676
3	lag	liegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	sofort	sofort	A	ADV	_	3	adv	_	_
5	zu	zu	P	APPR	Dat	3	objp	_	_
6	Boden	Boden	N	NN	Masc|Dat|Sg	5	pn	431	431
7	,	,	$	$,	_	0	root	_	_
8	allein	allein	A	ADV	_	9	adv	_	_
9	im	in	P	APPRART	Dat	12	pp	_	_
10	selbigen	selbigen	A	ADJA	_|Masc|Dat|Sg|_	11	attr	_	_
11	Augenblick	Augenblick	N	NN	Masc|Dat|Sg	9	pn	_	_
12	war	sein	V	VAFIN	_|Sg|Past|Ind	3	kon	_	_
13	auch	auch	A	ADV	_	25	adv	_	_
14	schon	schon	A	ADV	_	25	adv	_	_
15	dem	die	A	ART	Def|Masc|Dat|Sg	16	det	_	_
16	Studenten	Student	N	NN	Masc|Dat|Sg	25	objd	_	_
17	der	die	A	ART	Def|Fem|Gen|Sg	18	det	_	_
18	Hut	Hut	N	NN	Fem|Gen|Sg	16	gmod	_	_
19	über	über	P	APPR	_	25	pp	_	_
20	Stirn	Stirn	N	NN	Fem|_|Sg	19	pn	_	_
21	,	,	$	$,	_	0	root	_	_
22	Augen	Auge	N	NN	Neut|_|Pl	20	kon	_	_
23	und	und	K	KON	_	22	kon	_	_
24	Ohren	Ohr	N	NN	Neut|_|Pl	23	cj	_	_
25	hinabgeschlagen	hinabschlagen	V	VVPP	_	12	aux	_	_
26	,	,	$	$,	_	0	root	_	_
27	und	und	K	KON	_	12	kon	_	_
28	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	676	676
29	bekam	bekommen	V	VVFIN	3|Sg|Past|Ind	27	cj	_	_
30	einen	eine	A	ART	Indef|Masc|Acc|Sg	31	det	677	677
31	Fußtritt	Fußtritt	N	NN	Masc|Acc|Sg	29	obja	677	677
32	in	in	P	APPR	Acc	29	objp	677	677
33	die	die	A	ART	Def|Fem|Acc|Pl	34	det	677	677
34	Rippen	Rippe	N	NN	Fem|Acc|Pl	32	pn	677	677
35	,	,	$	$,	_	0	root	677	677
36	der	die	P	PRELS	Masc|Nom|Sg	43	subj	677	677
37	ihm	er	P	PPER	3|Sg|_|Dat	43	objd	676	676
38	für	für	P	APPR	Acc	43	pp	_	_
39	mehrere	mehrere	A	PIAT	Fem|Acc|Pl	40	det	_	_
40	Minuten	Minute	N	NN	Fem|Acc|Pl	38	pn	_	_
41	den	die	A	ART	Def|Masc|Acc|Sg	42	det	678	678
42	Atem	Atem	N	NN	Masc|Acc|Sg	43	obja	678	678
43	benahm	benehmen	V	VVFIN	3|Sg|Past|Ind	31	rel	_	_
44	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	11	konj	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	677	677
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	156	156
4	Hut	Hut	N	NN	Masc|Acc|Sg	10	obja	156	156
5	endlich	endlich	A	ADJD	Pos|	10	adv	_	_
6	wieder	wieder	A	ADV	_	10	adv	_	_
7	in	in	P	APPR	Acc	10	objp	_	_
8	die	die	A	ART	Def|Fem|Acc|Sg	9	det	679	679
9	Höhe	Höhe	N	NN	Fem|Acc|Sg	7	pn	679	679
10	bekommen	bekommen	V	VVPP	_	11	aux	_	_
11	hatte	haben	V	VAFIN	3|Sg|Past|Ind	13	neb	_	_
12	,	,	$	$,	_	0	root	_	_
13	fand	finden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	677	677
15	sich	sie	P	PRF	3|_|_	13	obja	_	_
16	zum	zu	P	APPRART	Dat	13	pp	_	_
17	zweiten	zweit	A	ADJA	_|Neut|Dat|Sg|Wk|	18	attr	_	_
18	Mal	Mal	N	NN	Neut|Dat|Sg	16	pn	_	_
19	in	in	P	APPR	Dat	13	pp	_	_
20	dieser	diese	A	PDAT	Fem|Dat|Sg	21	det	_	_
21	Nacht	Nacht	N	NN	Fem|Dat|Sg	19	pn	_	_
